	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A73E.01A.12R.A32O.07	TCGA.ED.A8O5.01A.11R.A36F.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.AADP.01A.11R.A39D.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.BC.A10U.01A.11R.A131.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC
C6orf89	371.22	1295.13	872.1	1963.57	1259.69	1605.83	995.0	1883.54	698.41	1936.53	1331.57	902.89	1159.07	1519.15	896.64	1199.98	1066.48	769.69	1008.9	780.44	1359.57	547.75	1259.69	703.28	1127.35	1225.22	921.88	1088.92	1794.29	1437.15	1175.27	1286.18	1508.65	1457.23	435.55	346.29	497.0	961.07	371.22	511.0	521.76	444.72	420.68	723.08	493.56	728.11
CCHCR1	35.5	620.67	507.46	1313.23	785.88	884.29	1127.35	791.35	295.11	1437.15	660.68	285.03	981.29	830.75	281.09	283.05	486.75	248.0	379.04	358.54	603.67	217.27	1151.06	214.27	764.36	688.78	400.71	954.43	693.58	961.07	454.09	309.83	988.12	540.19	163.28	229.72	229.72	71.5	63.45	208.38	193.01	314.17	271.48	132.44	124.37	285.03
CDC5L	64.34	299.25	161.02	638.15	289.02	447.82	339.14	334.46	172.65	441.64	753.83	244.57	480.04	555.41	239.52	223.41	287.01	156.59	248.0	231.32	255.0	185.11	521.76	149.12	483.38	366.09	318.57	258.57	332.14	703.28	199.85	320.8	525.39	480.04	149.12	105.15	105.89	441.64	136.19	156.59	170.25	148.09	234.57	285.03	187.71	320.8
CMTR1	87.65	665.29	348.71	1030.12	753.83	872.1	928.3	921.88	356.05	981.29	1030.12	356.05	974.5	1111.82	339.14	373.81	460.44	435.55	575.03	460.44	674.59	327.56	748.61	409.15	579.04	674.59	281.09	651.58	981.29	884.29	470.14	483.38	995.0	860.08	353.59	373.81	414.87	336.79	414.87	511.0	409.15	463.65	201.25	339.14	181.28	409.15
CUL7	43.32	403.5	136.19	447.82	316.37	698.41	612.11	361.04	239.52	473.41	733.19	299.25	295.11	559.28	242.88	271.48	205.5	248.0	228.13	309.83	490.14	197.09	525.39	229.72	320.8	191.67	181.28	397.93	307.69	463.65	206.94	476.71	733.19	497.0	70.51	115.97	155.5	100.13	88.26	90.77	130.6	103.69	151.22	155.5	39.5	104.42
DAXX	144.01	1832.01	651.58	1540.37	872.1	1369.04	995.0	1259.69	651.58	981.29	1508.65	1059.11	961.07	1896.65	780.44	532.74	660.68	567.1	813.63	713.11	1407.55	438.59	1167.14	1044.52	1119.56	872.1	497.0	728.11	2047.0	1721.16	642.59	808.0	1697.45	1605.83	454.09	242.88	629.35	358.54	521.76	403.5	224.97	371.22	381.68	366.09	232.94	361.04
DHX16	84.63	967.76	595.34	1498.22	921.88	1304.15	1015.93	1242.34	579.04	1143.1	1617.0	540.19	1143.1	1023.0	583.07	660.68	684.02	743.43	698.41	743.43	1096.5	463.65	1242.34	713.11	825.0	941.27	420.68	981.29	1216.75	1397.83	450.94	825.0	1498.22	848.22	392.44	457.25	607.87	366.09	327.56	563.18	432.53	426.57	414.87	414.87	234.57	403.5
EHMT2	61.25	1295.13	915.51	1936.53	1259.69	1832.01	1561.89	1467.37	802.41	1259.69	2032.85	620.67	813.63	1417.35	551.56	743.43	511.0	769.69	769.69	780.44	1313.23	239.52	1340.84	511.0	1295.13	1059.11	669.92	921.88	1457.23	1883.54	536.45	878.17	1199.98	1447.15	214.27	336.79	327.56	177.53	176.29	264.03	217.27	381.68	483.38	400.71	139.07	420.68
EPHX1	3212.66	113315.62	128373.58	59063.35	116501.39	54727.32	94628.34	64632.75	85283.74	75803.72	40341.14	114103.8	81809.59	190574.09	96616.71	116501.39	159145.95	89523.81	135693.24	144427.91	159145.95	92040.7	108699.57	104271.56	88291.3	127486.83	121448.75	145432.49	43236.64	34396.12	167058.21	98646.85	54349.29	71219.26	37121.34	50011.46	111755.56	165904.25	258533.99	104271.56	169390.27	236256.4	119776.72	208544.12	21320.18	506427.83
FRS3	16.51	152.28	97.36	167.9	118.43	153.34	96.01	163.28	53.95	198.47	195.72	67.12	108.9	96.68	59.55	69.03	53.57	80.01	60.39	64.8	121.79	51.71	206.94	52.08	133.36	95.34	70.01	130.6	132.44	110.43	86.43	141.02	171.45	173.85	61.68	30.78	70.01	30.12	40.93	71.0	77.25	54.72	43.94	54.72	33.06	24.46
GLTSCR1L	5.02	183.82	52.08	221.86	91.41	123.5	84.04	98.73	43.32	183.82	178.77	60.39	86.43	215.77	82.87	56.68	106.63	83.45	75.64	98.04	87.65	33.06	191.67	74.58	94.01	120.1	49.21	77.79	193.01	175.07	58.3	138.1	183.82	208.38	48.52	38.67	53.57	109.66	30.56	84.63	62.56	52.08	52.08	73.03	27.84	82.29
GTF2H4	115.97	1073.91	633.73	1199.98	825.0	1015.93	1008.9	884.29	450.94	1467.37	1183.45	503.95	967.76	872.1	412.0	457.25	525.39	599.49	599.49	599.49	764.36	392.44	1721.16	514.56	780.44	748.61	353.59	866.07	638.15	1199.98	540.19	432.53	1119.56	1127.35	414.87	395.18	536.45	320.8	441.64	583.07	441.64	409.15	480.04	368.65	265.87	373.81
KCTD20	57.49	915.51	323.03	748.61	674.59	921.88	599.49	703.28	307.69	1015.93	1015.93	444.72	921.88	1037.29	567.1	470.14	656.11	423.61	500.46	571.05	708.18	303.44	909.17	490.14	764.36	921.88	395.18	435.55	1023.0	693.58	366.09	540.19	1183.45	1199.98	299.25	256.78	403.5	703.28	353.59	429.54	281.09	379.04	429.54	423.61	387.02	612.11
KIF13A	46.5	457.25	242.88	507.46	575.03	679.29	476.71	497.0	242.88	878.17	769.69	466.88	607.87	493.56	392.44	368.65	397.93	336.79	273.37	327.56	656.11	134.3	579.04	314.17	463.65	486.75	285.03	400.71	941.27	629.35	159.9	540.19	764.36	759.08	253.23	220.32	236.21	366.09	264.03	269.6	389.72	293.07	368.65	336.79	171.45	341.51
KLHDC3	1286.18	2682.69	1923.14	3690.52	2816.11	4298.64	2645.74	3928.15	1936.53	4123.49	5292.48	1427.22	4298.64	3395.89	1286.18	2255.7	1662.49	1832.01	1745.2	1745.2	3168.41	1457.23	4210.15	842.36	3303.0	2915.45	1233.75	2485.67	2935.74	3540.14	1685.71	1909.85	2701.35	2537.92	1369.04	1674.06	1685.71	633.73	1529.73	1378.57	2255.7	2319.15	1427.22	1936.53	1417.35	1794.29
LEMD2	103.69	1151.06	674.59	1540.37	1059.11	2061.24	1909.85	1457.23	995.0	1268.46	2573.36	854.13	1467.37	1605.83	974.5	967.76	830.75	1030.12	1242.34	896.64	1233.75	511.0	1617.0	836.53	1477.58	660.68	802.41	1159.07	1572.76	1819.35	616.37	1225.22	1651.0	1896.65	595.34	387.02	612.11	295.11	547.75	587.13	490.14	769.69	463.65	341.51	395.18	426.57
MAD2L1BP	283.05	612.11	444.72	947.83	708.18	981.29	708.18	1199.98	511.0	954.43	1199.98	361.04	1417.35	603.67	503.95	525.39	466.88	447.82	447.82	381.68	743.43	403.5	775.05	316.37	764.36	532.74	493.56	698.41	896.64	1001.93	356.05	587.13	854.13	703.28	454.09	395.18	353.59	493.56	753.83	303.44	373.81	435.55	339.14	507.46	228.13	629.35
MAPK14	110.43	928.3	389.72	1437.15	780.44	1487.87	808.0	928.3	414.87	1286.18	1508.65	521.76	954.43	1304.15	669.92	529.06	660.68	583.07	802.41	551.56	728.11	373.81	1268.46	493.56	753.83	872.1	409.15	693.58	1081.39	1127.35	525.39	796.86	1044.52	1508.65	381.68	521.76	698.41	718.08	738.29	460.44	444.72	583.07	320.8	708.18	802.41	764.36
MDC1	22.26	808.0	332.14	860.08	358.54	441.64	507.46	389.72	214.27	599.49	974.5	353.59	351.14	579.04	281.09	217.27	555.41	409.15	312.0	334.46	363.56	139.07	738.29	260.38	466.88	595.34	256.78	395.18	633.73	854.13	285.03	381.68	679.29	872.1	228.13	153.34	260.38	143.01	271.48	316.37	118.43	120.94	291.04	151.22	49.91	110.43
MEA1	1923.14	3395.89	2119.22	4239.45	2384.37	3540.14	3742.05	4736.79	1769.57	2915.45	3190.46	1883.54	3395.89	2875.3	1583.71	2163.77	2018.8	1909.85	2163.77	1977.24	3589.58	1583.71	2997.45	1143.1	3901.01	1819.35	2148.82	2303.12	3614.55	4181.07	1857.6	1832.01	2997.45	2303.12	1259.69	1208.34	1477.58	796.86	624.99	1015.93	1467.37	1242.34	1378.57	1651.0	1242.34	1397.83
MED20	138.1	320.8	195.72	595.34	466.88	563.18	346.29	301.33	105.89	529.06	555.41	241.19	325.29	444.72	258.57	237.86	287.01	255.0	224.97	287.01	172.65	135.24	281.09	197.09	281.09	441.64	209.84	244.57	441.64	444.72	122.64	348.71	348.71	733.19	96.01	101.54	228.13	211.31	85.22	119.26	161.02	98.04	72.52	258.57	47.84	206.94
MRS2	376.41	525.39	209.84	878.17	476.71	764.36	409.15	647.07	346.29	642.59	1044.52	346.29	647.07	647.07	343.89	343.89	559.28	381.68	339.14	473.41	466.88	246.28	514.56	334.46	698.41	486.75	612.11	348.71	406.31	656.11	309.83	638.15	647.07	738.29	220.32	170.25	208.38	547.75	208.38	368.65	265.87	197.09	172.65	341.51	83.45	376.41
MSH5	13.03	336.79	212.78	753.83	406.31	497.0	503.95	189.02	191.67	444.72	934.76	44.25	395.18	414.87	98.73	139.07	129.69	194.36	277.2	206.94	287.01	88.88	660.68	94.67	301.33	273.37	113.56	470.14	420.68	656.11	152.28	154.42	540.19	327.56	93.35	40.93	48.87	33.3	55.89	73.54	111.21	69.03	115.16	43.02	30.78	33.3
NFYA	31.0	244.57	155.5	551.56	241.19	656.11	409.15	381.68	156.59	348.71	791.35	156.59	480.04	447.82	223.41	154.42	206.94	241.19	201.25	283.05	224.97	119.26	262.2	185.11	248.0	466.88	189.02	281.09	397.93	633.73	180.02	529.06	339.14	1081.39	134.3	104.42	161.02	220.32	64.34	177.53	104.42	113.56	45.85	190.34	43.63	161.02
OARD1	400.71	1143.1	642.59	2148.82	1233.75	1529.73	836.53	995.0	629.35	1844.76	2148.82	1119.56	1540.37	1923.14	607.87	674.59	921.88	647.07	748.61	503.95	1313.23	967.76	2047.0	480.04	1936.53	693.58	633.73	1529.73	1487.87	2061.24	819.3	1208.34	1832.01	1540.37	819.3	638.15	543.96	1015.93	351.14	514.56	934.76	703.28	995.0	1059.11	497.0	612.11
PBX2	63.0	1008.9	713.11	1540.37	1183.45	2271.4	1923.14	1081.39	540.19	2032.85	4481.23	571.05	921.88	1540.37	603.67	607.87	872.1	665.29	688.78	612.11	848.22	397.93	1794.29	780.44	1111.82	688.78	551.56	723.08	1519.15	2104.58	587.13	1143.1	1388.16	2417.67	536.45	346.29	473.41	244.57	351.14	336.79	256.78	470.14	703.28	536.45	301.33	525.39
PPP2R5D	144.01	1127.35	426.57	1369.04	629.35	1617.0	1183.45	1216.75	392.44	995.0	1407.55	483.38	988.12	1119.56	457.25	460.44	764.36	575.03	514.56	759.08	1259.69	281.09	1073.91	376.41	988.12	902.89	466.88	728.11	1030.12	1331.57	426.57	764.36	1216.75	1427.22	366.09	480.04	392.44	249.73	343.89	575.03	289.02	480.04	483.38	406.31	341.51	389.72
PRR3	37.05	237.86	141.02	336.79	239.52	229.72	325.29	343.89	167.9	297.17	551.56	128.79	190.34	256.78	165.57	155.5	132.44	198.47	141.02	138.1	265.87	89.51	281.09	155.5	368.65	217.27	120.94	215.77	336.79	218.79	157.68	221.86	353.59	358.54	120.1	52.45	181.28	75.64	149.12	170.25	112.77	120.94	127.0	68.07	33.06	46.84
RING1	201.25	2032.85	1745.2	2573.36	1923.14	2075.59	2148.82	2287.2	769.69	3212.66	1923.14	1015.93	2468.49	2319.15	954.43	1127.35	1051.79	1216.75	1104.13	934.76	2209.26	674.59	2075.59	830.75	1991.0	1781.89	813.63	1662.49	2119.22	1936.53	1081.39	981.29	2835.7	1151.06	775.05	775.05	1277.29	435.55	693.58	988.12	503.95	665.29	802.41	854.13	579.04	728.11
RPL7L1	158.79	1745.2	624.99	2468.49	1250.98	1721.16	1088.92	1583.71	802.41	1883.54	2835.7	748.61	2090.03	1794.29	961.07	961.07	1437.15	1286.18	872.1	909.17	1111.82	518.15	1745.2	674.59	1870.53	1674.06	808.0	1030.12	1551.09	2193.99	647.07	1175.27	2193.99	2178.83	629.35	514.56	1081.39	1407.55	743.43	921.88	808.0	656.11	612.11	915.51	620.67	1037.29
RSPH9	6.62	13.32	8.32	16.39	14.03	14.45	20.26	16.88	14.14	15.91	30.56	6.94	15.11	12.45	6.67	8.78	8.06	7.51	8.13	4.13	10.24	2.29	21.78	6.06	15.56	6.41	10.31	12.18	17.0	9.41	5.59	14.89	14.89	17.13	6.78	3.29	8.92	3.5	3.56	7.94	6.73	9.63	3.72	3.14	5.19	3.53
RXRB	244.57	1268.46	723.08	1651.0	1617.0	1529.73	1081.39	1225.22	599.49	2502.97	1806.78	591.22	2119.22	1806.78	563.18	511.0	728.11	693.58	802.41	665.29	1369.04	665.29	1322.37	587.13	1151.06	1242.34	514.56	1259.69	1457.23	1617.0	579.04	718.08	1781.89	1081.39	403.5	409.15	595.34	351.14	417.77	660.68	406.31	503.95	454.09	409.15	248.0	281.09
STK19	127.89	769.69	575.03	1242.34	860.08	1183.45	1407.55	775.05	688.78	1143.1	1175.27	389.72	890.44	1216.75	660.68	684.02	718.08	507.46	395.18	555.41	884.29	529.06	961.07	575.03	738.29	583.07	693.58	836.53	836.53	1127.35	480.04	624.99	1081.39	934.76	363.56	214.27	473.41	199.85	351.14	842.36	348.71	339.14	277.2	264.03	239.52	255.0
STK38	11.47	595.34	287.01	808.0	642.59	603.67	381.68	454.09	199.85	669.92	1350.18	332.14	780.44	363.56	297.17	273.37	256.78	312.0	376.41	273.37	363.56	218.79	703.28	283.05	629.35	381.68	186.4	389.72	854.13	679.29	232.94	271.48	759.08	928.3	258.57	206.94	223.41	392.44	133.36	248.0	151.22	400.71	249.73	358.54	199.85	525.39
TAF11	129.69	698.41	379.04	981.29	612.11	1295.13	1073.91	1088.92	403.5	974.5	1674.06	599.49	1127.35	1073.91	514.56	571.05	368.65	575.03	441.64	476.71	651.58	507.46	1096.5	373.81	884.29	836.53	389.72	684.02	842.36	1059.11	536.45	660.68	1008.9	1199.98	420.68	287.01	318.57	307.69	358.54	656.11	426.57	371.22	237.86	466.88	201.25	363.56
TAF8	1936.53	275.28	204.07	417.77	339.14	361.04	178.77	339.14	120.1	612.11	825.0	180.02	255.0	229.72	145.02	195.72	175.07	153.34	183.82	152.28	420.68	124.37	353.59	120.94	244.57	269.6	129.69	177.53	540.19	389.72	108.14	246.28	348.71	371.22	111.21	101.54	126.12	84.63	143.01	182.55	106.63	126.12	173.85	159.9	98.73	211.31
TBC1D22B	32.36	108.9	55.89	164.42	80.57	199.85	106.63	133.36	59.97	223.41	273.37	67.12	138.1	167.9	64.8	66.18	89.51	111.99	79.45	80.57	85.82	50.98	141.02	71.5	123.5	121.79	75.64	62.56	132.44	178.77	48.87	120.1	194.36	217.27	49.56	33.78	56.68	23.08	54.72	51.35	58.3	74.06	50.27	31.0	29.27	39.22
TBC1D7	172.65	543.96	620.67	1030.12	651.58	1023.0	647.07	1378.57	518.15	1030.12	708.18	612.11	1066.48	684.02	366.09	511.0	314.17	289.02	518.15	483.38	753.83	387.02	1023.0	521.76	591.22	412.0	497.0	748.61	1277.29	866.07	441.64	830.75	540.19	1167.14	299.25	438.59	253.23	269.6	244.57	260.38	346.29	371.22	289.02	273.37	320.8	341.51
TBCC	182.55	642.59	299.25	909.17	693.58	967.76	571.05	896.64	318.57	642.59	860.08	267.73	819.3	723.08	392.44	447.82	366.09	368.65	473.41	420.68	679.29	206.94	703.28	299.25	642.59	493.56	348.71	450.94	669.92	941.27	316.37	420.68	825.0	764.36	193.01	236.21	187.71	129.69	162.14	133.36	260.38	301.33	563.18	166.73	74.58	171.45
TDP2	651.58	1096.5	624.99	2047.0	1225.22	1417.35	1572.76	1304.15	769.69	928.3	1216.75	733.19	1407.55	1407.55	1030.12	813.63	854.13	599.49	884.29	1583.71	1259.69	348.71	1594.73	693.58	1651.0	1008.9	733.19	1268.46	1498.22	1605.83	884.29	1268.46	1322.37	1388.16	813.63	351.14	674.59	1037.29	493.56	698.41	738.29	395.18	551.56	808.0	447.82	1304.15
TEAD3	17.38	262.2	325.29	536.45	356.05	769.69	397.93	583.07	215.77	441.64	575.03	262.2	400.71	684.02	249.73	248.0	226.54	341.51	563.18	265.87	327.56	111.21	525.39	361.04	435.55	371.22	206.94	279.14	567.1	785.88	246.28	275.28	441.64	860.08	214.27	149.12	256.78	88.26	305.55	199.85	111.99	202.66	130.6	94.67	181.28	84.63
TJAP1	46.84	638.15	490.14	830.75	633.73	796.86	587.13	759.08	287.01	909.17	1037.29	409.15	660.68	638.15	486.75	336.79	500.46	490.14	466.88	441.64	551.56	258.57	860.08	341.51	543.96	723.08	283.05	540.19	896.64	738.29	432.53	575.03	1037.29	802.41	256.78	209.84	320.8	143.01	277.2	314.17	202.66	334.46	258.57	237.86	119.26	183.82
TMEM63B	100.83	947.83	941.27	1388.16	819.3	1674.06	2335.28	1340.84	693.58	1467.37	2133.97	769.69	1304.15	1781.89	915.51	660.68	967.76	723.08	1051.79	532.74	1427.22	460.44	2163.77	435.55	1340.84	785.88	961.07	1151.06	1059.11	2061.24	836.53	1529.73	2351.53	1757.34	563.18	669.92	540.19	551.56	656.11	780.44	454.09	1322.37	796.86	1023.0	688.78	1081.39
TRIM27	220.32	1487.87	1617.0	1977.24	2351.53	1427.22	1051.79	2384.37	1073.91	2502.97	1870.53	1191.69	1819.35	1529.73	1111.82	1216.75	1407.55	961.07	1447.15	1183.45	1832.01	435.55	2915.45	1111.82	1697.45	974.5	1183.45	1191.69	2434.5	1977.24	1135.2	1111.82	1769.57	1923.14	656.11	447.82	1135.2	607.87	941.27	1832.01	493.56	954.43	414.87	429.54	384.34	656.11
TRIM39	33.3	323.03	158.79	567.1	201.25	366.09	368.65	551.56	141.02	435.55	693.58	154.42	497.0	406.31	246.28	156.59	260.38	201.25	204.07	214.27	346.29	103.69	363.56	178.77	343.89	209.84	150.17	256.78	406.31	525.39	176.29	226.54	518.15	476.71	108.9	91.41	141.02	111.99	122.64	135.24	87.65	94.01	90.14	101.54	68.07	108.9
USP49	5.5	44.25	13.22	48.18	24.28	42.71	47.84	47.17	15.8	50.27	72.01	16.39	36.79	38.12	19.68	12.83	19.97	26.1	23.93	26.67	33.78	12.45	60.82	21.94	29.7	32.36	12.27	16.15	44.25	30.34	23.93	38.12	54.72	67.59	9.41	1.91	9.78	9.34	7.4	19.53	11.04	11.91	10.24	6.67	2.48	10.31
VPS52	253.23	2119.22	1417.35	2224.63	2018.8	2163.77	2119.22	2032.85	1073.91	2271.4	2468.49	896.64	2384.37	3212.66	1008.9	1199.98	981.29	961.07	1350.18	1199.98	2434.5	915.51	2303.12	1111.82	2133.97	1529.73	1183.45	1447.15	2104.58	2468.49	1001.93	1233.75	2976.74	1870.53	629.35	836.53	796.86	595.34	713.11	802.41	571.05	656.11	753.83	780.44	376.41	551.56
WRNIP1	265.87	988.12	802.41	1709.26	947.83	2163.77	974.5	1259.69	802.41	1467.37	1923.14	733.19	1378.57	1572.76	679.29	1030.12	543.96	1175.27	866.07	890.44	1233.75	412.0	1457.23	780.44	1359.57	1277.29	753.83	1066.48	1242.34	2032.85	791.35	1662.49	1295.13	1870.53	579.04	529.06	669.92	480.04	796.86	854.13	660.68	559.28	684.02	595.34	447.82	1015.93
