	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.2655.11A.01R.1758.07	TCGA.44.6146.11A.01R.1858.07	TCGA.91.6828.11A.01R.1858.07	TCGA.50.5932.11A.01R.1755.07	GTEX.147F4.0926.SM.5Q5EO	GTEX.11WQC.0626.SM.5EQMF	TCGA.51.4079.11A.01R.1758.07
COX7C	26986.43	28132.47	13776.25	22535.88	20451.65	20030.74	20737.16	40904.3	30361.44	0.0	1.23	13306.94	11267.44	13586.57	10883.59	10733.74	7537.18	11827.67
DDT	3639.7	3419.52	11112.3	14461.21	23330.64	9344.14	14163.58	27553.49	38430.46	0.0	0.8	2555.58	1605.83	2485.67	2148.82	1030.12	356.05	2303.12
DNLZ	728.11	361.04	336.79	698.41	1030.12	514.56	497.0	503.95	490.14	0.0	0.35	309.83	336.79	277.2	412.0	180.02	170.25	255.0
DOLPP1	182.55	260.38	392.44	412.0	403.5	334.46	363.56	447.82	616.37	0.0	0.0	217.27	195.72	209.84	185.11	70.51	96.68	173.85
DPM2	1268.46	1059.11	1135.2	1225.22	1216.75	748.61	902.89	1037.29	1950.0	0.0	0.51	848.22	854.13	988.12	884.29	426.57	348.71	878.17
EDF1	18304.63	18052.61	11827.67	20170.07	23330.64	16960.78	27174.14	19892.37	31215.04	0.0	1.22	10585.95	8778.97	9474.59	9025.81	6164.49	4481.23	9409.14
EIF3K	8305.36	8778.97	4736.79	9876.98	5555.65	6426.31	6250.56	8840.04	8538.88	0.0	1.35	6207.38	4769.75	5479.15	5255.91	4481.23	1359.57	5147.73
EIF4G1	2573.36	2720.15	6037.61	4450.27	6164.49	5751.61	5076.84	7130.55	6983.79	4736.79	579.04	4268.94	4181.07	4512.4	3955.48	3257.52	2303.12	5041.77
ENDOG	536.45	507.46	275.28	620.67	921.88	1044.52	660.68	854.13	780.44	0.0	0.16	275.28	198.47	397.93	241.19	88.26	71.0	285.03
FAH	665.29	400.71	3039.3	2915.45	6079.61	3639.7	9151.82	6699.25	2915.45	0.0	0.17	764.36	547.75	536.45	470.14	291.04	173.85	473.41
FAHD2A	674.59	470.14	450.94	921.88	1457.23	1250.98	1369.04	1572.76	536.45	0.0	0.65	420.68	361.04	429.54	441.64	115.97	237.86	363.56
FAM195A	1088.92	1008.9	1268.46	2417.67	2537.92	1896.65	2816.11	3982.99	2018.8	0.0	0.52	441.64	318.57	371.22	323.03	122.64	189.02	314.17
FAM207A	251.48	379.04	403.5	819.3	703.28	612.11	769.69	884.29	376.41	0.0	0.31	387.02	346.29	314.17	329.84	81.14	94.67	312.0
HIGD1A	1936.53	2193.99	2075.59	3665.02	3515.68	2434.5	5751.61	4152.18	2351.53	0.0	0.64	1977.24	2004.85	2384.37	2502.97	2682.69	909.17	1936.53
HIGD2A	6164.49	5219.6	3901.01	6887.62	4123.49	4123.49	4328.55	10368.08	6207.38	0.0	0.88	3103.19	2591.27	2627.46	2875.3	1250.98	1331.57	2777.33
HINT1	11189.6	8191.0	12589.08	13033.07	17197.56	12853.63	15934.98	17927.91	20030.74	0.0	1.25	5329.3	4802.93	5517.27	4671.57	3847.29	3794.3	4419.52
HIST1H2BK	2758.13	7081.29	1709.26	12076.21	2915.45	13681.08	7966.99	12160.22	3768.09	0.0	1.03	2255.7	1857.6	1781.89	1733.13	1250.98	819.3	2555.58
HRSP12	656.11	343.89	4123.49	3018.3	14361.31	5292.48	11992.79	16843.62	6792.79	1378.57	486.75	299.25	309.83	381.68	358.54	115.97	159.9	241.19
KIF22	866.07	915.51	1119.56	2119.22	1572.76	1322.37	2224.63	2384.37	1844.76	0.0	0.37	679.29	651.58	559.28	571.05	208.38	486.75	547.75
KRTCAP2	8778.97	6607.01	7857.29	15075.35	10733.74	11424.74	10154.69	20451.65	17927.91	9808.75	162.14	4972.34	3794.3	4419.52	4419.52	1991.0	1991.0	4802.93
MDH1	3146.52	3212.66	3146.52	5517.27	4010.71	2520.38	4481.23	6983.79	2935.74	0.0	0.61	2335.28	2148.82	2240.11	2502.97	1437.15	954.43	1757.34
MINOS1-NBL1	143.01	44.57	34.02	43.32	75.11	87.65	44.89	124.37	111.21	0.0	0.0	48.87	2.58	64.34	70.51	19.11	0.0	46.5
MRPL12	1199.98	1242.34	1757.34	3955.48	4903.87	2875.3	5366.37	3982.99	4152.18	0.0	0.27	1037.29	656.11	954.43	764.36	400.71	389.72	954.43
MRPL2	2193.99	1674.06	1250.98	3168.41	2485.67	3280.18	3081.75	2976.74	2935.74	0.0	0.79	1088.92	785.88	860.08	854.13	441.64	371.22	921.88
MRPL21	2319.15	1617.0	1199.98	2271.4	1529.73	3235.01	1721.16	2555.58	2148.82	0.0	0.65	1250.98	890.44	988.12	1051.79	647.07	507.46	872.1
MRPL22	813.63	890.44	860.08	1757.34	974.5	1199.98	1183.45	2047.0	1628.26	0.0	0.79	743.43	629.35	764.36	738.29	599.49	447.82	703.28
MRPL27	1936.53	2075.59	1857.6	4268.94	2720.15	2609.3	2758.13	4481.23	3874.05	0.0	0.0	1331.57	974.5	1369.04	1199.98	511.0	567.1	1159.07
MRPL36	1111.82	934.76	1143.1	2163.77	1617.0	1745.2	1617.0	5366.37	4575.41	0.0	0.78	866.07	728.11	738.29	693.58	255.0	395.18	693.58
MRPL37	1127.35	1111.82	1674.06	2758.13	2555.58	2004.85	2061.24	2664.15	2609.3	0.0	0.21	995.0	796.86	934.76	981.29	435.55	303.44	902.89
MRPL41	2148.82	1832.01	866.07	2119.22	2682.69	1757.34	2287.2	3955.48	3235.01	0.0	0.51	679.29	483.38	679.29	511.0	154.42	571.05	616.37
MRPS24	3103.19	2148.82	2417.67	4038.61	4095.0	4419.52	4328.55	6699.25	6121.9	0.0	0.92	2061.24	1617.0	1832.01	1572.76	688.78	679.29	1721.16
MRPS25	1081.39	1286.18	785.88	1457.23	1594.73	1794.29	1594.73	2319.15	995.0	0.0	1.01	764.36	872.1	780.44	651.58	301.33	753.83	698.41
MTX1	1359.57	1250.98	1081.39	3060.45	1628.26	2434.5	1359.57	3716.2	3212.66	0.0	0.52	909.17	718.08	909.17	775.05	490.14	336.79	866.07
MUC5B	5.923719433E7	3.066309426E7	5.36	4.62	0.0	0.72	1.64	10.71	35.5	0.0	0.0	15.56	7.82	1023.0	26.86	2.34	43.63	52.82
NDUFA1	3982.99	3847.29	3540.14	6164.49	7911.95	8421.31	5479.15	10512.82	19082.0	0.0	0.8	2451.44	2090.03	2468.49	2468.49	1870.53	1832.01	2090.03
NDUFA2	4239.45	3103.19	2163.77	7433.4	3540.14	4836.35	3928.15	7642.41	6471.02	0.0	0.84	2104.58	1529.73	1769.57	1617.0	775.05	769.69	1561.89
NDUFA8	1551.09	1477.58	1259.69	1909.85	1781.89	1936.53	1572.76	4066.71	3372.43	0.0	0.21	1427.22	1015.93	1286.18	1096.5	529.06	518.15	961.07
NDUFAF1	540.19	518.15	684.02	412.0	669.92	791.35	748.61	1151.06	728.11	0.0	0.0	343.89	318.57	379.04	346.29	83.45	193.01	232.94
NDUFAF2	915.51	616.37	708.18	1350.18	743.43	599.49	759.08	1135.2	1340.84	0.0	0.59	595.34	532.74	656.11	599.49	493.56	412.0	507.46
NDUFB1	7966.99	6337.83	6121.9	10512.82	8778.97	13776.25	9215.48	10883.59	9088.59	0.0	0.95	5403.7	4038.61	5751.61	4123.49	2485.67	3280.18	4152.18
NDUFB3	1216.75	1378.57	1427.22	2119.22	1697.45	1437.15	1709.26	3928.15	2777.33	0.0	0.24	1233.75	1135.2	1322.37	1175.27	532.74	679.29	928.3
NDUFS4	1745.2	1674.06	1794.29	3491.39	1685.71	2997.45	2367.9	5633.22	3665.02	0.0	0.88	1769.57	1519.15	1651.0	1617.0	1857.6	708.18	1529.73
NDUFS6	860.08	1378.57	2004.85	3768.09	2682.69	2609.3	2682.69	5555.65	5555.65	0.0	0.77	1417.35	1051.79	1030.12	988.12	518.15	389.72	1023.0
NDUFS8	3325.99	3280.18	3039.3	4066.71	4736.79	7280.4	4095.0	7433.4	4937.99	0.0	0.75	2451.44	1781.89	2224.63	1870.53	785.88	1427.22	2555.58
NDUFV2	3190.46	2319.15	5403.7	5292.48	8191.0	7230.1	8598.28	8078.22	6121.9	0.0	0.92	2417.67	2485.67	2956.17	2417.67	3768.09	1721.16	2193.99
NTMT1	785.88	1617.0	878.17	733.19	1259.69	2075.59	1143.1	1417.35	1540.37	0.0	0.54	674.59	583.07	669.92	591.22	995.0	909.17	674.59
NUP214	1233.75	1008.9	647.07	813.63	791.35	878.17	860.08	1135.2	1331.57	0.0	0.29	802.41	738.29	830.75	718.08	361.04	381.68	785.88
PAM16	1096.5	981.29	1096.5	1936.53	1936.53	1819.35	1572.76	2193.99	4937.99	0.0	0.85	738.29	591.22	713.11	607.87	147.06	293.07	660.68
POLR2I	2104.58	2400.97	1322.37	2520.38	1685.71	2032.85	2255.7	2090.03	2664.15	0.0	0.68	1781.89	988.12	1572.76	1183.45	896.64	651.58	1242.34
PPP1R16A	2224.63	1794.29	2303.12	5147.73	8421.31	2997.45	6079.61	16496.96	5791.62	0.0	0.78	718.08	529.06	764.36	486.75	155.5	287.01	647.07
PRADC1	444.72	351.14	890.44	708.18	872.1	1477.58	1369.04	1594.73	791.35	0.0	0.13	532.74	269.6	336.79	334.46	144.01	162.14	293.07
PRDX1	10225.32	9344.14	8901.53	20310.37	22380.2	13399.51	10883.59	24490.61	29736.59	0.0	1.28	8963.45	9740.98	10225.32	10808.41	5954.47	3847.29	8305.36
PSMB2	674.59	890.44	1407.55	1733.13	1508.65	1259.69	915.51	2104.58	2573.36	0.0	0.58	947.83	902.89	941.27	954.43	723.08	389.72	928.3
PSMB5	2417.67	2271.4	2739.08	4066.71	3794.3	3081.75	2303.12	5751.61	3820.7	0.0	0.75	2193.99	1583.71	2178.83	1923.14	896.64	1208.34	2148.82
PSMB7	3589.58	3257.52	4066.71	7642.41	6381.92	4869.99	4769.75	6935.54	10585.95	0.0	0.99	3103.19	2645.74	2935.74	2875.3	1870.53	723.08	2627.46
PSMG4	775.05	518.15	318.57	1096.5	759.08	1051.79	780.44	1151.06	1088.92	0.0	0.46	376.41	279.14	371.22	392.44	138.1	116.78	397.93
PTRH1	551.56	559.28	277.2	493.56	854.13	521.76	591.22	698.41	435.55	0.0	0.33	291.04	265.87	293.07	256.78	73.54	121.79	339.14
RNF208	698.41	713.11	264.03	249.73	583.07	497.0	215.77	703.28	279.14	0.0	0.51	217.27	153.34	149.12	100.83	17.38	157.68	253.23
RP11-595B24.2	0.0	0.0	44.57	60.82	40.36	5.68	29.48	120.1	26.28	0.0	0.0	1.62	0.0	0.0	0.0	0.0	0.0	1.62
SEC61B	6607.01	6887.62	6337.83	11584.24	10959.3	11992.79	8598.28	12853.63	18304.63	0.0	0.67	4512.4	3690.52	4972.34	3847.29	4937.99	2935.74	3847.29
SLC25A1	1447.15	1331.57	1697.45	2133.97	3820.7	6037.61	3955.48	6207.38	3419.52	0.0	0.57	1242.34	780.44	1037.29	1030.12	423.61	486.75	1216.75
SLC25A10	928.3	1721.16	1819.35	4575.41	2520.38	3190.46	2255.7	2816.11	1950.0	0.0	0.0	201.25	135.24	246.28	148.09	43.94	49.56	190.34
SLC27A2	417.77	1427.22	1417.35	563.18	2627.46	1457.23	4210.15	4543.8	1135.2	0.0	0.0	70.51	14.03	244.57	35.76	20.41	29.7	166.73
SSNA1	1794.29	1508.65	1594.73	1896.65	2555.58	1757.34	2061.24	2537.92	3515.68	0.0	0.26	1674.06	1529.73	1508.65	1498.22	476.71	620.67	1447.15
SUCLG1	1242.34	1628.26	1977.24	2609.3	2895.31	2018.8	2739.08	4607.24	2303.12	0.0	0.91	1457.23	1407.55	1529.73	1417.35	674.59	603.67	1096.5
SWI5	1119.56	1051.79	616.37	1250.98	1127.35	1051.79	866.07	1487.87	1088.92	0.0	0.46	698.41	460.44	620.67	460.44	334.46	476.71	476.71
TTC1	1127.35	1191.69	854.13	1259.69	825.0	934.76	728.11	1540.37	1662.49	0.0	0.18	1051.79	967.76	1127.35	1051.79	591.22	493.56	836.53
TXN	8598.28	8598.28	8598.28	16843.62	16045.82	6652.97	5954.47	13586.57	21320.18	0.0	1.14	3235.01	4268.94	5041.77	4937.99	8598.28	1909.85	3901.01
UQCR10	3212.66	2335.28	2701.35	3820.7	4575.41	4388.98	5479.15	7642.41	6079.61	0.0	0.56	3018.3	2645.74	2835.7	2520.38	961.07	1304.15	2351.53
UQCRQ	6250.56	4937.99	9945.68	16843.62	30572.63	33455.53	26800.01	46339.95	59063.35	7589.61	9673.69	4704.07	3716.2	4769.75	4181.07	2451.44	1896.65	3768.09
URM1	1427.22	909.17	1340.84	1369.04	1388.16	1340.84	1467.37	1359.57	2255.7	0.0	0.33	1561.89	1295.13	1127.35	1259.69	480.04	441.64	1322.37
USMG5	10154.69	5751.61	6426.31	11267.44	9088.59	12764.83	9151.82	21320.18	14561.8	0.0	1.06	5006.93	4639.29	5255.91	4639.29	3467.27	2485.67	4010.71
