	GTEX.11ZTT.2326.SM.5EQLG	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.CJ.5681.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.DZ.6131.11A.01R.1965.07	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.12WSG.0626.SM.5FQTQ	TCGA.38.4625.01A.01R.1206.07	TCGA.83.5908.01A.21R.2287.07	TCGA.44.2659.01A.01R.0946.07	TCGA.BR.8590.01A.11R.2402.13	TCGA.HU.A4GP.01A.11R.A251.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8484.01A.11R.2402.13	TCGA.CD.8528.01A.11R.2343.13
SLC41A3	339.14	1651.0	1216.75	1870.53	1651.0	1857.6	1259.69	1359.57	1540.37	1044.52	1268.46	1313.23	1617.0	1313.23	1467.37	1529.73	1135.2	229.72	202.66	575.03	0.0	379.04	785.88	660.68	400.71	967.76	909.17	988.12
SLC44A2	3060.45	3742.05	3982.99	7966.99	6121.9	7032.37	6337.83	5366.37	4239.45	3515.68	4481.23	5791.62	5913.33	4481.23	6037.61	4066.71	5633.22	444.72	108.14	633.73	2956.17	1572.76	2609.3	2119.22	1781.89	1639.59	1857.6	1407.55
SORCS2	9.34	514.56	316.37	2855.44	974.5	1685.71	493.56	242.88	1583.71	150.17	379.04	441.64	563.18	285.03	400.71	218.79	543.96	6.62	39.5	26.67	0.0	10.0	49.21	60.82	20.26	111.99	16.75	9.85
SULT2B1	6.94	403.5	49.21	226.54	368.65	713.11	83.45	19.82	180.02	36.27	193.01	202.66	91.41	503.95	397.93	69.52	119.26	7.57	22.26	2.86	0.0	28.04	27.25	74.58	34.02	63.0	16.39	21.01
SYNGR1	64.34	1498.22	872.1	4123.49	1617.0	3325.99	1167.14	866.07	2537.92	480.04	934.76	974.5	981.29	1001.93	1037.29	848.22	1199.98	3.0	47.84	44.57	0.0	87.03	132.44	206.94	47.5	406.31	55.89	18.7
TMEM109	2855.44	2520.38	2682.69	4704.07	3443.31	4639.29	2758.13	2796.65	3168.41	2976.74	2997.45	2956.17	2537.92	2895.31	2816.11	3081.75	3467.27	1477.58	1242.34	2255.7	0.0	1561.89	2384.37	2075.59	1208.34	2434.5	1447.15	1447.15
TRAPPC6A	728.11	1963.57	2303.12	3060.45	1685.71	2104.58	1662.49	1457.23	2240.11	1417.35	988.12	1397.83	1529.73	1519.15	1225.22	1857.6	2271.4	1023.0	1216.75	480.04	0.0	579.04	775.05	429.54	221.86	693.58	269.6	275.28
UMOD	0.0	602247.76	443937.41	3178687.03	1318073.06	789181.81	1070607.81	565825.41	1299926.74	54727.32	585779.24	434801.29	431797.89	422911.59	636586.81	502929.67	641014.63	0.0	0.0	1.95	0.0	0.0	0.0	0.0	3.41	0.0	8.45	0.0
WDR48	536.45	603.67	624.99	679.29	651.58	1225.22	902.89	748.61	1030.12	587.13	890.44	842.36	896.64	616.37	860.08	656.11	660.68	271.48	303.44	423.61	0.0	320.8	429.54	529.06	320.8	638.15	406.31	297.17
WDR65	0.34	24.63	17.77	24.28	41.52	58.3	36.79	12.45	25.91	22.1	35.25	35.25	27.05	31.45	36.79	31.67	30.56	10.63	5.68	2.53	0.0	12.45	4.21	1.35	11.21	17.13	6.89	2.68
WDTC1	529.06	1001.93	928.3	1119.56	995.0	1359.57	1175.27	1044.52	1073.91	947.83	954.43	1088.92	915.51	995.0	995.0	1044.52	1369.04	262.2	381.68	503.95	0.0	476.71	1044.52	718.08	521.76	928.3	693.58	212.78
ZC3H10	92.05	155.5	150.17	172.65	193.01	255.0	193.01	136.19	172.65	137.14	149.12	218.79	169.07	183.82	191.67	205.5	198.47	60.39	33.54	85.22	131.51	92.7	111.21	100.83	55.89	181.28	99.43	79.45
ZMAT4	0.0	7.4	11.38	232.94	2.05	45.85	38.95	4.5	42.41	11.3	3.32	2.56	11.73	14.45	20.11	24.63	45.53	0.0	0.0	1.71	0.0	0.0	0.53	3.29	1.57	4.74	0.44	0.4
ZNF425	22.92	62.56	72.52	85.82	92.7	130.6	80.01	42.11	114.36	44.57	63.45	96.01	79.45	82.29	76.17	71.5	81.71	3.69	5.32	5.11	0.0	15.34	23.08	41.52	16.27	50.98	23.59	12.83
