	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.IN.AB1X.11A.21R.A39E.31	TCGA.IN.AB1V.11A.11R.A414.31
C19orf10	4419.52	4543.8	8778.97	4639.29	3349.13	5594.3	5954.47	6381.92	6471.02	5711.87	4575.41	7331.05	4769.75	6037.61	3303.0	3257.52	4358.66	6561.36	6792.79	4181.07	5751.61	6164.49	7857.29	5041.77	9673.69	3103.19	10368.08	5913.33	6207.38	6426.31	3639.7	4123.49	4298.64	5791.62	12244.81	5112.16	4671.57	5751.61	4736.79	5594.3	7382.04	4639.29	7803.01	5479.15	2758.13	5076.84	4095.0	3081.75	5791.62	1199.98	1806.78	1936.53	902.89	1037.29
C1orf122	1806.78	1857.6	3443.31	2148.82	995.0	2434.5	2018.8	1870.53	2835.7	2004.85	1721.16	3103.19	1870.53	2468.49	1397.83	1066.48	1015.93	2061.24	2502.97	1594.73	2119.22	1498.22	3540.14	2178.83	2758.13	1119.56	4066.71	2777.33	2537.92	2075.59	1498.22	1378.57	1467.37	1605.83	4066.71	1721.16	1350.18	2178.83	1950.0	2104.58	3212.66	2468.49	2047.0	1572.76	1572.76	1950.0	1721.16	1685.71	2502.97	1304.15	961.07	961.07	698.41	848.22
C5orf38	460.44	417.77	595.34	432.53	253.23	872.1	540.19	260.38	967.76	454.09	493.56	921.88	587.13	563.18	126.12	229.72	381.68	368.65	733.19	325.29	607.87	199.85	961.07	239.52	896.64	295.11	108.9	559.28	915.51	679.29	414.87	128.79	241.19	1088.92	1030.12	624.99	303.44	660.68	343.89	1066.48	429.54	902.89	656.11	244.57	480.04	429.54	309.83	323.03	432.53	1.27	0.0	13.03	356.05	273.37
CHID1	2591.27	3124.78	4869.99	3325.99	1806.78	3443.31	3690.52	3443.31	2664.15	3467.27	2997.45	3491.39	2956.17	3325.99	2061.24	2090.03	1583.71	3665.02	3540.14	1870.53	3081.75	3190.46	4210.15	2720.15	3820.7	2090.03	5913.33	3124.78	3018.3	2720.15	2209.26	2240.11	2148.82	2627.46	4543.8	3564.78	2835.7	4358.66	3018.3	2701.35	3901.01	2855.44	4481.23	3257.52	1936.53	3257.52	2682.69	2271.4	3982.99	1268.46	1447.15	1617.0	941.27	1268.46
CHMP2A	3564.78	4388.98	6426.31	5517.27	3665.02	4481.23	6983.79	4869.99	4903.87	3874.05	3874.05	5555.65	4903.87	6250.56	3716.2	3018.3	2335.28	4836.35	5366.37	4543.8	5183.54	4575.41	6935.54	4543.8	6561.36	3665.02	7911.95	4972.34	5517.27	5041.77	3665.02	3847.29	4095.0	5872.48	6037.61	5366.37	3768.09	6164.49	4671.57	6699.25	4736.79	5995.9	5006.93	4802.93	3419.52	5219.6	4512.4	4210.15	6337.83	2855.44	1909.85	2335.28	3039.3	2796.65
CNPY2	3847.29	3665.02	7230.1	4802.93	4769.75	4152.18	5112.16	4358.66	4066.71	4769.75	4095.0	5292.48	5006.93	4450.27	3928.15	3982.99	2163.77	5831.91	4836.35	3768.09	4543.8	5041.77	5913.33	3768.09	6699.25	3349.13	7230.1	4769.75	4450.27	4937.99	3303.0	3349.13	3349.13	5441.3	6426.31	5954.47	3874.05	6337.83	4543.8	5219.6	4639.29	4575.41	5672.41	4388.98	2701.35	4358.66	3491.39	2915.45	5041.77	1388.16	1388.16	1697.45	1167.14	1119.56
COPE	5329.3	6561.36	10084.54	6652.97	3491.39	6516.03	8421.31	6840.04	7911.95	5791.62	4836.35	9409.14	6337.83	7382.04	3103.19	3372.43	3589.58	6337.83	7695.57	4704.07	6840.04	4152.18	10154.69	6381.92	8078.22	3515.68	14971.21	6699.25	7803.01	6792.79	4328.55	3060.45	4010.71	7130.55	12160.22	6652.97	3847.29	6983.79	5219.6	7642.41	6516.03	7180.15	6840.04	5633.22	3349.13	6164.49	4704.07	4210.15	6471.02	2163.77	2485.67	2303.12	3716.2	3235.01
CRELD2	1259.69	1594.73	3665.02	1769.57	759.08	1331.57	2224.63	1781.89	1832.01	2591.27	1331.57	2417.67	1844.76	1781.89	1467.37	518.15	796.86	2255.7	2303.12	1295.13	2148.82	1674.06	3955.48	1340.84	1529.73	981.29	4038.61	3212.66	2335.28	2682.69	848.22	769.69	1350.18	2032.85	3690.52	1769.57	1950.0	2104.58	1295.13	2537.92	2018.8	2271.4	2796.65	1096.5	928.3	1208.34	1167.14	1295.13	1417.35	414.87	616.37	624.99	314.17	426.57
CUTA	6164.49	6079.61	12076.21	7180.15	4869.99	7911.95	8078.22	7749.1	8022.41	6516.03	5479.15	8191.0	7857.29	8078.22	5292.48	4481.23	3982.99	8598.28	8078.22	5255.91	7857.29	7433.4	10084.54	6652.97	10014.87	5292.48	14262.1	8778.97	6935.54	7642.41	5147.73	5633.22	4607.24	7642.41	11827.67	7382.04	4869.99	9540.5	8778.97	7485.11	7032.37	8479.89	9673.69	7537.18	4450.27	7331.05	5913.33	5041.77	9945.68	4038.61	2664.15	2664.15	2119.22	2224.63
CYB561D2	1127.35	928.3	1651.0	1313.23	607.87	1331.57	1313.23	909.17	1268.46	1242.34	896.64	1417.35	1286.18	1096.5	780.44	450.94	642.59	1001.93	1259.69	902.89	1662.49	1135.2	1781.89	1304.15	1073.91	775.05	1963.57	1540.37	1923.14	1059.11	1066.48	674.59	1059.11	1151.06	1322.37	995.0	884.29	1529.73	1268.46	2075.59	1757.34	1487.87	1216.75	1096.5	426.57	921.88	954.43	769.69	1159.07	154.42	194.36	271.48	178.77	175.07
CYB5D2	525.39	420.68	1096.5	633.73	381.68	723.08	674.59	638.15	819.3	551.56	476.71	759.08	536.45	743.43	518.15	309.83	647.07	603.67	624.99	543.96	500.46	532.74	532.74	583.07	934.76	423.61	674.59	521.76	866.07	656.11	348.71	376.41	366.09	435.55	860.08	607.87	409.15	808.0	420.68	909.17	967.76	490.14	571.05	559.28	511.0	507.46	476.71	490.14	708.18	343.89	283.05	299.25	260.38	237.86
DAK	1651.0	1819.35	3768.09	1844.76	1104.13	2701.35	2485.67	1923.14	2148.82	1639.59	1417.35	1977.24	2287.2	1733.13	1216.75	1159.07	1044.52	2384.37	2502.97	1111.82	2451.44	1617.0	2224.63	1561.89	1870.53	1583.71	2451.44	1572.76	1909.85	1721.16	1594.73	1073.91	1427.22	2240.11	2895.31	2682.69	1519.15	2739.08	2018.8	2855.44	2384.37	2018.8	2400.97	1697.45	1001.93	1191.69	1519.15	1225.22	1857.6	403.5	420.68	603.67	785.88	825.0
DERL2	1896.65	2591.27	3395.89	2875.3	1697.45	2018.8	3639.7	2502.97	3372.43	2468.49	2018.8	2468.49	2018.8	2796.65	2271.4	1769.57	1685.71	2351.53	2287.2	1936.53	2573.36	3325.99	2796.65	2451.44	3235.01	1870.53	4268.94	2664.15	2682.69	2720.15	2163.77	2777.33	2400.97	1628.26	3847.29	2303.12	2133.97	2609.3	1721.16	3212.66	2758.13	3303.0	3039.3	2816.11	1388.16	2956.17	2367.9	1896.65	3768.09	651.58	583.07	579.04	860.08	825.0
DGCR6L	1427.22	1498.22	2701.35	1819.35	1037.29	1963.57	2555.58	1936.53	2956.17	1617.0	1340.84	2627.46	2004.85	2835.7	1277.29	587.13	1397.83	2193.99	2209.26	1369.04	1697.45	1487.87	3103.19	1870.53	2816.11	1059.11	3257.52	1870.53	2075.59	2018.8	1143.1	1340.84	1259.69	1697.45	3349.13	1950.0	1216.75	2417.67	2133.97	2148.82	2018.8	2739.08	1870.53	2032.85	1175.27	2434.5	1806.78	1437.15	2956.17	769.69	796.86	819.3	836.53	764.36
DGUOK	1477.58	1857.6	2351.53	1936.53	1605.83	1674.06	2485.67	1819.35	2104.58	1662.49	1417.35	2178.83	1781.89	1806.78	1487.87	1551.09	1340.84	1950.0	1883.54	1487.87	1806.78	1757.34	2335.28	1628.26	2319.15	1457.23	2627.46	1844.76	2163.77	2075.59	1340.84	1447.15	1457.23	1991.0	2224.63	2645.74	1447.15	2627.46	1540.37	2485.67	1806.78	1883.54	1819.35	1757.34	1304.15	1757.34	1487.87	1322.37	2090.03	909.17	796.86	796.86	848.22	728.11
DHRS4L2	543.96	620.67	1073.91	368.65	473.41	563.18	656.11	603.67	842.36	679.29	612.11	599.49	647.07	1268.46	698.41	327.56	400.71	934.76	860.08	507.46	591.22	698.41	995.0	928.3	848.22	460.44	1008.9	473.41	791.35	703.28	353.59	674.59	473.41	540.19	921.88	629.35	379.04	473.41	679.29	819.3	785.88	1242.34	753.83	769.69	656.11	1183.45	718.08	642.59	1277.29	356.05	229.72	295.11	483.38	612.11
DPY30	2178.83	2133.97	3372.43	2777.33	2319.15	2758.13	2895.31	2627.46	2609.3	2451.44	2384.37	2591.27	2468.49	2287.2	2047.0	1745.2	1844.76	2351.53	3168.41	2520.38	1977.24	3103.19	3257.52	2400.97	3372.43	2303.12	3190.46	2351.53	2796.65	2855.44	1991.0	2573.36	2178.83	2645.74	2997.45	2701.35	2240.11	2520.38	2193.99	2682.69	2451.44	3212.66	2591.27	2855.44	1628.26	2537.92	2384.37	1844.76	3018.3	1378.57	941.27	1096.5	1304.15	1313.23
EMD	1857.6	2701.35	3103.19	2319.15	1806.78	2335.28	2573.36	2163.77	2664.15	2090.03	1745.2	3018.3	2271.4	2835.7	2032.85	1757.34	1359.57	2591.27	2255.7	2018.8	2451.44	1697.45	2701.35	2004.85	2417.67	1745.2	2701.35	2739.08	2591.27	2468.49	2468.49	1617.0	2090.03	2485.67	2777.33	1844.76	1639.59	3491.39	2351.53	2555.58	2193.99	2645.74	2468.49	1896.65	2148.82	2319.15	2163.77	2193.99	2573.36	2032.85	2701.35	2835.7	1175.27	1073.91
ERGIC3	4972.34	6121.9	8134.41	6887.62	4903.87	6250.56	6699.25	6792.79	7180.15	5751.61	6381.92	8963.45	6699.25	9215.48	5329.3	4512.4	4419.52	7857.29	7433.4	4450.27	6426.31	7130.55	9025.81	5791.62	8840.04	5219.6	6792.79	7280.4	6745.86	7642.41	5183.54	5403.7	5672.41	6699.25	9025.81	7032.37	5633.22	7911.95	8658.09	7081.29	7485.11	7911.95	6935.54	6792.79	4481.23	6471.02	5751.61	5112.16	8901.53	2701.35	3081.75	3515.68	4010.71	3901.01
ERP29	5594.3	4769.75	9088.59	6337.83	4512.4	8901.53	7382.04	7230.1	6079.61	5219.6	4972.34	7485.11	8479.89	8479.89	3564.78	2468.49	2417.67	6337.83	8718.32	4481.23	5112.16	8598.28	8078.22	5633.22	10883.59	4239.45	12502.12	6121.9	9279.58	7695.57	4512.4	6037.61	5403.7	7642.41	13033.07	6516.03	4704.07	7911.95	4836.35	8134.41	6516.03	7695.57	6471.02	6699.25	3168.41	5672.41	5517.27	4038.61	8078.22	1250.98	1857.6	1674.06	1572.76	1417.35
FAM32A	1508.65	1447.15	1639.59	1844.76	1037.29	1529.73	1977.24	1757.34	1551.09	1745.2	1487.87	1769.57	1697.45	1883.54	1540.37	1331.57	1322.37	1870.53	1977.24	1674.06	1685.71	1583.71	2047.0	1757.34	1950.0	1529.73	2209.26	1769.57	1498.22	1909.85	1540.37	1508.65	1572.76	1806.78	1769.57	1950.0	1529.73	1950.0	1733.13	1769.57	1437.15	2090.03	1628.26	1674.06	1457.23	1674.06	1540.37	1628.26	1923.14	1242.34	1104.13	1233.75	1304.15	1135.2
GADD45GIP1	1651.0	2032.85	4181.07	2303.12	1477.58	2119.22	2935.74	2555.58	2997.45	2537.92	1628.26	3349.13	2255.7	2796.65	1397.83	1487.87	2061.24	2573.36	3419.52	1662.49	1963.57	2178.83	4388.98	2319.15	5147.73	1407.55	4123.49	2537.92	2956.17	2739.08	1674.06	1662.49	1540.37	2816.11	4704.07	2627.46	1594.73	2915.45	2573.36	2976.74	2591.27	2915.45	2573.36	1977.24	1397.83	2537.92	1857.6	1806.78	3103.19	2148.82	1709.26	1407.55	1583.71	1350.18
GMPPA	1378.57	1709.26	2367.9	1733.13	1250.98	1685.71	1819.35	1844.76	1447.15	1447.15	1331.57	1977.24	2133.97	1977.24	1037.29	1268.46	409.15	1745.2	2047.0	1397.83	1697.45	1639.59	2032.85	1745.2	1674.06	981.29	3349.13	2240.11	1844.76	2004.85	1844.76	1233.75	1697.45	1923.14	2627.46	1909.85	1286.18	2075.59	1467.37	2271.4	2319.15	1977.24	2061.24	1561.89	890.44	1857.6	1159.07	1268.46	1651.0	432.53	507.46	703.28	480.04	450.94
GNPTG	1721.16	2209.26	3124.78	2417.67	1304.15	2400.97	2997.45	2485.67	2627.46	1781.89	2090.03	3018.3	2104.58	2502.97	1378.57	1030.12	1286.18	2032.85	2682.69	1685.71	1561.89	1950.0	2796.65	2335.28	3146.52	1340.84	4066.71	1963.57	2417.67	2224.63	1498.22	1617.0	1781.89	2255.7	3690.52	2133.97	1769.57	2537.92	1674.06	2720.15	2451.44	2627.46	2816.11	2351.53	1477.58	1295.13	1870.53	1639.59	2875.3	1199.98	1286.18	1498.22	909.17	947.83
GPR108	1529.73	2224.63	3742.05	2004.85	1225.22	1991.0	3081.75	2434.5	2351.53	1745.2	1794.29	2104.58	2627.46	3081.75	2004.85	1551.09	2451.44	2090.03	3039.3	1923.14	1794.29	2193.99	3039.3	2061.24	2367.9	1477.58	2555.58	1936.53	1674.06	2119.22	1498.22	2119.22	2178.83	2417.67	3060.45	2976.74	1617.0	1857.6	1857.6	2758.13	2351.53	2303.12	2502.97	2178.83	1572.76	3190.46	2520.38	1721.16	3039.3	733.19	1119.56	954.43	1427.22	1096.5
HDLBP	13681.08	13306.94	22225.61	14163.58	12764.83	9945.68	10808.41	11504.21	16843.62	10440.2	10733.74	18819.27	12764.83	14163.58	9540.5	14361.31	6983.79	15607.02	14163.58	7589.61	13776.25	10296.45	15075.35	12329.98	14663.09	10733.74	17197.56	17078.76	16496.96	11504.21	16843.62	8421.31	11424.74	19214.73	16383.0	14867.79	11189.6	18689.27	15824.9	19348.38	19892.37	16269.83	15607.02	11035.54	8022.41	12415.75	9540.5	8022.41	14663.09	5831.91	7230.1	7331.05	8134.41	8191.0
HM13	5751.61	5366.37	9876.98	5751.61	3212.66	6250.56	7280.4	5517.27	6561.36	5954.47	3982.99	8134.41	7032.37	7589.61	3419.52	3419.52	2701.35	7382.04	8840.04	3794.3	5292.48	5913.33	7382.04	4607.24	8479.89	3372.43	10014.87	6745.86	5831.91	5831.91	5479.15	4575.41	5219.6	6840.04	10659.59	5292.48	4152.18	5711.87	7130.55	6207.38	8538.88	5872.48	6887.62	5441.3	3168.41	5006.93	5006.93	4450.27	8078.22	1350.18	1745.2	2018.8	3325.99	3039.3
HPN	4481.23	4543.8	10808.41	2758.13	3039.3	12160.22	5479.15	2400.97	5219.6	5076.84	2434.5	6426.31	7642.41	995.0	1167.14	7485.11	1950.0	8840.04	8305.36	2796.65	8479.89	2720.15	6792.79	2303.12	12589.08	2627.46	13492.72	4543.8	3467.27	2319.15	2384.37	780.44	551.56	6699.25	8363.13	6516.03	5219.6	8247.98	2835.7	7230.1	11424.74	2758.13	9540.5	348.71	92.05	1594.73	1259.69	1073.91	3491.39	57.49	50.63	20.71	6.31	4.94
JTB	3820.7	4388.98	6079.61	4210.15	3540.14	4298.64	4769.75	4972.34	5329.3	4066.71	3540.14	5006.93	4543.8	5076.84	3614.55	4095.0	3124.78	4836.35	4937.99	4010.71	4298.64	4268.94	7130.55	4671.57	7130.55	2976.74	6294.04	5183.54	5041.77	5711.87	4066.71	3901.01	3847.29	4639.29	6337.83	4239.45	3665.02	5872.48	4575.41	6164.49	5183.54	5329.3	4607.24	4388.98	2976.74	4481.23	4123.49	3168.41	5913.33	2004.85	2104.58	2682.69	1991.0	1923.14
KDELR1	5403.7	5183.54	7433.4	5954.47	4769.75	5041.77	6745.86	5006.93	6887.62	4704.07	4671.57	6983.79	5751.61	6652.97	4328.55	4450.27	3820.7	7180.15	5995.9	3589.58	6516.03	5711.87	5672.41	5366.37	5913.33	4481.23	7695.57	6745.86	6294.04	5711.87	5633.22	4481.23	4095.0	5872.48	6652.97	4972.34	4903.87	8078.22	6250.56	7081.29	7433.4	5147.73	5329.3	5791.62	4038.61	5219.6	5329.3	4328.55	7642.41	2451.44	2816.11	3212.66	2682.69	2777.33
KLK3	772940.66	881742.8	1345768.59	1005860.33	573724.06	1116072.03	1212874.47	887875.81	1163466.92	1116072.03	691801.16	751804.53	1063212.58	1055868.42	489177.0	691801.16	542775.98	1187913.85	1139523.1	619179.28	1100706.72	1327240.99	1147449.11	925580.18	978355.0	394590.4	1412675.8	1238359.56	1327240.99	1196176.45	805764.22	767601.56	589853.66	1063212.58	1212874.47	1238359.56	654483.73	985160.01	1048575.0	1345768.59	1472666.19	1229805.58	938500.81	894051.48	260332.24	1019901.63	794671.01	546551.29	1063212.58	1.97	13.12	0.0	0.0	0.0
LAMTOR1	2758.13	3039.3	5366.37	4419.52	2591.27	3716.2	4639.29	3794.3	4210.15	3665.02	2976.74	4736.79	3928.15	4869.99	3280.18	2224.63	1832.01	3901.01	3443.31	3018.3	4038.61	3665.02	5594.3	4095.0	4903.87	2796.65	4972.34	4328.55	4836.35	4210.15	2816.11	3168.41	2758.13	4298.64	5006.93	3325.99	3039.3	5292.48	3820.7	4543.8	4543.8	4769.75	3982.99	4095.0	2573.36	4210.15	3690.52	3081.75	4736.79	2163.77	2609.3	2240.11	1870.53	2004.85
