	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A8.A09W.01A.11R.A00Z.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0AU.11A.11R.A12P.07	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.RU72.0626.SM.46MUI	GTEX.T6MO.1426.SM.4DM73	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ALS2CL	316.37	258.57	64.8	64.34	111.99	30.78	53.95	82.87	137.14	134.3	62.56	429.54	159.9	70.01	142.01	269.6	56.68	37.59	295.11	358.54	392.44	521.76	221.86	314.17	1819.35	0.0	1.03
AMT	954.43	591.22	90.14	43.02	49.56	13.22	100.13	48.52	58.3	151.22	99.43	189.02	125.24	35.0	283.05	295.11	50.27	21.94	551.56	435.55	679.29	693.58	514.56	743.43	896.64	0.0	0.99
BEND5	187.71	166.73	115.16	77.79	21.63	18.43	69.52	82.87	85.82	143.01	96.01	25.91	80.01	214.27	384.34	46.18	28.24	36.01	193.01	187.71	356.05	267.73	371.22	108.9	1457.23	0.0	0.25
BEX2	1191.69	457.25	532.74	25.54	318.57	36.53	91.41	98.73	463.65	224.97	170.25	507.46	248.0	16.51	11.91	239.52	15.68	24.63	518.15	1225.22	1250.98	860.08	1037.29	988.12	656.11	0.0	0.35
BEX4	2032.85	1191.69	1191.69	351.14	1051.79	473.41	1651.0	563.18	830.75	1081.39	1551.09	1242.34	928.3	309.83	395.18	563.18	1008.9	183.82	1295.13	1806.78	1651.0	2004.85	2335.28	3081.75	3742.05	0.0	0.74
BUD13	289.02	351.14	218.79	320.8	307.69	180.02	316.37	309.83	189.02	218.79	348.71	334.46	253.23	246.28	346.29	260.38	244.57	205.5	351.14	412.0	463.65	454.09	480.04	432.53	323.03	0.0	0.51
BZRAP1	1135.2	934.76	273.37	59.55	85.22	52.45	181.28	120.94	163.28	249.73	205.5	211.31	76.71	93.35	384.34	69.52	125.24	102.25	571.05	878.17	981.29	1008.9	1030.12	947.83	1457.23	0.0	0.82
C1RL	872.1	836.53	1111.82	607.87	934.76	164.42	748.61	748.61	1037.29	656.11	514.56	708.18	518.15	412.0	753.83	947.83	255.0	182.55	1001.93	1295.13	1015.93	1295.13	1023.0	796.86	1340.84	0.0	0.72
C21orf62	2.23	4.13	3.0	0.65	0.73	0.34	1.33	0.0	0.36	0.66	2.2	1.66	0.8	0.0	1.14	1.17	0.0	0.0	3.41	2.51	2.12	5.68	3.11	4.35	2.16	0.0	0.0
C3orf35	33.78	21.47	17.25	10.96	8.0	3.03	14.24	14.67	15.68	8.0	30.56	25.17	24.81	9.78	15.34	3.56	16.51	6.36	17.77	14.56	26.28	8.25	18.29	16.27	28.04	0.0	0.49
C7orf63	417.77	162.14	104.42	26.1	52.45	16.27	293.07	135.24	73.03	220.32	88.88	142.01	84.04	15.34	293.07	27.44	14.78	35.25	167.9	221.86	229.72	108.14	283.05	289.02	395.18	0.0	0.08
CAPZA3	24.28	14.24	1.17	0.0	0.75	0.0	0.69	0.0	3.29	0.0	5.96	0.0	0.0	0.0	0.0	1.22	0.0	0.0	31.67	27.05	38.4	26.1	20.41	28.65	3.69	0.0	0.0
CATSPER2	156.59	169.07	91.41	30.34	32.59	10.63	62.12	84.63	31.67	74.06	49.56	83.45	63.0	5.92	119.26	24.63	25.72	52.82	112.77	87.65	150.17	155.5	141.02	144.01	111.99	0.0	0.64
CCDC17	25.72	23.59	2.2	3.96	2.14	2.68	6.57	7.51	6.16	6.52	5.23	10.39	5.68	13.52	18.16	8.92	10.31	2.34	26.1	15.91	27.25	18.29	34.75	10.24	3280.18	0.0	0.17
CCDC84	860.08	532.74	232.94	173.85	249.73	64.8	336.79	314.17	173.85	190.34	327.56	547.75	155.5	129.69	518.15	234.57	157.68	98.73	476.71	500.46	563.18	595.34	559.28	414.87	603.67	0.0	1.14
CCL15-CCL14	473.41	27.84	7.51	0.0	5.63	0.0	55.89	0.0	1.28	6.21	4.28	6.26	5.32	0.0	4.7	1.41	21.78	5.96	246.28	32.82	12.83	426.57	112.77	64.34	3716.2	0.0	0.41
CLK1	4123.49	2875.3	1963.57	1350.18	688.78	854.13	2739.08	1159.07	1183.45	1991.0	2351.53	2104.58	842.36	579.04	3395.89	669.92	743.43	748.61	3325.99	2485.67	4298.64	2956.17	3303.0	4450.27	3081.75	0.0	0.45
CMYA5	620.67	336.79	279.14	51.35	183.82	98.04	214.27	389.72	140.04	579.04	141.02	224.97	15.68	57.49	91.41	368.65	48.18	23.25	444.72	490.14	547.75	507.46	493.56	595.34	43.32	0.0	0.43
CRIP3	57.89	57.08	13.32	1.46	3.14	0.0	10.47	2.84	14.56	11.3	9.27	12.45	10.0	5.82	21.16	1.75	3.92	1.16	25.54	21.32	46.84	53.57	109.66	48.52	117.6	0.0	0.44
CTD-3088G3.8	31.9	44.89	9.93	1.13	2.03	3.26	8.45	6.62	4.17	7.34	11.3	7.06	7.17	2.29	8.06	5.06	3.59	3.29	22.26	20.71	48.18	29.48	30.34	52.45	48.18	0.0	0.89
DLEC1	41.22	21.47	9.78	26.86	5.02	0.79	4.28	8.19	8.78	5.87	3.72	57.89	13.12	2.61	19.11	16.51	16.63	1.16	15.11	22.43	39.79	15.56	33.78	44.25	1639.59	0.0	0.28
DMAP1	988.12	974.5	497.0	397.93	341.51	279.14	392.44	412.0	651.58	591.22	620.67	438.59	486.75	441.64	753.83	444.72	454.09	647.07	665.29	733.19	1175.27	1259.69	1437.15	1044.52	1369.04	547.75	100.83
ECHDC2	5041.77	4869.99	1721.16	947.83	669.92	543.96	2032.85	1331.57	1369.04	1950.0	2720.15	1135.2	967.76	819.3	3928.15	896.64	423.61	1733.13	3168.41	2816.11	5403.7	4704.07	7280.4	5076.84	3847.29	0.0	0.84
EQTN	4.1	3.76	0.0	0.0	0.0	0.0	0.0	0.74	0.79	0.0	0.0	0.0	1.73	0.0	1.25	2.53	0.0	0.0	4.43	3.44	8.58	4.9	4.13	2.56	9.7	0.0	0.0
EXOC7	2434.5	1733.13	1313.23	1388.16	1015.93	1583.71	1397.83	1331.57	1369.04	1487.87	981.29	1350.18	866.07	1427.22	921.88	1037.29	473.41	1051.79	1844.76	1685.71	1963.57	2739.08	2148.82	2075.59	2875.3	0.0	0.8
EZH1	612.11	836.53	423.61	346.29	312.0	164.42	373.81	435.55	381.68	400.71	183.82	441.64	255.0	140.04	547.75	341.51	148.09	295.11	759.08	802.41	1167.14	1331.57	1417.35	1313.23	1015.93	0.0	0.82
FAM228B	454.09	281.09	204.07	158.79	165.57	111.99	202.66	173.85	136.19	166.73	176.29	127.89	201.25	96.68	387.02	131.51	293.07	161.02	381.68	323.03	318.57	723.08	371.22	371.22	836.53	0.0	0.37
FLJ00418	12.83	17.51	4.24	3.29	1.73	1.58	0.87	1.22	5.45	1.22	1.17	3.76	1.89	4.24	3.06	3.56	0.0	1.25	10.0	18.29	16.88	5.19	18.84	22.59	8.25	0.0	0.68
GOLGA8B	1151.06	934.76	381.68	236.21	129.69	6.73	82.87	194.36	277.2	363.56	358.54	206.94	198.47	40.93	412.0	312.0	132.44	33.06	423.61	587.13	1617.0	387.02	1709.26	607.87	941.27	0.0	1.41
GSTK1	7032.37	5872.48	4388.98	4268.94	1896.65	1794.29	2855.44	3794.3	3847.29	3742.05	4736.79	3395.89	2855.44	2664.15	5954.47	4704.07	2417.67	5441.3	5555.65	4704.07	4836.35	7433.4	8538.88	3928.15	24321.43	0.0	1.06
GSTM2	7857.29	2796.65	529.06	454.09	77.79	134.3	1066.48	363.56	503.95	1313.23	915.51	796.86	293.07	148.09	2303.12	480.04	100.83	412.0	2875.3	1909.85	3690.52	3124.78	11189.6	4181.07	5329.3	0.0	1.22
HINFP	559.28	595.34	267.73	211.31	336.79	105.89	346.29	262.2	211.31	289.02	373.81	392.44	232.94	159.9	314.17	285.03	153.34	145.02	400.71	397.93	579.04	563.18	400.71	463.65	529.06	0.0	0.56
HSPBAP1	209.84	194.36	173.85	120.94	138.1	88.88	101.54	129.69	102.97	120.1	81.71	124.37	139.07	101.54	173.85	164.42	80.01	61.25	197.09	242.88	246.28	265.87	202.66	137.14	400.71	0.0	0.57
HYI	1583.71	1769.57	785.88	713.11	171.45	647.07	1059.11	571.05	813.63	1096.5	967.76	802.41	395.18	466.88	2400.97	669.92	497.0	1427.22	1088.92	1250.98	1662.49	4481.23	2520.38	1594.73	1870.53	0.0	0.75
ITFG2	813.63	796.86	463.65	316.37	273.37	201.25	595.34	723.08	412.0	603.67	981.29	713.11	384.34	301.33	723.08	529.06	441.64	336.79	674.59	723.08	1286.18	1143.1	1030.12	848.22	1030.12	0.0	0.21
JMJD7-PLA2G4B	141.02	148.09	46.5	15.68	12.55	10.08	37.85	41.81	54.33	48.52	102.97	103.69	19.25	52.08	87.03	30.34	16.39	31.67	88.26	73.03	205.5	167.9	201.25	228.13	118.43	0.0	1.06
KLKB1	30.78	14.56	4.62	1.36	5.59	2.41	7.11	5.36	7.51	3.06	1.33	7.82	2.86	4.21	12.36	2.43	0.38	1.75	18.43	21.16	14.67	20.11	26.28	24.28	47.84	0.0	0.28
LMBR1L	1340.84	1008.9	486.75	271.48	262.2	185.11	497.0	381.68	435.55	473.41	483.38	733.19	454.09	384.34	536.45	540.19	281.09	279.14	842.36	748.61	1175.27	954.43	988.12	785.88	1233.75	0.0	0.58
LSMEM1	88.26	20.11	36.79	17.64	15.34	13.32	18.97	29.7	10.47	26.67	18.56	14.78	22.92	21.47	25.91	20.56	19.39	3.35	44.25	71.0	35.0	50.27	37.32	66.65	34.75	0.0	0.59
LYSMD4	199.85	131.51	116.78	39.22	44.89	21.63	23.76	46.5	55.1	49.56	63.45	78.34	146.03	50.63	58.71	63.45	52.08	93.35	146.03	166.73	159.9	336.79	202.66	287.01	59.97	0.0	0.52
MLH3	379.04	314.17	267.73	318.57	194.36	231.32	289.02	318.57	299.25	457.25	241.19	228.13	242.88	195.72	339.14	224.97	253.23	223.41	368.65	363.56	420.68	348.71	320.8	688.78	551.56	0.0	0.39
MOK	802.41	450.94	212.78	170.25	144.01	162.14	503.95	341.51	371.22	559.28	358.54	403.5	199.85	165.57	536.45	175.07	223.41	178.77	299.25	429.54	454.09	381.68	599.49	497.0	476.71	0.0	0.39
MSANTD2	273.37	215.77	113.56	110.43	82.87	36.53	124.37	115.97	74.06	84.04	167.9	108.9	88.26	40.93	204.07	74.06	51.35	38.67	173.85	157.68	271.48	215.77	297.17	187.71	312.0	0.0	0.61
NPHP3	381.68	273.37	206.94	100.13	99.43	64.34	201.25	115.97	133.36	135.24	221.86	170.25	167.9	114.36	214.27	127.89	73.54	45.85	381.68	426.57	532.74	318.57	500.46	555.41	371.22	0.0	0.64
NSMCE4A	1397.83	1477.58	1015.93	728.11	500.46	555.41	967.76	616.37	647.07	884.29	947.83	708.18	497.0	334.46	1447.15	483.38	830.75	684.02	1295.13	1313.23	1447.15	1498.22	2163.77	1819.35	1167.14	0.0	0.74
NTF4	208.38	180.02	45.21	1.31	1.48	1.01	5.11	3.35	40.93	2.34	4.21	87.65	8.13	13.83	7.4	107.38	3.72	9.34	229.72	314.17	387.02	251.48	262.2	251.48	2075.59	0.0	0.4
OR1L8	6.57	2.94	4.24	1.0	0.75	0.69	3.41	3.03	0.73	1.36	2.61	2.05	2.46	1.77	0.79	2.81	1.03	0.0	3.08	8.45	8.65	8.85	6.36	2.89	3.66	0.0	0.0
PHYKPL	1001.93	974.5	563.18	258.57	221.86	178.77	493.56	473.41	381.68	708.18	500.46	974.5	376.41	409.15	713.11	473.41	158.79	255.0	842.36	688.78	813.63	1322.37	988.12	571.05	1697.45	0.0	1.03
PIGL	387.02	563.18	220.32	74.06	114.36	189.02	260.38	138.1	178.77	249.73	131.51	141.02	177.53	190.34	363.56	172.65	218.79	106.63	384.34	514.56	595.34	285.03	642.59	500.46	470.14	0.0	0.53
PINLYP	297.17	79.45	78.89	26.86	34.02	25.72	58.3	71.0	33.78	309.83	22.1	540.19	53.95	39.79	48.18	29.06	60.82	35.5	323.03	190.34	183.82	432.53	241.19	229.72	1857.6	0.0	0.56
PLA2G4B	264.03	295.11	59.13	35.25	14.35	0.0	45.85	47.5	62.56	71.5	132.44	154.42	54.33	42.41	108.14	41.52	118.43	19.11	194.36	158.79	293.07	353.59	376.41	429.54	221.86	0.0	1.1
PLCD1	624.99	429.54	323.03	269.6	171.45	241.19	409.15	281.09	373.81	395.18	1183.45	417.77	325.29	189.02	507.46	234.57	262.2	366.09	551.56	525.39	511.0	1540.37	775.05	423.61	507.46	0.0	0.73
PLCZ1	10.79	13.72	2.05	0.0	0.4	0.0	3.29	0.0	3.47	0.0	3.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.54	7.17	8.58	8.0	7.69	6.94	0.0	0.0	0.05
PNPLA2	7695.57	4038.61	4181.07	1685.71	1001.93	1015.93	1519.15	3257.52	4639.29	3515.68	3081.75	3982.99	2148.82	2627.46	6426.31	1757.34	1111.82	3372.43	2997.45	3928.15	3820.7	4704.07	4736.79	2915.45	5041.77	0.0	0.97
RAB40A	15.0	7.51	3.23	5.82	3.5	2.14	3.92	3.5	17.64	7.69	0.72	12.09	7.22	2.58	4.46	4.21	7.06	1.46	9.27	12.18	11.21	18.43	12.55	17.25	29.27	0.0	0.04
RAD52	289.02	389.72	159.9	115.97	99.43	38.4	181.28	221.86	150.17	201.25	208.38	208.38	71.5	137.14	211.31	107.38	66.65	89.51	281.09	269.6	334.46	289.02	283.05	366.09	242.88	0.0	0.23
RBM5	3443.31	3060.45	1844.76	1359.57	915.51	738.29	1896.65	1639.59	1467.37	2104.58	2451.44	1883.54	1397.83	988.12	2119.22	1359.57	703.28	836.53	2287.2	2351.53	3589.58	2178.83	3303.0	3280.18	2555.58	0.0	1.22
RBM6	2004.85	1794.29	1225.22	679.29	896.64	429.54	1037.29	1001.93	743.43	1030.12	896.64	1350.18	1340.84	532.74	1674.06	733.19	698.41	555.41	1477.58	1340.84	2468.49	1295.13	1674.06	3018.3	2018.8	819.3	607.87
RNF214	358.54	447.82	248.0	361.04	395.18	167.9	327.56	373.81	239.52	260.38	234.57	368.65	368.65	197.09	336.79	327.56	164.42	220.32	423.61	480.04	607.87	476.71	500.46	698.41	555.41	0.0	0.23
RP11-295P9.3	480.04	384.34	173.85	113.56	75.64	69.03	144.01	226.54	195.72	173.85	253.23	325.29	154.42	209.84	162.14	108.14	157.68	88.88	389.72	363.56	728.11	441.64	559.28	703.28	371.22	0.0	1.01
SCGB2A2	649962.87	110983.6	1800541.22	845824.19	800198.39	120.1	1318073.06	1163466.92	1238359.56	2279047.19	1668359.93	1600397.78	1524599.69	845824.19	8805660.77	1345768.59	912837.43	1578364.61	101420.22	110983.6	127486.83	180294.02	1019901.63	136637.07	1503610.06	0.0	0.0
SEC16B	102.97	90.77	70.01	30.56	31.45	25.54	18.16	112.77	40.64	27.25	49.56	78.34	120.1	18.97	50.98	53.95	13.22	19.25	111.99	106.63	96.68	171.45	64.8	27.64	151.22	0.0	0.33
SEC31B	283.05	177.53	65.72	28.45	30.78	6.31	61.68	15.68	37.59	82.29	100.83	101.54	103.69	30.56	109.66	105.15	27.44	13.42	197.09	121.79	226.54	283.05	239.52	194.36	112.77	0.0	1.28
SERP2	145.02	185.11	187.71	189.02	35.0	35.5	27.84	28.65	221.86	156.59	7.11	232.94	21.01	77.79	241.19	185.11	19.25	108.9	136.19	165.57	178.77	334.46	201.25	177.53	397.93	0.0	0.35
SIDT2	1008.9	854.13	551.56	612.11	320.8	285.03	961.07	872.1	743.43	403.5	947.83	819.3	563.18	323.03	961.07	595.34	620.67	1216.75	988.12	1044.52	1051.79	1340.84	1733.13	2104.58	759.08	0.0	0.55
SLC16A11	152.28	94.01	26.1	1.19	1.71	0.0	3.0	0.85	31.45	2.97	41.52	3.72	0.57	0.88	0.96	60.39	14.03	3.03	44.89	82.29	162.14	147.06	129.69	64.8	532.74	0.0	0.0
SNX21	624.99	521.76	275.28	232.94	162.14	170.25	264.03	476.71	361.04	301.33	373.81	480.04	244.57	156.59	473.41	281.09	450.94	351.14	435.55	500.46	441.64	780.44	392.44	493.56	909.17	0.0	0.77
SRSF5	11992.79	11345.82	3982.99	2758.13	2148.82	3081.75	5594.3	5441.3	4639.29	5517.27	8247.98	7485.11	6294.04	3235.01	5954.47	5479.15	4268.94	5751.61	8479.89	13492.72	12160.22	7081.29	19082.0	15607.02	8658.09	3491.39	2555.58
STAT6	2895.31	2627.46	1359.57	1175.27	698.41	921.88	1733.13	1594.73	1427.22	1923.14	1268.46	2133.97	1427.22	1225.22	1745.2	1508.65	1030.12	1662.49	2255.7	2796.65	2796.65	4358.66	3146.52	3955.48	5517.27	1721.16	305.55
SYT8	764.36	412.0	143.01	0.0	8.78	0.0	2.48	7.94	175.07	32.36	1.38	8.78	23.25	24.46	22.75	89.51	9.41	7.75	189.02	371.22	785.88	1340.84	368.65	165.57	1397.83	0.0	0.45
TAS2R20	18.56	20.56	5.73	5.59	7.06	1.89	12.83	14.89	9.06	8.13	8.51	10.63	2.66	5.23	19.39	5.54	2.58	0.46	20.56	8.13	19.11	26.67	12.18	19.39	8.65	0.0	0.56
TAS2R5	27.84	17.9	11.64	7.22	6.26	2.92	15.45	11.82	14.14	11.82	11.38	27.25	13.83	23.08	16.51	3.0	7.46	14.56	34.75	20.56	78.34	32.36	35.0	47.5	25.54	0.0	0.64
TBRG1	629.35	651.58	387.02	591.22	323.03	228.13	575.03	470.14	297.17	363.56	371.22	567.1	450.94	173.85	503.95	647.07	223.41	167.9	693.58	629.35	583.07	559.28	796.86	674.59	674.59	329.84	118.43
TEPP	52.82	21.32	4.28	0.0	0.0	0.0	2.41	0.37	5.06	1.38	0.68	1.73	2.05	0.39	0.82	4.43	7.46	0.38	41.22	43.63	49.91	122.64	25.17	31.67	50.27	0.0	0.22
TLE2	2104.58	961.07	473.41	241.19	151.22	281.09	218.79	291.04	406.31	587.13	791.35	616.37	309.83	351.14	199.85	872.1	595.34	202.66	947.83	890.44	961.07	1487.87	2287.2	1322.37	551.56	0.0	0.97
TMEM91	651.58	426.57	120.94	239.52	85.22	62.56	82.29	180.02	181.28	204.07	62.56	343.89	71.0	132.44	647.07	104.42	21.63	44.57	463.65	285.03	447.82	356.05	607.87	483.38	1051.79	0.0	0.62
TMPRSS12	6.06	1.27	0.74	0.32	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	1.19	0.0	0.0	0.39	0.0	0.0	7.57	5.02	1.75	5.02	3.0	5.11	0.83	0.0	0.0
TRMT10B	297.17	285.03	169.07	175.07	171.45	109.66	194.36	209.84	141.02	205.5	201.25	231.32	139.07	186.4	224.97	117.6	56.68	170.25	241.19	275.28	343.89	283.05	336.79	334.46	221.86	0.0	0.48
TUBG2	669.92	591.22	267.73	206.94	137.14	130.6	264.03	403.5	329.84	493.56	107.38	551.56	130.6	173.85	423.61	251.48	221.86	228.13	679.29	599.49	616.37	1059.11	769.69	728.11	769.69	0.0	0.51
UBAP1L	92.05	94.67	22.59	7.11	13.32	2.68	21.01	22.92	27.84	22.1	21.63	30.56	8.71	8.65	54.72	13.93	6.21	4.17	81.14	52.82	128.79	58.71	96.01	128.79	98.73	0.0	0.68
VIPR1	507.46	629.35	476.71	135.24	42.71	215.77	454.09	262.2	255.0	587.13	624.99	764.36	400.71	88.26	429.54	381.68	412.0	212.78	518.15	559.28	988.12	928.3	995.0	642.59	154.42	0.0	0.52
VSIG2	343.89	221.86	228.13	0.42	4.9	178.77	40.07	356.05	65.26	490.14	376.41	8.51	8.92	3.26	2061.24	9.93	142.01	8.19	169.07	316.37	679.29	460.44	2351.53	1044.52	77396.54	0.0	0.31
ZMAT1	575.03	351.14	204.07	97.36	97.36	31.45	258.57	137.14	116.78	291.04	287.01	130.6	165.57	53.95	366.09	63.89	90.77	65.72	293.07	271.48	447.82	490.14	764.36	603.67	848.22	0.0	0.65
ZNF132	81.71	57.08	62.12	93.35	20.86	30.56	58.3	31.45	88.26	92.7	26.67	52.08	76.17	25.35	63.89	64.34	19.68	178.77	112.77	73.03	136.19	246.28	121.79	170.25	71.5	0.0	0.13
ZNF354B	295.11	256.78	139.07	103.69	128.79	26.67	204.07	108.9	112.77	183.82	163.28	142.01	126.12	77.25	206.94	133.36	60.39	82.29	289.02	246.28	318.57	204.07	206.94	283.05	323.03	0.0	0.91
ZNF577	1111.82	397.93	154.42	60.82	180.02	182.55	312.0	269.6	124.37	387.02	563.18	186.4	248.0	392.44	277.2	204.07	329.84	23.76	316.37	309.83	559.28	532.74	1199.98	476.71	941.27	0.0	0.65
