	TCGA.E7.A7PW.01A.11R.A352.07	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.CC.A9FW.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.KR.A7K8.01A.11R.A33J.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.CC.A8HU.01A.11R.A36F.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.145MO.2326.SM.5NQ9K	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.UPK5.1426.SM.4JBHH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.V1.A8WV.01A.11R.A37L.07
ATG4D	1331.57	295.11	262.2	356.05	466.88	555.41	301.33	361.04	1066.48	503.95	780.44	486.75	318.57	450.94	373.81	279.14	698.41	389.72	351.14	325.29	435.55	253.23	211.31	234.57	287.01	226.54	265.87	318.57	215.77	84.63	152.28	154.42	305.55	190.34	273.37	186.4	239.52	297.17	409.15	149.12	197.09	287.01	0.0	0.97	1225.22
ATP6AP1	3794.3	698.41	1008.9	4450.27	4388.98	1651.0	1259.69	1551.09	5255.91	3443.31	3928.15	1651.0	4543.8	2956.17	1781.89	1369.04	3716.2	3325.99	2148.82	1467.37	3955.48	1183.45	1407.55	1250.98	967.76	1119.56	1322.37	1096.5	1183.45	1191.69	1378.57	1096.5	1963.57	1340.84	1551.09	1159.07	1407.55	1757.34	902.89	1111.82	1088.92	1639.59	0.0	0.78	4736.79
BOLA1	2720.15	309.83	438.59	748.61	759.08	579.04	587.13	559.28	1088.92	1313.23	928.3	356.05	1457.23	708.18	1216.75	607.87	1044.52	1037.29	1605.83	624.99	890.44	536.45	426.57	447.82	400.71	525.39	316.37	497.0	376.41	215.77	223.41	346.29	587.13	134.3	426.57	320.8	435.55	318.57	551.56	435.55	543.96	595.34	0.0	0.33	1135.2
C15orf61	143.01	92.05	119.26	161.02	136.19	127.89	94.01	157.68	490.14	128.79	332.14	185.11	262.2	211.31	185.11	90.14	260.38	173.85	94.01	131.51	148.09	117.6	104.42	120.1	103.69	104.42	78.89	110.43	81.14	61.68	100.13	65.26	73.03	46.18	120.1	84.63	113.56	92.7	197.09	136.19	105.15	152.28	0.0	0.39	309.83
C2orf82	92.05	1.31	146.03	6983.79	182.55	126.12	514.56	234.57	172.65	217.27	775.05	229.72	155.5	334.46	208.38	212.78	1167.14	176.29	579.04	164.42	423.61	85.22	69.52	63.0	262.2	81.71	27.84	88.88	50.98	35.25	13.32	12.93	94.01	16.03	58.71	21.78	43.63	43.02	82.29	68.55	105.15	167.9	0.0	0.45	67.12
C6orf1	1268.46	162.14	309.83	1286.18	616.37	547.75	480.04	656.11	1096.5	974.5	890.44	785.88	1519.15	866.07	1467.37	540.19	1208.34	748.61	733.19	559.28	848.22	373.81	215.77	237.86	244.57	384.34	249.73	348.71	273.37	156.59	154.42	175.07	220.32	159.9	226.54	186.4	195.72	204.07	441.64	190.34	221.86	295.11	0.0	0.64	2609.3
C6orf136	860.08	170.25	320.8	497.0	540.19	595.34	417.77	497.0	1331.57	493.56	848.22	775.05	587.13	748.61	796.86	309.83	1096.5	591.22	688.78	543.96	507.46	381.68	384.34	318.57	423.61	348.71	361.04	454.09	242.88	202.66	205.5	301.33	397.93	295.11	353.59	260.38	271.48	366.09	493.56	242.88	267.73	368.65	0.0	0.73	988.12
C7orf50	2895.31	389.72	791.35	1883.54	2417.67	1340.84	1540.37	1250.98	1104.13	5183.54	3257.52	2627.46	1175.27	1832.01	1806.78	1073.91	4836.35	1769.57	1583.71	1030.12	1923.14	967.76	567.1	902.89	1030.12	1208.34	624.99	872.1	518.15	540.19	397.93	555.41	567.1	599.49	555.41	921.88	591.22	842.36	1225.22	1167.14	1340.84	476.71	0.0	0.52	3443.31
C8orf82	928.3	155.5	934.76	1295.13	1529.73	775.05	1628.26	1073.91	1277.29	1561.89	1697.45	1359.57	890.44	2319.15	2104.58	612.11	215.77	842.36	1991.0	624.99	748.61	660.68	753.83	830.75	1066.48	753.83	521.76	629.35	473.41	248.0	457.25	323.03	497.0	441.64	441.64	420.68	708.18	303.44	819.3	915.51	825.0	813.63	0.0	0.47	1397.83
CAPN10	591.22	94.67	162.14	438.59	351.14	242.88	234.57	221.86	559.28	420.68	271.48	348.71	351.14	325.29	234.57	204.07	339.14	356.05	361.04	305.55	366.09	195.72	55.1	138.1	145.02	103.69	120.1	146.03	65.72	36.53	85.22	81.14	199.85	129.69	165.57	92.7	128.79	189.02	190.34	142.01	181.28	153.34	0.0	1.03	723.08
CCDC11	42.41	0.79	5.82	9.06	10.39	21.01	12.64	17.13	19.39	10.55	15.91	13.72	53.95	9.27	5.11	9.34	8.58	13.32	31.67	6.57	7.0	7.34	4.9	4.35	4.66	1.58	3.66	1.73	0.0	0.99	3.99	0.6	5.02	0.1	5.92	1.81	3.96	2.05	3.92	1.5	3.89	0.31	0.0	0.0	40.36
CCDC130	1651.0	191.67	392.44	647.07	669.92	450.94	412.0	429.54	921.88	780.44	723.08	733.19	540.19	547.75	450.94	511.0	1008.9	603.67	674.59	503.95	571.05	368.65	241.19	267.73	312.0	297.17	316.37	277.2	217.27	176.29	195.72	155.5	389.72	309.83	305.55	309.83	226.54	293.07	332.14	295.11	289.02	249.73	0.0	1.19	1073.91
CCDC61	521.76	78.34	201.25	301.33	392.44	204.07	229.72	232.94	417.77	389.72	450.94	371.22	256.78	283.05	191.67	187.71	341.51	289.02	212.78	178.77	356.05	178.77	155.5	141.02	139.07	208.38	98.04	152.28	121.79	95.34	92.05	68.55	197.09	56.68	142.01	100.83	162.14	180.02	134.3	147.06	187.71	171.45	0.0	0.27	258.57
CD320	1844.76	381.68	320.8	854.13	961.07	595.34	514.56	444.72	967.76	1427.22	1066.48	769.69	1119.56	928.3	718.08	532.74	1259.69	961.07	1096.5	447.82	1208.34	400.71	332.14	236.21	334.46	426.57	314.17	297.17	244.57	135.24	205.5	341.51	447.82	397.93	325.29	974.5	299.25	591.22	293.07	329.84	269.6	309.83	0.0	0.51	3820.7
CDPF1	316.37	206.94	104.42	435.55	165.57	126.12	275.28	154.42	332.14	224.97	237.86	220.32	293.07	229.72	379.04	144.01	289.02	183.82	260.38	171.45	221.86	169.07	73.03	100.83	66.18	108.14	61.68	106.63	63.45	70.01	29.48	65.26	183.82	73.54	88.26	70.01	97.36	98.73	77.79	90.14	99.43	68.55	0.0	0.15	514.56
CPSF4	842.36	753.83	241.19	1066.48	543.96	400.71	387.02	500.46	454.09	638.15	780.44	521.76	669.92	353.59	463.65	281.09	1628.26	420.68	551.56	384.34	400.71	299.25	246.28	287.01	229.72	236.21	194.36	197.09	180.02	172.65	127.0	246.28	267.73	358.54	255.0	384.34	241.19	279.14	173.85	226.54	242.88	314.17	0.0	0.96	708.18
CYP2R1	638.15	212.78	180.02	435.55	297.17	253.23	490.14	312.0	514.56	232.94	688.78	173.85	470.14	314.17	470.14	299.25	336.79	389.72	571.05	426.57	353.59	287.01	178.77	190.34	164.42	195.72	142.01	223.41	130.6	199.85	69.52	169.07	128.79	170.25	177.53	191.67	171.45	183.82	305.55	202.66	269.6	265.87	0.0	0.57	954.43
DDX41	1963.57	417.77	941.27	2816.11	1896.65	1331.57	1794.29	1769.57	2287.2	1936.53	2090.03	2627.46	2119.22	1388.16	2148.82	1175.27	1617.0	1540.37	1963.57	1250.98	1639.59	1051.79	896.64	842.36	872.1	1073.91	866.07	884.29	728.11	612.11	674.59	713.11	1151.06	1059.11	995.0	854.13	791.35	575.03	1104.13	836.53	866.07	896.64	0.0	0.78	1697.45
DDX51	400.71	139.07	193.01	563.18	420.68	265.87	193.01	262.2	255.0	521.76	563.18	351.14	316.37	232.94	297.17	255.0	363.56	221.86	332.14	287.01	275.28	212.78	132.44	161.02	145.02	169.07	157.68	171.45	189.02	102.97	84.63	115.16	214.27	170.25	220.32	242.88	123.5	120.1	191.67	157.68	204.07	172.65	334.46	105.89	616.37
DHPS	1508.65	743.43	1233.75	2018.8	1745.2	1388.16	1781.89	1819.35	2303.12	1605.83	2485.67	1923.14	1709.26	1467.37	1870.53	1427.22	2796.65	1388.16	2032.85	1540.37	1259.69	1242.34	1030.12	1268.46	1151.06	1313.23	1037.29	1151.06	884.29	961.07	872.1	718.08	1477.58	848.22	1662.49	1001.93	1159.07	854.13	1001.93	995.0	1233.75	1437.15	0.0	0.97	3515.68
DHX34	703.28	62.56	120.1	483.38	332.14	267.73	205.5	189.02	400.71	368.65	591.22	480.04	595.34	314.17	287.01	163.28	361.04	249.73	384.34	256.78	309.83	140.04	98.04	113.56	126.12	116.78	147.06	105.89	85.22	60.82	66.18	64.8	172.65	137.14	183.82	101.54	67.12	113.56	121.79	127.0	132.44	134.3	0.0	0.53	473.41
DNAJB2	2468.49	866.07	854.13	2018.8	1721.16	1487.87	2018.8	961.07	2645.74	1991.0	2303.12	2520.38	2178.83	2591.27	2591.27	941.27	3039.3	1819.35	2193.99	1313.23	1781.89	1096.5	791.35	819.3	941.27	1191.69	713.11	842.36	518.15	563.18	703.28	420.68	1268.46	753.83	1457.23	665.29	708.18	902.89	1127.35	642.59	1037.29	890.44	0.0	0.6	2520.38
DTYMK	1628.26	318.57	287.01	780.44	525.39	429.54	417.77	409.15	802.41	1044.52	651.58	624.99	1286.18	543.96	638.15	379.04	1781.89	599.49	748.61	490.14	1008.9	334.46	237.86	197.09	277.2	366.09	248.0	279.14	239.52	135.24	159.9	265.87	320.8	281.09	343.89	147.06	205.5	336.79	205.5	221.86	281.09	262.2	0.0	0.21	961.07
E4F1	830.75	126.12	198.47	373.81	371.22	305.55	343.89	351.14	381.68	480.04	371.22	476.71	417.77	423.61	571.05	320.8	559.28	403.5	529.06	320.8	358.54	368.65	149.12	181.28	211.31	195.72	142.01	150.17	132.44	88.88	100.13	155.5	202.66	191.67	163.28	198.47	155.5	201.25	239.52	138.1	191.67	277.2	0.0	0.85	1143.1
ETV2	279.14	13.62	40.93	99.43	47.17	23.59	91.41	34.51	106.63	59.13	109.66	53.19	87.03	57.49	82.29	37.05	49.21	63.45	58.3	28.65	47.5	61.68	25.35	23.76	41.52	33.3	29.91	43.02	12.18	36.53	50.98	32.82	59.55	35.5	26.28	34.02	64.34	37.32	68.07	22.92	57.49	42.41	0.0	0.11	56.68
FASTK	3928.15	466.88	1397.83	2835.7	2303.12	1923.14	1322.37	2061.24	3665.02	3491.39	2287.2	3303.0	2855.44	2163.77	1909.85	1447.15	2119.22	2047.0	2816.11	2090.03	2133.97	1467.37	866.07	974.5	1304.15	1674.06	988.12	1167.14	1081.39	759.08	836.53	759.08	1883.54	988.12	1216.75	1088.92	1051.79	1008.9	1427.22	1242.34	1721.16	1340.84	0.0	0.74	4010.71
FDX1L	974.5	329.84	397.93	854.13	830.75	791.35	703.28	454.09	1322.37	1295.13	1081.39	1359.57	1044.52	909.17	830.75	507.46	934.76	743.43	1208.34	412.0	934.76	384.34	381.68	258.57	457.25	587.13	303.44	540.19	361.04	229.72	195.72	323.03	743.43	336.79	642.59	307.69	348.71	389.72	507.46	265.87	435.55	511.0	0.0	0.21	1008.9
FLAD1	3847.29	612.11	595.34	1477.58	1378.57	1066.48	860.08	981.29	1963.57	1745.2	934.76	1757.34	1487.87	1242.34	1781.89	642.59	1594.73	1208.34	1583.71	679.29	1059.11	769.69	607.87	414.87	529.06	536.45	642.59	497.0	532.74	389.72	426.57	490.14	1008.9	426.57	738.29	802.41	514.56	738.29	463.65	575.03	563.18	529.06	0.0	0.82	769.69
GLI4	1832.01	143.01	205.5	299.25	1104.13	307.69	718.08	521.76	575.03	1073.91	387.02	642.59	616.37	947.83	1508.65	237.86	361.04	733.19	1242.34	361.04	836.53	255.0	83.45	175.07	165.57	178.77	94.67	199.85	69.52	59.13	49.91	53.57	142.01	43.63	128.79	88.88	127.0	112.77	181.28	106.63	176.29	124.37	0.0	0.82	1268.46
IRAK1	1757.34	934.76	693.58	1651.0	3665.02	1674.06	928.3	1331.57	2935.74	4450.27	3515.68	2209.26	4639.29	3190.46	1963.57	698.41	3257.52	3349.13	1806.78	1015.93	1870.53	684.02	518.15	796.86	514.56	693.58	665.29	620.67	1096.5	555.41	848.22	575.03	1191.69	1477.58	1023.0	1397.83	825.0	1151.06	764.36	1331.57	954.43	743.43	0.0	0.83	2209.26
KAZALD1	63.0	39.79	18.29	102.97	55.89	34.02	31.0	46.84	173.85	35.5	177.53	29.7	63.45	21.32	22.75	58.3	275.28	42.11	46.18	49.56	50.98	12.45	14.03	13.22	13.42	14.24	19.25	15.22	7.75	16.15	19.25	3.29	31.22	1.77	19.11	11.91	25.72	66.65	17.13	3.96	35.76	20.11	0.0	0.35	150.17
KIFC2	5517.27	57.08	155.5	947.83	791.35	293.07	525.39	295.11	591.22	540.19	674.59	616.37	529.06	651.58	733.19	332.14	1001.93	490.14	1359.57	248.0	587.13	125.24	53.57	97.36	92.05	92.7	90.14	119.26	40.64	13.12	40.93	21.01	133.36	25.54	98.73	48.87	88.88	63.45	95.34	57.89	90.77	176.29	0.0	1.5	2591.27
LAMTOR4	11827.67	2104.58	2555.58	5995.9	5366.37	3955.48	3212.66	4181.07	4095.0	7966.99	7749.1	4210.15	4575.41	4802.93	4704.07	2739.08	6561.36	4095.0	4575.41	2434.5	5006.93	2816.11	1977.24	2255.7	2303.12	3081.75	2047.0	2451.44	1806.78	941.27	1233.75	1369.04	2664.15	1769.57	3982.99	1008.9	1417.35	1350.18	2555.58	1369.04	2555.58	2351.53	0.0	1.08	10225.32
LRP5L	503.95	36.53	84.04	177.53	163.28	77.79	116.78	189.02	152.28	142.01	171.45	170.25	78.89	162.14	92.05	173.85	178.77	158.79	197.09	215.77	114.36	105.89	52.08	111.99	180.02	63.0	61.25	92.7	36.01	43.02	31.9	38.4	150.17	46.84	67.12	73.03	43.94	43.32	144.01	45.85	110.43	102.25	0.0	0.77	226.54
MRM1	346.29	55.89	100.83	269.6	130.6	260.38	221.86	107.38	232.94	191.67	269.6	327.56	208.38	205.5	194.36	120.94	126.12	201.25	223.41	121.79	220.32	108.9	74.58	82.87	63.0	83.45	64.8	130.6	75.64	55.1	82.87	48.18	152.28	19.25	123.5	96.68	119.26	115.97	173.85	85.22	86.43	110.43	0.0	0.06	438.59
MXD3	890.44	37.85	90.77	813.63	316.37	102.25	281.09	212.78	1350.18	423.61	215.77	267.73	638.15	206.94	420.68	199.85	947.83	353.59	764.36	371.22	379.04	86.43	20.56	57.08	77.79	53.57	30.34	53.95	68.55	32.36	43.02	24.28	62.56	48.87	155.5	61.68	53.57	62.12	126.12	20.71	72.01	48.52	0.0	1.16	547.75
NAA10	3212.66	1594.73	1191.69	2956.17	3564.78	1857.6	1909.85	2104.58	3874.05	4123.49	3928.15	3018.3	3820.7	4298.64	2104.58	1322.37	4639.29	3874.05	5366.37	2224.63	2816.11	1242.34	1044.52	1183.45	1277.29	1467.37	1216.75	1340.84	1081.39	884.29	974.5	728.11	1605.83	1304.15	1909.85	1662.49	1350.18	1583.71	1151.06	2319.15	1167.14	1250.98	0.0	1.07	2468.49
NR2C2AP	2434.5	202.66	166.73	660.68	620.67	466.88	353.59	356.05	450.94	642.59	651.58	713.11	825.0	514.56	532.74	242.88	748.61	371.22	603.67	218.79	591.22	211.31	122.64	148.09	130.6	182.55	167.9	202.66	113.56	172.65	83.45	131.51	176.29	98.73	303.44	205.5	201.25	189.02	211.31	198.47	157.68	151.22	0.0	0.42	1286.18
NSUN5	995.0	182.55	236.21	961.07	728.11	518.15	438.59	813.63	1151.06	866.07	753.83	764.36	728.11	536.45	587.13	358.54	1508.65	470.14	723.08	373.81	679.29	318.57	224.97	256.78	241.19	271.48	293.07	253.23	232.94	206.94	183.82	167.9	387.02	218.79	379.04	299.25	234.57	248.0	248.0	336.79	249.73	329.84	0.0	0.49	961.07
PLOD3	2351.53	447.82	967.76	3325.99	4066.71	1745.2	1674.06	2627.46	2367.9	5147.73	3639.7	2609.3	3349.13	2758.13	2417.67	1378.57	4181.07	2287.2	2645.74	2287.2	2627.46	884.29	896.64	921.88	819.3	1081.39	909.17	1008.9	1008.9	633.73	1127.35	854.13	1662.49	1216.75	1551.09	1111.82	1259.69	1457.23	848.22	1030.12	1498.22	1037.29	0.0	0.88	1757.34
PMVK	3982.99	808.0	1745.2	2451.44	2573.36	1697.45	1936.53	1977.24	5633.22	4010.71	4328.55	2956.17	3212.66	3491.39	3564.78	1457.23	2777.33	2915.45	4937.99	1378.57	2287.2	1561.89	1378.57	1407.55	1605.83	1781.89	1081.39	1508.65	1529.73	521.76	947.83	713.11	1447.15	791.35	1225.22	1151.06	1233.75	884.29	1896.65	1359.57	1733.13	947.83	0.0	0.25	2417.67
POLR2J	5594.3	1304.15	2240.11	3325.99	3124.78	2682.69	3443.31	2796.65	5366.37	5517.27	4704.07	3515.68	3742.05	2434.5	3235.01	2701.35	6935.54	2664.15	2591.27	2193.99	2319.15	2739.08	1572.76	1923.14	2075.59	2682.69	1340.84	2573.36	1594.73	1175.27	1617.0	981.29	2133.97	1977.24	2434.5	1583.71	2047.0	2240.11	2609.3	1923.14	2645.74	2434.5	2682.69	2468.49	3768.09
PPFIA3	299.25	56.28	115.97	353.59	267.73	187.71	214.27	253.23	325.29	297.17	420.68	267.73	239.52	316.37	224.97	209.84	339.14	273.37	438.59	144.01	231.32	146.03	87.03	91.41	115.16	104.42	126.12	88.26	86.43	18.03	90.77	79.45	131.51	83.45	118.43	70.51	149.12	72.01	77.79	89.51	80.57	77.79	0.0	0.34	872.1
PPP1R35	2351.53	94.01	348.71	1340.84	1286.18	587.13	476.71	866.07	988.12	1477.58	988.12	1407.55	854.13	1259.69	915.51	450.94	1844.76	813.63	1066.48	543.96	1088.92	318.57	242.88	246.28	447.82	387.02	384.34	301.33	267.73	96.68	189.02	141.02	346.29	281.09	414.87	215.77	242.88	283.05	518.15	157.68	303.44	361.04	0.0	0.88	1844.76
PRKRIP1	1135.2	327.56	234.57	620.67	543.96	406.31	450.94	435.55	854.13	599.49	718.08	420.68	470.14	343.89	406.31	293.07	638.15	414.87	450.94	426.57	463.65	299.25	173.85	223.41	214.27	234.57	220.32	178.77	157.68	112.77	112.77	131.51	329.84	297.17	234.57	232.94	177.53	255.0	277.2	158.79	198.47	199.85	0.0	0.61	1159.07
PRPF40B	567.1	98.73	105.89	314.17	198.47	145.02	205.5	172.65	164.42	201.25	348.71	236.21	202.66	176.29	178.77	163.28	368.65	161.02	273.37	185.11	166.73	120.1	94.01	114.36	87.65	96.01	86.43	81.14	67.59	48.52	42.71	57.49	191.67	71.0	102.97	91.41	76.71	123.5	67.12	57.89	108.14	95.34	0.0	0.84	429.54
RAB24	1191.69	379.04	387.02	3491.39	1447.15	703.28	1508.65	954.43	2178.83	1437.15	2384.37	890.44	1030.12	1001.93	1295.13	559.28	1977.24	1378.57	2609.3	819.3	1096.5	555.41	318.57	441.64	473.41	426.57	353.59	320.8	297.17	165.57	234.57	244.57	435.55	616.37	884.29	204.07	251.48	384.34	551.56	260.38	460.44	463.65	0.0	0.57	3190.46
RECQL5	2796.65	301.33	389.72	759.08	466.88	387.02	647.07	521.76	703.28	511.0	915.51	536.45	447.82	525.39	934.76	647.07	825.0	417.77	693.58	693.58	476.71	376.41	293.07	395.18	289.02	295.11	215.77	289.02	153.34	244.57	195.72	189.02	497.0	215.77	403.5	307.69	329.84	309.83	307.69	273.37	368.65	438.59	0.0	0.59	1119.56
RFXANK	4972.34	878.17	555.41	928.3	1721.16	1208.34	1208.34	1088.92	1369.04	1757.34	1651.0	1674.06	1561.89	1225.22	1745.2	941.27	2075.59	1233.75	1572.76	995.0	1662.49	718.08	525.39	679.29	599.49	684.02	395.18	595.34	368.65	262.2	293.07	267.73	842.36	323.03	764.36	480.04	532.74	486.75	703.28	420.68	607.87	684.02	0.0	0.57	4450.27
