	TCGA.38.4625.01A.01R.1206.07.1	GTEX.OOBK.0526.SM.2HMJJ	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.RU1J.0126.SM.2TF6Y	GTEX.13FTZ.0526.SM.5IJCW	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.XYKS.0526.SM.4BRW2	GTEX.YFC4.1126.SM.5RQJN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.X585.1026.SM.46MW6	GTEX.QDVJ.0926.SM.2I5FU	GTEX.11I78.0126.SM.5HL6F	GTEX.RVPV.1726.SM.5SI8C	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.RN64.1226.SM.2TC6E	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.PX3G.0526.SM.2I3EM	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.ZTPG.0926.SM.5O99H	GTEX.13OW6.0826.SM.5L3GA	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.S7SF.0426.SM.3K2B7	GTEX.ZYT6.0526.SM.5GIEA	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.13OVL.0626.SM.5KM13	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK
FADD	0.27	384.34	241.19	229.72	312.0	379.04	127.0	156.59	76.71	432.53	91.41	108.14	400.71	318.57	497.0	525.39	55.89	181.28	214.27	64.34	100.13	301.33	420.68	314.17	204.07	248.0	287.01	96.01	507.46	890.44	255.0	94.67	540.19	112.77	215.77	234.57	295.11	132.44	175.07	303.44
FAM83H	0.0	703.28	253.23	480.04	258.57	500.46	88.88	228.13	171.45	866.07	87.65	94.67	457.25	329.84	866.07	599.49	53.57	197.09	185.11	88.26	153.34	236.21	486.75	231.32	392.44	348.71	713.11	65.72	651.58	450.94	303.44	447.82	785.88	59.55	181.28	567.1	376.41	198.47	182.55	246.28
FAM84B	0.44	490.14	1427.22	1350.18	387.02	1167.14	80.01	339.14	551.56	878.17	159.9	420.68	525.39	555.41	629.35	470.14	51.71	470.14	223.41	82.29	197.09	543.96	336.79	420.68	723.08	693.58	941.27	94.01	583.07	723.08	241.19	728.11	612.11	71.5	595.34	629.35	1199.98	218.79	559.28	665.29
FLOT2	177.53	3982.99	2047.0	2119.22	2555.58	3395.89	961.07	1794.29	1639.59	2090.03	1225.22	1259.69	3303.0	2271.4	3540.14	2555.58	842.36	1896.65	1709.26	1135.2	1313.23	2400.97	3303.0	1794.29	3257.52	4123.49	2119.22	866.07	3190.46	2148.82	1950.0	1844.76	7485.11	1044.52	2148.82	1709.26	2555.58	1023.0	909.17	2351.53
GUCD1	532.74	2796.65	2319.15	2796.65	1832.01	3190.46	1143.1	2400.97	1617.0	2400.97	1111.82	1359.57	3928.15	1685.71	2645.74	2627.46	718.08	1378.57	1561.89	988.12	1977.24	2400.97	3901.01	1909.85	2997.45	1697.45	2417.67	988.12	3257.52	2271.4	1963.57	3103.19	2255.7	872.1	1745.2	2591.27	2319.15	1447.15	1498.22	1963.57
IP6K1	0.57	748.61	476.71	974.5	486.75	656.11	412.0	563.18	466.88	633.73	336.79	281.09	1081.39	624.99	748.61	647.07	351.14	529.06	575.03	429.54	607.87	591.22	974.5	563.18	836.53	567.1	587.13	185.11	607.87	723.08	525.39	366.09	961.07	420.68	444.72	748.61	796.86	295.11	417.77	466.88
LIMK1	0.51	629.35	551.56	316.37	476.71	612.11	223.41	441.64	316.37	651.58	92.7	199.85	723.08	353.59	961.07	1407.55	130.6	327.56	312.0	206.94	332.14	236.21	1477.58	432.53	500.46	395.18	603.67	189.02	728.11	1037.29	480.04	307.69	884.29	220.32	265.87	269.6	368.65	234.57	191.67	607.87
LRP8	0.44	258.57	36.79	12.0	52.08	147.06	19.97	17.38	11.04	348.71	22.75	20.71	149.12	32.82	208.38	125.24	17.0	34.75	19.68	28.86	71.5	22.43	100.83	20.86	226.54	120.94	423.61	15.11	69.52	237.86	44.57	82.29	536.45	17.38	27.84	95.34	44.25	44.89	36.79	76.71
MAPKAPK3	0.18	2384.37	842.36	1104.13	1313.23	1651.0	403.5	974.5	500.46	1857.6	356.05	457.25	1397.83	941.27	2956.17	2018.8	397.93	599.49	483.38	384.34	450.94	480.04	1909.85	571.05	1457.23	1819.35	1950.0	444.72	2537.92	2627.46	854.13	1295.13	3060.45	454.09	483.38	1051.79	860.08	579.04	283.05	1001.93
MGAT4B	1.0	2367.9	3901.01	2997.45	2287.2	3325.99	854.13	3349.13	1167.14	4239.45	703.28	1529.73	4010.71	2855.44	3589.58	4450.27	444.72	1583.71	2351.53	848.22	3168.41	4298.64	4450.27	3395.89	2468.49	1295.13	1617.0	693.58	4836.35	3564.78	2240.11	1909.85	2287.2	1540.37	2075.59	2209.26	3928.15	1781.89	1794.29	2133.97
MOCOS	57.49	69.52	81.14	112.77	69.03	123.5	66.18	47.5	16.03	149.12	6.11	5.32	87.03	62.56	291.04	99.43	18.56	37.05	13.03	27.44	78.34	12.0	202.66	17.0	124.37	57.89	26.86	12.55	107.38	204.07	33.3	96.68	389.72	38.67	39.79	110.43	76.71	12.18	34.02	70.51
MOGS	0.89	1127.35	860.08	688.78	486.75	1151.06	218.79	819.3	392.44	2148.82	217.27	591.22	954.43	764.36	954.43	1135.2	209.84	432.53	791.35	438.59	708.18	1030.12	759.08	1143.1	1175.27	981.29	947.83	351.14	665.29	1216.75	679.29	825.0	1242.34	281.09	872.1	753.83	796.86	343.89	466.88	934.76
MON1B	140.04	718.08	414.87	543.96	457.25	684.02	187.71	642.59	262.2	567.1	470.14	287.01	555.41	351.14	679.29	698.41	285.03	242.88	409.15	279.14	320.8	221.86	483.38	336.79	547.75	656.11	728.11	231.32	454.09	450.94	457.25	417.77	599.49	251.48	194.36	629.35	559.28	226.54	258.57	521.76
MROH1	0.8	460.44	218.79	450.94	289.02	511.0	122.64	309.83	141.02	1119.56	201.25	140.04	595.34	226.54	547.75	884.29	145.02	131.51	136.19	244.57	189.02	169.07	397.93	173.85	293.07	277.2	275.28	162.14	441.64	329.84	193.01	723.08	450.94	206.94	190.34	723.08	397.93	153.34	204.07	209.84
MRPS12	0.39	1369.04	429.54	447.82	466.88	947.83	457.25	435.55	289.02	1923.14	155.5	161.02	674.59	441.64	1295.13	1135.2	154.42	371.22	429.54	186.4	438.59	529.06	1023.0	368.65	684.02	785.88	1001.93	260.38	1066.48	1963.57	555.41	718.08	1844.76	312.0	289.02	723.08	651.58	236.21	381.68	381.68
PAQR4	0.34	172.65	190.34	166.73	162.14	232.94	44.25	135.24	120.1	198.47	47.17	16.75	182.55	169.07	327.56	186.4	45.85	123.5	92.05	61.68	38.67	124.37	536.45	169.07	75.11	128.79	53.57	44.25	209.84	348.71	119.26	139.07	198.47	84.63	105.15	175.07	129.69	53.19	18.56	100.13
PC	0.47	316.37	83.45	126.12	105.15	325.29	151.22	98.04	126.12	473.41	53.19	38.12	154.42	98.73	336.79	486.75	90.14	89.51	80.57	77.79	217.27	66.65	368.65	92.05	121.79	74.06	121.79	109.66	343.89	366.09	199.85	204.07	480.04	99.43	80.01	575.03	153.34	42.41	93.35	83.45
PDXK	271.48	4481.23	2935.74	2451.44	2701.35	3982.99	884.29	2417.67	1295.13	4972.34	1991.0	2090.03	3280.18	2193.99	5441.3	3395.89	866.07	1331.57	1350.18	2915.45	2163.77	1709.26	3467.27	1628.26	2935.74	3349.13	2895.31	1909.85	2935.74	5041.77	1977.24	3349.13	4937.99	947.83	2004.85	4903.87	1757.34	2573.36	1674.06	2451.44
PEX11B	0.32	642.59	518.15	514.56	571.05	684.02	368.65	429.54	450.94	813.63	169.07	273.37	802.41	409.15	878.17	1044.52	217.27	693.58	518.15	384.34	323.03	579.04	896.64	493.56	890.44	490.14	703.28	271.48	1037.29	902.89	796.86	808.0	759.08	334.46	470.14	738.29	1104.13	363.56	341.51	759.08
PGP	0.56	220.32	249.73	183.82	236.21	289.02	100.83	214.27	147.06	571.05	67.12	65.72	269.6	226.54	255.0	591.22	63.89	128.79	169.07	62.56	124.37	187.71	325.29	212.78	175.07	186.4	195.72	74.58	301.33	348.71	202.66	228.13	303.44	123.5	201.25	297.17	339.14	72.52	190.34	169.07
POC1A	0.0	99.43	51.71	40.36	38.4	66.18	29.06	39.22	34.75	91.41	16.75	32.59	46.18	43.02	147.06	64.8	16.75	33.3	34.26	25.54	29.91	39.5	309.83	37.59	46.84	109.66	46.18	16.27	30.56	114.36	47.84	30.56	85.22	33.06	25.54	39.22	34.26	20.56	33.06	37.32
POLDIP2	0.53	1909.85	928.3	1304.15	941.27	1617.0	813.63	1183.45	909.17	1806.78	429.54	665.29	1572.76	995.0	1909.85	1417.35	567.1	974.5	848.22	718.08	878.17	995.0	2047.0	1151.06	1250.98	1639.59	1331.57	607.87	1487.87	2520.38	1001.93	1183.45	2335.28	775.05	848.22	1561.89	1051.79	674.59	511.0	974.5
PTGES2	0.52	1583.71	447.82	753.83	441.64	1030.12	438.59	426.57	303.44	1388.16	212.78	323.03	1030.12	493.56	1304.15	1286.18	262.2	486.75	334.46	316.37	283.05	486.75	1175.27	395.18	1175.27	1111.82	954.43	258.57	1059.11	764.36	612.11	665.29	1216.75	420.68	486.75	928.3	703.28	403.5	197.09	624.99
RABL6	277.2	2384.37	1225.22	1359.57	848.22	2004.85	518.15	1277.29	529.06	3419.52	490.14	525.39	1685.71	1233.75	1923.14	1697.45	346.29	703.28	1015.93	486.75	674.59	1295.13	2367.9	1008.9	1551.09	1066.48	1437.15	567.1	1259.69	1519.15	988.12	1427.22	1529.73	555.41	909.17	2119.22	1662.49	633.73	660.68	1127.35
RBM15B	0.38	638.15	275.28	559.28	329.84	551.56	206.94	457.25	291.04	414.87	116.78	314.17	633.73	336.79	521.76	400.71	109.66	309.83	314.17	124.37	228.13	343.89	575.03	318.57	567.1	426.57	728.11	173.85	603.67	417.77	343.89	289.02	500.46	182.55	246.28	567.1	563.18	189.02	248.0	395.18
REPIN1	0.97	2303.12	928.3	1030.12	995.0	1457.23	336.79	825.0	420.68	2255.7	224.97	275.28	1268.46	713.11	2417.67	2351.53	96.68	612.11	703.28	395.18	435.55	1111.82	2956.17	791.35	1096.5	1322.37	1313.23	273.37	1277.29	1388.16	1159.07	1143.1	2178.83	312.0	915.51	1437.15	1127.35	281.09	532.74	679.29
RRP36	0.65	1487.87	909.17	607.87	738.29	1104.13	718.08	693.58	961.07	1561.89	297.17	612.11	954.43	825.0	1313.23	1295.13	463.65	743.43	796.86	575.03	854.13	848.22	1477.58	947.83	1191.69	1135.2	1286.18	612.11	1111.82	2255.7	967.76	718.08	1883.54	587.13	525.39	896.64	954.43	551.56	703.28	753.83
SFXN5	0.57	155.5	165.57	85.22	88.26	150.17	61.68	117.6	41.22	178.77	47.84	34.51	136.19	97.36	177.53	237.86	86.43	75.11	110.43	107.38	98.04	82.87	157.68	125.24	90.14	173.85	76.17	43.02	124.37	307.69	145.02	118.43	173.85	141.02	81.71	144.01	127.0	53.95	98.04	101.54
SLC29A2	0.16	395.18	75.64	163.28	226.54	403.5	63.89	76.71	54.72	688.78	40.07	21.63	234.57	107.38	463.65	543.96	37.32	56.28	84.04	80.01	55.49	62.12	339.14	77.79	145.02	175.07	148.09	31.22	255.0	271.48	111.21	287.01	698.41	47.84	104.42	316.37	136.19	54.33	48.52	90.77
SLC35C1	0.0	854.13	197.09	490.14	366.09	647.07	246.28	297.17	209.84	836.53	90.14	105.15	669.92	361.04	842.36	848.22	131.51	166.73	287.01	128.79	63.45	231.32	543.96	387.02	379.04	514.56	480.04	162.14	579.04	802.41	334.46	303.44	1135.2	178.77	148.09	392.44	269.6	121.79	121.79	218.79
SLC52A2	0.54	1819.35	438.59	842.36	616.37	1037.29	429.54	620.67	389.72	1733.13	212.78	237.86	842.36	669.92	1781.89	1397.83	248.0	412.0	620.67	379.04	483.38	483.38	1250.98	693.58	1127.35	1350.18	738.29	395.18	902.89	2075.59	647.07	769.69	2163.77	414.87	273.37	669.92	555.41	318.57	368.65	525.39
SNX8	0.0	1030.12	463.65	1001.93	529.06	1519.15	373.81	543.96	348.71	1096.5	295.11	423.61	1030.12	780.44	1605.83	1369.04	229.72	555.41	275.28	450.94	607.87	215.77	1844.76	285.03	738.29	830.75	607.87	273.37	1135.2	1733.13	656.11	967.76	1427.22	420.68	348.71	1572.76	559.28	384.34	376.41	559.28
SSU72	1001.93	4388.98	3124.78	2591.27	2255.7	3794.3	2555.58	2591.27	2303.12	4181.07	1104.13	1540.37	3874.05	2319.15	4152.18	3690.52	1259.69	2367.9	1936.53	1407.55	3982.99	2976.74	3325.99	2895.31	4066.71	2720.15	3124.78	1540.37	4769.75	5006.93	2875.3	3060.45	4388.98	1963.57	1467.37	3768.09	3395.89	1870.53	2573.36	2119.22
ST14	0.08	1487.87	1037.29	1467.37	796.86	1304.15	253.23	825.0	591.22	1037.29	379.04	371.22	1561.89	1030.12	2255.7	1923.14	161.02	500.46	497.0	287.01	616.37	406.31	1540.37	547.75	1044.52	1605.83	1427.22	400.71	2018.8	1963.57	967.76	1447.15	1639.59	223.41	486.75	1081.39	921.88	860.08	486.75	679.29
TAF10	0.77	6652.97	4123.49	2240.11	2451.44	3768.09	1963.57	2701.35	1487.87	4671.57	2739.08	3639.7	4095.0	2209.26	5555.65	4210.15	1639.59	1909.85	1572.76	2976.74	3982.99	1508.65	4298.64	2555.58	4298.64	4769.75	3018.3	2701.35	3874.05	5995.9	2701.35	2855.44	6887.62	2032.85	2224.63	4066.71	2485.67	2976.74	2255.7	4388.98
TBC1D16	0.47	271.48	73.54	293.07	100.83	432.53	100.13	152.28	77.25	244.57	70.01	107.38	329.84	81.14	358.54	253.23	46.18	84.63	110.43	96.01	73.03	114.36	260.38	119.26	173.85	176.29	156.59	108.14	215.77	384.34	74.58	218.79	642.59	59.97	81.14	366.09	144.01	64.8	90.77	102.97
TMEM104	0.28	454.09	373.81	327.56	244.57	438.59	190.34	212.78	208.38	567.1	140.04	135.24	429.54	214.27	466.88	490.14	115.97	177.53	175.07	132.44	158.79	105.15	503.95	178.77	320.8	417.77	201.25	142.01	379.04	555.41	264.03	281.09	567.1	165.57	133.36	353.59	242.88	142.01	155.5	178.77
TMEM180	214.27	493.56	239.52	521.76	269.6	583.07	167.9	281.09	153.34	743.43	161.02	81.14	486.75	295.11	450.94	830.75	195.72	109.66	194.36	129.69	64.8	165.57	463.65	199.85	255.0	217.27	204.07	172.65	612.11	470.14	275.28	567.1	651.58	149.12	101.54	376.41	361.04	115.16	110.43	164.42
TOR4A	0.56	669.92	122.64	381.68	332.14	785.88	19.97	336.79	53.57	738.29	36.27	65.72	995.0	279.14	842.36	872.1	22.75	104.42	79.45	12.0	162.14	137.14	825.0	81.71	339.14	409.15	253.23	72.52	599.49	915.51	159.9	262.2	802.41	55.49	73.54	426.57	373.81	45.21	138.1	285.03
TUBG1	0.54	1059.11	698.41	579.04	575.03	947.83	397.93	426.57	356.05	842.36	172.65	551.56	988.12	438.59	1135.2	769.69	171.45	217.27	389.72	371.22	540.19	961.07	1551.09	543.96	536.45	860.08	679.29	283.05	511.0	1508.65	441.64	316.37	1051.79	228.13	454.09	575.03	371.22	507.46	660.68	775.05
UBE2J2	0.85	1397.83	1313.23	842.36	866.07	1127.35	559.28	1008.9	612.11	1322.37	529.06	571.05	1030.12	559.28	1037.29	1331.57	444.72	521.76	921.88	718.08	633.73	1143.1	1508.65	995.0	1008.9	981.29	1498.22	540.19	1191.69	2451.44	808.0	1051.79	1583.71	802.41	830.75	872.1	941.27	547.75	848.22	961.07
UFD1L	961.07	1870.53	988.12	866.07	896.64	981.29	1081.39	1313.23	638.15	1806.78	633.73	1572.76	1551.09	1304.15	2555.58	1697.45	708.18	1639.59	928.3	540.19	1088.92	2451.44	2739.08	1304.15	2956.17	1685.71	1639.59	1104.13	1991.0	3280.18	1250.98	1119.56	2075.59	769.69	1015.93	1832.01	2485.67	884.29	2061.24	1417.35
VENTX	0.67	37.32	10.39	7.06	19.11	47.84	12.09	47.5	7.51	52.82	3.23	18.16	50.98	34.75	25.17	86.43	4.66	10.96	21.47	0.13	15.45	13.62	43.63	10.08	16.75	7.46	14.56	14.45	78.34	63.0	14.35	14.24	42.71	27.64	20.11	65.26	26.1	7.75	7.11	36.01
VPS33B	0.54	336.79	353.59	148.09	119.26	253.23	214.27	237.86	212.78	376.41	178.77	166.73	258.57	239.52	287.01	371.22	124.37	229.72	214.27	215.77	204.07	206.94	368.65	202.66	267.73	209.84	309.83	113.56	249.73	457.25	256.78	220.32	325.29	242.88	202.66	241.19	314.17	111.21	119.26	264.03
WDR46	0.33	1498.22	587.13	423.61	536.45	921.88	476.71	674.59	329.84	1572.76	327.56	529.06	669.92	457.25	1030.12	1397.83	297.17	457.25	536.45	395.18	796.86	607.87	1151.06	470.14	1023.0	1127.35	954.43	318.57	836.53	1487.87	703.28	400.71	1437.15	426.57	343.89	738.29	536.45	447.82	769.69	507.46
ZMYND19	0.82	503.95	363.56	223.41	217.27	432.53	162.14	217.27	143.01	583.07	74.06	81.71	466.88	177.53	426.57	684.02	116.78	133.36	264.03	167.9	177.53	281.09	500.46	305.55	356.05	206.94	325.29	83.45	241.19	616.37	323.03	256.78	454.09	251.48	221.86	256.78	223.41	93.35	223.41	226.54
ZNF48	0.31	234.57	94.67	144.01	88.26	162.14	70.51	71.5	62.56	180.02	47.17	52.82	183.82	119.26	226.54	131.51	71.0	80.57	80.57	67.59	82.87	114.36	204.07	102.97	87.65	75.64	187.71	65.26	161.02	118.43	93.35	76.71	175.07	43.63	124.37	169.07	115.97	95.34	89.51	126.12
