	GTEX.14C38.2626.SM.5RQI4	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.R53T.0326.SM.48FEC	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.50.5066.01A.01R.1628.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.132QS.0726.SM.5IJE9	GTEX.13O3Q.0526.SM.5KM18	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.N7MS.0926.SM.2HMIZ	GTEX.SIU8.0926.SM.5SI87	GTEX.S7SF.0426.SM.3K2B7	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07
EIF2B3	201.25	423.61	387.02	389.72	435.55	384.34	426.57	426.57	384.34	403.5	753.83	450.94	406.31	665.29	214.27	507.46	323.03	409.15	688.78	229.72	547.75	420.68	674.59	1216.75	947.83	540.19	688.78	540.19	543.96	457.25	860.08	497.0	329.84	638.15	521.76	285.03	559.28	836.53	395.18	511.0	366.09	988.12	536.45	616.37	563.18	660.68	361.04	567.1	624.99	397.93	206.94	183.82	185.11	204.07	223.41	387.02	571.05	166.73	599.49	460.44	256.78	253.23	733.19	563.18	417.77	281.09	346.29	363.56	305.55	239.52	529.06	603.67
EIF3M	5751.61	4010.71	4639.29	5219.6	5555.65	4010.71	2816.11	4328.55	4937.99	4010.71	4937.99	6037.61	3280.18	8191.0	5219.6	4450.27	4543.8	2796.65	6426.31	5711.87	5711.87	4419.52	4736.79	6164.49	8598.28	7642.41	8479.89	5006.93	3467.27	3639.7	6037.61	3039.3	3564.78	3874.05	3515.68	3081.75	4268.94	9344.14	4543.8	6887.62	6426.31	7032.37	5633.22	4802.93	5255.91	5292.48	4671.57	3847.29	5594.3	4704.07	2178.83	1936.53	2018.8	2400.97	1896.65	2816.11	6079.61	1551.09	3419.52	2682.69	1857.6	2915.45	9945.68	5255.91	4298.64	1870.53	4836.35	4268.94	3212.66	3690.52	7382.04	5517.27
ENY2	3589.58	1104.13	2119.22	1883.54	2573.36	2351.53	1950.0	1457.23	1628.26	11504.21	4607.24	9808.75	6381.92	3901.01	5913.33	12676.65	6250.56	2163.77	6699.25	5041.77	2573.36	6037.61	5555.65	7911.95	11909.94	7857.29	8778.97	5112.16	2451.44	1963.57	5954.47	5479.15	3955.48	3060.45	3212.66	2104.58	2335.28	6792.79	2335.28	2997.45	3540.14	5791.62	3325.99	3060.45	3491.39	3768.09	2367.9	1857.6	2645.74	2400.97	2627.46	2193.99	1923.14	1397.83	2976.74	1487.87	2875.3	1697.45	2163.77	1745.2	2240.11	2163.77	4181.07	2777.33	1167.14	1733.13	1540.37	1709.26	2502.97	3928.15	4095.0	2997.45
ERH	1268.46	1617.0	2255.7	2032.85	2591.27	1896.65	2209.26	2061.24	2209.26	3395.89	1427.22	3235.01	2400.97	4769.75	3443.31	3060.45	3018.3	2591.27	1745.2	2018.8	2032.85	3820.7	2133.97	3540.14	3081.75	1936.53	2664.15	2255.7	2367.9	1477.58	3874.05	1733.13	2104.58	2104.58	1697.45	1225.22	1594.73	12676.65	2520.38	6607.01	4328.55	7433.4	3515.68	2875.3	4268.94	3742.05	2720.15	2004.85	3639.7	2018.8	2193.99	1457.23	1191.69	1639.59	2090.03	1991.0	3325.99	1369.04	3443.31	2777.33	1378.57	1883.54	4769.75	2895.31	1674.06	1268.46	1628.26	2351.53	2502.97	1437.15	5751.61	3039.3
EXOSC4	6561.36	536.45	884.29	967.76	988.12	981.29	1259.69	723.08	743.43	3212.66	1388.16	2537.92	4066.71	2271.4	1806.78	3103.19	3103.19	836.53	2555.58	1023.0	854.13	1883.54	1135.2	1508.65	6792.79	1540.37	1407.55	1397.83	1183.45	941.27	1651.0	813.63	1081.39	1175.27	647.07	540.19	769.69	1199.98	595.34	1073.91	1073.91	1508.65	656.11	780.44	733.19	743.43	483.38	301.33	791.35	733.19	175.07	249.73	450.94	249.73	273.37	389.72	842.36	320.8	928.3	242.88	223.41	221.86	1447.15	679.29	559.28	248.0	417.77	323.03	234.57	780.44	2303.12	718.08
EXOSC5	87.03	435.55	607.87	447.82	497.0	529.06	543.96	551.56	346.29	642.59	1096.5	1259.69	743.43	1208.34	679.29	921.88	967.76	728.11	921.88	1037.29	638.15	1733.13	656.11	1508.65	1096.5	1199.98	1685.71	981.29	1008.9	571.05	866.07	497.0	543.96	738.29	316.37	348.71	532.74	1883.54	307.69	1477.58	1794.29	1427.22	389.72	599.49	412.0	281.09	287.01	297.17	934.76	358.54	111.99	140.04	68.07	143.01	145.02	351.14	444.72	71.0	629.35	214.27	88.88	153.34	785.88	507.46	642.59	171.45	256.78	226.54	155.5	60.39	1030.12	363.56
FAM207A	409.15	363.56	679.29	483.38	819.3	476.71	785.88	432.53	575.03	507.46	473.41	441.64	813.63	954.43	426.57	583.07	796.86	808.0	669.92	503.95	368.65	620.67	412.0	285.03	1059.11	414.87	287.01	764.36	579.04	624.99	830.75	559.28	660.68	507.46	295.11	493.56	493.56	591.22	329.84	813.63	674.59	669.92	297.17	348.71	555.41	480.04	423.61	325.29	551.56	412.0	114.36	190.34	144.01	231.32	149.12	177.53	400.71	136.19	435.55	169.07	151.22	107.38	599.49	368.65	334.46	147.06	275.28	232.94	131.51	165.57	417.77	423.61
FAM86A	90.14	332.14	289.02	353.59	262.2	473.41	289.02	423.61	258.57	341.51	299.25	463.65	351.14	246.28	133.36	466.88	490.14	400.71	356.05	134.3	379.04	429.54	318.57	460.44	373.81	454.09	532.74	291.04	293.07	208.38	358.54	142.01	133.36	161.02	154.42	141.02	220.32	191.67	166.73	371.22	575.03	220.32	220.32	167.9	197.09	281.09	152.28	164.42	320.8	163.28	102.97	43.63	65.72	81.14	100.13	111.99	185.11	55.49	236.21	118.43	74.06	81.14	366.09	217.27	220.32	87.65	159.9	84.63	77.25	96.68	309.83	202.66
FKBP3	346.29	785.88	1175.27	1388.16	1250.98	1250.98	1088.92	854.13	808.0	1844.76	1268.46	1183.45	954.43	2434.5	1350.18	1662.49	1950.0	1295.13	1208.34	1119.56	1819.35	2255.7	1477.58	2645.74	1467.37	2061.24	1388.16	1350.18	1051.79	698.41	2193.99	1551.09	1709.26	1216.75	1127.35	1183.45	1277.29	6079.61	1199.98	1572.76	2895.31	2319.15	1331.57	896.64	1044.52	1769.57	718.08	733.19	1991.0	1159.07	480.04	808.0	366.09	1044.52	444.72	674.59	420.68	808.0	1183.45	728.11	872.1	769.69	2075.59	884.29	753.83	733.19	579.04	679.29	575.03	414.87	2287.2	1467.37
FTL	1221310.69	716197.51	1422501.74	919186.72	1355129.16	932018.1	1422501.74	1048575.0	741454.2	1123834.93	2111737.85	1327240.99	1452391.55	1026995.62	1393227.06	875652.15	1055868.42	1514068.5	919186.72	1100706.72	958220.73	912837.43	1147449.11	894051.48	1493223.86	992012.34	900270.11	822695.06	2294899.22	1179708.33	1327240.99	1147449.11	1374046.07	1055868.42	1131651.83	906531.99	2326934.84	751804.53	998912.34	978355.0	1273174.62	606436.73	1204496.53	757033.75	834179.46	1336472.68	623486.02	938500.81	945028.61	971597.0	231394.29	231394.29	462789.59	360589.03	932018.1	456418.21	887875.81	185362.8	1327240.99	499455.67	77934.88	345900.08	593956.43	945028.61	900270.11	263966.36	443937.41	1179708.33	425853.18	527933.71	971597.0	971597.0
GEMIN6	88.26	169.07	343.89	384.34	348.71	267.73	246.28	251.48	193.01	285.03	353.59	450.94	339.14	802.41	343.89	397.93	361.04	395.18	414.87	287.01	420.68	525.39	473.41	703.28	429.54	454.09	988.12	343.89	224.97	92.7	409.15	307.69	301.33	486.75	325.29	356.05	376.41	612.11	186.4	525.39	638.15	1023.0	343.89	253.23	255.0	493.56	194.36	177.53	287.01	220.32	54.33	84.63	39.79	90.14	66.65	161.02	194.36	49.91	358.54	156.59	81.14	125.24	480.04	183.82	217.27	92.05	142.01	122.64	120.1	68.55	612.11	346.29
GGCT	1936.53	629.35	872.1	902.89	764.36	603.67	665.29	454.09	733.19	1051.79	2434.5	1225.22	1088.92	2018.8	1225.22	1757.34	1191.69	532.74	1605.83	674.59	988.12	1936.53	890.44	1508.65	967.76	703.28	1447.15	718.08	571.05	638.15	2047.0	791.35	579.04	848.22	703.28	595.34	738.29	2335.28	1030.12	1583.71	1066.48	1529.73	1199.98	679.29	733.19	1819.35	703.28	1191.69	1277.29	785.88	638.15	441.64	229.72	441.64	543.96	791.35	708.18	764.36	1030.12	532.74	521.76	629.35	2520.38	753.83	507.46	511.0	591.22	559.28	486.75	647.07	1896.65	1175.27
GLRX2	441.64	212.78	381.68	363.56	325.29	363.56	251.48	314.17	251.48	819.3	1242.34	872.1	353.59	830.75	457.25	1073.91	947.83	312.0	902.89	348.71	915.51	470.14	688.78	529.06	1030.12	785.88	1015.93	954.43	497.0	336.79	872.1	334.46	483.38	738.29	277.2	140.04	684.02	1104.13	307.69	575.03	503.95	656.11	389.72	500.46	316.37	525.39	175.07	361.04	525.39	251.48	58.71	137.14	131.51	151.22	108.9	224.97	305.55	177.53	279.14	186.4	158.79	163.28	703.28	339.14	269.6	129.69	218.79	120.1	133.36	142.01	503.95	397.93
GMNN	995.0	152.28	224.97	187.71	142.01	102.97	73.54	120.94	171.45	1259.69	1073.91	1883.54	629.35	1143.1	2287.2	1001.93	1477.58	470.14	1417.35	2701.35	1104.13	1709.26	860.08	708.18	1199.98	603.67	928.3	759.08	109.66	93.35	2303.12	441.64	178.77	674.59	466.88	271.48	299.25	2240.11	186.4	961.07	529.06	1697.45	373.81	307.69	248.0	540.19	295.11	432.53	343.89	229.72	64.8	301.33	138.1	450.94	102.25	217.27	140.04	271.48	497.0	129.69	148.09	183.82	728.11	226.54	258.57	199.85	127.0	253.23	182.55	249.73	743.43	381.68
HMBS	293.07	441.64	486.75	579.04	620.67	444.72	316.37	567.1	444.72	616.37	1159.07	872.1	728.11	1183.45	591.22	616.37	819.3	688.78	656.11	620.67	1001.93	669.92	540.19	1008.9	1331.57	813.63	1159.07	759.08	733.19	543.96	775.05	414.87	493.56	642.59	412.0	432.53	583.07	559.28	371.22	1175.27	713.11	1225.22	665.29	429.54	353.59	555.41	363.56	293.07	860.08	432.53	126.12	98.04	164.42	226.54	119.26	289.02	395.18	128.79	532.74	241.19	232.94	279.14	698.41	493.56	435.55	175.07	327.56	181.28	127.0	178.77	1508.65	780.44
IMP4	1583.71	1583.71	1806.78	2224.63	1977.24	1407.55	2720.15	1832.01	1745.2	2645.74	1467.37	3395.89	2520.38	3665.02	2209.26	2591.27	5219.6	2520.38	2758.13	1896.65	1883.54	2895.31	2240.11	2090.03	2875.3	2739.08	2485.67	2627.46	2935.74	2367.9	3639.7	2287.2	1883.54	1977.24	1883.54	1819.35	1794.29	2209.26	1498.22	2609.3	2193.99	2104.58	1242.34	1519.15	1477.58	1467.37	1119.56	1143.1	2209.26	1331.57	808.0	698.41	718.08	616.37	708.18	995.0	2075.59	536.45	1721.16	961.07	684.02	728.11	2061.24	1340.84	1417.35	599.49	988.12	915.51	723.08	1159.07	3212.66	1572.76
IPO4	217.27	603.67	688.78	791.35	591.22	651.58	854.13	1135.2	708.18	785.88	830.75	559.28	688.78	974.5	486.75	447.82	703.28	547.75	819.3	381.68	559.28	1498.22	642.59	511.0	981.29	802.41	575.03	684.02	497.0	543.96	620.67	258.57	307.69	351.14	260.38	255.0	332.14	872.1	351.14	567.1	1216.75	361.04	316.37	348.71	358.54	603.67	239.52	249.73	514.56	236.21	171.45	143.01	198.47	173.85	191.67	224.97	454.09	132.44	559.28	212.78	211.31	167.9	688.78	417.77	275.28	186.4	316.37	169.07	191.67	249.73	954.43	343.89
LAGE3	327.56	291.04	629.35	409.15	896.64	325.29	842.36	373.81	432.53	1594.73	2319.15	1008.9	848.22	1331.57	518.15	1896.65	785.88	961.07	1208.34	417.77	872.1	1208.34	674.59	915.51	1769.57	1359.57	1498.22	1127.35	368.65	198.47	1250.98	620.67	463.65	624.99	248.0	412.0	493.56	2061.24	503.95	4152.18	1369.04	1540.37	579.04	507.46	669.92	543.96	403.5	490.14	775.05	674.59	147.06	173.85	198.47	133.36	205.5	193.01	400.71	137.14	718.08	201.25	122.64	232.94	974.5	511.0	518.15	152.28	255.0	164.42	193.01	110.43	860.08	503.95
LAMTOR2	1151.06	1769.57	2976.74	3039.3	3325.99	2835.7	3901.01	2739.08	2400.97	6294.04	3794.3	7966.99	3443.31	6121.9	4095.0	8718.32	9088.59	8658.09	3639.7	4268.94	7589.61	5403.7	5112.16	5147.73	4869.99	6561.36	6426.31	7180.15	3168.41	3168.41	4210.15	5751.61	5672.41	4152.18	3540.14	2367.9	4769.75	4038.61	2796.65	2609.3	4095.0	4836.35	2796.65	3124.78	3372.43	3690.52	2664.15	1467.37	4239.45	3639.7	1350.18	1233.75	1104.13	1457.23	878.17	2047.0	1991.0	1135.2	4066.71	2061.24	785.88	2047.0	5255.91	3124.78	2777.33	1369.04	1487.87	1794.29	1225.22	995.0	3124.78	3039.3
MAGOH	1268.46	708.18	1313.23	1369.04	1199.98	780.44	1023.0	629.35	896.64	1519.15	1519.15	1594.73	1233.75	2163.77	1250.98	1519.15	854.13	1051.79	1721.16	1151.06	1225.22	1662.49	2163.77	2335.28	2739.08	1313.23	1540.37	1487.87	1540.37	1104.13	1991.0	1159.07	1135.2	1437.15	1066.48	1051.79	974.5	2664.15	988.12	2104.58	1059.11	2739.08	1487.87	1259.69	1963.57	1322.37	1175.27	1167.14	1457.23	1259.69	915.51	486.75	507.46	435.55	1208.34	723.08	1923.14	543.96	796.86	836.53	426.57	708.18	1651.0	1498.22	1096.5	511.0	848.22	769.69	796.86	915.51	1225.22	1216.75
MAGOHB	94.67	426.57	587.13	532.74	392.44	281.09	159.9	226.54	361.04	423.61	587.13	583.07	255.0	616.37	665.29	1030.12	703.28	273.37	961.07	438.59	265.87	764.36	218.79	902.89	217.27	684.02	466.88	547.75	457.25	351.14	728.11	438.59	373.81	373.81	351.14	285.03	197.09	1208.34	403.5	1073.91	1127.35	947.83	480.04	384.34	503.95	830.75	307.69	289.02	575.03	273.37	236.21	105.89	125.24	139.07	195.72	190.34	281.09	248.0	466.88	269.6	150.17	176.29	988.12	500.46	281.09	175.07	189.02	191.67	204.07	118.43	842.36	486.75
MCTS1	384.34	624.99	872.1	954.43	981.29	1037.29	909.17	866.07	748.61	2591.27	1277.29	1457.23	748.61	1066.48	915.51	2018.8	1709.26	733.19	1806.78	842.36	1508.65	1407.55	595.34	1369.04	1208.34	1519.15	1991.0	1250.98	995.0	665.29	2004.85	941.27	1059.11	1304.15	878.17	507.46	902.89	3491.39	967.76	1437.15	1369.04	1977.24	1104.13	915.51	1008.9	1605.83	785.88	802.41	1175.27	796.86	358.54	279.14	202.66	543.96	423.61	571.05	583.07	318.57	1340.84	583.07	454.09	669.92	1844.76	1081.39	842.36	447.82	674.59	629.35	406.31	269.6	1397.83	1191.69
MEA1	890.44	1242.34	2032.85	1991.0	2004.85	1477.58	1819.35	1572.76	1583.71	1519.15	2047.0	3325.99	1662.49	3419.52	2061.24	1769.57	1769.57	1794.29	2104.58	2148.82	2163.77	2997.45	1819.35	2417.67	3325.99	3443.31	2502.97	1721.16	1477.58	624.99	2537.92	1467.37	1242.34	1745.2	1651.0	1044.52	1397.83	5672.41	1250.98	2555.58	2240.11	3349.13	1519.15	1498.22	2119.22	2148.82	1529.73	1529.73	2090.03	1498.22	878.17	612.11	748.61	536.45	802.41	954.43	1757.34	583.07	1794.29	1208.34	759.08	728.11	2075.59	1159.07	1051.79	738.29	1127.35	915.51	988.12	397.93	3419.52	1733.13
MED8	629.35	518.15	708.18	665.29	791.35	511.0	890.44	612.11	669.92	941.27	1350.18	902.89	915.51	1991.0	830.75	941.27	669.92	1081.39	2004.85	684.02	1259.69	934.76	1304.15	2335.28	2018.8	915.51	1407.55	1340.84	1378.57	921.88	890.44	698.41	796.86	1104.13	848.22	718.08	743.43	1175.27	780.44	1313.23	1008.9	1936.53	921.88	947.83	902.89	1331.57	825.0	703.28	961.07	928.3	363.56	397.93	454.09	511.0	400.71	633.73	1286.18	603.67	796.86	642.59	466.88	629.35	1651.0	866.07	679.29	341.51	543.96	563.18	563.18	599.49	780.44	1167.14
MKKS	141.02	486.75	884.29	713.11	607.87	316.37	363.56	381.68	441.64	1023.0	1135.2	1313.23	563.18	2537.92	1250.98	1143.1	1208.34	842.36	1594.73	1127.35	1268.46	1605.83	1167.14	1447.15	1167.14	872.1	1378.57	642.59	414.87	343.89	1225.22	551.56	406.31	660.68	532.74	323.03	563.18	2816.11	503.95	708.18	470.14	848.22	563.18	460.44	638.15	647.07	483.38	503.95	796.86	447.82	102.97	147.06	41.81	164.42	147.06	262.2	432.53	115.97	457.25	236.21	260.38	253.23	1304.15	603.67	435.55	152.28	325.29	183.82	140.04	159.9	1225.22	660.68
MRPL13	336.79	693.58	1008.9	995.0	738.29	1051.79	559.28	629.35	723.08	3039.3	2178.83	2224.63	1977.24	1216.75	2209.26	3589.58	2271.4	796.86	2701.35	1508.65	1088.92	2075.59	1794.29	2835.7	3491.39	1662.49	2682.69	1745.2	555.41	884.29	3235.01	1397.83	1167.14	1572.76	1159.07	532.74	1745.2	4543.8	713.11	3212.66	1183.45	4066.71	1199.98	1051.79	961.07	1322.37	764.36	616.37	825.0	848.22	241.19	220.32	241.19	490.14	212.78	503.95	595.34	256.78	1151.06	525.39	105.15	470.14	1662.49	1369.04	651.58	275.28	444.72	547.75	395.18	229.72	2367.9	1250.98
MRPL24	579.04	1844.76	2835.7	2682.69	2537.92	2935.74	2451.44	1909.85	1733.13	5954.47	3847.29	9088.59	2956.17	5366.37	7433.4	11035.54	8363.13	3928.15	4607.24	4543.8	6516.03	4543.8	5112.16	7911.95	7081.29	9344.14	6652.97	7331.05	4512.4	3372.43	8901.53	5147.73	5791.62	5041.77	2976.74	2701.35	3716.2	3168.41	1350.18	2591.27	3564.78	3060.45	1519.15	1628.26	2133.97	2303.12	1331.57	1977.24	2384.37	1242.34	633.73	529.06	629.35	571.05	842.36	1037.29	1561.89	493.56	2664.15	1066.48	941.27	713.11	3190.46	1721.16	1359.57	638.15	902.89	780.44	915.51	490.14	4802.93	1467.37
MRPL36	878.17	915.51	1250.98	1529.73	1417.35	1340.84	1159.07	1051.79	934.76	1583.71	1167.14	1936.53	1896.65	1883.54	1781.89	4298.64	2303.12	1447.15	2997.45	1651.0	1583.71	1819.35	1583.71	3901.01	3639.7	2090.03	1745.2	1651.0	1427.22	1259.69	2209.26	1447.15	1572.76	1605.83	1572.76	802.41	2835.7	3515.68	780.44	2271.4	1870.53	4972.34	1250.98	1225.22	1096.5	1844.76	703.28	1143.1	1757.34	1295.13	363.56	303.44	503.95	353.59	275.28	518.15	1051.79	291.04	1467.37	346.29	500.46	273.37	2061.24	915.51	915.51	295.11	669.92	426.57	318.57	483.38	2520.38	1175.27
MRPL47	463.65	896.64	1143.1	1417.35	1081.39	1340.84	974.5	769.69	733.19	961.07	1685.71	1304.15	547.75	3716.2	1437.15	1023.0	1519.15	647.07	1331.57	934.76	1733.13	1233.75	733.19	2935.74	2178.83	961.07	1313.23	915.51	698.41	684.02	2018.8	866.07	1001.93	780.44	633.73	473.41	633.73	2796.65	713.11	1909.85	1733.13	1745.2	1044.52	854.13	890.44	1923.14	733.19	476.71	1066.48	941.27	348.71	264.03	327.56	211.31	283.05	249.73	808.0	205.5	1259.69	332.14	303.44	429.54	2956.17	1135.2	473.41	241.19	629.35	287.01	309.83	267.73	2075.59	1051.79
MRPS12	555.41	848.22	860.08	1051.79	1175.27	1369.04	1806.78	1143.1	995.0	1378.57	3614.55	2193.99	2133.97	2701.35	961.07	2319.15	2777.33	2004.85	1721.16	1268.46	2271.4	2591.27	941.27	2816.11	2555.58	1617.0	2193.99	1594.73	1143.1	1081.39	2163.77	878.17	1167.14	1030.12	656.11	941.27	981.29	3257.52	753.83	3280.18	2739.08	3395.89	1030.12	1127.35	967.76	1216.75	642.59	525.39	1457.23	954.43	267.73	170.25	438.59	450.94	271.48	432.53	921.88	193.01	1304.15	343.89	220.32	258.57	1963.57	1081.39	954.43	242.88	591.22	381.68	264.03	341.51	1950.0	1104.13
MRPS16	860.08	1857.6	2032.85	2178.83	3491.39	2485.67	2591.27	2384.37	1977.24	2468.49	2400.97	2835.7	3124.78	5041.77	2485.67	3564.78	3303.0	1651.0	2796.65	4239.45	5255.91	4210.15	2875.3	4481.23	4512.4	3325.99	4181.07	1651.0	2032.85	1651.0	5366.37	2555.58	2335.28	2119.22	1950.0	1583.71	2468.49	3928.15	1457.23	2609.3	2555.58	4388.98	2193.99	1936.53	2018.8	2895.31	1519.15	1437.15	1733.13	1551.09	872.1	679.29	536.45	941.27	713.11	1175.27	1685.71	733.19	2485.67	1151.06	842.36	878.17	2855.44	1923.14	1628.26	830.75	1277.29	1044.52	796.86	769.69	3146.52	2119.22
MRPS17	164.42	234.57	441.64	490.14	346.29	239.52	277.2	195.72	361.04	902.89	698.41	1059.11	995.0	1051.79	995.0	1447.15	1242.34	532.74	902.89	368.65	559.28	872.1	532.74	819.3	1208.34	607.87	890.44	616.37	376.41	371.22	698.41	476.71	466.88	647.07	348.71	334.46	595.34	486.75	244.57	599.49	555.41	373.81	275.28	277.2	343.89	441.64	283.05	281.09	356.05	316.37	105.89	132.44	138.1	80.01	71.5	126.12	285.03	75.11	305.55	81.71	127.89	97.36	563.18	329.84	253.23	99.43	176.29	85.82	82.87	132.44	536.45	305.55
MTERFD1	218.79	199.85	312.0	323.03	316.37	194.36	106.63	191.67	231.32	1427.22	854.13	830.75	575.03	426.57	595.34	1059.11	988.12	312.0	1023.0	325.29	323.03	423.61	457.25	1066.48	1225.22	583.07	764.36	387.02	353.59	237.86	656.11	339.14	279.14	275.28	142.01	693.58	206.94	1233.75	339.14	309.83	435.55	954.43	381.68	334.46	381.68	457.25	323.03	392.44	571.05	327.56	114.36	99.43	87.03	145.02	121.79	201.25	232.94	110.43	289.02	141.02	161.02	176.29	507.46	305.55	339.14	127.89	152.28	152.28	105.89	127.89	896.64	435.55
NAA20	536.45	1697.45	2758.13	1950.0	1561.89	1923.14	1135.2	1167.14	1639.59	4210.15	1806.78	4869.99	3540.14	1950.0	2537.92	4607.24	3742.05	3395.89	2591.27	1909.85	2520.38	2609.3	2627.46	3443.31	2591.27	3280.18	3103.19	2997.45	2319.15	1417.35	2255.7	1963.57	2502.97	2090.03	1096.5	1081.39	1447.15	7280.4	1268.46	2701.35	1304.15	4152.18	2224.63	2468.49	2915.45	1909.85	1561.89	872.1	2047.0	2004.85	848.22	463.65	457.25	624.99	599.49	890.44	1639.59	507.46	1540.37	995.0	503.95	1008.9	2956.17	2434.5	1508.65	620.67	1447.15	947.83	872.1	688.78	4038.61	1697.45
NHP2	1551.09	2664.15	4038.61	3639.7	2739.08	5147.73	3168.41	3614.55	2119.22	2875.3	3325.99	4010.71	3303.0	5633.22	3443.31	4450.27	4512.4	2935.74	4328.55	4038.61	3395.89	5479.15	3955.48	7331.05	8305.36	6207.38	5594.3	4358.66	3325.99	2004.85	3614.55	2351.53	2163.77	2148.82	1242.34	1457.23	1651.0	6164.49	1832.01	3794.3	2148.82	4836.35	2720.15	2434.5	2796.65	2384.37	1508.65	1883.54	4210.15	1936.53	1135.2	1073.91	1191.69	1088.92	1073.91	1617.0	2555.58	1066.48	3235.01	1286.18	1143.1	1030.12	5517.27	2351.53	1806.78	915.51	1199.98	1023.0	1259.69	1498.22	2875.3	2555.58
NME1	1651.0	2209.26	3419.52	2468.49	2664.15	2468.49	2627.46	2400.97	1477.58	2720.15	6381.92	3820.7	4328.55	8658.09	3794.3	4328.55	3467.27	1857.6	5995.9	2895.31	4038.61	6792.79	3874.05	3039.3	8538.88	6250.56	7642.41	4268.94	2075.59	1529.73	5292.48	1963.57	1844.76	1950.0	1059.11	759.08	1369.04	9945.68	1088.92	9088.59	8305.36	18819.27	2434.5	1628.26	1457.23	2335.28	638.15	1104.13	2537.92	559.28	540.19	295.11	363.56	371.22	579.04	511.0	1350.18	540.19	1651.0	638.15	403.5	551.56	3280.18	1769.57	698.41	366.09	656.11	486.75	684.02	493.56	9474.59	2935.74
NOP16	376.41	273.37	583.07	808.0	470.14	583.07	543.96	567.1	318.57	860.08	915.51	854.13	836.53	1561.89	723.08	941.27	1286.18	412.0	1322.37	1008.9	612.11	1295.13	647.07	1073.91	1781.89	995.0	1059.11	785.88	934.76	842.36	1143.1	432.53	447.82	507.46	299.25	400.71	426.57	1340.84	341.51	743.43	579.04	759.08	444.72	438.59	423.61	480.04	258.57	307.69	547.75	323.03	248.0	255.0	353.59	239.52	224.97	147.06	473.41	237.86	420.68	239.52	260.38	147.06	718.08	426.57	291.04	191.67	297.17	170.25	287.01	457.25	813.63	518.15
