	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.TMMY.0726.SM.33HBE	TCGA.VN.A88P.01A.11R.A352.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.11P82.1126.SM.5BC5K	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N
BNIP2	2104.58	1819.35	2061.24	688.78	275.28	1208.34	476.71	872.1	759.08	295.11	1081.39	819.3	753.83	836.53	450.94	334.46	796.86	579.04	769.69	713.11	884.29	1001.93	514.56	620.67	591.22	312.0	1073.91	723.08	638.15	624.99	842.36	651.58	713.11	921.88	708.18	698.41	629.35	1135.2	718.08	665.29	708.18	1331.57	769.69	872.1	1051.79	1023.0	961.07	1073.91	483.38	1008.9	1639.59	651.58	476.71	1066.48
BTBD1	1088.92	1167.14	909.17	718.08	423.61	866.07	480.04	961.07	638.15	532.74	915.51	624.99	591.22	591.22	395.18	417.77	974.5	503.95	444.72	651.58	961.07	802.41	603.67	575.03	529.06	435.55	954.43	656.11	414.87	674.59	656.11	603.67	432.53	872.1	660.68	748.61	571.05	947.83	620.67	738.29	647.07	708.18	723.08	921.88	1044.52	896.64	718.08	669.92	647.07	693.58	567.1	559.28	438.59	651.58
CAND1	1870.53	8479.89	2004.85	651.58	480.04	1819.35	595.34	1896.65	872.1	414.87	1674.06	854.13	819.3	679.29	441.64	441.64	1628.26	555.41	486.75	896.64	1487.87	1151.06	775.05	656.11	575.03	540.19	1477.58	684.02	426.57	633.73	808.0	607.87	540.19	1183.45	928.3	928.3	620.67	866.07	780.44	1037.29	915.51	1015.93	819.3	1135.2	1359.57	1051.79	915.51	1268.46	555.41	1008.9	1167.14	698.41	397.93	616.37
CHUK	409.15	563.18	543.96	291.04	138.1	379.04	178.77	363.56	226.54	142.01	329.84	236.21	237.86	237.86	112.77	162.14	336.79	169.07	165.57	201.25	392.44	363.56	242.88	181.28	189.02	143.01	309.83	223.41	148.09	228.13	234.57	221.86	199.85	309.83	251.48	260.38	194.36	327.56	178.77	279.14	224.97	218.79	244.57	273.37	312.0	348.71	283.05	236.21	191.67	239.52	226.54	264.03	105.89	215.77
DCAF10	503.95	1268.46	454.09	248.0	211.31	420.68	191.67	540.19	260.38	209.84	470.14	246.28	271.48	231.32	231.32	181.28	447.82	226.54	171.45	299.25	463.65	348.71	241.19	226.54	249.73	264.03	511.0	241.19	214.27	205.5	303.44	220.32	218.79	420.68	309.83	262.2	226.54	351.14	264.03	314.17	293.07	314.17	295.11	341.51	301.33	432.53	358.54	332.14	264.03	358.54	249.73	164.42	226.54	325.29
DDX18	1447.15	1359.57	1437.15	603.67	316.37	921.88	417.77	947.83	587.13	363.56	1037.29	665.29	511.0	543.96	194.36	301.33	775.05	417.77	376.41	595.34	743.43	848.22	599.49	450.94	470.14	208.38	941.27	450.94	275.28	441.64	551.56	432.53	376.41	848.22	665.29	624.99	420.68	713.11	493.56	684.02	647.07	693.58	616.37	802.41	753.83	1059.11	723.08	842.36	403.5	830.75	808.0	514.56	346.29	669.92
DDX6	1628.26	1639.59	1529.73	420.68	156.59	1127.35	348.71	1286.18	607.87	143.01	1167.14	532.74	521.76	438.59	167.9	157.68	1225.22	397.93	211.31	612.11	1023.0	954.43	457.25	384.34	204.07	197.09	1286.18	417.77	217.27	389.72	480.04	371.22	314.17	981.29	660.68	420.68	329.84	713.11	476.71	813.63	591.22	620.67	450.94	836.53	1331.57	1037.29	748.61	995.0	409.15	660.68	1151.06	397.93	305.55	603.67
DHX36	1127.35	1044.52	1540.37	612.11	540.19	733.19	525.39	769.69	587.13	503.95	769.69	587.13	563.18	620.67	486.75	343.89	753.83	412.0	507.46	674.59	728.11	684.02	507.46	420.68	454.09	486.75	785.88	579.04	497.0	483.38	647.07	497.0	579.04	723.08	536.45	571.05	587.13	848.22	454.09	684.02	587.13	728.11	563.18	656.11	780.44	693.58	769.69	830.75	343.89	748.61	967.76	518.15	353.59	693.58
DYNC1LI2	1806.78	1857.6	3257.52	599.49	379.04	1572.76	872.1	1583.71	1111.82	314.17	1561.89	1268.46	1088.92	988.12	339.14	323.03	1477.58	902.89	703.28	1225.22	1572.76	1437.15	954.43	866.07	624.99	432.53	1175.27	1051.79	665.29	1111.82	1191.69	543.96	878.17	1447.15	1268.46	723.08	1001.93	1151.06	1119.56	1322.37	1340.84	1295.13	1295.13	1628.26	1781.89	1883.54	1388.16	1467.37	780.44	1208.34	2193.99	981.29	514.56	1295.13
EEA1	353.59	307.69	473.41	96.01	32.59	307.69	85.22	285.03	125.24	26.67	221.86	95.34	102.97	76.17	36.53	44.89	236.21	70.01	63.89	117.6	228.13	146.03	94.67	88.88	56.28	60.39	229.72	98.73	66.18	89.51	119.26	67.12	92.05	241.19	127.0	100.83	90.14	137.14	99.43	161.02	108.14	139.07	107.38	173.85	172.65	173.85	111.21	197.09	87.65	117.6	120.1	84.63	62.12	130.6
ERCC6L2	587.13	679.29	551.56	202.66	102.97	629.35	181.28	525.39	303.44	82.87	514.56	279.14	267.73	246.28	104.42	94.01	529.06	223.41	121.79	320.8	426.57	432.53	217.27	194.36	163.28	103.69	575.03	242.88	143.01	199.85	299.25	191.67	183.82	571.05	441.64	291.04	169.07	412.0	262.2	473.41	400.71	384.34	265.87	463.65	612.11	518.15	463.65	450.94	297.17	387.02	518.15	312.0	162.14	356.05
ESF1	376.41	454.09	420.68	218.79	81.14	297.17	142.01	241.19	212.78	85.22	287.01	166.73	150.17	152.28	74.58	82.29	269.6	124.37	130.6	198.47	199.85	198.47	166.73	165.57	124.37	117.6	211.31	178.77	100.83	140.04	185.11	144.01	135.24	249.73	144.01	99.43	145.02	144.01	138.1	155.5	165.57	206.94	167.9	185.11	277.2	212.78	217.27	253.23	108.14	180.02	198.47	116.78	120.1	148.09
FBXO28	656.11	748.61	698.41	265.87	181.28	529.06	246.28	612.11	285.03	170.25	473.41	248.0	267.73	217.27	98.04	171.45	460.44	218.79	191.67	299.25	363.56	376.41	305.55	226.54	180.02	190.34	473.41	277.2	208.38	244.57	273.37	164.42	253.23	423.61	332.14	307.69	246.28	387.02	273.37	373.81	320.8	336.79	265.87	371.22	555.41	392.44	366.09	384.34	248.0	291.04	356.05	295.11	191.67	343.89
FBXW2	961.07	1167.14	808.0	616.37	392.44	896.64	540.19	967.76	647.07	368.65	860.08	616.37	728.11	669.92	463.65	356.05	842.36	555.41	476.71	703.28	708.18	718.08	486.75	500.46	507.46	563.18	819.3	599.49	529.06	595.34	723.08	555.41	476.71	698.41	595.34	444.72	543.96	595.34	688.78	624.99	633.73	684.02	713.11	748.61	733.19	854.13	769.69	708.18	454.09	743.43	796.86	728.11	348.71	547.75
GOSR1	819.3	1250.98	988.12	514.56	329.84	890.44	447.82	1008.9	647.07	361.04	890.44	591.22	571.05	470.14	361.04	301.33	890.44	450.94	379.04	595.34	713.11	743.43	518.15	429.54	387.02	348.71	854.13	476.71	320.8	432.53	529.06	403.5	423.61	780.44	567.1	395.18	403.5	591.22	521.76	624.99	651.58	642.59	563.18	679.29	802.41	660.68	796.86	603.67	429.54	633.73	679.29	406.31	361.04	490.14
GTF3C4	316.37	389.72	361.04	148.09	92.7	289.02	116.78	264.03	157.68	86.43	291.04	131.51	141.02	148.09	90.77	78.34	264.03	127.0	110.43	194.36	211.31	186.4	151.22	135.24	111.21	82.29	242.88	122.64	100.83	127.89	148.09	127.89	88.26	201.25	145.02	102.25	121.79	134.3	138.1	172.65	135.24	127.89	145.02	220.32	229.72	209.84	181.28	205.5	127.0	171.45	198.47	151.22	105.15	99.43
HAUS2	450.94	473.41	412.0	105.89	80.01	273.37	182.55	283.05	173.85	55.89	279.14	194.36	169.07	201.25	100.13	98.04	260.38	161.02	139.07	181.28	241.19	256.78	142.01	150.17	126.12	100.13	244.57	169.07	139.07	142.01	176.29	135.24	132.44	258.57	189.02	234.57	163.28	323.03	185.11	220.32	191.67	236.21	199.85	194.36	305.55	194.36	232.94	277.2	187.71	194.36	241.19	205.5	127.89	218.79
HCFC2	246.28	260.38	466.88	122.64	70.51	299.25	93.35	181.28	144.01	65.72	187.71	176.29	144.01	147.06	85.22	77.79	205.5	102.25	102.97	155.5	246.28	171.45	78.34	144.01	87.03	84.04	178.77	150.17	94.01	140.04	167.9	127.0	140.04	221.86	186.4	287.01	89.51	253.23	135.24	162.14	175.07	178.77	190.34	249.73	226.54	262.2	253.23	260.38	106.63	182.55	279.14	141.02	87.03	165.57
ITCH	759.08	860.08	890.44	271.48	167.9	603.67	275.28	679.29	348.71	137.14	607.87	314.17	329.84	251.48	127.89	142.01	563.18	231.32	187.71	320.8	438.59	463.65	275.28	217.27	199.85	155.5	595.34	262.2	180.02	255.0	316.37	229.72	228.13	583.07	463.65	397.93	275.28	503.95	285.03	466.88	412.0	376.41	323.03	525.39	529.06	532.74	389.72	540.19	262.2	293.07	583.07	327.56	214.27	381.68
KIF2A	563.18	624.99	941.27	163.28	63.0	299.25	82.29	336.79	206.94	87.65	356.05	183.82	144.01	151.22	62.56	68.07	376.41	82.29	78.89	182.55	256.78	236.21	177.53	105.15	98.73	60.39	373.81	112.77	74.06	105.15	190.34	127.89	57.08	358.54	241.19	190.34	87.65	287.01	115.16	229.72	228.13	208.38	165.57	316.37	329.84	293.07	237.86	194.36	154.42	194.36	170.25	125.24	68.55	142.01
KPNA1	896.64	890.44	909.17	503.95	432.53	703.28	395.18	954.43	417.77	214.27	738.29	575.03	457.25	381.68	384.34	361.04	902.89	435.55	260.38	457.25	802.41	759.08	444.72	406.31	343.89	447.82	718.08	480.04	320.8	426.57	490.14	483.38	371.22	647.07	579.04	507.46	387.02	497.0	444.72	733.19	595.34	540.19	525.39	780.44	902.89	928.3	571.05	698.41	409.15	547.75	791.35	514.56	269.6	547.75
MAP3K2	454.09	563.18	624.99	162.14	76.71	323.03	137.14	366.09	176.29	71.0	325.29	171.45	173.85	145.02	71.0	82.87	341.51	120.94	120.94	194.36	224.97	289.02	145.02	141.02	94.01	60.39	314.17	159.9	98.73	141.02	171.45	102.97	127.0	291.04	172.65	163.28	128.79	260.38	145.02	246.28	218.79	202.66	153.34	215.77	329.84	253.23	186.4	241.19	156.59	221.86	283.05	157.68	105.89	231.32
MARK1	171.45	120.94	180.02	96.01	49.56	109.66	61.68	105.89	88.26	54.33	135.24	69.52	88.26	59.13	30.78	61.25	130.6	66.18	63.89	89.51	111.99	77.79	63.89	54.33	49.56	63.45	118.43	82.29	68.55	62.12	79.45	50.98	72.01	94.01	90.77	60.82	72.01	86.43	79.45	101.54	100.13	88.26	93.35	120.1	100.83	93.35	104.42	143.01	61.68	84.63	85.22	72.52	57.08	90.77
MED1	1104.13	830.75	842.36	289.02	248.0	447.82	236.21	438.59	226.54	193.01	514.56	320.8	283.05	271.48	220.32	193.01	476.71	236.21	202.66	356.05	368.65	368.65	249.73	269.6	241.19	221.86	423.61	271.48	234.57	236.21	281.09	262.2	214.27	412.0	275.28	120.1	228.13	229.72	273.37	339.14	323.03	356.05	265.87	371.22	511.0	403.5	314.17	309.83	239.52	253.23	291.04	244.57	180.02	248.0
METTL14	480.04	599.49	579.04	146.03	148.09	301.33	198.47	429.54	236.21	107.38	336.79	223.41	234.57	221.86	53.19	130.6	343.89	198.47	156.59	239.52	334.46	314.17	249.73	149.12	181.28	125.24	356.05	198.47	133.36	211.31	229.72	199.85	195.72	332.14	251.48	237.86	205.5	303.44	194.36	287.01	299.25	291.04	255.0	297.17	329.84	343.89	376.41	351.14	149.12	301.33	289.02	206.94	153.34	277.2
MIB1	567.1	473.41	616.37	162.14	83.45	387.02	149.12	368.65	209.84	63.0	397.93	204.07	197.09	169.07	38.95	87.65	406.31	180.02	139.07	256.78	432.53	314.17	185.11	191.67	105.89	110.43	371.22	193.01	127.0	181.28	241.19	153.34	181.28	320.8	241.19	183.82	217.27	242.88	212.78	301.33	204.07	255.0	232.94	334.46	460.44	356.05	251.48	287.01	164.42	218.79	251.48	199.85	123.5	224.97
MSMB	97.36	146.03	97.36	800198.39	23820.89	228208.61	894051.48	299043.36	602247.76	52863.07	211455.3	783730.52	569761.05	558035.51	5112.16	31432.17	267651.2	711250.37	131982.68	1019901.63	811368.76	778316.89	691801.16	706337.4	659036.03	59474.18	292889.12	456418.21	191899.64	554180.87	845824.19	453265.5	1212874.47	554180.87	778316.89	1264380.15	1308968.45	1139523.1	636586.81	1171559.48	919186.72	581732.96	958220.73	437825.58	358098.26	919186.72	565825.41	499455.67	550352.86	1645391.11	894051.48	619179.28	762299.34	654483.73
MTX3	190.34	260.38	229.72	58.3	15.34	166.73	37.59	145.02	77.25	7.4	189.02	103.69	74.06	49.21	11.47	15.22	169.07	36.01	22.1	92.7	142.01	112.77	47.17	49.91	17.13	15.45	127.0	41.52	17.13	53.95	81.71	37.85	35.0	150.17	102.25	63.89	36.79	118.43	62.12	120.1	104.42	82.29	92.05	127.0	211.31	149.12	113.56	133.36	45.85	107.38	221.86	47.84	19.68	71.5
NAA15	450.94	656.11	438.59	258.57	122.64	339.14	169.07	389.72	212.78	135.24	423.61	202.66	183.82	208.38	153.34	131.51	376.41	141.02	128.79	218.79	285.03	251.48	198.47	186.4	157.68	148.09	329.84	177.53	111.99	165.57	175.07	178.77	141.02	285.03	215.77	212.78	157.68	217.27	173.85	202.66	187.71	217.27	206.94	260.38	305.55	277.2	190.34	307.69	138.1	181.28	229.72	197.09	139.07	175.07
NAF1	287.01	429.54	248.0	193.01	132.44	234.57	141.02	269.6	218.79	112.77	320.8	191.67	198.47	171.45	115.16	117.6	255.0	144.01	146.03	215.77	242.88	285.03	170.25	181.28	138.1	107.38	258.57	169.07	127.0	166.73	191.67	140.04	167.9	232.94	170.25	150.17	143.01	181.28	144.01	215.77	191.67	197.09	159.9	228.13	211.31	221.86	241.19	232.94	94.01	195.72	202.66	169.07	105.15	256.78
NDUFS1	1233.75	1268.46	1015.93	587.13	529.06	981.29	612.11	1378.57	954.43	698.41	1151.06	674.59	825.0	555.41	507.46	450.94	1159.07	587.13	463.65	587.13	1059.11	954.43	624.99	412.0	500.46	497.0	1143.1	616.37	395.18	555.41	555.41	493.56	571.05	961.07	890.44	934.76	559.28	1051.79	651.58	941.27	896.64	775.05	748.61	1111.82	1119.56	1199.98	1015.93	1191.69	575.03	1044.52	1073.91	808.0	447.82	819.3
NEDD4	277.2	251.48	346.29	40.93	42.11	141.02	63.89	197.09	81.71	21.94	131.51	82.87	84.63	61.68	11.13	33.78	148.09	71.5	61.25	100.83	134.3	127.89	65.26	77.79	57.49	59.97	159.9	87.03	50.63	80.57	109.66	64.8	55.49	142.01	108.9	115.16	77.79	114.36	92.05	125.24	102.25	115.97	113.56	153.34	139.07	129.69	141.02	84.04	70.51	87.03	94.67	108.9	53.19	87.65
NMD3	1369.04	1519.15	1583.71	579.04	358.54	1119.56	514.56	941.27	830.75	409.15	890.44	563.18	620.67	518.15	265.87	327.56	988.12	454.09	525.39	733.19	836.53	921.88	647.07	441.64	583.07	420.68	988.12	532.74	397.93	579.04	571.05	567.1	395.18	842.36	872.1	1135.2	514.56	1059.11	536.45	703.28	669.92	896.64	612.11	785.88	1096.5	819.3	583.07	775.05	432.53	679.29	802.41	518.15	389.72	915.51
OPA1	1225.22	2061.24	974.5	343.89	182.55	651.58	232.94	860.08	432.53	182.55	708.18	384.34	334.46	312.0	183.82	183.82	733.19	264.03	217.27	348.71	633.73	575.03	373.81	248.0	223.41	206.94	791.35	339.14	211.31	283.05	376.41	285.03	260.38	555.41	571.05	295.11	314.17	536.45	392.44	536.45	450.94	525.39	420.68	595.34	802.41	733.19	426.57	708.18	229.72	620.67	738.29	316.37	215.77	579.04
PATL1	579.04	665.29	808.0	212.78	117.6	356.05	180.02	309.83	279.14	142.01	348.71	251.48	217.27	256.78	115.97	126.12	358.54	204.07	161.02	265.87	264.03	316.37	244.57	183.82	178.77	135.24	343.89	211.31	191.67	211.31	248.0	175.07	176.29	379.04	251.48	145.02	195.72	255.0	251.48	255.0	336.79	316.37	239.52	301.33	343.89	246.28	267.73	249.73	194.36	249.73	226.54	195.72	172.65	197.09
PBRM1	967.76	753.83	967.76	218.79	135.24	607.87	221.86	620.67	358.54	151.22	723.08	314.17	307.69	237.86	120.94	133.36	703.28	237.86	189.02	323.03	529.06	493.56	264.03	175.07	186.4	140.04	660.68	255.0	180.02	258.57	314.17	194.36	186.4	559.28	389.72	228.13	244.57	339.14	332.14	470.14	387.02	346.29	297.17	529.06	551.56	507.46	400.71	473.41	260.38	406.31	356.05	327.56	183.82	450.94
PCYT1A	775.05	1088.92	743.43	514.56	332.14	543.96	275.28	536.45	493.56	239.52	616.37	514.56	493.56	412.0	287.01	348.71	587.13	450.94	301.33	536.45	583.07	607.87	381.68	395.18	353.59	332.14	633.73	555.41	395.18	423.61	579.04	395.18	320.8	603.67	521.76	429.54	371.22	575.03	473.41	555.41	575.03	483.38	518.15	607.87	507.46	638.15	679.29	521.76	441.64	532.74	503.95	493.56	323.03	480.04
PIK3C2A	791.35	954.43	665.29	255.0	115.97	718.08	260.38	872.1	406.31	111.99	713.11	423.61	312.0	223.41	94.01	111.21	679.29	198.47	165.57	323.03	559.28	511.0	246.28	236.21	139.07	134.3	612.11	301.33	169.07	273.37	361.04	218.79	244.57	616.37	403.5	305.55	242.88	414.87	285.03	500.46	435.55	403.5	366.09	536.45	669.92	603.67	417.77	438.59	208.38	420.68	684.02	224.97	159.9	414.87
PLAA	583.07	693.58	713.11	376.41	229.72	406.31	279.14	521.76	327.56	208.38	412.0	281.09	327.56	264.03	121.79	208.38	497.0	214.27	211.31	220.32	389.72	381.68	281.09	214.27	246.28	264.03	463.65	301.33	204.07	199.85	332.14	267.73	264.03	368.65	273.37	205.5	223.41	297.17	239.52	318.57	327.56	293.07	258.57	366.09	389.72	432.53	358.54	387.02	204.07	309.83	305.55	283.05	166.73	339.14
PLEKHA1	679.29	728.11	785.88	283.05	93.35	426.57	228.13	518.15	307.69	69.52	426.57	327.56	236.21	281.09	55.1	127.89	387.02	209.84	182.55	301.33	412.0	381.68	265.87	239.52	194.36	141.02	595.34	273.37	170.25	234.57	381.68	228.13	169.07	497.0	414.87	429.54	299.25	575.03	295.11	368.65	336.79	497.0	309.83	426.57	591.22	358.54	305.55	305.55	283.05	255.0	260.38	239.52	246.28	312.0
