	TCGA.44.2657.11A.01R.1758.07	TCGA.49.4512.11A.01R.1858.07	TCGA.55.6983.11A.01R.1949.07	GTEX.139TT.0726.SM.5K7XW	GTEX.YF7O.0626.SM.4W21R	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11DXZ.0726.SM.5N9C4	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.11NSD.0326.SM.5A5LS	GTEX.S7SE.0926.SM.2XCD6	GTEX.147F4.0926.SM.5Q5EO	GTEX.WZTO.0426.SM.3NM99	GTEX.ZT9X.0326.SM.51MTE	GTEX.X585.1026.SM.46MW6	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.TML8.0326.SM.4GICN	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.ZDXO.1326.SM.57WBS	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.PX3G.0526.SM.2I3EM	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.145MF.0726.SM.5Q5BT	GTEX.145MO.1326.SM.5Q5EF	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU	TCGA.77.7337.11A.01R.2045.07	TCGA.56.8309.11A.01R.2296.07
CLTA	4607.24	5954.47	4181.07	2835.7	7695.57	4358.66	2400.97	3874.05	3901.01	8778.97	5219.6	6250.56	2895.31	1936.53	1991.0	11504.21	4010.71	4607.24	6516.03	5255.91	2090.03	2224.63	1605.83	3955.48	4802.93	2555.58	2520.38	2720.15	6250.56	4937.99	1733.13	2047.0	1427.22	5555.65	2777.33	3168.41	4095.0	3491.39	5292.48	2075.59	7857.29	5329.3	5872.48	6840.04	3564.78	5995.9	5831.91	5555.65	3716.2	5006.93	2018.8	2255.7	2193.99	2287.2	2627.46	2520.38	1662.49	6935.54	2434.5	4010.71	4802.93
CNPY2	2701.35	3103.19	2591.27	1304.15	3589.58	2090.03	981.29	1923.14	2287.2	3395.89	2777.33	2895.31	2255.7	854.13	1447.15	5292.48	1923.14	2163.77	2664.15	3639.7	974.5	1119.56	878.17	1437.15	2384.37	1322.37	1044.52	1561.89	3212.66	3564.78	1167.14	1870.53	529.06	2875.3	1639.59	1697.45	2075.59	2178.83	2485.67	1498.22	4607.24	2485.67	2720.15	4607.24	2777.33	3665.02	5006.93	2047.0	3257.52	3235.01	961.07	1242.34	1111.82	1991.0	1277.29	1519.15	624.99	4481.23	1477.58	2209.26	2240.11
COA3	2367.9	4388.98	2004.85	802.41	3212.66	2163.77	780.44	1628.26	2018.8	3257.52	2018.8	3124.78	2367.9	356.05	921.88	2915.45	2303.12	1605.83	2664.15	2720.15	753.83	842.36	679.29	1208.34	2148.82	1059.11	547.75	1286.18	2855.44	2956.17	583.07	1639.59	612.11	3820.7	1498.22	1467.37	1923.14	1183.45	2384.37	753.83	3982.99	3146.52	2816.11	2855.44	2384.37	2758.13	3665.02	3124.78	2451.44	2796.65	825.0	1030.12	555.41	1277.29	878.17	791.35	563.18	2796.65	1037.29	1936.53	2609.3
COPS7A	1594.73	1617.0	1359.57	547.75	2133.97	1081.39	435.55	1088.92	1498.22	2163.77	1583.71	1909.85	1832.01	438.59	665.29	2835.7	1594.73	1359.57	2133.97	2209.26	708.18	884.29	551.56	1111.82	1628.26	1104.13	392.44	921.88	2400.97	1733.13	775.05	878.17	500.46	1936.53	1447.15	813.63	1250.98	1037.29	1561.89	915.51	2319.15	1883.54	1268.46	2451.44	1857.6	1870.53	2271.4	1697.45	1936.53	1781.89	808.0	688.78	403.5	780.44	780.44	791.35	366.09	1561.89	825.0	1427.22	1721.16
DBNL	3372.43	3039.3	2400.97	1259.69	2935.74	2451.44	2915.45	2287.2	2255.7	3742.05	2502.97	2777.33	2573.36	1857.6	1250.98	5751.61	2976.74	3325.99	3589.58	3168.41	1697.45	1417.35	1651.0	2555.58	3280.18	1950.0	1508.65	1540.37	4268.94	2555.58	2400.97	1427.22	1388.16	2816.11	3467.27	1883.54	1870.53	2255.7	1781.89	2520.38	2976.74	2573.36	2178.83	3212.66	3146.52	3690.52	2645.74	2956.17	2956.17	2701.35	2417.67	1685.71	878.17	1519.15	2004.85	2047.0	1051.79	3395.89	1529.73	2240.11	2976.74
DDOST	4769.75	4210.15	3467.27	2163.77	4769.75	3325.99	2240.11	2739.08	3395.89	4736.79	6037.61	3190.46	3467.27	2133.97	2255.7	7180.15	3212.66	3928.15	3614.55	5255.91	2451.44	2796.65	1819.35	2682.69	3955.48	3257.52	1806.78	3540.14	5479.15	5183.54	2935.74	3146.52	1883.54	4388.98	3168.41	2997.45	3235.01	3982.99	3716.2	2935.74	6250.56	3212.66	3589.58	6471.02	4328.55	5329.3	5791.62	2956.17	3742.05	3589.58	2400.97	2468.49	1721.16	2835.7	2875.3	2976.74	1745.2	5751.61	2468.49	3639.7	3395.89
DHRS4L2	954.43	1073.91	808.0	547.75	743.43	785.88	242.88	599.49	647.07	995.0	981.29	1135.2	738.29	215.77	389.72	1233.75	638.15	819.3	1259.69	723.08	309.83	291.04	432.53	896.64	872.1	551.56	175.07	555.41	1605.83	551.56	351.14	540.19	177.53	764.36	909.17	395.18	616.37	620.67	921.88	738.29	1617.0	1119.56	902.89	954.43	988.12	842.36	808.0	1104.13	1159.07	1127.35	414.87	395.18	285.03	733.19	438.59	500.46	295.11	928.3	339.14	764.36	860.08
DTYMK	521.76	651.58	339.14	161.02	460.44	260.38	79.45	248.0	384.34	1111.82	371.22	483.38	371.22	122.64	221.86	1073.91	483.38	420.68	587.13	514.56	144.01	127.89	204.07	255.0	406.31	256.78	118.43	185.11	1417.35	529.06	165.57	189.02	147.06	392.44	228.13	148.09	171.45	162.14	507.46	242.88	728.11	466.88	563.18	518.15	320.8	351.14	432.53	497.0	454.09	432.53	221.86	191.67	91.41	155.5	155.5	182.55	110.43	954.43	134.3	307.69	358.54
ECHS1	2240.11	2645.74	2032.85	884.29	2875.3	1487.87	567.1	1487.87	1721.16	3614.55	2178.83	1896.65	1757.34	591.22	1151.06	3564.78	1844.76	1697.45	2351.53	2796.65	928.3	738.29	961.07	1295.13	1467.37	1044.52	1467.37	1259.69	3395.89	2664.15	1081.39	1111.82	555.41	2075.59	1397.83	1073.91	1447.15	1216.75	2061.24	1183.45	3257.52	2061.24	2119.22	2796.65	1896.65	2537.92	2915.45	2193.99	2209.26	2047.0	1015.93	1151.06	651.58	1259.69	954.43	1051.79	620.67	2976.74	934.76	1605.83	1794.29
ELOF1	1991.0	1674.06	1674.06	791.35	2209.26	1359.57	780.44	1268.46	1313.23	2047.0	1639.59	1685.71	1617.0	612.11	860.08	2367.9	1159.07	1340.84	2004.85	1721.16	728.11	813.63	872.1	1167.14	1594.73	802.41	743.43	915.51	2163.77	1594.73	713.11	909.17	575.03	1923.14	1216.75	1104.13	1295.13	813.63	1167.14	819.3	2303.12	1733.13	1594.73	1832.01	1733.13	1277.29	1757.34	1519.15	1674.06	1909.85	780.44	733.19	748.61	1051.79	934.76	647.07	753.83	1794.29	713.11	1119.56	1639.59
ELP5	1096.5	1030.12	934.76	332.14	995.0	579.04	529.06	1119.56	713.11	651.58	1457.23	1051.79	723.08	301.33	314.17	902.89	318.57	981.29	1447.15	902.89	603.67	180.02	351.14	438.59	878.17	518.15	525.39	603.67	2591.27	1143.1	435.55	620.67	571.05	878.17	429.54	493.56	291.04	764.36	532.74	356.05	1304.15	830.75	366.09	1437.15	1001.93	723.08	1111.82	1561.89	1369.04	813.63	476.71	460.44	518.15	497.0	713.11	287.01	466.88	1437.15	674.59	669.92	723.08
ELP6	688.78	921.88	514.56	231.32	674.59	532.74	194.36	363.56	493.56	909.17	563.18	693.58	599.49	223.41	283.05	988.12	575.03	423.61	780.44	674.59	251.48	400.71	180.02	473.41	830.75	366.09	231.32	320.8	1104.13	688.78	348.71	320.8	206.94	713.11	500.46	346.29	389.72	373.81	656.11	327.56	830.75	753.83	551.56	780.44	688.78	688.78	1001.93	633.73	679.29	633.73	316.37	265.87	201.25	361.04	281.09	269.6	206.94	780.44	291.04	473.41	563.18
EXOSC5	500.46	540.19	244.57	104.42	521.76	214.27	101.54	309.83	199.85	389.72	450.94	295.11	379.04	73.54	108.9	753.83	239.52	277.2	441.64	381.68	111.99	101.54	140.04	141.02	403.5	145.02	68.07	234.57	361.04	595.34	145.02	140.04	63.45	579.04	214.27	242.88	217.27	277.2	214.27	153.34	395.18	339.14	251.48	486.75	358.54	507.46	466.88	417.77	329.84	642.59	171.45	123.5	64.8	226.54	98.73	155.5	60.39	559.28	177.53	209.84	314.17
FIBP	1697.45	1457.23	1340.84	738.29	1896.65	1191.69	780.44	1487.87	1295.13	1896.65	1662.49	1277.29	1572.76	674.59	684.02	2758.13	1119.56	1519.15	2148.82	1639.59	723.08	620.67	642.59	1331.57	1397.83	1104.13	796.86	599.49	2720.15	1572.76	780.44	633.73	679.29	1407.55	1127.35	854.13	860.08	1183.45	1359.57	1111.82	2047.0	1477.58	1225.22	1794.29	1378.57	1304.15	2240.11	1561.89	1662.49	1350.18	802.41	733.19	525.39	698.41	848.22	708.18	490.14	1832.01	607.87	1331.57	1498.22
FUCA2	872.1	1216.75	995.0	587.13	1487.87	915.51	490.14	854.13	915.51	1529.73	1135.2	890.44	902.89	450.94	599.49	1819.35	872.1	1104.13	934.76	1277.29	688.78	842.36	406.31	738.29	1477.58	941.27	543.96	438.59	1806.78	1674.06	854.13	595.34	426.57	1313.23	954.43	866.07	872.1	981.29	1832.01	759.08	1709.26	961.07	819.3	1304.15	1073.91	1259.69	2075.59	896.64	1208.34	1135.2	563.18	656.11	341.51	896.64	543.96	796.86	348.71	1628.26	532.74	1037.29	961.07
FXN	312.0	291.04	224.97	104.42	412.0	151.22	90.77	231.32	234.57	336.79	249.73	327.56	301.33	142.01	117.6	414.87	366.09	221.86	258.57	279.14	114.36	189.02	132.44	199.85	327.56	113.56	119.26	136.19	400.71	373.81	124.37	97.36	96.68	283.05	144.01	249.73	164.42	215.77	234.57	152.28	348.71	307.69	341.51	314.17	212.78	329.84	575.03	379.04	376.41	258.57	136.19	159.9	74.06	204.07	161.02	180.02	80.57	371.22	120.1	241.19	234.57
GCDH	551.56	346.29	389.72	249.73	579.04	228.13	221.86	269.6	348.71	532.74	307.69	387.02	346.29	105.89	180.02	511.0	287.01	239.52	454.09	493.56	183.82	295.11	156.59	277.2	583.07	273.37	211.31	249.73	361.04	651.58	193.01	172.65	113.56	591.22	323.03	258.57	281.09	248.0	237.86	249.73	473.41	379.04	309.83	575.03	684.02	571.05	417.77	318.57	395.18	595.34	211.31	193.01	111.21	305.55	163.28	199.85	139.07	486.75	312.0	279.14	400.71
GFER	642.59	896.64	559.28	186.4	514.56	902.89	202.66	708.18	293.07	1096.5	764.36	660.68	507.46	170.25	281.09	579.04	463.65	457.25	703.28	507.46	320.8	348.71	420.68	368.65	808.0	486.75	312.0	587.13	1008.9	470.14	223.41	395.18	301.33	603.67	503.95	483.38	511.0	361.04	412.0	412.0	728.11	708.18	444.72	693.58	476.71	511.0	532.74	718.08	551.56	928.3	351.14	155.5	387.02	665.29	460.44	392.44	332.14	624.99	309.83	457.25	607.87
GGACT	91.41	80.01	84.04	17.51	141.02	60.39	21.16	63.0	54.33	139.07	169.07	156.59	96.68	26.86	40.93	66.65	116.78	35.0	198.47	90.14	44.89	47.5	24.11	71.0	156.59	77.79	16.39	29.91	127.89	150.17	52.08	44.89	15.11	102.97	82.29	64.8	57.49	38.12	145.02	66.18	151.22	100.83	94.67	141.02	139.07	116.78	139.07	118.43	73.54	88.88	60.82	74.58	49.21	51.35	29.27	65.26	14.24	132.44	35.0	74.58	87.03
GPX7	368.65	341.51	271.48	26.47	327.56	307.69	19.53	30.34	59.97	1096.5	1268.46	228.13	579.04	41.22	14.14	316.37	536.45	454.09	291.04	444.72	125.24	105.89	25.54	199.85	260.38	204.07	17.51	173.85	902.89	403.5	129.69	154.42	39.79	182.55	256.78	138.1	260.38	241.19	500.46	260.38	954.43	423.61	384.34	450.94	307.69	587.13	642.59	190.34	409.15	389.72	71.5	79.45	22.1	161.02	70.01	183.82	43.94	703.28	49.91	248.0	244.57
GRHPR	2178.83	2720.15	1498.22	583.07	2004.85	1519.15	981.29	1359.57	2502.97	2502.97	2018.8	2090.03	2104.58	713.11	1417.35	2682.69	1674.06	2119.22	2119.22	1697.45	1259.69	988.12	1167.14	1950.0	2061.24	1697.45	842.36	1259.69	3874.05	2520.38	1250.98	1529.73	1175.27	1977.24	2555.58	1427.22	1127.35	1487.87	1286.18	1417.35	3124.78	1781.89	1467.37	2451.44	2591.27	2485.67	2468.49	2319.15	2178.83	2434.5	1551.09	1340.84	967.76	1369.04	1447.15	1407.55	1001.93	2520.38	743.43	1628.26	1936.53
HINT2	1639.59	2627.46	1447.15	599.49	2520.38	1806.78	511.0	1051.79	1008.9	2502.97	988.12	1617.0	1662.49	493.56	848.22	1936.53	1427.22	660.68	1857.6	2018.8	708.18	780.44	435.55	825.0	1963.57	967.76	718.08	733.19	3303.0	1806.78	647.07	967.76	316.37	2976.74	1359.57	836.53	1304.15	780.44	1685.71	703.28	2855.44	2047.0	1001.93	2400.97	1651.0	1963.57	3491.39	1617.0	1651.0	1662.49	620.67	651.58	356.05	884.29	836.53	497.0	441.64	1378.57	819.3	1313.23	1662.49
HLA-DRA	102125.66	145432.49	96616.71	53230.77	251464.33	569761.05	154794.07	606436.73	253213.41	56265.94	258533.99	140478.49	163620.18	82951.62	136637.07	109455.64	186652.11	269512.87	202841.44	163620.18	275175.93	161367.56	341137.96	156954.93	208544.12	149521.18	341137.96	194578.47	154794.07	215898.44	466008.55	233003.78	55107.99	211455.3	668235.84	204252.32	378516.38	146444.06	345900.08	417089.23	110216.97	208544.12	215898.44	212926.09	198667.0	221968.2	318292.9	205673.01	124000.67	263966.36	123144.13	248002.34	211455.3	1085552.95	273275.14	645473.24	76330.98	299043.36	327241.36	83528.61	102836.01
ISY1	764.36	780.44	595.34	320.8	713.11	532.74	325.29	457.25	759.08	656.11	928.3	728.11	483.38	409.15	318.57	1073.91	753.83	656.11	884.29	928.3	336.79	551.56	205.5	518.15	775.05	371.22	334.46	540.19	890.44	819.3	295.11	412.0	258.57	684.02	356.05	620.67	287.01	486.75	567.1	281.09	808.0	796.86	1059.11	866.07	669.92	693.58	1159.07	947.83	684.02	575.03	381.68	285.03	583.07	409.15	400.71	409.15	289.02	890.44	454.09	651.58	599.49
LSM4	2701.35	3820.7	2119.22	1059.11	3349.13	2855.44	764.36	2855.44	2319.15	6207.38	2119.22	2224.63	2224.63	674.59	1781.89	6250.56	2520.38	1923.14	2555.58	2895.31	1111.82	660.68	1806.78	1225.22	1769.57	1268.46	1572.76	1583.71	6840.04	2816.11	1066.48	1806.78	1313.23	2451.44	2255.7	1250.98	2287.2	1277.29	1397.83	2090.03	4066.71	2835.7	2004.85	2777.33	1896.65	3103.19	3614.55	3257.52	2609.3	2255.7	2434.5	1617.0	802.41	1277.29	1617.0	1617.0	1096.5	4704.07	1295.13	1617.0	2335.28
LYRM4	620.67	1250.98	547.75	389.72	651.58	802.41	373.81	607.87	307.69	698.41	603.67	620.67	651.58	309.83	536.45	974.5	348.71	698.41	785.88	457.25	381.68	371.22	248.0	412.0	728.11	525.39	134.3	454.09	1159.07	665.29	198.47	435.55	435.55	466.88	543.96	928.3	438.59	703.28	713.11	444.72	988.12	819.3	511.0	429.54	571.05	551.56	1191.69	669.92	830.75	620.67	447.82	277.2	177.53	373.81	457.25	423.61	339.14	825.0	607.87	529.06	567.1
MCTS1	866.07	1295.13	878.17	379.04	934.76	693.58	363.56	808.0	571.05	1350.18	947.83	808.0	872.1	255.0	392.44	1487.87	483.38	728.11	974.5	819.3	358.54	397.93	279.14	466.88	813.63	483.38	202.66	490.14	1104.13	947.83	423.61	708.18	381.68	620.67	583.07	389.72	872.1	629.35	1277.29	669.92	1350.18	775.05	947.83	1059.11	547.75	1081.39	1295.13	802.41	825.0	842.36	447.82	447.82	231.32	629.35	423.61	406.31	269.6	1757.34	432.53	733.19	748.61
MEA1	1572.76	2133.97	1286.18	769.69	1844.76	1350.18	521.76	1388.16	1651.0	2104.58	1794.29	1870.53	1167.14	728.11	791.35	3168.41	1143.1	1242.34	2287.2	1617.0	878.17	723.08	612.11	1844.76	1844.76	723.08	748.61	854.13	2434.5	1378.57	802.41	708.18	511.0	1561.89	1208.34	830.75	1081.39	890.44	1277.29	728.11	2367.9	2319.15	1819.35	1870.53	1259.69	1159.07	2351.53	1870.53	1991.0	1051.79	738.29	1295.13	872.1	915.51	1044.52	988.12	397.93	1857.6	791.35	1051.79	1457.23
MED31	400.71	733.19	368.65	409.15	486.75	429.54	215.77	688.78	397.93	583.07	435.55	450.94	483.38	170.25	299.25	769.69	195.72	358.54	438.59	503.95	111.99	135.24	218.79	256.78	384.34	115.16	122.64	218.79	490.14	420.68	142.01	291.04	98.73	336.79	150.17	273.37	450.94	277.2	336.79	176.29	579.04	486.75	447.82	435.55	242.88	406.31	616.37	599.49	346.29	366.09	217.27	190.34	356.05	177.53	204.07	127.89	406.31	647.07	289.02	395.18	353.59
