	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.YB5E.0926.SM.4WWDQ	GTEX.UJMC.0926.SM.4IHLK	GTEX.11XUK.0826.SM.5GU6P	TCGA.DD.A119.11A.11R.A131.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.BC.A10Y.11A.11R.A131.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.11ZTS.1426.SM.5EQMM	GTEX.ZVP2.0626.SM.51MSO	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.11NUK.1226.SM.5P9GM	GTEX.14E1K.0326.SM.5S2PE	GTEX.11ZVC.0726.SM.5FQT9	GTEX.WOFM.2126.SM.4OOSR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
DDA1	1350.18	624.99	1540.37	1437.15	1477.58	1059.11	1313.23	1844.76	1008.9	961.07	1037.29	1167.14	447.82	660.68	607.87	503.95	543.96	780.44	507.46	366.09	629.35	595.34	429.54	607.87	432.53	1151.06	1572.76	1135.2	1167.14	1313.23	1159.07	1044.52	1733.13	1467.37	1651.0
DYNLRB1	6792.79	2976.74	6607.01	13306.94	9344.14	5366.37	6207.38	9279.58	5751.61	4038.61	3955.48	4543.8	2090.03	3235.01	2133.97	3018.3	2855.44	2739.08	2895.31	2047.0	2701.35	2032.85	1769.57	2119.22	2178.83	3901.01	7966.99	3901.01	8421.31	6426.31	6294.04	3768.09	6471.02	5954.47	7537.18
ENO1	37639.55	10296.45	46662.28	48643.87	67377.47	42346.82	40904.3	47313.67	43537.38	22850.48	21320.18	18431.96	9740.98	10808.41	12076.21	11909.94	9740.98	14867.79	11189.6	5995.9	18178.19	5672.41	6207.38	9540.5	4972.34	23169.48	47313.67	19892.37	56265.94	46986.85	45701.96	31215.04	59474.18	47642.77	48307.85
FAM212A	1208.34	58.71	866.07	872.1	1051.79	599.49	718.08	909.17	769.69	532.74	314.17	395.18	28.45	21.78	10.71	38.4	8.78	10.63	11.55	10.88	20.26	5.11	15.68	12.64	9.93	334.46	567.1	301.33	934.76	518.15	518.15	368.65	921.88	684.02	981.29
FAM89B	1388.16	808.0	1498.22	2032.85	1963.57	1605.83	1572.76	2875.3	1651.0	872.1	1059.11	1096.5	384.34	733.19	460.44	780.44	543.96	884.29	543.96	559.28	409.15	490.14	591.22	379.04	587.13	974.5	1551.09	1127.35	743.43	1427.22	1051.79	854.13	1529.73	1322.37	1407.55
GSTP1	150561.19	2384.37	102836.01	128373.58	288856.81	81244.48	95286.54	169390.27	128373.58	76330.98	48982.22	50709.61	1051.79	1617.0	896.64	1733.13	1088.92	1991.0	1023.0	563.18	4181.07	400.71	551.56	283.05	743.43	30572.63	121448.75	41188.81	132900.7	91404.92	101420.22	47313.67	124000.67	108699.57	159145.95
HIST1H2BH	1073.91	0.0	20.86	241.19	164.42	54.72	43.63	660.68	620.67	34.75	43.94	10.79	0.0	4.5	0.0	0.0	8.99	0.0	0.0	2.63	0.0	0.0	0.0	0.0	0.0	57.08	46.18	19.25	40.93	49.21	108.9	11.3	248.0	105.15	158.79
HIST1H2BL	60.39	0.0	6.94	55.1	23.76	12.55	10.71	37.59	15.8	3.29	0.0	5.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.15	0.0	16.63	0.0	8.58	0.0	23.93	21.32	14.24
HSBP1	3325.99	1081.39	3039.3	5872.48	3515.68	2835.7	3280.18	3742.05	3018.3	2351.53	2434.5	1923.14	703.28	896.64	988.12	1096.5	896.64	775.05	836.53	567.1	1159.07	708.18	547.75	878.17	819.3	2061.24	5292.48	3280.18	8022.41	4268.94	2796.65	1844.76	4210.15	3491.39	6652.97
JOSD2	1159.07	769.69	1225.22	2319.15	1662.49	1135.2	1135.2	1397.83	1277.29	1051.79	1313.23	1208.34	595.34	536.45	511.0	555.41	525.39	551.56	713.11	417.77	708.18	518.15	555.41	486.75	518.15	866.07	1977.24	785.88	1111.82	1175.27	1183.45	674.59	1191.69	1259.69	1191.69
KIAA0196	575.03	366.09	679.29	988.12	607.87	723.08	595.34	733.19	423.61	447.82	575.03	454.09	470.14	305.55	303.44	441.64	248.0	277.2	271.48	221.86	329.84	269.6	289.02	318.57	291.04	466.88	896.64	447.82	518.15	409.15	612.11	543.96	595.34	616.37	591.22
KRT4	3.697379928E7	8.65	1.810644424E7	1100706.72	746611.43	6140819.49	2.276004283E7	2654482.97	3.109113511E7	598087.73	71714.63	165904.25	4.5	2.12	5.32	7.69	38.4	122.64	0.0	3.47	10.31	1.07	5.11	3.66	5.23	1851161.35	1.236706555E7	2053992.24	2.900905474E7	6357375.06	1.236706555E7	1727194.55	2.213766823E7	1.887534821E7	2.10891839E7
LSM12	1135.2	555.41	703.28	669.92	842.36	830.75	743.43	1674.06	603.67	674.59	693.58	629.35	529.06	540.19	536.45	536.45	547.75	555.41	432.53	297.17	466.88	470.14	334.46	420.68	371.22	693.58	1135.2	679.29	1081.39	1167.14	848.22	688.78	1191.69	1119.56	1216.75
MYL6	45701.96	21919.61	103551.29	254974.66	194578.47	53973.86	71219.26	95949.32	74243.68	34396.12	38966.94	30361.44	21320.18	23986.58	20593.91	23986.58	22380.2	24490.61	23492.92	24490.61	30572.63	17437.64	19482.97	17681.08	15499.21	30361.44	102836.01	37379.55	71714.63	46986.85	61571.56	43840.21	58250.19	57448.23	55491.3
NKIRAS2	1685.71	543.96	1286.18	941.27	1051.79	1044.52	1487.87	1457.23	1242.34	896.64	909.17	1023.0	466.88	532.74	389.72	400.71	400.71	412.0	332.14	312.0	301.33	363.56	346.29	256.78	341.51	860.08	1233.75	723.08	1183.45	934.76	1059.11	878.17	1397.83	1143.1	974.5
OTUB1	3982.99	1143.1	3190.46	3820.7	3349.13	3039.3	3325.99	3982.99	2875.3	2434.5	2739.08	2319.15	1015.93	1199.98	934.76	1066.48	1023.0	1037.29	1151.06	890.44	1242.34	974.5	1073.91	1044.52	791.35	2303.12	4038.61	2335.28	5751.61	3589.58	2875.3	1561.89	3443.31	3589.58	4038.61
PDCD2	1286.18	665.29	1135.2	1733.13	1233.75	1111.82	1088.92	1119.56	1023.0	1001.93	1081.39	1023.0	591.22	651.58	603.67	728.11	603.67	647.07	642.59	363.56	743.43	450.94	281.09	540.19	444.72	1037.29	2384.37	1259.69	974.5	878.17	1233.75	1208.34	1015.93	1259.69	1225.22
PFN1	14561.8	11909.94	27553.49	53601.03	43537.38	22850.48	22535.88	37121.34	22692.63	12244.81	12589.08	10154.69	11267.44	12160.22	11189.6	10733.74	10659.59	12502.12	11189.6	9606.86	15607.02	8963.45	9606.86	7749.1	8363.13	11745.96	24660.96	12160.22	23492.92	17197.56	16960.78	13306.94	17317.18	14663.09	20881.4
PLP2	15075.35	813.63	17317.18	15392.14	20737.16	12415.75	12502.12	20737.16	15934.98	8134.41	8479.89	8078.22	540.19	329.84	490.14	414.87	320.8	348.71	171.45	134.3	684.02	144.01	90.14	241.19	111.21	7589.61	19754.96	6337.83	29736.59	15392.14	14262.1	7280.4	16611.71	13872.08	20030.74
POLB	4298.64	543.96	902.89	947.83	1111.82	896.64	463.65	4038.61	1037.29	848.22	616.37	587.13	656.11	603.67	620.67	511.0	555.41	392.44	368.65	269.6	275.28	237.86	318.57	656.11	450.94	854.13	1709.26	633.73	2796.65	2319.15	1286.18	974.5	2209.26	1037.29	3060.45
PPIA	68318.04	23330.64	72715.74	130165.62	117311.73	79572.48	76861.91	97965.44	87681.42	51775.15	44145.15	43840.21	22072.07	26800.01	22850.48	24153.43	25530.66	25179.16	27174.14	18819.27	30999.42	16611.71	17558.94	23986.58	20310.37	39237.98	109455.64	43840.21	113315.62	60304.42	67846.12	35856.82	78476.96	76330.98	97288.74
PPP1R14B	5329.3	1794.29	6381.92	12589.08	8901.53	6381.92	5076.84	14765.09	6607.01	4239.45	3901.01	3639.7	1030.12	1757.34	1199.98	1073.91	1359.57	2104.58	1216.75	1191.69	1119.56	1477.58	1397.83	1088.92	1709.26	3419.52	9606.86	2997.45	8598.28	6983.79	5672.41	2816.11	7695.57	7382.04	6792.79
PSMD11	4038.61	1081.39	2271.4	4066.71	2739.08	2287.2	2255.7	3372.43	2133.97	2075.59	1561.89	1529.73	1225.22	1001.93	1331.57	1268.46	1135.2	1322.37	860.08	825.0	1199.98	878.17	848.22	967.76	1030.12	1651.0	2915.45	1388.16	3190.46	3060.45	1806.78	1733.13	3257.52	3081.75	3372.43
RAC1	31650.8	3349.13	14065.74	15499.21	11424.74	12943.04	16157.44	32092.64	13872.08	11267.44	6699.25	9279.58	4038.61	3146.52	4388.98	4802.93	5076.84	3039.3	2739.08	3280.18	3419.52	2796.65	1628.26	3168.41	3235.01	7081.29	13872.08	7485.11	14765.09	11345.82	12076.21	7180.15	17558.94	13492.72	16727.26
RANGAP1	2855.44	1183.45	2319.15	2956.17	4607.24	1651.0	1745.2	4802.93	2591.27	1378.57	1709.26	1781.89	866.07	1037.29	1519.15	890.44	896.64	1233.75	947.83	775.05	1059.11	825.0	414.87	688.78	1159.07	1135.2	2209.26	1359.57	2976.74	3168.41	2319.15	1540.37	2468.49	2664.15	2739.08
RBM4	2875.3	1540.37	2319.15	3443.31	2758.13	2434.5	2573.36	3190.46	2434.5	1977.24	2287.2	2573.36	1143.1	1183.45	1059.11	1519.15	947.83	1295.13	1259.69	1015.93	974.5	1340.84	1250.98	1167.14	1769.57	1331.57	2609.3	2018.8	1923.14	2739.08	2976.74	2104.58	2777.33	2935.74	2682.69
RGS10	2032.85	242.88	1936.53	1709.26	2224.63	1304.15	1977.24	1709.26	1781.89	1216.75	764.36	1540.37	120.94	248.0	152.28	223.41	96.01	171.45	78.89	78.89	301.33	189.02	144.01	94.67	36.27	1572.76	2255.7	1225.22	1104.13	769.69	947.83	753.83	1159.07	928.3	1127.35
RHOG	2178.83	703.28	3103.19	3847.29	3820.7	2255.7	3168.41	2537.92	3039.3	1721.16	1963.57	2351.53	753.83	890.44	909.17	764.36	703.28	981.29	507.46	536.45	830.75	612.11	463.65	525.39	511.0	1322.37	3515.68	1143.1	2485.67	3146.52	2319.15	1757.34	2956.17	3060.45	2997.45
SARNP	2758.13	974.5	2061.24	2434.5	2032.85	2047.0	1832.01	2434.5	1844.76	1447.15	1457.23	1175.27	665.29	954.43	884.29	947.83	947.83	802.41	703.28	896.64	974.5	633.73	620.67	769.69	713.11	1286.18	4239.45	1369.04	2209.26	1733.13	1628.26	1594.73	1745.2	1721.16	2255.7
SF3B4	1417.35	633.73	1909.85	2148.82	2319.15	2178.83	1594.73	2758.13	1388.16	1015.93	1437.15	1259.69	450.94	497.0	454.09	693.58	490.14	718.08	426.57	295.11	500.46	351.14	285.03	309.83	420.68	1378.57	2047.0	1286.18	2119.22	2240.11	2032.85	1340.84	2090.03	1936.53	1896.65
SH3BGRL3	23492.92	2075.59	10296.45	18431.96	21320.18	9409.14	14065.74	14663.09	13872.08	8538.88	7280.4	6983.79	1685.71	1950.0	1685.71	1757.34	1697.45	1977.24	1111.82	974.5	2468.49	1037.29	738.29	1250.98	1044.52	5831.91	18304.63	6652.97	28723.62	14765.09	10659.59	8191.0	21026.65	13586.57	15824.9
SLC25A39	4769.75	2664.15	5183.54	6745.86	8022.41	3768.09	4671.57	12589.08	5791.62	3690.52	4123.49	3467.27	2104.58	2935.74	1685.71	2240.11	2004.85	2240.11	2682.69	2032.85	2193.99	1870.53	2502.97	1617.0	1857.6	3515.68	4123.49	4152.18	5441.3	5831.91	4010.71	2664.15	3982.99	3742.05	4298.64
SNRPB	8247.98	1870.53	6337.83	15075.35	8658.09	5751.61	4388.98	8421.31	4671.57	3716.2	4639.29	2976.74	1111.82	2075.59	1583.71	2090.03	1594.73	2255.7	1572.76	1159.07	1950.0	1088.92	1628.26	988.12	1268.46	4937.99	8191.0	5329.3	8598.28	6250.56	5329.3	4358.66	8718.32	5954.47	7749.1
TEX101	518.15	0.0	49.21	35.76	43.02	109.66	172.65	1059.11	277.2	31.0	80.57	49.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	0.0	0.0	1.95	0.0	0.0	6.67	170.25	24.63	403.5	214.27	105.15	9.2	595.34	273.37	339.14
TRNAU1AP	414.87	260.38	624.99	575.03	698.41	607.87	642.59	825.0	514.56	460.44	514.56	540.19	273.37	228.13	241.19	275.28	205.5	229.72	186.4	165.57	232.94	157.68	163.28	214.27	164.42	612.11	830.75	343.89	423.61	368.65	559.28	591.22	483.38	607.87	346.29
TUBG1	1551.09	309.83	1286.18	1397.83	1844.76	1216.75	1286.18	1977.24	1286.18	878.17	1135.2	896.64	406.31	571.05	303.44	435.55	373.81	447.82	460.44	256.78	518.15	239.52	228.13	423.61	318.57	688.78	1313.23	1119.56	1709.26	1639.59	1015.93	1059.11	1340.84	1467.37	1508.65
UBE2J2	928.3	1015.93	1331.57	1519.15	1617.0	1216.75	1159.07	1417.35	1225.22	1023.0	1628.26	1191.69	713.11	842.36	612.11	860.08	579.04	860.08	785.88	813.63	629.35	669.92	902.89	629.35	780.44	1208.34	1250.98	1477.58	1001.93	1697.45	1104.13	1151.06	1540.37	1457.23	2163.77
UBE2M	2004.85	954.43	1639.59	2485.67	2287.2	2104.58	1685.71	2148.82	1844.76	1617.0	1378.57	1487.87	860.08	872.1	848.22	981.29	896.64	981.29	825.0	785.88	915.51	529.06	603.67	679.29	559.28	1023.0	2047.0	1519.15	2178.83	2133.97	1674.06	1397.83	2287.2	2520.38	2351.53
