	TCGA.AC.A3BB.01A.21R.A19W.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.BH.A0W7.01A.11R.A115.07	TCGA.EW.A1PF.01A.11R.A144.07	TCGA.VS.A9UV.01A.11R.A42T.07	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A499.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.22.1016.01A.01R.0692.07
LRRC15	988.12	1963.57	693.58	2133.97	995.0	1617.0	17.77	9.48	5.19	15.45	26.47	0.0	0.01	55.89
LRRC17	713.11	387.02	253.23	748.61	718.08	579.04	5.87	25.17	65.72	12.45	7.28	0.0	0.11	129.69
LRRC27	325.29	371.22	228.13	341.51	232.94	318.57	109.66	138.1	131.51	61.25	123.5	0.0	0.31	178.77
LRRC6	214.27	780.44	167.9	629.35	389.72	253.23	17.77	23.59	44.25	3.03	21.78	0.0	0.34	131.51
MESP1	403.5	435.55	361.04	423.61	642.59	229.72	111.21	18.84	14.78	0.6	56.68	0.0	0.0	17.51
MESP2	104.42	165.57	77.25	162.14	231.32	109.66	1.5	6.01	10.88	1.97	10.88	0.0	0.06	5.54
MFAP1	728.11	974.5	693.58	769.69	743.43	830.75	426.57	587.13	514.56	463.65	503.95	0.0	0.14	518.15
MGAT4A	473.41	1127.35	1331.57	579.04	503.95	915.51	35.25	155.5	77.79	10.55	80.57	0.0	0.62	591.22
MUC6	16.39	191.67	37.05	3.96	457.25	2.07	0.0	4.13103505E7	2.782734531E7	0.38	0.0	0.0	0.08	2.68
NAT14	836.53	647.07	271.48	743.43	1175.27	679.29	166.73	138.1	155.5	595.34	206.94	0.0	0.33	361.04
NDUFAF1	567.1	454.09	341.51	555.41	547.75	571.05	136.19	291.04	255.0	217.27	231.32	0.0	0.0	323.03
NGRN	3146.52	2976.74	2351.53	3443.31	2502.97	3515.68	1583.71	1407.55	1322.37	2163.77	1709.26	0.0	0.88	2835.7
NOX4	202.66	239.52	195.72	312.0	429.54	255.0	27.25	12.09	4.78	49.21	59.97	0.0	0.26	52.45
NTN4	878.17	3515.68	2573.36	2895.31	1844.76	1111.82	15.11	316.37	271.48	86.43	220.32	0.0	0.27	723.08
OMD	156.59	575.03	226.54	412.0	353.59	285.03	2.76	87.65	110.43	0.0	7.88	0.0	0.14	27.05
OVOL2	551.56	343.89	381.68	543.96	406.31	343.89	177.53	329.84	303.44	162.14	124.37	0.0	0.08	127.0
PBX1	988.12	2163.77	2061.24	1870.53	866.07	2976.74	356.05	327.56	371.22	18.16	198.47	514.56	191.67	1350.18
PDGFRL	1467.37	1096.5	693.58	1037.29	1175.27	669.92	48.52	82.29	82.29	7.28	19.53	0.0	0.13	146.03
PEX11A	928.3	1104.13	748.61	1388.16	529.06	915.51	82.29	156.59	206.94	66.18	82.87	0.0	0.0	154.42
POSTN	20451.65	26614.89	11267.44	18431.96	19348.38	24321.43	208.38	1447.15	119.26	688.78	616.37	0.0	0.01	6471.02
PPAPDC1A	529.06	536.45	46.18	532.74	532.74	395.18	7.88	0.0	4.62	30.78	10.96	0.0	0.17	27.44
PRR15	1030.12	723.08	511.0	733.19	1721.16	486.75	1.04	656.11	84.04	52.45	45.85	0.0	0.0	25.35
PRRT3	133.36	231.32	82.29	163.28	141.02	339.14	8.85	38.95	43.63	9.85	14.35	0.0	0.25	29.48
RMDN3	995.0	769.69	595.34	872.1	860.08	1225.22	441.64	521.76	529.06	454.09	612.11	0.0	0.28	791.35
RPS6KL1	129.69	132.44	97.36	127.0	293.07	191.67	12.27	50.63	100.13	5.96	36.27	0.0	0.64	77.25
SEPT8	1745.2	1477.58	1216.75	872.1	1151.06	1242.34	713.11	748.61	1001.93	289.02	435.55	0.0	0.56	738.29
SERF2	47642.77	26614.89	21768.19	31650.8	35363.15	36610.26	13776.25	20030.74	17197.56	12244.81	10659.59	0.0	1.38	19754.96
SGCD	114.36	199.85	198.47	189.02	102.25	177.53	2.61	26.1	31.22	6.41	5.45	0.0	0.27	48.18
SLC24A2	27.25	60.82	19.11	70.51	37.05	63.89	0.0	0.0	0.0	1.28	0.67	0.0	0.17	0.55
SMIM14	1477.58	4543.8	2875.3	3303.0	1605.83	4066.71	189.02	941.27	525.39	463.65	473.41	1250.98	521.76	612.11
SRMS	51.35	107.38	37.85	42.11	87.65	111.99	0.0	35.0	5.23	3.38	1.1	0.0	0.11	3.69
STMND1	190.34	309.83	54.33	295.11	271.48	16.27	2.12	20.26	8.19	0.45	0.0	0.0	0.0	2.58
SYNDIG1	161.02	265.87	75.11	264.03	205.5	163.28	1.38	12.0	17.38	1.14	2.81	0.0	0.23	66.18
TIMP3	4639.29	8022.41	8191.0	11504.21	9088.59	8778.97	260.38	2520.38	2468.49	2061.24	356.05	3491.39	1674.06	3690.52
TMBIM4	5112.16	2835.7	3349.13	4298.64	2997.45	2956.17	1286.18	1721.16	1208.34	551.56	1407.55	0.0	0.87	2417.67
TMCO3	988.12	1369.04	1030.12	1359.57	1340.84	796.86	518.15	466.88	381.68	312.0	373.81	0.0	0.85	540.19
TMEM63C	346.29	441.64	305.55	186.4	389.72	339.14	1.69	267.73	351.14	8.45	46.5	0.0	0.44	63.89
TNFSF4	80.57	98.04	52.82	103.69	102.97	113.56	3.79	7.11	13.32	6.01	89.51	0.0	0.4	44.25
TTC40	35.5	157.68	25.91	46.84	111.99	3.26	0.47	47.5	37.59	2.78	2.23	0.0	0.0	6.11
UBTD2	543.96	698.41	540.19	656.11	718.08	518.15	381.68	185.11	166.73	209.84	307.69	109.66	113.56	476.71
