	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.12C56.1226.SM.5FQSU	GTEX.V1D1.1026.SM.4JBHE	GTEX.11P7K.1326.SM.5BC5G	GTEX.X3Y1.1326.SM.4PQZB	GTEX.13OVI.2626.SM.5KM4T	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.ZVT2.1326.SM.5E45H	GTEX.U3ZM.0526.SM.4DXTB	GTEX.11P81.0826.SM.5P9GR	GTEX.131XG.1026.SM.5GCMX	GTEX.QV44.1126.SM.4R1KO	GTEX.14AS3.0626.SM.5QGQD	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CV.7089.01A.11R.2016.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.7423.11A.01R.2081.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.35.4122.01A.01R.1107.07	TCGA.38.4629.01A.02R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.3783.01A.01R.1201.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZT9W.2126.SM.51MSF
CDC42BPB	343.89	1721.16	441.64	1175.27	1277.29	1059.11	1350.18	1286.18	1397.83	1191.69	1350.18	1781.89	1088.92	1167.14	1359.57	318.57	1551.09	1639.59	1617.0	1757.34	1870.53	1457.23	1519.15	1733.13	1397.83	1781.89	1628.26	1628.26	287.01	150.17	366.09	921.88	381.68	1233.75	579.04	612.11	902.89	490.14	0.0	0.89	182.55	1030.12	175.07	202.66	1183.45	988.12	1242.34	567.1
CDKL5	10.63	61.68	1.06	44.25	38.95	13.52	43.32	27.44	31.67	28.86	70.51	59.55	49.91	15.45	64.34	1.93	115.16	79.45	144.01	76.71	97.36	86.43	101.54	78.34	62.56	127.0	93.35	69.52	4.54	5.92	4.24	21.47	9.34	55.89	32.36	10.71	35.25	35.25	0.0	0.04	5.59	21.01	1.55	2.46	72.01	47.84	173.85	37.32
CHD2	98.73	409.15	185.11	616.37	392.44	366.09	656.11	351.14	583.07	473.41	432.53	521.76	718.08	400.71	371.22	152.28	660.68	674.59	651.58	693.58	1119.56	567.1	698.41	723.08	679.29	902.89	723.08	651.58	181.28	75.11	142.01	334.46	84.04	583.07	389.72	228.13	384.34	201.25	0.0	0.43	73.54	197.09	115.16	165.57	346.29	435.55	389.72	255.0
CHD7	129.69	708.18	52.45	183.82	275.28	156.59	389.72	291.04	264.03	155.5	206.94	316.37	269.6	121.79	195.72	41.52	211.31	307.69	226.54	336.79	447.82	197.09	215.77	329.84	258.57	223.41	281.09	223.41	20.71	27.44	85.22	128.79	53.95	194.36	229.72	119.26	99.43	85.82	0.0	0.69	42.41	49.56	31.9	43.63	98.04	454.09	121.79	47.17
CLEC18A	3.41	48.87	11.13	4.24	15.11	3.26	23.25	27.84	26.1	7.88	24.11	17.51	8.19	3.23	16.63	2.66	30.78	36.79	97.36	25.35	43.02	58.71	23.08	60.39	34.75	33.3	27.84	72.52	14.35	10.39	3.35	4.21	7.82	12.45	4.28	2.23	1.77	1.81	0.0	0.56	19.97	2.89	0.0	25.35	1.97	0.13	1.27	2.63
CLEC18B	0.0	118.43	7.06	53.19	58.71	3.79	76.17	0.91	113.56	2.81	120.94	85.22	10.47	0.38	234.57	10.24	81.71	68.07	336.79	134.3	116.78	148.09	109.66	85.82	131.51	115.97	94.67	157.68	12.27	16.03	0.91	13.42	3.72	15.56	1.93	6.31	7.88	34.26	0.0	0.59	9.85	6.62	4.21	1.99	2.03	7.63	6.21	8.99
CLINT1	713.11	4543.8	466.88	2061.24	2224.63	1104.13	2777.33	1001.93	1950.0	1963.57	2400.97	2664.15	2816.11	860.08	1844.76	447.82	3874.05	3212.66	3794.3	3820.7	3639.7	2997.45	3564.78	3124.78	3103.19	2976.74	2816.11	2303.12	708.18	447.82	514.56	1397.83	490.14	1844.76	1277.29	1127.35	2335.28	2520.38	0.0	0.64	587.13	587.13	454.09	954.43	3190.46	1977.24	2573.36	1844.76
CLUH	656.11	1685.71	669.92	981.29	3395.89	2468.49	1963.57	2502.97	1781.89	1781.89	1540.37	2193.99	967.76	1037.29	2520.38	497.0	2417.67	2224.63	1697.45	2796.65	2384.37	2148.82	2163.77	2609.3	2591.27	2018.8	1963.57	2451.44	511.0	205.5	915.51	1397.83	305.55	1594.73	1583.71	1250.98	2047.0	543.96	633.73	1167.14	197.09	435.55	221.86	218.79	3419.52	3874.05	1977.24	1397.83
COL4A3BP	226.54	743.43	232.94	358.54	387.02	361.04	450.94	269.6	371.22	351.14	490.14	406.31	379.04	293.07	529.06	279.14	738.29	540.19	866.07	603.67	665.29	848.22	543.96	603.67	866.07	759.08	890.44	753.83	206.94	128.79	181.28	327.56	111.99	486.75	307.69	241.19	454.09	346.29	229.72	119.26	194.36	217.27	167.9	214.27	616.37	543.96	426.57	444.72
CTC-349C3.1	12.0	447.82	4.62	346.29	579.04	58.71	486.75	293.07	373.81	224.97	743.43	265.87	177.53	90.14	555.41	14.14	525.39	540.19	532.74	547.75	503.95	432.53	521.76	441.64	358.54	450.94	435.55	511.0	42.71	9.41	18.7	71.5	17.0	157.68	76.71	92.7	142.01	156.59	0.0	0.62	9.93	29.7	5.15	19.97	277.2	88.88	301.33	110.43
CYP3A5	2.86	11504.21	1.28	371.22	176.29	21.32	205.5	112.77	224.97	88.88	176.29	167.9	915.51	18.29	231.32	37.59	1769.57	2835.7	2032.85	1991.0	2303.12	2701.35	3349.13	2835.7	1685.71	2255.7	2032.85	3742.05	114.36	15.8	2.86	536.45	26.86	2895.31	241.19	693.58	232.94	246.28	42.71	178.77	155.5	14.56	14.45	13.72	3146.52	1745.2	2090.03	3716.2
CYTH1	329.84	1769.57	791.35	842.36	1250.98	559.28	1225.22	791.35	1066.48	1498.22	1350.18	1088.92	981.29	928.3	1378.57	366.09	1857.6	2047.0	2018.8	1844.76	1745.2	1819.35	1857.6	1721.16	1199.98	1936.53	1662.49	1277.29	341.51	180.02	629.35	941.27	447.82	1135.2	961.07	808.0	915.51	559.28	0.0	0.65	361.04	629.35	403.5	217.27	1208.34	728.11	1498.22	836.53
DDI2	68.07	414.87	79.45	497.0	603.67	314.17	693.58	353.59	559.28	642.59	896.64	518.15	361.04	271.48	884.29	63.45	511.0	493.56	595.34	476.71	486.75	417.77	412.0	356.05	473.41	521.76	503.95	470.14	94.01	48.87	155.5	228.13	51.35	387.02	178.77	256.78	264.03	169.07	0.0	0.51	51.71	76.17	50.98	68.07	503.95	163.28	327.56	470.14
DEGS2	1.58	20881.4	1.87	320.8	941.27	131.51	84.63	384.34	92.7	197.09	1259.69	346.29	234.57	11.3	2178.83	13.52	1467.37	1073.91	1457.23	1769.57	1697.45	1844.76	1304.15	1313.23	1331.57	915.51	1467.37	1594.73	126.12	13.62	2.94	273.37	12.93	896.64	127.0	172.65	603.67	842.36	0.0	0.0	19.11	6.89	237.86	37.85	559.28	301.33	2627.46	921.88
DENND4C	105.89	314.17	97.36	307.69	303.44	205.5	395.18	206.94	334.46	289.02	332.14	237.86	429.54	206.94	363.56	102.97	540.19	500.46	738.29	470.14	591.22	343.89	493.56	529.06	460.44	612.11	669.92	293.07	127.0	103.69	126.12	214.27	110.43	463.65	198.47	193.01	325.29	269.6	189.02	116.78	175.07	209.84	93.35	108.9	599.49	423.61	220.32	289.02
DHRS1	301.33	5403.7	890.44	2609.3	15392.14	14361.31	2816.11	7230.1	7180.15	3589.58	3039.3	2976.74	3103.19	884.29	16611.71	521.76	3168.41	3372.43	3716.2	2627.46	3589.58	1674.06	3372.43	1977.24	4210.15	2148.82	1991.0	3955.48	1870.53	587.13	629.35	2976.74	669.92	5292.48	1427.22	2537.92	1794.29	3982.99	0.0	0.72	325.29	529.06	1259.69	265.87	27745.15	3540.14	10659.59	8718.32
DMXL1	144.01	483.38	149.12	269.6	275.28	153.34	339.14	205.5	312.0	241.19	346.29	223.41	236.21	191.67	363.56	191.67	575.03	507.46	463.65	514.56	532.74	389.72	483.38	476.71	480.04	536.45	507.46	493.56	173.85	153.34	51.35	178.77	109.66	511.0	185.11	211.31	234.57	265.87	0.0	0.46	120.94	173.85	115.97	208.38	409.15	229.72	412.0	334.46
EHF	9.56	40621.74	18.97	4575.41	8134.41	460.44	7911.95	2119.22	3589.58	2976.74	24321.43	12160.22	3716.2	314.17	73730.83	3.03	5995.9	4869.99	8247.98	6516.03	6294.04	6079.61	5594.3	5995.9	5076.84	7695.57	6983.79	5672.41	775.05	435.55	232.94	2609.3	400.71	4836.35	2148.82	1819.35	4358.66	8134.41	860.08	503.95	389.72	77.25	466.88	612.11	3257.52	2835.7	7589.61	3146.52
EML6	1.27	153.34	1.27	44.25	26.86	13.32	74.58	40.93	56.68	43.94	47.5	26.67	29.7	6.57	35.25	10.16	65.26	33.54	59.55	58.3	74.58	22.75	77.25	53.19	41.81	25.54	17.51	54.72	55.89	52.82	11.64	33.54	2.51	15.8	47.17	16.75	14.24	36.01	0.0	0.51	6.46	6.89	9.34	14.78	54.72	9.48	22.26	32.36
ENTPD5	85.82	180.02	122.64	297.17	228.13	112.77	152.28	129.69	209.84	143.01	269.6	237.86	161.02	117.6	312.0	68.07	384.34	447.82	426.57	409.15	351.14	305.55	406.31	269.6	463.65	387.02	291.04	320.8	149.12	100.13	81.14	165.57	186.4	273.37	125.24	142.01	214.27	256.78	0.0	0.49	126.12	125.24	108.9	122.64	201.25	81.14	139.07	175.07
EPB41	77.79	503.95	46.18	204.07	305.55	164.42	373.81	133.36	293.07	277.2	384.34	228.13	248.0	120.1	483.38	89.51	825.0	718.08	1001.93	791.35	872.1	567.1	679.29	780.44	928.3	896.64	954.43	780.44	76.71	30.78	43.63	191.67	54.72	567.1	260.38	246.28	426.57	283.05	0.0	0.57	85.22	109.66	19.11	82.29	525.39	204.07	559.28	258.57
EPB41L4A	5.87	1721.16	8.71	145.02	256.78	10.88	177.53	151.22	189.02	142.01	341.51	169.07	156.59	17.51	412.0	52.45	460.44	543.96	624.99	536.45	624.99	536.45	476.71	525.39	450.94	612.11	603.67	507.46	30.34	5.45	24.63	124.37	16.15	258.57	88.26	108.9	139.07	143.01	0.0	0.41	37.85	28.24	17.13	22.1	808.0	211.31	525.39	543.96
ERBB3	24.81	4937.99	297.17	1519.15	1427.22	438.59	1923.14	651.58	902.89	791.35	1447.15	1498.22	1304.15	414.87	1617.0	224.97	2997.45	3515.68	3443.31	3443.31	4671.57	3168.41	3794.3	2976.74	2417.67	3742.05	4123.49	4152.18	363.56	102.25	376.41	830.75	131.51	1417.35	457.25	1096.5	1268.46	1277.29	848.22	909.17	518.15	323.03	271.48	406.31	1183.45	497.0	1225.22	1135.2
FAAH	55.1	624.99	74.06	316.37	180.02	150.17	206.94	221.86	215.77	178.77	164.42	223.41	221.86	128.79	164.42	209.84	547.75	473.41	339.14	521.76	361.04	429.54	343.89	379.04	303.44	289.02	703.28	483.38	320.8	108.14	183.82	114.36	169.07	314.17	214.27	271.48	194.36	143.01	0.0	0.72	106.63	124.37	55.49	412.0	104.42	127.0	128.79	100.83
FAM63A	46.18	921.88	77.79	423.61	629.35	78.89	332.14	361.04	400.71	384.34	988.12	555.41	329.84	125.24	1073.91	275.28	1175.27	1225.22	1277.29	1883.54	1508.65	1359.57	1030.12	1199.98	1111.82	1066.48	1208.34	1030.12	187.71	85.82	27.84	412.0	99.43	486.75	242.88	381.68	603.67	921.88	0.0	0.38	109.66	173.85	52.45	185.11	1359.57	384.34	802.41	848.22
FBXO38	256.78	525.39	237.86	348.71	336.79	329.84	480.04	318.57	379.04	358.54	312.0	307.69	351.14	275.28	384.34	226.54	486.75	486.75	429.54	409.15	395.18	403.5	454.09	435.55	450.94	490.14	575.03	441.64	269.6	217.27	187.71	336.79	277.2	426.57	305.55	281.09	356.05	236.21	0.0	0.25	224.97	181.28	171.45	208.38	231.32	176.29	264.03	251.48
FLJ20306	0.0	4.03	0.37	4.03	1.33	0.0	2.94	0.4	1.5	1.28	0.27	3.35	1.91	0.41	1.45	0.85	2.14	3.14	4.31	4.5	1.46	2.2	2.16	5.5	2.81	3.86	3.79	4.74	1.58	1.43	0.97	0.46	1.04	1.51	1.1	0.51	0.96	1.43	0.0	0.09	1.2	0.44	1.41	1.1	0.97	1.01	1.08	0.0
FRMD4B	260.38	2319.15	277.2	775.05	1104.13	551.56	1225.22	703.28	1143.1	775.05	1806.78	1059.11	1081.39	397.93	2303.12	171.45	713.11	1111.82	1135.2	860.08	1096.5	836.53	1030.12	974.5	909.17	1044.52	902.89	802.41	264.03	295.11	267.73	532.74	303.44	890.44	463.65	423.61	559.28	603.67	0.0	0.52	212.78	260.38	303.44	348.71	872.1	480.04	759.08	612.11
FSCN2	0.64	27.25	4.24	17.77	14.45	0.8	10.16	10.24	8.58	14.03	10.71	11.55	2.76	6.36	10.63	6.57	44.57	43.94	19.68	57.49	44.57	21.47	23.42	22.92	8.71	41.52	24.63	8.25	3.41	1.66	6.57	4.28	2.27	10.79	5.11	1.6	4.94	3.59	0.0	0.23	6.73	13.22	0.0	0.59	6.01	3.29	14.14	0.78
GATSL3	27.64	7180.15	84.04	384.34	2627.46	334.46	660.68	941.27	1447.15	1059.11	3081.75	476.71	325.29	265.87	3303.0	480.04	1088.92	1508.65	1745.2	1208.34	1191.69	1437.15	854.13	1051.79	909.17	1216.75	1044.52	769.69	182.55	169.07	37.05	241.19	208.38	373.81	108.9	529.06	217.27	830.75	0.0	0.54	149.12	173.85	97.36	123.5	1769.57	412.0	1030.12	1991.0
GFOD1	81.71	273.37	202.66	221.86	217.27	143.01	260.38	242.88	244.57	236.21	193.01	212.78	139.07	125.24	199.85	60.39	248.0	169.07	128.79	127.89	190.34	158.79	183.82	228.13	204.07	228.13	85.22	116.78	87.65	53.95	137.14	151.22	58.3	236.21	148.09	119.26	153.34	38.95	46.18	96.01	20.41	37.85	50.98	36.53	555.41	121.79	204.07	183.82
GIPR	1.55	872.1	6.36	25.91	7.63	1.13	15.34	9.78	4.39	5.06	6.41	10.71	15.8	71.0	3.76	2.86	132.44	63.89	126.12	109.66	194.36	32.59	74.06	47.17	68.07	62.56	43.32	91.41	30.78	0.84	4.1	25.35	7.82	13.03	24.46	8.71	10.47	11.21	0.0	0.56	6.52	7.06	3.29	5.54	1.07	21.47	14.45	0.56
