	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.38.4625.01A.01R.1206.07	TCGA.05.4434.01A.01R.1206.07	TCGA.55.8621.01A.11R.2403.07	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.YJ8O.1826.SM.5HL82	GTEX.11ZTT.0626.SM.5EQLM	TCGA.56.8623.01A.11R.A28V.07	TCGA.21.5784.01A.01R.1635.07	TCGA.34.5234.01A.01R.1635.07	TCGA.43.7658.11A.01R.2125.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
EFHC2	10.39	38.67	68.55	34.75	2.51	12.83	17.64	19.11	41.22	0.0	46.5	123.5	334.46	329.84	241.19	503.95	830.75	267.73	764.36	125.24	100.83	102.25	155.5	158.79	81.14	23.42	125.24
EMCN	140.04	96.68	65.26	105.15	31.9	19.11	82.87	153.34	84.04	71.5	167.9	493.56	460.44	1447.15	1477.58	928.3	1427.22	1242.34	1242.34	848.22	180.02	269.6	669.92	172.65	68.07	28.65	49.91
ENKUR	6.41	4.43	2.71	3.14	33.3	4.21	1.87	15.8	0.0	0.0	82.29	289.02	830.75	339.14	642.59	1583.71	1685.71	567.1	1104.13	435.55	221.86	155.5	406.31	5.41	16.63	0.0	5.11
FAM166B	36.27	187.71	34.51	32.36	4.54	15.56	25.54	15.56	38.95	0.0	152.28	575.03	1551.09	1498.22	1088.92	2573.36	2061.24	866.07	1857.6	1127.35	432.53	995.0	591.22	21.78	16.03	47.17	30.56
FAM183A	1844.76	1331.57	896.64	24.46	28.86	500.46	59.97	27.64	88.88	0.0	275.28	1417.35	3665.02	3257.52	3081.75	6037.61	5366.37	2351.53	4298.64	2855.44	1437.15	2796.65	2061.24	69.52	16.15	97.36	79.45
FAM81B	36.53	84.63	0.32	0.32	0.0	0.0	0.0	0.0	0.0	0.0	81.71	316.37	1572.76	1259.69	1794.29	4358.66	5147.73	954.43	2271.4	567.1	265.87	363.56	470.14	11.04	2.76	0.0	35.76
FBXO15	39.79	11.38	11.47	4.43	2.07	3.72	4.66	4.43	3.86	0.0	49.91	148.09	361.04	269.6	256.78	579.04	629.35	277.2	417.77	183.82	138.1	129.69	209.84	15.34	3.5	10.55	2.58
FCN3	40.36	31.45	48.18	74.06	33.78	63.45	63.89	175.07	14.56	0.0	100.83	4066.71	6164.49	647.07	4671.57	4095.0	559.28	1477.58	15934.98	7081.29	684.02	1167.14	9808.75	12.18	6.57	16.88	23.25
FOXJ1	153.34	125.24	34.26	21.32	1.51	0.0	8.51	4.03	1.75	0.0	318.57	642.59	10440.2	3372.43	5995.9	14663.09	15180.22	1936.53	7966.99	1199.98	540.19	190.34	995.0	5.41	35.5	56.28	6.84
GGTLC1	0.0	0.0	0.46	0.55	0.0	0.0	0.0	0.0	0.0	0.0	438.59	748.61	607.87	4123.49	1359.57	11189.6	14971.21	896.64	6745.86	703.28	68.07	54.33	2319.15	0.0	0.0	0.0	0.0
IHH	39.5	20.71	0.01	3.47	0.0	0.0	0.83	6.21	3.72	0.0	18.84	36.79	55.89	73.54	120.94	39.79	329.84	67.59	61.25	39.22	7.11	2.71	58.3	2.43	1.11	3.82	0.0
INMT	47.84	127.0	70.51	332.14	41.52	8.85	108.9	77.79	60.82	218.79	381.68	2255.7	7130.55	4736.79	4358.66	9540.5	2384.37	7695.57	10014.87	2537.92	473.41	387.02	4038.61	112.77	79.45	54.72	18.56
KCNE1	0.01	1.77	3.0	10.39	6.78	8.51	2.61	5.15	3.2	0.0	46.18	173.85	934.76	68.55	133.36	429.54	244.57	71.0	348.71	291.04	90.77	70.01	283.05	2.71	2.01	6.16	2.73
KCNRG	29.27	111.21	20.86	49.21	10.55	13.42	29.91	31.67	30.12	0.0	46.18	139.07	480.04	307.69	348.71	575.03	769.69	191.67	595.34	241.19	97.36	134.3	199.85	53.95	50.63	35.0	20.41
KIF19	10.31	9.27	5.45	15.11	2.86	0.0	9.41	17.64	13.93	0.0	30.34	158.79	486.75	366.09	295.11	647.07	688.78	205.5	497.0	246.28	53.19	28.86	197.09	3.59	8.38	2.1	4.58
KLHL32	6.84	4.17	0.1	0.0	0.0	0.0	0.0	0.39	0.16	0.0	5.36	27.64	83.45	101.54	121.79	162.14	158.79	48.87	162.14	44.25	12.83	11.82	49.91	0.0	1.38	0.53	0.0
LMO2	348.71	836.53	327.56	493.56	109.66	61.25	486.75	728.11	289.02	0.0	299.25	651.58	708.18	1066.48	2537.92	591.22	651.58	1277.29	1088.92	902.89	1159.07	466.88	974.5	518.15	642.59	616.37	813.63
LRRC18	0.0	38.67	0.0	1.25	0.0	0.0	0.69	1.13	7.06	0.0	17.77	86.43	339.14	177.53	202.66	312.0	376.41	145.02	368.65	131.51	54.33	32.13	112.77	2.34	1.51	0.0	0.0
LRRC46	19.39	0.82	31.0	16.39	7.57	4.66	13.72	26.67	13.32	0.0	150.17	583.07	1477.58	1259.69	1225.22	2335.28	2520.38	808.0	1685.71	1447.15	460.44	211.31	1037.29	9.85	8.51	44.25	5.73
LRRC48	65.26	64.34	41.52	67.12	20.86	30.56	47.17	38.67	40.36	0.0	105.89	642.59	1467.37	1073.91	941.27	2573.36	2255.7	693.58	1572.76	988.12	232.94	146.03	591.22	40.64	19.82	16.88	19.39
LRRC71	0.0	5.02	2.86	4.78	1.07	3.72	3.53	1.13	0.0	0.0	29.48	190.34	713.11	785.88	429.54	1151.06	1088.92	241.19	723.08	343.89	84.04	45.21	253.23	6.62	0.0	0.0	0.0
MAP3K19	0.0	6.46	0.0	0.0	0.27	0.0	1.45	0.31	0.0	0.0	22.75	125.24	277.2	267.73	248.0	473.41	780.44	153.34	500.46	226.54	50.27	33.78	173.85	1.16	1.62	0.56	1.08
MAP6	0.0	18.03	22.92	81.14	6.36	5.82	25.54	21.94	45.85	0.0	105.15	281.09	2520.38	1199.98	1295.13	3589.58	2956.17	1340.84	1857.6	329.84	166.73	103.69	450.94	5.23	7.94	9.56	5.32
MDH1B	12.93	3.17	33.54	10.31	6.78	4.74	10.88	13.32	11.91	0.0	47.17	155.5	376.41	381.68	285.03	490.14	507.46	231.32	363.56	265.87	88.88	122.64	142.01	3.23	7.75	3.29	3.23
MMP24	6.26	13.93	3.63	8.99	2.51	1.91	3.59	4.46	4.06	0.0	156.59	163.28	325.29	66.65	202.66	285.03	420.68	24.46	490.14	123.5	12.93	23.76	182.55	2.76	2.48	4.5	0.75
MORN5	0.0	4.58	36.53	11.82	0.0	0.0	26.28	0.0	57.08	0.0	96.68	417.77	2240.11	1037.29	1295.13	3280.18	2609.3	1304.15	2287.2	890.44	460.44	728.11	769.69	6.36	0.0	16.88	0.0
MROH9	18.16	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.22	21.01	75.11	57.08	125.24	223.41	58.71	43.32	105.15	56.28	27.25	21.47	42.41	0.0	0.54	0.92	0.97
MS4A15	0.0	0.0	1.33	1.1	1.31	0.0	1.13	1.64	0.0	0.0	460.44	426.57	1733.13	2609.3	1277.29	7180.15	26614.89	575.03	3515.68	974.5	77.25	28.86	3716.2	0.0	0.0	2.81	0.0
NDNF	25.17	81.14	15.45	43.32	1.57	3.06	9.85	50.98	20.26	0.0	356.05	1059.11	748.61	2400.97	3467.27	988.12	18304.63	1268.46	1923.14	1030.12	163.28	281.09	1819.35	37.59	6.36	3.79	4.43
NEK5	1.04	13.93	2.73	13.42	0.53	2.46	1.36	2.2	0.66	0.0	21.47	117.6	220.32	231.32	197.09	400.71	341.51	92.05	406.31	172.65	23.93	8.32	73.54	5.54	0.11	2.34	5.28
NME9	2.2	3.63	14.78	6.62	2.63	5.41	7.06	8.06	6.62	0.0	81.71	100.83	651.58	403.5	277.2	785.88	638.15	167.9	595.34	234.57	117.6	104.42	193.01	1.75	2.66	1.48	0.52
NRGN	92.7	74.06	90.14	178.77	47.5	33.78	104.42	175.07	42.11	0.0	529.06	1277.29	5292.48	1304.15	11267.44	1697.45	500.46	674.59	1651.0	1135.2	1044.52	813.63	2739.08	122.64	54.72	47.84	70.01
NSUN7	113.56	78.89	74.06	42.41	5.96	4.03	35.0	56.28	47.5	0.0	97.36	118.43	299.25	429.54	287.01	921.88	764.36	151.22	400.71	180.02	81.71	46.18	138.1	15.68	78.34	45.53	15.22
OMG	84.04	169.07	20.56	13.52	1.0	0.85	13.72	10.31	6.31	0.0	255.0	748.61	3690.52	967.76	961.07	4575.41	15715.58	4543.8	6699.25	961.07	713.11	660.68	1175.27	13.52	17.25	7.22	17.64
OSCP1	100.83	172.65	147.06	147.06	67.12	80.01	137.14	103.69	100.83	0.0	244.57	454.09	1437.15	934.76	1350.18	1639.59	2240.11	819.3	1781.89	733.19	341.51	361.04	536.45	117.6	169.07	162.14	59.13
OTC	5.02	5.63	0.0	4.74	0.0	0.0	0.36	2.76	1.53	0.0	0.73	7.0	8.38	18.97	42.41	44.89	12.45	33.54	29.27	17.13	3.79	2.94	17.51	5.06	0.0	0.0	1.91
P4HTM	242.88	373.81	169.07	234.57	62.56	71.0	199.85	246.28	221.86	0.0	575.03	808.0	2997.45	2555.58	1407.55	4937.99	5076.84	1519.15	2061.24	1001.93	583.07	470.14	1023.0	115.16	111.21	80.57	104.42
PACRG	2.01	56.28	5.54	8.51	0.95	3.99	6.26	5.63	16.75	0.0	31.67	153.34	988.12	785.88	825.0	1498.22	981.29	466.88	1066.48	271.48	127.0	83.45	287.01	14.89	14.56	25.35	8.71
PARM1	48.18	202.66	98.73	116.78	15.22	12.0	53.57	96.68	94.01	153.34	371.22	921.88	785.88	281.09	723.08	1167.14	106.63	1350.18	1745.2	607.87	854.13	262.2	961.07	22.75	23.08	50.63	18.56
PCDP1	163.28	181.28	0.85	1.99	0.0	0.0	0.0	0.64	0.0	0.0	193.01	265.87	2119.22	902.89	1709.26	5329.3	3614.55	551.56	3081.75	384.34	123.5	120.1	435.55	0.92	0.88	1.35	4.03
PLA2G1B	118.43	23.76	3.14	0.0	0.0	0.0	1.77	2.39	0.0	0.0	44.57	486.75	860.08	154.42	3614.55	7589.61	82.29	201.25	5517.27	642.59	102.25	191.67	1457.23	0.0	3.38	4.1	0.02
PLAC9	150.17	1832.01	131.51	1183.45	31.0	41.52	84.63	249.73	215.77	0.0	172.65	575.03	620.67	7081.29	1697.45	2935.74	2384.37	5255.91	928.3	1250.98	309.83	733.19	1572.76	1757.34	470.14	348.71	271.48
PPIL6	6.21	68.07	26.67	31.22	11.55	24.81	29.91	15.22	35.76	0.0	65.72	242.88	775.05	395.18	540.19	1733.13	1561.89	688.78	1709.26	373.81	146.03	189.02	387.02	84.63	17.0	21.94	34.02
RGS22	2.89	4.06	3.17	8.65	0.0	0.97	4.7	0.97	1.95	0.0	24.63	108.14	486.75	329.84	361.04	753.83	947.83	198.47	723.08	138.1	67.59	60.82	138.1	9.13	1.57	2.78	1.53
RIBC1	19.82	23.76	62.12	20.56	5.32	2.66	22.92	18.43	17.51	0.0	69.52	265.87	490.14	346.29	460.44	753.83	1088.92	417.77	854.13	301.33	178.77	185.11	392.44	12.55	15.56	13.52	22.92
RP11-664D7.4	12.64	0.0	1.03	3.59	0.0	0.0	18.03	0.0	40.36	0.0	88.88	186.4	457.25	92.7	1081.39	279.14	305.55	49.56	423.61	193.01	73.03	51.71	182.55	7.06	13.93	6.41	0.0
RS1	0.0	2.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	46.18	88.88	42.11	64.34	88.26	96.01	61.68	59.97	35.0	2.01	1.5	88.26	0.0	0.0	0.0	0.0
RSPH1	47.84	175.07	13.03	14.78	0.0	0.0	6.52	19.11	12.09	0.0	231.32	1277.29	3820.7	2591.27	3212.66	5555.65	6037.61	1639.59	5292.48	1870.53	603.67	339.14	1617.0	4.86	4.86	7.0	19.68
RSPH10B2	1.87	11.04	6.36	3.5	0.0	0.0	1.48	3.66	0.85	0.0	20.26	138.1	242.88	176.29	157.68	309.83	583.07	164.42	303.44	178.77	22.92	19.68	153.34	2.36	2.27	1.33	0.62
RSPH4A	1.81	30.12	2.48	1.35	2.1	1.97	2.29	2.32	1.04	0.0	47.5	239.52	1081.39	423.61	896.64	1313.23	1088.92	320.8	1605.83	346.29	126.12	82.87	305.55	1.89	5.59	5.23	4.54
RTDR1	15.56	58.71	15.45	12.0	0.0	4.43	9.27	10.16	15.8	0.0	21.94	105.89	237.86	229.72	185.11	414.87	251.48	92.7	314.17	140.04	105.15	102.97	150.17	56.28	25.54	0.96	18.84
S100A9	4.94682652E7	1.689390977E7	5345893.74	6490957.04	4165330.83	9372482.82	9503317.82	7353500.77	1.047175463E7	0.0	25354.3	12415.75	15934.98	447.82	97965.44	26800.01	1857.6	629.35	23330.64	16727.26	482442.34	691801.16	13681.08	6956835.58	6956835.58	5972898.43	8805660.77
SEC14L3	3.08	0.0	0.16	2.73	0.0	0.0	1.3	1.5	0.21	0.0	4.31	57.49	116.78	181.28	381.68	583.07	656.11	412.0	587.13	105.15	33.78	15.45	162.14	0.0	0.0	0.0	0.0
SEC14L6	0.0	0.0	0.0	5.45	0.16	0.0	0.0	12.93	0.0	0.0	21.32	122.64	457.25	173.85	165.57	525.39	551.56	164.42	82.29	132.44	37.05	61.68	253.23	1.66	1.58	1.06	1.55
SFTPD	567.1	2148.82	40.07	19.11	4.7	24.28	30.56	18.84	52.82	0.0	1191.69	7433.4	47313.67	3349.13	82378.63	80683.28	1467.37	860.08	42346.82	10659.59	4210.15	4123.49	26248.46	323.03	88.88	140.04	119.26
SLC1A1	50.98	38.12	27.84	21.47	5.32	2.86	13.12	31.0	27.44	0.0	72.52	327.56	551.56	612.11	928.3	718.08	1088.92	158.79	1709.26	384.34	79.45	67.59	780.44	18.56	19.25	24.63	19.68
SMIM6	21.32	198.47	0.0	0.62	0.0	0.0	0.0	5.11	0.3	0.0	88.88	82.29	1844.76	540.19	802.41	624.99	5872.48	403.5	1119.56	151.22	102.97	82.87	199.85	12.36	2.58	13.83	8.78
SPAG8	0.38	17.51	48.87	19.68	3.66	1.36	15.34	17.51	46.5	0.0	54.72	346.29	723.08	842.36	529.06	1277.29	1397.83	460.44	884.29	688.78	118.43	127.0	341.51	3.99	4.1	2.84	2.41
SPEF1	0.29	13.62	6.78	1.73	0.93	3.5	1.11	3.47	1.87	0.0	40.93	255.0	551.56	607.87	403.5	866.07	1183.45	293.07	438.59	403.5	150.17	165.57	291.04	1.41	2.2	0.13	0.0
TCTEX1D4	84.04	3.56	23.59	23.93	7.94	12.74	19.25	34.26	32.36	0.0	26.1	36.27	384.34	255.0	139.07	503.95	395.18	178.77	353.59	100.83	70.01	72.01	102.25	14.67	6.26	6.06	3.2
TEKT2	16.75	27.64	2.29	0.88	0.79	1.27	3.63	3.53	2.53	0.0	74.06	435.55	1529.73	1397.83	1208.34	2645.74	2240.11	638.15	1733.13	764.36	170.25	133.36	493.56	0.19	0.42	0.38	0.39
TEX9	44.25	43.63	75.64	39.22	3.38	2.63	43.02	28.24	36.53	0.0	63.0	183.82	297.17	314.17	273.37	466.88	759.08	221.86	473.41	183.82	92.7	149.12	153.34	11.3	11.55	30.12	14.45
TMEM100	28.86	267.73	23.76	72.01	3.72	6.26	15.0	10.24	34.51	0.0	45.85	1487.87	5791.62	567.1	3419.52	819.3	1991.0	5954.47	3847.29	674.59	253.23	423.61	4298.64	70.01	12.27	51.71	63.45
