	TCGA.A6.5667.11A.01R.1723.07	GTEX.S7SF.1926.SM.4AT5B	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.WFG7.1526.SM.4LVMG	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.SE5C.1526.SM.4BRWU	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.145LT.0926.SM.5LU9C	GTEX.YEC3.2426.SM.5IFJR	GTEX.R55C.1126.SM.48FCJ	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZV7C.1526.SM.5NQ72	GTEX.PX3G.1426.SM.48U1J	GTEX.11VI4.1526.SM.5EQKC	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A4NB.01A.12R.A266.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.X4EP.1026.SM.4QAS5	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH
CNTD1	57.89	48.52	113.56	155.5	49.91	62.56	62.12	100.13	150.17	84.63	55.89	84.63	125.24	76.17	50.27	68.07	20.26	18.03	5.68	18.03	8.06	10.31	16.27	12.0	19.68	6.01	10.88	6.06	14.14	15.91	15.45	3.44	7.46	8.92	18.03	20.26	17.9	16.51	20.71	4.35	9.78
CSNK2A1	819.3	961.07	860.08	612.11	1407.55	769.69	836.53	1096.5	518.15	890.44	723.08	848.22	825.0	1159.07	1111.82	1191.69	624.99	785.88	332.14	297.17	301.33	314.17	264.03	353.59	258.57	332.14	339.14	323.03	323.03	334.46	201.25	358.54	267.73	275.28	327.56	218.79	232.94	457.25	314.17	190.34	356.05
CTBP2	1259.69	1519.15	1250.98	1551.09	1651.0	1477.58	1397.83	1674.06	1096.5	1417.35	1111.82	1350.18	1322.37	1359.57	1359.57	1662.49	329.84	454.09	37.32	146.03	66.18	70.51	42.11	32.82	409.15	34.02	22.75	18.7	79.45	267.73	27.05	237.86	47.84	61.68	194.36	40.64	33.3	104.42	163.28	26.47	85.82
CYB561D1	215.77	182.55	255.0	242.88	255.0	279.14	228.13	273.37	215.77	287.01	198.47	307.69	209.84	275.28	221.86	248.0	53.57	73.03	32.82	22.43	16.63	25.35	12.45	18.29	26.47	19.82	11.13	22.59	22.75	23.76	11.91	9.56	25.72	12.09	23.42	35.25	8.99	34.75	18.16	0.72	21.63
DOCK11	69.03	54.33	49.21	50.27	65.26	47.84	85.82	50.98	59.55	41.52	147.06	86.43	71.0	51.71	117.6	99.43	75.11	78.89	5.92	6.36	7.75	10.79	9.27	7.88	13.62	8.58	2.73	5.77	18.43	16.88	5.5	8.0	3.79	30.78	8.51	16.27	26.67	24.63	7.82	10.71	9.63
EFNB2	1037.29	1073.91	1208.34	1096.5	1594.73	967.76	1015.93	1662.49	854.13	1191.69	915.51	934.76	988.12	1127.35	915.51	1259.69	255.0	490.14	47.17	74.06	26.47	45.85	37.05	26.28	114.36	51.71	21.78	19.82	50.63	77.25	33.3	98.73	17.0	53.19	127.0	16.63	48.87	48.52	120.1	40.07	24.28
EIF3D	3665.02	4239.45	4903.87	4769.75	5255.91	4769.75	3349.13	6079.61	4607.24	3982.99	3901.01	4704.07	5791.62	3901.01	4268.94	5041.77	2976.74	2061.24	1806.78	1594.73	1977.24	1594.73	1104.13	928.3	1870.53	2047.0	1628.26	1709.26	1397.83	1991.0	1073.91	1883.54	1369.04	1208.34	1963.57	1991.0	1721.16	1378.57	1794.29	1286.18	1159.07
EIF4ENIF1	435.55	476.71	329.84	392.44	351.14	346.29	343.89	318.57	336.79	325.29	406.31	395.18	444.72	366.09	500.46	318.57	260.38	199.85	88.88	143.01	161.02	183.82	182.55	100.83	232.94	170.25	127.89	68.07	186.4	159.9	111.99	98.73	167.9	206.94	217.27	185.11	84.63	182.55	293.07	39.22	120.94
EPS8	1617.0	2004.85	1572.76	1359.57	1662.49	1651.0	1259.69	2224.63	967.76	1457.23	1135.2	1709.26	1457.23	2417.67	1498.22	2255.7	825.0	738.29	312.0	463.65	237.86	318.57	229.72	258.57	454.09	397.93	162.14	417.77	389.72	507.46	303.44	379.04	409.15	325.29	435.55	253.23	389.72	441.64	500.46	314.17	536.45
ERGIC3	5479.15	7857.29	7803.01	7966.99	7642.41	7911.95	6792.79	7230.1	6426.31	7081.29	5147.73	7537.18	7180.15	7695.57	6471.02	6471.02	4836.35	4769.75	4481.23	4038.61	5076.84	4010.71	4704.07	3124.78	4704.07	6294.04	3467.27	5751.61	3419.52	4769.75	2997.45	4937.99	3742.05	4869.99	5006.93	4419.52	4769.75	4671.57	4543.8	4450.27	3742.05
FAM53B	518.15	291.04	529.06	476.71	603.67	555.41	490.14	620.67	444.72	500.46	454.09	743.43	543.96	490.14	470.14	450.94	134.3	205.5	20.86	94.67	47.17	69.03	70.51	36.01	173.85	56.68	29.91	55.1	58.71	134.3	38.4	51.35	55.89	38.12	38.67	116.78	38.95	52.45	63.45	17.51	50.63
FRG1B	444.72	353.59	295.11	177.53	679.29	493.56	241.19	575.03	490.14	318.57	567.1	329.84	503.95	669.92	500.46	316.37	269.6	191.67	117.6	80.57	37.85	151.22	205.5	85.82	77.79	139.07	65.26	279.14	171.45	112.77	58.71	115.97	147.06	114.36	127.89	107.38	62.56	215.77	122.64	122.64	205.5
GALNT7	713.11	1259.69	1331.57	1359.57	1447.15	1191.69	1119.56	1487.87	836.53	1183.45	796.86	1277.29	1066.48	1819.35	1088.92	1331.57	86.43	271.48	10.79	35.5	12.0	8.25	8.06	4.94	21.94	8.92	5.59	0.44	16.39	21.16	3.41	10.0	5.82	20.86	28.24	7.75	8.06	43.32	40.36	0.62	20.26
GATC	214.27	283.05	237.86	262.2	435.55	229.72	264.03	237.86	255.0	295.11	206.94	195.72	193.01	287.01	271.48	299.25	248.0	269.6	140.04	143.01	98.04	173.85	126.12	124.37	117.6	171.45	116.78	185.11	201.25	149.12	189.02	139.07	136.19	136.19	189.02	180.02	157.68	206.94	116.78	163.28	180.02
GIMAP6	161.02	325.29	423.61	384.34	480.04	325.29	215.77	348.71	463.65	346.29	551.56	395.18	483.38	327.56	379.04	954.43	275.28	283.05	31.67	118.43	76.17	94.01	57.08	45.53	146.03	99.43	25.17	32.82	118.43	124.37	35.25	145.02	47.17	60.82	124.37	95.34	46.18	87.03	148.09	24.81	43.63
HDAC1	3235.01	5219.6	4481.23	5112.16	5147.73	4704.07	4095.0	4802.93	4450.27	5672.41	4123.49	4268.94	4298.64	5479.15	3982.99	4512.4	1806.78	1857.6	854.13	738.29	395.18	1015.93	575.03	753.83	1119.56	791.35	698.41	629.35	733.19	866.07	718.08	866.07	743.43	819.3	1088.92	693.58	684.02	1073.91	1073.91	450.94	638.15
HDAC4	275.28	158.79	80.57	92.7	122.64	162.14	220.32	102.97	173.85	101.54	249.73	204.07	193.01	85.82	289.02	107.38	72.01	59.55	27.64	57.89	18.56	47.84	20.71	17.77	24.99	22.1	26.1	28.86	17.0	33.54	20.56	20.41	31.67	18.29	19.97	26.47	31.67	32.59	47.17	41.81	7.75
HES5	11.21	31.22	18.7	18.56	25.91	26.1	41.22	13.52	21.94	77.79	35.25	19.39	39.5	10.39	35.5	20.41	7.06	10.39	1.35	0.55	3.26	3.11	2.27	1.17	0.0	0.36	0.0	0.0	0.68	0.0	0.57	12.83	1.28	1.93	2.1	0.0	0.0	3.26	0.57	0.0	0.0
HNRNPA1	17927.91	21320.18	24490.61	21768.19	25179.16	23820.89	12076.21	23009.42	16496.96	21172.91	19618.49	14663.09	20170.07	17437.64	23009.42	29327.18	17197.56	10585.95	6381.92	7433.4	7081.29	6381.92	6792.79	5147.73	8363.13	9279.58	2796.65	8134.41	5672.41	9279.58	2997.45	10368.08	7280.4	6887.62	8022.41	7803.01	5954.47	9279.58	7081.29	5112.16	6164.49
IDH3B	3081.75	3768.09	4639.29	4575.41	4388.98	4152.18	3081.75	3982.99	4575.41	3820.7	3768.09	2976.74	4328.55	3515.68	3280.18	3081.75	1757.34	2119.22	1594.73	1733.13	1551.09	2061.24	1794.29	1561.89	3280.18	2018.8	1857.6	2018.8	1508.65	2090.03	928.3	1963.57	1963.57	1769.57	1909.85	2816.11	1709.26	1857.6	2133.97	1216.75	1051.79
IFT57	785.88	934.76	1498.22	698.41	1081.39	902.89	928.3	1066.48	607.87	669.92	830.75	583.07	1111.82	1044.52	1015.93	884.29	303.44	381.68	264.03	90.77	31.9	23.59	90.14	16.63	143.01	220.32	12.27	66.65	75.64	164.42	22.59	234.57	46.84	40.64	139.07	132.44	63.89	258.57	155.5	76.71	32.36
IQGAP1	3168.41	3303.0	3257.52	2351.53	3690.52	3168.41	2895.31	3690.52	1963.57	2255.7	2573.36	2915.45	2384.37	4066.71	2835.7	4736.79	890.44	941.27	204.07	371.22	92.7	100.13	112.77	84.63	351.14	110.43	165.57	172.65	236.21	463.65	147.06	241.19	165.57	291.04	387.02	96.01	239.52	457.25	363.56	163.28	190.34
ISX	264.03	3742.05	3665.02	3039.3	2758.13	2434.5	2104.58	4298.64	1519.15	2485.67	1583.71	3103.19	3540.14	3467.27	928.3	2895.31	0.71	0.75	6.84	1.6	30.56	0.0	0.0	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.28	0.0	0.0	2.07	7.75	0.0	7.63	18.16	0.0	0.0
KIAA1147	323.03	348.71	361.04	387.02	441.64	368.65	371.22	511.0	384.34	480.04	353.59	320.8	299.25	454.09	389.72	612.11	246.28	314.17	242.88	195.72	112.77	218.79	86.43	226.54	151.22	142.01	130.6	198.47	159.9	158.79	100.83	71.0	260.38	291.04	85.22	151.22	117.6	256.78	201.25	63.89	231.32
KIAA1244	47.5	91.41	102.97	158.79	147.06	81.14	97.36	116.78	83.45	127.89	71.0	85.22	105.89	115.97	76.17	162.14	12.83	3.86	0.39	0.39	0.0	0.0	0.48	0.47	0.54	0.0	0.78	0.0	0.57	1.35	0.0	1.08	0.0	3.69	2.14	0.46	0.26	3.76	0.41	0.0	0.0
KITLG	332.14	406.31	187.71	195.72	325.29	316.37	320.8	244.57	212.78	258.57	435.55	536.45	356.05	267.73	559.28	503.95	121.79	127.89	23.42	48.52	6.01	15.34	14.45	18.16	58.3	37.85	3.69	12.09	12.45	43.63	4.98	63.0	31.45	9.78	45.21	26.1	38.12	49.21	70.51	7.17	63.45
KLK15	27.25	80.01	206.94	275.28	287.01	91.41	96.01	221.86	170.25	392.44	149.12	171.45	269.6	217.27	67.59	209.84	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69	0.0	0.0	0.0	0.0	0.0	0.0	4.58	0.0	0.0
MAML2	139.07	139.07	144.01	112.77	194.36	99.43	93.35	194.36	107.38	113.56	113.56	142.01	85.22	142.01	142.01	231.32	72.52	64.34	15.34	34.51	11.38	9.34	21.01	9.93	52.08	16.27	1.31	12.0	27.64	39.22	6.36	55.1	8.45	27.05	37.59	18.56	32.59	53.95	32.59	9.41	7.17
MARCKS	1617.0	2319.15	1467.37	1397.83	2351.53	1781.89	2163.77	1923.14	1551.09	1819.35	1519.15	1745.2	1745.2	2047.0	2351.53	2018.8	842.36	878.17	248.0	540.19	146.03	84.63	163.28	65.26	555.41	116.78	146.03	132.44	212.78	299.25	73.54	397.93	176.29	297.17	454.09	150.17	361.04	376.41	262.2	82.29	187.71
MARCKSL1	2609.3	4769.75	5006.93	5183.54	5594.3	3874.05	3540.14	5006.93	3742.05	5751.61	3614.55	3820.7	4704.07	4239.45	4388.98	4095.0	1963.57	1037.29	287.01	571.05	249.73	185.11	307.69	128.79	785.88	387.02	78.34	183.82	1250.98	379.04	466.88	860.08	234.57	303.44	909.17	295.11	412.0	470.14	507.46	224.97	332.14
MAVS	595.34	599.49	447.82	583.07	753.83	587.13	536.45	674.59	579.04	525.39	406.31	532.74	412.0	718.08	559.28	753.83	214.27	264.03	94.67	43.94	38.12	107.38	80.01	45.85	112.77	123.5	59.13	79.45	105.15	153.34	60.39	110.43	127.0	91.41	150.17	186.4	98.04	107.38	100.13	84.04	100.13
MTIF2	575.03	785.88	785.88	748.61	954.43	759.08	674.59	890.44	674.59	775.05	669.92	595.34	748.61	728.11	638.15	909.17	540.19	599.49	412.0	444.72	346.29	323.03	400.71	406.31	486.75	444.72	343.89	441.64	423.61	476.71	336.79	423.61	395.18	339.14	470.14	454.09	332.14	463.65	536.45	346.29	373.81
MYH9	7642.41	5517.27	4512.4	4123.49	5292.48	5791.62	4972.34	5292.48	3467.27	4736.79	4358.66	4937.99	4298.64	5517.27	7382.04	5594.3	5672.41	4181.07	2701.35	1617.0	1417.35	1015.93	1208.34	1044.52	1991.0	1427.22	1639.59	1674.06	2351.53	1832.01	1583.71	2075.59	1685.71	1991.0	2163.77	1331.57	1909.85	2271.4	1709.26	2104.58	1322.37
MYLIP	417.77	642.59	507.46	356.05	473.41	629.35	429.54	665.29	540.19	476.71	830.75	642.59	674.59	620.67	753.83	698.41	187.71	182.55	44.25	128.79	105.89	74.06	69.52	15.8	98.04	95.34	30.56	20.11	102.97	166.73	34.26	177.53	45.85	36.01	152.28	30.12	90.77	114.36	123.5	18.7	96.01
MYO10	497.0	514.56	629.35	583.07	703.28	540.19	480.04	703.28	480.04	629.35	395.18	438.59	529.06	642.59	476.71	738.29	163.28	120.94	35.0	129.69	37.85	16.63	41.81	19.53	381.68	53.57	5.68	55.89	105.89	121.79	26.86	115.16	72.01	36.53	143.01	39.79	63.0	224.97	223.41	24.81	59.13
NFU1	902.89	1175.27	1059.11	1030.12	1008.9	1066.48	995.0	1119.56	1191.69	921.88	1437.15	1159.07	1498.22	1037.29	1088.92	1143.1	825.0	825.0	884.29	703.28	551.56	256.78	559.28	587.13	967.76	620.67	551.56	599.49	684.02	866.07	387.02	872.1	780.44	503.95	878.17	379.04	470.14	830.75	753.83	633.73	860.08
NOA1	309.83	395.18	381.68	293.07	518.15	376.41	363.56	412.0	299.25	423.61	341.51	400.71	483.38	353.59	366.09	384.34	204.07	191.67	120.1	99.43	79.45	72.52	72.52	94.01	106.63	138.1	88.88	171.45	101.54	127.0	50.63	131.51	93.35	71.0	87.65	122.64	82.29	109.66	90.77	81.71	88.88
OXA1L	2796.65	2855.44	3280.18	3235.01	4066.71	2682.69	3081.75	3847.29	3491.39	3081.75	3491.39	3124.78	3467.27	3039.3	3716.2	3212.66	3060.45	2303.12	2701.35	2555.58	2255.7	2645.74	3039.3	2351.53	2468.49	3039.3	1950.0	2682.69	2119.22	2609.3	1208.34	2351.53	2163.77	1781.89	2400.97	2796.65	2303.12	2537.92	2855.44	1883.54	1594.73
PDE3A	412.0	312.0	665.29	220.32	728.11	514.56	409.15	698.41	151.22	305.55	260.38	551.56	603.67	981.29	289.02	547.75	89.51	412.0	8.65	57.89	13.93	7.94	11.04	9.63	42.71	7.82	3.53	4.24	16.15	67.12	5.5	81.14	14.67	6.84	28.24	10.08	16.39	72.52	24.99	6.94	21.01
PIGO	674.59	753.83	830.75	785.88	753.83	723.08	660.68	785.88	713.11	713.11	603.67	591.22	665.29	728.11	629.35	764.36	571.05	603.67	334.46	476.71	466.88	420.68	403.5	336.79	493.56	429.54	381.68	688.78	503.95	457.25	309.83	775.05	376.41	376.41	500.46	476.71	473.41	583.07	432.53	351.14	281.09
POPDC2	389.72	232.94	54.33	57.08	64.34	473.41	536.45	56.68	312.0	66.18	921.88	426.57	497.0	58.71	444.72	44.57	58.71	75.11	10.16	25.17	35.76	31.0	66.18	22.92	33.3	19.25	5.23	24.11	23.08	33.06	13.93	26.47	19.82	15.8	22.1	31.45	6.26	38.95	34.75	3.89	42.71
PPP1CC	1769.57	2555.58	3515.68	2104.58	3303.0	2400.97	2468.49	3515.68	2485.67	2777.33	2573.36	2777.33	2796.65	4210.15	2645.74	3103.19	1378.57	1151.06	866.07	928.3	620.67	651.58	780.44	836.53	1037.29	988.12	579.04	660.68	866.07	1143.1	825.0	1143.1	947.83	603.67	878.17	738.29	860.08	1397.83	1259.69	473.41	1233.75
PPP6C	1001.93	974.5	1151.06	830.75	1331.57	1159.07	1167.14	1096.5	647.07	981.29	1059.11	1081.39	1081.39	1331.57	981.29	1175.27	808.0	813.63	616.37	483.38	444.72	470.14	483.38	536.45	392.44	529.06	329.84	633.73	633.73	412.0	426.57	764.36	559.28	470.14	612.11	366.09	470.14	620.67	551.56	551.56	470.14
PRRT3	23.42	29.06	17.0	17.25	15.68	19.53	25.72	16.03	24.46	15.45	22.92	18.29	17.38	13.42	29.7	18.56	25.72	15.91	2.97	10.0	9.41	7.34	7.69	5.82	9.63	7.69	8.51	11.73	4.94	4.1	3.41	14.14	4.06	4.74	6.67	10.96	2.73	8.85	4.58	4.5	3.82
PTPRA	878.17	808.0	961.07	595.34	813.63	1015.93	656.11	842.36	665.29	642.59	825.0	708.18	748.61	884.29	981.29	1088.92	616.37	587.13	343.89	327.56	256.78	183.82	232.94	305.55	412.0	239.52	271.48	483.38	420.68	426.57	220.32	336.79	198.47	318.57	559.28	289.02	291.04	400.71	256.78	435.55	255.0
RBMX	2367.9	2451.44	2855.44	2319.15	3146.52	2739.08	1963.57	2935.74	2384.37	2468.49	2645.74	2468.49	3018.3	2255.7	3146.52	3081.75	1936.53	1359.57	511.0	866.07	759.08	825.0	1233.75	743.43	1143.1	947.83	518.15	878.17	941.27	1605.83	514.56	1199.98	941.27	679.29	1111.82	1104.13	769.69	1583.71	1127.35	295.11	1059.11
RHOA	7966.99	6935.54	6792.79	6561.36	8363.13	7803.01	8598.28	6983.79	6935.54	8247.98	8247.98	7081.29	6792.79	8305.36	8658.09	9808.75	6164.49	8134.41	3146.52	3395.89	2303.12	2061.24	2701.35	3212.66	2502.97	3325.99	2609.3	3874.05	3540.14	2835.7	3794.3	4268.94	2855.44	2915.45	3103.19	2287.2	3540.14	3955.48	2997.45	4095.0	3124.78
SLC22A23	890.44	1225.22	825.0	1127.35	1199.98	961.07	878.17	1151.06	890.44	1059.11	638.15	1104.13	1037.29	1119.56	703.28	1081.39	483.38	575.03	131.51	212.78	111.99	133.36	128.79	164.42	180.02	220.32	201.25	110.43	92.05	169.07	198.47	283.05	98.04	130.6	180.02	158.79	289.02	318.57	167.9	127.89	131.51
SLC25A6	5831.91	6745.86	6840.04	6840.04	7749.1	8963.45	7749.1	9606.86	6381.92	7280.4	6250.56	8538.88	8840.04	6164.49	5441.3	4575.41	2434.5	2119.22	2417.67	2468.49	1936.53	1277.29	1151.06	988.12	1250.98	1417.35	1561.89	1674.06	995.0	1936.53	995.0	1757.34	1104.13	1135.2	1529.73	1844.76	723.08	1096.5	1119.56	1015.93	995.0
SLC6A4	4.5	74.58	332.14	25.17	26.1	102.25	17.77	53.95	35.25	83.45	19.53	5.06	59.13	148.09	12.36	14.45	10.71	2.32	0.91	5.32	5.15	10.63	1.03	0.0	1.11	0.49	0.0	1.62	0.51	0.0	0.38	3.03	0.52	0.0	11.21	1.66	0.0	0.41	0.93	1.33	0.46
SYF2	1487.87	1561.89	1572.76	1191.69	1674.06	1594.73	1340.84	1487.87	1313.23	1561.89	1540.37	1950.0	2004.85	1508.65	1427.22	1844.76	1242.34	1175.27	1023.0	1127.35	688.78	480.04	679.29	698.41	915.51	791.35	587.13	802.41	896.64	842.36	718.08	872.1	587.13	651.58	1051.79	785.88	669.92	1167.14	896.64	624.99	808.0
SYNDIG1L	5.63	6.16	6.06	4.74	2.29	8.78	11.38	2.92	9.7	6.67	4.35	7.34	10.16	3.59	3.86	9.7	0.97	2.61	0.0	0.0	0.24	0.0	0.0	0.0	2.25	0.53	0.64	2.1	0.85	0.87	0.0	1.04	0.85	0.18	1.13	0.48	3.03	1.06	1.81	0.24	0.52
SYNJ2	241.19	198.47	371.22	249.73	251.48	218.79	215.77	295.11	314.17	217.27	194.36	223.41	299.25	341.51	239.52	312.0	189.02	114.36	31.9	74.58	41.52	38.4	41.81	39.5	65.26	47.84	66.18	26.1	57.49	60.39	38.95	339.14	39.5	49.21	65.72	43.32	48.52	113.56	86.43	31.9	40.07
THAP2	80.57	82.29	92.7	83.45	80.01	73.03	64.8	119.26	101.54	95.34	83.45	82.87	88.88	94.67	54.33	109.66	77.25	66.18	43.32	38.4	46.5	32.59	29.48	30.56	56.68	39.79	35.0	25.72	49.21	37.32	53.95	163.28	50.63	23.76	32.36	45.53	38.95	52.45	47.84	32.59	57.08
VAV3	674.59	2682.69	2855.44	1769.57	3955.48	2271.4	1745.2	3515.68	1551.09	3168.41	1417.35	2163.77	2468.49	3716.2	1662.49	3614.55	153.34	34.75	1.0	36.53	7.69	4.35	13.32	6.21	32.36	13.52	6.11	3.96	30.78	48.52	3.2	27.44	5.68	22.43	9.41	4.74	45.21	65.72	37.05	7.57	9.93
VDAC2	6121.9	6745.86	4419.52	3768.09	5292.48	5751.61	5594.3	4903.87	4066.71	5366.37	6079.61	6164.49	6250.56	5913.33	4607.24	4671.57	2287.2	3540.14	1977.24	1427.22	1175.27	915.51	1259.69	1369.04	1216.75	1572.76	1369.04	1709.26	1572.76	1407.55	1417.35	2255.7	1561.89	1233.75	1467.37	1268.46	1508.65	1923.14	1508.65	1359.57	1583.71
