	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.60.2715.01A.01R.0851.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.EL.A3GR.01A.21R.A206.07	TCGA.DO.A1JZ.01A.11R.A13Y.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.J8.A3O0.01A.11R.A21D.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A3ZS.01A.12R.A23N.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.FY.A4B3.01A.11R.A23W.07	TCGA.EL.A3CL.01A.11R.A19O.07	TCGA.DJ.A4UQ.01A.11R.A250.07	TCGA.ET.A3BV.01A.11R.A19O.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.A5.A1OH.01A.21R.A22K.07
ARHGAP36	0.37	0.0	1.36	4.17	0.0	0.0	0.4	0.0	0.0	3.26	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.0	1.31	0.0	1.28	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	4.5	56.28	3372.43	23656.34	2835.7	1819.35	3146.52	665.29	3146.52	1857.6	14561.8	1662.49	1721.16	8901.53	1685.71	780.44	4736.79	29.27	947.83	25.54
ARHGEF19	50.27	71.5	8.58	6.84	10.0	38.12	28.65	73.03	11.47	116.78	53.57	6.46	39.22	7.11	137.14	37.05	18.03	58.3	43.02	5.32	14.78	67.59	9.2	75.11	21.63	81.71	10.63	0.0	0.23	583.07	1540.37	141.02	460.44	1277.29	713.11	748.61	579.04	571.05	808.0	563.18	624.99	872.1	507.46	967.76	579.04	723.08	642.59	1051.79	563.18	438.59
ATP4A	1.23	0.0	0.0	0.33	1.13	3.53	1.51	0.0	1.51	2.84	0.28	0.12	0.99	3.86	1.45	0.88	4.7	1.38	0.0	0.12	0.0	0.0	0.0	0.85	0.05	3.2	0.84	0.0	0.18	4.78	15.56	0.0	3.03	58.71	0.82	14.14	0.45	11.21	14.78	1.5	7.94	4.98	3.96	12.27	1.48	2.16	3.89	1.28	3.82	281.09
ATP8B3	8.71	18.7	12.0	6.21	10.39	2.86	49.91	18.43	22.59	22.75	19.68	13.72	45.85	16.51	9.63	6.36	3.38	7.63	8.19	56.28	10.55	16.63	8.45	37.05	28.24	40.64	21.01	0.0	0.46	36.01	22.1	31.45	26.1	332.14	47.17	35.25	17.77	25.72	26.67	34.51	44.25	21.01	28.45	28.86	12.45	13.93	26.67	36.79	17.13	13.72
B3GNT9	30.12	68.07	26.28	27.64	66.65	19.25	53.57	33.3	54.33	37.59	11.73	42.71	40.36	9.41	42.11	17.25	27.84	30.56	15.34	48.18	15.45	23.59	5.11	59.13	35.25	50.63	18.43	0.0	0.45	387.02	209.84	236.21	543.96	738.29	543.96	669.92	595.34	595.34	988.12	529.06	759.08	679.29	624.99	1104.13	607.87	647.07	703.28	529.06	733.19	258.57
B4GALNT3	10.16	13.52	9.48	0.54	1.58	7.06	25.54	2.46	5.5	10.16	1.83	17.77	40.07	3.96	10.16	13.42	5.68	2.39	1.33	12.74	11.21	4.62	0.0	2.46	4.06	8.13	3.99	0.0	0.32	194.36	212.78	59.13	454.09	1508.65	271.48	244.57	281.09	166.73	148.09	318.57	295.11	128.79	125.24	66.65	563.18	287.01	231.32	271.48	339.14	58.71
BCL2	19.39	64.34	18.16	13.32	27.05	16.39	34.26	7.82	18.97	23.42	8.25	30.78	59.97	13.83	52.08	6.36	17.38	11.04	9.2	19.68	12.0	7.88	9.41	20.11	23.59	35.0	11.04	0.0	0.45	84.63	40.36	195.72	208.38	403.5	121.79	169.07	186.4	285.03	571.05	144.01	176.29	118.43	232.94	381.68	72.52	164.42	189.02	72.52	182.55	109.66
BOC	2.71	45.21	13.93	23.59	13.32	4.21	28.86	2.92	4.03	6.57	5.5	13.42	30.12	4.46	25.54	1.41	6.46	6.57	3.06	15.8	10.24	2.34	3.03	6.26	20.11	24.11	6.16	0.0	0.48	267.73	191.67	1340.84	1551.09	1369.04	802.41	967.76	1096.5	764.36	1331.57	1030.12	775.05	967.76	1001.93	1498.22	954.43	947.83	988.12	633.73	1313.23	2163.77
C10orf35	50.63	52.08	32.13	14.03	17.77	27.64	48.18	63.45	291.04	384.34	41.81	20.56	132.44	131.51	100.13	29.48	166.73	115.97	27.84	63.0	45.21	73.54	6.16	56.28	22.1	88.88	46.84	0.0	0.02	229.72	277.2	205.5	152.28	289.02	275.28	299.25	108.9	414.87	346.29	346.29	236.21	299.25	327.56	285.03	187.71	387.02	209.84	165.57	189.02	463.65
C16orf45	392.44	248.0	395.18	249.73	412.0	209.84	170.25	63.45	842.36	145.02	187.71	260.38	438.59	253.23	669.92	412.0	387.02	199.85	297.17	981.29	486.75	633.73	348.71	194.36	532.74	305.55	348.71	0.0	0.54	406.31	163.28	764.36	988.12	4419.52	934.76	4543.8	1277.29	1674.06	1119.56	1407.55	3190.46	974.5	595.34	1051.79	1322.37	1467.37	713.11	743.43	1208.34	351.14
C16orf78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	2.05	0.0	2.2	0.0	2.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
C19orf82	86.43	118.43	80.57	35.25	113.56	98.73	101.54	81.14	95.34	122.64	60.39	111.21	75.64	71.0	88.26	28.24	50.63	79.45	72.52	122.64	111.21	105.15	42.71	61.68	115.16	74.06	102.25	0.0	0.24	239.52	181.28	142.01	351.14	591.22	206.94	444.72	312.0	267.73	432.53	307.69	277.2	271.48	285.03	612.11	325.29	406.31	232.94	186.4	267.73	381.68
C20orf197	0.16	0.59	0.59	0.62	0.14	0.15	1.93	0.0	0.0	1.23	0.0	0.61	0.54	0.16	1.14	0.12	0.52	0.16	0.16	0.61	1.81	0.13	0.64	0.0	2.07	0.15	0.82	0.0	0.37	9.93	1.27	7.46	3.56	42.41	7.57	6.94	1.46	7.06	31.9	8.45	3.41	5.96	6.46	12.27	3.86	7.75	2.43	2.68	2.58	3.17
C2orf81	1.51	27.84	7.51	5.73	15.68	3.32	16.51	4.03	10.79	23.25	4.03	23.08	12.27	8.51	14.45	2.94	5.87	2.92	1.99	14.78	6.41	10.71	2.81	9.13	7.11	5.54	1.53	0.0	0.0	111.99	148.09	113.56	165.57	420.68	283.05	432.53	221.86	255.0	182.55	291.04	320.8	283.05	241.19	220.32	172.65	420.68	329.84	253.23	236.21	209.84
C9orf3	733.19	1073.91	595.34	587.13	674.59	1447.15	759.08	902.89	723.08	1721.16	1407.55	1051.79	791.35	723.08	909.17	1721.16	967.76	2319.15	967.76	688.78	1561.89	1250.98	1250.98	688.78	743.43	624.99	647.07	642.59	195.72	1963.57	1030.12	2351.53	1709.26	6516.03	2075.59	2032.85	1295.13	1896.65	2816.11	2075.59	2485.67	2090.03	1437.15	3103.19	1119.56	2609.3	1331.57	1151.06	1583.71	872.1
CA6	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	8.58	19.82	3.63	0.0	19.68	1.28	46.84	1.64	1.28	5.02	3.56	0.0	0.93	0.27	0.57	0.0	7.4	0.0	1.06	1.0	0.0
CACNA1B	0.0	0.0	0.97	0.39	0.0	0.0	0.0	0.3	0.0	0.0	2.18	0.0	0.34	0.0	12.27	0.0	0.0	0.0	0.0	0.39	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.68	153.34	11.82	6.26	54.33	5.15	6.67	7.51	1.43	9.41	2.41	9.7	2.1	1.75	8.71	2.36	8.71	2.07	2.32	3.96	45.53
CACNG5	0.0	2.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	5.77	6.84	0.85	2.61	0.0	0.53	0.24	0.83	1.13	0.23	1.36	0.0	0.0	0.0	1.08	0.8	0.0	0.0	0.57	2.14
CADM2	1.55	0.0	4.21	11.91	11.82	0.92	4.35	8.19	18.7	0.37	0.0	14.56	2.01	0.0	2.51	2.34	0.88	2.07	6.26	5.82	1.51	6.16	5.28	0.97	3.08	0.0	0.77	0.0	0.14	5.87	27.25	40.36	42.11	154.42	5.32	37.05	10.88	17.9	0.53	3.26	1.2	10.63	6.89	5.87	1.89	17.0	21.63	12.45	6.26	13.83
CAPS	105.15	106.63	54.72	64.8	237.86	46.5	171.45	169.07	183.82	161.02	99.43	117.6	94.01	89.51	169.07	244.57	63.89	136.19	140.04	186.4	57.08	273.37	135.24	127.89	239.52	122.64	115.16	0.0	0.01	1369.04	988.12	6652.97	2163.77	4972.34	1697.45	2591.27	1662.49	2451.44	3280.18	1617.0	1322.37	1909.85	1709.26	3325.99	1540.37	2520.38	1540.37	1950.0	1977.24	693.58
CCDC8	8.45	24.99	18.16	8.19	17.0	5.32	48.87	9.78	9.2	26.86	5.59	7.11	60.82	2.63	12.64	1.1	1.75	8.13	8.45	11.3	3.99	3.5	1.03	12.45	9.34	45.53	2.56	0.0	0.35	185.11	514.56	86.43	264.03	583.07	297.17	303.44	224.97	323.03	511.0	275.28	435.55	363.56	226.54	728.11	275.28	318.57	329.84	417.77	307.69	669.92
CD70	0.0	3.5	0.0	3.66	0.0	0.0	15.56	0.0	4.7	10.79	2.48	11.73	0.0	0.0	0.0	3.86	8.0	2.43	0.0	24.11	0.0	1.48	5.92	0.0	2.32	3.26	3.72	669.92	1950.0	20.26	13.52	21.16	99.43	447.82	78.34	15.68	65.26	132.44	17.77	111.21	18.7	80.57	186.4	20.86	269.6	40.36	94.01	258.57	320.8	7.46
CHRNA7	0.0	3.63	0.0	4.98	13.12	0.0	7.51	0.0	7.57	3.92	0.14	1.75	0.77	0.83	1.95	0.08	0.73	0.8	2.53	0.17	4.5	0.69	0.95	11.04	0.1	4.28	0.62	0.0	0.31	53.57	57.49	48.52	31.22	57.49	25.17	20.41	28.65	20.86	102.97	21.78	21.16	30.34	22.92	65.72	23.93	32.82	27.64	31.9	35.76	21.01
CLIP3	8.19	34.51	35.25	32.13	44.89	9.41	70.01	16.88	27.44	59.97	9.56	43.63	43.32	13.72	67.12	21.94	33.54	25.54	30.12	41.52	13.12	17.13	9.63	30.34	33.54	61.68	26.67	0.0	0.53	346.29	260.38	1806.78	232.94	1191.69	231.32	854.13	397.93	466.88	518.15	476.71	559.28	521.76	435.55	182.55	283.05	698.41	384.34	551.56	327.56	872.1
COL9A3	120.1	258.57	18.29	14.14	220.32	4.54	161.02	35.0	98.73	8.45	20.86	59.13	57.89	59.55	57.89	2.01	74.58	6.46	22.26	262.2	26.86	59.13	123.5	26.28	265.87	37.05	25.72	0.0	0.48	205.5	1437.15	165.57	55.49	808.0	127.0	46.5	35.5	120.94	189.02	55.89	37.59	61.25	131.51	312.0	53.19	61.68	87.65	132.44	150.17	3540.14
COMP	0.0	10.55	16.51	2.18	9.2	5.15	11.04	0.03	0.75	0.0	2.71	11.04	13.42	8.92	4.43	0.0	4.03	1.22	1.28	0.17	0.0	0.0	1.5	0.65	2.43	39.79	4.28	0.0	0.6	171.45	3690.52	1733.13	2133.97	11584.24	2434.5	2240.11	3303.0	3124.78	115.97	802.41	591.22	1487.87	583.07	2485.67	1991.0	5751.61	1551.09	2417.67	2796.65	444.72
CST1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	563.18	11189.6	18304.63	12.09	1208.34	403.5	19.39	23.76	15.11	0.0	13.52	3.35	137.14	10.88	1.28	182.55	3.32	157.68	5.15	63.45	73.03
CST2	0.0	0.0	0.0	11.73	0.0	0.0	8.38	0.0	0.0	0.0	0.0	0.0	7.4	36.79	0.0	0.0	7.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	46.84	71.0	1909.85	708.18	16611.71	197.09	265.87	753.83	275.28	4.13	20.11	67.59	165.57	116.78	80.57	178.77	100.83	155.5	170.25	185.11	31.45
CST4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.89	26.28	33.06	127.0	1127.35	40.36	115.97	65.72	55.1	9.27	17.9	9.27	34.75	56.28	49.91	18.16	20.26	77.25	30.56	111.21	13.22
CTD-2410N18.5	0.0	0.0	2.41	0.0	0.0	3.03	7.28	5.68	11.21	13.72	3.14	0.0	3.56	4.74	0.0	0.0	3.2	2.84	0.0	0.0	7.17	0.0	0.0	11.91	3.23	0.0	0.0	0.0	0.0	2.2	13.42	21.16	2.2	24.28	5.59	12.74	3.5	4.82	1.22	12.27	2.68	1.17	12.83	2.51	1.14	3.59	6.46	8.32	0.97	6.73
DGKD	55.89	141.02	41.22	95.34	85.82	29.06	100.13	121.79	71.5	88.88	125.24	106.63	204.07	149.12	99.43	70.51	138.1	55.49	149.12	77.25	93.35	49.91	51.35	102.25	127.0	132.44	53.19	0.0	0.87	301.33	1216.75	441.64	629.35	1819.35	974.5	466.88	651.58	438.59	629.35	723.08	1096.5	559.28	688.78	819.3	1437.15	808.0	493.56	289.02	703.28	234.57
DIRC3	0.0	1.33	0.59	4.62	0.87	0.0	1.36	0.16	2.48	3.96	1.62	0.99	2.92	0.2	1.87	0.16	1.53	7.17	1.66	0.99	3.0	0.16	1.79	5.02	4.1	1.91	0.46	0.0	0.47	6.31	4.35	34.26	65.72	199.85	77.25	156.59	64.34	64.34	45.85	88.26	234.57	58.71	80.57	20.86	43.94	59.55	44.25	21.47	38.95	28.24
DLG3	17.38	35.5	15.91	39.79	20.56	45.21	128.79	3.56	35.76	40.64	4.58	22.43	109.66	8.71	14.14	14.35	12.55	21.63	30.34	43.32	43.32	11.91	17.9	92.7	38.67	19.68	56.28	0.0	0.53	275.28	723.08	307.69	555.41	769.69	559.28	656.11	612.11	595.34	409.15	497.0	612.11	624.99	480.04	426.57	457.25	381.68	591.22	486.75	540.19	363.56
DLG5	16.39	39.79	33.3	44.57	50.27	17.38	45.53	20.41	54.72	59.97	31.45	82.87	59.97	36.01	81.71	24.28	119.26	31.45	83.45	36.79	40.93	26.1	13.72	71.5	24.28	15.91	176.29	0.0	0.82	497.0	674.59	591.22	733.19	1277.29	490.14	1167.14	616.37	587.13	265.87	616.37	669.92	842.36	603.67	454.09	674.59	633.73	733.19	748.61	638.15	518.15
DLGAP4	314.17	423.61	281.09	490.14	480.04	358.54	400.71	703.28	318.57	684.02	583.07	435.55	507.46	281.09	346.29	470.14	521.76	444.72	384.34	316.37	387.02	371.22	309.83	665.29	444.72	460.44	232.94	0.0	0.6	1447.15	2835.7	1572.76	2090.03	3443.31	2367.9	2178.83	2664.15	1447.15	1407.55	2417.67	2133.97	2287.2	2004.85	1651.0	2591.27	2061.24	1857.6	2400.97	2875.3	2061.24
DOCK4	397.93	99.43	255.0	145.02	234.57	406.31	201.25	162.14	220.32	117.6	92.05	403.5	102.97	143.01	136.19	165.57	111.99	112.77	279.14	189.02	195.72	211.31	60.39	123.5	171.45	155.5	208.38	0.0	0.48	287.01	251.48	223.41	400.71	351.14	283.05	85.22	271.48	94.01	191.67	172.65	82.87	151.22	167.9	218.79	226.54	208.38	209.84	145.02	332.14	84.04
EDN2	0.0	8.19	4.74	1.6	17.13	0.0	32.13	15.68	7.06	11.55	15.11	7.69	6.94	7.28	9.13	12.64	1.93	32.13	3.35	37.32	7.22	13.03	5.02	0.0	6.11	12.36	21.47	0.0	0.04	24.11	10.31	358.54	12.55	285.03	30.78	29.7	26.86	19.53	70.51	18.16	15.45	31.0	27.25	96.01	40.07	46.5	26.86	22.26	41.81	111.21
ELAVL3	0.0	0.13	1.28	0.14	0.8	0.0	0.0	0.0	0.14	0.42	0.48	0.0	0.11	0.87	7.63	0.41	1.14	0.0	0.49	1.69	0.12	0.43	0.0	0.0	0.0	0.82	0.0	0.0	0.16	0.58	29.7	15.8	0.74	193.01	1.17	1.58	4.21	1.16	46.5	1.14	3.63	2.01	2.84	0.71	1.13	3.2	1.14	5.45	0.75	36.79
EPHB3	1.81	27.84	8.78	6.84	14.78	0.0	42.71	3.92	17.9	15.56	0.0	0.93	61.25	5.19	5.82	1.36	1.53	1.71	3.82	16.88	1.08	6.67	3.89	5.15	8.51	13.83	12.09	0.0	0.59	1088.92	878.17	88.88	175.07	500.46	389.72	299.25	366.09	273.37	202.66	341.51	647.07	264.03	246.28	260.38	356.05	301.33	208.38	500.46	343.89	1066.48
EVA1B	201.25	279.14	55.1	167.9	236.21	80.01	198.47	178.77	191.67	182.55	89.51	255.0	183.82	103.69	236.21	127.0	163.28	59.13	110.43	150.17	120.1	83.45	66.18	285.03	236.21	144.01	138.1	0.0	0.71	703.28	1073.91	1477.58	854.13	1233.75	1286.18	1015.93	400.71	1806.78	981.29	1572.76	738.29	921.88	1111.82	988.12	934.76	486.75	1540.37	1359.57	1529.73	884.29
EVPLL	0.57	8.85	6.57	2.2	24.28	5.59	7.63	28.65	20.26	0.85	1.43	12.83	16.39	13.93	6.06	2.1	2.66	4.1	1.81	17.77	7.88	4.35	16.15	1.93	20.56	12.64	38.67	0.0	0.22	42.11	10.63	0.0	16.27	181.28	31.0	34.02	40.64	49.21	71.0	30.56	27.64	59.55	28.86	133.36	33.78	22.59	126.12	63.45	53.19	19.68
FAXC	0.0	0.0	2.25	0.0	0.0	18.7	3.56	0.0	0.34	0.0	2.12	0.0	7.28	0.0	9.27	0.0	8.51	0.0	0.0	4.98	22.1	0.0	0.0	4.58	4.17	0.0	3.69	0.0	0.39	84.63	122.64	447.82	620.67	941.27	511.0	616.37	529.06	688.78	400.71	620.67	503.95	432.53	420.68	384.34	583.07	525.39	525.39	599.49	575.03	98.73
FBXL2	4.35	7.17	9.06	3.0	14.56	3.17	22.26	4.35	3.44	10.31	10.96	20.41	17.25	9.85	6.67	2.68	2.61	3.76	0.66	10.79	4.74	0.69	0.56	3.41	5.54	4.43	2.84	0.0	0.3	96.01	248.0	229.72	303.44	518.15	279.14	441.64	287.01	423.61	559.28	476.71	438.59	400.71	351.14	500.46	248.0	420.68	497.0	223.41	228.13	158.79
FBXO41	8.85	32.59	3.03	7.28	18.29	4.82	21.01	4.31	4.43	10.16	3.89	14.35	8.19	6.57	21.16	0.39	15.11	0.0	0.0	12.36	5.77	3.32	0.0	16.88	9.27	4.82	2.51	0.0	0.51	80.01	156.59	41.22	69.52	127.89	64.8	77.25	71.0	76.71	103.69	67.12	58.3	74.58	62.56	75.64	70.51	110.43	84.04	54.72	81.71	52.45
FOLR4	0.0	0.0	3.41	0.0	0.0	0.0	4.21	6.78	3.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41	2.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	14.78	9.78	1.38	0.0	11.47	1.07	0.0	0.49	0.0	1.06	4.98	8.51	0.21	3.03	1.91	2.2	1.45	1.16
