	GTEX.Y111.1826.SM.4SOIR	GTEX.Y111.1726.SM.4SOIQ	GTEX.RNOR.1326.SM.48FDE	GTEX.13YAN.2026.SM.5Q5EY	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13111.0426.SM.5DUXR	GTEX.WFG8.0926.SM.3GIKJ	GTEX.R55G.0826.SM.2TC5U	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.1339X.0626.SM.5IJER	GTEX.13VXT.1426.SM.5LU4B	GTEX.UJHI.0726.SM.3DB92	GTEX.11TT1.1626.SM.5EQL7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.QEG5.1126.SM.33HC2
DGKD	728.11	728.11	647.07	684.02	872.1	0.0	0.87	728.11	248.0	486.75	271.48	551.56	981.29	301.33	579.04	642.59	1073.91	221.86	400.71	486.75	679.29	334.46	514.56
DND1	18.97	13.83	33.3	8.78	10.63	0.0	0.42	4.39	0.77	1.1	3.44	5.41	13.52	4.54	1.53	0.89	4.5	0.0	2.14	0.61	0.66	3.89	0.02
DNHD1	450.94	463.65	403.5	665.29	341.51	0.0	1.06	178.77	51.35	22.1	183.82	95.34	244.57	63.89	283.05	40.64	146.03	59.13	56.28	57.08	114.36	60.82	104.42
DPP7	5219.6	6471.02	5006.93	6983.79	5791.62	0.0	1.13	6840.04	2255.7	2367.9	6471.02	2537.92	11345.82	3467.27	6887.62	2777.33	5441.3	4038.61	3257.52	2468.49	3257.52	5147.73	2004.85
EGFL8	1950.0	2255.7	1794.29	1721.16	426.57	0.0	0.73	169.07	73.54	36.79	159.9	84.04	191.67	151.22	454.09	31.67	128.79	90.77	31.0	59.55	72.01	38.4	60.39
FAM193B	3146.52	3124.78	3564.78	3395.89	3060.45	0.0	1.45	1119.56	297.17	269.6	928.3	802.41	2061.24	616.37	1674.06	599.49	1498.22	366.09	612.11	555.41	854.13	316.37	884.29
FUK	693.58	703.28	684.02	693.58	447.82	0.0	0.64	368.65	226.54	242.88	420.68	256.78	503.95	420.68	665.29	208.38	387.02	332.14	325.29	191.67	409.15	329.84	366.09
GUK1	9088.59	9474.59	7857.29	6337.83	8840.04	0.0	1.27	5366.37	6337.83	4671.57	6337.83	5594.3	10808.41	4836.35	8963.45	3395.89	16727.26	4802.93	3794.3	5555.65	7537.18	5329.3	4607.24
HAUS7	813.63	878.17	591.22	1135.2	669.92	0.0	0.77	490.14	307.69	267.73	473.41	299.25	633.73	435.55	620.67	379.04	248.0	376.41	432.53	376.41	395.18	269.6	336.79
HMBOX1	848.22	825.0	728.11	612.11	674.59	0.0	0.56	239.52	189.02	297.17	336.79	239.52	507.46	363.56	647.07	256.78	348.71	224.97	277.2	368.65	318.57	224.97	412.0
KANK3	656.11	547.75	444.72	629.35	620.67	0.0	0.56	536.45	114.36	161.02	483.38	301.33	733.19	679.29	860.08	162.14	540.19	226.54	132.44	329.84	507.46	271.48	136.19
KIAA0907	1250.98	1331.57	1350.18	1991.0	928.3	0.0	1.35	366.09	191.67	205.5	325.29	275.28	480.04	301.33	612.11	194.36	441.64	186.4	104.42	170.25	307.69	246.28	273.37
LAMA5	11189.6	11827.67	11504.21	6471.02	9673.69	0.0	1.66	3060.45	656.11	1127.35	3443.31	1857.6	4869.99	1104.13	2502.97	1199.98	2895.31	733.19	583.07	1936.53	1551.09	1242.34	2255.7
LRSAM1	708.18	884.29	616.37	536.45	591.22	0.0	0.53	500.46	212.78	148.09	432.53	295.11	529.06	316.37	500.46	295.11	563.18	318.57	348.71	221.86	373.81	358.54	503.95
MAPK8IP3	2075.59	2032.85	2119.22	2271.4	1594.73	0.0	1.69	669.92	260.38	112.77	341.51	182.55	1059.11	463.65	1340.84	178.77	543.96	170.25	217.27	193.01	356.05	283.05	281.09
METTL22	571.05	842.36	769.69	866.07	591.22	0.0	0.57	387.02	169.07	206.94	289.02	432.53	507.46	226.54	521.76	161.02	320.8	183.82	181.28	241.19	249.73	248.0	376.41
NADSYN1	1605.83	1819.35	1832.01	1572.76	1936.53	0.0	1.13	1322.37	607.87	518.15	941.27	764.36	1950.0	603.67	1378.57	567.1	1467.37	587.13	688.78	463.65	884.29	764.36	688.78
NISCH	2895.31	3146.52	3540.14	3589.58	2178.83	0.0	0.92	1277.29	599.49	624.99	1322.37	860.08	2664.15	1199.98	1870.53	764.36	1250.98	854.13	547.75	656.11	1250.98	791.35	954.43
NPDC1	6337.83	7331.05	5995.9	4836.35	1963.57	0.0	1.07	2032.85	718.08	769.69	1883.54	1250.98	3928.15	896.64	3716.2	417.77	3257.52	733.19	921.88	1066.48	1819.35	878.17	642.59
NPIPB8	25.54	18.84	33.78	87.03	26.28	0.0	0.58	2.05	0.0	0.0	5.73	0.0	9.06	4.94	8.85	3.99	0.93	3.63	3.17	3.76	10.63	2.86	4.39
NRN1L	120.94	99.43	93.35	71.5	69.03	0.0	0.16	114.36	29.48	28.86	124.37	26.67	147.06	105.15	165.57	5.73	115.97	39.22	27.05	8.32	153.34	23.93	26.86
PCBP4	2032.85	2255.7	1857.6	1417.35	780.44	0.0	0.69	521.76	323.03	406.31	395.18	353.59	514.56	497.0	753.83	175.07	532.74	312.0	256.78	395.18	684.02	279.14	202.66
PHYKPL	1674.06	1617.0	1963.57	2758.13	1781.89	0.0	1.03	1225.22	444.72	575.03	961.07	1023.0	1794.29	1242.34	1950.0	587.13	647.07	603.67	624.99	543.96	961.07	660.68	237.86
PIGG	2119.22	2645.74	2434.5	2627.46	1233.75	0.0	0.95	1073.91	723.08	497.0	825.0	603.67	995.0	808.0	1295.13	583.07	466.88	432.53	547.75	511.0	633.73	656.11	612.11
POFUT2	748.61	708.18	848.22	764.36	733.19	0.0	0.96	476.71	244.57	232.94	571.05	444.72	532.74	444.72	713.11	336.79	351.14	255.0	185.11	423.61	343.89	295.11	420.68
PROX2	18.29	13.72	20.11	15.11	9.13	0.0	0.19	6.52	0.26	1.36	4.31	3.32	5.87	5.11	10.31	1.36	1.93	2.46	1.93	2.58	7.94	2.61	2.84
PRPF3	1806.78	1950.0	1819.35	2104.58	1572.76	0.0	1.19	915.51	450.94	232.94	769.69	551.56	1088.92	551.56	954.43	591.22	703.28	612.11	551.56	518.15	579.04	473.41	947.83
PRSS53	176.29	189.02	164.42	167.9	50.27	0.0	1.22	7.94	4.7	4.58	10.16	3.35	21.63	6.94	19.11	2.46	20.56	1.35	1.62	2.56	7.51	2.12	5.45
RAPGEFL1	201.25	145.02	197.09	336.79	356.05	0.0	1.28	112.77	31.67	23.42	55.49	529.06	674.59	90.77	277.2	32.59	96.68	73.54	80.01	101.54	98.04	42.71	183.82
RASGRP2	2047.0	2240.11	2209.26	1233.75	848.22	0.0	0.93	318.57	204.07	127.89	314.17	353.59	1721.16	518.15	759.08	314.17	688.78	239.52	275.28	356.05	728.11	511.0	343.89
RBM5	5479.15	6207.38	5479.15	6207.38	4239.45	0.0	1.22	2148.82	921.88	703.28	1662.49	1350.18	3280.18	1208.34	2104.58	902.89	1051.79	934.76	753.83	1073.91	1104.13	638.15	1407.55
RDH16	14.35	25.91	19.97	31.0	22.43	0.0	0.57	17.25	1.77	2.07	16.88	0.0	13.62	2.76	26.1	1.39	2.25	0.59	1.38	1.45	5.5	1.19	8.25
RECQL5	708.18	780.44	780.44	775.05	780.44	0.0	0.59	764.36	409.15	412.0	521.76	417.77	693.58	447.82	733.19	305.55	466.88	363.56	400.71	295.11	633.73	373.81	423.61
RGL2	2720.15	2796.65	2627.46	1923.14	2287.2	0.0	0.99	1685.71	974.5	921.88	1467.37	1498.22	2133.97	1745.2	2163.77	974.5	1104.13	1151.06	1191.69	1216.75	1529.73	941.27	728.11
RGS9	297.17	314.17	229.72	217.27	122.64	0.0	0.24	167.9	23.25	127.89	30.34	49.21	429.54	87.65	158.79	57.49	49.91	65.26	29.27	71.5	95.34	32.36	22.43
RP11-934B9.3	19.11	27.44	18.29	5.77	17.77	0.0	0.46	1.79	0.0	2.25	2.32	0.59	6.16	2.86	3.26	0.0	0.17	0.0	0.0	0.0	0.67	1.45	2.43
SDR39U1	2682.69	3395.89	2758.13	3303.0	1963.57	0.0	1.07	1350.18	796.86	616.37	1806.78	1088.92	2032.85	1286.18	2367.9	651.58	1487.87	928.3	703.28	1073.91	1104.13	934.76	915.51
SFTPB	4.7	9.78	0.0	18.43	137587.47	22692.63	50709.61	1514068.5	1890058.21	2767207.65	2691538.19	2408994.05	1503610.06	2884719.27	1825675.85	2845004.48	3156730.23	5057523.59	2493947.08	2068278.89	2599854.48	3245478.02	2546350.23
SH3GLB2	3168.41	3443.31	3540.14	2855.44	2485.67	0.0	0.96	1819.35	1233.75	1268.46	1909.85	1605.83	2591.27	1721.16	3018.3	921.88	2682.69	1073.91	915.51	1594.73	1781.89	981.29	1167.14
SIGIRR	2915.45	3235.01	2075.59	1909.85	2255.7	0.0	0.74	1963.57	1008.9	759.08	1295.13	909.17	1896.65	1427.22	2193.99	647.07	1697.45	934.76	848.22	764.36	1225.22	571.05	563.18
SLC12A7	718.08	791.35	629.35	1066.48	738.29	0.0	0.99	713.11	237.86	563.18	351.14	728.11	688.78	493.56	748.61	384.34	389.72	287.01	400.71	532.74	629.35	796.86	371.22
SLC25A28	2104.58	2520.38	2104.58	3589.58	1769.57	0.0	0.56	1119.56	813.63	607.87	1001.93	896.64	1697.45	830.75	1259.69	902.89	995.0	825.0	896.64	896.64	1023.0	693.58	1407.55
SS18L1	361.04	420.68	318.57	521.76	336.79	0.0	0.84	217.27	75.11	79.45	122.64	221.86	281.09	130.6	346.29	100.83	193.01	86.43	74.58	105.89	136.19	90.14	185.11
TEX29	25.91	25.54	14.35	21.63	10.71	0.0	0.0	6.16	4.54	3.89	13.52	2.39	13.22	7.28	8.25	3.89	3.35	6.06	1.83	4.78	3.63	0.85	5.59
TMEM259	6561.36	7485.11	5913.33	6607.01	5751.61	0.0	1.07	3639.7	1295.13	1216.75	2997.45	2018.8	4903.87	2075.59	3639.7	1369.04	3372.43	1407.55	1457.23	1583.71	1617.0	2209.26	1844.76
TRIM3	1135.2	1216.75	1119.56	1259.69	607.87	0.0	0.96	392.44	166.73	144.01	307.69	172.65	420.68	267.73	490.14	115.16	356.05	137.14	94.01	234.57	239.52	183.82	187.71
TTC31	660.68	693.58	629.35	633.73	559.28	0.0	0.57	470.14	341.51	305.55	435.55	314.17	511.0	429.54	591.22	289.02	256.78	297.17	256.78	295.11	351.14	314.17	239.52
TUBG2	1662.49	1617.0	1487.87	1359.57	607.87	0.0	0.51	420.68	204.07	236.21	525.39	293.07	450.94	379.04	624.99	159.9	490.14	220.32	158.79	209.84	368.65	175.07	309.83
TUBGCP6	1350.18	1583.71	1242.34	1467.37	1359.57	0.0	1.22	1081.39	289.02	258.57	775.05	429.54	1008.9	551.56	1268.46	271.48	669.92	309.83	295.11	336.79	748.61	540.19	299.25
USP36	1023.0	1088.92	988.12	1617.0	909.17	0.0	0.55	802.41	392.44	429.54	409.15	624.99	791.35	397.93	896.64	612.11	902.89	318.57	540.19	551.56	423.61	406.31	656.11
WDR70	638.15	728.11	665.29	669.92	444.72	0.0	0.75	493.56	368.65	309.83	457.25	198.47	559.28	392.44	281.09	329.84	679.29	309.83	343.89	297.17	255.0	441.64	358.54
XPC	808.0	748.61	947.83	769.69	791.35	0.0	0.65	967.76	497.0	325.29	934.76	579.04	909.17	603.67	616.37	303.44	656.11	432.53	211.31	483.38	718.08	420.68	463.65
XRCC3	389.72	403.5	438.59	392.44	412.0	0.0	1.0	162.14	43.63	131.51	127.89	111.99	269.6	98.73	258.57	53.57	103.69	57.89	111.99	92.05	141.02	85.82	94.67
ZHX1-C8ORF76	58.3	48.18	40.64	87.03	38.12	0.0	0.27	34.02	34.75	20.41	29.7	21.01	43.94	21.63	39.79	18.97	40.07	12.45	17.9	18.97	15.8	17.0	31.45
ZNF219	2133.97	2627.46	2468.49	1199.98	878.17	0.0	0.92	500.46	169.07	339.14	713.11	414.87	1733.13	426.57	941.27	307.69	497.0	246.28	217.27	473.41	441.64	438.59	287.01
ZNF76	1674.06	1832.01	1781.89	1844.76	1030.12	0.0	0.78	890.44	444.72	314.17	718.08	447.82	728.11	540.19	1104.13	406.31	432.53	387.02	285.03	318.57	674.59	429.54	599.49
ZNF765	120.1	121.79	147.06	138.1	112.77	0.0	0.15	78.89	68.07	89.51	155.5	74.58	193.01	92.05	106.63	70.01	80.57	88.88	57.08	75.11	127.89	91.41	63.0
