	TCGA.FJ.A871.01A.11R.A352.07	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.OL.A5D7.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.B6.A0IQ.01A.11R.A034.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A1CS.11A.21R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.132QS.0326.SM.5IJFN	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.YEC3.0826.SM.4WWFP	GTEX.YFCO.0326.SM.4W1ZP	GTEX.12BJ1.0426.SM.5FQSO	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.12696.0326.SM.5EGL4
ITPRIP	159.9	232.94	460.44	251.48	234.57	0.0	0.39	1143.1	164.42	866.07	651.58	392.44	802.41	423.61	414.87	450.94	563.18	287.01	738.29	624.99	368.65	325.29	555.41	417.77	351.14	253.23	638.15	497.0	503.95	1417.35	669.92	206.94	341.51
JAK1	432.53	521.76	507.46	854.13	638.15	0.0	0.82	1322.37	866.07	1397.83	1208.34	1216.75	1023.0	909.17	830.75	1199.98	842.36	693.58	947.83	1015.93	693.58	633.73	1378.57	669.92	1119.56	684.02	1662.49	1233.75	1001.93	1519.15	1008.9	728.11	708.18
LRRC70	6.89	24.46	12.74	41.52	8.65	0.0	0.2	228.13	91.41	204.07	232.94	68.55	165.57	54.33	90.14	96.01	218.79	33.3	212.78	183.82	100.83	52.45	56.68	52.82	63.89	61.68	118.43	109.66	74.06	136.19	52.82	151.22	85.22
MAOA	108.14	457.25	9.2	83.45	25.91	0.0	0.62	3690.52	2224.63	3257.52	3212.66	4181.07	4388.98	3564.78	2319.15	3443.31	2609.3	2777.33	3467.27	3742.05	5441.3	6607.01	4010.71	4869.99	6745.86	1721.16	9344.14	5219.6	7537.18	5292.48	4972.34	1639.59	2485.67
MAP1LC3B	1477.58	921.88	669.92	1037.29	728.11	860.08	356.05	1594.73	1561.89	1467.37	1519.15	1639.59	1662.49	995.0	1183.45	1295.13	1268.46	890.44	1806.78	1519.15	1151.06	1286.18	1529.73	1427.22	1617.0	928.3	1909.85	1242.34	1674.06	3124.78	2047.0	1044.52	1199.98
MAT2B	500.46	1044.52	423.61	579.04	819.3	0.0	0.61	2032.85	1447.15	2287.2	2701.35	1745.2	2434.5	1498.22	1757.34	1806.78	1508.65	1119.56	1896.65	2271.4	1259.69	2133.97	2032.85	1844.76	1936.53	1268.46	2335.28	1781.89	1844.76	2209.26	2018.8	1697.45	1529.73
MBIP	173.85	358.54	258.57	624.99	334.46	518.15	267.73	3257.52	1662.49	2720.15	1950.0	2193.99	1909.85	1477.58	1709.26	2032.85	1088.92	1331.57	1870.53	1991.0	1685.71	1844.76	2627.46	2319.15	2400.97	1508.65	3103.19	1540.37	3039.3	3060.45	2591.27	1628.26	1781.89
MECOM	13.22	57.49	12.09	49.56	24.99	0.0	0.49	229.72	36.79	232.94	74.06	49.91	102.25	54.33	67.12	59.97	44.25	71.0	232.94	49.56	65.72	39.5	112.77	14.24	54.72	53.57	281.09	31.0	50.63	258.57	159.9	44.25	69.52
MERTK	16.39	16.15	52.08	72.01	120.1	0.0	0.54	400.71	165.57	258.57	194.36	217.27	246.28	264.03	221.86	356.05	163.28	155.5	358.54	159.9	149.12	201.25	248.0	265.87	201.25	115.16	457.25	674.59	242.88	197.09	172.65	171.45	132.44
MET	62.12	426.57	112.77	26.86	86.43	0.0	0.07	708.18	236.21	603.67	563.18	258.57	480.04	218.79	441.64	190.34	260.38	148.09	301.33	368.65	490.14	244.57	780.44	473.41	674.59	127.0	1183.45	267.73	733.19	872.1	860.08	178.77	115.97
METTL7A	74.58	24.11	162.14	297.17	267.73	327.56	1529.73	9673.69	5183.54	11745.96	6079.61	7911.95	10296.45	6381.92	7857.29	9808.75	5872.48	3280.18	6840.04	8363.13	6887.62	14065.74	9876.98	11345.82	16157.44	3639.7	14867.79	8778.97	11664.82	7749.1	4512.4	5872.48	5441.3
MID2	10.79	151.22	61.25	120.1	125.24	0.0	0.41	273.37	148.09	228.13	281.09	165.57	226.54	167.9	175.07	166.73	181.28	102.97	183.82	180.02	199.85	124.37	117.6	132.44	180.02	133.36	316.37	224.97	169.07	289.02	217.27	138.1	118.43
MPZL2	96.01	500.46	384.34	62.56	775.05	0.0	0.42	2835.7	665.29	607.87	802.41	819.3	1242.34	514.56	981.29	961.07	287.01	1225.22	1757.34	764.36	928.3	543.96	1417.35	507.46	928.3	703.28	1583.71	738.29	1216.75	5672.41	3146.52	373.81	947.83
MUC15	0.91	0.0	121.79	0.0	8.58	175.07	158.79	2875.3	830.75	5711.87	2520.38	1832.01	3690.52	802.41	2701.35	1870.53	2255.7	156.59	2739.08	2664.15	1059.11	2935.74	3467.27	1674.06	3874.05	480.04	10808.41	1286.18	2591.27	3372.43	3491.39	1936.53	825.0
MYO5B	38.67	9.56	389.72	239.52	387.02	0.0	0.22	698.41	366.09	813.63	511.0	642.59	665.29	417.77	796.86	591.22	836.53	297.17	674.59	785.88	551.56	854.13	603.67	684.02	748.61	341.51	1467.37	703.28	909.17	1044.52	796.86	713.11	400.71
NOD1	54.33	60.39	194.36	81.71	73.03	0.0	0.6	1119.56	93.35	878.17	59.97	129.69	71.5	82.87	112.77	120.1	150.17	42.41	403.5	114.36	90.14	100.83	595.34	159.9	132.44	90.77	902.89	92.05	265.87	579.04	2255.7	73.03	100.83
PDE2A	2915.45	58.71	45.53	76.17	18.16	0.0	0.4	633.73	229.72	612.11	224.97	269.6	289.02	387.02	99.43	507.46	599.49	148.09	305.55	493.56	146.03	73.54	169.07	183.82	187.71	220.32	860.08	206.94	808.0	2075.59	1008.9	264.03	202.66
POLR2M	239.52	384.34	134.3	273.37	105.89	0.0	0.18	915.51	483.38	785.88	738.29	371.22	825.0	295.11	620.67	438.59	684.02	343.89	575.03	607.87	320.8	387.02	587.13	363.56	486.75	287.01	866.07	412.0	591.22	647.07	842.36	483.38	470.14
PPIL6	10.63	28.45	85.22	12.09	90.14	0.0	0.0	258.57	183.82	447.82	460.44	251.48	575.03	195.72	241.19	236.21	301.33	115.16	341.51	381.68	236.21	299.25	295.11	150.17	395.18	91.41	595.34	267.73	269.6	473.41	444.72	291.04	205.5
PPP2R5A	126.12	417.77	486.75	629.35	438.59	0.0	0.46	909.17	688.78	1096.5	934.76	684.02	1183.45	607.87	896.64	733.19	866.07	400.71	1001.93	842.36	733.19	854.13	974.5	808.0	896.64	587.13	1313.23	830.75	884.29	1044.52	995.0	890.44	656.11
PRKCH	38.95	220.32	162.14	346.29	171.45	0.0	0.61	921.88	363.56	620.67	595.34	796.86	665.29	334.46	429.54	529.06	483.38	194.36	432.53	406.31	480.04	346.29	412.0	417.77	307.69	400.71	836.53	536.45	493.56	1081.39	555.41	540.19	297.17
RAB3IP	81.71	152.28	175.07	191.67	239.52	0.0	0.61	376.41	177.53	341.51	256.78	226.54	316.37	156.59	249.73	215.77	234.57	105.89	277.2	384.34	267.73	226.54	275.28	226.54	267.73	164.42	379.04	239.52	323.03	450.94	346.29	264.03	194.36
RBMS2	212.78	133.36	94.67	137.14	127.0	0.0	0.57	698.41	287.01	603.67	305.55	473.41	325.29	255.0	423.61	318.57	323.03	249.73	532.74	258.57	309.83	164.42	547.75	163.28	301.33	178.77	759.08	420.68	387.02	775.05	928.3	223.41	199.85
RCBTB1	77.79	127.0	80.01	193.01	78.89	0.0	0.43	1498.22	624.99	1923.14	947.83	1183.45	1159.07	713.11	1259.69	1183.45	954.43	620.67	1008.9	995.0	866.07	813.63	1427.22	723.08	1745.2	567.1	2451.44	1001.93	1233.75	1407.55	915.51	915.51	728.11
RNF128	830.75	6.57	3.56	51.71	17.51	0.0	0.07	1088.92	567.1	1175.27	1191.69	896.64	1350.18	698.41	981.29	890.44	647.07	379.04	941.27	981.29	1066.48	995.0	896.64	1208.34	1685.71	567.1	1277.29	872.1	1073.91	947.83	743.43	669.92	567.1
S1PR1	54.33	205.5	100.83	301.33	58.71	0.0	0.54	1199.98	327.56	830.75	429.54	571.05	665.29	373.81	403.5	366.09	466.88	426.57	1286.18	525.39	540.19	341.51	769.69	327.56	358.54	579.04	1175.27	607.87	327.56	1477.58	1268.46	387.02	529.06
SAV1	178.77	392.44	281.09	246.28	559.28	0.0	0.21	1135.2	599.49	1359.57	1066.48	603.67	1359.57	454.09	708.18	698.41	995.0	400.71	902.89	813.63	563.18	660.68	896.64	656.11	748.61	521.76	1167.14	575.03	896.64	981.29	1135.2	866.07	651.58
SEC14L1	318.57	376.41	591.22	551.56	376.41	0.0	0.51	1832.01	842.36	1508.65	1199.98	884.29	1628.26	743.43	866.07	872.1	934.76	688.78	1977.24	1001.93	1199.98	660.68	1037.29	603.67	854.13	878.17	1467.37	974.5	1119.56	2018.8	1242.34	813.63	872.1
SEC16B	37.05	9.2	14.89	8.32	35.5	0.0	0.33	81.71	41.22	124.37	46.5	18.43	47.84	35.25	46.5	69.52	55.89	17.9	93.35	49.56	44.25	56.28	62.56	52.08	41.52	24.46	63.45	33.06	16.39	72.01	62.56	35.25	12.36
SERINC1	669.92	1769.57	435.55	1977.24	981.29	0.0	0.46	5292.48	3419.52	4543.8	6037.61	5006.93	6164.49	2739.08	4095.0	3742.05	3564.78	2485.67	4181.07	5006.93	2758.13	3467.27	5292.48	3257.52	4543.8	2224.63	5041.77	3690.52	4328.55	5006.93	3614.55	3280.18	3820.7
SLC16A10	14.35	16.75	27.05	8.99	46.5	59.55	36.53	104.42	38.95	78.89	85.82	35.25	68.07	32.59	55.1	40.64	33.54	44.57	47.17	51.35	38.4	100.83	94.01	45.85	104.42	32.13	159.9	97.36	83.45	72.01	82.87	46.18	54.72
SLC40A1	34.51	379.04	70.51	819.3	108.9	0.0	0.35	1583.71	723.08	2061.24	1561.89	854.13	1378.57	651.58	1685.71	743.43	1286.18	559.28	836.53	1277.29	836.53	988.12	954.43	674.59	1427.22	493.56	2485.67	1081.39	967.76	921.88	1583.71	1250.98	595.34
SNX25	102.97	92.05	57.08	127.0	76.17	0.0	0.0	1225.22	279.14	351.14	503.95	334.46	409.15	185.11	195.72	341.51	432.53	124.37	387.02	297.17	273.37	265.87	384.34	348.71	363.56	229.72	723.08	387.02	629.35	1277.29	769.69	197.09	348.71
SNX5	1870.53	2935.74	1467.37	1540.37	2178.83	0.0	0.92	6887.62	3768.09	5995.9	6983.79	5076.84	7485.11	3614.55	6207.38	5594.3	4836.35	2796.65	5594.3	6121.9	4736.79	6207.38	5329.3	5292.48	7803.01	2997.45	6745.86	4543.8	7081.29	5479.15	5041.77	5292.48	4639.29
