	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.AC.A2QH.01A.11R.A18M.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A7.A26J.01A.11R.A277.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A6.3809.01A.01R.A278.07	TCGA.A6.2684.01A.01R.A278.07	TCGA.A6.2677.01A.01R.A278.07	TCGA.A6.5656.01A.21R.A278.07	TCGA.A6.6781.01A.22R.A278.07	TCGA.A6.6780.01A.11R.A278.07	TCGA.A6.3810.01A.01R.A278.07	TCGA.A6.6650.01A.11R.A278.07	TCGA.A6.2674.01A.02R.A278.07	TCGA.A6.5659.01A.01R.A278.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.50.5045.01A.01R.1628.07	TCGA.44.2662.01A.01R.A278.07	TCGA.44.3917.01A.01R.A278.07	TCGA.50.5055.01A.01R.1628.07	TCGA.05.5425.01A.02R.1628.07	TCGA.44.4112.01A.01R.A278.07	TCGA.35.4122.01A.01R.1107.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.4133.01A.01R.1100.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.37.4130.01A.01R.1100.07	TCGA.DC.5337.01A.01R.1660.07	TCGA.BK.A0CA.01A.21R.A277.07
COL4A3BP	603.67	389.72	703.28	466.88	974.5	392.44	444.72	395.18	500.46	511.0	497.0	343.89	480.04	493.56	329.84	149.12	113.56	135.24	116.78	123.5	144.01	120.1	253.23	842.36	316.37	251.48	223.41	591.22	194.36	167.9	156.59	156.59	251.48	171.45	1073.91
CSPP1	361.04	299.25	348.71	392.44	218.79	309.83	229.72	343.89	595.34	218.79	318.57	232.94	241.19	406.31	220.32	91.41	68.55	57.89	78.89	183.82	84.04	16.03	72.52	123.5	420.68	92.7	70.01	156.59	38.4	35.25	45.53	45.53	189.02	100.13	769.69
DICER1	1457.23	860.08	1119.56	733.19	1143.1	642.59	723.08	371.22	466.88	656.11	780.44	532.74	373.81	909.17	551.56	86.43	63.0	123.5	75.64	71.0	88.26	70.51	114.36	414.87	674.59	133.36	165.57	511.0	63.89	111.99	129.69	129.69	156.59	212.78	1001.93
DNAJC16	358.54	392.44	384.34	343.89	521.76	190.34	332.14	154.42	373.81	260.38	384.34	251.48	275.28	195.72	248.0	142.01	119.26	115.16	242.88	62.12	183.82	109.66	99.43	287.01	231.32	105.89	92.05	376.41	78.89	40.07	116.78	116.78	88.88	51.71	497.0
DPP8	583.07	713.11	830.75	651.58	633.73	373.81	376.41	297.17	514.56	417.77	529.06	353.59	258.57	447.82	341.51	99.43	59.97	72.52	59.55	51.71	70.51	29.7	141.02	348.71	373.81	185.11	221.86	612.11	96.68	69.03	129.69	129.69	140.04	151.22	473.41
EP300	616.37	536.45	934.76	171.45	348.71	269.6	289.02	193.01	493.56	457.25	403.5	406.31	181.28	414.87	251.48	161.02	86.43	115.97	78.34	96.01	140.04	108.9	145.02	204.07	236.21	202.66	183.82	221.86	63.89	67.12	89.51	89.51	125.24	119.26	612.11
EP400	177.53	229.72	267.73	100.13	190.34	134.3	183.82	105.89	307.69	281.09	208.38	237.86	215.77	260.38	138.1	70.01	67.12	69.52	54.33	68.07	59.97	36.53	78.34	158.79	136.19	94.01	148.09	142.01	40.64	16.51	36.79	36.79	68.55	75.11	392.44
FAM120B	507.46	638.15	493.56	267.73	567.1	312.0	301.33	217.27	334.46	457.25	400.71	379.04	397.93	406.31	301.33	157.68	157.68	231.32	156.59	205.5	189.02	158.79	202.66	234.57	265.87	251.48	158.79	305.55	108.14	127.0	146.03	146.03	122.64	181.28	579.04
FAM13B	780.44	426.57	633.73	441.64	612.11	366.09	480.04	339.14	409.15	507.46	358.54	332.14	273.37	334.46	194.36	58.71	40.64	38.95	26.86	44.57	42.11	21.01	140.04	325.29	346.29	221.86	81.14	346.29	54.33	21.16	93.35	93.35	120.1	49.56	563.18
FAM185A	232.94	198.47	242.88	262.2	318.57	182.55	157.68	256.78	287.01	150.17	248.0	131.51	214.27	248.0	293.07	75.64	85.82	115.16	89.51	64.8	99.43	120.1	89.51	177.53	249.73	85.22	125.24	275.28	149.12	133.36	124.37	124.37	112.77	109.66	218.79
FAM208A	1498.22	1857.6	2502.97	2018.8	2627.46	802.41	921.88	1216.75	1216.75	1008.9	1059.11	1096.5	1159.07	1277.29	1322.37	358.54	242.88	312.0	223.41	279.14	273.37	75.11	583.07	967.76	1594.73	688.78	470.14	1674.06	603.67	237.86	486.75	486.75	438.59	447.82	1313.23
FAM73A	309.83	204.07	476.71	441.64	417.77	221.86	149.12	234.57	241.19	246.28	194.36	176.29	185.11	161.02	195.72	38.4	17.9	53.57	31.45	33.78	28.65	27.64	67.12	511.0	420.68	62.56	126.12	332.14	78.89	34.26	75.11	75.11	47.17	42.71	244.57
GAPVD1	1111.82	733.19	1037.29	902.89	961.07	698.41	728.11	587.13	884.29	830.75	854.13	723.08	713.11	884.29	674.59	72.01	70.01	48.52	75.11	64.8	61.25	65.26	148.09	567.1	612.11	186.4	234.57	854.13	80.01	65.72	186.4	186.4	105.89	114.36	866.07
GTF3C4	406.31	532.74	575.03	293.07	387.02	248.0	178.77	232.94	265.87	323.03	258.57	186.4	151.22	165.57	251.48	45.53	37.32	34.75	26.1	36.53	50.27	36.01	70.01	113.56	130.6	83.45	105.89	275.28	84.63	72.01	110.43	110.43	77.79	94.01	412.0
HIPK1	638.15	728.11	842.36	307.69	684.02	698.41	551.56	356.05	521.76	651.58	633.73	532.74	500.46	497.0	514.56	171.45	119.26	175.07	118.43	139.07	127.0	161.02	295.11	599.49	473.41	376.41	299.25	432.53	132.44	75.64	129.69	129.69	190.34	171.45	1769.57
HIST1H1E	6935.54	15715.58	14361.31	20310.37	12329.98	26614.89	29531.18	34396.12	22072.07	32092.64	20170.07	30151.71	32315.87	28723.62	34876.28	22.26	13.42	14.56	4.7	8.85	8.13	3.99	20.56	25005.23	23492.92	11.38	17.77	20593.91	39.79	12.83	142.01	142.01	47.5	26.1	17437.64
HIST1H2BG	9215.48	14461.21	11112.3	780.44	8191.0	49666.0	37639.55	45386.27	20881.4	9606.86	41763.8	22535.88	36610.26	35856.82	41763.8	53.57	34.02	7.75	17.0	28.04	37.05	15.68	211.31	4095.0	35609.13	61.25	109.66	16269.83	232.94	567.1	483.38	483.38	339.14	11.04	14163.58
HIST1H4J	19892.37	42054.3	18560.17	30361.44	14561.8	13681.08	161367.56	187950.38	52135.28	70238.75	25530.66	104996.83	70238.75	85283.74	158046.64	198.47	656.11	2119.22	693.58	1467.37	961.07	127.0	1191.69	31650.8	41475.31	493.56	297.17	36357.37	536.45	1388.16	2875.3	2875.3	3349.13	157.68	31650.8
IFT80	543.96	995.0	567.1	587.13	674.59	441.64	447.82	669.92	624.99	466.88	532.74	583.07	381.68	854.13	444.72	111.99	63.89	53.95	73.54	49.91	35.0	9.78	241.19	381.68	384.34	307.69	242.88	679.29	149.12	178.77	420.68	420.68	285.03	165.57	1277.29
IFT81	358.54	403.5	514.56	466.88	320.8	432.53	289.02	387.02	551.56	543.96	470.14	312.0	318.57	414.87	307.69	44.57	63.45	75.11	61.25	55.1	38.4	9.93	124.37	305.55	320.8	129.69	289.02	255.0	131.51	58.3	89.51	89.51	242.88	141.02	909.17
IREB2	665.29	1909.85	896.64	500.46	595.34	503.95	403.5	307.69	629.35	559.28	698.41	460.44	305.55	486.75	480.04	133.36	106.63	149.12	90.77	124.37	152.28	115.16	162.14	334.46	435.55	205.5	387.02	616.37	145.02	72.52	202.66	202.66	239.52	264.03	775.05
KAT6B	420.68	246.28	825.0	269.6	376.41	271.48	165.57	186.4	220.32	283.05	366.09	159.9	90.14	182.55	108.9	41.81	29.06	34.02	23.42	29.91	41.52	32.13	58.71	107.38	87.65	78.34	63.89	145.02	26.1	12.93	37.05	37.05	54.33	32.13	353.59
KIAA0556	460.44	234.57	1143.1	480.04	796.86	279.14	293.07	309.83	620.67	314.17	312.0	366.09	334.46	483.38	314.17	87.03	59.13	87.03	39.5	88.88	65.72	32.36	90.77	363.56	198.47	120.94	116.78	381.68	69.03	34.26	56.28	56.28	53.19	72.01	1135.2
KIAA0753	262.2	638.15	366.09	457.25	248.0	343.89	264.03	158.79	314.17	312.0	287.01	403.5	166.73	327.56	157.68	42.71	41.52	44.89	34.26	22.92	73.54	17.9	84.04	206.94	175.07	88.26	105.15	351.14	74.58	37.59	79.45	79.45	110.43	123.5	555.41
KIAA1009	309.83	242.88	309.83	211.31	157.68	181.28	180.02	142.01	190.34	159.9	154.42	275.28	162.14	244.57	146.03	28.24	51.71	41.81	12.36	46.5	30.78	3.41	57.08	89.51	143.01	64.34	61.68	53.57	14.03	6.94	75.11	75.11	88.88	64.34	511.0
KIAA1107	77.25	34.75	158.79	102.97	127.0	44.25	49.21	135.24	147.06	87.03	56.68	129.69	80.01	74.06	117.6	11.55	5.06	8.0	8.92	13.32	7.22	1.27	28.04	85.82	77.79	16.27	16.51	92.7	14.03	3.32	29.91	29.91	20.26	19.53	79.45
KIF27	205.5	223.41	275.28	163.28	202.66	236.21	175.07	214.27	293.07	159.9	228.13	181.28	145.02	177.53	223.41	18.29	37.59	15.22	15.34	11.38	15.91	2.16	40.07	84.04	148.09	22.26	25.91	182.55	14.56	8.78	27.25	27.25	21.63	35.76	743.43
KIF3A	241.19	140.04	224.97	346.29	281.09	281.09	249.73	108.14	248.0	265.87	314.17	148.09	244.57	239.52	154.42	27.64	25.72	35.5	22.75	21.94	13.52	9.13	52.82	143.01	127.0	63.89	63.45	231.32	21.01	24.63	29.7	29.7	33.78	84.04	480.04
KLHL28	371.22	214.27	387.02	251.48	387.02	237.86	136.19	135.24	95.34	231.32	264.03	130.6	108.9	229.72	153.34	40.07	22.43	28.24	24.81	18.16	43.63	22.43	127.0	127.0	397.93	96.01	72.01	214.27	56.28	87.65	59.13	59.13	85.82	59.97	283.05
LATS1	679.29	503.95	665.29	128.79	361.04	303.44	218.79	143.01	283.05	381.68	323.03	297.17	193.01	275.28	212.78	60.82	41.81	45.53	44.57	31.0	55.89	43.02	100.83	149.12	183.82	115.16	84.04	241.19	77.25	69.03	92.7	92.7	106.63	77.79	366.09
LIN54	293.07	229.72	303.44	309.83	232.94	187.71	128.79	142.01	180.02	256.78	201.25	153.34	237.86	171.45	199.85	52.08	46.84	38.12	49.91	19.82	47.5	22.26	72.01	264.03	226.54	87.03	79.45	234.57	78.34	57.08	57.89	57.89	115.97	67.12	275.28
LMLN	267.73	189.02	289.02	167.9	264.03	102.97	69.03	102.97	121.79	115.97	237.86	138.1	66.18	150.17	94.67	11.55	9.63	11.82	8.38	12.09	13.93	7.57	38.12	171.45	72.01	38.67	58.3	239.52	31.0	24.81	59.55	59.55	8.92	46.84	260.38
LRRC8B	187.71	211.31	309.83	198.47	171.45	260.38	150.17	158.79	239.52	224.97	384.34	119.26	128.79	141.02	173.85	38.95	18.84	35.5	13.93	18.56	27.64	14.03	102.25	256.78	285.03	92.7	122.64	273.37	79.45	49.56	148.09	148.09	81.14	73.54	376.41
MCM9	567.1	279.14	733.19	169.07	361.04	253.23	265.87	341.51	293.07	329.84	291.04	236.21	343.89	376.41	273.37	47.84	44.89	45.85	35.76	60.39	56.28	36.79	107.38	246.28	232.94	133.36	96.68	154.42	82.87	61.25	162.14	162.14	150.17	85.82	507.46
MTF1	96.01	81.71	167.9	125.24	132.44	154.42	74.58	57.08	95.34	110.43	170.25	89.51	90.14	98.04	94.67	30.12	28.04	21.94	31.67	27.84	39.22	13.62	45.21	131.51	71.5	63.45	55.49	59.97	29.27	55.1	36.01	36.01	29.06	39.5	260.38
MTX3	567.1	4095.0	490.14	412.0	389.72	181.28	133.36	65.72	195.72	201.25	41.81	154.42	85.82	161.02	145.02	12.93	5.59	7.94	6.26	12.27	6.06	4.7	27.25	157.68	163.28	22.92	32.59	368.65	16.88	18.84	20.56	20.56	21.32	25.91	320.8
NEK1	256.78	332.14	221.86	177.53	265.87	140.04	92.05	138.1	144.01	165.57	115.97	126.12	48.52	100.83	128.79	23.93	21.32	31.0	25.35	21.47	35.5	19.53	58.71	154.42	85.82	77.79	52.82	111.99	36.01	27.44	21.47	21.47	45.21	36.53	400.71
NEK4	426.57	603.67	559.28	514.56	629.35	595.34	420.68	463.65	497.0	470.14	563.18	339.14	441.64	426.57	441.64	146.03	79.45	111.21	65.26	141.02	131.51	69.03	146.03	432.53	293.07	154.42	171.45	361.04	100.83	12.0	105.15	105.15	126.12	198.47	954.43
NPAT	406.31	327.56	303.44	201.25	309.83	231.32	185.11	260.38	269.6	293.07	262.2	183.82	158.79	248.0	215.77	64.8	26.67	23.42	31.22	36.01	37.32	12.64	98.73	253.23	289.02	141.02	108.9	183.82	57.08	54.33	102.25	102.25	85.82	64.34	291.04
PDS5A	1651.0	1781.89	1923.14	1259.69	1167.14	1104.13	638.15	830.75	1119.56	947.83	1259.69	769.69	884.29	764.36	703.28	312.0	236.21	253.23	199.85	215.77	275.28	157.68	447.82	1037.29	1313.23	447.82	607.87	1322.37	432.53	246.28	327.56	327.56	647.07	409.15	1259.69
PHIP	1167.14	679.29	1096.5	743.43	620.67	497.0	521.76	387.02	532.74	688.78	563.18	575.03	460.44	718.08	518.15	47.5	46.5	50.98	15.68	48.52	49.91	9.63	97.36	376.41	447.82	128.79	183.82	575.03	48.87	34.51	165.57	165.57	98.73	80.01	860.08
PIKFYVE	525.39	463.65	483.38	307.69	363.56	183.82	285.03	206.94	476.71	361.04	323.03	353.59	251.48	454.09	301.33	51.71	35.0	46.5	33.06	30.56	43.02	28.86	78.34	271.48	234.57	104.42	103.69	281.09	41.52	18.56	44.89	44.89	131.51	48.52	329.84
PPP4R2	967.76	1561.89	1519.15	1605.83	1709.26	1023.0	775.05	902.89	802.41	915.51	1242.34	698.41	764.36	1044.52	1023.0	563.18	258.57	575.03	366.09	267.73	379.04	214.27	412.0	988.12	1950.0	423.61	429.54	921.88	420.68	400.71	197.09	197.09	571.05	400.71	1151.06
PRR14L	713.11	665.29	884.29	341.51	409.15	490.14	363.56	297.17	591.22	540.19	656.11	343.89	253.23	511.0	339.14	129.69	104.42	143.01	94.01	115.97	118.43	65.72	96.68	353.59	275.28	129.69	106.63	241.19	47.17	67.59	104.42	104.42	81.71	83.45	633.73
PSD3	591.22	536.45	1950.0	435.55	587.13	320.8	281.09	167.9	209.84	486.75	143.01	253.23	105.15	397.93	150.17	52.08	62.12	47.5	56.68	36.79	60.82	85.82	66.65	466.88	373.81	77.79	36.79	665.29	59.55	33.06	67.12	67.12	14.14	36.01	503.95
PTPN4	575.03	316.37	457.25	450.94	316.37	384.34	379.04	403.5	348.71	312.0	612.11	412.0	262.2	460.44	381.68	105.89	37.59	98.73	72.52	45.53	81.71	32.82	139.07	115.97	395.18	136.19	224.97	371.22	100.13	65.72	163.28	163.28	153.34	140.04	563.18
REST	1233.75	1044.52	947.83	679.29	1037.29	426.57	320.8	392.44	379.04	669.92	444.72	587.13	361.04	480.04	616.37	65.72	59.13	64.8	56.68	47.17	73.54	28.65	123.5	397.93	371.22	155.5	155.5	420.68	73.54	82.87	102.25	102.25	249.73	102.97	872.1
SCAI	221.86	92.05	185.11	132.44	170.25	130.6	127.0	197.09	171.45	139.07	193.01	114.36	88.26	96.68	162.14	13.03	14.67	9.13	8.38	13.72	12.83	7.34	38.12	76.71	167.9	30.78	38.4	178.77	24.28	32.59	79.45	79.45	58.71	48.52	115.97
STXBP4	223.41	312.0	232.94	197.09	229.72	320.8	69.52	118.43	190.34	193.01	279.14	212.78	46.5	197.09	214.27	16.39	8.51	10.55	17.64	25.91	9.85	5.19	49.91	94.01	130.6	40.07	40.93	181.28	39.79	33.06	74.58	74.58	111.21	21.94	323.03
TBC1D19	473.41	336.79	351.14	248.0	332.14	166.73	142.01	208.38	258.57	559.28	112.77	212.78	34.26	246.28	165.57	23.93	17.77	30.34	15.22	23.08	30.34	31.45	74.06	124.37	231.32	57.89	49.21	267.73	97.36	56.28	70.01	70.01	38.12	144.01	297.17
TBC1D32	323.03	753.83	426.57	111.21	267.73	58.71	57.49	193.01	248.0	148.09	158.79	157.68	54.72	180.02	150.17	8.65	4.74	9.27	9.48	7.69	6.62	3.23	39.22	152.28	221.86	32.13	19.82	123.5	24.11	36.79	43.02	43.02	43.32	43.32	301.33
TCF12	872.1	2178.83	1313.23	866.07	1127.35	665.29	698.41	441.64	665.29	872.1	536.45	878.17	595.34	947.83	866.07	195.72	120.1	163.28	141.02	127.89	181.28	87.03	450.94	518.15	450.94	426.57	285.03	587.13	223.41	162.14	208.38	208.38	314.17	373.81	1304.15
TMED8	307.69	334.46	395.18	361.04	348.71	199.85	164.42	141.02	129.69	194.36	271.48	135.24	127.89	273.37	189.02	28.65	31.9	27.44	19.97	22.59	32.13	23.93	78.34	172.65	181.28	123.5	81.14	187.71	59.13	43.32	53.57	53.57	32.82	47.84	229.72
TMEM260	429.54	195.72	429.54	267.73	412.0	291.04	323.03	361.04	277.2	231.32	450.94	387.02	248.0	555.41	358.54	100.83	102.25	112.77	71.5	118.43	104.42	57.49	163.28	135.24	473.41	177.53	138.1	232.94	95.34	105.89	159.9	159.9	157.68	234.57	551.56
TNKS	624.99	379.04	748.61	193.01	511.0	287.01	293.07	169.07	260.38	281.09	320.8	348.71	189.02	309.83	194.36	59.97	64.8	66.18	54.72	57.89	58.3	47.5	67.59	123.5	264.03	105.15	90.77	301.33	49.91	38.95	81.14	81.14	114.36	105.89	514.56
TP53BP1	954.43	1529.73	1467.37	559.28	1268.46	620.67	854.13	525.39	698.41	954.43	511.0	872.1	633.73	860.08	796.86	130.6	111.99	143.01	89.51	102.97	102.97	73.03	234.57	595.34	728.11	228.13	205.5	1073.91	117.6	117.6	155.5	155.5	226.54	376.41	1721.16
TTC21B	934.76	703.28	769.69	314.17	379.04	371.22	318.57	397.93	480.04	273.37	403.5	389.72	231.32	346.29	332.14	61.68	52.82	105.89	38.67	43.94	71.5	45.53	94.67	153.34	301.33	116.78	140.04	329.84	49.91	24.11	145.02	145.02	109.66	106.63	860.08
TTLL5	518.15	312.0	563.18	361.04	591.22	563.18	291.04	267.73	366.09	423.61	447.82	323.03	241.19	579.04	229.72	137.14	120.94	145.02	87.65	104.42	129.69	90.77	123.5	205.5	269.6	260.38	105.15	165.57	106.63	132.44	102.25	102.25	96.01	226.54	954.43
TUBGCP5	229.72	400.71	314.17	241.19	450.94	387.02	361.04	205.5	291.04	361.04	409.15	199.85	165.57	249.73	358.54	110.43	59.55	121.79	83.45	69.52	90.14	68.07	120.1	287.01	323.03	147.06	90.77	258.57	89.51	85.22	80.57	80.57	82.29	153.34	341.51
UBR1	563.18	713.11	647.07	454.09	480.04	323.03	368.65	215.77	279.14	486.75	231.32	329.84	199.85	490.14	258.57	62.56	37.59	47.17	51.71	44.25	44.57	39.79	92.7	301.33	432.53	110.43	107.38	483.38	65.26	47.5	71.0	71.0	153.34	87.65	392.44
UHRF1BP1L	1250.98	679.29	1183.45	547.75	620.67	312.0	316.37	281.09	325.29	426.57	470.14	211.31	199.85	234.57	224.97	197.09	189.02	139.07	162.14	122.64	131.51	83.45	152.28	323.03	536.45	126.12	164.42	346.29	166.73	118.43	131.51	131.51	201.25	142.01	414.87
WDFY3	1378.57	921.88	1295.13	718.08	1001.93	351.14	420.68	476.71	915.51	830.75	507.46	567.1	228.13	921.88	629.35	56.28	38.12	52.45	46.18	34.02	38.95	40.36	106.63	693.58	624.99	128.79	127.89	1119.56	107.38	51.71	58.71	58.71	62.56	105.89	1037.29
ZBTB34	189.02	356.05	165.57	136.19	195.72	76.17	100.83	105.15	126.12	130.6	80.01	120.1	71.5	138.1	91.41	27.05	21.78	24.11	19.82	27.44	23.25	14.67	49.91	81.71	72.01	69.03	53.19	115.97	25.54	15.56	37.05	37.05	40.07	36.53	120.94
ZNF268	395.18	381.68	423.61	587.13	529.06	34.51	289.02	269.6	251.48	260.38	412.0	129.69	172.65	205.5	244.57	76.71	126.12	109.66	62.12	90.77	70.51	30.78	180.02	325.29	351.14	130.6	248.0	503.95	237.86	84.04	72.52	72.52	130.6	81.14	460.44
ZNF585B	466.88	435.55	540.19	256.78	480.04	113.56	277.2	356.05	395.18	289.02	262.2	334.46	151.22	312.0	371.22	42.11	30.78	12.18	27.05	35.25	21.32	16.63	73.03	204.07	348.71	75.11	109.66	363.56	103.69	4.78	100.83	100.83	166.73	52.82	260.38
ZNF701	361.04	175.07	376.41	180.02	341.51	211.31	198.47	145.02	199.85	157.68	98.73	133.36	103.69	187.71	175.07	8.38	9.93	3.59	10.88	3.82	8.58	3.82	86.43	129.69	201.25	116.78	54.33	312.0	91.41	5.32	48.18	48.18	165.57	32.82	226.54
ZNF717	239.52	218.79	283.05	197.09	387.02	169.07	150.17	217.27	264.03	148.09	178.77	187.71	155.5	199.85	206.94	55.49	32.36	41.52	55.1	21.01	65.26	78.34	79.45	103.69	239.52	87.65	97.36	190.34	122.64	5.54	16.27	16.27	37.59	84.63	218.79
