	TCGA.BH.A0BO.01A.23R.A12D.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A1LE.01A.12R.A19W.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.W5X1.2326.SM.3GIL6	GTEX.131YS.0626.SM.5EGKL	GTEX.11EMC.2026.SM.5A5JV	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.55.7815.01A.11R.2170.07	GTEX.13NYC.2626.SM.5K7VN
BTBD6	954.43	1313.23	607.87	1447.15	1199.98	961.07	947.83	813.63	1191.69	780.44	1697.45	921.88	1350.18	1628.26	1487.87	780.44	476.71	525.39	961.07	775.05	1044.52	872.1	693.58	764.36	1457.23	629.35	1662.49
C11orf83	141.02	463.65	94.01	376.41	376.41	249.73	299.25	170.25	318.57	153.34	454.09	500.46	281.09	343.89	764.36	63.0	63.0	39.5	115.97	36.27	206.94	122.64	54.33	111.21	334.46	23.76	239.52
C19orf24	1066.48	4010.71	764.36	1417.35	4736.79	1167.14	2271.4	616.37	1977.24	796.86	2502.97	1605.83	1950.0	2133.97	3443.31	583.07	363.56	476.71	679.29	249.73	796.86	733.19	289.02	620.67	1733.13	89.51	688.78
C19orf25	358.54	808.0	246.28	813.63	1127.35	521.76	387.02	291.04	647.07	381.68	1417.35	334.46	830.75	802.41	928.3	211.31	170.25	134.3	420.68	153.34	540.19	480.04	157.68	486.75	769.69	53.57	463.65
C1orf86	713.11	2434.5	438.59	1487.87	1950.0	981.29	1487.87	454.09	1745.2	511.0	1781.89	713.11	1225.22	1769.57	3280.18	387.02	299.25	249.73	361.04	84.63	764.36	563.18	166.73	536.45	1369.04	141.02	698.41
C7orf50	1104.13	1806.78	412.0	3081.75	3639.7	1388.16	1923.14	909.17	2193.99	1175.27	4419.52	1697.45	1963.57	2664.15	4607.24	525.39	358.54	432.53	1015.93	583.07	1551.09	1199.98	514.56	1023.0	1781.89	145.02	974.5
C9orf142	808.0	4095.0	323.03	2061.24	5366.37	902.89	1417.35	507.46	2004.85	1286.18	3372.43	1477.58	921.88	1896.65	3820.7	435.55	241.19	117.6	748.61	291.04	1088.92	878.17	303.44	995.0	1857.6	126.12	1199.98
C9orf16	1242.34	3955.48	1159.07	2178.83	5913.33	1388.16	1896.65	909.17	2119.22	1487.87	3928.15	3639.7	1870.53	3349.13	6121.9	866.07	693.58	785.88	743.43	571.05	1350.18	1143.1	708.18	802.41	3443.31	206.94	1268.46
CAPG	4066.71	10659.59	1870.53	5517.27	12764.83	4671.57	8718.32	2573.36	7081.29	4210.15	9215.48	8078.22	7433.4	8479.89	16727.26	3372.43	1331.57	1617.0	3349.13	490.14	6561.36	5076.84	1950.0	5403.7	5872.48	2104.58	3146.52
CCM2	612.11	1268.46	412.0	981.29	2240.11	532.74	1769.57	429.54	848.22	854.13	1508.65	669.92	884.29	753.83	1651.0	525.39	361.04	361.04	669.92	414.87	753.83	559.28	466.88	532.74	753.83	521.76	624.99
CDC34	928.3	2417.67	387.02	1378.57	4450.27	878.17	2104.58	934.76	1096.5	842.36	2739.08	1191.69	1096.5	1359.57	2303.12	387.02	358.54	291.04	854.13	255.0	791.35	738.29	684.02	890.44	1233.75	239.52	1233.75
CDK5	167.9	633.73	205.5	381.68	693.58	269.6	612.11	376.41	316.37	258.57	703.28	242.88	507.46	688.78	665.29	148.09	130.6	111.99	162.14	80.01	206.94	244.57	108.14	255.0	323.03	223.41	218.79
CLPP	974.5	2468.49	775.05	1143.1	2335.28	1417.35	1662.49	1143.1	1721.16	791.35	2485.67	1175.27	1857.6	1936.53	2739.08	780.44	543.96	395.18	660.68	476.71	988.12	854.13	518.15	769.69	1540.37	395.18	1991.0
COMTD1	175.07	1119.56	89.51	563.18	1662.49	202.66	587.13	140.04	500.46	503.95	1233.75	854.13	327.56	532.74	1883.54	90.14	77.79	58.3	90.14	12.09	201.25	116.78	37.59	136.19	429.54	43.94	480.04
COPE	2627.46	8078.22	1794.29	4419.52	9945.68	3716.2	5403.7	2976.74	5954.47	5112.16	7130.55	5594.3	5147.73	6840.04	7749.1	1529.73	981.29	1059.11	1605.83	651.58	2739.08	2468.49	1407.55	1745.2	4836.35	813.63	3614.55
DBNL	1540.37	2224.63	928.3	2133.97	3901.01	1457.23	2240.11	1023.0	1950.0	1639.59	2875.3	1350.18	2133.97	2335.28	3372.43	1208.34	848.22	902.89	836.53	703.28	1561.89	1008.9	967.76	1369.04	1662.49	693.58	1923.14
DNLZ	358.54	813.63	120.1	309.83	1745.2	260.38	429.54	154.42	460.44	579.04	660.68	503.95	642.59	441.64	878.17	112.77	86.43	80.01	88.88	127.0	206.94	255.0	186.4	167.9	591.22	55.49	454.09
EXOSC4	603.67	2758.13	392.44	764.36	1794.29	563.18	915.51	669.92	1008.9	743.43	1605.83	728.11	674.59	759.08	2224.63	271.48	231.32	122.64	373.81	77.25	426.57	429.54	185.11	305.55	819.3	65.26	728.11
FAM110A	314.17	1388.16	202.66	813.63	1936.53	620.67	463.65	638.15	921.88	656.11	1023.0	934.76	796.86	733.19	1674.06	215.77	156.59	143.01	381.68	85.82	414.87	432.53	267.73	753.83	447.82	132.44	363.56
FAM173A	417.77	1407.55	181.28	769.69	780.44	656.11	718.08	220.32	753.83	244.57	1457.23	507.46	934.76	1572.76	1208.34	170.25	78.89	55.1	135.24	32.13	444.72	348.71	56.28	318.57	587.13	15.0	329.84
FAM195A	275.28	1183.45	164.42	780.44	902.89	669.92	802.41	493.56	860.08	258.57	1250.98	698.41	872.1	1175.27	961.07	117.6	127.0	69.03	161.02	67.12	281.09	307.69	77.25	229.72	579.04	15.0	575.03
FAM3A	543.96	1697.45	497.0	947.83	1651.0	718.08	1286.18	353.59	915.51	540.19	1447.15	947.83	656.11	872.1	2240.11	423.61	361.04	297.17	743.43	336.79	1051.79	674.59	320.8	638.15	915.51	164.42	808.0
FAM89B	995.0	1950.0	660.68	1225.22	5219.6	1044.52	1806.78	559.28	974.5	1508.65	2193.99	1457.23	813.63	1350.18	2573.36	764.36	547.75	507.46	693.58	633.73	808.0	607.87	256.78	713.11	1561.89	171.45	1295.13
FBXW5	1023.0	2777.33	698.41	1819.35	2720.15	1066.48	2090.03	785.88	1709.26	813.63	2090.03	866.07	1135.2	1199.98	3124.78	674.59	529.06	457.25	708.18	400.71	909.17	616.37	486.75	703.28	1216.75	164.42	2758.13
GLTPD1	341.51	1295.13	255.0	718.08	743.43	500.46	733.19	325.29	633.73	336.79	808.0	432.53	571.05	878.17	1477.58	198.47	154.42	127.89	339.14	57.08	460.44	273.37	178.77	244.57	647.07	91.41	470.14
GPX1	4298.64	7966.99	2855.44	6207.38	8479.89	3690.52	3395.89	2047.0	4575.41	4095.0	8598.28	5633.22	7485.11	7081.29	8598.28	3794.3	1909.85	2758.13	2895.31	1923.14	3716.2	3235.01	2895.31	2664.15	9025.81	1709.26	4937.99
IMP4	1508.65	2148.82	995.0	1447.15	3212.66	1388.16	1378.57	1051.79	1832.01	1191.69	1923.14	1104.13	1806.78	2335.28	2555.58	647.07	669.92	525.39	808.0	796.86	1030.12	1008.9	624.99	830.75	1594.73	543.96	2758.13
JOSD2	318.57	2047.0	214.27	1015.93	1617.0	373.81	540.19	389.72	842.36	400.71	1697.45	420.68	995.0	780.44	3235.01	229.72	159.9	126.12	231.32	76.71	241.19	420.68	105.89	329.84	693.58	43.63	1088.92
LONP1	591.22	3146.52	435.55	1037.29	1883.54	961.07	2075.59	947.83	1286.18	599.49	1781.89	738.29	1242.34	1001.93	1794.29	384.34	236.21	191.67	660.68	320.8	796.86	764.36	500.46	791.35	381.68	301.33	1583.71
LYPLA2	1477.58	3060.45	791.35	1950.0	3665.02	1583.71	2816.11	1183.45	2104.58	1733.13	2720.15	2855.44	1896.65	1950.0	2682.69	759.08	567.1	547.75	860.08	301.33	981.29	1119.56	684.02	988.12	1529.73	532.74	1044.52
MARCH2	775.05	1295.13	429.54	1059.11	1388.16	624.99	769.69	389.72	934.76	842.36	1572.76	480.04	1359.57	1378.57	1304.15	660.68	314.17	563.18	483.38	493.56	633.73	656.11	748.61	638.15	1208.34	346.29	1030.12
MBD3	769.69	1806.78	441.64	1119.56	2287.2	708.18	1008.9	708.18	1111.82	392.44	1909.85	791.35	1015.93	1135.2	2664.15	438.59	301.33	223.41	616.37	189.02	791.35	616.37	297.17	447.82	1015.93	90.14	1806.78
MRPL41	493.56	3540.14	271.48	1721.16	2777.33	684.02	1208.34	334.46	1127.35	708.18	1572.76	780.44	1104.13	1909.85	3018.3	220.32	178.77	190.34	651.58	82.29	559.28	320.8	89.51	902.89	595.34	66.18	1096.5
MRPS34	1427.22	3820.7	718.08	2796.65	3540.14	2720.15	3395.89	2148.82	2997.45	1551.09	5006.93	4388.98	3443.31	4210.15	4543.8	743.43	395.18	336.79	1135.2	764.36	2119.22	1059.11	738.29	1388.16	2555.58	503.95	1832.01
MUCL1	506427.83	2216726.5	41475.31	736332.6	386469.83	919186.72	828417.36	602247.76	593956.43	1273174.62	524287.0	1255646.43	900270.11	985160.01	112.77	19482.97	26614.89	83528.61	294926.33	5751.61	887875.81	677564.08	492579.5	524287.0	1299926.74	0.0	9635979.21
NAPRT1	559.28	2163.77	441.64	1023.0	2032.85	848.22	1733.13	1066.48	2047.0	555.41	1151.06	854.13	896.64	1059.11	2255.7	124.37	132.44	158.79	371.22	76.17	848.22	45.21	231.32	118.43	1427.22	53.19	934.76
NDUFA3	2739.08	8901.53	2915.45	6607.01	10368.08	4419.52	7382.04	3190.46	5219.6	6381.92	9151.82	5872.48	10512.82	12329.98	10585.95	2303.12	2178.83	2303.12	2004.85	1350.18	4328.55	3303.0	1175.27	3325.99	5147.73	1369.04	8778.97
NDUFB11	1304.15	3395.89	1757.34	2502.97	3768.09	1923.14	3820.7	1208.34	2119.22	1977.24	3665.02	3257.52	2997.45	3190.46	4736.79	1225.22	1457.23	1088.92	1242.34	679.29	1870.53	1242.34	947.83	1127.35	3467.27	2367.9	4123.49
NDUFS8	1857.6	4543.8	1313.23	2976.74	5751.61	2104.58	4543.8	1721.16	3665.02	2417.67	5672.41	3491.39	3349.13	5366.37	6699.25	1183.45	728.11	796.86	1295.13	638.15	1733.13	1857.6	1001.93	1540.37	3419.52	769.69	6652.97
NMRAL1	819.3	2573.36	954.43	1617.0	2367.9	1781.89	2627.46	1277.29	1923.14	1191.69	4388.98	1674.06	1844.76	2384.37	2609.3	708.18	669.92	507.46	1001.93	435.55	1295.13	1225.22	703.28	1175.27	1340.84	343.89	389.72
NUBP2	656.11	2319.15	435.55	1605.83	2209.26	1417.35	1572.76	896.64	1639.59	718.08	3491.39	1059.11	1572.76	1639.59	2997.45	406.31	297.17	202.66	540.19	248.0	1199.98	769.69	208.38	813.63	1769.57	62.56	1508.65
PHPT1	1721.16	3515.68	1127.35	3716.2	4869.99	2645.74	2796.65	1359.57	3820.7	1674.06	4607.24	1216.75	2956.17	4937.99	5147.73	1088.92	718.08	698.41	1216.75	559.28	2367.9	1378.57	718.08	1844.76	1819.35	656.11	4152.18
PLEKHJ1	934.76	2701.35	470.14	1233.75	2720.15	624.99	981.29	759.08	1369.04	358.54	2351.53	1322.37	1001.93	1135.2	2645.74	486.75	368.65	248.0	713.11	387.02	796.86	642.59	301.33	633.73	1208.34	165.57	1127.35
POLR2E	2502.97	5517.27	1340.84	3190.46	5555.65	2682.69	6164.49	2193.99	3768.09	1378.57	3491.39	2075.59	3060.45	3564.78	4869.99	1572.76	842.36	915.51	1963.57	1183.45	2627.46	2400.97	1844.76	1950.0	2701.35	457.25	3564.78
POLRMT	669.92	1059.11	595.34	1030.12	1639.59	693.58	1350.18	587.13	1199.98	616.37	1617.0	529.06	1001.93	1322.37	1883.54	438.59	579.04	379.04	723.08	470.14	836.53	1127.35	480.04	1127.35	665.29	167.9	1268.46
PTRH1	387.02	884.29	112.77	361.04	1023.0	480.04	229.72	165.57	579.04	358.54	603.67	819.3	591.22	638.15	1135.2	140.04	57.49	95.34	157.68	55.1	208.38	237.86	45.21	256.78	397.93	27.44	543.96
R3HDM4	2434.5	2004.85	866.07	1350.18	3124.78	1096.5	2720.15	1135.2	2163.77	1628.26	2976.74	1551.09	1540.37	2163.77	2555.58	748.61	743.43	1322.37	1015.93	460.44	928.3	1268.46	1001.93	1277.29	1216.75	808.0	1936.53
RABAC1	1794.29	5292.48	1794.29	6516.03	5112.16	3349.13	3303.0	2682.69	4298.64	4066.71	9474.59	2701.35	7382.04	5791.62	8134.41	1295.13	995.0	1286.18	961.07	947.83	1832.01	1685.71	1159.07	1250.98	4419.52	860.08	1781.89
RABL6	902.89	2255.7	665.29	2104.58	4095.0	1088.92	1498.22	941.27	1498.22	884.29	1950.0	1111.82	1088.92	1572.76	2609.3	591.22	525.39	397.93	728.11	325.29	995.0	1096.5	229.72	872.1	896.64	559.28	2119.22
RNF126	981.29	1674.06	575.03	1143.1	1757.34	1001.93	1487.87	620.67	1331.57	612.11	1397.83	981.29	579.04	981.29	2163.77	406.31	457.25	305.55	457.25	234.57	848.22	674.59	271.48	819.3	665.29	66.65	1369.04
RNPEPL1	813.63	2400.97	620.67	1467.37	2609.3	947.83	1745.2	698.41	1674.06	1242.34	1651.0	1487.87	1175.27	1388.16	2591.27	669.92	381.68	361.04	708.18	543.96	743.43	866.07	525.39	629.35	1073.91	172.65	1015.93
SCAND1	733.19	4450.27	327.56	1819.35	1781.89	842.36	1769.57	591.22	1529.73	441.64	1769.57	1225.22	954.43	1709.26	5913.33	267.73	183.82	170.25	336.79	29.48	669.92	341.51	81.71	480.04	1268.46	88.88	1250.98
SCYL1	1191.69	2367.9	866.07	1844.76	3901.01	1119.56	1628.26	1143.1	1639.59	1498.22	2720.15	1757.34	1199.98	1277.29	2895.31	698.41	521.76	503.95	988.12	521.76	1059.11	1259.69	486.75	896.64	1508.65	373.81	1044.52
SLC2A8	320.8	884.29	205.5	435.55	902.89	329.84	297.17	231.32	376.41	231.32	497.0	518.15	395.18	599.49	547.75	215.77	161.02	172.65	287.01	84.04	540.19	473.41	141.02	297.17	429.54	84.04	444.72
SLX1A	190.34	1733.13	157.68	733.19	1268.46	371.22	2032.85	180.02	346.29	363.56	1936.53	802.41	612.11	486.75	1977.24	119.26	131.51	117.6	75.64	98.73	297.17	140.04	66.18	265.87	281.09	283.05	536.45
SSNA1	1059.11	2758.13	551.56	1745.2	5255.91	1950.0	2193.99	1015.93	2018.8	1519.15	2739.08	1467.37	1781.89	3257.52	4512.4	660.68	346.29	283.05	708.18	395.18	1044.52	1111.82	490.14	928.3	2855.44	165.57	1277.29
SSSCA1	1242.34	1417.35	642.59	1313.23	3639.7	1191.69	1208.34	651.58	1397.83	995.0	2148.82	1628.26	1397.83	1340.84	2240.11	571.05	543.96	441.64	775.05	507.46	1250.98	684.02	669.92	813.63	2240.11	161.02	1757.34
SURF2	412.0	1001.93	218.79	454.09	1369.04	525.39	642.59	312.0	591.22	363.56	703.28	497.0	514.56	733.19	1583.71	232.94	124.37	105.89	327.56	325.29	915.51	493.56	199.85	343.89	1001.93	172.65	723.08
TIMM13	1191.69	5219.6	674.59	1639.59	5872.48	1617.0	2287.2	1378.57	2609.3	1023.0	4481.23	2032.85	2351.53	2591.27	5366.37	612.11	381.68	251.48	1015.93	397.93	1044.52	934.76	493.56	748.61	2287.2	162.14	2609.3
TIMM17B	674.59	1594.73	563.18	791.35	2739.08	1167.14	2537.92	665.29	1397.83	1104.13	1883.54	1870.53	995.0	1295.13	2400.97	575.03	395.18	327.56	738.29	389.72	1216.75	1216.75	571.05	1208.34	1487.87	665.29	2240.11
TRAPPC5	1313.23	5147.73	1151.06	1794.29	6983.79	2119.22	3060.45	1119.56	2384.37	2451.44	3665.02	2090.03	2591.27	5403.7	6471.02	698.41	703.28	633.73	941.27	441.64	1844.76	981.29	599.49	1685.71	2627.46	151.22	2367.9
TSR3	872.1	1561.89	555.41	1023.0	1883.54	1378.57	1529.73	872.1	1340.84	819.3	2451.44	1242.34	1508.65	1088.92	3564.78	414.87	336.79	258.57	674.59	454.09	967.76	669.92	291.04	607.87	1151.06	197.09	995.0
TWF2	915.51	1819.35	480.04	1037.29	1709.26	961.07	1044.52	432.53	1250.98	1037.29	1819.35	2004.85	1277.29	1081.39	1781.89	743.43	397.93	403.5	642.59	392.44	854.13	780.44	497.0	583.07	921.88	239.52	1617.0
UBE2J2	1119.56	1685.71	660.68	1407.55	1583.71	1216.75	1135.2	878.17	1447.15	915.51	1628.26	1030.12	1127.35	1331.57	2255.7	769.69	703.28	647.07	860.08	363.56	830.75	848.22	309.83	775.05	1397.83	583.07	1208.34
UBTD1	412.0	796.86	98.04	392.44	607.87	353.59	551.56	193.01	441.64	256.78	884.29	205.5	363.56	507.46	1561.89	208.38	84.04	112.77	143.01	120.1	199.85	206.94	191.67	169.07	368.65	39.5	679.29
UQCR11	2976.74	8022.41	2468.49	4704.07	10440.2	4671.57	5954.47	2835.7	4239.45	2451.44	8022.41	3794.3	7331.05	10084.54	7180.15	3081.75	1781.89	2701.35	1936.53	1369.04	2835.7	3018.3	1397.83	2451.44	7749.1	3395.89	8840.04
WBSCR16	532.74	967.76	470.14	981.29	1167.14	708.18	1044.52	624.99	759.08	921.88	1015.93	909.17	988.12	775.05	896.64	426.57	312.0	287.01	713.11	607.87	830.75	525.39	356.05	559.28	708.18	669.92	1437.15
WDR18	426.57	1208.34	265.87	748.61	1407.55	483.38	1143.1	447.82	902.89	387.02	1127.35	591.22	866.07	896.64	1857.6	202.66	185.11	134.3	406.31	115.16	612.11	466.88	110.43	579.04	579.04	150.17	1127.35
ZMYND19	403.5	1127.35	277.2	612.11	1250.98	412.0	571.05	400.71	525.39	381.68	616.37	392.44	381.68	511.0	974.5	239.52	183.82	102.97	348.71	120.94	397.93	379.04	237.86	376.41	547.75	133.36	420.68
ZNF524	214.27	836.53	255.0	915.51	1044.52	417.77	607.87	157.68	708.18	414.87	961.07	486.75	551.56	543.96	2061.24	204.07	161.02	135.24	265.87	89.51	470.14	293.07	130.6	339.14	633.73	26.67	518.15
ZNHIT1	1159.07	2739.08	1051.79	2240.11	3235.01	1583.71	2451.44	1059.11	2178.83	1008.9	3257.52	2520.38	2720.15	3212.66	2997.45	915.51	733.19	830.75	915.51	743.43	1250.98	1081.39	743.43	890.44	2502.97	629.35	1757.34
