	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.GD.A2C5.11A.11R.A180.07	TCGA.BH.A1EN.01A.11R.A13Q.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.ZF29.1926.SM.5S2P1	TCGA.86.7955.01A.11R.2187.07	TCGA.05.4396.01A.21R.1858.07
CLOCK	126.12	82.29	103.69	129.69	132.44	92.7	129.69	129.69	152.28	125.24	141.02	334.46	466.88	253.23	299.25	297.17	389.72	346.29	241.19
CNOT6L	96.01	181.28	109.66	117.6	138.1	147.06	136.19	189.02	183.82	187.71	273.37	265.87	713.11	483.38	679.29	547.75	718.08	271.48	262.2
COPB1	708.18	1378.57	995.0	1447.15	1268.46	780.44	1295.13	1151.06	1322.37	1721.16	1561.89	1697.45	2555.58	1844.76	2004.85	2303.12	2367.9	1651.0	3540.14
CRIM1	316.37	759.08	353.59	74.06	1008.9	450.94	358.54	141.02	684.02	332.14	356.05	525.39	2004.85	1963.57	2935.74	2351.53	3349.13	684.02	743.43
CUL4B	246.28	463.65	371.22	305.55	412.0	256.78	289.02	356.05	332.14	470.14	493.56	723.08	1088.92	860.08	1183.45	974.5	1167.14	511.0	791.35
DDX6	180.02	336.79	269.6	251.48	397.93	132.44	232.94	251.48	312.0	483.38	406.31	791.35	1639.59	1304.15	1697.45	1628.26	1769.57	785.88	808.0
DET1	46.18	61.25	52.45	50.63	92.05	35.0	61.25	112.77	73.54	31.22	93.35	68.55	189.02	169.07	169.07	181.28	189.02	90.77	75.64
DLG5	224.97	620.67	457.25	476.71	316.37	256.78	189.02	309.83	412.0	808.0	466.88	902.89	825.0	995.0	651.58	1721.16	1870.53	2047.0	651.58
ECI2	738.29	775.05	178.77	255.0	343.89	497.0	921.88	444.72	256.78	791.35	1081.39	2573.36	2209.26	1233.75	1594.73	2224.63	1081.39	848.22	532.74
ELF2	113.56	241.19	332.14	275.28	381.68	244.57	409.15	490.14	220.32	366.09	384.34	395.18	1030.12	764.36	1023.0	896.64	1037.29	738.29	684.02
ERLIN1	226.54	567.1	265.87	665.29	327.56	163.28	217.27	305.55	356.05	540.19	329.84	684.02	674.59	728.11	791.35	791.35	651.58	307.69	543.96
FAM168A	57.49	167.9	139.07	133.36	176.29	82.87	96.68	108.9	148.09	234.57	432.53	251.48	591.22	718.08	802.41	698.41	1175.27	603.67	336.79
FAM175A	28.24	64.34	32.36	21.94	59.55	43.32	35.5	63.45	47.84	67.59	110.43	143.01	343.89	206.94	358.54	258.57	314.17	157.68	110.43
FAM175B	171.45	161.02	181.28	291.04	165.57	135.24	125.24	138.1	172.65	177.53	297.17	312.0	447.82	312.0	392.44	346.29	417.77	147.06	237.86
FBXL18	44.25	28.04	20.11	58.3	40.64	22.43	26.1	35.76	25.17	43.32	36.27	149.12	49.91	64.8	55.1	81.14	131.51	122.64	87.03
FKBP9	947.83	1594.73	595.34	624.99	947.83	559.28	612.11	733.19	902.89	890.44	1977.24	1487.87	1819.35	2287.2	1697.45	2163.77	1963.57	1769.57	2319.15
G3BP2	314.17	941.27	836.53	743.43	813.63	612.11	1167.14	780.44	1066.48	1167.14	1467.37	2032.85	2976.74	1794.29	1991.0	2090.03	2915.45	1561.89	1963.57
GATAD2B	118.43	64.34	98.04	130.6	138.1	88.26	112.77	131.51	133.36	130.6	161.02	226.54	346.29	314.17	409.15	339.14	314.17	183.82	236.21
GPD2	341.51	283.05	343.89	215.77	144.01	283.05	291.04	483.38	346.29	753.83	409.15	1498.22	688.78	603.67	688.78	651.58	785.88	693.58	612.11
GUCY1A3	31.9	16.63	4.62	17.13	95.34	24.81	65.72	9.41	40.93	8.92	60.39	91.41	624.99	1359.57	1447.15	1487.87	884.29	214.27	303.44
HERC3	88.88	389.72	96.68	139.07	204.07	105.15	253.23	275.28	318.57	406.31	287.01	295.11	638.15	1059.11	884.29	1551.09	660.68	483.38	575.03
KHNYN	368.65	450.94	748.61	575.03	532.74	384.34	312.0	271.48	612.11	603.67	543.96	723.08	836.53	796.86	934.76	819.3	1073.91	1023.0	775.05
KIAA1430	92.7	194.36	98.04	112.77	214.27	33.3	132.44	237.86	173.85	273.37	262.2	381.68	1199.98	733.19	974.5	769.69	1199.98	316.37	460.44
KIF5B	575.03	954.43	579.04	1487.87	723.08	738.29	575.03	616.37	848.22	1216.75	1529.73	2104.58	2739.08	1639.59	1685.71	1508.65	2664.15	1733.13	1883.54
KPNA6	273.37	312.0	215.77	279.14	316.37	198.47	373.81	248.0	351.14	371.22	389.72	358.54	713.11	532.74	514.56	500.46	607.87	417.77	607.87
LMBR1	395.18	400.71	185.11	532.74	412.0	283.05	334.46	395.18	486.75	361.04	406.31	1340.84	813.63	693.58	802.41	842.36	813.63	902.89	723.08
LRBA	193.01	759.08	759.08	567.1	656.11	497.0	808.0	486.75	753.83	860.08	967.76	780.44	1498.22	974.5	1286.18	1216.75	1175.27	785.88	974.5
MAPK1	356.05	660.68	412.0	825.0	603.67	460.44	368.65	624.99	583.07	819.3	872.1	1685.71	1457.23	1378.57	1806.78	1674.06	2335.28	1963.57	967.76
METTL14	75.64	120.1	135.24	92.7	137.14	69.52	204.07	136.19	149.12	228.13	293.07	201.25	599.49	409.15	543.96	444.72	612.11	253.23	228.13
MFSD8	92.05	133.36	221.86	108.14	220.32	212.78	150.17	172.65	164.42	228.13	181.28	212.78	361.04	220.32	264.03	232.94	353.59	273.37	242.88
MGAT5	148.09	154.42	139.07	334.46	101.54	74.58	229.72	79.45	139.07	212.78	358.54	514.56	381.68	480.04	529.06	529.06	507.46	248.0	305.55
MIB1	57.49	142.01	144.01	106.63	162.14	127.89	111.21	105.15	130.6	208.38	249.73	178.77	473.41	426.57	543.96	493.56	802.41	232.94	381.68
MKL2	45.53	142.01	80.57	97.36	145.02	48.52	75.64	68.55	78.89	133.36	156.59	167.9	954.43	624.99	934.76	961.07	915.51	229.72	152.28
MTM1	102.97	96.01	50.63	92.05	88.88	41.22	111.99	88.26	65.26	78.89	144.01	149.12	327.56	246.28	271.48	251.48	379.04	190.34	133.36
MTX3	16.51	23.25	13.32	27.64	52.08	5.68	29.27	23.08	32.36	45.53	32.59	116.78	260.38	170.25	248.0	190.34	583.07	48.18	60.82
NAA15	209.84	189.02	217.27	262.2	346.29	157.68	301.33	279.14	108.14	287.01	279.14	332.14	656.11	397.93	409.15	336.79	395.18	616.37	287.01
NCOA2	57.08	277.2	198.47	185.11	171.45	101.54	182.55	114.36	248.0	147.06	264.03	395.18	612.11	500.46	684.02	629.35	703.28	197.09	325.29
NEK1	23.25	117.6	42.41	45.85	84.04	30.34	76.71	40.36	70.01	71.0	132.44	53.95	231.32	226.54	229.72	211.31	177.53	55.49	110.43
NOA1	176.29	209.84	273.37	228.13	267.73	293.07	305.55	314.17	239.52	269.6	295.11	318.57	371.22	587.13	529.06	450.94	371.22	486.75	255.0
NOP9	343.89	150.17	195.72	258.57	186.4	139.07	232.94	100.83	162.14	178.77	260.38	329.84	346.29	392.44	426.57	406.31	473.41	381.68	287.01
OTUD4	128.79	205.5	194.36	217.27	275.28	100.83	197.09	260.38	193.01	198.47	293.07	339.14	642.59	551.56	642.59	476.71	518.15	444.72	260.38
PAPSS1	353.59	2434.5	684.02	718.08	616.37	426.57	921.88	825.0	890.44	1191.69	1407.55	1015.93	1685.71	1870.53	2255.7	2104.58	1551.09	698.41	836.53
PDGFC	27.84	181.28	11.82	40.07	131.51	37.05	101.54	76.17	248.0	130.6	242.88	176.29	647.07	884.29	902.89	954.43	896.64	320.8	318.57
PDLIM5	356.05	674.59	728.11	500.46	1001.93	301.33	301.33	356.05	813.63	551.56	684.02	1369.04	2335.28	1685.71	2004.85	1617.0	2075.59	4268.94	511.0
PDP1	189.02	281.09	134.3	83.45	107.38	78.34	195.72	148.09	120.1	154.42	460.44	287.01	698.41	493.56	688.78	334.46	1127.35	356.05	366.09
PDPK1	183.82	144.01	211.31	166.73	112.77	106.63	176.29	209.84	156.59	229.72	356.05	438.59	669.92	518.15	713.11	599.49	878.17	414.87	454.09
PHF3	78.34	206.94	186.4	181.28	211.31	127.89	147.06	199.85	251.48	265.87	279.14	454.09	1151.06	785.88	988.12	866.07	878.17	318.57	529.06
POLR3A	124.37	108.9	100.13	153.34	129.69	64.8	82.87	108.14	97.36	109.66	189.02	214.27	281.09	234.57	248.0	209.84	281.09	133.36	178.77
POLR3C	318.57	267.73	275.28	305.55	384.34	341.51	392.44	384.34	363.56	258.57	503.95	612.11	665.29	647.07	748.61	616.37	836.53	612.11	327.56
PUS7L	45.53	42.71	31.9	43.32	62.12	25.72	29.48	40.93	64.8	52.08	57.49	71.5	318.57	110.43	150.17	134.3	113.56	102.25	78.34
QSER1	108.14	127.0	127.89	94.67	102.25	69.03	66.18	145.02	111.21	149.12	138.1	612.11	395.18	389.72	432.53	366.09	339.14	244.57	157.68
RAB5B	343.89	2047.0	688.78	2090.03	1388.16	896.64	1159.07	1208.34	2758.13	2148.82	1427.22	1519.15	2701.35	2255.7	2645.74	2664.15	3124.78	1819.35	2573.36
RASEF	91.41	159.9	161.02	441.64	251.48	164.42	165.57	199.85	297.17	212.78	204.07	1268.46	759.08	486.75	698.41	579.04	423.61	209.84	500.46
RBM12	384.34	559.28	336.79	463.65	457.25	260.38	514.56	447.82	500.46	480.04	718.08	866.07	1127.35	1001.93	961.07	842.36	1208.34	872.1	684.02
RCAN3	111.21	172.65	223.41	187.71	206.94	127.0	130.6	162.14	323.03	312.0	265.87	208.38	423.61	285.03	406.31	323.03	441.64	316.37	249.73
REST	74.06	138.1	157.68	133.36	140.04	147.06	138.1	181.28	187.71	176.29	244.57	255.0	476.71	389.72	457.25	432.53	490.14	171.45	239.52
RGPD3	0.34	1.28	1.62	0.92	0.38	0.35	0.36	0.31	0.68	0.6	0.0	0.39	2.18	1.95	7.46	3.44	5.92	3.0	2.39
RLF	68.55	77.25	206.94	128.79	137.14	108.9	76.71	110.43	134.3	253.23	173.85	66.18	314.17	251.48	297.17	255.0	249.73	129.69	141.02
RNF115	229.72	231.32	104.42	197.09	232.94	155.5	220.32	205.5	183.82	212.78	293.07	486.75	738.29	473.41	483.38	587.13	718.08	669.92	450.94
RNF138	144.01	107.38	93.35	105.89	194.36	153.34	123.5	277.2	161.02	217.27	423.61	224.97	583.07	579.04	555.41	441.64	723.08	460.44	529.06
RSBN1	36.53	50.27	95.34	79.45	112.77	63.0	95.34	141.02	108.9	171.45	144.01	101.54	320.8	314.17	358.54	358.54	361.04	101.54	159.9
S100P	174152.51	307450.64	176583.6	215898.44	137587.47	179048.63	204252.32	1131651.83	201440.3	241220.67	189257.69	194578.47	476.71	35.76	33.78	64.34	329.84	229795.93	110983.6
SCARB2	679.29	1832.01	638.15	1259.69	1286.18	1277.29	1617.0	1167.14	1909.85	2351.53	2119.22	2816.11	3742.05	2816.11	3146.52	3820.7	4481.23	3395.89	2875.3
SDAD1	323.03	303.44	316.37	371.22	547.75	351.14	441.64	521.76	514.56	406.31	563.18	603.67	854.13	674.59	813.63	769.69	813.63	988.12	703.28
SEC24A	143.01	162.14	75.64	183.82	231.32	77.25	135.24	142.01	165.57	234.57	151.22	693.58	480.04	327.56	281.09	305.55	470.14	361.04	392.44
SEC24B	142.01	205.5	229.72	218.79	316.37	151.22	229.72	327.56	327.56	351.14	305.55	400.71	791.35	603.67	698.41	620.67	624.99	450.94	555.41
SERPINE3	5.45	10.16	9.63	5.45	7.11	2.97	6.84	11.3	14.67	6.41	21.47	17.0	18.7	33.3	28.45	28.65	35.0	14.89	22.43
SETD7	253.23	229.72	115.97	305.55	327.56	95.34	229.72	194.36	166.73	155.5	400.71	1001.93	1096.5	961.07	947.83	1015.93	1175.27	836.53	629.35
SH3PXD2A	47.17	127.0	253.23	297.17	239.52	75.11	58.3	133.36	218.79	403.5	242.88	587.13	409.15	583.07	403.5	463.65	353.59	68.07	466.88
SLAIN2	417.77	791.35	579.04	961.07	785.88	397.93	698.41	473.41	587.13	1073.91	825.0	1151.06	1286.18	1104.13	1059.11	1183.45	1769.57	1322.37	1340.84
SLC9B2	65.72	38.95	8.85	29.27	31.9	17.51	30.34	16.63	28.24	8.32	55.1	42.41	149.12	145.02	183.82	152.28	223.41	111.99	34.75
SNX19	323.03	379.04	221.86	87.65	193.01	165.57	237.86	194.36	323.03	361.04	406.31	463.65	878.17	684.02	693.58	753.83	2255.7	693.58	1159.07
SP4	9.7	28.24	12.36	26.28	33.06	25.35	21.63	31.22	17.13	42.41	82.87	45.53	149.12	137.14	146.03	129.69	182.55	69.03	62.12
SPECC1L	122.64	189.02	97.36	264.03	185.11	226.54	132.44	112.77	186.4	100.83	241.19	629.35	571.05	624.99	688.78	713.11	693.58	392.44	295.11
SPRED1	45.85	30.34	57.08	44.57	71.5	21.47	49.21	228.13	84.63	175.07	143.01	371.22	518.15	518.15	612.11	397.93	262.2	75.11	229.72
TAB2	356.05	651.58	379.04	642.59	629.35	371.22	563.18	587.13	1008.9	775.05	688.78	866.07	1437.15	1331.57	1397.83	1340.84	1963.57	587.13	1037.29
TADA2B	239.52	190.34	178.77	186.4	223.41	220.32	241.19	176.29	223.41	497.0	318.57	457.25	450.94	470.14	525.39	579.04	836.53	406.31	397.93
TBC1D5	120.94	361.04	133.36	397.93	229.72	157.68	339.14	260.38	255.0	205.5	392.44	309.83	728.11	665.29	836.53	698.41	860.08	275.28	514.56
TCF12	258.57	323.03	232.94	262.2	309.83	256.78	260.38	476.71	417.77	466.88	616.37	559.28	1104.13	1088.92	1104.13	1066.48	988.12	457.25	708.18
TEAD1	43.63	163.28	101.54	80.57	170.25	54.72	72.52	94.67	113.56	182.55	195.72	193.01	660.68	629.35	612.11	525.39	791.35	217.27	201.25
THAP6	72.52	120.1	92.7	81.71	176.29	92.7	110.43	105.89	144.01	158.79	117.6	312.0	525.39	356.05	441.64	420.68	476.71	346.29	214.27
TMEM184C	100.83	279.14	169.07	279.14	262.2	131.51	223.41	314.17	273.37	366.09	466.88	460.44	551.56	532.74	555.41	536.45	988.12	497.0	476.71
TNRC6C	9.41	59.97	16.63	39.79	23.59	20.41	31.22	23.42	49.21	13.83	52.82	80.01	273.37	189.02	237.86	226.54	212.78	50.98	57.89
TP53BP2	150.17	256.78	253.23	234.57	156.59	182.55	241.19	220.32	301.33	392.44	366.09	384.34	583.07	400.71	483.38	435.55	633.73	269.6	514.56
TTC3	267.73	819.3	802.41	684.02	1277.29	447.82	813.63	312.0	733.19	423.61	1037.29	2032.85	2664.15	2209.26	2609.3	2720.15	1936.53	954.43	967.76
TTC37	104.42	334.46	327.56	258.57	500.46	193.01	239.52	258.57	361.04	532.74	346.29	775.05	1159.07	981.29	1088.92	1008.9	1477.58	329.84	316.37
UBN1	426.57	325.29	209.84	299.25	277.2	153.34	397.93	343.89	301.33	277.2	371.22	429.54	567.1	521.76	532.74	511.0	796.86	718.08	361.04
UHRF1BP1L	72.52	217.27	53.57	110.43	136.19	133.36	167.9	80.57	123.5	177.53	127.0	275.28	309.83	287.01	353.59	299.25	299.25	246.28	336.79
USP38	76.71	128.79	81.14	115.16	142.01	71.0	150.17	146.03	112.77	140.04	231.32	363.56	423.61	295.11	297.17	289.02	466.88	297.17	395.18
VEZF1	97.36	521.76	223.41	339.14	454.09	269.6	307.69	540.19	438.59	334.46	974.5	896.64	2090.03	1295.13	1457.23	1437.15	2255.7	563.18	547.75
WDFY3	107.38	232.94	248.0	255.0	231.32	161.02	211.31	201.25	256.78	366.09	358.54	269.6	647.07	551.56	733.19	480.04	674.59	753.83	480.04
WDR44	77.79	107.38	105.89	101.54	130.6	67.12	72.52	102.25	95.34	139.07	156.59	177.53	249.73	217.27	255.0	215.77	215.77	229.72	190.34
ZNF609	96.68	169.07	132.44	166.73	186.4	121.79	164.42	140.04	180.02	173.85	176.29	241.19	371.22	379.04	371.22	384.34	299.25	318.57	327.56
ZNF70	14.78	15.91	10.39	14.24	27.05	16.15	12.74	14.03	13.83	22.26	40.36	63.89	70.01	75.64	87.03	66.18	62.12	50.98	37.59
ZNF827	14.35	98.04	118.43	38.67	111.99	47.5	127.89	76.17	87.03	145.02	125.24	167.9	283.05	318.57	346.29	309.83	293.07	248.0	175.07
