	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.AR.A2LQ.01A.22R.A18M.07	GTEX.TML8.0726.SM.4DXTT	TCGA.CR.7376.01A.11R.2132.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.B0.4696.01A.01R.1277.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.43.6647.01A.11R.1820.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.BR.A4IZ.01A.32R.A251.31
NF1	115.97	102.97	299.25	318.57	551.56	265.87	450.94	189.02	397.93	191.67	244.57	242.88	236.21	76.71	105.15	93.35	53.19	403.5	395.18	332.14	435.55
NFAT5	18.43	40.64	118.43	120.94	117.6	127.0	201.25	142.01	199.85	89.51	41.52	134.3	106.63	10.71	25.17	37.32	0.48	190.34	220.32	159.9	251.48
PCGF3	387.02	269.6	669.92	521.76	444.72	567.1	511.0	420.68	532.74	825.0	490.14	775.05	381.68	226.54	253.23	195.72	0.77	954.43	728.11	825.0	718.08
PDPR	43.94	34.26	246.28	223.41	363.56	176.29	346.29	237.86	279.14	246.28	49.56	301.33	107.38	30.78	51.35	48.18	0.37	466.88	255.0	327.56	295.11
PDZD8	151.22	59.13	167.9	197.09	353.59	221.86	309.83	251.48	395.18	228.13	108.14	384.34	172.65	109.66	68.07	156.59	0.39	470.14	420.68	256.78	371.22
PIP4K2C	140.04	173.85	540.19	647.07	842.36	466.88	802.41	351.14	896.64	204.07	547.75	802.41	423.61	258.57	218.79	201.25	808.0	941.27	1259.69	665.29	409.15
PLCL1	24.63	6.73	41.22	53.57	36.53	37.32	74.06	48.87	55.89	46.18	22.43	30.34	6.78	5.28	11.3	4.35	0.06	82.29	44.25	28.04	58.3
POLR3A	78.34	70.01	111.21	147.06	161.02	156.59	186.4	91.41	187.71	106.63	94.01	194.36	91.41	81.71	39.5	74.58	0.49	199.85	224.97	164.42	157.68
PUM2	395.18	279.14	753.83	842.36	1159.07	728.11	1008.9	848.22	995.0	583.07	480.04	896.64	764.36	336.79	457.25	476.71	0.65	961.07	1023.0	974.5	796.86
QRSL1	98.04	85.82	86.43	134.3	167.9	128.79	218.79	242.88	170.25	145.02	77.25	127.89	86.43	101.54	120.94	70.51	0.34	194.36	136.19	119.26	176.29
RAPGEF1	473.41	318.57	583.07	780.44	780.44	718.08	928.3	547.75	1457.23	500.46	450.94	836.53	438.59	236.21	206.94	176.29	0.77	1135.2	1088.92	791.35	878.17
RAVER1	158.79	162.14	587.13	665.29	587.13	466.88	507.46	463.65	629.35	988.12	447.82	575.03	366.09	68.55	47.17	94.01	0.75	708.18	529.06	473.41	988.12
RNF43	1.99	0.88	48.52	108.9	182.55	122.64	137.14	31.22	149.12	1.51	25.72	177.53	4.7	100.13	100.83	111.99	0.04	205.5	172.65	148.09	68.55
ROBO1	209.84	12.0	281.09	371.22	493.56	660.68	947.83	753.83	848.22	563.18	299.25	780.44	325.29	38.67	36.01	27.64	117.6	1119.56	1088.92	842.36	329.84
RP1L1	0.78	0.29	2.14	2.78	1.25	0.4	2.51	0.82	1.87	0.77	2.03	1.99	0.31	0.0	0.49	0.0	0.04	3.29	1.69	2.46	0.95
SBF2	189.02	103.69	381.68	353.59	486.75	281.09	441.64	420.68	389.72	202.66	281.09	273.37	258.57	151.22	150.17	140.04	0.64	483.38	409.15	412.0	356.05
SEC24A	158.79	102.97	181.28	241.19	361.04	303.44	466.88	223.41	409.15	204.07	177.53	334.46	173.85	226.54	307.69	204.07	0.48	376.41	371.22	314.17	412.0
SEC24C	575.03	503.95	981.29	819.3	1208.34	934.76	1023.0	1242.34	1104.13	624.99	780.44	1277.29	532.74	934.76	379.04	633.73	136.19	1832.01	1572.76	1447.15	961.07
SENP2	231.32	116.78	325.29	341.51	642.59	236.21	483.38	161.02	507.46	587.13	183.82	624.99	450.94	115.16	228.13	151.22	275.28	638.15	470.14	457.25	293.07
SH3PXD2A	642.59	27.84	1111.82	896.64	1268.46	1044.52	1199.98	5076.84	928.3	703.28	1044.52	1242.34	435.55	63.45	45.21	62.56	0.71	1733.13	1081.39	1551.09	1066.48
SLFN5	140.04	121.79	197.09	214.27	156.59	189.02	518.15	2090.03	1331.57	336.79	258.57	297.17	161.02	96.01	56.68	36.01	0.42	412.0	356.05	420.68	287.01
SMARCA4	928.3	1051.79	1583.71	1427.22	1397.83	1250.98	1674.06	1417.35	1295.13	1127.35	974.5	1529.73	713.11	860.08	713.11	507.46	902.89	1832.01	1832.01	1051.79	1313.23
SMCR8	7.46	3.72	50.27	142.01	131.51	80.57	198.47	39.22	264.03	99.43	19.97	141.02	64.8	20.41	15.56	23.76	0.19	147.06	156.59	121.79	135.24
SOGA1	110.43	84.63	211.31	223.41	303.44	209.84	283.05	316.37	293.07	232.94	151.22	293.07	172.65	16.63	26.28	13.52	0.59	392.44	289.02	239.52	329.84
STRN	84.63	75.64	148.09	195.72	239.52	133.36	295.11	80.57	325.29	118.43	90.77	167.9	93.35	39.22	63.89	59.55	94.01	236.21	204.07	197.09	223.41
SUPT6H	656.11	629.35	848.22	967.76	748.61	698.41	928.3	743.43	878.17	830.75	674.59	708.18	620.67	414.87	309.83	473.41	0.84	890.44	934.76	915.51	890.44
SYNE2	356.05	87.65	642.59	591.22	476.71	476.71	1127.35	466.88	1286.18	144.01	223.41	884.29	583.07	325.29	356.05	743.43	318.57	842.36	928.3	480.04	921.88
TRRAP	98.73	92.7	221.86	236.21	323.03	228.13	346.29	208.38	327.56	231.32	167.9	316.37	177.53	70.01	88.88	74.58	0.71	373.81	291.04	231.32	307.69
UBR1	94.67	49.56	150.17	162.14	275.28	159.9	271.48	149.12	244.57	110.43	76.17	180.02	145.02	51.71	65.26	52.82	0.39	202.66	209.84	201.25	228.13
UFL1	115.97	141.02	234.57	289.02	392.44	262.2	473.41	323.03	318.57	277.2	209.84	323.03	231.32	158.79	295.11	316.37	90.14	325.29	244.57	303.44	500.46
WBP1L	1175.27	329.84	1857.6	1369.04	1508.65	1104.13	1427.22	1286.18	1183.45	1572.76	830.75	1096.5	693.58	441.64	237.86	480.04	0.51	1096.5	1044.52	1183.45	941.27
XG	332.14	47.84	264.03	314.17	198.47	164.42	314.17	412.0	368.65	78.89	246.28	339.14	14.67	3.38	0.64	17.13	0.26	587.13	295.11	291.04	7.82
ZBED4	75.11	48.87	96.68	126.12	181.28	159.9	162.14	87.65	202.66	134.3	153.34	156.59	87.65	46.84	26.47	44.89	0.56	236.21	242.88	271.48	183.82
ZBTB39	20.26	7.11	37.59	35.76	57.08	46.84	63.0	56.68	65.72	43.63	22.43	60.82	40.93	15.91	31.22	27.05	0.31	57.08	71.5	57.08	86.43
ZCCHC14	136.19	59.97	444.72	320.8	307.69	289.02	358.54	490.14	409.15	395.18	303.44	318.57	221.86	199.85	134.3	236.21	173.85	368.65	353.59	417.77	376.41
ZDHHC20	35.0	55.89	441.64	470.14	679.29	435.55	759.08	555.41	1044.52	397.93	78.89	587.13	376.41	35.76	46.84	36.79	0.23	543.96	547.75	543.96	476.71
ZFP91	283.05	376.41	511.0	583.07	842.36	708.18	819.3	432.53	884.29	363.56	373.81	718.08	438.59	190.34	339.14	178.77	0.72	902.89	753.83	612.11	612.11
ZNF426	25.17	11.64	56.68	87.65	64.8	85.22	134.3	87.03	141.02	97.36	26.28	100.83	49.91	6.11	16.88	8.13	0.21	120.94	92.7	78.89	137.14
