	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.12ZZY.0826.SM.5EQMT	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.OOBK.2626.SM.2HMKY	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
ATF2	387.02	438.59	483.38	303.44	384.34	444.72	400.71	409.15	217.27	327.56	397.93	361.04	432.53	332.14	339.14	325.29	332.14	429.54	242.88	389.72	423.61	447.82	441.64	371.22	447.82	463.65	392.44	351.14	312.0	848.22	796.86	802.41	896.64	441.64	718.08	518.15	647.07	599.49	753.83	785.88	825.0	493.56	629.35	1073.91	518.15	713.11	567.1	529.06	521.76	796.86	518.15	435.55	647.07	543.96	536.45	500.46	738.29	638.15	518.15	500.46	703.28	579.04	525.39	629.35	497.0	607.87	842.36	1037.29	493.56	483.38	587.13	532.74	728.11	780.44	518.15	961.07	591.22	769.69	599.49	511.0	785.88	595.34	660.68	753.83	698.41	563.18	638.15	551.56	728.11	575.03	547.75	713.11	571.05	665.29	575.03	738.29	693.58	743.43
ATP2B1	145.02	131.51	178.77	144.01	96.68	165.57	144.01	152.28	100.83	98.73	113.56	136.19	148.09	129.69	132.44	131.51	121.79	197.09	147.06	120.1	165.57	122.64	141.02	165.57	131.51	190.34	156.59	152.28	132.44	373.81	420.68	476.71	532.74	125.24	307.69	221.86	309.83	395.18	217.27	320.8	305.55	297.17	285.03	432.53	217.27	218.79	264.03	214.27	224.97	249.73	297.17	190.34	269.6	244.57	211.31	209.84	376.41	318.57	262.2	387.02	358.54	241.19	236.21	343.89	269.6	297.17	470.14	612.11	121.79	255.0	239.52	231.32	279.14	273.37	162.14	447.82	195.72	460.44	379.04	264.03	460.44	191.67	265.87	353.59	373.81	164.42	249.73	190.34	320.8	236.21	444.72	287.01	189.02	111.99	221.86	312.0	244.57	193.01
ATXN1	164.42	206.94	215.77	138.1	171.45	206.94	187.71	190.34	157.68	110.43	185.11	136.19	111.21	167.9	169.07	147.06	156.59	171.45	141.02	132.44	183.82	172.65	228.13	140.04	159.9	202.66	189.02	166.73	101.54	341.51	320.8	339.14	307.69	199.85	281.09	242.88	275.28	212.78	255.0	379.04	234.57	226.54	312.0	339.14	265.87	381.68	242.88	255.0	291.04	262.2	215.77	177.53	212.78	256.78	239.52	260.38	412.0	239.52	206.94	258.57	267.73	223.41	256.78	285.03	208.38	279.14	343.89	329.84	239.52	217.27	205.5	209.84	295.11	376.41	217.27	406.31	226.54	366.09	204.07	262.2	379.04	237.86	392.44	256.78	312.0	193.01	242.88	217.27	457.25	248.0	249.73	267.73	273.37	249.73	248.0	223.41	236.21	239.52
B3GALNT1	256.78	249.73	264.03	117.6	134.3	301.33	242.88	211.31	191.67	167.9	212.78	172.65	234.57	129.69	251.48	194.36	195.72	305.55	125.24	218.79	381.68	234.57	325.29	239.52	149.12	253.23	248.0	205.5	226.54	743.43	703.28	872.1	1175.27	579.04	514.56	529.06	450.94	543.96	928.3	571.05	1015.93	412.0	718.08	890.44	412.0	540.19	854.13	318.57	334.46	521.76	607.87	403.5	981.29	764.36	483.38	647.07	890.44	896.64	529.06	915.51	651.58	934.76	703.28	759.08	563.18	579.04	638.15	967.76	414.87	389.72	1023.0	616.37	1081.39	633.73	563.18	915.51	480.04	785.88	616.37	679.29	1073.91	555.41	583.07	435.55	629.35	514.56	389.72	412.0	420.68	633.73	616.37	563.18	409.15	371.22	536.45	1008.9	470.14	915.51
BBX	303.44	316.37	384.34	183.82	293.07	332.14	239.52	275.28	153.34	246.28	232.94	202.66	232.94	236.21	221.86	155.5	199.85	264.03	181.28	164.42	271.48	224.97	339.14	217.27	189.02	392.44	211.31	262.2	152.28	629.35	532.74	426.57	693.58	147.06	486.75	283.05	358.54	400.71	624.99	493.56	633.73	314.17	406.31	708.18	343.89	575.03	400.71	332.14	429.54	529.06	450.94	305.55	583.07	497.0	381.68	353.59	563.18	587.13	323.03	575.03	748.61	358.54	351.14	540.19	353.59	532.74	915.51	1001.93	414.87	281.09	353.59	426.57	435.55	500.46	389.72	629.35	218.79	612.11	251.48	521.76	444.72	409.15	420.68	543.96	532.74	214.27	547.75	279.14	1066.48	483.38	414.87	438.59	312.0	332.14	490.14	563.18	463.65	511.0
BLOC1S6	529.06	555.41	599.49	397.93	497.0	536.45	476.71	483.38	379.04	403.5	518.15	205.5	376.41	511.0	384.34	412.0	480.04	591.22	329.84	336.79	463.65	429.54	551.56	503.95	507.46	587.13	503.95	486.75	397.93	1233.75	1015.93	1104.13	1340.84	647.07	896.64	769.69	733.19	796.86	934.76	785.88	1143.1	921.88	1081.39	1183.45	860.08	854.13	974.5	669.92	656.11	743.43	633.73	532.74	1066.48	791.35	563.18	775.05	1030.12	1167.14	802.41	921.88	854.13	1001.93	728.11	981.29	679.29	743.43	1023.0	1583.71	825.0	500.46	1066.48	791.35	1151.06	616.37	536.45	1242.34	629.35	954.43	529.06	684.02	764.36	688.78	928.3	854.13	974.5	679.29	854.13	450.94	1073.91	713.11	854.13	743.43	679.29	836.53	866.07	1175.27	679.29	1008.9
C16orf72	267.73	229.72	228.13	211.31	178.77	285.03	221.86	236.21	189.02	180.02	206.94	177.53	161.02	232.94	182.55	242.88	190.34	205.5	218.79	209.84	221.86	181.28	234.57	297.17	152.28	277.2	191.67	187.71	260.38	417.77	414.87	371.22	460.44	265.87	293.07	303.44	297.17	307.69	334.46	314.17	466.88	231.32	301.33	486.75	325.29	387.02	295.11	239.52	283.05	332.14	267.73	229.72	379.04	301.33	327.56	271.48	441.64	429.54	285.03	368.65	379.04	299.25	293.07	334.46	293.07	353.59	400.71	457.25	295.11	229.72	361.04	299.25	387.02	420.68	291.04	679.29	289.02	329.84	277.2	316.37	348.71	358.54	409.15	384.34	299.25	269.6	267.73	279.14	353.59	301.33	279.14	265.87	285.03	289.02	269.6	314.17	295.11	320.8
C21orf91	79.45	64.34	89.51	68.07	56.28	67.12	65.72	56.28	61.68	40.64	59.55	39.5	49.91	78.89	60.39	88.26	55.49	74.06	70.01	49.21	55.49	57.08	74.58	54.33	38.95	73.03	70.51	62.12	34.51	137.14	171.45	175.07	155.5	58.3	84.04	66.18	107.38	142.01	70.51	100.83	107.38	79.45	138.1	180.02	101.54	85.82	135.24	90.14	95.34	90.77	103.69	60.39	125.24	81.71	87.03	93.35	158.79	98.73	83.45	92.05	127.0	123.5	116.78	130.6	116.78	156.59	122.64	189.02	131.51	82.87	148.09	71.5	148.09	129.69	80.01	195.72	75.64	130.6	76.17	102.97	78.89	145.02	138.1	120.94	122.64	51.35	89.51	83.45	141.02	140.04	87.65	65.72	85.22	80.57	84.04	77.79	109.66	141.02
CCDC82	392.44	363.56	463.65	387.02	379.04	400.71	376.41	463.65	262.2	162.14	361.04	201.25	417.77	406.31	500.46	325.29	316.37	403.5	287.01	253.23	400.71	521.76	511.0	371.22	307.69	587.13	395.18	265.87	137.14	713.11	796.86	1313.23	836.53	483.38	802.41	511.0	607.87	620.67	591.22	684.02	633.73	387.02	638.15	587.13	521.76	1477.58	684.02	698.41	547.75	603.67	470.14	679.29	921.88	567.1	599.49	738.29	775.05	540.19	497.0	503.95	381.68	460.44	665.29	1008.9	460.44	753.83	559.28	785.88	555.41	423.61	848.22	567.1	1015.93	503.95	341.51	995.0	511.0	764.36	447.82	571.05	733.19	444.72	665.29	559.28	674.59	483.38	583.07	366.09	579.04	518.15	713.11	620.67	543.96	371.22	921.88	723.08	567.1	518.15
CCSER2	392.44	432.53	366.09	215.77	343.89	409.15	368.65	348.71	199.85	387.02	392.44	336.79	221.86	239.52	305.55	273.37	293.07	332.14	273.37	356.05	341.51	329.84	417.77	255.0	186.4	460.44	409.15	450.94	193.01	954.43	854.13	571.05	860.08	547.75	669.92	444.72	612.11	703.28	785.88	775.05	738.29	656.11	567.1	1250.98	438.59	775.05	571.05	454.09	470.14	656.11	579.04	420.68	674.59	607.87	444.72	521.76	591.22	713.11	647.07	753.83	647.07	848.22	497.0	775.05	450.94	587.13	842.36	1059.11	665.29	529.06	507.46	447.82	802.41	693.58	460.44	921.88	412.0	698.41	559.28	500.46	555.41	603.67	620.67	599.49	612.11	457.25	599.49	285.03	1037.29	555.41	463.65	571.05	486.75	1427.22	503.95	656.11	470.14	607.87
CDC40	239.52	228.13	239.52	177.53	195.72	258.57	206.94	232.94	171.45	190.34	228.13	146.03	239.52	208.38	198.47	197.09	183.82	239.52	152.28	177.53	253.23	201.25	244.57	232.94	114.36	267.73	198.47	209.84	143.01	457.25	532.74	409.15	457.25	241.19	314.17	299.25	329.84	316.37	366.09	314.17	358.54	224.97	334.46	460.44	334.46	384.34	287.01	299.25	287.01	363.56	295.11	262.2	356.05	303.44	327.56	277.2	435.55	381.68	220.32	334.46	371.22	341.51	361.04	395.18	293.07	466.88	400.71	559.28	267.73	279.14	320.8	351.14	400.71	466.88	295.11	444.72	289.02	363.56	299.25	320.8	353.59	348.71	267.73	371.22	417.77	293.07	343.89	299.25	358.54	363.56	341.51	351.14	291.04	246.28	244.57	309.83	329.84	353.59
CDC73	191.67	215.77	194.36	167.9	176.29	236.21	220.32	176.29	121.79	150.17	211.31	204.07	262.2	182.55	163.28	201.25	217.27	226.54	156.59	212.78	197.09	195.72	211.31	159.9	229.72	253.23	195.72	206.94	113.56	490.14	480.04	384.34	454.09	234.57	346.29	312.0	329.84	348.71	387.02	409.15	412.0	309.83	392.44	647.07	285.03	339.14	389.72	293.07	305.55	514.56	307.69	267.73	339.14	341.51	307.69	244.57	480.04	343.89	234.57	301.33	381.68	351.14	293.07	356.05	339.14	316.37	521.76	607.87	246.28	305.55	297.17	318.57	279.14	486.75	303.44	698.41	395.18	441.64	334.46	320.8	435.55	356.05	406.31	379.04	363.56	314.17	332.14	312.0	353.59	343.89	366.09	414.87	285.03	262.2	275.28	395.18	336.79	412.0
CEP120	141.02	126.12	155.5	114.36	113.56	175.07	129.69	132.44	98.73	74.58	119.26	70.01	108.9	117.6	100.83	105.89	107.38	151.22	94.67	105.89	110.43	126.12	148.09	189.02	127.89	135.24	122.64	99.43	110.43	332.14	287.01	403.5	323.03	129.69	241.19	161.02	154.42	194.36	273.37	189.02	279.14	141.02	198.47	329.84	161.02	248.0	220.32	153.34	182.55	198.47	138.1	119.26	287.01	204.07	204.07	255.0	316.37	281.09	215.77	229.72	218.79	251.48	224.97	275.28	169.07	256.78	277.2	400.71	186.4	132.44	283.05	191.67	327.56	297.17	148.09	314.17	146.03	273.37	181.28	202.66	275.28	180.02	201.25	228.13	218.79	153.34	166.73	144.01	303.44	199.85	162.14	231.32	194.36	189.02	204.07	239.52	224.97	244.57
