	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.1211K.1726.SM.5FQUJ	GTEX.XBEW.1926.SM.4SOJO	GTEX.13O21.2426.SM.5MR4A	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZPIC.2226.SM.57WDX	GTEX.14DAR.1526.SM.5RQIX	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.ZT9W.1826.SM.51MQX	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	TCGA.KL.8335.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.A3.3324.01A.02R.1325.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3313.01A.02R.1325.07	TCGA.CJ.4884.01A.01R.1305.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.B9.4617.01A.01R.1193.07	GTEX.131XF.1026.SM.5BC6A	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CD.8534.01A.11R.2343.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8483.01A.31R.2402.13	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.WFON.1126.SM.4LVMA	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
BLOC1S5	146.03	135.24	134.3	119.26	169.07	158.79	201.25	182.55	134.3	180.02	107.38	161.02	177.53	98.73	187.71	79.45	84.04	86.43	83.45	105.89	95.34	56.28	71.0	334.46	76.71	98.04	108.9	96.68	87.65	429.54	368.65	753.83	231.32	358.54	59.97	518.15	483.38	124.37	540.19	525.39	356.05	147.06	209.84	221.86	194.36	128.79	221.86	211.31	223.41	173.85	182.55	134.3	141.02	126.12	141.02	152.28
BTBD19	41.81	44.89	38.12	48.87	16.27	34.02	8.06	5.82	19.53	57.49	22.75	226.54	176.29	14.78	18.03	21.47	18.84	16.63	17.9	29.91	47.17	14.03	8.13	12.27	12.83	28.45	44.89	8.92	38.12	108.9	376.41	163.28	587.13	218.79	1.68	211.31	309.83	58.71	111.21	33.3	58.71	127.0	173.85	176.29	104.42	116.78	108.14	202.66	171.45	90.77	120.1	19.53	38.4	197.09	150.17	48.18
C2orf27A	13.83	17.0	31.67	26.47	8.19	9.41	18.29	14.24	17.13	25.91	13.62	114.36	37.59	8.71	9.93	1.01	2.51	16.15	3.86	6.21	11.04	1.36	2.51	12.27	10.47	7.57	18.56	4.86	15.22	98.04	77.25	108.14	177.53	215.77	1.6	20.41	44.25	31.45	31.45	48.87	38.67	29.27	144.01	64.8	54.33	25.17	47.17	88.26	26.67	99.43	29.48	7.17	28.86	10.71	74.58	15.56
C5orf24	325.29	301.33	287.01	395.18	271.48	299.25	336.79	299.25	264.03	387.02	217.27	748.61	808.0	473.41	297.17	571.05	414.87	211.31	212.78	525.39	400.71	287.01	267.73	497.0	312.0	486.75	371.22	281.09	392.44	728.11	854.13	1135.2	759.08	836.53	237.86	842.36	1388.16	579.04	1051.79	967.76	246.28	1066.48	723.08	708.18	1023.0	624.99	603.67	860.08	878.17	438.59	1030.12	389.72	579.04	543.96	271.48	543.96
C8orf48	7.57	3.63	6.01	10.39	0.71	7.63	5.87	10.31	3.2	9.56	1.08	20.86	19.53	0.88	0.46	4.35	11.3	1.91	6.31	5.32	1.45	3.5	4.1	0.42	13.42	8.99	8.38	4.78	12.55	45.85	40.36	30.34	18.56	84.63	1.17	19.25	9.48	13.62	22.26	19.97	8.32	40.07	11.82	26.67	22.1	3.99	2.94	17.13	12.74	4.28	9.34	18.16	3.66	48.18	29.7	44.89
CALD1	1066.48	1015.93	1015.93	3303.0	603.67	830.75	607.87	866.07	1757.34	2271.4	638.15	9740.98	12589.08	967.76	733.19	226.54	148.09	493.56	105.15	941.27	616.37	373.81	265.87	890.44	271.48	575.03	1183.45	497.0	1769.57	5006.93	7081.29	5791.62	16960.78	4671.57	68.07	4937.99	6652.97	1896.65	3639.7	4298.64	1819.35	7230.1	14461.21	28525.2	125731.67	2271.4	4736.79	46019.85	49322.93	5076.84	72715.74	2193.99	4450.27	2240.11	5076.84	1295.13
CBL	55.89	70.01	76.17	75.64	37.32	51.71	67.12	64.34	52.82	80.57	45.85	107.38	145.02	99.43	74.06	96.01	34.26	83.45	50.98	101.54	96.01	115.16	74.06	128.79	55.89	75.11	108.14	108.14	84.63	156.59	201.25	221.86	194.36	172.65	11.64	237.86	137.14	74.58	110.43	127.89	65.72	131.51	258.57	197.09	229.72	93.35	183.82	283.05	258.57	88.88	239.52	80.01	71.5	145.02	98.73	90.77
CCDC88A	51.71	35.0	86.43	88.88	23.59	27.64	34.51	25.17	38.12	118.43	32.59	279.14	285.03	36.53	44.57	34.51	22.1	50.27	28.86	46.5	88.88	31.67	24.81	75.64	35.25	42.11	78.89	35.0	47.84	246.28	525.39	339.14	403.5	271.48	6.31	305.55	318.57	82.87	148.09	116.78	110.43	351.14	283.05	303.44	612.11	145.02	265.87	332.14	426.57	61.25	318.57	41.22	84.04	182.55	214.27	166.73
CD109	19.39	24.11	18.03	23.42	6.11	10.16	9.78	9.93	23.76	57.08	4.39	140.04	99.43	24.46	19.68	3.89	2.89	16.51	7.17	34.75	14.24	14.35	6.16	29.06	4.43	14.56	40.07	11.47	20.41	193.01	122.64	299.25	95.34	291.04	10.47	91.41	114.36	31.22	177.53	161.02	27.64	769.69	146.03	34.02	432.53	26.28	71.0	119.26	153.34	16.63	149.12	22.43	44.25	35.0	193.01	40.36
CEP120	113.56	101.54	132.44	104.42	100.83	106.63	122.64	109.66	89.51	144.01	66.18	154.42	209.84	131.51	164.42	102.25	104.42	44.89	66.18	136.19	111.99	56.28	44.57	175.07	78.89	119.26	146.03	122.64	127.0	211.31	314.17	412.0	262.2	273.37	35.76	211.31	228.13	137.14	211.31	234.57	74.06	297.17	323.03	285.03	279.14	146.03	295.11	339.14	371.22	151.22	318.57	133.36	215.77	153.34	176.29	99.43
CEP170	102.97	82.29	96.68	127.0	59.13	56.28	60.82	69.52	82.87	128.79	55.1	547.75	536.45	68.55	125.24	67.12	54.72	65.26	59.55	119.26	151.22	63.45	55.49	175.07	73.03	106.63	140.04	100.13	105.89	373.81	603.67	500.46	595.34	454.09	41.52	476.71	466.88	164.42	218.79	232.94	151.22	353.59	346.29	599.49	473.41	224.97	287.01	521.76	660.68	387.02	493.56	120.1	131.51	848.22	703.28	291.04
CLASP1	158.79	163.28	164.42	177.53	128.79	120.94	127.89	137.14	115.16	181.28	100.13	323.03	432.53	183.82	178.77	186.4	161.02	155.5	171.45	232.94	178.77	157.68	182.55	318.57	205.5	150.17	204.07	208.38	186.4	392.44	320.8	423.61	447.82	420.68	17.51	384.34	397.93	221.86	406.31	493.56	291.04	327.56	395.18	400.71	647.07	241.19	256.78	540.19	624.99	409.15	660.68	262.2	232.94	363.56	366.09	206.94
CLIC4	633.73	620.67	583.07	988.12	334.46	551.56	414.87	447.82	624.99	1295.13	264.03	1870.53	2720.15	460.44	297.17	202.66	131.51	237.86	111.21	866.07	463.65	314.17	180.02	1498.22	114.36	438.59	854.13	258.57	769.69	3589.58	2224.63	5995.9	3146.52	3564.78	249.73	2075.59	5831.91	954.43	4481.23	6935.54	3235.01	3847.29	2417.67	4575.41	12589.08	934.76	1304.15	5954.47	7537.18	941.27	7081.29	753.83	1709.26	1757.34	2240.11	1685.71
CMTM3	392.44	309.83	314.17	271.48	59.13	127.0	205.5	126.12	171.45	450.94	134.3	1183.45	1322.37	151.22	130.6	173.85	115.97	361.04	95.34	316.37	323.03	161.02	149.12	248.0	142.01	397.93	215.77	170.25	248.0	1167.14	1081.39	583.07	1250.98	1044.52	96.01	460.44	679.29	281.09	275.28	223.41	860.08	1369.04	567.1	684.02	381.68	237.86	265.87	536.45	698.41	624.99	392.44	139.07	273.37	669.92	2319.15	684.02
CSGALNACT2	92.05	85.22	121.79	144.01	48.52	78.34	81.71	71.0	90.77	121.79	48.87	279.14	314.17	53.95	102.25	73.54	20.86	69.03	23.42	94.01	66.65	81.14	30.56	165.57	25.35	49.21	118.43	49.21	53.19	241.19	414.87	406.31	423.61	312.0	21.16	293.07	297.17	113.56	141.02	177.53	62.56	358.54	483.38	368.65	551.56	148.09	329.84	603.67	525.39	175.07	412.0	93.35	134.3	199.85	400.71	148.09
CTD-2054N24.2	24.11	14.89	12.55	13.22	6.26	4.66	13.72	2.03	17.9	27.44	2.73	45.21	44.57	16.39	41.52	4.86	2.86	13.22	6.31	8.58	2.39	32.59	5.32	4.06	3.99	7.88	0.0	1.45	1.97	20.56	92.7	119.26	81.71	35.0	5.02	54.72	34.51	18.56	31.0	27.64	3.99	54.33	43.94	83.45	132.44	3.76	16.75	9.7	29.48	6.06	35.76	9.93	14.45	63.45	57.49	27.05
DDX58	60.82	77.79	124.37	81.14	163.28	108.9	71.0	105.89	150.17	138.1	125.24	156.59	217.27	40.36	58.71	53.57	19.25	74.06	32.59	89.51	103.69	38.4	55.49	78.89	28.65	88.26	47.17	55.1	75.64	297.17	237.86	379.04	267.73	164.42	25.72	172.65	595.34	56.68	166.73	181.28	73.54	194.36	241.19	228.13	285.03	123.5	202.66	248.0	409.15	236.21	181.28	150.17	77.25	120.1	157.68	55.49
DPYSL2	301.33	379.04	287.01	454.09	231.32	353.59	255.0	226.54	264.03	607.87	152.28	1540.37	1447.15	121.79	115.97	87.65	51.71	152.28	69.03	293.07	249.73	158.79	163.28	236.21	85.82	206.94	258.57	145.02	297.17	1923.14	1037.29	1769.57	1175.27	1923.14	72.52	1467.37	1519.15	339.14	854.13	733.19	796.86	5183.54	1001.93	1066.48	1096.5	363.56	890.44	1639.59	2335.28	775.05	1350.18	234.57	414.87	738.29	1183.45	454.09
EID2B	17.38	13.12	11.55	31.0	11.04	10.79	9.06	12.45	16.27	18.43	7.34	73.54	88.26	22.92	18.84	43.32	29.06	33.78	40.36	16.03	32.13	31.67	21.78	65.26	54.72	16.15	38.12	41.81	15.11	72.52	107.38	82.87	64.8	63.89	8.92	92.7	44.57	43.63	47.84	55.1	48.52	39.22	23.08	91.41	84.63	14.89	35.76	56.68	62.12	31.45	110.43	18.56	24.81	100.83	67.12	111.21
ELK4	146.03	141.02	163.28	138.1	117.6	126.12	130.6	133.36	77.25	154.42	79.45	244.57	258.57	98.04	135.24	112.77	59.97	43.02	77.79	153.34	105.89	65.72	71.0	155.5	74.58	148.09	127.0	83.45	99.43	223.41	356.05	309.83	316.37	249.73	26.47	211.31	269.6	172.65	260.38	269.6	162.14	191.67	409.15	339.14	329.84	395.18	447.82	334.46	620.67	246.28	224.97	150.17	150.17	189.02	191.67	102.97
FAM134C	660.68	547.75	583.07	612.11	896.64	579.04	674.59	759.08	551.56	638.15	624.99	607.87	848.22	371.22	616.37	351.14	373.81	412.0	507.46	414.87	384.34	414.87	503.95	507.46	511.0	441.64	463.65	329.84	476.71	1066.48	1015.93	1059.11	1081.39	1151.06	133.36	884.29	866.07	429.54	713.11	607.87	915.51	785.88	1250.98	759.08	571.05	567.1	836.53	819.3	934.76	698.41	603.67	819.3	703.28	728.11	633.73	262.2
FAM151B	15.56	10.88	3.56	13.72	17.25	9.48	10.79	6.06	10.08	16.27	10.0	15.56	15.34	9.48	16.88	13.93	7.28	11.21	10.88	13.42	22.1	3.92	14.24	126.12	8.71	9.41	9.2	7.11	22.59	18.03	26.47	52.45	28.65	40.07	43.02	61.25	24.99	28.86	28.86	39.79	19.68	13.83	30.34	40.07	49.21	15.56	40.64	31.0	31.22	15.91	29.27	27.25	14.03	15.68	31.22	16.03
FAM160B1	163.28	116.78	127.89	143.01	78.34	126.12	92.05	114.36	80.57	149.12	117.6	279.14	299.25	49.56	113.56	98.73	68.55	115.16	77.79	138.1	80.01	143.01	72.01	171.45	80.57	94.67	120.1	74.06	102.25	236.21	232.94	244.57	307.69	260.38	98.73	275.28	234.57	119.26	194.36	211.31	89.51	251.48	316.37	287.01	444.72	181.28	258.57	346.29	454.09	136.19	423.61	212.78	157.68	241.19	187.71	113.56
FAM212B	41.81	46.84	37.85	51.71	24.11	46.84	20.56	25.91	39.5	56.28	22.92	81.71	137.14	14.67	28.86	9.13	10.55	22.43	10.47	34.51	20.71	22.1	26.47	23.08	31.9	32.82	36.27	17.51	49.21	86.43	93.35	87.65	117.6	66.18	4.66	32.36	86.43	29.48	104.42	108.14	23.25	521.76	65.26	226.54	329.84	59.13	49.21	182.55	323.03	9.13	470.14	63.0	67.12	70.01	42.11	51.35
FBXL7	41.81	54.72	40.93	91.41	23.93	37.59	22.59	29.91	43.94	106.63	17.13	285.03	387.02	30.34	26.1	19.39	13.03	19.39	15.68	101.54	45.53	38.4	15.68	22.43	15.56	59.13	52.82	21.94	48.18	267.73	387.02	147.06	242.88	175.07	7.82	96.01	171.45	81.71	125.24	131.51	199.85	265.87	177.53	281.09	480.04	53.57	113.56	490.14	476.71	43.02	738.29	69.03	118.43	128.79	293.07	76.17
FIGN	5.73	9.06	8.85	14.45	4.5	3.96	3.53	9.56	4.5	17.25	4.43	97.36	226.54	5.28	1.85	0.53	0.85	1.48	1.75	3.35	0.52	0.47	0.87	12.27	0.84	0.43	1.66	0.52	2.51	65.72	59.97	47.84	84.04	61.25	0.42	105.89	53.19	12.93	74.58	48.18	54.33	42.41	28.45	69.03	57.08	12.0	16.88	98.04	97.36	14.45	148.09	15.0	18.16	4.78	35.76	8.13
FLJ20373	65.26	77.25	55.1	86.43	42.41	57.49	40.93	63.45	44.25	70.51	38.95	351.14	575.03	55.49	73.54	124.37	40.64	82.87	77.25	143.01	143.01	120.1	57.89	59.97	71.5	104.42	138.1	73.03	133.36	323.03	234.57	175.07	392.44	323.03	20.41	223.41	138.1	88.88	107.38	82.29	149.12	181.28	162.14	409.15	249.73	119.26	176.29	265.87	283.05	387.02	198.47	42.11	124.37	336.79	420.68	441.64
FOXN2	118.43	114.36	100.83	105.15	99.43	82.87	125.24	105.89	80.01	195.72	76.17	202.66	197.09	49.21	63.45	91.41	26.1	39.5	30.12	173.85	92.05	65.72	40.93	127.89	30.78	67.12	94.67	53.95	48.18	187.71	327.56	232.94	178.77	183.82	82.29	273.37	209.84	279.14	170.25	220.32	49.56	132.44	339.14	211.31	176.29	145.02	232.94	242.88	267.73	191.67	161.02	53.95	177.53	108.9	90.77	85.22
FSBP	8.58	8.13	3.79	4.54	13.22	0.0	5.73	5.11	5.36	7.11	4.17	12.27	24.46	3.44	31.22	1.91	3.63	1.41	7.94	7.69	8.92	2.58	6.46	51.71	5.11	7.4	10.71	5.19	8.65	28.45	98.04	146.03	162.14	45.85	4.58	46.5	91.41	8.78	44.25	35.25	15.22	13.93	15.11	25.91	29.48	57.89	43.02	43.63	32.59	12.09	45.53	31.22	22.75	14.24	14.24	5.11
FTO	206.94	215.77	166.73	255.0	167.9	201.25	209.84	201.25	234.57	339.14	112.77	325.29	417.77	293.07	356.05	163.28	119.26	137.14	277.2	264.03	305.55	195.72	185.11	486.75	198.47	215.77	387.02	283.05	283.05	842.36	836.53	2935.74	633.73	1216.75	60.39	967.76	1467.37	511.0	813.63	1268.46	387.02	791.35	688.78	669.92	1295.13	366.09	483.38	1023.0	1151.06	371.22	1225.22	218.79	353.59	575.03	444.72	224.97
GTDC1	236.21	202.66	171.45	189.02	183.82	190.34	234.57	193.01	217.27	297.17	229.72	208.38	323.03	126.12	237.86	264.03	112.77	72.52	82.87	242.88	197.09	97.36	108.9	429.54	119.26	126.12	241.19	136.19	161.02	320.8	341.51	323.03	417.77	316.37	120.1	249.73	236.21	264.03	318.57	312.0	211.31	373.81	232.94	269.6	206.94	153.34	152.28	251.48	348.71	183.82	167.9	220.32	215.77	363.56	466.88	115.97
GUCY1A3	42.71	55.1	38.67	111.99	10.24	25.17	13.83	18.03	132.44	139.07	11.47	490.14	532.74	90.77	50.63	36.01	22.75	35.76	16.88	93.35	54.72	66.65	22.43	134.3	21.78	57.08	74.58	60.82	167.9	884.29	587.13	836.53	1175.27	642.59	8.58	599.49	642.59	212.78	387.02	629.35	232.94	490.14	1015.93	743.43	2451.44	92.7	265.87	1757.34	2434.5	283.05	2090.03	63.0	155.5	167.9	521.76	94.67
GUCY1B3	47.5	55.1	59.55	102.97	13.93	38.95	20.11	18.43	108.14	131.51	16.27	547.75	470.14	70.51	73.54	29.7	37.59	46.18	21.78	136.19	98.04	64.8	52.82	182.55	42.71	120.94	86.43	76.17	249.73	1175.27	603.67	769.69	1369.04	728.11	23.08	409.15	866.07	163.28	392.44	363.56	327.56	363.56	607.87	791.35	1605.83	113.56	277.2	1508.65	1369.04	299.25	2075.59	86.43	189.02	190.34	688.78	170.25
HDX	10.63	13.32	4.82	16.15	7.63	7.17	5.54	5.73	16.27	10.63	3.86	27.44	73.54	13.72	31.45	13.42	10.08	7.06	23.42	23.42	27.64	7.4	16.27	40.07	7.11	14.03	17.9	22.59	13.52	42.41	49.56	67.59	39.5	29.48	3.47	67.59	31.0	8.38	36.79	44.89	13.83	14.14	25.35	27.64	59.13	4.58	42.41	52.08	80.57	3.2	60.82	5.15	9.06	49.91	53.19	32.13
HECTD2	41.22	55.1	51.35	65.26	34.02	35.25	30.56	39.79	30.12	73.03	18.7	206.94	239.52	31.22	46.18	44.89	21.94	39.22	28.24	36.53	53.57	65.26	30.78	73.03	27.05	22.92	56.28	37.59	46.18	112.77	193.01	164.42	204.07	161.02	52.08	154.42	114.36	52.45	129.69	85.82	81.14	113.56	127.0	228.13	341.51	59.13	162.14	256.78	316.37	88.88	325.29	50.27	81.14	116.78	129.69	84.04
HTRA1	1551.09	954.43	698.41	1151.06	224.97	507.46	420.68	341.51	902.89	2224.63	293.07	4298.64	4704.07	1950.0	860.08	674.59	1216.75	775.05	642.59	1697.45	2090.03	896.64	785.88	1561.89	1313.23	1519.15	1769.57	1583.71	2451.44	10296.45	5479.15	4239.45	7485.11	8778.97	426.57	1923.14	5751.61	2645.74	8305.36	3901.01	1030.12	1605.83	1417.35	1757.34	2956.17	802.41	1073.91	2720.15	3124.78	802.41	3742.05	591.22	1242.34	3955.48	12943.04	2816.11
IFT81	53.57	70.51	69.52	108.9	55.49	70.01	51.35	65.26	65.72	96.01	44.25	183.82	353.59	56.68	63.89	46.5	53.95	26.1	55.49	63.45	98.73	28.04	39.79	189.02	63.89	47.5	74.06	55.89	77.79	189.02	232.94	336.79	305.55	283.05	15.68	289.02	299.25	120.94	189.02	198.47	265.87	136.19	138.1	204.07	473.41	125.24	237.86	260.38	305.55	283.05	454.09	80.57	62.56	314.17	318.57	180.02
IGFBP4	5633.22	4972.34	3716.2	5633.22	3146.52	5441.3	3018.3	3515.68	5633.22	5479.15	3235.01	19348.38	12676.65	769.69	1350.18	1111.82	759.08	4181.07	688.78	4181.07	2367.9	1757.34	1896.65	2997.45	1295.13	2915.45	2271.4	1806.78	2591.27	23492.92	7485.11	8479.89	14163.58	15715.58	1259.69	10659.59	18178.19	3515.68	10585.95	10225.32	11345.82	7180.15	11664.82	10808.41	21026.65	2075.59	5872.48	18178.19	18819.27	2875.3	22072.07	3589.58	5633.22	16843.62	15285.81	11112.3
