	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZE7O.0826.SM.57WCP	TCGA.V1.A9ZR.01A.11R.A41O.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.HC.A9TE.01A.11R.A41O.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A7NH.01A.12R.A33R.07	GTEX.13NZ9.1126.SM.5MR37	GTEX.13VXT.1626.SM.5IJES
APOC1	299043.36	517068.97	1048575.0	1611529.43	165904.25	2748093.15	138544.47	129266.49	168220.2	202841.44	2310861.52	1775752.63	2310861.52	79022.82	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	2375828.71	3576208.94	2924988.47	5809569.18	1838374.44	2511293.86	6719860.18	1611529.43	2672946.37	1691649.38	2294899.22	2748093.15	2599854.48	2904784.09	3702323.71	677564.08	1703415.74	3968052.37	3626130.97	11664.82	1208.34	8901.53	13492.72	5872.48	2209.26	6037.61	728.11	1051.79	514.56	5913.33	679.29
ARHGEF1	2468.49	2682.69	629.35	555.41	503.95	1059.11	460.44	688.78	305.55	392.44	454.09	1487.87	723.08	470.14	1519.15	616.37	1199.98	500.46	669.92	1167.14	1167.14	1233.75	599.49	1044.52	1167.14	836.53	947.83	1685.71	988.12	733.19	995.0	1199.98	785.88	909.17	379.04	872.1	1127.35	529.06	0.0	1.31	3491.39	1437.15	2271.4	1806.78	2645.74	1757.34	1721.16	1628.26	6294.04	3018.3
ASMT	2.1	2.1	0.82	0.65	0.0	0.52	0.16	0.0	0.0	0.57	0.95	1.89	1.0	0.0	2.68	1.23	1.64	0.0	3.86	2.03	0.72	1.03	1.33	1.5	0.68	1.0	2.97	0.46	0.0	0.35	0.99	0.92	1.77	2.48	0.31	4.5	1.36	5.19	0.0	0.17	3.2	3.2	3.38	11.55	2.86	4.94	6.94	7.51	1.48	6.52
ATG16L2	743.43	525.39	169.07	189.02	128.79	316.37	59.55	141.02	83.45	163.28	242.88	518.15	202.66	90.77	518.15	175.07	332.14	191.67	293.07	309.83	305.55	373.81	209.84	185.11	363.56	303.44	420.68	371.22	358.54	209.84	255.0	305.55	267.73	384.34	151.22	226.54	441.64	279.14	0.0	1.16	884.29	738.29	466.88	616.37	503.95	802.41	529.06	525.39	1104.13	688.78
BZRAP1	454.09	212.78	67.59	111.21	12.36	114.36	6.89	26.67	18.29	10.88	120.94	490.14	182.55	28.24	327.56	105.89	301.33	102.97	211.31	116.78	366.09	277.2	88.26	185.11	186.4	173.85	269.6	438.59	205.5	84.63	260.38	129.69	197.09	242.88	42.71	120.94	190.34	138.1	0.0	0.82	3716.2	1208.34	780.44	1119.56	753.83	1407.55	1088.92	1175.27	1268.46	3443.31
CABIN1	651.58	708.18	204.07	209.84	108.9	312.0	102.97	144.01	131.51	150.17	305.55	409.15	173.85	163.28	325.29	198.47	316.37	223.41	121.79	248.0	392.44	323.03	205.5	273.37	329.84	205.5	438.59	297.17	281.09	371.22	232.94	256.78	218.79	320.8	111.99	218.79	224.97	145.02	0.0	0.74	1819.35	848.22	718.08	1066.48	915.51	967.76	759.08	1044.52	1697.45	1583.71
CCDC12	1733.13	2434.5	1104.13	1088.92	902.89	1757.34	995.0	915.51	902.89	780.44	1350.18	1757.34	1135.2	693.58	1295.13	1745.2	1857.6	1037.29	866.07	1662.49	1135.2	1088.92	571.05	1561.89	1870.53	1388.16	1388.16	1745.2	1508.65	1051.79	1407.55	1487.87	1208.34	1605.83	1051.79	884.29	1417.35	1388.16	0.0	0.75	2271.4	2796.65	2485.67	2682.69	3280.18	2351.53	2739.08	2367.9	2400.97	3060.45
CCDC148	15.68	6.01	5.23	1.19	2.92	8.32	1.38	6.16	5.5	2.14	14.35	8.85	0.56	3.89	14.14	9.63	4.46	3.11	1.57	4.31	11.55	15.11	0.84	16.51	25.35	5.15	14.24	4.74	7.11	8.85	9.56	6.36	14.67	11.47	1.68	2.56	10.16	0.95	0.0	0.0	165.57	21.01	12.93	12.74	6.41	17.77	19.39	13.42	45.21	19.97
CD22	31.0	293.07	10.88	13.72	8.85	181.28	23.59	4.39	21.16	46.18	8.51	113.56	15.11	45.21	16.27	24.46	83.45	14.03	33.78	84.04	14.03	51.35	96.01	63.89	90.77	158.79	8.0	94.01	457.25	33.78	145.02	102.25	83.45	33.06	11.13	18.29	142.01	3.23	0.0	0.4	638.15	52.82	127.0	85.22	142.01	66.65	56.68	78.89	4298.64	285.03
CDK11A	1008.9	748.61	229.72	277.2	201.25	423.61	180.02	353.59	260.38	295.11	312.0	759.08	346.29	89.51	796.86	217.27	764.36	90.77	297.17	361.04	551.56	603.67	473.41	438.59	1001.93	289.02	769.69	674.59	521.76	236.21	414.87	563.18	483.38	753.83	195.72	426.57	599.49	277.2	358.54	1417.35	785.88	660.68	954.43	1151.06	1199.98	684.02	878.17	974.5	1111.82	400.71
CDK5RAP3	4268.94	5441.3	1697.45	1457.23	703.28	2502.97	1088.92	1639.59	1883.54	1487.87	1870.53	4358.66	2335.28	1457.23	4239.45	1437.15	3874.05	2004.85	1467.37	2351.53	3146.52	2956.17	1674.06	2224.63	3103.19	1991.0	2855.44	2758.13	2468.49	1909.85	2255.7	1870.53	2061.24	3103.19	1066.48	1963.57	2502.97	2075.59	0.0	1.27	4123.49	5041.77	5441.3	4095.0	6294.04	4903.87	6471.02	6561.36	6381.92	3768.09
CENPT	860.08	688.78	205.5	283.05	206.94	346.29	172.65	198.47	135.24	211.31	293.07	708.18	348.71	164.42	660.68	255.0	607.87	271.48	305.55	438.59	414.87	447.82	265.87	314.17	497.0	387.02	463.65	511.0	486.75	327.56	387.02	371.22	381.68	540.19	194.36	301.33	480.04	332.14	0.0	1.17	1225.22	1051.79	947.83	1498.22	947.83	1183.45	854.13	1369.04	1721.16	1794.29
CEP95	518.15	616.37	156.59	198.47	83.45	277.2	103.69	131.51	154.42	131.51	212.78	848.22	217.27	209.84	441.64	212.78	567.1	241.19	256.78	151.22	301.33	438.59	205.5	237.86	351.14	301.33	486.75	460.44	173.85	275.28	366.09	336.79	406.31	486.75	97.36	371.22	423.61	279.14	0.0	0.78	599.49	896.64	684.02	769.69	1096.5	1044.52	909.17	1037.29	1268.46	1233.75
CHKB	1721.16	2018.8	271.48	656.11	201.25	373.81	323.03	363.56	348.71	267.73	559.28	1059.11	575.03	348.71	1135.2	412.0	1191.69	441.64	529.06	808.0	1030.12	884.29	738.29	529.06	878.17	665.29	1001.93	909.17	1104.13	466.88	703.28	567.1	775.05	825.0	356.05	547.75	1023.0	529.06	0.0	1.22	3540.14	1769.57	2004.85	2319.15	1127.35	2502.97	1685.71	2537.92	4836.35	1870.53
CIRBP	6840.04	7642.41	2664.15	4802.93	1651.0	2502.97	2485.67	3349.13	2193.99	2133.97	4038.61	6887.62	3874.05	3212.66	3716.2	3395.89	6471.02	5479.15	4419.52	3235.01	5255.91	6037.61	3467.27	4123.49	4937.99	4972.34	5219.6	7857.29	3235.01	2835.7	4481.23	2701.35	5633.22	4328.55	3081.75	2573.36	3955.48	3168.41	0.0	0.75	16157.44	22225.61	15285.81	16960.78	15499.21	17927.91	17078.76	16960.78	13306.94	28525.2
CLASRP	1529.73	1923.14	246.28	497.0	183.82	567.1	265.87	387.02	307.69	251.48	579.04	1378.57	684.02	348.71	1359.57	466.88	1407.55	463.65	579.04	674.59	902.89	934.76	830.75	915.51	1073.91	620.67	1250.98	1313.23	591.22	457.25	909.17	759.08	796.86	1167.14	291.04	872.1	1044.52	642.59	0.0	1.5	1662.49	1651.0	1936.53	2148.82	2287.2	2485.67	2119.22	2119.22	2335.28	1870.53
CLK3	1143.1	915.51	511.0	642.59	435.55	660.68	381.68	483.38	432.53	403.5	612.11	1191.69	583.07	395.18	1073.91	587.13	1059.11	529.06	633.73	764.36	995.0	764.36	698.41	728.11	947.83	748.61	921.88	1023.0	764.36	660.68	733.19	813.63	780.44	854.13	441.64	651.58	934.76	591.22	0.0	0.66	2148.82	1991.0	1605.83	1540.37	1359.57	1769.57	1477.58	1733.13	2133.97	2303.12
CRB2	3.69	4.7	0.0	0.3	0.24	0.39	0.0	0.37	0.42	0.0	0.35	2.18	0.39	0.0	0.43	0.0	0.0	0.0	1.0	1.83	0.35	2.29	4.03	0.4	0.0	3.32	3.79	3.06	0.31	3.2	4.54	0.34	1.1	1.91	0.46	1.93	1.41	1.19	0.0	0.0	1.79	1.19	3.14	3.72	6.11	1.48	1.14	1.16	39.79	11.38
CTD-2547L24.3	15.45	13.42	1.62	0.0	0.0	5.5	0.0	5.36	0.0	5.87	3.47	8.58	6.41	0.0	8.19	7.34	14.03	0.0	13.42	9.2	0.0	19.39	7.17	5.15	2.92	21.01	12.74	13.93	4.13	12.36	4.54	3.41	0.0	9.48	0.0	0.0	0.0	0.0	0.0	0.04	36.79	22.1	15.11	21.94	20.56	43.32	11.91	30.34	37.85	34.51
DENND6B	191.67	85.82	45.85	36.01	13.62	97.36	17.51	9.78	26.86	7.88	60.82	95.34	65.72	8.65	70.01	35.5	74.06	48.18	30.12	48.52	94.67	62.56	26.67	42.11	96.01	36.79	65.26	78.89	67.12	82.87	39.22	54.33	97.36	66.18	18.03	49.56	52.82	54.33	0.0	0.22	1883.54	309.83	351.14	379.04	316.37	279.14	432.53	397.93	503.95	647.07
DHPS	2032.85	1733.13	1119.56	1044.52	713.11	1119.56	902.89	884.29	961.07	872.1	981.29	1819.35	1359.57	718.08	1870.53	1199.98	2104.58	1208.34	1295.13	1359.57	1651.0	1709.26	1331.57	1277.29	1832.01	1733.13	1697.45	1721.16	1467.37	1159.07	1572.76	1378.57	1407.55	2018.8	1030.12	1037.29	1477.58	1199.98	0.0	0.97	2875.3	2835.7	2739.08	2816.11	3639.7	2485.67	3018.3	2835.7	2739.08	2209.26
DNASE1	158.79	228.13	23.76	38.12	4.1	57.49	17.64	28.24	19.97	14.67	41.22	181.28	70.51	14.89	138.1	64.34	134.3	53.19	61.25	99.43	122.64	102.97	54.72	61.25	121.79	68.07	86.43	163.28	82.29	74.06	78.34	57.08	96.68	96.01	30.78	73.54	149.12	79.45	0.0	0.51	295.11	860.08	497.0	409.15	518.15	353.59	567.1	713.11	591.22	297.17
DPH7	521.76	603.67	125.24	169.07	54.33	169.07	100.83	109.66	111.99	85.22	231.32	361.04	218.79	101.54	339.14	226.54	287.01	237.86	239.52	241.19	201.25	307.69	195.72	197.09	423.61	204.07	295.11	518.15	198.47	221.86	281.09	260.38	256.78	346.29	103.69	131.51	348.71	206.94	0.0	0.93	1088.92	981.29	1015.93	974.5	1721.16	961.07	1225.22	1159.07	954.43	1111.82
EBF4	318.57	379.04	182.55	77.79	59.13	177.53	12.74	32.36	25.17	123.5	74.06	575.03	145.02	55.49	679.29	231.32	555.41	114.36	118.43	260.38	249.73	366.09	106.63	198.47	414.87	287.01	688.78	733.19	563.18	226.54	320.8	297.17	287.01	579.04	90.77	316.37	307.69	89.51	0.0	0.75	713.11	1242.34	974.5	1313.23	1066.48	1388.16	791.35	1447.15	1594.73	3146.52
EFCAB10	15.56	8.32	0.0	4.24	0.0	6.73	0.88	6.36	2.29	1.39	8.06	11.47	3.53	1.2	6.78	5.5	8.45	2.51	5.54	9.48	4.9	8.92	0.95	3.44	15.56	7.28	11.3	4.7	6.06	4.82	6.78	4.78	7.88	6.94	0.61	0.0	9.93	7.88	0.0	0.0	884.29	24.11	5.82	15.68	21.32	18.29	16.75	15.56	13.72	82.29
EGFL8	423.61	303.44	33.78	94.67	13.03	136.19	9.48	23.59	24.46	16.88	122.64	301.33	113.56	17.38	329.84	101.54	163.28	74.58	95.34	111.21	183.82	187.71	92.05	86.43	161.02	158.79	101.54	244.57	122.64	92.05	102.25	130.6	106.63	120.1	79.45	116.78	279.14	129.69	0.0	0.73	536.45	848.22	366.09	656.11	444.72	595.34	503.95	624.99	387.02	995.0
ELMO3	183.82	336.79	149.12	166.73	11.3	318.57	53.95	28.24	22.43	2.89	34.51	466.88	90.14	63.45	173.85	62.12	348.71	39.5	31.45	92.05	205.5	258.57	242.88	237.86	89.51	150.17	356.05	642.59	109.66	110.43	140.04	121.79	231.32	134.3	59.97	67.59	237.86	255.0	0.0	0.53	555.41	642.59	647.07	460.44	403.5	688.78	620.67	836.53	591.22	161.02
FAM129C	10.88	76.71	0.0	4.24	0.25	44.25	0.48	6.11	1.46	0.88	1.53	5.23	4.94	6.11	7.88	7.75	14.45	3.82	4.17	49.56	1.25	17.38	5.96	6.11	15.56	10.24	3.59	23.59	21.94	22.1	13.22	31.22	17.38	8.45	2.61	2.27	20.11	4.78	0.0	0.25	92.7	26.1	37.05	36.53	35.25	7.63	19.25	2.61	1143.1	4.54
FAM186A	3.76	4.28	2.36	2.25	0.0	3.66	1.07	0.73	1.23	0.13	2.25	6.57	3.11	0.0	9.2	1.58	3.06	3.56	0.43	5.68	2.97	4.66	1.06	0.99	4.03	3.66	7.46	5.59	3.44	1.95	0.96	1.27	1.27	2.29	0.13	0.0	2.18	4.62	0.0	0.09	7.69	15.11	9.93	4.1	31.45	9.48	14.89	12.36	6.52	6.78
FAM65A	796.86	525.39	232.94	325.29	511.0	406.31	244.57	414.87	176.29	293.07	414.87	503.95	281.09	395.18	511.0	256.78	525.39	217.27	371.22	303.44	205.5	295.11	351.14	287.01	486.75	316.37	603.67	511.0	486.75	559.28	444.72	269.6	316.37	379.04	128.79	244.57	532.74	185.11	0.0	0.91	1135.2	1183.45	647.07	1135.2	1104.13	954.43	669.92	733.19	1359.57	1721.16
FAM69B	320.8	376.41	190.34	193.01	141.02	120.94	72.01	35.5	77.79	32.36	299.25	348.71	463.65	26.86	406.31	229.72	656.11	256.78	507.46	141.02	332.14	295.11	226.54	500.46	376.41	126.12	297.17	571.05	214.27	220.32	208.38	217.27	231.32	260.38	97.36	128.79	293.07	412.0	0.0	0.54	567.1	713.11	457.25	591.22	713.11	291.04	748.61	389.72	209.84	3124.78
FAM71F2	22.26	7.34	0.0	5.59	0.21	13.62	0.05	1.31	2.34	2.71	20.41	13.42	4.9	0.0	14.78	3.14	3.96	6.11	3.47	7.06	2.97	8.38	2.23	9.56	14.03	12.64	8.85	8.06	8.65	9.7	7.06	13.42	8.13	2.89	0.0	3.35	6.06	5.87	0.0	0.61	14.24	34.26	40.07	23.59	48.87	85.22	56.68	120.94	70.01	39.79
FAM73B	361.04	241.19	293.07	162.14	82.87	199.85	115.97	82.29	57.08	119.26	194.36	460.44	293.07	84.63	353.59	144.01	318.57	169.07	256.78	223.41	221.86	277.2	289.02	293.07	281.09	232.94	320.8	305.55	212.78	183.82	229.72	148.09	181.28	332.14	85.82	99.43	251.48	271.48	0.0	0.97	463.65	334.46	529.06	764.36	728.11	703.28	500.46	579.04	860.08	599.49
FBXL12	480.04	571.05	249.73	339.14	171.45	241.19	143.01	189.02	116.78	176.29	320.8	514.56	295.11	171.45	325.29	237.86	387.02	281.09	323.03	195.72	412.0	320.8	301.33	381.68	358.54	384.34	297.17	540.19	281.09	265.87	297.17	297.17	279.14	432.53	152.28	325.29	379.04	239.52	0.0	0.72	525.39	450.94	432.53	500.46	567.1	525.39	490.14	543.96	381.68	915.51
FLJ00104	32.82	13.12	8.25	11.21	0.45	7.46	2.32	5.45	5.59	1.01	6.06	27.25	11.38	4.24	16.63	8.38	12.93	9.34	8.71	6.57	15.8	29.48	5.68	12.64	5.41	16.88	18.97	31.67	11.21	7.34	9.78	14.03	19.25	23.08	2.76	5.06	12.36	6.36	0.0	0.62	120.1	35.25	33.06	64.34	28.45	64.8	40.93	53.57	107.38	43.02
FRS3	172.65	146.03	32.36	80.01	16.39	56.28	22.26	27.05	30.12	16.88	67.59	110.43	52.45	26.47	80.57	47.84	76.71	77.25	61.68	54.72	92.05	115.16	43.94	66.18	81.71	82.29	80.01	140.04	49.56	50.98	47.5	38.4	58.3	67.12	33.06	22.26	85.82	81.14	0.0	0.31	348.71	277.2	146.03	255.0	320.8	166.73	197.09	239.52	163.28	339.14
GAK	1936.53	1832.01	1015.93	1208.34	656.11	813.63	934.76	947.83	679.29	620.67	1322.37	1572.76	1001.93	638.15	1540.37	988.12	1135.2	954.43	1259.69	1662.49	1617.0	1572.76	1208.34	1066.48	1896.65	819.3	1369.04	1388.16	1250.98	1467.37	988.12	1268.46	1143.1	1322.37	642.59	1529.73	1242.34	1104.13	0.0	1.2	2591.27	1397.83	2303.12	1857.6	2627.46	1806.78	1909.85	1896.65	1794.29	2224.63
GGA1	1135.2	1023.0	441.64	476.71	271.48	599.49	193.01	265.87	212.78	241.19	486.75	728.11	607.87	285.03	813.63	356.05	921.88	435.55	381.68	633.73	629.35	599.49	567.1	651.58	738.29	620.67	802.41	974.5	543.96	575.03	718.08	629.35	651.58	825.0	256.78	316.37	595.34	480.04	0.0	0.92	1639.59	1407.55	1417.35	1331.57	1519.15	1498.22	1369.04	1709.26	2075.59	1909.85
GGT7	334.46	237.86	195.72	348.71	57.49	211.31	43.02	74.58	103.69	90.14	176.29	291.04	236.21	96.01	260.38	191.67	309.83	104.42	69.03	143.01	249.73	176.29	154.42	285.03	218.79	189.02	273.37	314.17	206.94	217.27	249.73	293.07	320.8	199.85	104.42	154.42	232.94	183.82	0.0	0.83	836.53	525.39	647.07	503.95	134.3	693.58	591.22	698.41	723.08	738.29
GOLGA6L4	63.0	27.25	0.0	37.05	4.66	4.78	9.27	21.63	7.63	16.03	17.25	59.97	13.42	10.31	23.42	18.7	36.01	14.78	30.78	11.3	28.86	42.41	20.86	34.51	19.25	11.38	41.52	30.12	19.82	11.13	25.72	16.88	45.85	39.22	2.36	6.52	10.96	17.13	0.0	0.75	79.45	77.79	71.5	63.45	90.14	147.06	110.43	92.7	99.43	220.32
GPATCH1	132.44	189.02	64.34	64.34	24.99	81.71	46.18	32.59	87.65	47.84	84.63	115.16	74.06	62.12	162.14	75.64	148.09	55.89	71.0	63.45	104.42	134.3	57.89	90.77	127.89	83.45	133.36	113.56	100.83	77.25	92.05	121.79	96.68	113.56	35.76	89.51	131.51	70.01	0.0	0.52	239.52	197.09	178.77	157.68	236.21	172.65	181.28	264.03	214.27	256.78
GPHA2	4.06	17.51	0.0	4.86	0.0	9.06	0.89	0.0	0.0	0.0	40.07	7.28	11.91	0.0	11.82	2.25	7.46	6.57	6.41	6.11	14.14	10.71	5.28	6.01	12.74	7.17	8.32	17.25	4.46	8.19	5.87	2.39	4.94	7.88	0.0	7.4	5.59	5.77	0.0	0.0	21.78	17.77	5.19	64.8	18.56	10.71	45.53	12.64	9.34	58.3
HCFC1R1	2335.28	2119.22	954.43	1051.79	928.3	1304.15	429.54	591.22	293.07	295.11	1073.91	1674.06	1304.15	536.45	1572.76	1685.71	1369.04	1183.45	1359.57	1183.45	1561.89	1135.2	1295.13	1216.75	1322.37	1259.69	1233.75	1331.57	1477.58	1721.16	1277.29	1059.11	915.51	1277.29	909.17	1340.84	1594.73	1286.18	0.0	0.51	6337.83	4152.18	2119.22	5831.91	3467.27	2591.27	2835.7	2193.99	1936.53	3280.18
HDAC10	941.27	1529.73	291.04	384.34	146.03	503.95	183.82	209.84	177.53	198.47	363.56	890.44	669.92	244.57	674.59	444.72	780.44	447.82	273.37	525.39	660.68	629.35	629.35	728.11	679.29	567.1	748.61	1073.91	363.56	616.37	547.75	450.94	607.87	583.07	228.13	341.51	638.15	435.55	0.0	0.96	1304.15	1023.0	1447.15	1051.79	896.64	1191.69	1508.65	1605.83	1378.57	1208.34
