	TCGA.GV.A3QK.01B.11R.A23N.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.XF.A8HG.01A.11R.A36F.07	TCGA.W5.AA2G.01A.11R.A41I.07	TCGA.W5.AA33.01A.11R.A41I.07	GTEX.XBEW.1926.SM.4SOJO	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	GTEX.117YW.2026.SM.5N9BH	TCGA.KO.8403.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.AK.3465.01A.02R.1325.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.A1EJ.01A.11R.A155.07	TCGA.RC.A7SB.01A.21R.A352.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.X4EP.1026.SM.4QAS5	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.60.2722.01A.01R.0851.07	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.BR.8483.01A.31R.2402.13	GTEX.Y5V6.1326.SM.4VDTF	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
APOC3	0.0	0.0	0.0	0.0	74243.68	34396.12	1.64	0.0	0.0	11.64	0.0	195.72	17.9	721179.07	783730.52	485798.0	217400.14	894051.48	9243449.07	3070409.25	7719092.49	5420519.65	5809569.18	4621724.04	4107985.47	2581895.97	7202167.89	8928583.23	2216726.5	2546350.23	2786455.11	2884719.27	7612821.45	3091765.64	3551506.25	3028138.0	3178687.03	5163792.94	1.24530853E7	5611673.89	3968052.37	2493947.08	2945333.38	3178687.03	3223059.86	3968052.37	1.032758687E7	1545882.32	2564061.5	2326934.84	7152418.87	1.09164457E7	2310861.52	4023444.33	0.0	0.0	0.0	140.04	19.53	0.0	1.2	0.0	0.0	0.0
APOC4-APOC2	19.53	17.0	10.39	2.76	5995.9	1819.35	0.0	0.0	0.0	1.11	0.99	23.59	0.0	84694.64	44145.15	104996.83	35609.13	49666.0	1026995.62	598087.73	212926.09	73221.53	61999.83	253213.41	124000.67	32315.87	517068.97	701458.36	76861.91	65082.31	180294.02	39237.98	355624.68	30361.44	71714.63	135693.24	66912.05	65990.84	614902.29	175363.84	151608.43	822695.06	131071.0	1929772.37	93325.55	453265.5	311742.51	164758.26	627822.72	290865.98	602247.76	138544.47	12943.04	79022.82	0.0	0.0	0.89	0.0	3.29	1.53	0.0	2.01	0.0	0.0
APOM	48.18	28.45	16.51	34.26	3103.19	1304.15	148.09	41.52	41.52	123.5	116.78	679.29	314.17	8598.28	2520.38	6983.79	28328.16	5479.15	45386.27	45072.75	29943.43	28923.41	27938.14	19754.96	25354.3	17437.64	47974.16	121448.75	5954.47	45701.96	23820.89	42346.82	97288.74	26986.43	74760.09	49666.0	30999.42	1909.85	97965.44	33224.42	13306.94	24321.43	33922.56	96616.71	24321.43	49322.93	33688.23	10733.74	46986.85	65535.0	59063.35	23169.48	6516.03	36357.37	0.0	0.17	29.48	133.36	105.89	76.17	29.91	135.24	175.07	181.28
C4A	414.87	149.12	154.42	72.01	13492.72	9540.5	679.29	209.84	209.84	1127.35	432.53	397.93	2193.99	16843.62	28923.41	26614.89	9088.59	23492.92	151608.43	162489.97	24321.43	29124.6	23820.89	30572.63	7485.11	130165.62	22225.61	116501.39	120609.84	62865.33	155870.75	44452.21	152662.96	72213.45	33922.56	65082.31	25354.3	15715.58	65082.31	19892.37	80683.28	96616.71	25708.25	110983.6	56657.31	40621.74	104996.83	35363.15	105727.15	49666.0	38966.94	280957.98	73730.83	43840.21	0.0	0.55	153.34	1088.92	808.0	249.73	2520.38	536.45	1674.06	718.08
C4B	432.53	141.02	148.09	50.98	15180.22	8901.53	629.35	206.94	206.94	1159.07	387.02	397.93	2451.44	18052.61	29943.43	26431.04	9088.59	23656.34	153724.82	175363.84	26067.14	29327.18	22380.2	28328.16	9945.68	143430.26	20737.16	115696.65	142439.51	75803.72	145432.49	51062.33	146444.06	69271.73	29943.43	61571.56	22535.88	15934.98	64632.75	21026.65	84694.64	105727.15	25354.3	120609.84	54349.29	37901.36	106462.55	41188.81	106462.55	51775.15	38164.99	292889.12	80125.95	43236.64	0.0	0.56	158.79	872.1	743.43	228.13	2104.58	518.15	1572.76	743.43
CCL16	0.38	0.69	0.0	1.57	651.58	180.02	13.03	0.0	0.0	12.83	1.45	0.89	1.36	8022.41	3018.3	860.08	665.29	2119.22	3768.09	7032.37	61999.83	6699.25	4010.71	30361.44	11827.67	3081.75	9740.98	10084.54	249.73	2855.44	4388.98	8479.89	8658.09	2956.17	5479.15	8191.0	17197.56	607.87	2434.5	656.11	2609.3	1721.16	15075.35	24490.61	6983.79	31432.17	1350.18	348.71	3665.02	3467.27	12589.08	860.08	348.71	6652.97	0.0	0.0	0.0	1.33	4.7	0.0	0.0	22.26	3.32	11.64
CDC14B	68.55	281.09	96.68	141.02	152.28	178.77	217.27	149.12	149.12	287.01	281.09	181.28	293.07	414.87	346.29	289.02	116.78	185.11	206.94	384.34	860.08	842.36	607.87	444.72	547.75	559.28	587.13	616.37	353.59	995.0	346.29	603.67	723.08	642.59	1183.45	842.36	723.08	432.53	540.19	684.02	297.17	285.03	420.68	660.68	733.19	688.78	476.71	947.83	387.02	246.28	603.67	426.57	429.54	1073.91	144.01	72.01	139.07	221.86	176.29	329.84	242.88	175.07	186.4	239.52
CES5A	0.37	0.0	0.0	0.0	5.54	6.26	0.0	0.61	0.61	0.0	0.45	0.0	0.0	67.59	12.64	10.96	19.53	21.63	52.82	107.38	98.73	397.93	128.79	164.42	120.94	105.89	223.41	241.19	1.81	164.42	202.66	104.42	156.59	90.14	253.23	128.79	303.44	55.89	271.48	105.89	75.11	264.03	299.25	187.71	269.6	358.54	2.41	41.81	176.29	176.29	76.17	283.05	63.45	397.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.54
CFB	1151.06	116.78	406.31	17.25	31432.17	13681.08	679.29	503.95	503.95	363.56	339.14	8078.22	392.44	29943.43	45386.27	43840.21	13586.57	36610.26	110216.97	239554.43	52497.92	20881.4	24660.96	90773.53	35856.82	53973.86	40341.14	85876.94	80125.95	95949.32	137587.47	64632.75	102836.01	40062.48	17681.08	39237.98	23492.92	17927.91	60723.88	57051.4	112532.89	228208.61	43236.64	288856.81	88905.42	60304.42	96616.71	46339.95	229795.93	147462.67	95949.32	66912.05	31215.04	32540.65	0.0	0.93	307.69	5041.77	4704.07	1819.35	1250.98	733.19	75.11	147.06
CFHR1	0.0	0.0	6.62	5.02	5441.3	2193.99	6.78	7.94	7.94	2.12	14.45	123.5	64.34	13123.73	16045.82	24490.61	7589.61	26248.46	69271.73	116501.39	34876.28	27363.16	38164.99	88.26	21919.61	51775.15	42937.97	93325.55	13968.57	100023.92	107948.72	42346.82	100719.65	23492.92	59887.86	56657.31	62865.33	14765.09	48307.85	65990.84	32.36	47313.67	26067.14	53973.86	39.22	55107.99	18560.17	26614.89	67846.12	80125.95	29736.59	28923.41	11504.21	37121.34	0.0	0.03	0.0	0.0	0.0	5.15	0.0	0.0	0.0	10.31
CFHR2	0.0	0.0	0.0	0.0	3564.78	1447.15	2.81	0.0	0.0	0.0	4.66	0.0	22.1	6037.61	9673.69	17927.91	4671.57	16269.83	25530.66	118127.7	7433.4	3190.46	8191.0	17804.06	12676.65	19754.96	17197.56	61571.56	4123.49	85283.74	61999.83	16269.83	78476.96	6121.9	17558.94	26800.01	29943.43	1561.89	12676.65	41188.81	11745.96	13492.72	40904.3	98646.85	34635.37	37901.36	17681.08	3515.68	54727.32	49322.93	39510.91	37639.55	2240.11	73221.53	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIDEB	47.5	15.22	20.26	17.77	1250.98	660.68	303.44	500.46	500.46	264.03	81.71	19.25	140.04	2104.58	1487.87	2047.0	2133.97	3742.05	19082.0	15285.81	3419.52	6935.54	3665.02	6516.03	2682.69	1447.15	9876.98	16045.82	5219.6	15285.81	7803.01	3928.15	7081.29	9740.98	7485.11	6079.61	5147.73	6164.49	8479.89	9279.58	18178.19	13123.73	5183.54	32994.92	5147.73	5076.84	15180.22	1794.29	11267.44	5791.62	5292.48	23169.48	1467.37	8247.98	0.0	0.58	339.14	297.17	351.14	14.67	33.54	417.77	122.64	104.42
CYP27A1	73.54	25.54	88.88	15.11	2485.67	1628.26	733.19	62.12	62.12	1159.07	371.22	74.58	162.14	8538.88	3794.3	9409.14	6652.97	11664.82	14663.09	28328.16	19214.73	22225.61	19214.73	27174.14	22072.07	18560.17	18431.96	35856.82	20737.16	24490.61	17927.91	54349.29	35118.87	8022.41	27363.16	43840.21	29327.18	7537.18	29943.43	29736.59	13681.08	18052.61	34635.37	50709.61	27553.49	26248.46	31650.8	13968.57	27745.15	16496.96	37121.34	19482.97	14867.79	33455.53	0.0	0.52	65.72	153.34	423.61	329.84	836.53	420.68	273.37	529.06
CYP4A11	1.81	6.41	0.0	0.0	2240.11	1359.57	1.0	0.06	0.06	1.11	2.41	27.44	260.38	1936.53	825.0	6250.56	5041.77	4123.49	73730.83	61571.56	36106.23	23169.48	46339.95	38966.94	37379.55	9088.59	100023.92	90146.51	7537.18	88291.3	32540.65	68793.23	71714.63	57448.23	40341.14	73730.83	57847.82	14461.21	36357.37	58655.36	29327.18	70238.75	34876.28	97288.74	73730.83	112532.89	40621.74	11827.67	57448.23	43236.64	56265.94	44761.41	8078.22	34876.28	0.0	0.06	0.37	8.78	3.17	1.01	0.0	5.92	1.64	1.99
DCXR	2997.45	3060.45	2061.24	3901.01	5006.93	2997.45	3190.46	791.35	791.35	2075.59	4210.15	2976.74	4575.41	39510.91	7695.57	15075.35	6294.04	44452.21	52863.07	168220.2	110983.6	212926.09	170568.48	185362.8	123144.13	86474.27	126606.21	292889.12	31432.17	64186.29	110216.97	186652.11	195931.88	97288.74	221968.2	181548.07	135693.24	68318.04	434801.29	179048.63	69271.73	87075.75	233003.78	110983.6	79572.48	176583.6	174152.51	92040.7	160252.91	160252.91	217400.14	149521.18	42937.97	140478.49	0.0	0.13	2537.92	2004.85	3589.58	2875.3	3982.99	6983.79	6207.38	4937.99
DNAJC12	9.48	6.21	64.34	0.83	256.78	237.86	104.42	54.33	54.33	107.38	11.47	7.11	45.85	454.09	34.75	120.1	684.02	78.34	1437.15	703.28	1008.9	529.06	483.38	403.5	356.05	748.61	629.35	2468.49	450.94	2434.5	555.41	988.12	1498.22	769.69	3768.09	1322.37	1199.98	540.19	718.08	620.67	281.09	409.15	575.03	2915.45	305.55	1073.91	118.43	267.73	1059.11	995.0	1651.0	1295.13	171.45	1088.92	0.0	0.59	14.24	143.01	49.21	348.71	34.51	14.03	12.27	24.81
ECHDC3	9.2	3.5	90.77	4.39	941.27	764.36	217.27	161.02	161.02	59.13	507.46	316.37	540.19	2255.7	2148.82	1991.0	616.37	3515.68	11345.82	559.28	13123.73	2367.9	1225.22	2451.44	4575.41	2090.03	1991.0	4419.52	7749.1	10883.59	1175.27	3303.0	9151.82	8963.45	1628.26	5076.84	1977.24	2855.44	5219.6	10808.41	4123.49	8191.0	5076.84	5147.73	2271.4	2816.11	10014.87	1286.18	1697.45	3820.7	5041.77	14262.1	2351.53	2682.69	0.0	0.54	10.63	22.1	49.21	22.59	21.78	825.0	497.0	500.46
ECI2	476.71	356.05	229.72	142.01	1991.0	1304.15	2148.82	309.83	309.83	1015.93	2061.24	1794.29	1540.37	5672.41	4543.8	6207.38	3467.27	6840.04	7032.37	9606.86	7081.29	6294.04	4869.99	7433.4	7966.99	7230.1	4769.75	14065.74	4328.55	11112.3	8718.32	6840.04	12502.12	4543.8	5711.87	9215.48	8718.32	2351.53	10014.87	9606.86	5219.6	10440.2	10440.2	11909.94	8658.09	7180.15	12676.65	4152.18	7180.15	6207.38	8305.36	7081.29	3280.18	8598.28	0.0	0.67	921.88	981.29	1378.57	1066.48	660.68	2997.45	1583.71	2090.03
EHHADH	220.32	82.29	226.54	151.22	674.59	450.94	381.68	197.09	197.09	32.13	126.12	320.8	616.37	2018.8	1923.14	2178.83	1378.57	1870.53	7857.29	6652.97	7803.01	8134.41	8247.98	6887.62	16383.0	3768.09	8963.45	9808.75	2935.74	11992.79	8963.45	6294.04	7642.41	8421.31	6079.61	7485.11	7331.05	3515.68	5479.15	4869.99	7642.41	7433.4	9474.59	5995.9	9673.69	8078.22	5913.33	2777.33	5751.61	3081.75	5633.22	10585.95	2271.4	10512.82	0.0	0.0	170.25	180.02	239.52	249.73	121.79	258.57	170.25	142.01
FAM47E-STBD1	120.1	175.07	111.99	107.38	420.68	486.75	223.41	24.99	24.99	157.68	69.52	85.22	43.02	921.88	703.28	466.88	198.47	460.44	2758.13	769.69	660.68	2148.82	808.0	1250.98	780.44	463.65	1037.29	507.46	607.87	780.44	1844.76	2400.97	928.3	1277.29	1378.57	1709.26	738.29	1909.85	848.22	2193.99	1295.13	1216.75	384.34	1295.13	1104.13	1977.24	1135.2	1923.14	2434.5	1540.37	780.44	1001.93	119.26	2915.45	0.0	0.48	231.32	70.01	71.5	43.63	114.36	91.41	40.64	85.22
FBP1	3847.29	1397.83	2835.7	3794.3	2591.27	1936.53	1313.23	14.35	14.35	116.78	1143.1	866.07	607.87	2796.65	1923.14	3491.39	1508.65	5183.54	52135.28	48307.85	28723.62	9409.14	7382.04	27938.14	49666.0	17437.64	15075.35	22850.48	5594.3	95949.32	40341.14	10296.45	119776.72	33455.53	16269.83	33688.23	21320.18	8598.28	131071.0	22535.88	94628.34	47642.77	20030.74	63302.6	25887.07	25708.25	179048.63	9151.82	90146.51	45386.27	24321.43	45386.27	20170.07	18178.19	0.0	0.37	59.97	1066.48	808.0	738.29	1639.59	1508.65	379.04	409.15
FMO5	70.01	57.49	33.54	154.42	748.61	1709.26	961.07	8.92	8.92	148.09	38.4	65.72	81.14	2855.44	356.05	3768.09	2976.74	1936.53	3419.52	5672.41	5255.91	11827.67	7803.01	2915.45	6079.61	5329.3	5672.41	10808.41	2997.45	7130.55	6337.83	9808.75	9740.98	2555.58	20310.37	10154.69	10014.87	1909.85	11112.3	13033.07	2384.37	4937.99	5831.91	16383.0	10440.2	7280.4	2777.33	5633.22	7966.99	11584.24	13872.08	6426.31	1950.0	9540.5	0.0	0.0	10.71	1709.26	808.0	223.41	460.44	2090.03	14.89	74.06
GLYATL1	1.45	0.69	0.0	0.0	1096.5	1447.15	7.51	0.0	0.0	6.21	4.35	281.09	463.65	981.29	1096.5	2209.26	967.76	2163.77	7803.01	16843.62	10440.2	7911.95	12589.08	34396.12	18304.63	6079.61	13492.72	24321.43	4038.61	51775.15	18950.18	12329.98	21468.49	12415.75	8538.88	10883.59	13306.94	2468.49	11909.94	15285.81	10585.95	20451.65	20310.37	13776.25	18052.61	11827.67	15180.22	1519.15	12076.21	6935.54	9344.14	33688.23	3018.3	16496.96	0.0	0.16	0.0	18.16	26.47	67.59	75.11	36.53	1.31	0.52
GLYCTK	470.14	43.02	293.07	220.32	878.17	866.07	1350.18	46.84	46.84	100.13	318.57	237.86	660.68	5672.41	5112.16	10883.59	4639.29	7081.29	6607.01	16843.62	13123.73	15499.21	19892.37	12415.75	10585.95	5555.65	21919.61	26431.04	9215.48	21026.65	7280.4	32315.87	15824.9	9215.48	9673.69	23656.34	19082.0	10225.32	11909.94	21172.91	6840.04	11504.21	18689.27	21026.65	18431.96	26248.46	17927.91	6983.79	13681.08	5183.54	16157.44	9025.81	2855.44	13215.02	0.0	0.55	24.11	1159.07	995.0	169.07	525.39	217.27	193.01	392.44
GRHPR	1119.56	995.0	1208.34	1662.49	4038.61	3982.99	1844.76	974.5	974.5	1844.76	2133.97	1832.01	3018.3	7280.4	3540.14	8479.89	2976.74	5041.77	23986.58	30572.63	16611.71	27553.49	24490.61	23169.48	21026.65	19754.96	26800.01	46662.28	12502.12	22535.88	21320.18	37901.36	30151.71	20881.4	35118.87	29327.18	36610.26	12589.08	43840.21	40341.14	16269.83	26067.14	27363.16	33224.42	25530.66	28328.16	29124.6	16727.26	30572.63	23169.48	32994.92	33224.42	12943.04	27363.16	1769.57	98.73	1191.69	1857.6	1498.22	2701.35	1037.29	2193.99	1437.15	1628.26
HAAO	66.18	12.09	54.33	51.71	1295.13	1340.84	363.56	60.82	60.82	283.05	105.89	83.45	181.28	3794.3	1651.0	6079.61	1909.85	3589.58	16045.82	10368.08	14163.58	29943.43	25354.3	18052.61	14361.31	7537.18	23009.42	33455.53	9151.82	15607.02	14065.74	33922.56	15392.14	13492.72	21320.18	27363.16	28328.16	8247.98	24490.61	26248.46	7857.29	18304.63	19482.97	27553.49	14765.09	35363.15	11345.82	14461.21	19618.49	15075.35	21468.49	15075.35	10808.41	21617.82	0.0	0.35	18.56	148.09	748.61	218.79	339.14	521.76	153.34	392.44
