	TCGA.GV.A3QI.01A.11R.A220.07	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.BB.4225.01A.01R.1436.07	TCGA.DQ.7591.01A.11R.2081.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.BC.A10Z.01A.11R.A131.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.XR.A8TG.01A.11R.A36F.07	TCGA.2Y.A9GS.01A.12R.A38B.07	TCGA.DD.A1EJ.01A.11R.A155.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.XR.A8TD.01A.12R.A39D.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.CC.A8HU.01A.11R.A36F.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.CC.A3MB.01A.11R.A213.07	TCGA.DD.A1EK.01A.11R.A213.07	TCGA.DD.AACV.01A.11R.A41C.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.BW.A5NP.01A.11R.A27V.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.QA.A7B7.01A.11R.A32O.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.PD.A5DF.01A.11R.A27V.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A1EI.11A.11R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.Y5LM.0426.SM.4VBRO	GTEX.X4XY.1626.SM.46MVN	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.X261.1726.SM.4PQYT	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.147F4.1426.SM.5LUA8	GTEX.X4EP.1026.SM.4QAS5	GTEX.13113.1326.SM.5GCOI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.13NZB.0626.SM.5IFH6	GTEX.1497J.0726.SM.5Q5D1	GTEX.12KS4.1326.SM.5LUB3	GTEX.132NY.0926.SM.5P9G3	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.11OF3.0726.SM.5BC4Z	GTEX.S4Z8.0526.SM.4AD4T	GTEX.REY6.1226.SM.48FDR	GTEX.11WQC.0726.SM.5EQMR	TCGA.22.5481.01A.31R.1949.07
COIL	486.75	221.86	291.04	397.93	366.09	314.17	476.71	269.6	231.32	438.59	279.14	303.44	325.29	334.46	236.21	444.72	251.48	429.54	316.37	197.09	429.54	273.37	195.72	205.5	336.79	351.14	397.93	256.78	277.2	343.89	161.02	220.32	183.82	275.28	275.28	167.9	111.99	99.43	172.65	116.78	193.01	178.77	150.17	180.02	255.0	146.03	151.22	144.01	202.66	195.72	165.57	202.66	167.9	197.09	182.55	155.5	95.34	118.43	183.82	124.37	138.1	158.79	199.85	197.09	134.3	176.29	169.07	162.14	205.5	148.09	255.0	194.36	181.28	145.02	119.26	122.64	220.32	211.31	132.44	101.54	275.28	186.4
DMC1	121.79	6.11	127.89	277.2	3.56	43.63	139.07	6.73	17.13	24.46	48.18	22.59	4.94	29.06	9.2	100.13	21.32	22.43	2.94	55.89	17.25	14.89	4.03	60.82	25.72	17.0	1.39	23.76	108.9	89.51	87.65	45.53	5.23	11.64	91.41	0.0	0.0	2.12	0.33	2.27	6.16	7.51	0.0	0.0	118.43	0.0	5.32	0.0	1.71	0.0	0.0	7.06	1.68	4.17	1.75	92.7	1.39	0.0	0.0	3.23	1.55	52.82	1.87	0.0	0.0	34.26	0.0	16.15	2.66	0.0	0.0	3.32	0.0	22.1	0.0	2.43	5.87	3.08	2.53	0.0	40.93	426.57
DONSON	1225.22	217.27	995.0	723.08	358.54	909.17	633.73	583.07	314.17	1119.56	529.06	540.19	423.61	753.83	941.27	1023.0	775.05	525.39	1407.55	1001.93	878.17	450.94	297.17	563.18	1023.0	400.71	423.61	480.04	1304.15	819.3	674.59	780.44	447.82	447.82	785.88	218.79	208.38	96.68	172.65	183.82	199.85	277.2	273.37	146.03	358.54	221.86	193.01	320.8	141.02	208.38	177.53	146.03	353.59	277.2	371.22	384.34	157.68	167.9	191.67	166.73	91.41	212.78	117.6	181.28	307.69	136.19	279.14	109.66	182.55	285.03	120.1	376.41	133.36	249.73	166.73	177.53	195.72	256.78	152.28	69.52	291.04	974.5
DSN1	1096.5	291.04	1388.16	713.11	341.51	441.64	775.05	226.54	269.6	633.73	669.92	525.39	312.0	251.48	450.94	708.18	387.02	543.96	808.0	511.0	387.02	435.55	145.02	1030.12	366.09	460.44	265.87	583.07	708.18	521.76	246.28	525.39	195.72	244.57	612.11	104.42	83.45	98.73	108.14	69.52	142.01	189.02	84.04	63.89	743.43	108.9	111.21	69.52	162.14	85.22	92.05	139.07	114.36	97.36	154.42	117.6	83.45	95.34	78.34	149.12	56.68	100.13	75.11	181.28	71.5	155.5	135.24	187.71	62.56	155.5	122.64	105.89	94.01	246.28	99.43	98.73	193.01	75.64	130.6	84.04	99.43	775.05
DTL	212.78	134.3	441.64	444.72	113.56	131.51	186.4	106.63	64.34	241.19	221.86	204.07	118.43	164.42	152.28	764.36	318.57	209.84	262.2	141.02	165.57	182.55	48.87	447.82	229.72	161.02	129.69	444.72	555.41	81.71	112.77	111.99	62.12	49.56	291.04	9.27	1.45	9.27	6.16	3.99	21.01	46.84	5.82	2.76	125.24	7.28	4.74	4.62	34.51	12.83	3.82	20.86	18.43	6.16	4.74	8.0	10.39	5.77	14.89	21.47	2.2	2.2	8.13	20.56	1.23	20.56	1.75	55.89	0.0	18.43	7.63	0.0	20.11	41.81	14.35	4.98	15.91	7.75	10.16	0.64	2.29	490.14
E2F1	1487.87	738.29	1119.56	995.0	239.52	241.19	813.63	529.06	90.14	540.19	830.75	470.14	376.41	246.28	825.0	878.17	698.41	299.25	1143.1	395.18	860.08	1088.92	163.28	1023.0	603.67	688.78	236.21	1037.29	1051.79	748.61	420.68	638.15	287.01	95.34	529.06	37.32	4.86	45.53	11.04	4.5	14.03	90.77	4.1	1.38	339.14	5.19	13.03	11.82	50.63	8.38	4.13	44.57	26.28	19.25	11.73	19.39	5.19	10.08	8.45	92.05	10.0	14.45	15.91	23.08	15.56	35.76	4.13	106.63	9.93	41.81	5.45	6.78	48.87	135.24	6.21	9.78	22.1	8.19	23.59	3.53	13.52	1259.69
EME1	265.87	80.57	175.07	180.02	34.75	69.03	178.77	138.1	30.34	161.02	170.25	127.89	137.14	57.08	121.79	373.81	193.01	52.08	131.51	65.26	87.03	145.02	29.06	303.44	142.01	134.3	28.65	234.57	260.38	75.64	52.08	66.65	89.51	63.89	251.48	24.28	5.11	3.79	5.59	6.52	5.82	16.27	5.02	4.7	70.51	15.56	9.93	8.13	12.18	7.4	2.78	9.63	19.68	7.94	6.31	11.91	2.48	3.69	4.03	20.26	5.68	4.86	5.63	23.25	4.03	20.26	8.32	18.16	5.59	22.1	4.94	2.2	15.8	59.13	3.66	8.06	9.48	5.5	6.16	5.11	7.57	164.42
FAM111B	1936.53	109.66	583.07	332.14	141.02	194.36	139.07	59.13	29.91	206.94	101.54	155.5	52.45	186.4	151.22	202.66	98.73	120.94	87.65	164.42	120.1	107.38	27.64	97.36	211.31	80.57	61.25	171.45	406.31	395.18	92.05	85.82	49.21	54.33	309.83	12.27	1.3	0.33	2.97	2.89	9.06	42.71	5.36	0.0	90.77	1.51	3.38	4.28	21.16	1.99	2.68	7.46	1.16	9.78	5.77	4.54	1.51	1.13	4.39	12.64	3.08	4.82	3.56	8.99	2.16	42.11	1.66	50.98	4.46	17.9	1.08	6.06	15.8	62.56	5.5	2.73	8.06	1.64	9.2	0.0	5.41	403.5
FANCI	1216.75	189.02	928.3	563.18	167.9	165.57	684.02	103.69	66.18	182.55	285.03	289.02	163.28	387.02	202.66	612.11	444.72	191.67	432.53	163.28	199.85	299.25	68.55	395.18	400.71	176.29	189.02	236.21	463.65	260.38	236.21	154.42	88.26	71.5	387.02	25.17	8.06	18.84	24.81	11.13	17.77	53.19	13.32	8.06	138.1	23.76	16.15	24.81	20.56	50.98	8.65	26.47	33.06	18.97	9.78	22.59	20.86	22.26	25.91	36.53	9.06	8.99	30.12	21.32	8.92	56.28	4.31	62.12	9.27	36.01	15.91	18.16	42.11	116.78	10.16	19.39	30.12	12.74	33.54	7.69	18.03	624.99
FEN1	6121.9	521.76	2335.28	2104.58	743.43	571.05	1127.35	780.44	248.0	1096.5	612.11	915.51	753.83	665.29	764.36	1674.06	1369.04	1015.93	743.43	802.41	1313.23	854.13	346.29	490.14	1242.34	872.1	529.06	961.07	2075.59	995.0	759.08	591.22	351.14	366.09	1268.46	177.53	100.83	132.44	149.12	63.0	145.02	291.04	82.87	87.03	1135.2	111.21	75.11	102.97	153.34	180.02	113.56	291.04	209.84	183.82	113.56	358.54	81.71	108.9	131.51	143.01	90.14	105.89	118.43	73.03	109.66	251.48	110.43	334.46	97.36	136.19	57.89	113.56	169.07	241.19	137.14	90.14	134.3	86.43	231.32	119.26	141.02	2319.15
FN3KRP	1457.23	718.08	1674.06	1183.45	848.22	1417.35	2163.77	679.29	769.69	1519.15	703.28	796.86	1322.37	708.18	1167.14	2502.97	1733.13	941.27	1487.87	1199.98	1819.35	1561.89	796.86	1037.29	688.78	915.51	1216.75	819.3	1369.04	1628.26	1369.04	698.41	791.35	743.43	1268.46	559.28	647.07	633.73	785.88	563.18	753.83	429.54	447.82	693.58	981.29	339.14	743.43	684.02	493.56	397.93	612.11	981.29	368.65	441.64	486.75	902.89	400.71	633.73	688.78	669.92	353.59	447.82	256.78	444.72	265.87	660.68	400.71	466.88	802.41	483.38	733.19	480.04	384.34	559.28	463.65	624.99	521.76	361.04	595.34	579.04	525.39	1259.69
GINS1	890.44	77.79	842.36	995.0	163.28	94.67	212.78	131.51	38.4	361.04	218.79	191.67	193.01	187.71	149.12	351.14	249.73	217.27	289.02	146.03	193.01	236.21	34.02	406.31	234.57	209.84	165.57	159.9	301.33	127.0	194.36	115.97	53.19	48.87	267.73	12.0	2.73	12.27	6.67	4.43	13.03	45.21	3.17	7.57	131.51	3.03	7.06	3.92	22.59	6.31	11.13	28.86	17.64	24.81	10.24	15.8	3.06	4.86	17.51	21.32	4.35	3.08	9.93	11.73	11.47	28.65	3.63	41.22	8.32	19.68	2.84	9.78	19.68	63.0	7.46	8.45	31.67	5.28	17.51	1.27	8.78	353.59
GINS3	567.1	239.52	224.97	320.8	67.12	85.22	217.27	94.01	53.19	125.24	107.38	122.64	64.8	211.31	112.77	178.77	214.27	142.01	105.89	109.66	89.51	103.69	92.7	120.1	92.05	108.9	41.52	176.29	172.65	96.01	117.6	104.42	46.84	47.17	132.44	44.25	15.34	25.54	28.45	10.47	16.75	51.71	10.39	16.39	171.45	30.12	20.86	18.56	39.79	30.34	18.56	31.67	41.52	28.45	76.17	20.56	8.06	9.93	25.54	45.21	36.53	26.47	17.51	33.06	8.92	33.54	18.03	41.52	24.11	37.85	9.93	31.0	34.02	87.03	9.7	21.47	43.02	17.64	32.36	14.56	9.85	395.18
HLTF	525.39	579.04	624.99	1208.34	334.46	312.0	262.2	400.71	232.94	567.1	403.5	376.41	507.46	559.28	265.87	454.09	312.0	417.77	232.94	241.19	470.14	432.53	287.01	371.22	343.89	229.72	279.14	514.56	629.35	113.56	256.78	551.56	285.03	226.54	575.03	205.5	100.83	54.33	112.77	94.01	166.73	189.02	105.15	155.5	143.01	80.57	161.02	205.5	198.47	131.51	224.97	163.28	149.12	237.86	121.79	244.57	87.65	80.57	226.54	161.02	193.01	111.99	173.85	103.69	60.82	204.07	122.64	173.85	154.42	183.82	99.43	98.04	92.7	121.79	121.79	76.17	329.84	334.46	176.29	80.01	215.77	295.11
KIAA1524	232.94	36.53	214.27	299.25	45.53	33.3	90.14	42.11	25.35	132.44	64.8	72.01	114.36	88.88	65.72	182.55	101.54	37.85	55.1	54.72	48.18	108.14	15.0	121.79	164.42	53.19	36.79	157.68	163.28	50.63	49.56	50.27	23.93	41.22	194.36	16.39	3.26	1.16	6.26	4.94	8.38	13.62	4.5	3.06	40.07	14.89	2.05	14.89	10.08	8.32	2.68	18.84	5.36	7.51	8.51	13.93	0.43	1.35	2.56	4.66	0.93	3.41	5.63	8.06	3.56	34.02	2.23	11.91	3.14	9.41	4.86	5.36	17.77	24.63	1.87	3.72	20.56	2.61	8.32	4.54	7.11	177.53
KIF23	638.15	144.01	444.72	1073.91	127.89	106.63	134.3	101.54	34.51	264.03	186.4	244.57	72.52	236.21	120.1	339.14	253.23	159.9	152.28	110.43	183.82	299.25	42.41	279.14	348.71	115.97	94.01	299.25	258.57	123.5	150.17	87.65	46.84	87.65	466.88	6.26	2.2	1.11	9.7	0.65	7.06	11.47	9.93	6.26	48.52	0.45	11.91	1.43	13.32	5.96	0.18	18.97	35.25	4.66	4.9	5.28	4.46	5.92	21.32	7.34	1.28	1.27	11.38	5.5	5.59	34.51	0.95	30.78	4.17	9.78	5.41	3.86	24.81	81.14	5.36	8.25	9.85	3.2	7.75	0.78	6.89	555.41
MCM2	1936.53	301.33	3491.39	1857.6	323.03	665.29	583.07	123.5	193.01	603.67	490.14	633.73	607.87	457.25	460.44	1572.76	733.19	808.0	836.53	429.54	441.64	819.3	175.07	967.76	457.25	753.83	279.14	679.29	2485.67	813.63	507.46	368.65	170.25	116.78	1477.58	81.71	23.93	126.12	59.13	22.43	41.81	228.13	23.59	22.75	854.13	25.54	53.57	24.63	120.1	38.67	28.24	128.79	90.77	50.27	23.59	82.29	9.7	28.04	47.84	190.34	17.25	22.92	65.26	40.36	21.94	102.97	18.84	246.28	52.82	128.79	34.26	8.38	100.13	152.28	23.25	39.5	137.14	17.38	80.01	17.64	27.25	2303.12
MCM5	2645.74	647.07	3060.45	3639.7	941.27	1304.15	1870.53	503.95	836.53	1857.6	1769.57	1745.2	1781.89	954.43	791.35	2835.7	780.44	1286.18	1233.75	713.11	967.76	2319.15	351.14	2520.38	1277.29	2104.58	848.22	1896.65	1572.76	1447.15	941.27	967.76	836.53	525.39	1819.35	339.14	140.04	599.49	371.22	139.07	287.01	674.59	84.63	190.34	2627.46	149.12	198.47	92.7	291.04	332.14	164.42	503.95	241.19	176.29	161.02	248.0	133.36	190.34	209.84	595.34	108.9	223.41	283.05	187.71	140.04	591.22	172.65	1001.93	153.34	366.09	189.02	119.26	387.02	633.73	193.01	327.56	387.02	163.28	376.41	209.84	137.14	4388.98
MCM6	1268.46	255.0	1662.49	1477.58	246.28	483.38	559.28	105.15	218.79	941.27	373.81	595.34	470.14	438.59	275.28	1304.15	638.15	743.43	890.44	361.04	651.58	476.71	152.28	497.0	518.15	429.54	303.44	638.15	1427.22	525.39	403.5	406.31	295.11	102.97	1066.48	67.12	32.59	87.65	76.71	47.84	85.82	260.38	14.03	50.27	802.41	68.55	52.45	29.7	165.57	92.7	33.06	171.45	53.95	52.82	31.22	111.21	80.01	41.22	72.01	177.53	50.63	43.63	73.03	49.21	23.59	159.9	40.07	205.5	59.97	118.43	66.65	29.27	150.17	201.25	34.75	67.59	152.28	39.79	77.79	44.25	59.55	1572.76
MELK	2104.58	185.11	500.46	638.15	144.01	157.68	376.41	121.79	40.93	412.0	264.03	242.88	129.69	323.03	336.79	473.41	341.51	242.88	132.44	234.57	169.07	275.28	75.11	567.1	417.77	113.56	165.57	309.83	395.18	232.94	241.19	154.42	25.72	45.53	373.81	9.41	0.53	3.47	3.32	1.6	4.21	23.42	4.17	0.93	78.34	8.58	6.73	1.01	4.94	4.1	0.53	9.41	17.64	6.41	6.73	14.45	4.03	0.95	2.86	10.47	5.23	2.14	3.99	7.63	3.0	26.67	0.96	19.53	1.06	9.34	3.47	0.0	21.78	77.79	1.85	2.27	5.15	7.51	6.57	2.97	2.63	764.36
