	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CR.7369.01A.11R.2132.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.BA.5152.01A.02R.1873.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.BQ.5875.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.DW.7837.01A.11R.2139.07	TCGA.B9.5155.01A.01R.1592.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.BR.7715.01A.11R.2055.13	TCGA.CG.5726.01A.11R.1602.13	TCGA.CG.4441.01A.01R.1802.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.CD.5813.01A.11R.1602.13	TCGA.D7.6528.01A.11R.1802.13	GTEX.117YW.2226.SM.5N9DB	GTEX.1399T.0126.SM.5KM15
C19orf44	98.73	86.43	41.22	12.09	23.76	14.78	90.77	34.51	37.85	57.08	33.78	30.34	82.87	32.13	59.55	56.68	66.18	102.25	117.6	81.71	84.63	165.57	96.68	116.78	205.5	180.02	75.64	148.09	198.47	135.24	202.66	151.22	132.44	189.02	204.07	114.36	186.4	134.3	166.73	141.02	229.72	120.94	119.26	140.04	143.01	124.37	154.42	132.44	124.37	110.43	94.67	132.44	61.68	181.28	153.34	148.09	115.97	101.54	144.01	129.69	148.09	309.83	161.02	194.36	78.89	79.45	175.07	234.57	205.5	78.34	137.14	116.78	93.35	112.77	205.5	111.99	145.02	127.0	72.52	66.65	91.41	154.42	113.56	115.16	176.29	88.26	156.59	149.12	94.01	165.57	209.84	141.02	157.68	167.9	94.67	81.14	104.42	173.85	68.55	72.52	141.02	194.36	165.57	115.97	134.3	166.73	141.02	102.97	217.27	0.0	0.13	99.43	117.6	60.82	111.99	52.08	65.26	47.17	92.7	80.57	58.71	22.92	29.48	68.07	79.45	34.75	217.27
C1orf229	9.7	7.4	0.49	0.0	0.56	0.0	2.68	0.0	0.91	0.59	2.73	0.65	13.12	13.52	8.85	17.0	12.74	3.03	14.35	7.69	15.8	15.68	9.41	13.12	31.0	17.77	11.04	1.01	12.09	19.11	19.39	6.57	8.71	38.95	17.25	32.36	28.24	18.29	5.06	16.75	27.64	14.45	11.38	11.04	23.42	14.67	28.45	18.16	22.1	9.13	14.03	15.22	24.63	3.44	10.63	18.29	7.4	6.06	12.93	20.26	22.1	6.89	19.11	28.86	18.7	12.64	19.25	24.28	23.08	15.45	4.35	15.45	27.44	10.88	28.45	3.29	10.0	2.63	18.03	23.42	7.17	17.13	29.27	19.53	19.25	35.5	3.38	22.1	10.96	33.3	18.16	23.08	13.12	22.26	40.07	20.26	15.34	11.91	19.68	6.57	10.96	7.94	18.43	14.78	12.74	29.06	8.99	16.27	31.45	0.0	0.08	1.68	0.87	2.78	3.99	1.89	1.3	0.0	7.0	1.22	4.21	1.06	1.03	2.86	0.54	1.93	14.24
C2orf73	4.9	28.65	0.0	0.37	0.0	0.62	3.76	0.0	0.0	0.0	0.0	0.45	0.0	0.0	1.2	13.32	9.41	15.45	17.13	0.67	33.06	14.45	9.27	58.71	17.51	13.62	5.28	12.74	22.1	11.55	31.9	13.83	9.63	22.26	17.38	0.72	48.18	9.41	9.63	19.11	93.35	12.27	47.5	45.85	39.79	7.63	19.97	34.26	8.58	26.47	7.94	6.16	9.56	36.53	36.01	21.47	38.95	21.01	20.41	18.56	28.45	5.23	22.26	35.0	9.41	4.94	18.97	29.91	23.93	9.06	4.9	8.45	19.25	36.01	23.59	14.89	25.54	23.93	8.38	7.28	8.06	21.94	17.77	27.84	20.56	8.45	32.82	26.1	45.85	45.85	34.02	27.05	9.85	29.48	22.92	3.59	60.82	18.97	5.28	8.71	13.32	9.34	21.32	75.64	13.62	9.06	22.92	5.73	43.02	0.0	0.0	3.06	4.82	1.85	10.16	0.0	1.6	0.0	0.0	1.79	0.0	0.0	0.34	2.01	0.0	2.73	41.52
C2orf81	48.18	32.82	63.89	23.25	16.15	18.7	48.87	9.85	10.55	72.52	9.34	11.64	38.95	13.62	19.82	18.29	151.22	73.03	99.43	13.52	291.04	234.57	251.48	221.86	57.49	397.93	91.41	6.41	232.94	66.65	426.57	201.25	206.94	387.02	339.14	72.01	361.04	220.32	231.32	332.14	447.82	16.15	316.37	127.89	267.73	204.07	226.54	325.29	209.84	265.87	371.22	173.85	127.89	348.71	164.42	204.07	176.29	98.04	291.04	194.36	242.88	384.34	206.94	295.11	61.68	158.79	241.19	316.37	229.72	40.93	248.0	172.65	105.89	307.69	358.54	175.07	187.71	195.72	73.03	85.82	35.25	146.03	159.9	204.07	114.36	185.11	129.69	307.69	223.41	336.79	249.73	137.14	193.01	320.8	154.42	46.5	438.59	246.28	40.64	114.36	156.59	78.89	191.67	387.02	94.67	397.93	120.1	102.25	323.03	0.0	0.0	37.85	10.96	22.92	48.18	25.91	87.03	58.3	103.69	105.15	70.51	31.67	59.13	134.3	42.41	10.31	170.25
C4orf47	26.67	6.21	40.93	28.24	4.46	7.57	10.31	24.11	2.92	11.55	11.3	4.24	6.41	1.53	6.21	4.78	113.56	384.34	186.4	28.45	277.2	256.78	139.07	189.02	277.2	444.72	109.66	44.57	229.72	59.13	476.71	242.88	281.09	348.71	307.69	26.47	163.28	262.2	209.84	204.07	435.55	22.59	159.9	75.11	55.1	135.24	17.0	223.41	159.9	105.15	124.37	291.04	111.99	255.0	189.02	114.36	269.6	95.34	156.59	103.69	183.82	587.13	186.4	120.94	56.68	29.27	139.07	142.01	55.89	29.27	100.83	147.06	53.19	76.71	220.32	80.57	249.73	139.07	0.0	111.99	30.12	98.04	127.89	281.09	96.01	249.73	119.26	59.13	122.64	132.44	96.01	39.79	73.54	239.52	206.94	10.39	190.34	287.01	10.96	70.01	16.75	41.22	143.01	189.02	51.35	353.59	50.98	279.14	129.69	0.0	0.0	126.12	18.03	4.13	11.04	6.94	13.32	15.68	154.42	2.27	18.84	20.71	3.14	9.27	2.58	10.71	358.54
C5orf49	5.63	14.14	0.0	2.81	0.88	0.41	2.07	0.0	0.8	5.15	0.59	1.07	4.24	9.27	64.8	256.78	185.11	123.5	212.78	119.26	275.28	149.12	157.68	149.12	162.14	409.15	70.51	0.0	239.52	190.34	595.34	258.57	194.36	177.53	444.72	100.13	262.2	281.09	217.27	297.17	387.02	277.2	190.34	353.59	241.19	231.32	99.43	127.0	277.2	220.32	108.14	175.07	173.85	441.64	249.73	269.6	182.55	251.48	169.07	122.64	185.11	178.77	258.57	303.44	144.01	141.02	85.22	221.86	129.69	223.41	130.6	105.89	102.25	112.77	301.33	217.27	234.57	122.64	205.5	57.08	126.12	237.86	289.02	195.72	248.0	166.73	293.07	297.17	154.42	249.73	223.41	204.07	186.4	271.48	105.15	255.0	366.09	178.77	273.37	264.03	92.7	137.14	208.38	299.25	490.14	264.03	575.03	226.54	208.38	0.0	0.0	0.97	4.9	1.48	0.79	0.23	19.53	0.0	4.66	2.81	1.81	2.92	0.0	15.0	1.23	6.31	37.32
C6ORF165	6.36	7.75	6.41	5.5	0.39	1.27	2.66	1.13	0.0	1.64	0.95	1.83	6.06	2.41	2.01	42.71	46.5	24.28	78.34	5.32	45.85	37.85	44.57	34.02	41.52	51.71	13.32	71.0	74.58	36.53	77.79	46.84	22.75	37.85	74.06	22.92	46.84	40.93	38.67	105.15	63.0	20.86	73.03	21.78	43.02	28.04	56.28	46.18	37.05	58.71	32.13	28.04	18.29	83.45	60.82	38.95	74.06	65.26	57.89	33.54	93.35	51.71	35.0	36.01	40.64	25.35	61.25	52.82	137.14	11.21	57.08	34.75	53.19	34.51	28.45	57.08	81.14	56.68	2.2	14.89	21.47	24.81	23.08	44.25	72.01	27.44	54.72	49.56	70.51	52.82	49.56	60.82	46.84	59.97	37.32	12.55	60.39	52.82	78.89	38.95	51.71	73.03	38.4	52.08	14.45	42.41	52.82	46.84	47.17	0.0	0.0	1.28	5.87	15.22	5.11	6.46	0.52	6.57	1.79	0.83	8.32	0.0	0.99	2.43	2.41	2.34	31.9
C7orf63	78.89	157.68	21.47	15.45	7.11	8.65	29.27	17.13	13.72	20.11	28.65	44.25	49.21	4.03	43.02	81.71	162.14	78.34	115.16	130.6	44.25	303.44	134.3	366.09	181.28	307.69	37.59	97.36	651.58	130.6	353.59	158.79	113.56	373.81	314.17	31.67	366.09	256.78	108.14	289.02	457.25	46.18	373.81	72.52	95.34	51.35	82.29	118.43	107.38	162.14	130.6	271.48	12.74	122.64	279.14	123.5	170.25	74.06	264.03	116.78	236.21	255.0	368.65	656.11	85.22	29.48	159.9	563.18	96.01	65.26	301.33	87.03	52.45	75.64	529.06	59.97	141.02	120.1	8.71	41.81	40.36	139.07	42.11	239.52	198.47	64.34	312.0	175.07	211.31	341.51	470.14	101.54	536.45	320.8	220.32	34.51	297.17	567.1	85.82	92.7	38.95	116.78	260.38	165.57	40.93	454.09	72.01	139.07	260.38	0.0	0.08	31.45	80.01	11.73	19.11	24.46	46.5	69.52	34.26	68.55	18.7	42.11	17.9	74.06	38.67	38.95	198.47
C9orf50	0.42	0.39	0.79	0.0	0.48	1.11	0.0	0.0	0.44	0.0	0.0	0.56	0.0	0.0	0.0	0.73	24.11	0.39	13.42	0.69	15.11	70.01	27.44	21.16	14.78	38.95	12.18	0.68	88.26	4.28	28.65	46.5	9.7	15.0	40.64	0.38	64.34	42.41	0.34	30.78	37.05	0.41	82.29	20.86	18.56	35.0	18.43	24.63	17.51	30.34	11.47	26.28	3.5	20.26	9.93	14.45	21.63	0.38	19.25	15.11	33.54	0.0	16.51	126.12	1.85	10.79	10.71	54.33	13.83	0.43	12.27	5.06	4.24	8.19	84.63	0.0	3.0	7.75	2.97	1.5	3.08	31.22	61.68	24.63	5.54	5.96	56.68	11.64	29.91	32.82	61.68	14.24	67.12	71.5	3.59	30.56	21.01	13.22	23.42	2.71	4.03	7.57	30.34	62.12	2.27	19.82	3.38	12.0	35.25	0.0	0.01	2.1	0.0	0.96	0.04	2.94	0.62	0.0	2.58	0.0	5.28	0.73	1.48	1.2	4.17	0.0	2.03
CASC1	5.96	4.94	2.51	0.89	0.91	1.45	3.32	3.26	0.0	1.41	1.13	2.1	6.11	1.93	13.12	54.33	105.15	40.64	82.29	20.26	151.22	113.56	57.08	119.26	63.89	118.43	29.06	21.63	128.79	41.22	105.89	124.37	75.11	78.34	161.02	21.94	94.67	89.51	87.65	141.02	205.5	40.64	199.85	32.13	75.64	42.41	64.8	102.97	105.89	61.25	46.5	67.12	45.53	209.84	102.97	84.63	92.05	51.71	94.01	99.43	131.51	154.42	87.03	90.14	47.17	35.25	59.13	121.79	84.63	73.54	95.34	40.64	35.0	63.89	103.69	45.53	134.3	57.49	6.62	27.64	13.22	42.41	46.5	75.64	72.01	52.82	104.42	90.77	96.68	96.01	137.14	48.52	96.68	209.84	46.5	15.45	98.04	103.69	22.43	77.79	40.93	47.17	59.97	110.43	67.12	127.0	24.46	57.08	127.89	0.0	0.0	1.87	4.06	1.62	1.46	12.18	2.86	3.5	2.05	5.41	2.29	0.0	1.31	2.27	0.44	5.5	177.53
CCDC113	42.71	33.54	17.38	15.34	13.62	50.63	52.08	17.13	20.56	37.32	39.79	26.67	66.18	34.02	88.26	94.01	144.01	29.91	307.69	44.25	162.14	57.49	229.72	94.01	105.89	142.01	96.68	173.85	78.34	47.17	97.36	123.5	122.64	182.55	153.34	73.03	120.94	72.52	223.41	205.5	170.25	69.52	175.07	53.95	234.57	125.24	147.06	143.01	265.87	110.43	151.22	91.41	182.55	379.04	134.3	193.01	206.94	144.01	232.94	229.72	420.68	117.6	74.06	57.89	57.49	181.28	199.85	96.68	169.07	137.14	151.22	127.0	112.77	143.01	127.89	97.36	279.14	147.06	41.52	88.88	85.22	143.01	70.01	125.24	62.12	96.68	66.18	305.55	153.34	107.38	84.63	73.03	68.55	181.28	101.54	63.45	191.67	104.42	82.29	87.65	55.49	72.01	94.67	194.36	108.9	98.04	70.51	132.44	189.02	0.0	0.0	10.0	23.76	22.26	12.93	63.45	25.72	63.0	67.12	39.22	10.88	41.52	14.03	18.43	27.05	6.67	81.14
CCDC148	5.63	30.34	6.46	3.17	3.63	3.79	2.81	5.68	2.92	1.6	3.41	4.9	22.75	14.45	22.92	20.11	88.88	28.24	151.22	9.41	119.26	95.34	74.58	90.77	99.43	150.17	34.26	211.31	279.14	101.54	181.28	127.0	80.01	142.01	180.02	133.36	209.84	122.64	348.71	148.09	693.58	28.86	262.2	26.47	108.9	32.82	124.37	164.42	82.87	80.01	105.15	187.71	36.79	144.01	181.28	144.01	96.01	119.26	154.42	87.03	118.43	236.21	145.02	299.25	182.55	28.86	71.0	253.23	115.97	47.84	118.43	68.07	59.97	88.26	133.36	84.04	124.37	84.04	7.0	33.78	37.85	121.79	39.5	98.73	132.44	37.32	124.37	103.69	173.85	255.0	271.48	96.68	189.02	119.26	77.25	19.53	142.01	127.89	46.5	48.87	51.71	98.73	122.64	128.79	90.14	144.01	102.25	46.5	181.28	0.0	0.0	6.26	4.24	6.01	3.44	8.51	12.45	5.96	5.32	6.11	12.93	1.97	8.38	5.92	11.91	2.71	172.65
CCDC157	28.04	21.63	28.04	23.76	19.68	34.26	19.82	17.38	14.56	27.64	21.78	33.78	21.01	43.63	102.25	29.06	87.03	87.03	97.36	24.28	103.69	133.36	105.89	121.79	100.13	199.85	87.03	109.66	166.73	95.34	220.32	96.01	115.97	144.01	162.14	39.22	145.02	139.07	59.55	199.85	170.25	100.13	153.34	94.01	76.71	117.6	63.45	128.79	105.89	117.6	124.37	127.0	87.65	189.02	135.24	89.51	194.36	138.1	148.09	100.13	151.22	113.56	164.42	145.02	69.52	87.03	109.66	171.45	151.22	105.89	120.94	90.14	36.79	91.41	182.55	101.54	212.78	169.07	96.01	68.07	37.85	100.83	126.12	108.9	204.07	74.06	96.68	133.36	124.37	124.37	149.12	125.24	136.19	182.55	115.16	55.49	183.82	158.79	48.52	51.35	42.41	54.33	101.54	112.77	61.25	191.67	98.04	79.45	137.14	0.0	0.03	25.72	26.47	22.92	5.5	24.46	59.13	52.82	40.07	57.89	51.71	23.42	11.73	38.12	43.63	17.77	186.4
CCDC176	155.5	62.12	20.11	38.4	40.07	55.89	87.03	38.12	18.29	115.16	57.49	84.04	95.34	71.5	104.42	105.89	273.37	108.14	159.9	74.06	224.97	209.84	155.5	251.48	144.01	229.72	170.25	164.42	325.29	154.42	297.17	237.86	208.38	348.71	327.56	92.05	234.57	182.55	163.28	486.75	532.74	159.9	299.25	144.01	182.55	117.6	53.57	231.32	316.37	275.28	173.85	195.72	98.73	423.61	351.14	208.38	218.79	165.57	351.14	253.23	603.67	180.02	170.25	159.9	126.12	103.69	241.19	236.21	236.21	172.65	295.11	194.36	96.68	201.25	387.02	115.16	381.68	92.05	34.51	155.5	161.02	155.5	96.68	195.72	223.41	118.43	269.6	348.71	260.38	291.04	314.17	209.84	271.48	339.14	161.02	90.14	332.14	260.38	147.06	180.02	111.99	131.51	204.07	166.73	136.19	323.03	147.06	154.42	341.51	0.0	0.06	34.75	62.56	52.08	32.13	48.18	53.95	18.16	58.71	57.08	45.53	45.53	22.92	103.69	23.42	20.86	480.04
CCDC30	40.93	64.8	10.16	4.94	10.08	3.5	20.26	9.13	1.39	6.31	12.83	12.64	28.45	24.63	30.12	61.25	136.19	94.67	115.97	10.16	118.43	124.37	78.34	181.28	110.43	177.53	71.5	76.71	173.85	124.37	171.45	175.07	136.19	209.84	182.55	171.45	199.85	122.64	100.13	291.04	351.14	52.08	167.9	104.42	76.71	37.59	75.11	128.79	167.9	92.05	123.5	137.14	44.57	223.41	180.02	137.14	112.77	116.78	221.86	145.02	285.03	123.5	156.59	197.09	103.69	35.76	217.27	162.14	180.02	114.36	237.86	114.36	114.36	133.36	214.27	41.52	158.79	59.55	19.97	90.14	29.27	79.45	111.99	111.99	146.03	66.65	162.14	198.47	162.14	248.0	176.29	201.25	197.09	189.02	136.19	25.35	143.01	186.4	85.22	136.19	98.73	141.02	124.37	82.29	57.49	251.48	81.71	69.52	248.0	0.0	0.1	7.69	13.83	19.97	7.88	16.27	33.78	31.9	31.0	37.32	21.63	9.34	15.11	25.17	23.25	58.71	414.87
CCDC40	64.34	21.63	16.88	12.27	11.55	23.08	23.25	26.67	20.56	24.46	22.59	29.48	38.12	31.45	102.25	165.57	320.8	101.54	291.04	70.51	150.17	633.73	301.33	334.46	242.88	341.51	128.79	137.14	567.1	182.55	656.11	414.87	379.04	612.11	603.67	136.19	638.15	269.6	171.45	348.71	884.29	371.22	334.46	329.84	164.42	178.77	137.14	325.29	187.71	232.94	353.59	406.31	94.67	785.88	547.75	208.38	208.38	249.73	547.75	307.69	480.04	376.41	420.68	1208.34	117.6	120.1	325.29	629.35	163.28	191.67	392.44	177.53	121.79	244.57	603.67	171.45	395.18	162.14	100.13	105.89	85.22	327.56	138.1	334.46	197.09	212.78	356.05	283.05	325.29	708.18	718.08	223.41	665.29	420.68	303.44	70.01	426.57	351.14	105.15	142.01	129.69	98.73	511.0	309.83	172.65	392.44	135.24	202.66	417.77	0.0	0.33	24.28	17.38	26.86	8.85	28.45	59.13	164.42	122.64	46.5	31.9	46.84	24.11	82.87	81.71	19.39	269.6
CCDC65	16.03	14.56	5.41	1.77	10.16	2.89	7.06	1.77	6.73	8.85	5.15	1.66	1.38	4.9	19.68	25.54	152.28	45.53	127.89	31.67	127.0	232.94	115.16	291.04	36.01	220.32	51.35	8.06	267.73	46.84	193.01	176.29	167.9	166.73	316.37	50.27	180.02	175.07	120.1	249.73	400.71	49.56	412.0	63.45	117.6	82.29	71.5	163.28	221.86	158.79	88.88	129.69	63.45	412.0	180.02	147.06	117.6	50.27	171.45	140.04	220.32	163.28	129.69	65.72	32.13	72.01	74.58	180.02	104.42	27.05	208.38	81.71	47.17	57.89	237.86	78.89	271.48	153.34	17.0	69.52	33.54	93.35	85.22	101.54	122.64	96.68	143.01	107.38	220.32	115.97	260.38	111.99	199.85	363.56	71.5	31.22	215.77	177.53	33.3	83.45	40.64	43.63	96.01	283.05	66.18	139.07	22.43	147.06	158.79	0.0	0.0	3.26	34.02	24.28	12.0	4.5	19.11	10.31	14.56	10.24	8.85	6.41	23.42	29.7	12.74	33.78	90.14
CCDC92	1001.93	1167.14	733.19	406.31	624.99	267.73	954.43	587.13	273.37	728.11	802.41	414.87	1030.12	1023.0	872.1	728.11	1081.39	981.29	813.63	299.25	1277.29	2119.22	1135.2	2303.12	1015.93	1628.26	1369.04	718.08	1757.34	915.51	1183.45	1216.75	1417.35	1277.29	1151.06	791.35	819.3	1277.29	1685.71	1359.57	2485.67	1023.0	1639.59	1015.93	872.1	791.35	1651.0	1250.98	1477.58	1127.35	825.0	1331.57	1208.34	1378.57	1369.04	728.11	902.89	796.86	1143.1	1208.34	1081.39	2645.74	1447.15	988.12	981.29	1457.23	802.41	1697.45	1088.92	1081.39	1259.69	802.41	775.05	802.41	1242.34	1350.18	1073.91	1127.35	1111.82	759.08	358.54	764.36	1709.26	1151.06	1950.0	1350.18	1216.75	1225.22	1151.06	1167.14	1457.23	1594.73	1268.46	1259.69	915.51	1340.84	1037.29	961.07	1096.5	878.17	753.83	1081.39	738.29	1378.57	780.44	1331.57	941.27	941.27	1008.9	476.71	88.88	460.44	813.63	1508.65	854.13	1051.79	753.83	651.58	802.41	312.0	571.05	381.68	583.07	836.53	567.1	884.29	1023.0
CDH6	35.0	51.35	38.4	28.45	31.45	23.42	78.89	10.39	44.25	47.5	15.0	11.82	52.08	17.9	48.87	8.85	2271.4	1769.57	4607.24	198.47	2502.97	2701.35	2303.12	389.72	1806.78	1844.76	1709.26	1583.71	2240.11	693.58	3325.99	2384.37	1909.85	1277.29	1378.57	591.22	1519.15	1135.2	204.07	3103.19	2537.92	567.1	1794.29	896.64	4038.61	1340.84	2240.11	514.56	3060.45	1674.06	1225.22	1467.37	1427.22	7081.29	2451.44	1950.0	2796.65	3325.99	1605.83	2163.77	2835.7	1151.06	2434.5	1551.09	559.28	3146.52	4450.27	836.53	4328.55	2758.13	1259.69	2384.37	1806.78	1233.75	4152.18	4210.15	5711.87	2485.67	414.87	2997.45	836.53	1950.0	1233.75	1487.87	2417.67	1268.46	2976.74	4903.87	1350.18	1909.85	1216.75	624.99	2609.3	3168.41	3190.46	223.41	1378.57	1832.01	23.76	232.94	2591.27	258.57	733.19	2777.33	2163.77	2148.82	1037.29	2075.59	1159.07	0.0	0.4	28.24	14.14	44.57	46.84	74.58	31.45	20.56	96.68	8.71	70.01	25.54	17.0	138.1	18.29	25.54	31.9
CEP290	116.78	104.42	64.34	12.36	24.81	21.94	52.45	43.02	34.75	63.0	31.45	10.55	40.64	72.52	133.36	96.01	163.28	105.89	161.02	85.22	149.12	191.67	217.27	195.72	226.54	133.36	62.56	171.45	400.71	131.51	226.54	130.6	153.34	182.55	206.94	140.04	123.5	136.19	242.88	131.51	358.54	195.72	248.0	95.34	125.24	31.45	267.73	181.28	115.97	108.14	92.7	166.73	23.76	220.32	143.01	113.56	136.19	217.27	163.28	164.42	185.11	334.46	149.12	220.32	104.42	56.68	140.04	221.86	198.47	57.08	140.04	119.26	115.16	54.72	169.07	157.68	167.9	100.13	15.56	55.49	130.6	87.65	88.26	165.57	101.54	62.12	212.78	129.69	164.42	215.77	215.77	158.79	226.54	226.54	137.14	119.26	108.14	149.12	99.43	134.3	75.11	208.38	159.9	86.43	103.69	141.02	108.14	108.9	202.66	0.0	0.37	69.52	84.63	29.91	48.52	39.5	47.84	63.0	84.04	32.13	70.51	47.5	75.11	47.5	67.59	20.71	273.37
COLQ	25.54	56.68	6.52	1.51	4.54	4.21	193.01	4.9	10.24	13.52	57.89	16.51	29.91	4.03	16.51	47.84	25.17	16.15	33.3	8.65	26.28	47.84	46.84	57.08	10.63	67.12	24.63	12.27	53.19	37.59	36.01	30.78	43.02	124.37	78.89	14.67	80.01	46.5	48.18	108.14	164.42	27.44	66.65	43.32	26.47	22.92	61.25	88.88	13.83	20.41	40.07	98.04	26.1	21.78	59.97	20.56	41.52	11.04	48.52	18.03	33.54	193.01	125.24	94.01	18.03	13.52	12.27	86.43	37.05	44.57	32.82	20.26	18.7	24.46	97.36	156.59	84.63	104.42	44.89	19.25	9.85	36.27	14.78	115.97	76.17	29.27	41.81	39.22	30.12	54.72	66.65	49.21	62.56	45.85	108.9	24.46	60.39	90.77	39.5	35.25	51.71	21.32	31.0	46.5	35.76	148.09	29.48	60.82	48.52	0.0	0.39	8.19	81.71	19.82	66.65	444.72	13.12	39.5	24.99	1.5	12.18	6.57	20.86	75.64	10.63	7.69	74.58
