	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E2.A15M.11A.22R.A12D.07	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.13QIC.2326.SM.5LU5N	TCGA.KN.8437.11A.01R.2315.07	TCGA.DD.A4NS.01A.11R.A311.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH
ATRIP	223.41	190.34	172.65	244.57	195.72	149.12	165.57	194.36	327.56	152.28	193.01	183.82	204.07	258.57	239.52	197.09	316.37	249.73	215.77	162.14	155.5	27.05	85.22	70.51	106.63	68.55	57.49	64.34	111.21	36.79	82.29	69.03	90.77	52.08	62.12	70.01	58.71	61.25	64.8	63.45	161.02	57.08	86.43	46.18	62.56
B3GALNT2	157.68	281.09	236.21	177.53	205.5	127.0	137.14	246.28	172.65	229.72	220.32	182.55	307.69	204.07	220.32	438.59	293.07	273.37	229.72	204.07	140.04	27.25	53.95	42.71	34.75	30.78	34.75	22.26	13.72	43.63	80.01	53.19	37.59	19.53	58.71	33.78	29.48	30.34	56.68	44.89	45.21	53.57	66.65	63.45	29.7
BACE2	1322.37	1250.98	1551.09	1167.14	872.1	1111.82	1498.22	1322.37	1259.69	1233.75	1233.75	1427.22	1216.75	1277.29	1277.29	1104.13	1583.71	1135.2	3419.52	902.89	514.56	59.97	176.29	105.89	17.9	16.03	90.77	45.21	115.97	120.94	31.22	64.8	8.92	68.07	65.72	37.85	84.63	39.79	1199.98	860.08	29.06	961.07	105.89	20.26	24.63
BIVM-ERCC5	55.89	98.73	150.17	86.43	92.7	2.1	102.25	206.94	150.17	104.42	87.03	134.3	137.14	118.43	94.67	379.04	366.09	406.31	62.12	103.69	40.64	5.06	10.16	0.0	1.43	12.18	25.17	7.22	15.45	14.89	0.0	19.11	38.4	18.03	40.93	0.0	14.89	34.26	14.45	16.88	2.41	0.0	7.06	17.25	0.0
BTBD1	679.29	1081.39	1088.92	1051.79	759.08	656.11	785.88	1008.9	1096.5	854.13	941.27	813.63	1143.1	802.41	775.05	785.88	988.12	902.89	1167.14	733.19	441.64	460.44	264.03	318.57	244.57	285.03	275.28	521.76	215.77	283.05	312.0	466.88	376.41	206.94	209.84	358.54	403.5	242.88	348.71	373.81	281.09	260.38	249.73	289.02	379.04
C11orf63	100.13	161.02	178.77	217.27	164.42	114.36	124.37	176.29	170.25	133.36	119.26	131.51	205.5	185.11	202.66	137.14	480.04	237.86	236.21	177.53	26.1	2.07	7.88	7.4	12.83	7.46	21.32	2.29	29.91	4.1	0.96	16.39	0.37	14.89	7.11	0.0	4.35	5.11	6.11	13.22	0.99	10.24	4.28	5.68	8.65
CAND1	830.75	1697.45	1870.53	1250.98	1044.52	780.44	1096.5	1639.59	2400.97	1081.39	1477.58	1447.15	1651.0	1286.18	1167.14	2032.85	2682.69	2224.63	2075.59	878.17	603.67	389.72	351.14	309.83	242.88	277.2	351.14	454.09	348.71	301.33	373.81	400.71	363.56	273.37	447.82	323.03	277.2	327.56	473.41	397.93	356.05	341.51	473.41	208.38	414.87
CAPRIN1	2287.2	3372.43	3491.39	2758.13	2434.5	2400.97	2816.11	3690.52	4181.07	2739.08	2915.45	4066.71	3349.13	2739.08	2664.15	2758.13	5006.93	3443.31	5403.7	2090.03	1407.55	536.45	1037.29	866.07	500.46	575.03	733.19	808.0	703.28	764.36	575.03	1081.39	579.04	547.75	674.59	854.13	651.58	599.49	860.08	1044.52	555.41	1001.93	708.18	460.44	947.83
CCDC6	575.03	1477.58	1498.22	718.08	616.37	543.96	748.61	1250.98	1268.46	620.67	860.08	1225.22	974.5	759.08	836.53	884.29	796.86	808.0	941.27	392.44	234.57	108.14	120.94	153.34	102.97	137.14	82.87	138.1	94.01	108.9	80.01	143.01	101.54	87.03	159.9	193.01	155.5	108.14	234.57	209.84	73.54	116.78	131.51	99.43	144.01
CHN1	229.72	299.25	371.22	273.37	309.83	334.46	363.56	497.0	343.89	361.04	473.41	447.82	381.68	297.17	409.15	400.71	441.64	525.39	567.1	255.0	110.43	11.91	23.08	99.43	34.51	73.03	47.5	46.84	18.97	50.63	17.25	35.76	6.62	12.0	47.5	23.59	34.51	16.39	15.22	48.18	64.8	19.11	29.7	12.09	50.98
CNOT6	218.79	376.41	493.56	289.02	241.19	172.65	264.03	389.72	536.45	217.27	316.37	339.14	341.51	329.84	285.03	387.02	536.45	476.71	493.56	248.0	118.43	29.7	42.71	94.67	26.47	55.1	36.27	77.25	44.89	45.21	20.56	86.43	61.25	37.05	81.71	71.0	38.67	40.36	67.12	89.51	24.81	65.26	69.03	9.48	51.71
CPNE3	775.05	1733.13	1883.54	1159.07	1183.45	813.63	1073.91	1437.15	2178.83	1167.14	1369.04	1594.73	1583.71	1331.57	1242.34	2061.24	2935.74	1674.06	2351.53	1059.11	836.53	429.54	540.19	366.09	287.01	273.37	325.29	500.46	348.71	633.73	441.64	575.03	323.03	406.31	470.14	463.65	423.61	368.65	368.65	518.15	275.28	339.14	470.14	429.54	532.74
CRLF3	178.77	287.01	293.07	264.03	214.27	185.11	255.0	281.09	381.68	211.31	307.69	220.32	264.03	226.54	279.14	417.77	329.84	412.0	307.69	199.85	124.37	49.56	77.79	105.15	40.36	63.89	43.32	59.97	56.68	43.02	36.01	66.18	30.34	57.49	67.12	77.25	49.21	44.89	77.79	85.82	53.95	61.25	65.72	25.17	59.55
CSRNP2	320.8	476.71	490.14	353.59	406.31	279.14	262.2	423.61	379.04	332.14	441.64	303.44	409.15	441.64	473.41	373.81	866.07	323.03	320.8	483.38	194.36	53.57	56.28	110.43	77.25	111.99	85.82	57.08	97.36	63.0	47.5	87.03	58.71	90.14	81.71	73.03	156.59	58.71	69.52	71.5	88.26	67.12	79.45	27.44	66.65
DCAF10	341.51	529.06	503.95	497.0	426.57	343.89	346.29	624.99	733.19	417.77	483.38	503.95	624.99	466.88	444.72	642.59	500.46	547.75	1127.35	336.79	281.09	323.03	178.77	283.05	185.11	183.82	187.71	251.48	239.52	218.79	194.36	255.0	195.72	244.57	140.04	236.21	231.32	147.06	209.84	209.84	124.37	336.79	289.02	169.07	215.77
DCP2	248.0	403.5	353.59	275.28	206.94	198.47	258.57	381.68	444.72	265.87	384.34	356.05	295.11	295.11	256.78	275.28	476.71	381.68	387.02	158.79	119.26	63.89	111.99	77.79	45.85	47.84	63.89	85.82	72.01	49.56	51.71	98.04	59.13	47.84	74.58	59.13	86.43	55.49	88.88	110.43	64.34	66.18	87.03	60.82	102.25
DGKI	16.39	57.89	23.59	44.25	37.59	26.67	20.86	43.94	10.47	24.46	34.26	70.01	57.49	40.07	39.5	30.12	21.63	10.63	63.45	5.23	3.86	0.0	4.78	1.25	0.27	1.0	5.32	1.36	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	3.56	0.23	0.0	0.89	3.66	0.13	1.28	0.0	3.82
ECT2	128.79	193.01	403.5	139.07	170.25	115.16	130.6	221.86	281.09	125.24	218.79	124.37	224.97	228.13	178.77	234.57	249.73	384.34	414.87	144.01	93.35	17.9	13.93	38.67	7.28	5.45	18.7	21.94	16.27	1.95	15.22	10.47	2.43	7.11	24.99	17.0	17.77	5.11	36.01	35.5	2.36	19.53	21.01	11.04	12.74
EIF2D	1397.83	1519.15	1397.83	1304.15	1081.39	1151.06	1397.83	1709.26	1757.34	1191.69	1250.98	1628.26	1001.93	1313.23	1159.07	1498.22	2032.85	1540.37	1286.18	1233.75	1001.93	587.13	909.17	559.28	718.08	567.1	733.19	571.05	684.02	796.86	808.0	543.96	703.28	743.43	813.63	480.04	412.0	638.15	500.46	723.08	860.08	708.18	624.99	599.49	616.37
ERC2	9.2	16.39	22.59	12.0	6.26	11.13	10.47	13.62	9.85	3.47	19.97	16.63	13.12	16.27	10.47	17.13	34.26	22.43	11.13	17.77	10.31	0.0	0.0	0.83	0.0	0.0	0.96	2.63	0.0	0.0	0.0	0.3	0.0	0.26	1.95	0.0	3.41	0.0	6.73	0.21	0.0	7.22	0.0	0.36	8.65
ESYT2	941.27	1896.65	1697.45	1417.35	1242.34	915.51	1304.15	1628.26	1617.0	1378.57	1216.75	1594.73	1721.16	1407.55	1322.37	1572.76	974.5	1477.58	1350.18	1407.55	660.68	713.11	432.53	295.11	255.0	214.27	209.84	361.04	320.8	295.11	366.09	332.14	579.04	242.88	454.09	363.56	387.02	301.33	316.37	273.37	242.88	221.86	289.02	400.71	420.68
ETF1	1001.93	1769.57	2075.59	1936.53	1733.13	1417.35	1572.76	2090.03	2609.3	1651.0	1437.15	1662.49	2645.74	1733.13	1745.2	1769.57	1250.98	1467.37	1909.85	1167.14	753.83	483.38	571.05	518.15	603.67	507.46	529.06	612.11	395.18	555.41	503.95	603.67	638.15	400.71	470.14	559.28	813.63	450.94	595.34	500.46	409.15	532.74	500.46	511.0	540.19
EXOC2	285.03	466.88	426.57	409.15	314.17	312.0	358.54	447.82	454.09	395.18	371.22	441.64	242.88	387.02	379.04	376.41	1111.82	638.15	417.77	267.73	224.97	137.14	128.79	217.27	88.26	120.1	206.94	209.84	88.88	96.01	102.25	171.45	135.24	116.78	105.89	199.85	132.44	202.66	173.85	137.14	100.83	185.11	110.43	127.0	120.1
EXOC6	228.13	277.2	389.72	320.8	323.03	291.04	271.48	500.46	532.74	426.57	466.88	379.04	480.04	283.05	277.2	320.8	620.67	361.04	1350.18	267.73	323.03	228.13	246.28	202.66	67.12	178.77	151.22	277.2	114.36	67.59	166.73	231.32	111.99	170.25	143.01	178.77	94.67	312.0	214.27	303.44	145.02	202.66	199.85	118.43	128.79
FAM13B	392.44	813.63	791.35	460.44	435.55	217.27	525.39	669.92	902.89	414.87	536.45	693.58	688.78	532.74	429.54	890.44	967.76	753.83	836.53	387.02	182.55	50.98	81.14	59.55	31.22	33.78	52.08	81.71	89.51	41.22	43.94	73.03	26.86	56.28	127.89	70.01	37.32	54.72	112.77	136.19	72.01	64.8	75.11	26.1	72.52
FAM208A	693.58	1008.9	1175.27	921.88	825.0	559.28	718.08	961.07	1487.87	813.63	954.43	1030.12	1119.56	995.0	1023.0	1015.93	1427.22	1369.04	1233.75	728.11	497.0	262.2	256.78	503.95	152.28	244.57	309.83	507.46	412.0	134.3	285.03	339.14	307.69	314.17	334.46	214.27	204.07	265.87	353.59	514.56	301.33	291.04	316.37	123.5	409.15
FAM63A	444.72	555.41	493.56	536.45	543.96	435.55	521.76	571.05	579.04	518.15	547.75	536.45	521.76	647.07	583.07	1427.22	1159.07	1199.98	612.11	624.99	500.46	281.09	363.56	249.73	208.38	368.65	318.57	301.33	420.68	366.09	281.09	327.56	329.84	387.02	341.51	249.73	329.84	265.87	249.73	403.5	457.25	417.77	277.2	392.44	255.0
FAR1	450.94	764.36	954.43	583.07	503.95	283.05	389.72	651.58	981.29	470.14	688.78	551.56	934.76	669.92	493.56	813.63	1191.69	961.07	1015.93	373.81	130.6	15.91	88.26	71.5	11.64	14.67	24.99	32.82	63.0	22.59	16.63	28.45	9.13	16.63	52.45	18.03	22.59	13.03	58.3	76.71	36.01	32.82	66.18	4.39	15.11
FASTKD2	373.81	603.67	656.11	525.39	429.54	303.44	381.68	718.08	934.76	348.71	441.64	536.45	651.58	457.25	441.64	540.19	575.03	612.11	624.99	332.14	379.04	287.01	264.03	214.27	260.38	178.77	255.0	299.25	185.11	285.03	236.21	277.2	239.52	260.38	273.37	211.31	190.34	265.87	246.28	271.48	229.72	281.09	320.8	256.78	273.37
FBXL20	87.65	156.59	208.38	98.73	136.19	73.54	100.13	100.13	232.94	113.56	159.9	124.37	170.25	166.73	151.22	232.94	241.19	273.37	260.38	123.5	77.25	48.18	87.03	64.34	38.67	70.01	29.27	63.45	82.87	40.64	80.57	62.12	92.7	59.55	73.54	71.0	78.34	43.32	74.06	91.41	45.53	75.64	84.63	80.57	46.84
FBXO11	616.37	1135.2	1081.39	1008.9	759.08	575.03	830.75	934.76	1242.34	872.1	981.29	928.3	1159.07	836.53	791.35	1030.12	1378.57	1119.56	1233.75	728.11	457.25	301.33	309.83	466.88	251.48	285.03	260.38	379.04	420.68	291.04	209.84	420.68	316.37	224.97	389.72	339.14	318.57	295.11	334.46	473.41	320.8	228.13	438.59	153.34	343.89
FGF10	163.28	624.99	307.69	529.06	470.14	236.21	246.28	361.04	376.41	466.88	387.02	348.71	406.31	361.04	205.5	61.25	309.83	423.61	607.87	119.26	3.92	1.2	2.94	3.03	2.71	3.35	0.0	0.34	2.39	0.37	0.0	1.93	0.74	2.29	0.0	0.77	0.78	0.88	0.0	0.74	0.0	0.0	0.0	0.41	0.84
FUT8	713.11	532.74	575.03	529.06	532.74	447.82	438.59	825.0	532.74	454.09	629.35	587.13	555.41	525.39	518.15	493.56	2739.08	660.68	638.15	366.09	131.51	19.25	115.97	63.0	3.92	80.57	56.68	17.38	98.73	35.76	25.17	65.72	12.55	49.56	83.45	88.26	14.14	24.11	92.05	220.32	38.95	36.01	47.5	27.64	62.12
GLCCI1	189.02	226.54	275.28	329.84	346.29	172.65	195.72	185.11	329.84	208.38	264.03	140.04	332.14	281.09	234.57	332.14	769.69	902.89	384.34	299.25	130.6	36.01	79.45	115.97	63.89	163.28	185.11	130.6	111.99	85.82	76.71	62.12	69.52	73.03	285.03	56.28	125.24	75.11	126.12	189.02	76.71	106.63	82.87	47.84	110.43
GLYATL2	124.37	497.0	1572.76	289.02	293.07	379.04	165.57	1208.34	258.57	271.48	642.59	503.95	108.14	1119.56	293.07	974.5	703.28	127.0	1030.12	19.53	3.23	0.0	10.16	0.0	6.26	4.74	1.36	5.32	0.0	0.0	0.0	2.81	0.0	0.0	7.28	0.0	7.82	0.0	0.0	1.85	1.97	2.16	11.82	0.0	8.38
HAT1	954.43	1268.46	1417.35	1111.82	1015.93	954.43	1066.48	1437.15	1709.26	1015.93	1268.46	1277.29	1322.37	1059.11	1159.07	1015.93	1498.22	1127.35	1583.71	878.17	525.39	343.89	403.5	293.07	232.94	201.25	265.87	412.0	242.88	303.44	417.77	363.56	353.59	256.78	348.71	273.37	334.46	269.6	323.03	339.14	262.2	232.94	316.37	389.72	379.04
HNRNPLL	463.65	674.59	825.0	620.67	603.67	438.59	603.67	669.92	1015.93	463.65	759.08	665.29	775.05	591.22	599.49	665.29	819.3	703.28	941.27	703.28	373.81	148.09	206.94	164.42	102.25	117.6	115.97	138.1	131.51	134.3	165.57	155.5	141.02	107.38	221.86	172.65	206.94	128.79	190.34	173.85	113.56	180.02	190.34	166.73	149.12
HP1BP3	2573.36	2956.17	3639.7	2555.58	2400.97	1794.29	2384.37	3303.0	3589.58	2367.9	2835.7	2609.3	2609.3	3212.66	2400.97	3060.45	2956.17	3372.43	2701.35	2555.58	1844.76	555.41	1051.79	934.76	356.05	836.53	500.46	802.41	1104.13	633.73	718.08	860.08	607.87	591.22	1104.13	1073.91	708.18	674.59	921.88	1066.48	769.69	947.83	1167.14	438.59	743.43
HSPE1-MOB4	152.28	289.02	295.11	269.6	265.87	176.29	248.0	166.73	299.25	198.47	432.53	293.07	323.03	180.02	267.73	384.34	406.31	301.33	271.48	248.0	82.29	78.34	111.21	24.99	50.27	33.06	55.49	0.0	92.7	128.79	77.25	56.28	65.26	0.0	96.01	72.01	55.1	0.0	49.21	0.0	77.25	82.87	108.9	84.04	63.89
INPP5F	232.94	305.55	341.51	249.73	183.82	144.01	241.19	327.56	432.53	206.94	267.73	275.28	297.17	253.23	246.28	281.09	406.31	361.04	392.44	246.28	85.22	30.12	49.91	36.01	17.77	24.63	21.94	41.22	33.78	14.14	25.72	33.78	19.11	21.32	39.5	35.76	43.02	23.42	47.84	73.03	28.24	26.28	41.52	17.51	38.67
INTS2	79.45	169.07	178.77	115.16	108.9	71.0	92.05	125.24	204.07	104.42	134.3	120.94	159.9	126.12	115.16	151.22	217.27	343.89	205.5	105.89	77.79	40.07	40.36	48.18	16.15	39.79	28.45	51.71	44.57	33.06	56.68	50.27	24.46	23.42	54.33	39.79	24.28	39.22	53.57	59.97	44.25	37.59	46.5	8.65	36.01
INTS4	559.28	603.67	470.14	432.53	417.77	384.34	444.72	466.88	656.11	387.02	540.19	525.39	444.72	476.71	376.41	403.5	665.29	536.45	713.11	447.82	476.71	248.0	262.2	251.48	275.28	299.25	241.19	232.94	395.18	303.44	217.27	201.25	195.72	327.56	426.57	195.72	211.31	293.07	205.5	275.28	371.22	217.27	314.17	115.97	239.52
INTS7	172.65	234.57	303.44	201.25	206.94	151.22	158.79	218.79	295.11	141.02	202.66	186.4	249.73	201.25	204.07	291.04	336.79	363.56	323.03	165.57	283.05	87.03	181.28	130.6	123.5	82.87	201.25	154.42	127.0	125.24	128.79	137.14	53.19	80.01	154.42	149.12	50.63	111.21	107.38	126.12	50.63	136.19	88.88	59.13	131.51
IRGQ	166.73	223.41	232.94	206.94	202.66	256.78	201.25	172.65	253.23	182.55	248.0	241.19	241.19	214.27	206.94	146.03	314.17	198.47	209.84	151.22	170.25	69.52	80.01	111.99	105.89	155.5	71.5	132.44	106.63	95.34	112.77	152.28	125.24	79.45	96.68	115.16	78.89	79.45	58.3	69.03	150.17	60.82	53.57	42.41	98.73
KCMF1	703.28	1268.46	1304.15	1286.18	1030.12	884.29	1044.52	1135.2	1322.37	1023.0	967.76	1268.46	1322.37	988.12	1030.12	1417.35	921.88	941.27	1073.91	884.29	595.34	493.56	571.05	395.18	371.22	309.83	381.68	470.14	303.44	583.07	417.77	575.03	493.56	297.17	353.59	435.55	718.08	511.0	366.09	493.56	336.79	289.02	525.39	559.28	395.18
KIAA0754	25.72	102.25	111.99	39.22	87.65	27.84	48.18	73.03	113.56	78.34	42.41	56.28	155.5	90.14	69.03	325.29	220.32	185.11	97.36	88.88	37.32	4.17	5.87	6.89	1.28	4.03	17.77	2.63	8.32	5.87	3.76	5.15	1.77	2.03	9.78	1.85	19.97	3.66	3.11	6.94	6.84	2.84	3.63	1.91	1.0
KIF5B	1015.93	2061.24	2303.12	1709.26	1594.73	1096.5	1304.15	1407.55	2018.8	1447.15	1605.83	1304.15	2485.67	1639.59	1733.13	1896.65	1437.15	1617.0	1572.76	1088.92	713.11	211.31	221.86	314.17	209.84	191.67	190.34	341.51	249.73	176.29	186.4	423.61	195.72	159.9	224.97	387.02	153.34	195.72	379.04	363.56	173.85	273.37	283.05	218.79	305.55
LATS1	228.13	441.64	423.61	295.11	273.37	141.02	224.97	480.04	656.11	248.0	329.84	320.8	417.77	320.8	323.03	417.77	406.31	403.5	629.35	236.21	125.24	95.34	96.68	115.16	66.65	76.71	96.68	82.29	112.77	60.39	64.34	101.54	66.65	44.25	175.07	100.83	54.33	88.26	89.51	185.11	96.01	118.43	135.24	35.76	125.24
LRRC4C	71.5	123.5	208.38	70.01	46.5	36.79	75.11	111.99	83.45	56.28	84.63	100.83	113.56	95.34	52.08	214.27	110.43	60.82	131.51	21.01	30.56	5.87	21.78	44.89	14.67	8.92	14.78	5.68	43.94	18.7	3.44	8.65	6.46	12.09	37.32	2.14	31.0	7.06	8.38	45.85	4.9	17.9	8.19	3.53	22.1
MB21D1	60.82	60.82	91.41	52.45	52.82	31.45	54.72	49.91	89.51	66.65	87.03	42.41	93.35	55.1	91.41	57.08	75.64	82.29	66.65	81.71	27.25	7.88	23.42	45.53	5.5	12.27	14.14	6.41	21.32	9.48	7.22	17.9	0.41	3.79	24.28	4.9	63.45	24.11	8.92	33.54	25.35	18.43	5.36	2.61	11.13
MOB1A	890.44	1697.45	1883.54	1159.07	1111.82	866.07	1175.27	1477.58	1806.78	1127.35	1605.83	1369.04	1745.2	1277.29	1322.37	1487.87	1540.37	1794.29	1651.0	1135.2	624.99	320.8	371.22	327.56	220.32	205.5	221.86	348.71	323.03	297.17	314.17	376.41	273.37	237.86	327.56	307.69	314.17	255.0	297.17	381.68	237.86	373.81	307.69	229.72	341.51
MTMR6	214.27	417.77	381.68	285.03	242.88	205.5	262.2	392.44	457.25	260.38	341.51	339.14	423.61	327.56	316.37	361.04	363.56	379.04	503.95	285.03	197.09	128.79	102.97	108.9	90.14	104.42	90.14	217.27	71.0	81.14	105.15	154.42	121.79	78.89	95.34	123.5	68.07	97.36	166.73	130.6	62.12	68.55	75.11	84.63	144.01
