	TCGA.DD.A39W.11A.11R.A213.07	GTEX.ZF2S.3026.SM.4WWCH	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.U3ZM.0426.SM.3DB73	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.WHPG.1426.SM.3NMBB	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.ZY6K.0326.SM.5SIBB	GTEX.Y9LG.0526.SM.4VBRY	GTEX.145LS.1226.SM.5Q5D9
BAG3	167.9	246.28	336.79	713.11	1883.54	3190.46	2627.46	2032.85	1216.75	1378.57	1781.89	902.89	967.76	1806.78	1617.0	1617.0	2271.4	961.07	1096.5	1781.89
BCL3	775.05	1199.98	878.17	1159.07	0.0	3235.01	3491.39	2816.11	1594.73	954.43	2573.36	1313.23	1199.98	3639.7	2520.38	3146.52	1250.98	1721.16	738.29	2997.45
C11orf96	204.07	189.02	157.68	142.01	0.0	5954.47	4736.79	5006.93	1015.93	848.22	4181.07	1572.76	825.0	10368.08	3018.3	5329.3	5633.22	796.86	660.68	5555.65
C19orf45	2.48	2.51	4.43	2.23	0.0	5.54	16.51	53.57	10.71	3.63	10.96	1.36	2.61	12.36	11.38	26.67	19.11	5.28	2.46	7.63
C1QTNF1-AS1	1.08	0.0	0.0	0.0	0.0	4.54	16.27	5.45	4.54	1.91	11.64	7.94	0.0	18.29	5.36	4.24	5.54	3.89	2.84	10.0
C2CD4B	12.09	28.24	13.93	11.13	0.0	116.78	29.91	183.82	64.8	20.71	205.5	28.45	32.13	305.55	423.61	66.18	312.0	78.89	75.64	167.9
C9orf172	1.04	0.79	6.73	3.08	0.0	3.86	3.17	4.62	0.12	0.83	6.94	1.99	1.73	4.43	4.24	10.96	8.71	3.2	0.48	2.58
CBLL1	120.1	217.27	183.82	234.57	0.0	490.14	679.29	392.44	287.01	435.55	363.56	258.57	246.28	507.46	395.18	323.03	361.04	229.72	309.83	403.5
CCDC47	1286.18	1685.71	1794.29	1857.6	1088.92	2976.74	3716.2	1896.65	2193.99	2451.44	1857.6	1540.37	2061.24	2178.83	2032.85	1583.71	1467.37	1407.55	2018.8	2875.3
CCK	1.58	0.0	3.99	0.0	0.0	24.99	31.67	104.42	24.28	10.31	58.3	3.14	10.47	137.14	40.64	14.03	107.38	0.43	9.27	18.16
CCNL1	624.99	624.99	486.75	567.1	909.17	1662.49	4836.35	4481.23	1407.55	988.12	3325.99	1175.27	651.58	2875.3	2335.28	2502.97	5479.15	1127.35	842.36	3280.18
CCNT1	73.54	59.97	47.17	57.89	0.0	341.51	579.04	307.69	199.85	178.77	303.44	130.6	114.36	303.44	224.97	241.19	201.25	157.68	134.3	400.71
CD69	21.16	65.72	77.79	7.4	0.0	204.07	629.35	1628.26	104.42	157.68	791.35	339.14	220.32	764.36	466.88	414.87	1909.85	237.86	79.45	728.11
CDKN1A	429.54	303.44	1844.76	1605.83	1199.98	7642.41	6250.56	10368.08	2609.3	3690.52	7537.18	3018.3	2075.59	7280.4	5147.73	6079.61	5831.91	1662.49	4639.29	6294.04
CHIA	6.01	1.71	1.69	0.0	0.0	336.79	191.67	2303.12	1709.26	100.83	2417.67	249.73	137.14	3540.14	2224.63	3467.27	2061.24	1175.27	244.57	2664.15
CHST5	0.0	0.0	0.99	0.39	0.0	2.68	3.72	11.55	5.87	4.62	7.17	0.0	1.14	4.28	8.38	11.21	4.24	1.64	2.56	13.03
CLDN11	18.7	6.41	24.28	22.43	16.88	156.59	149.12	118.43	178.77	76.71	397.93	220.32	71.5	1030.12	132.44	116.78	1037.29	42.71	39.22	273.37
CNOT4	120.1	190.34	186.4	190.34	0.0	301.33	339.14	209.84	249.73	167.9	265.87	173.85	197.09	258.57	285.03	177.53	212.78	148.09	137.14	379.04
CRYBG3	38.67	56.68	51.35	44.89	0.0	297.17	217.27	279.14	381.68	172.65	514.56	202.66	178.77	283.05	341.51	258.57	234.57	191.67	153.34	591.22
CSRNP1	1923.14	301.33	281.09	575.03	325.29	7081.29	4937.99	9876.98	1583.71	3280.18	12676.65	1529.73	1175.27	6250.56	3395.89	7485.11	5633.22	896.64	988.12	2682.69
CTTNBP2	20.86	32.82	59.55	33.3	0.0	9.7	197.09	205.5	10.88	8.32	81.14	11.47	8.85	114.36	13.93	39.22	84.04	12.36	35.5	88.88
DAB2IP	154.42	94.67	75.64	121.79	0.0	1605.83	2104.58	848.22	518.15	567.1	1135.2	665.29	595.34	2018.8	1216.75	1119.56	854.13	343.89	466.88	1350.18
DCUN1D3	138.1	71.5	115.97	152.28	0.0	356.05	400.71	320.8	260.38	190.34	356.05	197.09	155.5	486.75	244.57	318.57	178.77	173.85	256.78	397.93
DDX5	2485.67	4607.24	4239.45	3716.2	0.0	14361.31	24490.61	20881.4	10440.2	7331.05	17317.18	7537.18	8191.0	20451.65	17927.91	12160.22	19214.73	9540.5	6745.86	19348.38
DNTTIP2	518.15	426.57	420.68	507.46	1167.14	1651.0	1950.0	1519.15	1225.22	1216.75	1183.45	633.73	759.08	1119.56	1159.07	1183.45	1104.13	848.22	1081.39	1487.87
DTWD1	265.87	244.57	277.2	287.01	0.0	223.41	320.8	688.78	536.45	389.72	848.22	400.71	353.59	693.58	738.29	432.53	624.99	409.15	397.93	718.08
DUSP26	1.31	1.35	1.31	2.2	0.0	48.87	9.56	152.28	9.56	33.78	121.79	14.67	14.03	159.9	23.25	30.34	87.03	15.68	6.78	23.76
EAPP	733.19	1023.0	947.83	759.08	599.49	854.13	1508.65	1540.37	1359.57	830.75	1369.04	896.64	819.3	1175.27	1001.93	1208.34	1651.0	748.61	902.89	1268.46
EPHA2	162.14	133.36	318.57	224.97	0.0	4152.18	723.08	3168.41	813.63	1001.93	1551.09	253.23	791.35	1870.53	1963.57	1662.49	703.28	656.11	1304.15	1977.24
EPN2	148.09	107.38	133.36	109.66	0.0	647.07	708.18	563.18	460.44	543.96	967.76	473.41	470.14	507.46	791.35	928.3	551.56	314.17	271.48	748.61
ETF1	476.71	633.73	571.05	651.58	0.0	3901.01	5006.93	2835.7	2303.12	2047.0	2434.5	1331.57	1870.53	2335.28	2720.15	2351.53	1487.87	1628.26	2240.11	3419.52
ETV3	74.58	59.97	62.56	55.89	136.19	651.58	866.07	503.95	346.29	339.14	642.59	262.2	323.03	463.65	435.55	348.71	368.65	301.33	258.57	698.41
FOSL2	273.37	132.44	231.32	101.54	1233.75	3515.68	5329.3	3257.52	1127.35	1369.04	3168.41	2287.2	1143.1	2855.44	2758.13	2485.67	1427.22	988.12	1051.79	2796.65
GATA6	143.01	113.56	108.14	92.05	0.0	1628.26	915.51	2835.7	723.08	273.37	3467.27	150.17	435.55	1427.22	1697.45	1051.79	1407.55	204.07	295.11	242.88
GMEB2	77.79	53.57	76.17	78.89	0.0	271.48	599.49	224.97	204.07	193.01	271.48	127.0	144.01	343.89	305.55	293.07	269.6	90.14	102.25	242.88
GTF2B	493.56	656.11	486.75	551.56	0.0	1216.75	2075.59	2004.85	1059.11	733.19	2032.85	669.92	599.49	1295.13	1008.9	1191.69	1277.29	674.59	708.18	2417.67
HIPK3	186.4	423.61	206.94	316.37	0.0	1662.49	1936.53	1167.14	808.0	642.59	854.13	660.68	595.34	954.43	961.07	1208.34	813.63	417.77	529.06	1605.83
HTRA3	36.79	59.97	50.63	10.96	0.0	660.68	2701.35	559.28	325.29	447.82	555.41	209.84	91.41	1096.5	616.37	1208.34	961.07	145.02	112.77	299.25
ICAM5	0.0	1.43	1.16	0.0	0.0	143.01	92.7	854.13	60.39	27.84	438.59	118.43	64.34	660.68	154.42	299.25	503.95	143.01	47.17	224.97
ICOS	1.04	0.42	0.42	0.0	0.0	16.15	35.76	69.52	17.51	28.45	55.49	22.75	19.25	32.59	58.71	27.44	120.94	46.18	6.89	52.45
IL13	0.0	0.0	0.0	0.0	0.0	6.67	46.18	23.42	2.25	6.36	8.25	4.86	0.0	8.06	7.46	10.16	8.06	2.29	3.32	19.82
IL15RA	167.9	166.73	214.27	145.02	0.0	414.87	825.0	441.64	371.22	642.59	802.41	555.41	698.41	2895.31	819.3	277.2	579.04	454.09	497.0	1923.14
IL6	7.63	0.0	13.83	6.21	0.0	5366.37	1427.22	7485.11	332.14	708.18	5633.22	271.48	583.07	2682.69	4419.52	819.3	5517.27	842.36	642.59	1651.0
KDM6B	173.85	150.17	103.69	154.42	149.12	2720.15	902.89	1331.57	397.93	303.44	902.89	450.94	379.04	1250.98	1199.98	961.07	647.07	460.44	228.13	642.59
KLF10	450.94	599.49	269.6	698.41	0.0	4298.64	4575.41	4010.71	1844.76	1388.16	2915.45	1135.2	1216.75	2434.5	2627.46	3467.27	1407.55	872.1	819.3	2224.63
KMT2A	103.69	176.29	80.01	112.77	0.0	208.38	463.65	256.78	128.79	129.69	199.85	197.09	197.09	381.68	206.94	211.31	273.37	143.01	114.36	293.07
LONRF2	4.54	19.53	6.73	33.78	0.0	497.0	397.93	187.71	53.57	17.25	19.68	37.32	12.18	93.35	90.14	178.77	48.18	15.8	21.47	55.49
LRRC32	316.37	341.51	202.66	231.32	0.0	4769.75	1397.83	2133.97	2645.74	1088.92	4607.24	1769.57	1745.2	3768.09	3395.89	4836.35	2682.69	842.36	808.0	3168.41
LTBP4	616.37	423.61	981.29	341.51	0.0	4575.41	13306.94	6840.04	3955.48	2400.97	5517.27	2895.31	2075.59	7966.99	6471.02	7911.95	7382.04	1407.55	1551.09	4869.99
MAFF	149.12	133.36	92.05	94.67	0.0	2573.36	1135.2	2956.17	796.86	825.0	2178.83	723.08	679.29	2367.9	1551.09	1561.89	2627.46	341.51	392.44	1259.69
MAST4	122.64	140.04	155.5	197.09	53.19	633.73	713.11	447.82	223.41	171.45	334.46	417.77	363.56	684.02	470.14	361.04	435.55	195.72	191.67	500.46
MCL1	1991.0	3325.99	3820.7	3212.66	2645.74	14163.58	14065.74	20593.91	7433.4	6745.86	18689.27	6887.62	4769.75	11424.74	10014.87	11909.94	19082.0	5403.7	4543.8	10585.95
MED26	87.03	66.65	135.24	63.0	0.0	275.28	647.07	341.51	131.51	161.02	397.93	176.29	153.34	503.95	211.31	289.02	264.03	166.73	170.25	483.38
MED27	114.36	152.28	115.16	119.26	0.0	460.44	1304.15	426.57	518.15	559.28	547.75	376.41	493.56	679.29	490.14	529.06	281.09	412.0	555.41	669.92
MEDAG	5.11	1.6	1.57	6.94	0.0	264.03	376.41	90.14	211.31	279.14	193.01	191.67	40.93	228.13	287.01	166.73	125.24	59.55	85.82	285.03
METTL16	159.9	120.1	101.54	124.37	199.85	665.29	603.67	299.25	620.67	332.14	429.54	406.31	444.72	507.46	575.03	540.19	486.75	371.22	371.22	612.11
METTL9	204.07	521.76	400.71	454.09	0.0	1159.07	1143.1	1662.49	1617.0	1628.26	1286.18	1304.15	1388.16	1427.22	1832.01	878.17	1304.15	854.13	1135.2	2351.53
MFSD10	166.73	208.38	172.65	115.16	0.0	796.86	1331.57	3716.2	1427.22	2018.8	1322.37	1529.73	1059.11	1857.6	1963.57	3901.01	1651.0	995.0	1369.04	1896.65
MID1IP1	575.03	775.05	525.39	988.12	0.0	3982.99	2935.74	6983.79	3690.52	2193.99	3395.89	3018.3	2468.49	2976.74	3280.18	6935.54	6516.03	2417.67	1685.71	4123.49
MIDN	212.78	316.37	426.57	289.02	909.17	3564.78	5954.47	3372.43	1127.35	1331.57	2976.74	941.27	1119.56	3212.66	2609.3	3349.13	2271.4	1250.98	1216.75	2976.74
MTMR12	224.97	267.73	212.78	194.36	0.0	961.07	941.27	796.86	616.37	555.41	693.58	457.25	698.41	450.94	633.73	780.44	620.67	387.02	490.14	1066.48
MYO5C	34.26	41.81	54.72	61.25	114.36	684.02	836.53	1250.98	536.45	599.49	536.45	379.04	607.87	638.15	713.11	483.38	1001.93	633.73	483.38	1111.82
NDRG1	1250.98	1819.35	1378.57	1561.89	0.0	4736.79	6935.54	12329.98	3146.52	1733.13	7433.4	3540.14	1896.65	10084.54	7911.95	10084.54	28328.16	616.37	4066.71	3235.01
NFE2L2	1286.18	1030.12	1437.15	2720.15	0.0	3060.45	3325.99	2997.45	3928.15	1721.16	3540.14	961.07	1407.55	2627.46	3639.7	1487.87	1923.14	1651.0	1447.15	4328.55
NFKBIZ	176.29	199.85	67.59	173.85	253.23	1457.23	2004.85	5672.41	507.46	1073.91	2816.11	759.08	395.18	5112.16	1745.2	1259.69	10225.32	921.88	420.68	1781.89
NR4A1	4869.99	155.5	336.79	193.01	0.0	14561.8	7130.55	46339.95	3280.18	5112.16	35609.13	2240.11	2434.5	18560.17	7230.1	13399.51	20881.4	1697.45	1769.57	5441.3
PDCD1	4.66	13.22	9.56	1.08	0.0	15.34	93.35	75.64	31.67	34.02	63.89	17.0	11.3	76.17	44.89	24.28	70.51	48.87	6.31	34.26
PHYHIP	8.13	6.52	9.06	8.25	0.0	50.98	100.83	37.32	24.81	40.36	37.59	14.14	13.93	43.63	34.26	74.06	55.89	2.01	12.09	51.35
PLK3	76.17	89.51	74.58	81.14	0.0	2485.67	1388.16	2271.4	878.17	591.22	1023.0	387.02	336.79	1369.04	1225.22	3372.43	1199.98	796.86	583.07	921.88
PNPLA8	273.37	346.29	289.02	384.34	0.0	842.36	728.11	579.04	595.34	454.09	591.22	366.09	460.44	620.67	591.22	463.65	483.38	262.2	460.44	866.07
PODXL	50.98	21.47	52.08	35.0	0.0	1508.65	1208.34	432.53	743.43	1322.37	1159.07	780.44	974.5	3190.46	1639.59	1417.35	1111.82	450.94	723.08	2271.4
PP2D1	2.43	0.0	1.35	0.56	0.0	8.71	34.02	19.25	10.55	9.63	14.56	7.06	6.89	14.89	8.51	14.56	7.46	10.55	5.92	14.45
PPP1R15A	764.36	316.37	260.38	267.73	0.0	3564.78	2915.45	7537.18	2816.11	2816.11	7032.37	1662.49	2004.85	4298.64	3716.2	3690.52	8191.0	1651.0	2591.27	3768.09
PPP2R5A	607.87	1277.29	1008.9	1208.34	0.0	1617.0	1088.92	3039.3	1896.65	780.44	2303.12	1277.29	1104.13	1519.15	2287.2	1651.0	2895.31	819.3	808.0	1781.89
PPRC1	121.79	116.78	147.06	170.25	0.0	1883.54	1369.04	860.08	902.89	656.11	878.17	376.41	441.64	947.83	1208.34	1175.27	708.18	723.08	532.74	967.76
PTPRK	460.44	674.59	373.81	432.53	0.0	1119.56	1051.79	988.12	624.99	842.36	693.58	638.15	629.35	872.1	723.08	698.41	988.12	341.51	414.87	884.29
RANBP2	170.25	218.79	204.07	309.83	0.0	665.29	571.05	532.74	406.31	346.29	457.25	307.69	403.5	285.03	438.59	470.14	438.59	251.48	265.87	669.92
RBBP6	414.87	343.89	279.14	283.05	0.0	647.07	1183.45	941.27	543.96	373.81	866.07	521.76	327.56	1044.52	624.99	775.05	860.08	503.95	414.87	1037.29
RBM7	460.44	591.22	447.82	241.19	417.77	988.12	921.88	1111.82	896.64	587.13	878.17	718.08	543.96	708.18	934.76	642.59	1233.75	518.15	620.67	1216.75
RBMX	802.41	995.0	854.13	529.06	0.0	2997.45	4095.0	2855.44	3212.66	1662.49	4512.4	2119.22	2468.49	2855.44	3190.46	3103.19	2935.74	2133.97	2468.49	3639.7
RNF145	175.07	363.56	163.28	463.65	995.0	7589.61	7642.41	10659.59	5791.62	5041.77	7642.41	3280.18	3820.7	10084.54	7280.4	6516.03	7230.1	4481.23	3190.46	9945.68
RSBN1	64.34	61.25	58.3	79.45	0.0	199.85	432.53	212.78	170.25	258.57	242.88	104.42	199.85	249.73	293.07	109.66	224.97	100.83	153.34	316.37
RYBP	167.9	145.02	127.0	166.73	120.1	651.58	591.22	414.87	432.53	373.81	518.15	237.86	303.44	480.04	397.93	371.22	303.44	193.01	258.57	708.18
SCN3A	0.58	0.87	1.33	0.68	0.0	14.45	16.15	3.11	3.0	5.15	8.13	3.35	2.32	16.27	5.77	6.11	10.79	1.35	1.62	1.89
SEMA4C	220.32	260.38	195.72	170.25	0.0	285.03	543.96	435.55	256.78	217.27	595.34	384.34	159.9	624.99	435.55	371.22	429.54	208.38	253.23	575.03
SFTPA2	5.02	3.47	0.0	0.0	22225.61	6014443.23	4051429.61	2493947.08	3134925.09	3940643.03	2126426.15	4851500.88	2729110.67	4079609.54	3313672.43	5163792.94	3968052.37	2493947.08	1393227.06	2053992.24
SLC2A5	4.35	125.24	1.66	29.27	0.0	64.8	96.68	13.52	29.91	37.05	82.87	29.27	28.86	38.4	68.55	30.12	295.11	26.86	32.36	124.37
SMIM5	1.36	2.46	3.44	5.11	0.0	60.39	34.51	211.31	29.27	77.79	136.19	32.59	72.01	74.58	114.36	255.0	74.06	3.99	15.68	102.97
SRSF5	6250.56	5672.41	5183.54	4639.29	3491.39	8421.31	9673.69	11664.82	4903.87	4419.52	7230.1	6207.38	4639.29	13123.73	5555.65	8078.22	13968.57	5479.15	5041.77	5479.15
STK17B	27.84	28.04	41.52	10.0	281.09	775.05	2255.7	1397.83	460.44	551.56	1457.23	769.69	559.28	1127.35	961.07	540.19	753.83	486.75	356.05	1457.23
TAF11	343.89	346.29	466.88	363.56	0.0	353.59	1242.34	518.15	819.3	470.14	753.83	423.61	397.93	647.07	669.92	507.46	591.22	420.68	603.67	723.08
TAF4B	2.58	4.58	3.5	0.65	0.0	156.59	102.25	84.04	56.28	51.35	69.52	35.0	29.48	66.18	47.5	46.18	52.45	24.63	25.72	135.24
TERF2IP	708.18	775.05	802.41	813.63	698.41	988.12	1605.83	1250.98	1127.35	896.64	1378.57	1023.0	974.5	2018.8	866.07	947.83	1508.65	866.07	1199.98	1819.35
THBS1	688.78	253.23	285.03	161.02	1331.57	18950.18	7966.99	5913.33	2537.92	1832.01	11267.44	5147.73	5403.7	11992.79	7032.37	6294.04	6652.97	1639.59	2255.7	10733.74
TICAM1	185.11	236.21	176.29	218.79	514.56	647.07	603.67	674.59	397.93	444.72	607.87	336.79	384.34	1143.1	624.99	607.87	457.25	281.09	281.09	785.88
TIFA	77.25	176.29	98.73	121.79	0.0	273.37	490.14	353.59	389.72	279.14	612.11	237.86	353.59	575.03	507.46	361.04	532.74	341.51	221.86	698.41
TIPARP	389.72	303.44	363.56	267.73	0.0	4181.07	2303.12	6337.83	1870.53	1909.85	4802.93	587.13	656.11	2004.85	2777.33	2609.3	3419.52	616.37	785.88	3515.68
TLE4	72.52	147.06	112.77	57.89	0.0	848.22	1030.12	503.95	463.65	258.57	486.75	376.41	287.01	785.88	368.65	473.41	397.93	190.34	73.54	395.18
TNFRSF10D	106.63	51.71	76.17	232.94	0.0	620.67	651.58	660.68	176.29	144.01	748.61	81.71	50.27	476.71	480.04	336.79	373.81	114.36	189.02	121.79
TOP1	466.88	738.29	775.05	703.28	1437.15	4736.79	2351.53	1896.65	1685.71	2148.82	1208.34	1183.45	1487.87	2417.67	1923.14	1936.53	1081.39	1030.12	1757.34	2915.45
TRA2B	1250.98	921.88	934.76	842.36	2090.03	2537.92	3639.7	4419.52	2255.7	2240.11	4066.71	1088.92	1417.35	2997.45	2895.31	2178.83	3515.68	2193.99	1832.01	2193.99
TRIB2	190.34	140.04	75.11	67.12	0.0	171.45	1023.0	525.39	540.19	253.23	417.77	493.56	351.14	1674.06	1295.13	500.46	420.68	854.13	353.59	819.3
TXLNB	3.03	8.38	4.86	8.06	0.0	32.82	4.86	42.71	12.27	9.34	35.25	15.91	8.78	44.89	22.1	20.86	38.4	5.68	5.19	19.25
USP12	237.86	255.0	234.57	239.52	0.0	529.06	591.22	575.03	420.68	309.83	559.28	406.31	392.44	595.34	476.71	490.14	540.19	258.57	269.6	1030.12
USP34	532.74	432.53	417.77	423.61	0.0	1030.12	1685.71	1037.29	1498.22	642.59	854.13	595.34	669.92	1135.2	1104.13	1417.35	941.27	638.15	743.43	1857.6
USP38	141.02	242.88	297.17	334.46	0.0	571.05	743.43	246.28	309.83	309.83	395.18	237.86	371.22	258.57	348.71	289.02	255.0	151.22	241.19	507.46
VEZF1	189.02	353.59	329.84	285.03	780.44	1617.0	1936.53	1369.04	1183.45	1143.1	1151.06	825.0	1119.56	1111.82	1104.13	1225.22	1175.27	693.58	616.37	1896.65
VPS37B	147.06	84.04	91.41	100.13	587.13	2682.69	3372.43	2400.97	1304.15	995.0	1388.16	693.58	629.35	1295.13	2090.03	2018.8	1781.89	836.53	791.35	1639.59
ZBTB2	81.71	173.85	134.3	149.12	205.5	264.03	376.41	305.55	281.09	241.19	277.2	264.03	187.71	262.2	277.2	312.0	289.02	175.07	183.82	381.68
ZBTB21	85.22	82.87	72.01	98.73	0.0	353.59	371.22	264.03	176.29	152.28	226.54	103.69	132.44	316.37	220.32	221.86	189.02	99.43	116.78	301.33
ZC3H12C	46.84	91.41	55.1	51.35	0.0	202.66	105.89	189.02	132.44	191.67	139.07	87.03	85.22	163.28	158.79	89.51	115.16	129.69	110.43	205.5
ZFP36	3467.27	2627.46	3235.01	1437.15	0.0	24660.96	20170.07	52863.07	7857.29	7642.41	40904.3	9474.59	6887.62	37901.36	10296.45	21617.82	66912.05	9025.81	5831.91	23986.58
ZNF23	73.54	65.72	60.82	51.35	0.0	155.5	134.3	214.27	205.5	113.56	158.79	85.82	89.51	176.29	209.84	191.67	253.23	127.89	128.79	273.37
ZNF394	229.72	175.07	234.57	208.38	0.0	409.15	842.36	555.41	312.0	287.01	417.77	291.04	223.41	486.75	379.04	363.56	457.25	312.0	220.32	371.22
ZNF597	12.83	35.76	40.93	33.3	0.0	158.79	141.02	194.36	208.38	73.03	251.48	92.05	60.39	172.65	204.07	185.11	180.02	53.95	87.03	149.12
