	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.DK.A6AW.01A.11R.A30C.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.DK.A3IL.01A.11R.A20F.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.E9.A1RE.01A.11R.A157.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.B6.A408.01A.12R.A24H.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A07Z.01A.11R.A00Z.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.D8.A1JD.01A.11R.A13Q.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.AR.A255.01A.11R.A169.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A2.A4S0.01A.21R.A266.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.AN.A0FF.01A.11R.A034.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.KL.8328.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.13N11.0926.SM.5IJG2	TCGA.AX.A3G4.01A.11R.A213.07	TCGA.EO.A3AV.01A.12R.A19W.07	TCGA.D1.A3DG.01A.11R.A19W.07
EFR3A	140.04	191.67	209.84	444.72	139.07	108.14	301.33	185.11	105.15	244.57	429.54	177.53	181.28	718.08	703.28	536.45	703.28	432.53	872.1	1088.92	2502.97	769.69	536.45	656.11	366.09	1407.55	540.19	748.61	599.49	579.04	432.53	244.57	563.18	2193.99	476.71	1369.04	1304.15	536.45	642.59	1769.57	454.09	1199.98	1721.16	909.17	503.95	1127.35	884.29	1037.29	878.17	532.74	480.04	412.0	1437.15	981.29	363.56	1183.45	896.64	525.39	599.49	2104.58	1519.15	896.64	1662.49	2148.82	1487.87	1397.83	620.67	2178.83	878.17	497.0	848.22	738.29	529.06	633.73	884.29	753.83	1340.84	356.05	1119.56	1977.24	915.51	309.83	974.5	813.63	647.07	718.08	490.14	642.59	1159.07	503.95	417.77	988.12	669.92	1286.18	1685.71	1605.83	679.29	1073.91	688.78	1304.15	780.44	1295.13	612.11	651.58	309.83	1427.22	796.86	616.37	547.75	819.3	620.67	305.55	389.72	2520.38	1757.34	2240.11	150.17	698.41	438.59	1135.2	457.25	713.11	217.27	518.15	514.56	170.25	220.32	220.32	454.09	343.89	232.94	281.09	164.42
EMC2	532.74	620.67	872.1	785.88	759.08	890.44	753.83	928.3	536.45	1529.73	698.41	559.28	503.95	1605.83	1950.0	1159.07	2627.46	1135.2	1936.53	1628.26	3847.29	1447.15	1572.76	1529.73	954.43	3847.29	1199.98	1175.27	1088.92	1397.83	1104.13	1651.0	947.83	5255.91	921.88	2739.08	1844.76	1745.2	1023.0	2609.3	521.76	1199.98	1936.53	2351.53	551.56	1909.85	1605.83	1674.06	2434.5	1909.85	878.17	878.17	1781.89	1417.35	1037.29	1487.87	1519.15	1286.18	1721.16	4512.4	2664.15	1583.71	2193.99	3280.18	1561.89	1286.18	872.1	2319.15	2319.15	915.51	928.3	1437.15	2255.7	995.0	1008.9	1127.35	3955.48	1073.91	1540.37	2133.97	1233.75	1051.79	1745.2	2627.46	1540.37	1143.1	1242.34	2163.77	1977.24	1008.9	1225.22	1896.65	921.88	2004.85	1583.71	2468.49	1096.5	1733.13	1950.0	2090.03	1991.0	1844.76	1286.18	1498.22	860.08	3515.68	1073.91	934.76	961.07	1191.69	1151.06	1023.0	759.08	2485.67	2816.11	5147.73	518.15	1378.57	1331.57	2047.0	1745.2	1447.15	1437.15	1477.58	1359.57	532.74	825.0	299.25	341.51	1191.69	587.13	718.08	547.75
FAM175A	47.84	25.35	54.33	47.17	43.32	67.59	51.35	55.89	58.71	25.54	82.87	26.28	29.27	118.43	217.27	109.66	173.85	91.41	156.59	66.65	242.88	111.99	139.07	124.37	130.6	158.79	77.79	76.17	111.21	255.0	119.26	54.33	105.15	189.02	84.63	232.94	205.5	343.89	182.55	144.01	105.15	141.02	171.45	161.02	72.52	138.1	108.9	170.25	113.56	105.89	134.3	80.57	161.02	187.71	115.16	68.07	140.04	193.01	146.03	183.82	198.47	108.9	206.94	119.26	212.78	187.71	149.12	229.72	150.17	108.9	275.28	158.79	368.65	104.42	146.03	171.45	220.32	71.0	195.72	336.79	124.37	89.51	110.43	112.77	88.26	198.47	112.77	269.6	190.34	149.12	133.36	141.02	171.45	62.12	148.09	299.25	172.65	214.27	190.34	132.44	140.04	91.41	123.5	116.78	75.64	137.14	202.66	136.19	193.01	128.79	70.01	107.38	226.54	90.14	164.42	165.57	63.45	218.79	194.36	104.42	61.68	83.45	234.57	67.59	80.01	24.63	36.79	9.13	27.84	43.94	63.0	44.25	30.12
FAM91A1	368.65	224.97	218.79	450.94	212.78	90.14	262.2	336.79	124.37	346.29	441.64	152.28	129.69	842.36	842.36	591.22	1295.13	417.77	688.78	638.15	1639.59	728.11	429.54	514.56	497.0	819.3	316.37	409.15	409.15	753.83	336.79	343.89	323.03	1529.73	389.72	915.51	878.17	708.18	363.56	1322.37	275.28	733.19	1447.15	921.88	215.77	860.08	392.44	693.58	780.44	743.43	291.04	287.01	954.43	748.61	470.14	603.67	420.68	708.18	518.15	1175.27	1605.83	669.92	791.35	1350.18	941.27	890.44	450.94	2004.85	579.04	460.44	470.14	638.15	1030.12	500.46	540.19	473.41	848.22	253.23	813.63	1769.57	497.0	334.46	743.43	575.03	514.56	363.56	371.22	674.59	872.1	351.14	260.38	1008.9	409.15	860.08	1044.52	1407.55	457.25	866.07	974.5	1159.07	587.13	825.0	514.56	616.37	271.48	967.76	441.64	414.87	389.72	555.41	500.46	389.72	620.67	2090.03	988.12	2645.74	98.73	395.18	397.93	921.88	665.29	351.14	93.35	334.46	376.41	177.53	177.53	135.24	176.29	287.01	208.38	312.0	226.54
G3BP2	633.73	521.76	518.15	525.39	612.11	587.13	753.83	414.87	392.44	483.38	1721.16	397.93	656.11	1674.06	1963.57	1991.0	3168.41	1250.98	1407.55	896.64	4268.94	1806.78	1104.13	934.76	1233.75	1030.12	3395.89	1417.35	1350.18	1250.98	981.29	854.13	1331.57	2451.44	808.0	2627.46	1977.24	1487.87	1340.84	1551.09	1259.69	1639.59	2163.77	1191.69	1268.46	1685.71	1605.83	1583.71	819.3	1909.85	1369.04	825.0	2758.13	1870.53	915.51	1685.71	1037.29	1487.87	1359.57	1487.87	2537.92	1583.71	1529.73	1487.87	2976.74	2367.9	1447.15	2434.5	1127.35	1709.26	1151.06	2018.8	2240.11	2255.7	2319.15	1127.35	1340.84	733.19	1529.73	2835.7	2133.97	921.88	1594.73	1437.15	1143.1	1268.46	842.36	2319.15	1605.83	981.29	1268.46	1733.13	1447.15	3124.78	1572.76	1583.71	1119.56	1378.57	1477.58	1950.0	1709.26	1417.35	1304.15	1225.22	1001.93	1191.69	1651.0	1561.89	1104.13	1651.0	1350.18	703.28	1806.78	2384.37	2895.31	2224.63	490.14	1498.22	1340.84	1208.34	836.53	961.07	1159.07	733.19	819.3	277.2	260.38	532.74	638.15	579.04	543.96	642.59	713.11
IMPAD1	255.0	275.28	256.78	351.14	373.81	224.97	226.54	438.59	226.54	239.52	599.49	307.69	135.24	1030.12	848.22	764.36	1242.34	616.37	1594.73	928.3	2555.58	1030.12	555.41	490.14	486.75	1721.16	486.75	684.02	775.05	1001.93	450.94	414.87	463.65	4836.35	591.22	665.29	928.3	1268.46	629.35	1674.06	295.11	599.49	1183.45	954.43	444.72	1242.34	595.34	1073.91	1081.39	718.08	466.88	389.72	934.76	848.22	764.36	1127.35	775.05	579.04	356.05	1498.22	2090.03	1208.34	1225.22	2627.46	1015.93	1104.13	571.05	1721.16	583.07	780.44	629.35	525.39	2090.03	684.02	981.29	974.5	2104.58	406.31	1250.98	1991.0	738.29	466.88	934.76	1259.69	679.29	660.68	536.45	909.17	1259.69	476.71	414.87	1685.71	591.22	1417.35	660.68	2061.24	567.1	1268.46	796.86	624.99	624.99	1096.5	703.28	426.57	518.15	1819.35	728.11	629.35	651.58	674.59	629.35	497.0	1529.73	1844.76	2178.83	2720.15	204.07	723.08	802.41	1313.23	728.11	693.58	373.81	802.41	693.58	320.8	232.94	312.0	251.48	316.37	400.71	348.71	318.57
KIAA0196	764.36	316.37	414.87	423.61	532.74	409.15	432.53	743.43	154.42	698.41	518.15	339.14	209.84	1437.15	1286.18	1051.79	1250.98	769.69	1540.37	1896.65	3395.89	1583.71	1350.18	1073.91	656.11	2664.15	780.44	769.69	808.0	1745.2	665.29	796.86	708.18	2573.36	796.86	1870.53	995.0	1697.45	842.36	2935.74	629.35	934.76	2400.97	2720.15	521.76	2816.11	819.3	1378.57	2627.46	1104.13	688.78	1023.0	1259.69	1896.65	921.88	1008.9	902.89	1447.15	1467.37	3212.66	1963.57	1023.0	2591.27	3467.27	1936.53	1127.35	525.39	2255.7	1883.54	764.36	1051.79	1167.14	3349.13	753.83	1151.06	1135.2	2271.4	441.64	1487.87	2645.74	679.29	921.88	1605.83	1529.73	1159.07	743.43	1059.11	1111.82	1561.89	954.43	571.05	1417.35	679.29	2004.85	2178.83	2351.53	974.5	1806.78	2004.85	2400.97	1991.0	1617.0	842.36	1781.89	441.64	2163.77	780.44	567.1	571.05	915.51	693.58	780.44	1529.73	3303.0	2502.97	3614.55	366.09	743.43	1721.16	1769.57	1417.35	1088.92	497.0	612.11	718.08	571.05	305.55	242.88	220.32	688.78	262.2	336.79	638.15
LRBA	426.57	525.39	334.46	607.87	497.0	323.03	432.53	450.94	277.2	353.59	1023.0	325.29	642.59	2004.85	1950.0	1651.0	1477.58	1437.15	1127.35	928.3	2895.31	1662.49	1359.57	941.27	1233.75	1551.09	836.53	638.15	1844.76	1963.57	733.19	620.67	1277.29	2417.67	854.13	3794.3	1369.04	2224.63	2468.49	1030.12	1073.91	1508.65	1857.6	1639.59	1030.12	1242.34	1561.89	1769.57	967.76	3212.66	1073.91	529.06	1397.83	1467.37	1295.13	1529.73	1001.93	1417.35	1350.18	2645.74	2090.03	2090.03	1388.16	1407.55	1467.37	1417.35	1977.24	1617.0	872.1	1662.49	1015.93	1286.18	2485.67	896.64	2875.3	1119.56	2682.69	633.73	1135.2	2047.0	1819.35	981.29	2119.22	954.43	848.22	1233.75	688.78	2119.22	1561.89	1857.6	1477.58	1008.9	1417.35	1216.75	1417.35	3190.46	1051.79	1304.15	2224.63	1572.76	1233.75	1417.35	1135.2	1806.78	1088.92	896.64	1605.83	1304.15	967.76	1340.84	1167.14	1322.37	1639.59	2451.44	1519.15	1313.23	435.55	1427.22	2520.38	1242.34	974.5	1277.29	473.41	764.36	878.17	118.43	221.86	279.14	297.17	273.37	371.22	351.14	289.02
MTDH	1073.91	336.79	921.88	287.01	307.69	384.34	842.36	525.39	273.37	764.36	1769.57	307.69	211.31	2193.99	2682.69	1313.23	3395.89	647.07	2682.69	2664.15	4152.18	2502.97	698.41	995.0	1175.27	2591.27	890.44	1745.2	813.63	1870.53	629.35	718.08	896.64	4903.87	884.29	2367.9	2701.35	1733.13	493.56	5329.3	595.34	1397.83	4388.98	3039.3	547.75	3395.89	1008.9	1651.0	1639.59	1639.59	1127.35	547.75	2287.2	1991.0	1340.84	1519.15	830.75	1143.1	1794.29	2287.2	4704.07	1832.01	2384.37	4512.4	5594.3	2061.24	941.27	4704.07	1844.76	1350.18	2451.44	2537.92	2739.08	1639.59	1378.57	1191.69	2537.92	802.41	2816.11	3847.29	1457.23	624.99	2061.24	1540.37	1467.37	1242.34	1015.93	1651.0	2976.74	607.87	551.56	3039.3	796.86	2367.9	2119.22	2303.12	1313.23	2434.5	1819.35	2645.74	1551.09	1896.65	1096.5	1127.35	796.86	2796.65	1295.13	866.07	878.17	1369.04	587.13	974.5	2664.15	5479.15	2758.13	7081.29	283.05	698.41	848.22	3349.13	1313.23	1059.11	571.05	616.37	395.18	289.02	339.14	258.57	536.45	438.59	387.02	473.41	389.72
MTFR1	470.14	400.71	470.14	503.95	540.19	189.02	244.57	660.68	161.02	555.41	759.08	269.6	246.28	412.0	595.34	703.28	1183.45	543.96	1467.37	444.72	3280.18	679.29	361.04	463.65	435.55	2018.8	532.74	1066.48	301.33	802.41	275.28	764.36	336.79	2816.11	423.61	1159.07	525.39	733.19	217.27	2417.67	780.44	872.1	1950.0	1250.98	249.73	802.41	679.29	947.83	780.44	514.56	432.53	281.09	629.35	376.41	587.13	866.07	688.78	2032.85	450.94	890.44	2520.38	559.28	2384.37	2367.9	1216.75	759.08	303.44	941.27	629.35	358.54	341.51	373.81	1088.92	381.68	447.82	759.08	1397.83	170.25	651.58	928.3	353.59	234.57	1397.83	1304.15	403.5	384.34	616.37	703.28	1175.27	275.28	208.38	1350.18	361.04	974.5	934.76	1295.13	547.75	651.58	612.11	708.18	813.63	1268.46	521.76	743.43	217.27	2271.4	412.0	312.0	305.55	878.17	264.03	198.47	743.43	3589.58	1508.65	1437.15	146.03	384.34	426.57	753.83	366.09	738.29	187.71	595.34	441.64	409.15	397.93	348.71	366.09	289.02	323.03	426.57	303.44
NBN	753.83	297.17	878.17	603.67	346.29	180.02	384.34	353.59	149.12	432.53	698.41	389.72	214.27	967.76	866.07	607.87	1023.0	599.49	738.29	1159.07	3212.66	612.11	656.11	1051.79	507.46	2104.58	603.67	1183.45	587.13	1081.39	447.82	525.39	363.56	2047.0	414.87	860.08	1745.2	1199.98	529.06	1628.26	647.07	921.88	1135.2	1359.57	316.37	1498.22	536.45	1417.35	974.5	525.39	559.28	571.05	1037.29	728.11	872.1	536.45	1015.93	206.94	728.11	1167.14	1225.22	941.27	1721.16	2032.85	1295.13	981.29	540.19	2335.28	848.22	525.39	738.29	209.84	819.3	679.29	536.45	665.29	2090.03	194.36	1457.23	1883.54	713.11	341.51	836.53	890.44	915.51	647.07	656.11	1015.93	1286.18	363.56	361.04	1066.48	403.5	1617.0	921.88	1427.22	825.0	825.0	791.35	1561.89	1259.69	723.08	532.74	791.35	241.19	1508.65	723.08	384.34	665.29	1088.92	420.68	371.22	1151.06	1628.26	1508.65	2047.0	356.05	441.64	264.03	1477.58	348.71	775.05	514.56	323.03	224.97	224.97	163.28	73.54	103.69	242.88	253.23	435.55	217.27
NCOA2	63.89	142.01	162.14	172.65	101.54	54.72	90.14	136.19	65.26	60.39	209.84	97.36	111.99	373.81	500.46	351.14	733.19	267.73	540.19	466.88	921.88	638.15	199.85	208.38	269.6	684.02	191.67	426.57	339.14	688.78	131.51	194.36	194.36	1832.01	287.01	511.0	514.56	567.1	166.73	728.11	139.07	490.14	878.17	743.43	125.24	688.78	320.8	633.73	466.88	312.0	228.13	165.57	409.15	490.14	249.73	426.57	305.55	343.89	463.65	547.75	915.51	309.83	842.36	988.12	620.67	466.88	205.5	878.17	356.05	497.0	674.59	169.07	571.05	339.14	417.77	314.17	854.13	129.69	575.03	571.05	376.41	153.34	307.69	279.14	412.0	193.01	161.02	607.87	802.41	215.77	125.24	540.19	248.0	902.89	457.25	1104.13	358.54	518.15	224.97	733.19	647.07	507.46	299.25	476.71	157.68	314.17	205.5	265.87	260.38	275.28	209.84	224.97	836.53	1709.26	825.0	1477.58	70.51	201.25	341.51	1331.57	587.13	264.03	170.25	249.73	199.85	91.41	114.36	165.57	223.41	81.71	134.3	80.57	105.15
NUDCD1	161.02	229.72	305.55	153.34	161.02	305.55	361.04	353.59	241.19	295.11	343.89	239.52	103.69	397.93	497.0	244.57	1044.52	265.87	612.11	376.41	1119.56	309.83	384.34	275.28	314.17	555.41	351.14	414.87	244.57	473.41	197.09	234.57	199.85	1044.52	202.66	647.07	540.19	463.65	162.14	1159.07	110.43	373.81	674.59	629.35	162.14	368.65	343.89	483.38	532.74	327.56	231.32	182.55	518.15	351.14	318.57	291.04	420.68	366.09	251.48	1369.04	967.76	379.04	759.08	791.35	612.11	293.07	251.48	1175.27	490.14	229.72	301.33	486.75	775.05	258.57	249.73	395.18	669.92	167.9	543.96	848.22	223.41	232.94	633.73	444.72	387.02	287.01	376.41	361.04	595.34	251.48	150.17	612.11	176.29	450.94	638.15	802.41	265.87	441.64	620.67	587.13	329.84	480.04	316.37	283.05	132.44	1008.9	191.67	214.27	181.28	392.44	175.07	264.03	262.2	967.76	703.28	1498.22	83.45	214.27	373.81	476.71	241.19	406.31	363.56	140.04	116.78	173.85	102.25	35.76	75.64	85.82	232.94	285.03	275.28
OSGIN2	348.71	169.07	559.28	241.19	201.25	119.26	327.56	112.77	75.64	183.82	293.07	81.71	65.72	669.92	559.28	253.23	708.18	234.57	483.38	733.19	1721.16	511.0	229.72	417.77	232.94	1806.78	249.73	476.71	329.84	532.74	171.45	293.07	217.27	1313.23	241.19	688.78	775.05	693.58	237.86	743.43	206.94	351.14	791.35	1066.48	191.67	764.36	264.03	842.36	733.19	406.31	249.73	283.05	665.29	371.22	447.82	420.68	688.78	106.63	525.39	466.88	748.61	607.87	759.08	1259.69	825.0	486.75	265.87	988.12	490.14	275.28	387.02	343.89	860.08	237.86	384.34	412.0	796.86	130.6	656.11	1023.0	301.33	255.0	435.55	656.11	514.56	329.84	277.2	620.67	620.67	209.84	162.14	647.07	232.94	1277.29	567.1	915.51	454.09	543.96	723.08	1216.75	603.67	486.75	256.78	708.18	157.68	1023.0	277.2	239.52	363.56	842.36	246.28	241.19	723.08	1745.2	1304.15	1806.78	202.66	267.73	299.25	921.88	281.09	295.11	232.94	395.18	287.01	242.88	94.67	92.7	88.26	153.34	134.3	239.52	134.3
OTUD6B	60.39	98.73	299.25	137.14	79.45	23.25	181.28	127.89	49.56	162.14	163.28	52.08	55.89	271.48	234.57	145.02	629.35	123.5	181.28	269.6	587.13	190.34	220.32	149.12	150.17	265.87	80.01	166.73	185.11	303.44	128.79	110.43	88.88	620.67	127.89	381.68	348.71	175.07	85.82	332.14	50.27	177.53	346.29	256.78	50.98	194.36	163.28	220.32	202.66	171.45	74.06	88.88	463.65	169.07	130.6	241.19	165.57	209.84	113.56	287.01	454.09	206.94	334.46	412.0	368.65	226.54	149.12	559.28	114.36	153.34	94.67	94.67	241.19	187.71	120.1	125.24	441.64	69.52	244.57	612.11	126.12	109.66	279.14	195.72	141.02	84.63	171.45	262.2	327.56	122.64	66.18	426.57	113.56	381.68	229.72	536.45	100.83	229.72	336.79	249.73	260.38	228.13	102.25	236.21	57.89	412.0	132.44	143.01	148.09	267.73	140.04	194.36	239.52	525.39	361.04	414.87	26.1	128.79	177.53	215.77	166.73	125.24	55.1	140.04	115.16	38.67	50.98	17.51	52.08	83.45	89.51	74.06	98.73
OXR1	175.07	303.44	371.22	651.58	295.11	256.78	307.69	361.04	87.65	361.04	995.0	241.19	205.5	890.44	802.41	571.05	1498.22	563.18	743.43	854.13	1605.83	1313.23	356.05	583.07	624.99	819.3	242.88	656.11	414.87	1127.35	289.02	221.86	258.57	1794.29	295.11	1051.79	733.19	866.07	291.04	1008.9	155.5	507.46	1001.93	1119.56	220.32	802.41	460.44	825.0	854.13	866.07	256.78	228.13	1088.92	718.08	486.75	441.64	454.09	341.51	629.35	1088.92	660.68	656.11	981.29	633.73	688.78	775.05	688.78	1662.49	567.1	813.63	457.25	507.46	674.59	318.57	679.29	384.34	1639.59	262.2	688.78	2400.97	603.67	373.81	420.68	536.45	718.08	620.67	334.46	780.44	842.36	395.18	409.15	748.61	358.54	1277.29	555.41	1594.73	417.77	808.0	514.56	633.73	785.88	988.12	559.28	647.07	198.47	395.18	305.55	500.46	674.59	409.15	454.09	460.44	791.35	1242.34	836.53	1883.54	163.28	397.93	236.21	791.35	540.19	400.71	723.08	507.46	409.15	107.38	100.83	105.15	204.07	258.57	287.01	157.68	253.23
PCMTD1	269.6	226.54	409.15	607.87	444.72	316.37	438.59	503.95	336.79	351.14	1023.0	480.04	191.67	1662.49	1378.57	490.14	1208.34	450.94	1322.37	1225.22	1991.0	1135.2	346.29	1313.23	775.05	4268.94	728.11	599.49	2434.5	1733.13	441.64	518.15	555.41	5479.15	866.07	1001.93	1437.15	2335.28	759.08	1757.34	409.15	656.11	1529.73	1437.15	540.19	8421.31	551.56	1250.98	1639.59	674.59	1268.46	529.06	753.83	1167.14	1008.9	1073.91	1498.22	665.29	1617.0	1883.54	1819.35	1225.22	3395.89	2287.2	915.51	1135.2	981.29	1605.83	884.29	3081.75	1250.98	483.38	1870.53	599.49	1159.07	884.29	4210.15	217.27	1143.1	2163.77	1159.07	454.09	595.34	860.08	981.29	679.29	624.99	1015.93	3742.05	961.07	567.1	848.22	1268.46	1427.22	1127.35	3124.78	1096.5	1407.55	981.29	1477.58	1605.83	1135.2	1073.91	264.03	373.81	1322.37	624.99	1208.34	961.07	532.74	587.13	961.07	1628.26	1991.0	1977.24	2555.58	178.77	878.17	884.29	2573.36	1250.98	1175.27	866.07	547.75	429.54	128.79	98.04	105.15	186.4	189.02	423.61	204.07	202.66
PEX2	529.06	493.56	591.22	848.22	684.02	532.74	733.19	688.78	389.72	981.29	896.64	647.07	301.33	1437.15	1508.65	1304.15	2502.97	1259.69	2468.49	1844.76	5555.65	1498.22	1359.57	1183.45	1709.26	4903.87	1477.58	2701.35	1427.22	1963.57	1015.93	2047.0	1322.37	3303.0	1286.18	780.44	1617.0	1662.49	1313.23	2835.7	988.12	1477.58	2915.45	3690.52	967.76	2400.97	1437.15	2701.35	2520.38	1583.71	872.1	1427.22	2627.46	1757.34	1369.04	1769.57	1923.14	2485.67	2133.97	1909.85	3491.39	1111.82	3847.29	3564.78	2956.17	1378.57	1175.27	1870.53	1175.27	1467.37	1551.09	825.0	4543.8	1143.1	2061.24	1870.53	4010.71	1378.57	1697.45	3124.78	1225.22	909.17	1844.76	2287.2	1015.93	1167.14	1268.46	2018.8	2701.35	872.1	1259.69	2367.9	974.5	2417.67	708.18	2417.67	1143.1	1857.6	1519.15	2720.15	1639.59	2502.97	1540.37	2417.67	884.29	2609.3	1051.79	819.3	934.76	1208.34	1127.35	967.76	1991.0	4268.94	4903.87	2976.74	567.1	1119.56	1008.9	2133.97	1467.37	1322.37	3124.78	1111.82	791.35	353.59	514.56	473.41	341.51	669.92	555.41	563.18	1096.5
