	GTEX.QDVN.0826.SM.48TZ2	GTEX.144GM.1326.SM.5LU5E	GTEX.13NYS.1626.SM.5J2MU	GTEX.OOBK.0526.SM.2HMJJ	GTEX.XYKS.0526.SM.4BRW2	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.11EI6.0826.SM.5985V	GTEX.S33H.0626.SM.2XCBJ	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.N7MT.0126.SM.2D7VT	GTEX.QDT8.0926.SM.32PL2	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	GTEX.13FLV.0426.SM.5KLZA	GTEX.QESD.0626.SM.2I5G4	GTEX.OXRP.0526.SM.2I3EW	GTEX.146FQ.0926.SM.5LUAV	GTEX.XPVG.1026.SM.4B64Y	GTEX.SN8G.0926.SM.4DM5I	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.12KS4.0726.SM.5FQSX	GTEX.SIU8.0926.SM.5SI87	GTEX.RTLS.0926.SM.2TF5X	GTEX.WYBS.1126.SM.3NMAM	GTEX.Q2AG.1026.SM.33HBW	GTEX.11DZ1.0426.SM.5H11A	TCGA.77.8008.11A.01R.2187.07	GTEX.OHPL.2026.SM.3TW8R
DHX37	194.36	279.14	82.29	381.68	289.02	198.47	183.82	165.57	102.97	265.87	226.54	135.24	368.65	109.66	130.6	102.97	102.97	150.17	591.22	490.14	307.69	181.28	135.24	155.5	96.01	220.32	127.0	138.1	109.66	44.25	87.65	327.56	511.0
DPH2	381.68	373.81	131.51	567.1	514.56	275.28	265.87	273.37	186.4	450.94	303.44	177.53	295.11	152.28	260.38	255.0	248.0	186.4	941.27	607.87	518.15	264.03	169.07	295.11	211.31	329.84	133.36	208.38	162.14	117.6	97.36	486.75	842.36
DUS3L	665.29	599.49	206.94	842.36	974.5	316.37	325.29	463.65	201.25	420.68	368.65	323.03	368.65	348.71	373.81	246.28	293.07	273.37	1417.35	1008.9	780.44	507.46	307.69	591.22	251.48	470.14	113.56	432.53	295.11	164.42	221.86	733.19	1183.45
E2F4	860.08	796.86	830.75	2032.85	2075.59	1104.13	1191.69	1350.18	743.43	1388.16	1277.29	1001.93	1159.07	599.49	1015.93	941.27	698.41	802.41	2451.44	1519.15	1844.76	1331.57	1037.29	1674.06	708.18	1407.55	638.15	808.0	954.43	607.87	660.68	1651.0	2875.3
EBNA1BP2	902.89	836.53	521.76	2645.74	1806.78	791.35	830.75	1407.55	638.15	1857.6	1295.13	1008.9	1378.57	575.03	902.89	1015.93	438.59	571.05	3190.46	1844.76	2032.85	1096.5	947.83	1662.49	708.18	1561.89	503.95	1001.93	808.0	525.39	656.11	1757.34	3257.52
ECE2	444.72	373.81	37.85	181.28	309.83	53.57	57.08	112.77	9.63	69.03	115.97	68.07	73.54	37.85	25.17	35.0	15.8	15.8	271.48	129.69	151.22	77.79	43.02	57.89	8.0	94.67	19.97	23.42	68.55	12.0	17.25	133.36	137.14
EIF3B	2133.97	2645.74	808.0	4481.23	4152.18	1923.14	1697.45	1397.83	808.0	1870.53	2148.82	1151.06	1936.53	1066.48	1268.46	1322.37	1037.29	1023.0	8305.36	3874.05	2935.74	1733.13	825.0	1617.0	915.51	1909.85	928.3	1183.45	1191.69	723.08	718.08	2502.97	6745.86
EMC8	312.0	397.93	271.48	497.0	529.06	470.14	599.49	466.88	343.89	463.65	514.56	466.88	493.56	199.85	269.6	329.84	303.44	307.69	967.76	607.87	642.59	490.14	414.87	583.07	212.78	708.18	318.57	343.89	356.05	205.5	185.11	624.99	743.43
EXOSC2	429.54	470.14	149.12	579.04	518.15	309.83	293.07	454.09	120.94	454.09	414.87	244.57	260.38	301.33	353.59	264.03	159.9	209.84	934.76	559.28	660.68	366.09	190.34	400.71	144.01	493.56	141.02	361.04	204.07	93.35	205.5	423.61	1037.29
EXOSC4	780.44	1225.22	395.18	1030.12	878.17	214.27	301.33	656.11	169.07	665.29	500.46	435.55	363.56	301.33	153.34	316.37	87.65	273.37	1127.35	638.15	1001.93	486.75	518.15	518.15	223.41	633.73	221.86	299.25	555.41	147.06	435.55	703.28	1467.37
FAM86A	299.25	283.05	103.69	432.53	368.65	131.51	164.42	239.52	90.77	279.14	253.23	151.22	171.45	87.03	151.22	138.1	79.45	100.13	334.46	237.86	277.2	181.28	158.79	228.13	86.43	215.77	81.14	127.0	142.01	78.89	142.01	376.41	514.56
FAM86C1	111.21	66.65	41.52	228.13	161.02	61.68	64.34	101.54	36.27	158.79	142.01	85.22	102.25	63.45	78.89	79.45	39.22	56.28	169.07	128.79	146.03	96.01	72.01	120.1	36.79	108.9	38.4	59.13	67.12	35.76	60.39	215.77	273.37
FARSA	1151.06	1081.39	371.22	1583.71	1407.55	571.05	723.08	1208.34	381.68	1151.06	1151.06	780.44	674.59	603.67	591.22	629.35	289.02	363.56	1950.0	1467.37	1617.0	808.0	684.02	902.89	309.83	941.27	320.8	665.29	651.58	224.97	480.04	1191.69	2004.85
FARSB	669.92	575.03	147.06	928.3	669.92	490.14	551.56	483.38	251.48	854.13	651.58	457.25	612.11	197.09	599.49	511.0	279.14	281.09	961.07	723.08	796.86	392.44	466.88	563.18	329.84	665.29	295.11	397.93	371.22	186.4	277.2	764.36	1936.53
FBXL6	297.17	603.67	277.2	417.77	1225.22	214.27	114.36	251.48	140.04	346.29	307.69	228.13	368.65	145.02	277.2	373.81	190.34	126.12	363.56	301.33	567.1	343.89	183.82	346.29	99.43	343.89	285.03	165.57	204.07	73.54	165.57	490.14	438.59
FICD	164.42	165.57	45.21	267.73	325.29	89.51	100.13	198.47	60.39	283.05	334.46	100.83	75.11	78.89	75.64	72.01	52.08	47.84	351.14	267.73	182.55	120.94	83.45	206.94	35.25	157.68	52.45	83.45	90.77	40.93	78.34	223.41	205.5
FTSJ1	624.99	753.83	327.56	1508.65	1794.29	748.61	543.96	848.22	567.1	1143.1	1447.15	571.05	890.44	392.44	656.11	934.76	457.25	387.02	1721.16	1685.71	941.27	575.03	723.08	1191.69	674.59	848.22	536.45	532.74	796.86	318.57	540.19	1015.93	1991.0
GAR1	450.94	529.06	194.36	665.29	718.08	287.01	334.46	334.46	199.85	612.11	457.25	397.93	287.01	283.05	423.61	287.01	182.55	206.94	995.0	493.56	723.08	371.22	325.29	438.59	201.25	521.76	180.02	277.2	175.07	167.9	176.29	503.95	1369.04
GPATCH4	753.83	698.41	173.85	1225.22	830.75	612.11	368.65	612.11	271.48	825.0	674.59	395.18	571.05	236.21	403.5	403.5	182.55	297.17	1721.16	1037.29	830.75	417.77	460.44	612.11	256.78	642.59	206.94	332.14	336.79	176.29	244.57	1081.39	1651.0
GRWD1	612.11	555.41	189.02	878.17	575.03	353.59	334.46	536.45	239.52	599.49	500.46	361.04	353.59	273.37	327.56	277.2	178.77	255.0	1508.65	796.86	854.13	435.55	258.57	507.46	262.2	493.56	182.55	395.18	258.57	155.5	249.73	679.29	1216.75
HPDL	9.56	8.19	0.0	29.7	20.11	3.14	0.68	8.99	0.19	11.21	13.83	10.39	2.56	5.41	1.99	0.87	0.58	0.0	46.84	1.87	30.34	3.0	0.0	1.17	0.6	10.63	0.0	0.0	9.56	0.0	1.1	12.36	51.35
IFRD2	2163.77	2061.24	497.0	2875.3	2335.28	1457.23	954.43	1199.98	1088.92	1340.84	1242.34	674.59	1427.22	334.46	616.37	988.12	1023.0	1015.93	2627.46	2075.59	1923.14	915.51	909.17	1304.15	1794.29	1427.22	1030.12	647.07	753.83	896.64	825.0	2271.4	4575.41
IPO4	785.88	633.73	126.12	1191.69	813.63	264.03	249.73	414.87	158.79	500.46	518.15	229.72	392.44	186.4	187.71	221.86	164.42	191.67	1651.0	836.53	785.88	283.05	181.28	397.93	246.28	473.41	167.9	224.97	237.86	166.73	185.11	902.89	2609.3
JMJD4	438.59	356.05	84.63	447.82	503.95	128.79	146.03	351.14	120.94	277.2	267.73	209.84	234.57	228.13	178.77	214.27	182.55	156.59	591.22	271.48	384.34	309.83	169.07	295.11	116.78	279.14	105.89	157.68	171.45	73.54	239.52	318.57	607.87
LETM1	432.53	466.88	185.11	669.92	669.92	728.11	476.71	400.71	249.73	379.04	397.93	231.32	312.0	305.55	176.29	244.57	212.78	151.22	902.89	860.08	514.56	279.14	164.42	417.77	208.38	373.81	140.04	244.57	303.44	194.36	122.64	490.14	595.34
METTL1	780.44	595.34	111.21	1216.75	1044.52	403.5	299.25	480.04	241.19	878.17	651.58	473.41	543.96	111.99	295.11	423.61	316.37	255.0	1407.55	995.0	921.88	423.61	305.55	559.28	305.55	813.63	144.01	178.77	438.59	154.42	191.67	1359.57	1950.0
MRTO4	748.61	583.07	209.84	1044.52	647.07	460.44	289.02	414.87	217.27	591.22	507.46	327.56	532.74	202.66	301.33	397.93	199.85	228.13	1250.98	802.41	764.36	353.59	271.48	486.75	193.01	647.07	329.84	316.37	341.51	127.89	187.71	796.86	1896.65
MSTO1	547.75	780.44	214.27	769.69	1369.04	323.03	358.54	563.18	387.02	1030.12	947.83	529.06	603.67	303.44	638.15	490.14	327.56	279.14	1037.29	1233.75	1030.12	400.71	361.04	693.58	379.04	543.96	255.0	463.65	336.79	166.73	269.6	1051.79	1119.56
MTG2	1923.14	1295.13	269.6	587.13	909.17	400.71	480.04	529.06	351.14	693.58	514.56	616.37	616.37	764.36	642.59	651.58	329.84	305.55	1088.92	947.83	947.83	555.41	521.76	743.43	329.84	651.58	287.01	490.14	486.75	262.2	529.06	780.44	1151.06
MYBBP1A	785.88	842.36	186.4	1457.23	1397.83	647.07	490.14	441.64	327.56	733.19	723.08	500.46	836.53	237.86	307.69	486.75	334.46	371.22	2335.28	1529.73	1216.75	518.15	470.14	466.88	432.53	616.37	260.38	540.19	336.79	161.02	211.31	1127.35	2591.27
NAT10	514.56	414.87	187.71	941.27	1015.93	547.75	543.96	500.46	291.04	684.02	669.92	400.71	511.0	361.04	575.03	409.15	232.94	241.19	1313.23	1059.11	872.1	414.87	297.17	497.0	217.27	493.56	228.13	460.44	343.89	181.28	149.12	813.63	1769.57
NLE1	229.72	376.41	109.66	373.81	289.02	115.16	165.57	209.84	87.03	293.07	320.8	190.34	181.28	153.34	111.21	104.42	105.15	52.08	432.53	271.48	318.57	133.36	140.04	293.07	88.26	189.02	57.89	142.01	123.5	64.8	152.28	291.04	785.88
NOC2L	1378.57	1208.34	490.14	2004.85	1721.16	638.15	954.43	1183.45	493.56	947.83	1096.5	669.92	878.17	587.13	624.99	791.35	466.88	447.82	2209.26	2133.97	1757.34	961.07	674.59	988.12	529.06	1199.98	403.5	638.15	813.63	303.44	483.38	1268.46	2720.15
NOL6	612.11	500.46	92.05	1073.91	1096.5	521.76	460.44	432.53	241.19	571.05	759.08	255.0	551.56	249.73	343.89	417.77	334.46	262.2	1923.14	1175.27	921.88	371.22	251.48	514.56	224.97	624.99	314.17	323.03	251.48	163.28	183.82	872.1	1111.82
NOP16	988.12	1008.9	177.53	896.64	896.64	447.82	307.69	366.09	182.55	490.14	426.57	260.38	417.77	169.07	295.11	307.69	181.28	224.97	1437.15	775.05	718.08	356.05	332.14	395.18	223.41	607.87	147.06	206.94	201.25	154.42	185.11	830.75	1487.87
NOP2	669.92	500.46	291.04	974.5	1295.13	551.56	599.49	392.44	329.84	796.86	507.46	258.57	444.72	141.02	429.54	297.17	320.8	301.33	1936.53	1183.45	1175.27	314.17	224.97	511.0	269.6	713.11	351.14	190.34	267.73	242.88	150.17	928.3	1135.2
PAK1IP1	429.54	406.31	72.01	426.57	348.71	201.25	224.97	318.57	91.41	426.57	334.46	224.97	182.55	140.04	232.94	185.11	100.83	112.77	547.75	314.17	447.82	273.37	167.9	305.55	117.6	397.93	100.13	159.9	169.07	94.67	100.83	429.54	825.0
PDCD11	400.71	341.51	118.43	638.15	500.46	289.02	323.03	305.55	159.9	435.55	400.71	258.57	316.37	217.27	293.07	269.6	130.6	98.73	796.86	656.11	591.22	204.07	172.65	343.89	201.25	429.54	124.37	193.01	226.54	87.65	112.77	438.59	1250.98
PES1	1794.29	1427.22	518.15	2104.58	1963.57	808.0	842.36	1304.15	389.72	1023.0	1167.14	947.83	947.83	842.36	819.3	836.53	470.14	591.22	2777.33	1561.89	1923.14	1143.1	764.36	1096.5	500.46	1286.18	450.94	934.76	819.3	297.17	633.73	1529.73	4268.94
PFAS	264.03	180.02	44.25	435.55	325.29	98.73	180.02	277.2	75.64	356.05	358.54	191.67	283.05	161.02	111.99	136.19	100.13	124.37	450.94	341.51	376.41	211.31	108.9	248.0	109.66	232.94	121.79	177.53	156.59	57.89	108.9	353.59	1023.0
PGAM5	909.17	1066.48	198.47	1088.92	713.11	486.75	476.71	587.13	195.72	703.28	647.07	312.0	417.77	232.94	323.03	277.2	132.44	229.72	1551.09	1037.29	808.0	490.14	299.25	595.34	134.3	414.87	162.14	260.38	260.38	232.94	283.05	748.61	813.63
PNKP	493.56	967.76	441.64	660.68	1628.26	536.45	591.22	651.58	497.0	769.69	536.45	587.13	669.92	575.03	575.03	507.46	429.54	395.18	836.53	718.08	1467.37	791.35	543.96	974.5	638.15	708.18	400.71	647.07	743.43	223.41	387.02	848.22	830.75
PNO1	420.68	325.29	88.26	603.67	409.15	389.72	332.14	285.03	150.17	555.41	395.18	209.84	332.14	120.1	312.0	258.57	151.22	193.01	1397.83	733.19	575.03	303.44	262.2	392.44	241.19	423.61	163.28	158.79	158.79	101.54	112.77	507.46	559.28
PPAN	1044.52	679.29	172.65	1199.98	1096.5	341.51	435.55	536.45	172.65	575.03	490.14	309.83	441.64	299.25	339.14	339.14	204.07	303.44	1844.76	1037.29	1159.07	493.56	291.04	543.96	283.05	595.34	223.41	275.28	244.57	141.02	191.67	967.76	2335.28
PRPF19	2758.13	1909.85	551.56	2319.15	1781.89	733.19	1059.11	1605.83	579.04	1991.0	1583.71	1167.14	1175.27	921.88	743.43	896.64	457.25	543.96	3665.02	2090.03	2119.22	1487.87	748.61	1417.35	493.56	1304.15	540.19	981.29	656.11	420.68	775.05	1651.0	3928.15
PTCD1	131.51	46.84	77.25	124.37	205.5	56.28	90.77	111.99	39.79	87.03	84.63	86.43	75.64	111.21	78.34	85.82	57.89	61.25	178.77	105.89	136.19	88.88	69.52	108.14	47.5	86.43	57.08	102.25	68.55	45.21	61.68	152.28	158.79
PUS1	624.99	476.71	115.97	718.08	693.58	279.14	281.09	316.37	171.45	447.82	371.22	242.88	281.09	92.05	251.48	187.71	158.79	157.68	723.08	733.19	624.99	246.28	221.86	384.34	90.14	423.61	152.28	169.07	166.73	74.06	94.01	540.19	1191.69
PYCRL	466.88	409.15	50.98	366.09	334.46	71.5	46.18	131.51	67.59	212.78	142.01	112.77	180.02	80.01	96.68	134.3	80.01	71.5	371.22	198.47	251.48	125.24	123.5	139.07	131.51	181.28	40.64	133.36	132.44	30.12	96.01	224.97	543.96
QSOX2	297.17	94.67	72.52	323.03	348.71	181.28	332.14	244.57	124.37	214.27	271.48	115.16	152.28	83.45	98.73	92.7	97.36	85.82	356.05	463.65	234.57	108.14	120.1	195.72	152.28	220.32	51.71	140.04	108.9	57.08	104.42	209.84	450.94
RHBDD3	460.44	293.07	264.03	579.04	1096.5	197.09	226.54	395.18	197.09	450.94	381.68	414.87	441.64	209.84	262.2	447.82	256.78	133.36	403.5	299.25	571.05	366.09	209.84	529.06	161.02	325.29	187.71	223.41	336.79	119.26	275.28	607.87	967.76
RRP9	500.46	316.37	166.73	764.36	620.67	244.57	417.77	476.71	155.5	414.87	435.55	293.07	358.54	217.27	269.6	318.57	152.28	163.28	1088.92	769.69	624.99	373.81	366.09	417.77	197.09	429.54	139.07	297.17	246.28	136.19	202.66	854.13	2004.85
RRS1	866.07	500.46	124.37	791.35	500.46	323.03	281.09	358.54	109.66	476.71	412.0	224.97	193.01	116.78	246.28	232.94	91.41	199.85	974.5	620.67	842.36	318.57	264.03	348.71	136.19	518.15	138.1	169.07	161.02	79.45	190.34	638.15	1745.2
SLC25A22	423.61	361.04	163.28	785.88	651.58	269.6	226.54	351.14	480.04	414.87	285.03	232.94	432.53	153.34	78.34	155.5	156.59	99.43	743.43	476.71	698.41	277.2	301.33	381.68	287.01	454.09	209.84	191.67	567.1	366.09	262.2	693.58	753.83
SLC27A4	1268.46	435.55	176.29	848.22	860.08	241.19	334.46	603.67	228.13	483.38	642.59	301.33	312.0	163.28	173.85	249.73	181.28	151.22	470.14	583.07	518.15	351.14	258.57	497.0	140.04	486.75	211.31	199.85	389.72	127.89	226.54	511.0	780.44
SLC5A6	2451.44	3794.3	269.6	769.69	629.35	271.48	500.46	486.75	312.0	603.67	656.11	246.28	299.25	209.84	212.78	287.01	197.09	120.94	967.76	848.22	567.1	212.78	224.97	376.41	143.01	397.93	147.06	221.86	251.48	111.99	100.83	518.15	860.08
SMYD5	353.59	205.5	182.55	642.59	743.43	289.02	343.89	389.72	249.73	529.06	444.72	255.0	329.84	255.0	417.77	212.78	312.0	167.9	612.11	450.94	514.56	269.6	285.03	371.22	273.37	301.33	205.5	271.48	137.14	241.19	157.68	559.28	967.76
SURF6	351.14	384.34	356.05	647.07	1088.92	248.0	239.52	400.71	218.79	426.57	679.29	279.14	361.04	241.19	318.57	275.28	189.02	153.34	1023.0	642.59	988.12	429.54	239.52	426.57	139.07	323.03	248.0	293.07	157.68	165.57	265.87	579.04	1369.04
TBL2	651.58	764.36	269.6	1023.0	909.17	441.64	406.31	603.67	275.28	693.58	759.08	532.74	429.54	728.11	486.75	551.56	316.37	334.46	1369.04	1030.12	921.88	543.96	470.14	633.73	417.77	571.05	232.94	511.0	571.05	327.56	555.41	748.61	1233.75
TBRG4	1350.18	842.36	339.14	1175.27	1015.93	483.38	651.58	748.61	297.17	1135.2	866.07	607.87	525.39	669.92	450.94	529.06	384.34	708.18	884.29	1295.13	1498.22	536.45	191.67	759.08	417.77	1143.1	420.68	423.61	884.29	237.86	381.68	836.53	1721.16
THOC6	389.72	356.05	371.22	1096.5	1286.18	483.38	392.44	684.02	429.54	796.86	656.11	490.14	547.75	262.2	353.59	348.71	426.57	351.14	1015.93	854.13	802.41	514.56	299.25	624.99	738.29	587.13	420.68	353.59	265.87	327.56	209.84	890.44	1037.29
THOP1	341.51	497.0	206.94	813.63	921.88	312.0	351.14	511.0	341.51	507.46	497.0	381.68	457.25	260.38	182.55	253.23	279.14	181.28	967.76	866.07	825.0	346.29	305.55	595.34	318.57	503.95	173.85	414.87	559.28	109.66	289.02	563.18	1340.84
TIMM44	651.58	796.86	733.19	1508.65	1233.75	599.49	878.17	954.43	438.59	728.11	612.11	547.75	543.96	358.54	356.05	595.34	454.09	273.37	1001.93	703.28	802.41	656.11	392.44	571.05	366.09	571.05	381.68	518.15	460.44	432.53	305.55	785.88	1437.15
TIMM50	1378.57	1008.9	397.93	2520.38	1477.58	915.51	961.07	1225.22	575.03	1151.06	1295.13	848.22	915.51	642.59	665.29	854.13	540.19	529.06	2816.11	1674.06	1844.76	1096.5	830.75	1051.79	567.1	1467.37	536.45	642.59	836.53	353.59	559.28	1143.1	4328.55
TOMM40	1561.89	1151.06	466.88	1572.76	1844.76	603.67	656.11	981.29	389.72	813.63	1030.12	571.05	1051.79	325.29	381.68	555.41	363.56	435.55	2875.3	1407.55	1111.82	669.92	595.34	674.59	400.71	1135.2	651.58	521.76	656.11	287.01	414.87	1561.89	2664.15
TSR1	563.18	497.0	100.13	607.87	536.45	318.57	264.03	303.44	156.59	417.77	403.5	246.28	273.37	220.32	312.0	246.28	156.59	248.0	995.0	559.28	708.18	307.69	195.72	363.56	223.41	406.31	137.14	229.72	215.77	116.78	151.22	480.04	796.86
WBSCR22	1870.53	1794.29	796.86	4010.71	2133.97	1388.16	1870.53	1709.26	1096.5	2047.0	1721.16	1259.69	1883.54	1143.1	1508.65	1745.2	1233.75	1467.37	3847.29	3168.41	2627.46	1498.22	1167.14	2018.8	1832.01	2061.24	988.12	1857.6	1487.87	896.64	1143.1	1950.0	4639.29
WDR12	529.06	435.55	166.73	669.92	599.49	420.68	483.38	503.95	182.55	620.67	759.08	429.54	346.29	325.29	397.93	271.48	138.1	164.42	878.17	547.75	669.92	392.44	336.79	503.95	147.06	507.46	206.94	215.77	332.14	125.24	206.94	688.78	1781.89
WDR4	170.25	183.82	64.8	397.93	197.09	194.36	161.02	176.29	75.11	269.6	253.23	101.54	178.77	84.04	93.35	88.88	94.67	75.11	332.14	348.71	262.2	115.16	110.43	262.2	50.98	218.79	30.56	76.71	111.21	33.78	67.59	358.54	368.65
WDR46	1191.69	1467.37	332.14	1498.22	1572.76	343.89	387.02	674.59	327.56	947.83	813.63	603.67	819.3	438.59	563.18	718.08	392.44	438.59	2104.58	1191.69	1340.84	514.56	460.44	825.0	400.71	836.53	514.56	435.55	575.03	277.2	426.57	1313.23	3168.41
