	TCGA.BL.A5ZZ.01A.31R.A30C.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A1EC.01A.21R.A131.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.ED.A7PX.01A.51R.A352.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.55.8208.01A.11R.2241.07	TCGA.86.7701.01A.11R.2170.07	TCGA.50.5072.01A.21R.1858.07	GTEX.144GN.0426.SM.5O9AP	GTEX.UPK5.1126.SM.3GAEJ	TCGA.39.5022.01A.21R.1820.07	TCGA.21.1076.01A.01R.0692.07
CCT5	7433.4	5872.48	5255.91	1870.53	3540.14	3039.3	1991.0	3190.46	3847.29	2555.58	3018.3	5995.9	2271.4	1963.57	1487.87	1119.56	954.43	947.83	1259.69	921.88	1073.91	813.63	1529.73	802.41	1242.34	1277.29	1519.15	775.05	1216.75	1268.46	1208.34	1359.57	1096.5	1015.93	1721.16	1427.22	1583.71	1781.89	1551.09	1594.73	1225.22	1350.18	4639.29	5292.48	7589.61	6381.92	9876.98	8901.53	4736.79
CDV3	2384.37	2400.97	3018.3	1498.22	1757.34	2119.22	1313.23	1498.22	1685.71	1781.89	1477.58	1806.78	1806.78	1322.37	1111.82	1119.56	1051.79	848.22	1119.56	842.36	1242.34	769.69	1151.06	836.53	995.0	1447.15	1023.0	842.36	1427.22	1572.76	1127.35	941.27	896.64	909.17	1519.15	830.75	1104.13	928.3	1135.2	915.51	890.44	1477.58	2976.74	2956.17	2895.31	2119.22	2351.53	3124.78	2485.67
CHCHD3	1427.22	1378.57	1286.18	591.22	988.12	753.83	688.78	1119.56	2303.12	796.86	1250.98	988.12	693.58	629.35	507.46	303.44	285.03	271.48	379.04	309.83	466.88	320.8	563.18	241.19	567.1	406.31	403.5	299.25	412.0	688.78	358.54	376.41	460.44	273.37	713.11	457.25	483.38	490.14	579.04	366.09	356.05	373.81	954.43	1259.69	1096.5	1340.84	1467.37	1104.13	1277.29
CLCN3	371.22	497.0	511.0	226.54	215.77	273.37	316.37	447.82	698.41	248.0	325.29	438.59	309.83	275.28	159.9	148.09	186.4	157.68	273.37	205.5	191.67	220.32	271.48	197.09	169.07	193.01	205.5	151.22	161.02	142.01	190.34	256.78	173.85	110.43	146.03	143.01	143.01	78.89	249.73	197.09	229.72	287.01	381.68	392.44	928.3	647.07	429.54	343.89	361.04
COMMD8	476.71	403.5	521.76	172.65	327.56	316.37	260.38	612.11	420.68	271.48	607.87	450.94	251.48	208.38	108.9	115.16	146.03	109.66	281.09	129.69	102.97	127.89	318.57	74.06	170.25	132.44	229.72	100.83	141.02	144.01	79.45	138.1	150.17	65.72	251.48	142.01	171.45	64.34	208.38	115.16	102.25	147.06	409.15	460.44	395.18	688.78	688.78	314.17	353.59
COPB2	2319.15	2915.45	2816.11	1225.22	2193.99	1508.65	1467.37	1844.76	2075.59	1313.23	1529.73	2796.65	1519.15	1233.75	802.41	728.11	769.69	728.11	848.22	599.49	591.22	571.05	1030.12	679.29	878.17	748.61	796.86	723.08	769.69	728.11	587.13	928.3	753.83	723.08	808.0	848.22	808.0	1051.79	1081.39	780.44	830.75	854.13	2855.44	3039.3	2956.17	3614.55	3690.52	2777.33	2591.27
COPS8	1561.89	1183.45	2351.53	688.78	915.51	753.83	603.67	1427.22	872.1	884.29	1369.04	1037.29	679.29	620.67	525.39	395.18	368.65	351.14	435.55	371.22	356.05	403.5	647.07	379.04	525.39	500.46	483.38	438.59	521.76	395.18	363.56	435.55	480.04	387.02	825.0	470.14	432.53	493.56	629.35	466.88	438.59	447.82	1051.79	1794.29	961.07	934.76	2090.03	1044.52	1233.75
CPD	540.19	426.57	733.19	305.55	713.11	363.56	507.46	1191.69	902.89	473.41	1313.23	559.28	423.61	289.02	239.52	152.28	166.73	149.12	189.02	141.02	212.78	180.02	237.86	136.19	249.73	172.65	285.03	173.85	150.17	181.28	195.72	167.9	214.27	142.01	444.72	137.14	144.01	226.54	208.38	193.01	171.45	211.31	1857.6	1594.73	921.88	1051.79	620.67	543.96	447.82
DCTN2	5041.77	3168.41	5751.61	1832.01	3515.68	2997.45	2485.67	2627.46	3955.48	2875.3	2485.67	4802.93	1832.01	1721.16	1674.06	728.11	1081.39	872.1	1088.92	902.89	1001.93	738.29	1175.27	884.29	1322.37	909.17	1407.55	842.36	1037.29	1127.35	915.51	941.27	1208.34	769.69	1561.89	1519.15	1225.22	1477.58	1407.55	1030.12	961.07	819.3	3419.52	4268.94	5255.91	4543.8	6935.54	3690.52	4066.71
DCTN6	1088.92	825.0	813.63	612.11	624.99	543.96	616.37	1250.98	1023.0	860.08	1561.89	934.76	743.43	638.15	470.14	336.79	287.01	332.14	543.96	314.17	414.87	473.41	563.18	381.68	633.73	420.68	759.08	291.04	397.93	536.45	363.56	563.18	466.88	309.83	1369.04	368.65	389.72	579.04	679.29	638.15	316.37	483.38	684.02	1340.84	1397.83	866.07	1477.58	1096.5	679.29
