	TCGA.BL.A5ZZ.01A.31R.A30C.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A1EC.01A.21R.A131.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.ED.A7PX.01A.51R.A352.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.55.8208.01A.11R.2241.07	TCGA.86.7701.01A.11R.2170.07	TCGA.50.5072.01A.21R.1858.07	GTEX.144GN.0426.SM.5O9AP	GTEX.UPK5.1126.SM.3GAEJ	TCGA.39.5022.01A.21R.1820.07	TCGA.21.1076.01A.01R.0692.07
TIMMDC1	2895.31	2090.03	1870.53	1331.57	1819.35	1277.29	1572.76	2018.8	1407.55	1350.18	2075.59	2319.15	1397.83	1331.57	1331.57	1135.2	878.17	1208.34	1088.92	1268.46	1277.29	1073.91	1259.69	961.07	1167.14	1250.98	1477.58	848.22	1001.93	902.89	1088.92	1477.58	1151.06	921.88	1199.98	1030.12	1023.0	1135.2	775.05	1104.13	1208.34	1159.07	2090.03	1806.78	3212.66	2627.46	1662.49	2701.35	2417.67
TMEM165	2004.85	2485.67	1639.59	406.31	703.28	1088.92	607.87	1216.75	2209.26	854.13	1183.45	1407.55	518.15	392.44	279.14	120.94	170.25	178.77	218.79	163.28	105.89	147.06	281.09	104.42	148.09	154.42	241.19	128.79	154.42	258.57	110.43	194.36	154.42	186.4	395.18	256.78	232.94	260.38	212.78	264.03	177.53	201.25	2720.15	2537.92	2163.77	2032.85	2193.99	2240.11	2537.92
TMEM167A	2018.8	1685.71	1662.49	656.11	1295.13	1044.52	1015.93	1427.22	1651.0	1001.93	1529.73	1519.15	954.43	988.12	612.11	486.75	674.59	571.05	902.89	529.06	567.1	575.03	813.63	387.02	909.17	703.28	954.43	529.06	463.65	620.67	620.67	842.36	633.73	423.61	1268.46	902.89	599.49	769.69	934.76	764.36	529.06	808.0	1651.0	2591.27	1733.13	1605.83	1529.73	2018.8	1781.89
TMEM184C	221.86	325.29	423.61	260.38	199.85	249.73	255.0	273.37	543.96	189.02	223.41	363.56	269.6	248.0	182.55	107.38	148.09	83.45	129.69	144.01	248.0	156.59	195.72	116.78	167.9	190.34	109.66	181.28	172.65	262.2	156.59	151.22	232.94	155.5	182.55	212.78	178.77	133.36	218.79	170.25	162.14	151.22	332.14	334.46	281.09	373.81	275.28	256.78	289.02
TRIP12	1268.46	1651.0	1794.29	651.58	819.3	1044.52	629.35	791.35	1104.13	629.35	651.58	1143.1	587.13	575.03	551.56	325.29	376.41	392.44	454.09	301.33	371.22	325.29	497.0	406.31	307.69	368.65	316.37	255.0	447.82	490.14	373.81	460.44	373.81	366.09	466.88	435.55	371.22	607.87	497.0	466.88	387.02	336.79	1397.83	1844.76	1991.0	1037.29	1023.0	1096.5	1216.75
TTYH2	81.14	325.29	232.94	33.06	51.35	63.0	26.47	303.44	239.52	55.49	406.31	84.63	52.08	39.22	63.89	16.03	10.0	17.0	1.64	49.91	19.82	19.82	26.86	20.56	8.78	25.54	12.45	15.8	38.67	55.49	6.16	31.0	51.71	42.41	20.71	32.36	38.67	29.91	20.56	36.53	9.63	3.76	96.01	105.15	41.22	68.07	96.01	104.42	153.34
UBA5	669.92	543.96	612.11	507.46	665.29	738.29	595.34	723.08	1397.83	547.75	599.49	780.44	624.99	559.28	389.72	297.17	397.93	438.59	392.44	395.18	356.05	384.34	444.72	414.87	454.09	387.02	336.79	329.84	432.53	417.77	373.81	532.74	361.04	356.05	444.72	273.37	438.59	457.25	480.04	543.96	384.34	348.71	842.36	743.43	591.22	679.29	738.29	819.3	854.13
UBE2A	1594.73	1628.26	1551.09	684.02	890.44	981.29	819.3	1340.84	1081.39	902.89	1151.06	1674.06	684.02	624.99	463.65	307.69	389.72	297.17	444.72	406.31	363.56	307.69	529.06	307.69	503.95	384.34	503.95	373.81	368.65	633.73	303.44	397.93	329.84	332.14	591.22	551.56	373.81	346.29	559.28	363.56	314.17	412.0	1674.06	1685.71	1286.18	1674.06	2816.11	1745.2	1883.54
UBE2N	2485.67	2061.24	2133.97	884.29	1447.15	1199.98	1143.1	1277.29	1359.57	1277.29	1388.16	2319.15	1199.98	1023.0	928.3	493.56	656.11	470.14	884.29	583.07	748.61	603.67	836.53	480.04	928.3	878.17	713.11	688.78	796.86	825.0	708.18	819.3	759.08	470.14	1191.69	915.51	703.28	791.35	896.64	679.29	775.05	780.44	2148.82	2627.46	2417.67	2664.15	5112.16	1697.45	2351.53
UBQLN1	1286.18	1617.0	1199.98	830.75	1322.37	1331.57	1015.93	1757.34	1685.71	1030.12	1268.46	1572.76	1066.48	1001.93	624.99	575.03	1059.11	624.99	1359.57	567.1	612.11	642.59	1088.92	525.39	728.11	878.17	825.0	633.73	607.87	802.41	669.92	769.69	718.08	536.45	1081.39	769.69	748.61	743.43	854.13	665.29	728.11	934.76	1081.39	1561.89	1151.06	1277.29	1183.45	1242.34	1477.58
UXS1	848.22	660.68	638.15	361.04	748.61	579.04	633.73	674.59	748.61	463.65	612.11	1977.24	353.59	327.56	232.94	146.03	241.19	130.6	303.44	95.34	112.77	171.45	281.09	105.15	277.2	220.32	256.78	166.73	215.77	239.52	175.07	251.48	201.25	115.97	262.2	356.05	212.78	244.57	356.05	169.07	211.31	211.31	1242.34	713.11	941.27	1183.45	1844.76	764.36	759.08
VAC14	947.83	1561.89	848.22	802.41	1498.22	1225.22	688.78	642.59	1111.82	698.41	890.44	1151.06	547.75	583.07	417.77	669.92	406.31	575.03	647.07	412.0	420.68	457.25	366.09	389.72	480.04	426.57	555.41	688.78	363.56	466.88	384.34	529.06	368.65	674.59	791.35	414.87	376.41	351.14	563.18	366.09	384.34	406.31	1127.35	974.5	780.44	1191.69	848.22	1183.45	1066.48
VCP	5594.3	3665.02	4639.29	2956.17	4543.8	3716.2	3325.99	4607.24	3901.01	2915.45	2956.17	7642.41	2895.31	3212.66	2384.37	1340.84	2240.11	1628.26	2400.97	1572.76	1896.65	1519.15	2384.37	1757.34	2303.12	1651.0	2609.3	2032.85	1605.83	2555.58	1963.57	2104.58	1936.53	1551.09	2537.92	2573.36	2148.82	2255.7	2468.49	2255.7	2018.8	1709.26	4671.57	4268.94	4388.98	6337.83	5555.65	5995.9	4123.49
VPS37A	896.64	629.35	518.15	521.76	688.78	547.75	441.64	1135.2	921.88	540.19	813.63	1001.93	507.46	460.44	327.56	236.21	229.72	281.09	339.14	183.82	198.47	224.97	353.59	211.31	438.59	281.09	314.17	212.78	309.83	228.13	285.03	318.57	241.19	198.47	432.53	444.72	343.89	438.59	348.71	332.14	269.6	256.78	486.75	2178.83	525.39	547.75	684.02	698.41	693.58
WDR1	6745.86	4481.23	5594.3	2018.8	3103.19	2875.3	1572.76	2739.08	4095.0	2682.69	2468.49	5711.87	2163.77	1857.6	1295.13	909.17	1427.22	796.86	1183.45	890.44	1073.91	947.83	1674.06	934.76	1561.89	981.29	1191.69	1001.93	1216.75	1467.37	1167.14	1175.27	1073.91	819.3	2163.77	1259.69	1167.14	1369.04	1277.29	1081.39	1059.11	909.17	3874.05	3742.05	4419.52	4836.35	5219.6	3589.58	3540.14
WDR55	316.37	379.04	379.04	275.28	329.84	435.55	379.04	283.05	420.68	316.37	307.69	616.37	334.46	299.25	211.31	182.55	170.25	237.86	241.19	244.57	190.34	201.25	156.59	189.02	199.85	204.07	255.0	226.54	201.25	190.34	285.03	220.32	165.57	289.02	182.55	180.02	178.77	303.44	191.67	215.77	197.09	198.47	356.05	470.14	432.53	334.46	285.03	343.89	343.89
WIPI1	1857.6	1127.35	1127.35	368.65	642.59	543.96	476.71	571.05	1295.13	780.44	503.95	1457.23	327.56	490.14	346.29	129.69	152.28	215.77	490.14	135.24	169.07	198.47	231.32	127.89	211.31	159.9	273.37	204.07	146.03	275.28	146.03	285.03	260.38	236.21	420.68	194.36	232.94	167.9	325.29	215.77	151.22	120.1	1233.75	713.11	551.56	1268.46	941.27	1477.58	1119.56
YWHAB	3564.78	4210.15	5006.93	1519.15	2468.49	2758.13	1909.85	2520.38	2224.63	2400.97	2148.82	3540.14	1857.6	1832.01	1304.15	703.28	967.76	684.02	1059.11	981.29	921.88	995.0	1277.29	842.36	1066.48	802.41	1242.34	775.05	830.75	1183.45	775.05	1167.14	995.0	713.11	1950.0	1225.22	1073.91	1191.69	1457.23	1359.57	836.53	981.29	3901.01	3639.7	3018.3	4802.93	6699.25	4181.07	4769.75
YWHAH	3665.02	3690.52	4066.71	1268.46	1378.57	2537.92	1721.16	3467.27	2627.46	2287.2	2468.49	2664.15	1662.49	1175.27	1583.71	463.65	1081.39	536.45	928.3	536.45	438.59	555.41	1427.22	353.59	514.56	759.08	819.3	429.54	579.04	738.29	878.17	759.08	543.96	417.77	1540.37	1096.5	808.0	1295.13	941.27	769.69	703.28	595.34	4419.52	4181.07	3419.52	2997.45	6381.92	3395.89	3515.68
