	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.CH.5765.01A.11R.1580.07	TCGA.CH.5766.01A.11R.1580.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.U3ZM.0926.SM.4DXSW	GTEX.YB5E.1826.SM.5IFI4	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31
BCLAF1	343.89	490.14	665.29	309.83	140.04	466.88	497.0	567.1	629.35	325.29	713.11	532.74	536.45	232.94	607.87	438.59	476.71	688.78	555.41	253.23	902.89	791.35	432.53	379.04	684.02	521.76	269.6	575.03	647.07	205.5	454.09	713.11	414.87	289.02	432.53	665.29	507.46	665.29	420.68	441.64	693.58	791.35	493.56	511.0	476.71	473.41	435.55	660.68	358.54	226.54	674.59	332.14	500.46	587.13	334.46	1457.23	1407.55	2047.0	1572.76	2367.9	2090.03	2163.77	1233.75	1605.83	2163.77	1378.57	1096.5	1167.14	1037.29	1883.54	1369.04	1407.55	1923.14	1745.2	2004.85	1857.6	1674.06	1923.14	2555.58	1662.49	1199.98	1081.39	967.76	1304.15	1242.34	759.08	981.29	1191.69	733.19	1662.49
CBFB	154.42	217.27	231.32	158.79	107.38	190.34	307.69	231.32	287.01	163.28	473.41	237.86	323.03	356.05	412.0	134.3	166.73	262.2	231.32	102.97	234.57	228.13	166.73	108.14	312.0	201.25	71.0	140.04	466.88	190.34	269.6	178.77	171.45	143.01	115.16	366.09	120.94	182.55	145.02	164.42	231.32	836.53	139.07	103.69	327.56	101.54	579.04	146.03	115.97	78.89	104.42	197.09	76.71	154.42	158.79	738.29	571.05	547.75	651.58	854.13	616.37	928.3	303.44	529.06	642.59	291.04	395.18	674.59	381.68	651.58	450.94	329.84	603.67	563.18	733.19	674.59	325.29	656.11	693.58	309.83	384.34	373.81	426.57	463.65	371.22	271.48	281.09	249.73	248.0	612.11
CCDC132	92.05	120.1	138.1	54.33	47.84	128.79	57.08	126.12	110.43	85.82	111.21	103.69	130.6	102.97	134.3	85.22	94.67	58.3	120.1	77.79	153.34	74.58	131.51	73.54	80.57	82.29	90.14	105.15	32.59	88.26	116.78	140.04	49.56	121.79	122.64	93.35	91.41	70.51	92.7	61.25	61.25	194.36	74.58	120.1	119.26	100.13	113.56	61.68	86.43	33.78	95.34	120.94	87.03	108.9	156.59	297.17	299.25	293.07	373.81	353.59	320.8	297.17	334.46	232.94	358.54	217.27	211.31	543.96	295.11	301.33	215.77	211.31	334.46	339.14	325.29	236.21	395.18	305.55	265.87	264.03	201.25	209.84	226.54	283.05	242.88	215.77	175.07	198.47	183.82	366.09
CEP104	172.65	221.86	269.6	189.02	171.45	262.2	185.11	214.27	242.88	275.28	271.48	232.94	271.48	201.25	271.48	158.79	177.53	264.03	204.07	105.89	170.25	215.77	346.29	305.55	201.25	218.79	341.51	199.85	133.36	178.77	199.85	423.61	114.36	336.79	234.57	126.12	199.85	241.19	260.38	283.05	190.34	289.02	265.87	237.86	368.65	141.02	152.28	234.57	185.11	141.02	143.01	242.88	211.31	267.73	262.2	329.84	351.14	412.0	457.25	395.18	397.93	303.44	289.02	381.68	329.84	327.56	255.0	1111.82	289.02	327.56	242.88	389.72	400.71	780.44	384.34	291.04	299.25	525.39	409.15	281.09	348.71	301.33	305.55	279.14	381.68	432.53	275.28	400.71	361.04	587.13
CEP89	53.57	56.28	84.63	47.84	28.65	84.63	57.89	57.89	65.26	48.87	43.63	43.63	109.66	63.89	162.14	33.06	42.11	38.12	45.21	41.52	58.71	37.85	67.12	76.71	48.52	81.14	49.91	55.1	34.26	48.18	87.03	93.35	29.48	66.65	54.72	53.57	49.21	36.53	73.54	57.49	29.06	103.69	68.55	81.14	79.45	56.68	82.29	38.4	55.49	56.28	55.89	42.71	42.41	50.98	55.49	287.01	327.56	480.04	397.93	371.22	348.71	368.65	271.48	229.72	334.46	444.72	262.2	728.11	341.51	438.59	176.29	511.0	371.22	409.15	373.81	228.13	339.14	423.61	289.02	295.11	339.14	224.97	579.04	356.05	356.05	802.41	529.06	334.46	514.56	414.87
CNOT2	307.69	466.88	543.96	318.57	260.38	441.64	476.71	480.04	483.38	371.22	521.76	356.05	500.46	400.71	514.56	441.64	339.14	381.68	473.41	241.19	748.61	529.06	583.07	358.54	599.49	500.46	327.56	432.53	536.45	239.52	476.71	444.72	466.88	432.53	514.56	476.71	429.54	463.65	381.68	312.0	406.31	688.78	384.34	426.57	525.39	497.0	563.18	332.14	366.09	164.42	511.0	607.87	490.14	403.5	395.18	921.88	896.64	1066.48	896.64	954.43	961.07	981.29	703.28	915.51	1059.11	633.73	633.73	954.43	629.35	842.36	764.36	961.07	1008.9	1225.22	928.3	848.22	780.44	1015.93	1001.93	791.35	651.58	693.58	738.29	808.0	854.13	616.37	651.58	738.29	624.99	1417.35
CNOT6	53.57	60.82	81.71	35.5	25.17	62.12	48.52	69.03	94.67	32.13	74.58	69.03	119.26	65.26	77.25	49.21	68.07	64.34	77.25	51.71	138.1	36.79	66.18	31.22	125.24	41.22	31.0	82.29	69.03	30.12	51.71	96.68	57.49	35.0	93.35	75.11	69.03	55.49	75.64	51.35	87.65	205.5	38.4	100.13	90.14	63.89	78.89	45.21	40.36	9.48	63.89	71.0	58.71	62.56	88.88	463.65	529.06	493.56	353.59	432.53	529.06	529.06	312.0	379.04	624.99	267.73	295.11	285.03	242.88	417.77	397.93	301.33	435.55	432.53	603.67	420.68	591.22	507.46	571.05	511.0	384.34	255.0	237.86	363.56	314.17	193.01	195.72	211.31	423.61	460.44
CNOT8	348.71	409.15	521.76	295.11	281.09	473.41	275.28	379.04	395.18	361.04	400.71	353.59	633.73	447.82	435.55	493.56	379.04	299.25	457.25	283.05	480.04	397.93	521.76	285.03	486.75	384.34	346.29	514.56	406.31	273.37	493.56	551.56	248.0	318.57	514.56	341.51	432.53	473.41	532.74	260.38	392.44	620.67	281.09	409.15	521.76	466.88	336.79	400.71	309.83	327.56	457.25	417.77	463.65	555.41	493.56	1135.2	603.67	1059.11	738.29	1127.35	1081.39	1159.07	708.18	854.13	1088.92	555.41	521.76	1378.57	669.92	954.43	830.75	878.17	1225.22	1208.34	967.76	941.27	974.5	796.86	934.76	1023.0	775.05	607.87	825.0	830.75	718.08	536.45	896.64	764.36	638.15	842.36
DCAF17	62.12	64.8	84.04	40.36	29.27	64.8	50.63	71.0	81.14	34.02	84.04	63.45	83.45	27.44	61.68	64.8	44.89	59.97	101.54	34.75	111.99	35.25	96.68	38.12	64.34	49.91	38.67	71.5	29.48	39.5	35.0	92.7	68.55	48.52	92.7	72.52	43.94	66.18	63.45	57.08	50.63	75.11	36.27	71.0	59.55	69.52	46.84	91.41	59.55	32.82	50.63	66.65	40.64	45.21	62.12	305.55	193.01	253.23	180.02	262.2	320.8	218.79	181.28	232.94	271.48	164.42	129.69	208.38	113.56	221.86	206.94	170.25	251.48	289.02	260.38	180.02	384.34	262.2	224.97	197.09	187.71	106.63	150.17	154.42	151.22	111.99	121.79	170.25	127.89	271.48
EDC3	128.79	193.01	218.79	161.02	185.11	234.57	129.69	195.72	264.03	134.3	231.32	159.9	234.57	194.36	312.0	136.19	178.77	157.68	217.27	279.14	146.03	191.67	232.94	202.66	102.25	244.57	248.0	115.16	144.01	226.54	217.27	206.94	412.0	208.38	147.06	218.79	255.0	176.29	185.11	150.17	223.41	128.79	150.17	244.57	199.85	134.3	223.41	215.77	190.34	114.36	143.01	122.64	201.25	139.07	150.17	698.41	603.67	595.34	543.96	693.58	493.56	583.07	500.46	536.45	633.73	543.96	426.57	934.76	493.56	525.39	447.82	441.64	547.75	473.41	616.37	447.82	551.56	785.88	769.69	642.59	651.58	511.0	521.76	423.61	571.05	555.41	540.19	457.25	423.61	575.03
FAM219A	83.45	69.03	120.94	47.5	58.3	109.66	61.25	94.01	104.42	69.52	87.65	71.0	89.51	49.21	138.1	74.58	76.71	51.35	76.17	67.12	55.89	61.25	59.13	63.0	45.85	102.25	92.7	52.82	85.82	90.14	178.77	159.9	72.52	149.12	59.97	76.17	89.51	66.18	98.73	70.51	82.87	126.12	73.54	64.34	150.17	70.01	90.77	64.8	73.03	56.28	53.57	92.7	92.7	109.66	62.56	157.68	208.38	223.41	248.0	220.32	191.67	195.72	202.66	228.13	211.31	204.07	170.25	819.3	289.02	356.05	178.77	251.48	262.2	291.04	221.86	198.47	265.87	327.56	237.86	201.25	220.32	217.27	309.83	150.17	206.94	162.14	224.97	223.41	77.79	320.8
FBXO34	111.99	162.14	146.03	127.89	83.45	113.56	133.36	137.14	150.17	126.12	202.66	152.28	277.2	123.5	154.42	117.6	108.14	144.01	206.94	91.41	142.01	177.53	145.02	96.01	180.02	85.82	78.34	194.36	141.02	149.12	187.71	81.71	96.01	117.6	172.65	91.41	101.54	128.79	75.11	65.26	156.59	191.67	183.82	136.19	217.27	137.14	214.27	111.21	61.25	201.25	95.34	126.12	103.69	218.79	140.04	387.02	339.14	563.18	463.65	466.88	447.82	397.93	503.95	316.37	567.1	361.04	283.05	607.87	232.94	555.41	363.56	283.05	429.54	376.41	438.59	371.22	351.14	454.09	414.87	500.46	412.0	373.81	395.18	447.82	417.77	368.65	303.44	314.17	444.72	262.2
GABPB1	103.69	159.9	146.03	114.36	80.01	145.02	190.34	159.9	151.22	154.42	214.27	194.36	138.1	129.69	197.09	149.12	157.68	178.77	128.79	139.07	265.87	164.42	143.01	151.22	166.73	79.45	157.68	145.02	223.41	244.57	169.07	172.65	164.42	147.06	117.6	120.94	151.22	106.63	129.69	72.52	151.22	379.04	162.14	171.45	163.28	114.36	205.5	132.44	135.24	139.07	127.0	154.42	114.36	123.5	164.42	389.72	307.69	353.59	287.01	457.25	361.04	318.57	256.78	423.61	420.68	248.0	277.2	447.82	279.14	325.29	314.17	303.44	346.29	525.39	406.31	348.71	265.87	406.31	351.14	327.56	265.87	195.72	224.97	265.87	204.07	239.52	208.38	239.52	158.79	507.46
GATAD1	228.13	208.38	299.25	172.65	152.28	237.86	241.19	265.87	289.02	187.71	204.07	231.32	260.38	228.13	283.05	208.38	218.79	180.02	271.48	217.27	253.23	144.01	327.56	141.02	170.25	312.0	155.5	178.77	109.66	260.38	169.07	202.66	173.85	157.68	212.78	204.07	212.78	185.11	171.45	202.66	155.5	231.32	244.57	201.25	220.32	289.02	205.5	176.29	242.88	239.52	220.32	237.86	193.01	146.03	205.5	651.58	532.74	669.92	674.59	607.87	698.41	607.87	660.68	563.18	599.49	543.96	444.72	1175.27	403.5	633.73	460.44	616.37	743.43	872.1	638.15	540.19	947.83	698.41	629.35	559.28	536.45	435.55	543.96	511.0	587.13	607.87	463.65	497.0	463.65	733.19
GLTSCR1L	52.08	71.5	107.38	37.05	38.67	60.82	42.11	72.52	88.26	38.95	80.57	55.89	101.54	36.79	91.41	51.35	50.27	39.22	135.24	42.71	109.66	85.82	56.68	48.87	59.13	84.63	39.5	90.77	16.15	52.08	46.5	103.69	43.63	49.56	90.77	60.82	82.87	76.17	59.55	43.32	102.97	76.71	29.7	96.01	78.34	84.63	61.68	73.54	44.89	27.84	55.49	45.21	75.64	60.39	82.29	273.37	251.48	376.41	318.57	287.01	379.04	343.89	237.86	256.78	329.84	221.86	244.57	271.48	187.71	316.37	251.48	248.0	299.25	287.01	325.29	242.88	327.56	229.72	376.41	277.2	209.84	228.13	218.79	251.48	291.04	178.77	157.68	175.07	285.03	153.34
GNL3L	23.08	73.54	88.88	20.86	36.27	87.03	40.07	58.71	94.01	22.92	80.01	33.54	78.34	78.34	106.63	55.89	44.25	88.88	58.71	39.5	128.79	81.71	87.65	77.79	103.69	63.89	48.87	77.79	99.43	20.86	54.33	119.26	151.22	36.79	46.84	71.5	74.58	91.41	48.87	59.13	133.36	61.25	30.56	66.65	35.25	46.18	24.63	103.69	58.3	21.78	52.82	37.59	78.34	48.87	62.56	162.14	162.14	229.72	205.5	206.94	187.71	231.32	95.34	197.09	211.31	115.16	148.09	358.54	113.56	157.68	81.71	135.24	206.94	314.17	189.02	314.17	143.01	150.17	265.87	133.36	103.69	115.16	122.64	120.94	120.94	68.07	93.35	150.17	138.1	460.44
