	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.BH.A0AU.11A.11R.A12P.07	GTEX.131YS.0626.SM.5EGKL	GTEX.X15G.1626.SM.3NMB3	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.147F3.0826.SM.5NQA7	GTEX.U3ZH.1026.SM.4DXUZ	GTEX.OIZI.1426.SM.3NB1T	GTEX.RNOR.1326.SM.48FDE	GTEX.ZAB4.1226.SM.5CVN5	GTEX.13FHO.1826.SM.5K7Y6	GTEX.YECK.1726.SM.5IFI3	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.WHSB.1626.SM.3LK6J
PARP3	674.59	591.22	1143.1	825.0	269.6	376.41	353.59	332.14	314.17	277.2	323.03	414.87	1059.11	981.29	808.0	921.88	131.51	0.0	138.1	171.45	147.06	299.25	228.13	212.78	172.65	954.43
PIGG	967.76	1111.82	1225.22	967.76	303.44	802.41	819.3	703.28	665.29	836.53	830.75	848.22	2434.5	2104.58	2400.97	2319.15	381.68	0.0	158.79	327.56	226.54	397.93	262.2	273.37	202.66	1096.5
POM121L7	2.34	4.5	3.0	4.39	0.0	0.95	2.03	0.99	0.0	1.07	0.0	1.36	1.28	0.93	2.32	2.05	0.0	0.0	1.48	0.24	0.13	0.0	0.0	0.77	0.0	3.69
PRCD	135.24	105.89	217.27	239.52	11.13	49.21	81.71	83.45	40.07	97.36	50.27	113.56	228.13	320.8	429.54	314.17	3.5	0.0	2.29	5.5	23.42	9.85	0.84	6.89	2.12	127.89
RADIL	88.88	107.38	231.32	84.04	1.57	52.08	33.78	10.24	23.59	67.12	29.7	48.87	242.88	218.79	193.01	220.32	16.88	0.0	17.0	49.56	38.67	46.84	4.35	15.8	16.51	176.29
RP11-287D1.3	3.29	8.19	7.22	9.13	1.22	2.94	2.36	0.95	1.48	0.68	1.36	4.82	7.88	8.58	4.94	8.92	0.0	0.0	0.0	1.04	0.0	0.99	0.04	0.3	0.0	18.97
SECISBP2	842.36	1051.79	921.88	1119.56	279.14	466.88	567.1	444.72	429.54	802.41	679.29	780.44	1088.92	988.12	1268.46	1208.34	236.21	0.0	171.45	242.88	191.67	267.73	242.88	176.29	185.11	1001.93
SLC24A1	271.48	341.51	447.82	309.83	161.02	71.0	76.71	59.13	47.17	139.07	110.43	197.09	116.78	125.24	199.85	152.28	40.64	102.25	52.45	38.67	33.3	74.06	52.45	63.0	30.34	339.14
SLC25A45	438.59	287.01	392.44	409.15	49.56	101.54	75.64	77.79	100.13	175.07	116.78	231.32	327.56	241.19	244.57	305.55	46.84	51.35	23.42	29.7	27.44	53.19	33.06	45.53	23.76	753.83
TRIM52	318.57	486.75	547.75	412.0	102.97	146.03	157.68	152.28	119.26	217.27	249.73	234.57	603.67	607.87	567.1	567.1	33.06	0.0	18.03	33.78	28.86	57.49	33.3	35.5	23.42	543.96
TRIM66	115.16	151.22	148.09	150.17	65.72	109.66	115.97	88.26	114.36	147.06	189.02	314.17	144.01	143.01	217.27	159.9	16.51	0.0	9.27	37.85	11.64	43.94	25.35	42.11	21.94	218.79
TRMT10B	269.6	343.89	366.09	283.05	96.01	139.07	211.31	120.94	146.03	229.72	217.27	228.13	429.54	426.57	429.54	325.29	67.12	0.0	42.71	55.49	41.81	102.97	45.21	62.56	42.71	303.44
TUBGCP6	775.05	854.13	791.35	591.22	140.04	555.41	599.49	543.96	599.49	698.41	764.36	748.61	1242.34	1037.29	1216.75	1268.46	73.54	0.0	65.26	141.02	246.28	237.86	134.3	149.12	95.34	954.43
TXNRD2	620.67	532.74	928.3	638.15	229.72	244.57	153.34	178.77	176.29	368.65	309.83	346.29	842.36	656.11	607.87	825.0	139.07	0.0	186.4	199.85	120.94	224.97	159.9	244.57	157.68	633.73
USHBP1	128.79	127.0	66.18	260.38	10.16	75.64	50.98	29.48	33.3	66.65	73.54	108.9	197.09	162.14	205.5	156.59	8.78	0.0	4.54	21.78	12.83	15.34	10.71	10.63	12.36	118.43
VPS11	1015.93	1225.22	1757.34	1051.79	366.09	703.28	660.68	651.58	728.11	808.0	769.69	713.11	1135.2	1015.93	703.28	1119.56	400.71	0.0	392.44	532.74	287.01	579.04	607.87	529.06	397.93	866.07
VPS16	802.41	620.67	854.13	759.08	327.56	743.43	718.08	642.59	684.02	651.58	660.68	540.19	860.08	819.3	1119.56	1037.29	426.57	0.0	334.46	511.0	423.61	555.41	339.14	400.71	417.77	915.51
ZBTB25	132.44	158.79	172.65	255.0	70.01	94.67	155.5	63.45	85.22	108.14	115.16	124.37	223.41	381.68	312.0	234.57	56.68	71.0	29.7	46.84	61.68	55.49	36.53	41.22	55.49	220.32
ZDHHC17	327.56	547.75	397.93	583.07	68.55	171.45	339.14	161.02	139.07	285.03	285.03	343.89	616.37	679.29	808.0	665.29	53.57	0.0	37.59	68.55	54.72	85.82	74.06	59.97	53.19	384.34
ZNF182	120.1	151.22	151.22	167.9	20.86	50.98	69.52	45.85	45.21	77.79	80.57	102.25	172.65	244.57	173.85	158.79	20.56	0.0	14.89	16.03	14.35	31.9	16.88	22.59	17.0	157.68
ZNF251	346.29	423.61	536.45	435.55	78.89	312.0	287.01	214.27	169.07	239.52	323.03	289.02	808.0	674.59	633.73	825.0	72.52	0.0	18.43	61.68	31.22	84.04	55.89	39.79	53.95	651.58
ZNF500	244.57	273.37	323.03	417.77	69.03	189.02	176.29	178.77	191.67	202.66	253.23	256.78	406.31	258.57	329.84	293.07	53.57	0.0	77.25	71.0	44.89	130.6	80.57	74.58	60.82	242.88
ZNF596	123.5	187.71	316.37	163.28	65.26	93.35	84.04	88.26	91.41	121.79	173.85	151.22	289.02	214.27	316.37	301.33	59.13	0.0	10.47	26.47	17.51	37.05	28.24	24.11	18.16	239.52
ZNF736	140.04	309.83	271.48	218.79	47.5	48.87	53.19	53.19	75.11	123.5	133.36	161.02	343.89	206.94	197.09	205.5	29.06	92.05	1.35	6.62	9.34	28.45	17.25	11.82	1.85	239.52
