	TCGA.D8.A73X.01A.11R.A32P.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.E2.A15G.01A.11R.A12D.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.B6.A0WZ.01A.11R.A109.07	GTEX.131YS.0626.SM.5EGKL	TCGA.CV.5439.01A.01R.1686.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CV.7423.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN
C5orf49	52.82	37.85	241.19	55.89	101.54	6.73	162.14	55.49	119.26	84.63	55.89	0.0	0.0	0.44	0.0	0.0	4.9
CACNA1F	46.84	5.73	58.71	39.22	18.16	1.46	29.91	0.68	10.0	21.94	41.52	0.58	1.03	0.59	0.0	0.3	2.56
CCDC103	150.17	43.32	185.11	237.86	162.14	21.94	104.42	51.35	126.12	84.63	33.54	19.82	26.67	44.89	0.0	0.0	7.94
CCDC11	70.51	21.16	146.03	85.22	31.67	21.01	55.49	20.41	51.71	36.53	31.22	1.89	6.06	1.57	0.0	0.0	28.65
CCDC19	309.83	100.83	486.75	172.65	417.77	63.89	218.79	38.12	262.2	173.85	49.91	3.03	4.62	27.44	0.0	0.05	97.36
CCDC24	1081.39	297.17	1447.15	995.0	540.19	141.02	1023.0	251.48	447.82	854.13	486.75	147.06	332.14	273.37	0.0	0.16	66.18
CHPT1	3124.78	371.22	2417.67	1551.09	5995.9	1030.12	1477.58	872.1	2976.74	2061.24	2287.2	99.43	111.21	54.33	0.0	0.68	339.14
CNKSR1	1073.91	466.88	1111.82	813.63	669.92	283.05	896.64	273.37	460.44	591.22	417.77	379.04	256.78	497.0	0.0	0.18	366.09
COG2	1073.91	371.22	1250.98	1023.0	1073.91	368.65	995.0	389.72	995.0	728.11	454.09	211.31	217.27	185.11	0.0	0.14	291.04
CSF3R	1883.54	156.59	3103.19	890.44	119.26	120.94	249.73	74.58	329.84	64.8	151.22	31.0	46.18	11.64	0.0	0.96	15.0
CTD-3105H18.14	12.83	5.02	23.76	10.47	22.26	5.23	19.39	3.47	13.62	21.32	15.91	1.16	1.23	1.19	0.0	0.05	4.35
CTD-3193O13.9	476.71	80.01	872.1	669.92	204.07	31.45	236.21	121.79	460.44	599.49	140.04	3.14	5.45	5.73	0.0	0.31	0.38
CXXC5	1662.49	775.05	3124.78	2004.85	1151.06	454.09	1733.13	260.38	1733.13	1757.34	1498.22	412.0	441.64	507.46	0.0	0.65	155.5
DHRS4-AS1	587.13	128.79	842.36	476.71	529.06	173.85	75.64	301.33	536.45	934.76	295.11	44.89	6.01	15.11	0.0	0.22	25.54
DNAAF3	232.94	60.39	583.07	248.0	159.9	5.92	148.09	51.35	171.45	536.45	33.3	15.68	99.43	14.45	0.0	0.0	24.63
DOC2A	255.0	2.89	403.5	215.77	80.01	0.85	156.59	8.0	63.0	118.43	48.18	15.68	20.41	1.16	0.0	0.52	7.0
FAM187A	39.5	7.0	50.27	54.33	42.71	6.41	28.86	15.0	23.76	25.72	28.04	2.81	8.99	14.03	0.0	0.0	7.22
FANK1	728.11	229.72	656.11	995.0	518.15	92.7	323.03	204.07	361.04	529.06	248.0	70.01	43.32	61.68	0.0	0.0	66.65
FBXO46	563.18	532.74	743.43	521.76	460.44	165.57	483.38	265.87	493.56	511.0	366.09	329.84	447.82	389.72	0.0	0.57	307.69
FLNB	9025.81	6337.83	11345.82	8247.98	6337.83	3124.78	4869.99	2645.74	7749.1	8840.04	3443.31	2163.77	2319.15	3018.3	0.0	0.53	1561.89
FUZ	941.27	358.54	1208.34	728.11	743.43	129.69	483.38	165.57	595.34	665.29	713.11	52.82	110.43	59.55	287.01	275.28	346.29
GMPR2	2133.97	961.07	2537.92	2119.22	2319.15	1467.37	2061.24	1540.37	2591.27	2451.44	1896.65	1950.0	1295.13	813.63	0.0	0.62	802.41
GRTP1	629.35	438.59	1143.1	698.41	934.76	285.03	1051.79	387.02	346.29	463.65	587.13	281.09	297.17	329.84	0.0	0.44	112.77
GSTO2	878.17	414.87	1199.98	1015.93	1051.79	406.31	967.76	21.78	718.08	974.5	928.3	603.67	403.5	66.18	0.0	0.26	80.01
HDAC11	1225.22	297.17	1628.26	1605.83	693.58	151.22	473.41	223.41	748.61	808.0	848.22	229.72	241.19	166.73	0.0	0.36	165.57
HEMK1	733.19	536.45	708.18	738.29	616.37	220.32	651.58	260.38	698.41	387.02	521.76	228.13	194.36	118.43	0.0	0.25	242.88
HEXIM2	348.71	201.25	583.07	387.02	291.04	152.28	241.19	112.77	366.09	470.14	299.25	110.43	137.14	75.64	0.0	0.0	132.44
HMGCL	1242.34	902.89	1977.24	1104.13	1250.98	1159.07	1233.75	674.59	1135.2	1088.92	1369.04	559.28	703.28	343.89	0.0	0.31	753.83
IFT140	988.12	228.13	1963.57	808.0	872.1	206.94	460.44	110.43	406.31	426.57	414.87	63.45	78.34	119.26	0.0	0.39	208.38
IFT88	441.64	150.17	521.76	389.72	343.89	100.83	353.59	172.65	318.57	358.54	303.44	63.0	76.71	92.7	0.0	0.27	108.14
INTS9	447.82	334.46	738.29	444.72	426.57	140.04	387.02	325.29	438.59	309.83	417.77	275.28	277.2	143.01	0.0	0.6	503.95
KATNAL2	111.99	44.57	220.32	123.5	171.45	88.88	149.12	116.78	108.14	128.79	152.28	4.03	4.28	6.06	0.0	0.35	85.22
KLHDC9	1250.98	13.72	1617.0	934.76	684.02	15.91	748.61	172.65	514.56	229.72	674.59	8.92	0.0	37.05	0.0	0.22	24.46
KRTAP5-9	10.16	4.7	27.25	15.22	7.51	3.59	13.12	1.95	4.74	3.76	3.99	0.0	3.69	1.69	0.0	0.38	3.89
LRRC46	201.25	69.52	473.41	217.27	75.11	37.32	150.17	34.75	143.01	256.78	39.79	5.73	7.57	7.34	0.0	0.0	11.64
LRRC48	543.96	102.25	444.72	497.0	351.14	34.02	248.0	31.9	236.21	163.28	463.65	14.78	12.18	14.03	0.0	0.0	50.63
MED25	1088.92	1030.12	1639.59	1111.82	860.08	551.56	1331.57	441.64	848.22	1427.22	796.86	511.0	417.77	674.59	0.0	0.71	607.87
MLPH	13123.73	6294.04	10014.87	12589.08	10883.59	2855.44	12160.22	3060.45	7966.99	11189.6	6516.03	37.05	31.45	114.36	0.0	0.64	14.24
MUCL1	27745.15	2216726.5	550352.86	134.3	919186.72	828417.36	593956.43	1255646.43	900270.11	985160.01	887875.81	73.54	12.0	483.38	0.0	0.22	9635979.21
MYO15A	63.0	4.43	98.73	28.04	48.87	14.14	32.13	7.57	14.14	35.5	57.49	1.97	2.07	9.13	0.0	0.37	6.73
NAT1	4575.41	121.79	17681.08	14765.09	5751.61	67.59	4869.99	221.86	5366.37	8718.32	119.26	117.6	90.14	53.19	0.0	0.0	15.8
NINJ1	5555.65	3491.39	10959.3	5183.54	2351.53	4181.07	3614.55	4066.71	5112.16	8022.41	3018.3	4769.75	511.0	438.59	0.0	0.44	679.29
NIT1	1757.34	902.89	1857.6	1685.71	1250.98	753.83	1857.6	896.64	1127.35	860.08	1216.75	688.78	713.11	1259.69	0.0	0.77	1127.35
NME7	915.51	248.0	1359.57	612.11	988.12	713.11	435.55	379.04	1008.9	1216.75	1051.79	229.72	224.97	420.68	0.0	0.43	150.17
NPNT	4671.57	693.58	6699.25	5076.84	2148.82	988.12	902.89	1051.79	1991.0	4607.24	665.29	126.12	325.29	226.54	878.17	629.35	189.02
NPRL2	830.75	563.18	954.43	802.41	620.67	339.14	733.19	400.71	813.63	759.08	791.35	161.02	142.01	87.65	0.0	0.62	441.64
NXNL2	620.67	2.66	703.28	228.13	368.65	11.64	228.13	8.58	139.07	444.72	59.13	0.0	2.51	0.52	0.0	0.06	0.58
OVOL2	808.0	343.89	1096.5	629.35	775.05	176.29	603.67	255.0	842.36	764.36	239.52	217.27	138.1	111.21	0.0	0.08	44.89
PEX11B	1991.0	785.88	2224.63	1529.73	1540.37	454.09	1369.04	1051.79	1745.2	872.1	1008.9	511.0	351.14	532.74	0.0	0.32	363.56
PFN4	38.12	20.26	36.27	33.3	26.1	16.27	20.86	8.51	30.56	27.84	13.72	1.62	2.48	10.16	0.0	0.21	3.08
PHF23	1331.57	679.29	1199.98	1119.56	1208.34	738.29	1051.79	759.08	1096.5	780.44	591.22	607.87	525.39	423.61	529.06	429.54	583.07
POMGNT2	507.46	241.19	450.94	387.02	555.41	271.48	353.59	253.23	555.41	384.34	329.84	19.25	142.01	80.57	0.0	0.47	180.02
PVRL2	6037.61	3372.43	8247.98	5076.84	4123.49	2004.85	4268.94	2287.2	5751.61	5913.33	1583.71	1295.13	1331.57	1216.75	2032.85	1639.59	1487.87
RAB13	6337.83	3372.43	7642.41	5791.62	4543.8	3039.3	4704.07	4010.71	4704.07	3955.48	1733.13	1977.24	1508.65	2090.03	0.0	0.72	4328.55
RAI2	2555.58	246.28	1268.46	1529.73	902.89	124.37	400.71	231.32	947.83	1457.23	406.31	18.56	9.93	15.56	0.0	0.48	81.71
RTN4RL1	764.36	108.14	647.07	429.54	447.82	224.97	836.53	133.36	511.0	414.87	336.79	58.71	26.47	50.98	57.49	75.64	31.9
RTN4RL2	271.48	134.3	368.65	84.04	75.64	30.56	193.01	100.13	175.07	121.79	41.81	24.11	15.91	23.25	0.0	0.58	28.45
SHROOM1	1295.13	371.22	3190.46	1167.14	813.63	149.12	1551.09	454.09	656.11	633.73	165.57	38.67	34.26	166.73	178.77	212.78	35.25
SIX5	567.1	444.72	896.64	325.29	297.17	201.25	493.56	123.5	426.57	493.56	392.44	403.5	171.45	224.97	0.0	0.64	156.59
SMIM22	13399.51	5366.37	23656.34	12244.81	12160.22	3589.58	7433.4	3372.43	13681.08	12943.04	1991.0	60.39	21.78	967.76	0.0	0.42	20.26
SOX12	713.11	289.02	915.51	693.58	358.54	332.14	486.75	318.57	819.3	571.05	368.65	256.78	420.68	102.25	166.73	412.0	93.35
SPEF1	178.77	20.56	198.47	118.43	115.16	2.07	108.9	6.78	173.85	135.24	33.06	0.73	2.92	2.48	0.0	0.0	2.46
SRR	236.21	244.57	381.68	223.41	269.6	314.17	400.71	157.68	144.01	194.36	237.86	25.17	75.11	64.34	0.0	0.1	58.71
SUSD3	8778.97	49.21	22225.61	3874.05	2739.08	94.67	3716.2	67.59	2075.59	9025.81	698.41	55.89	30.12	11.3	0.0	0.28	8.45
TJP3	1721.16	878.17	3847.29	1594.73	941.27	356.05	2255.7	1331.57	2075.59	2090.03	384.34	103.69	16.88	10.24	0.0	0.44	5.54
TMEM107	713.11	164.42	718.08	808.0	583.07	450.94	334.46	480.04	450.94	305.55	363.56	242.88	293.07	299.25	0.0	0.21	106.63
TMEM121	186.4	60.82	157.68	139.07	154.42	35.76	177.53	17.25	109.66	98.73	56.68	5.54	6.67	16.75	0.0	0.27	15.8
TMEM26	620.67	9.85	651.58	414.87	854.13	34.75	457.25	8.19	127.0	336.79	158.79	2.48	4.82	4.31	0.0	0.06	0.66
TSTD1	9606.86	6037.61	16611.71	7642.41	8134.41	4450.27	9876.98	6792.79	6426.31	5633.22	3372.43	2018.8	1127.35	947.83	0.0	0.35	629.35
TTC16	12.27	4.5	52.08	27.64	22.59	2.1	18.16	3.63	10.79	13.03	6.67	1.13	1.19	0.8	0.0	0.0	5.06
TTC39A	8363.13	1498.22	9876.98	4038.61	2485.67	1268.46	2061.24	674.59	3467.27	5292.48	1662.49	96.01	406.31	387.02	0.0	0.0	41.22
TTLL9	57.49	10.24	60.39	32.59	36.01	2.18	47.84	4.03	38.4	11.82	14.03	0.77	3.79	2.61	0.0	0.0	6.16
UCN	103.69	36.27	115.97	30.56	40.93	41.52	74.06	4.98	28.86	87.65	21.01	1.5	2.86	3.2	0.0	0.56	8.58
USP21	1477.58	389.72	2032.85	1250.98	1059.11	435.55	1331.57	679.29	954.43	532.74	872.1	395.18	211.31	373.81	0.0	0.8	480.04
ZBTB12	277.2	36.27	309.83	293.07	144.01	50.98	139.07	85.82	145.02	73.54	119.26	58.71	44.57	17.77	0.0	0.15	43.02
ZFHX2	84.04	34.75	215.77	66.18	32.59	3.86	33.06	25.91	111.99	84.04	27.64	2.89	0.0	0.82	0.0	0.0	12.09
ZMYND12	149.12	94.67	314.17	226.54	197.09	126.12	169.07	37.05	156.59	61.25	194.36	0.8	0.0	2.63	0.0	0.0	35.25
ZNF174	368.65	242.88	406.31	463.65	307.69	246.28	208.38	175.07	297.17	381.68	316.37	153.34	178.77	151.22	0.0	0.0	140.04
ZNF497	132.44	64.34	138.1	113.56	106.63	26.67	111.99	39.22	112.77	93.35	96.01	4.17	3.66	10.55	0.0	0.13	27.05
ZNF703	2417.67	1745.2	4937.99	1794.29	2351.53	521.76	1295.13	674.59	1096.5	2609.3	1359.57	118.43	115.97	111.21	100.83	921.88	1457.23
ZNF799	148.09	84.04	269.6	163.28	351.14	57.49	193.01	102.97	138.1	264.03	204.07	19.53	17.13	24.46	0.0	0.28	60.39
