	GTEX.13O61.1226.SM.5KM21	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.XR.A8TF.01A.11R.A36F.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.3K.AAZ8.01A.12R.A39D.07	TCGA.60.2704.01A.11R.2045.07	TCGA.RD.A8N5.01A.12R.A36D.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6563.01A.13R.2055.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4462.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.8058.01A.31R.2343.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13FTX.0726.SM.5N9BI
CDH6	145.02	0.0	3.35	4.62	10.08	3.92	8.0	6.57	3.63	98.04	215.77	94.01	199.85	73.54	183.82	23.42	21.94	69.52	61.68	171.45	70.51	172.65	157.68	50.27	92.7	181.28	98.73	138.1	20.41	14.67	16.88	39.79	40.93	31.0	31.67	14.03	19.68	15.11	9.34
COL10A1	0.0	0.0	0.37	0.67	0.0	0.39	0.0	0.39	0.67	1733.13	1322.37	1447.15	116.78	341.51	1709.26	195.72	5.23	718.08	860.08	289.02	718.08	2303.12	450.94	54.33	138.1	3257.52	878.17	1540.37	1.2	0.93	2.78	1.64	0.0	3.79	2.63	0.59	4.35	2.18	0.37
COL11A1	8.51	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1242.34	688.78	718.08	32.36	3.63	466.88	39.5	3.35	121.79	147.06	11.3	180.02	1081.39	33.78	7.11	82.87	1183.45	52.08	117.6	0.75	0.0	8.06	0.0	0.0	0.0	0.96	0.0	0.0	1.87	0.0
CSF3R	120.1	29.06	20.41	16.27	14.35	36.79	16.63	42.71	24.99	1066.48	2645.74	759.08	928.3	267.73	486.75	262.2	432.53	305.55	470.14	234.57	1487.87	229.72	1870.53	256.78	161.02	2240.11	88.88	1015.93	320.8	226.54	473.41	127.0	130.6	728.11	208.38	36.27	92.7	620.67	31.67
CSGALNACT2	356.05	110.43	102.25	94.67	74.58	170.25	98.04	135.24	146.03	866.07	575.03	551.56	796.86	764.36	426.57	376.41	175.07	669.92	435.55	633.73	368.65	698.41	1331.57	187.71	341.51	884.29	309.83	656.11	197.09	105.15	162.14	183.82	120.1	267.73	166.73	108.9	107.38	258.57	72.01
CTHRC1	26.86	9.78	6.89	8.38	12.36	34.75	10.24	9.7	16.15	5147.73	4298.64	2777.33	941.27	748.61	1594.73	633.73	131.51	1923.14	1508.65	830.75	1605.83	2573.36	2451.44	379.04	890.44	4869.99	921.88	1369.04	141.02	120.94	47.5	157.68	136.19	156.59	177.53	116.78	53.95	155.5	13.03
DAB2	665.29	55.49	29.06	19.97	55.89	61.68	64.34	64.34	60.82	1583.71	2400.97	1709.26	1191.69	954.43	1059.11	540.19	262.2	1304.15	466.88	1015.93	638.15	1417.35	2104.58	361.04	454.09	1467.37	314.17	1037.29	438.59	320.8	420.68	301.33	368.65	743.43	426.57	329.84	376.41	366.09	84.63
DAZL	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.69	2.81	5.32	27.44	41.81	14.24	10.55	5.41	4.03	26.1	0.52	5.41	14.67	3.08	17.64	3.99	0.88	29.7	0.59	9.93	1.41	8.19	4.39	3.63	0.0	27.84	5.32	0.68	0.4	25.17	1.19
DIO2	46.18	0.0	0.0	1.46	0.0	0.72	1.1	4.86	0.67	202.66	1457.23	525.39	599.49	728.11	638.15	389.72	236.21	1015.93	170.25	1369.04	651.58	376.41	1250.98	214.27	164.42	642.59	209.84	808.0	102.25	83.45	85.22	159.9	131.51	13.62	92.05	73.54	68.55	54.72	59.13
DISC1	34.02	1.69	1.38	2.1	7.57	9.2	10.79	7.46	3.89	127.0	91.41	50.63	108.14	65.26	41.22	37.32	23.93	50.27	31.67	53.95	38.12	70.51	84.04	25.17	45.85	82.87	24.99	57.49	27.25	18.56	36.01	29.91	19.53	34.75	33.3	12.18	17.25	31.22	13.83
DOK5	40.93	0.0	0.96	1.58	3.08	2.78	13.83	6.36	5.36	108.9	69.52	77.79	101.54	75.64	148.09	31.67	10.55	162.14	28.45	115.16	57.49	111.21	103.69	50.27	40.07	122.64	27.25	43.63	19.97	10.88	13.72	13.32	15.0	31.22	14.24	21.32	6.16	32.13	4.98
EDNRA	60.39	3.99	2.61	4.06	8.32	15.8	20.56	8.58	4.43	406.31	429.54	356.05	473.41	209.84	172.65	95.34	52.45	368.65	85.82	536.45	314.17	381.68	723.08	98.04	107.38	579.04	167.9	242.88	63.89	39.5	123.5	58.3	129.69	90.77	78.34	41.81	52.45	70.51	28.86
EFEMP1	1111.82	1.46	3.38	1.95	10.88	6.46	86.43	13.03	84.04	2816.11	1685.71	1268.46	1733.13	2591.27	3742.05	1350.18	507.46	2855.44	551.56	5183.54	2224.63	1896.65	5594.3	775.05	743.43	2303.12	813.63	2271.4	1662.49	764.36	1037.29	769.69	1051.79	1540.37	848.22	1950.0	896.64	1015.93	417.77
ELK3	228.13	32.59	30.78	17.64	40.93	92.7	91.41	70.01	36.27	780.44	693.58	791.35	1191.69	753.83	633.73	525.39	343.89	669.92	651.58	902.89	656.11	723.08	1286.18	343.89	323.03	1407.55	281.09	753.83	336.79	246.28	341.51	381.68	329.84	536.45	381.68	231.32	295.11	514.56	220.32
EMR3	0.0	0.0	0.39	0.74	0.0	0.42	0.4	0.43	0.0	29.7	24.46	29.27	23.42	3.5	9.93	12.93	11.64	2.78	20.86	5.23	16.03	11.47	100.83	6.46	12.36	33.54	1.35	26.28	9.7	6.78	14.35	9.78	4.03	17.25	4.98	0.72	8.32	13.72	0.0
FAM198B	256.78	12.55	41.22	16.75	19.68	37.05	114.36	71.5	18.7	642.59	1268.46	780.44	1909.85	842.36	947.83	395.18	283.05	1111.82	426.57	1233.75	591.22	954.43	1551.09	267.73	414.87	1340.84	287.01	974.5	295.11	147.06	329.84	312.0	232.94	358.54	258.57	209.84	193.01	320.8	61.25
FAM26E	23.93	0.0	1.39	2.03	2.89	2.92	7.06	4.06	1.36	88.26	65.26	74.58	84.04	48.87	38.67	39.5	9.56	90.77	14.78	80.01	51.71	45.53	71.5	14.67	14.89	75.64	19.82	69.03	14.78	4.9	12.18	10.0	11.13	16.63	10.24	10.71	6.89	11.55	3.32
FCGR2A	414.87	102.25	51.71	46.18	62.12	47.84	51.35	131.51	94.67	4210.15	2032.85	1709.26	1304.15	947.83	1378.57	1051.79	339.14	1268.46	1111.82	1208.34	1104.13	1487.87	4937.99	379.04	1467.37	3168.41	454.09	1857.6	429.54	356.05	532.74	356.05	358.54	921.88	297.17	379.04	579.04	607.87	96.68
FLJ20373	201.25	312.0	71.5	67.12	81.14	199.85	256.78	150.17	94.67	221.86	392.44	264.03	392.44	329.84	256.78	156.59	90.77	343.89	260.38	303.44	159.9	473.41	450.94	95.34	205.5	387.02	98.73	152.28	92.7	79.45	49.91	130.6	45.53	204.07	107.38	28.65	120.1	153.34	41.22
FNDC3B	384.34	450.94	158.79	135.24	172.65	353.59	379.04	314.17	373.81	1844.76	1286.18	1437.15	1295.13	1081.39	890.44	753.83	813.63	521.76	1233.75	1313.23	825.0	1832.01	1745.2	703.28	660.68	2090.03	708.18	1295.13	780.44	708.18	890.44	896.64	1023.0	432.53	780.44	339.14	536.45	518.15	476.71
FOXC2	7.06	0.0	0.0	0.0	0.44	1.95	0.79	0.0	1.79	25.91	26.1	26.67	40.36	17.64	29.27	20.56	6.57	62.12	5.5	22.59	53.95	46.18	25.72	7.69	1.53	49.56	13.22	43.32	6.21	3.44	2.39	3.53	5.5	15.22	0.35	3.86	8.06	7.75	4.13
FOXS1	8.45	2.03	1.31	2.84	45.53	3.08	12.18	3.56	10.39	44.57	138.1	183.82	180.02	165.57	242.88	147.06	47.5	470.14	18.97	253.23	224.97	54.33	255.0	126.12	21.63	195.72	90.14	351.14	15.91	22.59	17.38	13.83	18.84	54.72	54.33	14.03	23.93	28.86	13.93
GLB1L	129.69	50.98	80.01	42.11	115.16	50.63	112.77	98.04	44.25	171.45	112.77	178.77	110.43	100.83	156.59	111.21	92.05	121.79	54.72	128.79	94.01	171.45	198.47	81.14	457.25	191.67	84.63	99.43	74.58	69.03	105.15	106.63	88.26	118.43	62.12	61.25	69.52	78.89	87.03
GPR21	3.41	0.0	1.64	0.0	0.0	0.0	2.41	0.95	0.0	5.32	12.09	13.22	11.64	25.35	8.85	7.11	7.75	32.59	3.23	49.56	14.45	15.8	6.62	6.62	6.73	18.43	9.48	19.11	2.25	7.69	2.01	2.58	1.07	11.55	0.0	5.15	0.0	0.0	1.79
GREM1	4512.4	9.27	0.0	0.0	0.0	97.36	1.45	0.67	0.0	2875.3	3325.99	3168.41	10512.82	1769.57	5255.91	2537.92	633.73	7331.05	543.96	21026.65	5594.3	2682.69	5872.48	1844.76	1378.57	8840.04	1950.0	6840.04	616.37	599.49	830.75	351.14	532.74	2004.85	379.04	624.99	511.0	1030.12	19.39
HIVEP2	194.36	40.07	53.19	25.72	16.88	32.13	27.84	41.52	49.21	389.72	183.82	264.03	389.72	299.25	182.55	195.72	90.77	224.97	131.51	201.25	156.59	287.01	361.04	66.65	97.36	389.72	122.64	231.32	103.69	110.43	164.42	115.97	155.5	140.04	100.13	29.06	61.68	122.64	69.52
IGFBP3	2032.85	2895.31	665.29	674.59	264.03	743.43	872.1	480.04	1268.46	7803.01	7230.1	4038.61	1757.34	5006.93	11909.94	4328.55	1662.49	5791.62	2224.63	7433.4	4836.35	4972.34	3540.14	1259.69	8718.32	7331.05	3690.52	6079.61	2895.31	1857.6	1923.14	3212.66	2178.83	1304.15	1781.89	1583.71	1583.71	1508.65	669.92
ITGA11	54.33	0.77	3.29	0.78	3.03	8.92	17.0	3.99	14.35	199.85	890.44	921.88	651.58	150.17	813.63	236.21	42.41	381.68	224.97	595.34	412.0	466.88	403.5	127.89	120.1	1015.93	295.11	1015.93	70.51	56.68	59.55	49.56	77.25	54.33	94.01	22.26	51.71	29.48	9.7
ITGAV	624.99	172.65	173.85	106.63	75.64	87.65	132.44	124.37	97.36	2384.37	1378.57	1561.89	1605.83	909.17	896.64	961.07	591.22	728.11	1519.15	1037.29	830.75	1378.57	1519.15	406.31	769.69	2119.22	791.35	1208.34	753.83	327.56	688.78	785.88	426.57	414.87	387.02	373.81	336.79	417.77	409.15
IVNS1ABP	769.69	435.55	848.22	587.13	684.02	1467.37	638.15	967.76	1015.93	3168.41	3874.05	4575.41	2627.46	2796.65	2047.0	1991.0	1104.13	2935.74	2573.36	2224.63	2816.11	3039.3	3124.78	981.29	3395.89	4836.35	1721.16	1508.65	1233.75	624.99	830.75	1950.0	909.17	1508.65	1008.9	934.76	921.88	1088.92	1199.98
KDM5B	281.09	208.38	152.28	54.33	120.94	273.37	134.3	109.66	138.1	660.68	387.02	854.13	587.13	395.18	490.14	444.72	314.17	414.87	759.08	536.45	579.04	693.58	633.73	583.07	1143.1	738.29	547.75	406.31	329.84	262.2	353.59	363.56	299.25	217.27	285.03	147.06	211.31	205.5	379.04
LCP2	320.8	64.34	19.97	26.47	28.04	105.15	60.39	60.82	94.01	1605.83	1674.06	1175.27	1487.87	1397.83	947.83	836.53	432.53	981.29	796.86	674.59	813.63	1051.79	1923.14	301.33	633.73	2104.58	262.2	1477.58	514.56	444.72	579.04	480.04	547.75	1111.82	660.68	182.55	575.03	848.22	92.05
LILRA2	24.63	4.54	6.31	2.25	5.68	14.78	5.73	4.21	5.23	69.03	125.24	67.12	72.52	42.41	127.0	12.36	34.02	82.87	51.71	27.64	60.39	65.26	303.44	27.84	18.56	102.97	22.26	90.14	59.13	17.9	41.22	20.56	22.26	105.89	25.72	25.54	34.75	80.01	8.65
LIMS1	693.58	275.28	363.56	162.14	195.72	329.84	223.41	279.14	112.77	2367.9	1304.15	1331.57	1561.89	1119.56	1304.15	1059.11	603.67	902.89	961.07	1498.22	1001.93	1268.46	1697.45	647.07	780.44	1617.0	679.29	1819.35	638.15	540.19	718.08	620.67	612.11	656.11	579.04	518.15	507.46	878.17	587.13
LOXL1	493.56	6.89	5.63	5.15	15.0	30.56	56.68	2.18	33.78	1519.15	2119.22	1407.55	1225.22	796.86	1923.14	733.19	759.08	1769.57	974.5	2133.97	1081.39	1286.18	2224.63	738.29	733.19	2367.9	1508.65	1733.13	607.87	518.15	514.56	303.44	351.14	497.0	305.55	258.57	242.88	444.72	503.95
LRRC32	780.44	67.59	136.19	117.6	232.94	217.27	229.72	143.01	226.54	1088.92	1359.57	1216.75	2047.0	928.3	1781.89	1159.07	511.0	2303.12	547.75	2090.03	2018.8	1628.26	3372.43	559.28	348.71	1950.0	769.69	2451.44	497.0	269.6	334.46	403.5	329.84	309.83	371.22	194.36	264.03	432.53	253.23
LRRIQ4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	23.42	20.86	10.55	3.5	10.39	22.75	1.5	2.48	7.69	2.16	16.88	25.17	25.91	3.32	6.67	12.27	1.38	7.82	0.4	1.22	2.71	5.19	3.23	0.0	2.56	0.93	3.32	1.3	0.0
MCF2L2	5.87	1.77	0.0	0.0	1.51	4.43	0.65	0.0	0.64	71.5	19.39	15.0	27.44	26.28	8.99	8.92	11.04	10.55	9.06	30.34	19.68	18.84	11.04	8.71	10.63	34.02	6.57	24.63	16.03	7.4	12.45	16.51	24.46	19.53	10.71	9.93	20.41	5.15	3.56
MCTP1	139.07	9.93	6.26	3.5	4.17	12.93	12.93	13.62	16.39	275.28	303.44	241.19	356.05	212.78	232.94	147.06	152.28	293.07	341.51	463.65	273.37	186.4	470.14	104.42	136.19	336.79	78.34	260.38	146.03	80.57	114.36	109.66	69.52	170.25	123.5	153.34	123.5	148.09	63.45
MFAP2	242.88	0.0	2.39	0.0	3.35	12.55	8.58	0.0	3.5	2816.11	3124.78	1883.54	1583.71	633.73	1498.22	543.96	163.28	2004.85	381.68	1883.54	866.07	748.61	1250.98	423.61	1242.34	3901.01	599.49	1605.83	186.4	109.66	129.69	94.67	198.47	232.94	287.01	155.5	173.85	316.37	31.22
MSR1	114.36	46.5	21.63	24.99	24.81	38.67	29.48	48.87	21.78	941.27	316.37	409.15	412.0	258.57	693.58	366.09	92.05	743.43	389.72	389.72	400.71	483.38	1508.65	86.43	366.09	536.45	228.13	928.3	96.01	66.65	76.71	80.57	84.63	136.19	55.89	99.43	67.12	142.01	16.63
MYO5A	142.01	25.91	26.86	9.34	10.88	15.91	13.52	21.94	53.95	392.44	154.42	162.14	307.69	194.36	116.78	144.01	92.05	124.37	102.97	199.85	111.21	209.84	353.59	31.9	150.17	258.57	118.43	205.5	76.17	111.21	90.14	106.63	73.03	157.68	76.71	27.05	99.43	108.9	25.35
NAV3	31.0	27.84	1.11	5.32	5.73	2.05	6.62	11.13	2.68	99.43	31.67	37.05	56.68	66.18	81.14	16.88	10.31	50.63	42.41	78.89	42.71	47.84	67.12	4.35	20.71	64.34	10.63	46.84	9.78	4.54	19.82	5.68	2.84	8.99	5.23	13.03	53.57	20.56	1.53
NCF2	96.01	70.01	23.93	142.01	116.78	37.05	40.64	32.82	39.22	1359.57	486.75	414.87	275.28	105.15	299.25	209.84	142.01	241.19	262.2	119.26	232.94	265.87	1175.27	135.24	171.45	500.46	79.45	334.46	132.44	73.03	157.68	101.54	92.05	289.02	94.67	75.64	95.34	291.04	37.05
NID2	470.14	28.45	50.98	52.45	59.55	90.77	140.04	63.89	39.22	665.29	2004.85	1870.53	1250.98	473.41	599.49	444.72	92.05	567.1	423.61	1167.14	764.36	1233.75	2303.12	228.13	514.56	3395.89	395.18	759.08	151.22	90.77	239.52	87.65	130.6	112.77	147.06	48.18	84.63	178.77	69.52
NOX4	13.93	3.03	6.41	6.26	18.56	27.44	18.7	10.24	7.69	204.07	281.09	149.12	81.14	115.97	76.17	38.4	8.78	67.12	36.53	102.25	182.55	134.3	104.42	12.83	34.02	269.6	35.5	145.02	10.39	2.27	3.2	5.32	4.39	10.31	12.93	1.01	8.78	13.93	3.89
NTM	89.51	0.0	0.0	0.0	0.73	0.0	1.93	0.0	0.69	518.15	423.61	363.56	237.86	64.34	454.09	115.16	12.09	166.73	118.43	49.21	265.87	454.09	397.93	34.75	105.15	435.55	189.02	323.03	58.71	47.5	112.77	17.64	88.26	39.22	29.27	59.13	60.39	57.49	8.06
OCLM	13.83	2.07	9.63	2.61	2.78	19.97	0.0	19.82	1.6	39.79	35.5	45.53	35.5	71.5	15.45	15.22	14.14	26.86	23.93	75.64	41.52	50.98	31.0	8.0	81.71	57.08	24.46	9.63	2.14	5.63	0.0	0.0	0.0	18.03	2.71	15.0	0.0	12.45	7.94
OLFML2B	71.5	22.59	10.39	24.11	55.49	39.5	28.65	18.16	23.08	1250.98	967.76	728.11	612.11	201.25	660.68	500.46	86.43	1037.29	214.27	297.17	1216.75	785.88	1457.23	102.97	151.22	1447.15	271.48	612.11	101.54	140.04	273.37	120.1	123.5	212.78	131.51	28.86	72.01	144.01	49.91
OR51E2	5.77	0.0	2.39	0.74	1.14	1.16	0.0	0.82	0.0	1.57	26.28	11.21	5.54	18.97	13.12	6.78	0.0	6.52	4.7	2.73	17.64	9.41	1.6	2.76	4.66	21.47	0.77	6.26	0.33	0.88	0.0	0.0	2.05	2.16	0.54	0.0	0.0	7.06	0.54
PGC	8046889.67	3.59	59.55	13.62	18.03	67.59	0.0	6.73	0.0	4095.0	3372.43	2573.36	13399.51	2310861.52	1535204.12	2310861.52	2310861.52	828417.36	3200796.55	1916442.45	425853.18	1393227.06	12160.22	1.011504819E7	1600397.78	163620.18	5128124.01	327241.36	1851161.35	1956711.0	2068278.89	5690009.96	2025714.3	2025714.3	2126426.15	1634025.56	4885245.74	2654482.97	144427.91
PILRA	137.14	44.57	51.35	53.57	47.84	94.67	35.5	108.9	69.03	607.87	860.08	713.11	325.29	264.03	480.04	314.17	156.59	587.13	406.31	267.73	316.37	454.09	1685.71	150.17	376.41	693.58	136.19	748.61	194.36	217.27	283.05	161.02	162.14	423.61	212.78	64.34	189.02	420.68	220.32
