	TCGA.DD.A119.11A.11R.A131.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.ZF29.2026.SM.4WWB7	GTEX.R53T.0326.SM.48FEC	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.EM.A22K.01A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
CHKB	373.81	201.25	323.03	363.56	348.71	348.71	476.71	281.09	351.14	2502.97	1073.91	1127.35	3901.01	3081.75	1561.89	2271.4	2502.97	1437.15	4328.55	2384.37	1191.69	2335.28	872.1	3955.48	1733.13	1529.73	1883.54	1583.71	1242.34	974.5	1794.29	1167.14	988.12	2573.36	1487.87	1583.71	1950.0	1369.04	1216.75	1870.53	1378.57	1417.35	723.08	1991.0	3325.99	2090.03	1844.76	1225.22	2119.22	1806.78	1037.29	2796.65	2855.44	2163.77	1407.55	2287.2	1066.48	2384.37	1437.15	2591.27	1561.89	1397.83	1733.13	1350.18	1572.76	2119.22	1639.59	3614.55	1199.98	2163.77	1583.71	1350.18	2163.77	3847.29	2997.45	1073.91	1529.73	830.75
COPS7B	206.94	131.51	201.25	201.25	194.36	169.07	167.9	143.01	277.2	1135.2	1277.29	1044.52	848.22	995.0	1001.93	1066.48	947.83	988.12	928.3	1015.93	1001.93	941.27	679.29	1073.91	703.28	583.07	775.05	688.78	633.73	656.11	813.63	775.05	511.0	1081.39	780.44	629.35	674.59	743.43	733.19	728.11	559.28	813.63	521.76	909.17	967.76	713.11	796.86	836.53	738.29	802.41	563.18	961.07	642.59	759.08	616.37	890.44	559.28	713.11	679.29	1151.06	674.59	595.34	884.29	486.75	743.43	543.96	713.11	974.5	612.11	708.18	599.49	647.07	878.17	791.35	961.07	674.59	624.99	438.59
CPSF3L	854.13	457.25	780.44	587.13	547.75	607.87	878.17	796.86	708.18	4066.71	3190.46	2758.13	2758.13	2664.15	2645.74	3257.52	2664.15	2520.38	3060.45	3081.75	2400.97	2720.15	1594.73	2796.65	1883.54	1977.24	2351.53	1819.35	1870.53	1551.09	2351.53	1477.58	1769.57	2485.67	2555.58	1709.26	2777.33	1781.89	1963.57	2148.82	1977.24	1857.6	1617.0	2739.08	2664.15	2502.97	2004.85	2119.22	2224.63	2163.77	1819.35	2303.12	2075.59	2287.2	2004.85	2319.15	1936.53	1963.57	1977.24	2627.46	2224.63	1963.57	2591.27	1561.89	1936.53	1857.6	1733.13	3060.45	1870.53	2133.97	1295.13	1883.54	2434.5	2224.63	2609.3	1909.85	1806.78	1628.26
CRMP1	13.62	1.71	4.43	12.64	8.99	3.23	2.43	0.04	4.74	175.07	128.79	115.16	307.69	215.77	118.43	156.59	119.26	149.12	189.02	150.17	131.51	223.41	152.28	185.11	91.41	102.97	131.51	127.0	147.06	111.21	150.17	118.43	73.03	177.53	114.36	86.43	132.44	101.54	154.42	133.36	89.51	108.9	114.36	191.67	249.73	123.5	255.0	171.45	164.42	191.67	92.7	191.67	54.33	112.77	85.82	155.5	115.97	38.95	64.34	221.86	119.26	95.34	198.47	71.0	78.89	43.63	101.54	187.71	74.06	98.04	115.16	86.43	140.04	85.22	176.29	141.02	122.64	114.36
CSNK1E	423.61	500.46	397.93	447.82	232.94	220.32	521.76	403.5	198.47	2271.4	1313.23	1286.18	3039.3	1963.57	1477.58	2777.33	2520.38	1594.73	2485.67	2434.5	1583.71	1477.58	1277.29	2133.97	1216.75	1487.87	1617.0	1331.57	1721.16	1594.73	2384.37	1073.91	1407.55	1572.76	1397.83	1242.34	1447.15	1359.57	1617.0	1259.69	1359.57	1340.84	1143.1	1883.54	2178.83	1963.57	2287.2	1369.04	1540.37	1487.87	1313.23	2163.77	1242.34	1427.22	1304.15	1508.65	1457.23	921.88	1417.35	2384.37	1340.84	1806.78	1977.24	1167.14	1340.84	796.86	1119.56	2032.85	1225.22	1350.18	954.43	1119.56	1950.0	1769.57	1540.37	1697.45	1143.1	1159.07
CTD-3193O13.9	1.87	0.89	0.0	1.45	1.01	0.0	0.0	2.76	0.0	234.57	381.68	111.21	175.07	107.38	141.02	316.37	71.5	155.5	161.02	130.6	173.85	16.15	21.16	85.22	7.28	7.34	8.65	10.39	28.65	10.0	17.51	2.53	10.24	19.53	8.58	21.63	21.94	8.38	15.68	45.85	1.5	10.47	4.31	32.82	49.91	46.18	21.94	9.63	32.36	4.31	38.4	17.25	7.22	18.03	24.11	18.16	48.18	55.1	34.26	133.36	20.71	19.53	39.22	22.1	15.56	12.09	27.64	42.71	20.86	15.91	2.12	16.51	19.25	22.92	21.94	15.0	7.94	3.41
CUL9	228.13	118.43	162.14	158.79	129.69	264.03	262.2	234.57	341.51	1066.48	1023.0	988.12	1030.12	1051.79	967.76	1151.06	988.12	1059.11	1250.98	1015.93	1073.91	1044.52	713.11	1277.29	703.28	555.41	909.17	708.18	674.59	638.15	921.88	414.87	547.75	1066.48	941.27	591.22	713.11	679.29	708.18	813.63	607.87	802.41	540.19	1001.93	1259.69	909.17	934.76	808.0	909.17	842.36	599.49	1088.92	890.44	981.29	748.61	954.43	665.29	780.44	769.69	1175.27	775.05	571.05	890.44	563.18	775.05	743.43	713.11	1378.57	540.19	1088.92	698.41	753.83	1088.92	723.08	1023.0	693.58	599.49	587.13
DCST1	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.53	0.01	5.87	2.12	7.94	1.55	5.06	3.41	4.62	1.55	2.2	6.62	10.31	4.24	0.61	1.1	3.5	0.82	2.05	1.55	0.0	2.01	0.32	1.17	0.0	0.03	1.45	2.2	1.79	0.48	0.0	1.07	0.01	1.23	2.29	0.35	3.29	2.89	3.35	1.64	0.01	3.86	3.11	0.68	2.48	0.04	2.61	0.01	0.45	0.95	0.18	0.79	6.21	2.92	1.28	4.82	1.62	0.64	0.0	0.0	3.11	0.65	0.82	0.35	1.87	1.45	1.93	0.75	1.48	0.99	0.95
DKFZP667F0711	0.0	0.0	0.41	1.39	0.32	0.45	1.97	0.87	0.0	4.13	9.41	3.44	5.45	2.58	3.29	10.96	3.82	2.34	8.78	2.12	2.86	3.11	2.73	7.63	1.08	3.76	1.64	0.95	2.81	2.46	3.11	1.04	2.12	3.26	1.62	0.09	1.06	0.85	5.77	2.23	1.43	2.27	1.28	4.54	8.0	4.1	2.14	2.05	2.34	5.92	2.07	3.11	2.81	2.41	2.56	4.39	0.48	0.88	0.87	7.51	2.03	1.1	2.23	3.82	1.23	0.44	1.73	3.08	1.25	1.27	2.05	2.63	5.92	6.11	2.43	0.84	0.72	1.43
DPH7	97.36	54.33	100.83	109.66	111.99	101.54	162.14	94.67	119.26	941.27	848.22	743.43	961.07	921.88	1044.52	1023.0	872.1	759.08	896.64	872.1	733.19	769.69	476.71	967.76	463.65	397.93	454.09	420.68	514.56	595.34	819.3	426.57	358.54	890.44	688.78	429.54	470.14	400.71	587.13	511.0	426.57	486.75	368.65	825.0	947.83	769.69	660.68	555.41	563.18	651.58	400.71	872.1	473.41	660.68	460.44	660.68	381.68	373.81	392.44	928.3	473.41	406.31	769.69	351.14	497.0	358.54	441.64	1059.11	395.18	454.09	336.79	423.61	698.41	599.49	836.53	503.95	466.88	341.51
EPOR	156.59	108.9	59.97	101.54	40.07	28.04	40.07	114.36	93.35	2502.97	4152.18	2664.15	3349.13	3768.09	2573.36	4268.94	1819.35	2240.11	3467.27	3742.05	3419.52	1286.18	536.45	1447.15	624.99	624.99	836.53	406.31	633.73	902.89	796.86	381.68	457.25	1331.57	848.22	567.1	638.15	525.39	679.29	642.59	366.09	616.37	409.15	1331.57	1183.45	1639.59	967.76	679.29	915.51	1159.07	507.46	1015.93	674.59	1081.39	660.68	981.29	432.53	733.19	392.44	1757.34	638.15	620.67	1001.93	256.78	1008.9	607.87	703.28	1250.98	379.04	514.56	381.68	563.18	1407.55	1437.15	1151.06	759.08	457.25	251.48
EXD3	120.94	61.25	57.08	83.45	69.03	74.06	54.33	72.52	120.1	884.29	791.35	759.08	638.15	780.44	514.56	915.51	660.68	688.78	775.05	579.04	599.49	567.1	305.55	563.18	356.05	264.03	327.56	249.73	279.14	414.87	406.31	166.73	277.2	547.75	389.72	511.0	336.79	242.88	379.04	303.44	220.32	316.37	157.68	551.56	441.64	1023.0	543.96	279.14	567.1	476.71	281.09	473.41	262.2	536.45	299.25	392.44	237.86	241.19	194.36	457.25	403.5	241.19	480.04	195.72	237.86	241.19	256.78	603.67	285.03	336.79	466.88	205.5	486.75	466.88	403.5	366.09	253.23	182.55
FAM193B	262.2	90.77	269.6	460.44	244.57	146.03	332.14	301.33	297.17	2193.99	1427.22	1359.57	1757.34	1540.37	928.3	1757.34	1427.22	1208.34	1572.76	1769.57	1175.27	1127.35	679.29	1572.76	967.76	620.67	928.3	723.08	848.22	848.22	915.51	738.29	599.49	1340.84	1119.56	665.29	1059.11	567.1	890.44	769.69	583.07	825.0	454.09	1407.55	1508.65	1331.57	1008.9	860.08	915.51	1066.48	575.03	1322.37	1059.11	1066.48	738.29	1096.5	583.07	848.22	921.88	1572.76	836.53	819.3	1127.35	503.95	813.63	665.29	579.04	2271.4	698.41	1008.9	417.77	764.36	1111.82	1191.69	1104.13	620.67	759.08	466.88
FAM24B	5.06	19.68	5.63	3.29	12.64	0.79	2.48	1.45	7.75	126.12	139.07	117.6	91.41	151.22	229.72	209.84	89.51	81.14	125.24	100.13	131.51	62.56	75.11	140.04	30.78	46.84	28.86	35.0	63.45	60.82	49.91	27.44	30.34	37.05	120.94	62.56	60.39	37.05	83.45	77.25	50.63	59.55	53.95	163.28	115.97	35.0	80.01	29.06	94.01	134.3	45.21	96.01	57.08	87.03	71.0	61.68	20.41	37.05	54.33	157.68	92.05	78.34	43.94	65.72	57.49	19.97	33.54	134.3	16.27	63.0	47.5	37.59	98.73	55.49	73.54	89.51	50.98	37.59
FANK1	4.5	3.76	2.14	6.57	2.41	1.64	0.52	1.55	0.02	343.89	447.82	460.44	563.18	507.46	555.41	624.99	435.55	414.87	348.71	483.38	395.18	429.54	371.22	555.41	376.41	264.03	287.01	171.45	339.14	368.65	438.59	175.07	281.09	480.04	336.79	255.0	229.72	279.14	435.55	336.79	244.57	351.14	137.14	363.56	414.87	486.75	470.14	258.57	353.59	336.79	271.48	612.11	283.05	325.29	323.03	497.0	260.38	323.03	244.57	476.71	332.14	327.56	703.28	158.79	253.23	214.27	361.04	521.76	231.32	339.14	316.37	318.57	529.06	264.03	591.22	336.79	318.57	206.94
FBXL8	67.59	37.32	52.08	96.68	29.7	34.26	36.53	47.84	130.6	728.11	529.06	381.68	438.59	392.44	303.44	264.03	429.54	332.14	241.19	351.14	329.84	267.73	139.07	255.0	158.79	131.51	204.07	169.07	154.42	163.28	173.85	103.69	152.28	329.84	241.19	183.82	239.52	221.86	191.67	151.22	130.6	299.25	153.34	244.57	327.56	249.73	262.2	275.28	150.17	221.86	206.94	373.81	206.94	190.34	131.51	128.79	144.01	138.1	167.9	339.14	176.29	166.73	155.5	90.77	201.25	171.45	169.07	285.03	229.72	226.54	64.8	189.02	204.07	208.38	194.36	162.14	211.31	108.9
FUK	176.29	72.52	105.15	141.02	113.56	122.64	113.56	139.07	191.67	669.92	532.74	567.1	486.75	540.19	470.14	521.76	521.76	563.18	420.68	587.13	493.56	500.46	316.37	473.41	351.14	361.04	480.04	307.69	356.05	289.02	373.81	271.48	265.87	511.0	540.19	392.44	563.18	379.04	403.5	460.44	327.56	429.54	271.48	457.25	543.96	373.81	450.94	450.94	476.71	457.25	334.46	447.82	387.02	412.0	397.93	435.55	400.71	395.18	417.77	563.18	432.53	320.8	447.82	316.37	387.02	318.57	361.04	575.03	368.65	444.72	314.17	316.37	438.59	397.93	450.94	305.55	389.72	295.11
GGA1	466.88	271.48	193.01	265.87	212.78	285.03	400.71	305.55	423.61	1757.34	902.89	866.07	1674.06	1081.39	860.08	1457.23	1844.76	1191.69	1508.65	1806.78	842.36	1447.15	995.0	1721.16	1127.35	981.29	1313.23	961.07	1119.56	1175.27	1322.37	753.83	909.17	1662.49	1572.76	915.51	1407.55	1167.14	1159.07	1277.29	878.17	1066.48	878.17	1529.73	1794.29	1628.26	1467.37	1242.34	1508.65	1340.84	928.3	1508.65	1191.69	1350.18	1096.5	1135.2	1135.2	1059.11	1073.91	1806.78	1135.2	947.83	1721.16	941.27	995.0	896.64	995.0	1594.73	1037.29	1096.5	796.86	1143.1	1487.87	1208.34	1651.0	1183.45	934.76	848.22
GTF2H4	323.03	191.67	204.07	373.81	320.8	334.46	414.87	275.28	373.81	928.3	981.29	890.44	941.27	1216.75	941.27	1378.57	791.35	928.3	836.53	896.64	915.51	507.46	559.28	775.05	579.04	518.15	591.22	529.06	543.96	441.64	728.11	551.56	392.44	748.61	599.49	493.56	540.19	567.1	503.95	500.46	503.95	607.87	480.04	575.03	769.69	723.08	688.78	497.0	674.59	684.02	493.56	866.07	718.08	575.03	551.56	728.11	591.22	450.94	483.38	878.17	624.99	532.74	2335.28	373.81	819.3	412.0	551.56	759.08	432.53	624.99	423.61	463.65	674.59	555.41	587.13	547.75	607.87	500.46
GTF3C5	480.04	363.56	384.34	312.0	258.57	312.0	320.8	389.72	371.22	1487.87	1104.13	1175.27	1151.06	1191.69	947.83	1331.57	1096.5	1151.06	1277.29	1216.75	1015.93	967.76	679.29	1340.84	836.53	759.08	1037.29	808.0	878.17	775.05	1467.37	769.69	703.28	1268.46	842.36	848.22	974.5	723.08	872.1	947.83	733.19	902.89	775.05	1015.93	1119.56	995.0	1044.52	884.29	896.64	1015.93	836.53	1135.2	974.5	836.53	718.08	1023.0	802.41	738.29	902.89	1277.29	915.51	791.35	1111.82	620.67	775.05	878.17	785.88	1369.04	764.36	764.36	629.35	796.86	941.27	884.29	1143.1	753.83	836.53	688.78
IFT122	193.01	146.03	120.94	190.34	218.79	128.79	218.79	152.28	205.5	620.67	679.29	616.37	674.59	688.78	547.75	769.69	567.1	674.59	583.07	764.36	555.41	669.92	444.72	612.11	490.14	470.14	599.49	392.44	387.02	356.05	336.79	441.64	540.19	616.37	559.28	450.94	587.13	511.0	555.41	543.96	525.39	559.28	361.04	547.75	575.03	591.22	447.82	466.88	417.77	532.74	493.56	529.06	480.04	532.74	669.92	567.1	414.87	438.59	409.15	708.18	684.02	567.1	543.96	417.77	447.82	460.44	457.25	748.61	414.87	511.0	450.94	629.35	441.64	435.55	633.73	406.31	529.06	414.87
