	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.78.8648.01A.11R.2403.07	TCGA.38.4626.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.12WSG.0326.SM.5FQU3	GTEX.13D11.0326.SM.5LZXX	GTEX.ZZPU.0526.SM.5E44U	GTEX.11NSD.0326.SM.5A5LS	GTEX.QV44.0926.SM.2S1RH	GTEX.13OW5.0726.SM.5KLZK	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.ZAB5.0626.SM.5PNVB	GTEX.P78B.0926.SM.2I5FA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.WVJS.0826.SM.4MVNR	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.146FH.1226.SM.5NQB6	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
ARHGEF3	384.34	341.51	223.41	251.48	307.69	376.41	299.25	115.16	132.44	114.36	114.36	49.21	99.43	70.01	72.01	112.77	64.34	190.34	74.58	228.13	85.22	80.01	105.89	105.15	112.77	85.22	88.26	42.11	185.11	10.31	51.71	108.9	45.85	262.2	24.81	60.82	87.65	49.91	100.13	16.39	78.34	52.45	19.25	426.57	480.04	389.72	70.01	532.74	555.41	947.83	403.5	470.14	785.88	525.39	890.44	551.56	423.61	866.07	909.17	514.56	713.11	665.29	1199.98	836.53	420.68	575.03	728.11	532.74	802.41	759.08	785.88	579.04	426.57	693.58	693.58	493.56
ARHGEF6	209.84	307.69	74.06	91.41	94.01	170.25	127.0	87.03	60.82	57.49	53.95	29.06	59.97	56.28	61.25	35.0	53.19	152.28	26.1	122.64	50.98	18.03	27.25	14.35	87.03	115.16	45.21	25.17	32.82	13.93	29.27	33.06	26.47	209.84	25.72	32.59	60.82	45.21	52.45	63.0	64.8	124.37	74.58	303.44	255.0	305.55	42.71	307.69	314.17	708.18	242.88	536.45	460.44	178.77	656.11	220.32	281.09	836.53	540.19	128.79	473.41	476.71	995.0	688.78	150.17	314.17	438.59	660.68	591.22	543.96	583.07	226.54	381.68	529.06	507.46	353.59
ARRB1	624.99	941.27	262.2	332.14	607.87	511.0	441.64	141.02	177.53	118.43	105.15	49.91	423.61	53.57	110.43	119.26	129.69	371.22	37.32	718.08	305.55	104.42	78.89	60.39	140.04	447.82	293.07	55.1	74.06	217.27	66.65	59.97	656.11	412.0	39.79	860.08	414.87	289.02	136.19	132.44	151.22	269.6	559.28	518.15	684.02	981.29	842.36	1015.93	1277.29	2119.22	1639.59	3168.41	8134.41	872.1	1369.04	1674.06	1819.35	1639.59	1519.15	1651.0	571.05	3349.13	5041.77	2895.31	1104.13	4095.0	2520.38	1561.89	2287.2	2956.17	6983.79	1651.0	3060.45	412.0	2047.0	909.17
BDNF	49.56	9.63	0.4	1.83	0.75	1.13	32.59	1.66	9.27	2.23	0.59	0.65	1.66	3.26	3.29	0.68	0.0	8.06	3.2	0.56	1.06	1.01	1.03	1.35	3.23	0.72	0.0	0.0	0.92	0.0	2.1	0.61	0.49	0.58	0.45	0.49	0.39	3.26	0.82	0.16	0.37	0.3	1.89	3.76	9.06	23.42	0.51	6.21	24.46	175.07	35.5	90.14	353.59	13.52	18.7	47.5	34.02	8.65	40.36	102.97	29.06	40.36	177.53	111.99	4.7	88.26	146.03	30.78	24.99	81.71	163.28	133.36	97.36	45.85	70.01	27.25
BVES	7.22	16.75	19.97	3.99	2.89	1.81	29.06	5.5	3.23	2.46	3.56	1.46	9.63	3.44	2.25	1.1	2.03	5.68	0.51	2.97	16.75	0.93	1.73	4.1	8.45	3.59	2.18	2.73	10.88	0.44	0.87	2.56	10.08	4.98	0.91	2.32	3.26	1.97	3.76	1.39	6.52	2.43	2.76	33.54	21.16	16.51	10.24	18.97	17.64	114.36	52.45	48.87	35.5	13.62	60.82	39.22	25.17	25.91	9.27	23.93	47.17	9.13	156.59	37.32	4.86	48.52	33.78	44.89	50.98	17.0	144.01	17.64	17.51	1.91	35.5	23.76
C11orf63	63.89	68.55	46.5	32.36	8.13	40.36	34.02	8.51	8.65	0.45	7.57	3.26	4.13	3.5	6.11	2.71	3.56	8.13	0.77	6.41	5.92	2.27	2.63	1.13	7.69	5.45	6.94	1.14	29.27	0.95	1.43	2.34	1.5	29.48	0.33	7.46	4.86	0.96	8.25	4.94	2.81	3.59	3.38	89.51	60.82	67.59	5.36	51.35	105.15	181.28	124.37	59.55	273.37	48.52	162.14	80.57	50.98	136.19	61.25	82.29	130.6	115.97	167.9	269.6	35.25	189.02	116.78	248.0	98.04	314.17	215.77	104.42	118.43	54.33	164.42	91.41
C1orf167	12.93	21.47	34.51	1.38	24.63	12.93	12.83	1.55	6.06	44.25	1.73	0.0	5.11	13.72	1.89	1.58	2.86	3.29	3.86	0.48	11.47	1.35	6.62	2.03	6.94	2.2	3.92	0.49	6.16	5.77	1.99	1.79	7.22	8.32	1.45	19.11	4.17	0.48	0.0	0.0	7.94	9.34	4.7	57.08	98.04	177.53	9.63	224.97	133.36	193.01	287.01	366.09	507.46	115.97	543.96	29.06	79.45	848.22	267.73	185.11	341.51	698.41	88.26	251.48	90.14	316.37	575.03	241.19	629.35	563.18	872.1	915.51	808.0	93.35	120.94	325.29
CALCRL	60.39	220.32	39.5	53.57	68.55	61.68	44.57	231.32	318.57	31.9	229.72	112.77	29.27	154.42	70.01	47.5	143.01	92.7	32.13	69.52	111.99	66.65	100.83	28.86	265.87	68.07	94.67	139.07	73.54	12.27	57.89	167.9	21.94	500.46	40.36	46.84	142.01	21.32	51.71	20.86	106.63	81.71	102.25	514.56	381.68	698.41	153.34	629.35	1030.12	3124.78	1745.2	2075.59	1832.01	718.08	2855.44	988.12	902.89	2645.74	1015.93	1073.91	1519.15	420.68	5147.73	1832.01	307.69	2075.59	2468.49	1233.75	2133.97	2178.83	2956.17	1417.35	651.58	866.07	2119.22	813.63
CCDC149	121.79	217.27	88.88	102.25	228.13	166.73	111.21	163.28	150.17	113.56	232.94	123.5	204.07	154.42	194.36	80.01	204.07	190.34	246.28	164.42	180.02	40.64	400.71	50.63	332.14	118.43	111.99	39.22	90.77	226.54	131.51	52.45	90.77	143.01	195.72	81.71	13.62	10.88	71.5	202.66	84.63	71.5	123.5	239.52	301.33	237.86	122.64	177.53	171.45	426.57	145.02	191.67	260.38	470.14	264.03	909.17	339.14	348.71	228.13	318.57	172.65	141.02	507.46	214.27	150.17	195.72	323.03	134.3	366.09	215.77	229.72	329.84	206.94	273.37	273.37	239.52
CCM2L	38.67	132.44	20.26	43.94	126.12	35.5	35.25	76.71	98.73	12.45	58.71	31.22	28.24	55.1	87.65	49.91	80.57	48.87	61.68	26.86	53.57	29.91	43.63	33.3	63.0	45.53	68.55	42.71	57.08	11.04	72.01	63.45	15.68	139.07	19.68	12.45	66.18	15.0	44.89	17.9	36.79	36.79	38.67	161.02	112.77	234.57	56.68	150.17	193.01	397.93	112.77	320.8	532.74	134.3	201.25	312.0	532.74	633.73	423.61	141.02	265.87	295.11	483.38	599.49	127.89	447.82	651.58	438.59	579.04	318.57	743.43	159.9	295.11	90.14	669.92	158.79
CD93	164.42	878.17	100.83	150.17	587.13	217.27	128.79	241.19	265.87	94.67	201.25	87.65	158.79	167.9	125.24	87.03	105.89	291.04	46.5	221.86	132.44	98.04	100.13	52.82	206.94	121.79	164.42	113.56	119.26	35.5	173.85	107.38	33.06	620.67	45.85	69.52	228.13	39.22	57.49	117.6	147.06	147.06	88.26	1030.12	1806.78	1023.0	314.17	1340.84	791.35	2163.77	1950.0	928.3	2178.83	595.34	1819.35	1417.35	1216.75	1883.54	1605.83	688.78	1447.15	1923.14	2555.58	2255.7	320.8	1001.93	1135.2	500.46	2720.15	1001.93	1936.53	2485.67	647.07	3614.55	1135.2	1135.2
CDH5	152.28	836.53	95.34	149.12	423.61	193.01	98.04	275.28	361.04	63.45	279.14	190.34	112.77	239.52	239.52	223.41	208.38	334.46	107.38	217.27	202.66	146.03	153.34	65.72	429.54	214.27	265.87	195.72	221.86	36.53	212.78	217.27	61.68	616.37	102.97	97.36	397.93	94.67	92.7	301.33	332.14	420.68	305.55	988.12	1331.57	1304.15	291.04	1066.48	1030.12	5995.9	2224.63	4152.18	1733.13	902.89	2555.58	1936.53	1477.58	3515.68	3146.52	1135.2	1447.15	3665.02	3614.55	2032.85	325.29	1819.35	2148.82	1331.57	2417.67	2104.58	3564.78	1477.58	872.1	1359.57	1594.73	1059.11
CHRM1	0.0	0.83	0.77	4.9	12.64	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.43	0.0	0.39	0.39	0.38	0.0	0.0	0.0	3.14	0.0	0.0	0.0	0.41	0.39	0.99	1.41	0.0	0.0	0.59	0.0	0.0	14.24	0.41	0.0	0.0	0.49	0.0	4.1	0.0	0.72	1.33	21.47	7.88	12.74	63.0	107.38	41.22	95.34	190.34	24.46	18.56	26.86	35.0	123.5	65.26	59.97	29.06	35.76	148.09	166.73	11.55	186.4	128.79	48.18	140.04	104.42	221.86	29.06	67.59	5.73	117.6	25.35
CLIC5	5.82	141.02	3.82	26.28	5.82	18.56	3.0	21.16	19.39	0.84	14.78	3.76	4.9	13.72	13.93	3.2	4.31	41.22	2.14	5.36	14.56	0.47	3.06	1.14	16.39	1.53	2.78	4.24	3.96	2.41	11.91	9.93	0.38	36.53	1.27	0.75	4.1	3.5	7.88	0.22	5.36	2.51	2.58	76.17	551.56	665.29	15.22	902.89	713.11	4298.64	688.78	6037.61	8778.97	123.5	1369.04	214.27	651.58	591.22	1096.5	387.02	444.72	3325.99	1175.27	1066.48	163.28	2193.99	291.04	543.96	563.18	2520.38	1561.89	738.29	647.07	698.41	2104.58	921.88
CNOT8	620.67	718.08	460.44	483.38	397.93	624.99	406.31	473.41	376.41	376.41	376.41	241.19	397.93	567.1	444.72	301.33	312.0	480.04	429.54	429.54	373.81	473.41	395.18	476.71	813.63	387.02	403.5	547.75	684.02	460.44	525.39	536.45	444.72	567.1	303.44	224.97	281.09	351.14	273.37	318.57	466.88	397.93	493.56	1143.1	1143.1	1151.06	466.88	1857.6	1135.2	1225.22	1023.0	2287.2	1268.46	684.02	1551.09	1359.57	872.1	1008.9	2400.97	1437.15	1191.69	1697.45	1259.69	830.75	753.83	2209.26	941.27	974.5	1199.98	1259.69	1208.34	2148.82	1769.57	1417.35	802.41	1407.55
CNRIP1	223.41	450.94	88.88	131.51	228.13	143.01	202.66	76.71	91.41	30.56	72.01	41.81	50.27	55.1	48.52	31.22	53.57	99.43	16.15	84.63	56.28	23.08	40.64	18.56	74.06	50.63	70.01	27.84	64.8	13.72	40.93	35.0	26.86	193.01	29.91	28.65	82.87	49.56	49.56	40.64	90.77	103.69	60.39	447.82	309.83	343.89	84.63	521.76	327.56	503.95	239.52	476.71	237.86	579.04	941.27	674.59	607.87	583.07	301.33	152.28	836.53	392.44	642.59	318.57	163.28	289.02	323.03	842.36	1135.2	353.59	854.13	128.79	271.48	283.05	587.13	647.07
COL13A1	11.91	92.7	2.39	22.75	12.27	1.53	10.55	30.34	34.75	13.42	25.72	6.31	3.06	16.27	21.47	4.06	7.82	19.53	2.07	5.63	11.04	11.04	5.02	2.12	8.45	5.28	7.94	3.99	15.22	2.1	0.57	19.53	2.71	65.26	8.65	10.71	16.39	0.97	7.94	5.06	5.41	17.51	3.63	138.1	78.34	105.89	6.57	92.7	85.82	152.28	61.25	191.67	361.04	50.98	175.07	45.53	133.36	301.33	264.03	60.82	229.72	253.23	412.0	255.0	84.04	143.01	228.13	656.11	305.55	139.07	309.83	64.8	171.45	84.04	295.11	146.03
CPNE2	603.67	1051.79	447.82	426.57	733.19	665.29	559.28	447.82	409.15	221.86	463.65	228.13	395.18	229.72	473.41	154.42	305.55	486.75	127.0	251.48	371.22	182.55	373.81	412.0	285.03	285.03	366.09	199.85	612.11	228.13	872.1	403.5	483.38	708.18	229.72	281.09	387.02	78.89	120.94	343.89	332.14	392.44	366.09	1216.75	1096.5	1322.37	854.13	1037.29	1066.48	1519.15	1359.57	1477.58	1896.65	909.17	1250.98	1498.22	1519.15	2855.44	2148.82	974.5	1457.23	1936.53	1977.24	2451.44	1191.69	1991.0	1977.24	1936.53	1628.26	2209.26	2627.46	1037.29	1340.84	1277.29	2351.53	1135.2
CPT1C	22.1	109.66	11.91	11.55	23.59	17.25	10.71	53.57	90.77	29.27	27.64	29.91	48.52	67.12	150.17	53.57	36.79	37.85	34.75	14.89	41.52	29.27	20.26	48.87	52.45	18.84	39.22	521.76	62.56	14.24	83.45	42.41	19.11	112.77	15.22	15.56	43.32	13.72	37.59	22.59	25.54	40.64	28.04	197.09	90.14	193.01	79.45	30.56	30.56	107.38	44.25	34.75	44.25	409.15	149.12	134.3	429.54	157.68	79.45	36.01	229.72	38.95	244.57	98.73	186.4	42.41	158.79	256.78	460.44	107.38	124.37	24.99	67.12	15.34	301.33	65.26
CYSLTR1	36.27	85.82	13.03	21.01	11.73	21.47	17.38	21.63	15.56	4.39	21.01	12.55	12.09	16.15	12.55	6.84	8.38	19.39	0.71	30.78	5.28	6.89	8.71	1.87	15.34	8.0	10.55	8.45	2.84	1.06	8.45	11.04	4.1	52.45	7.75	0.0	18.16	2.12	12.0	9.06	8.92	33.54	10.0	76.71	78.34	96.68	13.42	85.22	130.6	148.09	223.41	191.67	353.59	73.54	127.89	13.83	176.29	543.96	211.31	122.64	291.04	78.89	616.37	551.56	81.71	169.07	409.15	312.0	314.17	400.71	131.51	172.65	172.65	85.82	262.2	123.5
CYYR1	45.53	209.84	42.11	49.91	56.28	46.18	27.64	115.97	146.03	19.25	111.21	69.52	28.86	120.94	58.3	49.56	99.43	76.71	29.91	39.5	72.52	62.56	52.45	22.26	141.02	63.0	73.54	74.06	74.06	9.85	52.08	81.71	18.97	277.2	25.35	36.27	78.34	18.43	36.79	38.12	77.25	70.01	43.02	318.57	358.54	339.14	108.9	397.93	299.25	688.78	312.0	902.89	473.41	151.22	463.65	571.05	1268.46	753.83	961.07	167.9	679.29	392.44	1529.73	934.76	99.43	511.0	665.29	514.56	1008.9	575.03	679.29	221.86	423.61	224.97	551.56	435.55
DCBLD1	87.65	130.6	38.4	39.79	57.49	54.33	53.57	211.31	108.9	147.06	95.34	124.37	69.52	197.09	124.37	93.35	127.89	149.12	137.14	86.43	116.78	82.29	136.19	98.73	206.94	185.11	92.7	218.79	165.57	92.05	68.07	265.87	83.45	194.36	76.17	112.77	204.07	126.12	88.26	149.12	191.67	118.43	120.94	301.33	273.37	389.72	289.02	187.71	155.5	267.73	205.5	82.87	187.71	607.87	156.59	371.22	371.22	164.42	127.0	444.72	460.44	74.58	211.31	346.29	285.03	191.67	193.01	158.79	620.67	346.29	285.03	170.25	178.77	334.46	432.53	336.79
