	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.P4PQ.2626.SM.33HC9	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S
CXorf23	70.51	64.8	81.71	103.69	87.65	103.69	119.26	75.64	105.15	37.05	20.71	78.34	71.5	65.72	70.51	74.06	89.51	83.45	59.97	77.79	10.71	37.59	177.53	94.67	120.1	166.73	267.73	104.42	142.01	102.97	133.36
DNAJB7	0.0	0.85	0.83	3.03	0.42	0.75	1.17	1.6	1.6	0.52	0.38	0.39	0.39	0.0	0.75	1.2	0.78	1.48	1.62	0.41	0.0	1.55	8.19	4.98	3.66	4.62	15.34	4.06	4.1	4.28	3.2
EXOG	37.85	41.22	71.0	124.37	105.89	82.87	100.13	111.21	99.43	58.71	69.03	96.68	75.11	66.65	72.52	79.45	61.68	70.01	52.45	65.26	18.7	67.12	195.72	134.3	177.53	165.57	231.32	191.67	186.4	130.6	141.02
FAM188A	260.38	265.87	392.44	373.81	356.05	409.15	417.77	514.56	406.31	105.15	120.94	343.89	341.51	287.01	285.03	341.51	356.05	381.68	279.14	343.89	137.14	134.3	511.0	406.31	460.44	540.19	607.87	447.82	947.83	392.44	435.55
FAM218A	7.63	10.0	9.27	16.88	12.36	12.45	17.9	17.77	15.68	7.94	4.39	8.58	8.99	12.55	8.45	7.51	13.22	12.0	12.0	11.55	0.0	3.03	97.36	98.04	98.73	135.24	113.56	67.12	87.03	69.03	71.5
FZD6	90.77	193.01	262.2	339.14	312.0	325.29	381.68	409.15	363.56	141.02	67.12	318.57	249.73	312.0	242.88	255.0	293.07	334.46	255.0	307.69	16.39	21.16	660.68	563.18	728.11	466.88	872.1	571.05	633.73	629.35	808.0
GNPDA2	182.55	195.72	258.57	273.37	242.88	301.33	314.17	332.14	318.57	89.51	80.01	256.78	223.41	241.19	202.66	212.78	251.48	253.23	211.31	202.66	17.38	74.58	395.18	406.31	463.65	454.09	490.14	389.72	470.14	334.46	363.56
GPATCH8	112.77	146.03	217.27	279.14	204.07	249.73	353.59	214.27	293.07	147.06	57.89	299.25	181.28	201.25	239.52	202.66	241.19	228.13	234.57	217.27	51.71	40.36	629.35	444.72	497.0	599.49	536.45	463.65	567.1	503.95	403.5
GPR75	3.86	4.62	9.7	13.93	7.06	11.82	12.27	11.13	12.64	0.52	1.13	11.55	7.51	13.83	8.85	8.71	14.78	18.97	9.63	8.78	10.55	2.73	17.38	32.36	39.5	61.25	102.97	49.91	37.85	82.29	45.85
GPX3	161367.56	84694.64	736332.6	434801.29	641014.63	417089.23	482442.34	561916.97	472513.8	57448.23	299043.36	453265.5	772940.66	358098.26	711250.37	668235.84	767601.56	524287.0	577714.63	696613.03	17078.76	320506.81	546551.29	499455.67	419990.32	405683.88	104996.83	305326.92	428815.23	513497.31	301123.38
GTF2H1	329.84	423.61	684.02	656.11	583.07	547.75	633.73	703.28	591.22	242.88	119.26	563.18	514.56	438.59	483.38	551.56	595.34	543.96	435.55	447.82	113.56	256.78	769.69	665.29	698.41	796.86	1104.13	713.11	878.17	708.18	708.18
HMG20A	299.25	341.51	366.09	559.28	387.02	483.38	486.75	406.31	518.15	185.11	144.01	400.71	346.29	334.46	271.48	297.17	409.15	403.5	336.79	373.81	226.54	262.2	595.34	490.14	507.46	521.76	733.19	563.18	463.65	507.46	547.75
HSF2	81.14	120.1	108.14	129.69	133.36	146.03	176.29	175.07	163.28	102.25	79.45	140.04	127.89	115.16	92.7	108.9	132.44	119.26	121.79	102.97	40.93	53.95	269.6	201.25	307.69	175.07	224.97	194.36	260.38	217.27	212.78
KANSL3	234.57	267.73	417.77	660.68	470.14	507.46	587.13	463.65	540.19	325.29	217.27	507.46	412.0	490.14	514.56	420.68	525.39	529.06	466.88	483.38	115.16	226.54	748.61	688.78	660.68	647.07	785.88	616.37	684.02	612.11	656.11
KIAA1468	110.43	102.97	217.27	271.48	255.0	262.2	403.5	208.38	314.17	49.21	72.52	256.78	248.0	198.47	253.23	248.0	291.04	224.97	220.32	258.57	84.63	144.01	507.46	351.14	376.41	381.68	403.5	395.18	447.82	454.09	351.14
KLHL28	46.18	47.84	100.83	100.83	92.05	84.63	105.89	89.51	115.97	28.65	24.28	93.35	63.45	67.12	67.12	76.17	105.15	116.78	85.22	75.64	22.43	37.59	137.14	161.02	129.69	159.9	167.9	129.69	120.1	121.79	108.9
LINS	121.79	70.51	134.3	173.85	120.1	205.5	177.53	171.45	202.66	72.01	67.12	193.01	140.04	155.5	91.41	115.16	115.16	173.85	120.94	115.97	51.71	81.14	309.83	291.04	332.14	371.22	483.38	320.8	223.41	269.6	409.15
LRIG2	42.71	45.85	77.25	108.9	73.03	90.77	120.94	97.36	107.38	31.67	33.54	80.01	67.12	55.49	69.03	59.13	88.88	105.15	69.52	70.51	13.22	42.41	209.84	187.71	244.57	159.9	214.27	209.84	201.25	122.64	140.04
LRP1B	1.03	0.83	6.01	15.22	7.0	16.03	19.68	5.92	14.45	0.0	0.0	14.67	12.93	14.78	10.55	10.96	25.72	13.32	13.83	13.72	3.66	0.0	392.44	34.26	1051.79	157.68	172.65	81.71	127.89	84.63	301.33
MED23	153.34	163.28	193.01	320.8	231.32	239.52	353.59	232.94	307.69	152.28	92.05	251.48	195.72	182.55	208.38	217.27	239.52	253.23	215.77	221.86	74.06	117.6	583.07	497.0	624.99	555.41	603.67	435.55	454.09	361.04	438.59
MTRNR2L4	0.0	0.42	0.0	3.47	0.41	0.0	1.53	1.58	3.53	0.49	0.0	0.74	0.0	0.0	0.73	0.0	2.66	1.81	0.4	1.58	0.0	0.0	8.78	10.47	3.0	9.2	15.56	18.7	1.99	7.34	2.68
NUDCD1	140.04	173.85	209.84	176.29	218.79	211.31	246.28	223.41	215.77	102.25	37.05	226.54	191.67	141.02	150.17	185.11	176.29	183.82	161.02	180.02	35.76	104.42	293.07	249.73	190.34	229.72	348.71	228.13	255.0	218.79	237.86
OTUD6B	49.56	43.32	103.69	108.14	100.13	114.36	132.44	139.07	131.51	39.5	16.63	99.43	97.36	65.72	74.06	101.54	97.36	92.7	75.64	90.77	17.51	61.68	244.57	156.59	162.14	202.66	264.03	157.68	146.03	144.01	172.65
PAN3	127.89	134.3	232.94	432.53	242.88	271.48	373.81	256.78	312.0	127.89	84.63	320.8	218.79	187.71	223.41	223.41	244.57	241.19	209.84	206.94	29.27	46.84	791.35	490.14	595.34	466.88	633.73	395.18	603.67	412.0	476.71
PAPD4	291.04	289.02	438.59	551.56	417.77	395.18	518.15	514.56	466.88	194.36	145.02	447.82	348.71	277.2	299.25	339.14	441.64	420.68	325.29	371.22	130.6	217.27	1277.29	688.78	1001.93	785.88	1015.93	748.61	1001.93	665.29	902.89
PAXBP1	77.25	115.97	150.17	253.23	155.5	164.42	348.71	202.66	228.13	102.97	17.38	169.07	147.06	94.01	141.02	143.01	176.29	256.78	128.79	123.5	39.22	186.4	808.0	529.06	642.59	432.53	559.28	392.44	854.13	490.14	429.54
PHF3	217.27	371.22	361.04	463.65	371.22	473.41	669.92	368.65	612.11	242.88	29.91	444.72	353.59	361.04	336.79	381.68	493.56	346.29	381.68	392.44	58.3	96.01	842.36	769.69	1059.11	693.58	708.18	660.68	872.1	633.73	679.29
PHIP	71.0	108.14	132.44	214.27	137.14	157.68	249.73	127.89	228.13	59.55	12.55	170.25	113.56	119.26	123.5	125.24	165.57	134.3	138.1	125.24	9.63	28.86	373.81	239.52	287.01	281.09	271.48	211.31	228.13	214.27	189.02
PHLPP2	31.0	22.75	74.58	86.43	74.06	76.17	101.54	53.95	88.88	24.63	38.95	84.04	72.52	55.89	106.63	71.0	79.45	63.0	75.11	88.26	17.25	46.18	156.59	158.79	231.32	201.25	177.53	151.22	154.42	237.86	120.1
PRKRIR	363.56	353.59	450.94	579.04	500.46	511.0	620.67	540.19	583.07	197.09	138.1	518.15	423.61	371.22	381.68	429.54	493.56	447.82	420.68	457.25	105.15	215.77	708.18	536.45	551.56	497.0	860.08	607.87	669.92	660.68	733.19
PRPF4B	287.01	211.31	444.72	595.34	507.46	563.18	723.08	466.88	665.29	237.86	59.97	518.15	441.64	353.59	409.15	444.72	518.15	460.44	381.68	414.87	85.22	356.05	1447.15	878.17	1044.52	1030.12	884.29	1023.0	1225.22	954.43	808.0
PUS10	45.21	58.3	107.38	106.63	90.77	105.15	133.36	151.22	101.54	46.84	21.63	105.89	104.42	63.45	92.05	81.71	109.66	102.97	80.57	90.14	62.12	73.03	299.25	149.12	215.77	171.45	237.86	224.97	134.3	165.57	195.72
R3HCC1L	73.03	93.35	119.26	141.02	109.66	151.22	167.9	127.89	170.25	38.12	39.79	128.79	132.44	110.43	133.36	120.94	154.42	140.04	108.14	115.97	36.01	108.9	246.28	223.41	190.34	237.86	229.72	224.97	223.41	195.72	209.84
RBM25	249.73	291.04	447.82	713.11	514.56	540.19	599.49	490.14	713.11	312.0	95.34	599.49	480.04	444.72	426.57	470.14	540.19	507.46	368.65	417.77	79.45	170.25	2032.85	1250.98	1605.83	1628.26	1745.2	1216.75	1923.14	1457.23	1225.22
RBM26	186.4	212.78	237.86	476.71	232.94	329.84	432.53	273.37	429.54	170.25	34.51	329.84	236.21	231.32	209.84	271.48	297.17	318.57	265.87	231.32	31.9	125.24	872.1	620.67	775.05	703.28	967.76	629.35	848.22	688.78	633.73
RP11-458D21.5	2.1	0.43	12.83	6.01	11.55	6.26	19.11	5.15	14.56	0.0	0.0	14.89	6.78	4.35	12.45	9.06	15.22	12.36	11.55	8.38	0.0	6.46	35.76	13.93	18.03	35.5	48.52	13.32	63.89	15.68	13.32
SENP6	373.81	483.38	651.58	1001.93	708.18	836.53	1044.52	669.92	902.89	314.17	53.19	753.83	688.78	571.05	607.87	633.73	764.36	733.19	599.49	633.73	83.45	348.71	2502.97	1216.75	1709.26	1242.34	1909.85	1378.57	1794.29	1388.16	1467.37
SENP7	38.4	97.36	138.1	206.94	153.34	157.68	214.27	183.82	211.31	60.39	13.03	173.85	134.3	100.13	122.64	112.77	164.42	180.02	102.97	105.15	15.91	51.71	567.1	293.07	351.14	536.45	426.57	291.04	457.25	332.14	314.17
SREK1	299.25	307.69	417.77	743.43	476.71	511.0	624.99	476.71	642.59	299.25	43.94	463.65	395.18	373.81	371.22	361.04	470.14	579.04	351.14	343.89	66.65	256.78	1487.87	1322.37	1605.83	1457.23	1685.71	1477.58	2255.7	1572.76	1397.83
TAF1	115.16	140.04	181.28	234.57	262.2	244.57	329.84	190.34	353.59	67.12	75.11	283.05	153.34	185.11	194.36	229.72	275.28	187.71	232.94	251.48	39.79	51.35	638.15	521.76	384.34	540.19	579.04	559.28	511.0	718.08	438.59
TAF1A	28.04	24.63	54.33	64.8	54.33	66.65	91.41	61.25	63.0	9.48	12.83	65.72	57.08	43.94	34.75	37.05	60.39	50.63	46.18	50.98	15.68	21.47	109.66	185.11	208.38	191.67	115.97	109.66	115.16	68.55	132.44
TRAF3IP1	175.07	172.65	191.67	265.87	260.38	242.88	234.57	187.71	336.79	183.82	87.65	258.57	202.66	194.36	232.94	293.07	229.72	193.01	214.27	234.57	57.89	93.35	366.09	366.09	395.18	314.17	384.34	376.41	379.04	466.88	500.46
TRMT13	56.68	64.34	102.97	175.07	127.0	138.1	175.07	142.01	155.5	53.19	15.0	130.6	106.63	83.45	94.67	90.14	127.0	153.34	81.71	93.35	11.55	53.57	400.71	273.37	260.38	381.68	426.57	287.01	260.38	258.57	303.44
UHRF2	141.02	163.28	212.78	334.46	237.86	269.6	325.29	279.14	351.14	96.01	170.25	277.2	224.97	189.02	194.36	202.66	265.87	264.03	183.82	187.71	82.87	115.16	753.83	571.05	583.07	599.49	769.69	525.39	775.05	466.88	476.71
USPL1	112.77	111.21	144.01	178.77	127.89	151.22	191.67	190.34	185.11	94.67	26.47	128.79	108.14	103.69	92.05	134.3	129.69	153.34	131.51	110.43	43.94	100.83	420.68	256.78	341.51	361.04	414.87	214.27	341.51	251.48	346.29
VPS54	260.38	297.17	312.0	460.44	384.34	423.61	536.45	356.05	450.94	224.97	120.1	417.77	379.04	275.28	348.71	403.5	441.64	325.29	339.14	400.71	80.57	229.72	698.41	514.56	656.11	429.54	514.56	420.68	674.59	392.44	571.05
WDR33	463.65	332.14	473.41	450.94	414.87	466.88	656.11	409.15	536.45	265.87	246.28	379.04	450.94	368.65	426.57	400.71	511.0	417.77	356.05	447.82	275.28	236.21	890.44	656.11	674.59	693.58	785.88	607.87	612.11	567.1	629.35
YAF2	218.79	228.13	343.89	403.5	295.11	309.83	281.09	381.68	314.17	150.17	70.01	314.17	312.0	189.02	323.03	265.87	307.69	289.02	224.97	264.03	69.03	212.78	486.75	395.18	813.63	414.87	909.17	665.29	866.07	703.28	775.05
ZBED5	356.05	329.84	409.15	638.15	409.15	525.39	656.11	587.13	674.59	191.67	117.6	476.71	346.29	400.71	376.41	389.72	503.95	507.46	463.65	417.77	37.85	208.38	1268.46	1001.93	1135.2	1151.06	1242.34	974.5	1277.29	1111.82	1023.0
ZDHHC17	120.94	137.14	201.25	297.17	221.86	209.84	267.73	242.88	301.33	98.04	34.26	229.72	152.28	135.24	152.28	165.57	201.25	220.32	181.28	153.34	34.02	70.01	660.68	426.57	514.56	529.06	525.39	423.61	438.59	373.81	318.57
ZMYM4	133.36	256.78	249.73	403.5	316.37	381.68	414.87	327.56	387.02	81.14	53.19	336.79	258.57	295.11	309.83	271.48	332.14	320.8	309.83	314.17	49.91	90.14	571.05	435.55	540.19	392.44	571.05	457.25	738.29	536.45	480.04
ZMYM6	88.26	97.36	148.09	228.13	165.57	199.85	212.78	208.38	218.79	75.11	38.4	173.85	151.22	142.01	138.1	148.09	199.85	194.36	121.79	155.5	30.56	64.34	251.48	248.0	301.33	366.09	423.61	260.38	275.28	229.72	301.33
ZNF10	67.59	45.53	121.79	237.86	145.02	137.14	199.85	141.02	171.45	20.71	21.16	114.36	120.94	122.64	113.56	112.77	164.42	187.71	109.66	120.94	16.27	35.25	616.37	384.34	409.15	607.87	743.43	432.53	480.04	426.57	470.14
ZNF181	164.42	185.11	218.79	248.0	217.27	297.17	285.03	214.27	323.03	65.26	13.03	236.21	167.9	208.38	153.34	178.77	332.14	297.17	206.94	237.86	45.53	96.01	323.03	368.65	299.25	420.68	323.03	389.72	334.46	356.05	454.09
ZNF451	119.26	148.09	185.11	336.79	244.57	249.73	332.14	301.33	301.33	76.17	37.59	267.73	189.02	155.5	165.57	191.67	237.86	256.78	234.57	199.85	60.39	92.7	748.61	490.14	571.05	387.02	457.25	353.59	579.04	447.82	420.68
ZNF484	29.27	37.32	44.25	62.56	46.5	46.84	57.08	64.8	62.12	20.41	6.62	40.07	34.75	42.41	31.9	40.07	51.35	49.56	37.32	42.41	2.07	23.42	86.43	82.29	81.14	78.34	132.44	65.72	48.87	37.85	62.56
ZNF793	30.56	17.9	54.72	98.04	66.65	79.45	90.77	74.06	98.73	2.58	9.7	63.89	48.52	47.17	51.35	51.71	64.34	84.04	55.1	50.63	0.89	5.36	229.72	144.01	181.28	237.86	283.05	177.53	154.42	128.79	136.19
ZSCAN12	17.25	27.05	41.22	51.35	34.26	54.33	63.45	71.0	63.45	7.51	10.24	52.82	34.75	36.79	29.7	27.84	49.56	45.85	36.01	42.71	6.57	22.1	90.14	137.14	116.78	145.02	131.51	125.24	102.97	121.79	132.44
ZSCAN32	143.01	120.94	165.57	208.38	220.32	204.07	204.07	205.5	232.94	128.79	129.69	226.54	185.11	149.12	170.25	171.45	221.86	218.79	175.07	195.72	72.01	128.79	307.69	251.48	239.52	363.56	371.22	381.68	239.52	265.87	299.25
