	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.K4.A54R.11A.11R.A26T.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.HD.7832.01A.11R.2132.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	GTEX.11WQK.2926.SM.5EQKT
BUB1B	412.0	7.0	206.94	318.57	318.57	305.55	444.72	87.03	82.87	127.89	480.04	117.6	511.0	142.01	403.5	107.38	108.14	27.25	133.36	55.49	138.1	199.85	140.04	212.78	376.41	87.03	143.01	209.84	172.65	194.36	44.57	256.78	101.54	47.5	6.62	4.43	22.43
C11orf82	153.34	37.59	121.79	123.5	177.53	264.03	108.9	41.22	47.17	126.12	165.57	127.0	100.13	55.1	209.84	41.52	88.88	18.84	60.39	24.63	85.22	75.11	44.57	75.64	271.48	68.07	87.65	109.66	85.82	126.12	32.82	82.29	108.9	72.52	6.11	2.27	11.47
C17orf53	239.52	18.56	90.14	241.19	341.51	197.09	291.04	14.24	50.63	59.55	202.66	35.0	105.15	39.22	152.28	94.01	53.95	10.0	89.51	30.34	42.41	80.01	36.53	131.51	251.48	77.25	69.03	65.26	90.77	111.99	41.81	161.02	45.53	55.89	5.68	4.17	13.83
C1orf112	366.09	43.32	69.52	236.21	242.88	226.54	438.59	82.87	100.13	111.99	221.86	74.58	93.35	75.64	186.4	84.04	90.14	31.22	119.26	42.11	74.58	113.56	78.34	95.34	332.14	74.58	99.43	128.79	75.11	92.7	42.71	139.07	63.45	57.08	30.34	42.41	14.03
CASC5	117.6	3.14	59.97	170.25	170.25	106.63	189.02	30.12	43.32	77.25	218.79	47.17	143.01	45.53	159.9	57.49	43.94	20.26	93.35	21.94	36.53	87.65	48.18	78.34	221.86	47.5	70.01	75.64	67.59	114.36	22.43	118.43	61.68	18.29	36.79	31.0	42.41
CDC25A	202.66	14.24	159.9	190.34	157.68	92.05	189.02	13.93	49.56	58.71	148.09	80.57	108.9	29.48	124.37	78.34	41.52	22.43	90.14	20.56	31.45	93.35	38.4	120.1	180.02	40.64	94.67	139.07	72.52	72.52	32.82	164.42	64.34	56.68	2.25	4.39	82.29
CDC25C	384.34	2.07	94.01	201.25	183.82	180.02	195.72	68.07	33.78	36.53	132.44	48.52	111.21	40.93	100.13	36.01	54.72	11.82	78.34	26.67	37.59	88.26	22.59	76.71	500.46	22.75	48.52	72.52	62.56	102.25	17.9	98.04	41.52	8.58	0.0	0.45	15.91
CDC6	813.63	70.01	265.87	497.0	579.04	860.08	620.67	155.5	149.12	221.86	679.29	190.34	351.14	180.02	426.57	164.42	312.0	48.87	256.78	104.42	180.02	249.73	163.28	376.41	791.35	104.42	191.67	403.5	389.72	432.53	80.57	303.44	175.07	106.63	3.96	16.75	57.89
CDCA2	169.07	8.0	132.44	145.02	120.94	152.28	289.02	34.75	84.63	185.11	127.0	75.64	107.38	54.72	295.11	126.12	67.59	21.01	158.79	27.05	94.67	182.55	38.67	92.05	353.59	84.63	173.85	199.85	110.43	206.94	46.18	198.47	72.52	45.53	0.55	0.48	13.03
CDK1	1857.6	12.93	1369.04	1397.83	1208.34	1359.57	1030.12	447.82	348.71	555.41	1233.75	503.95	878.17	281.09	860.08	384.34	497.0	120.1	748.61	206.94	312.0	753.83	406.31	693.58	1233.75	295.11	620.67	547.75	633.73	599.49	260.38	866.07	460.44	269.6	2.76	6.31	76.71
CDT1	928.3	4.9	1030.12	493.56	1073.91	595.34	860.08	93.35	137.14	154.42	559.28	100.83	269.6	190.34	486.75	177.53	223.41	40.36	332.14	167.9	155.5	325.29	94.67	435.55	967.76	84.04	218.79	307.69	215.77	293.07	133.36	361.04	148.09	108.14	5.5	3.0	49.21
CENPE	223.41	2.84	82.29	90.77	62.12	96.68	138.1	14.89	26.67	79.45	211.31	78.34	145.02	40.64	108.14	40.93	77.79	16.15	60.39	20.71	26.86	88.26	50.27	109.66	150.17	63.0	75.11	73.03	57.08	133.36	21.94	101.54	35.25	19.11	0.57	1.45	30.78
CENPF	1030.12	1.79	435.55	775.05	647.07	587.13	713.11	101.54	234.57	309.83	595.34	293.07	921.88	202.66	796.86	450.94	260.38	47.5	320.8	177.53	239.52	356.05	215.77	693.58	723.08	197.09	277.2	318.57	237.86	563.18	159.9	532.74	220.32	79.45	3.03	4.94	38.12
CENPI	144.01	0.39	102.97	111.99	85.22	171.45	181.28	36.01	37.32	60.82	111.99	39.22	102.25	43.02	135.24	27.05	62.56	8.78	33.54	12.93	51.71	66.18	34.51	61.25	145.02	29.27	41.52	65.26	84.63	65.72	23.08	72.52	31.0	16.63	1.11	0.54	6.26
CENPJ	109.66	41.81	48.18	198.47	94.01	110.43	99.43	23.59	16.63	53.19	87.65	57.08	84.04	27.44	58.71	48.52	36.53	20.86	121.79	52.82	40.07	105.89	29.48	58.3	153.34	42.41	96.01	77.25	44.25	65.26	27.64	69.52	39.79	36.27	10.55	8.85	8.65
CENPN	1191.69	163.28	728.11	493.56	848.22	1447.15	1757.34	212.78	241.19	334.46	1369.04	432.53	647.07	281.09	785.88	327.56	599.49	77.25	348.71	198.47	255.0	603.67	224.97	738.29	1111.82	145.02	206.94	406.31	583.07	483.38	181.28	547.75	283.05	255.0	145.02	68.07	346.29
CENPO	309.83	32.82	119.26	466.88	293.07	392.44	559.28	101.54	115.97	167.9	376.41	167.9	312.0	137.14	327.56	113.56	105.15	69.03	120.94	105.89	142.01	171.45	162.14	246.28	551.56	90.14	143.01	218.79	217.27	224.97	100.83	204.07	162.14	105.89	21.01	36.01	55.49
CEP152	54.33	8.45	49.56	56.68	92.05	43.02	98.73	24.99	13.62	49.21	70.01	29.7	59.13	18.84	48.52	23.42	26.86	16.88	39.79	31.22	25.17	33.3	24.46	29.27	85.82	20.11	33.06	37.59	29.7	49.91	15.34	35.5	18.56	20.11	2.36	2.73	14.89
CHAF1A	780.44	157.68	813.63	921.88	743.43	723.08	435.55	82.87	214.27	323.03	679.29	223.41	198.47	152.28	457.25	255.0	173.85	161.02	361.04	143.01	190.34	450.94	195.72	529.06	941.27	220.32	287.01	318.57	244.57	463.65	217.27	299.25	307.69	166.73	23.42	32.13	63.0
CIT	309.83	11.91	111.21	180.02	218.79	149.12	153.34	31.0	82.29	130.6	190.34	59.97	189.02	81.71	166.73	108.14	72.01	27.84	83.45	69.52	73.03	146.03	51.71	124.37	403.5	56.68	74.58	118.43	131.51	181.28	44.89	116.78	34.02	39.22	32.36	2.1	81.71
CKAP2L	198.47	2.81	129.69	150.17	206.94	307.69	271.48	61.68	96.01	73.54	297.17	126.12	226.54	123.5	470.14	85.82	120.94	22.43	145.02	26.86	132.44	152.28	99.43	128.79	540.19	53.19	92.7	260.38	112.77	289.02	63.45	248.0	116.78	56.28	0.52	0.0	15.11
CLSPN	305.55	0.72	130.6	176.29	181.28	140.04	198.47	21.78	57.89	72.52	258.57	71.0	121.79	46.18	205.5	78.34	76.17	34.51	81.14	14.78	52.08	80.57	38.4	163.28	551.56	33.78	60.39	166.73	115.16	127.0	30.12	108.9	45.21	34.75	0.0	0.54	5.28
DEK	3124.78	836.53	1628.26	2591.27	1844.76	2758.13	3190.46	995.0	1059.11	1369.04	2758.13	954.43	1059.11	1001.93	2224.63	1081.39	1225.22	518.15	1369.04	483.38	1030.12	1508.65	1051.79	1977.24	3018.3	780.44	1088.92	1909.85	2032.85	1540.37	780.44	1617.0	1023.0	808.0	473.41	575.03	1378.57
DIAPH3	100.13	3.14	80.57	101.54	58.3	215.77	206.94	57.89	58.71	35.0	120.1	47.5	80.01	59.55	297.17	55.49	31.22	13.12	128.79	25.54	36.27	87.03	57.49	90.14	316.37	42.11	57.08	82.29	38.95	92.05	36.53	100.83	37.05	33.3	0.0	0.0	7.75
DNMT1	1963.57	507.46	866.07	1233.75	2193.99	2032.85	1963.57	406.31	796.86	1096.5	1832.01	884.29	791.35	665.29	1651.0	769.69	665.29	540.19	947.83	738.29	830.75	1216.75	599.49	1359.57	2319.15	753.83	941.27	1369.04	896.64	1277.29	551.56	1073.91	921.88	567.1	193.01	281.09	1081.39
DTL	256.78	4.54	305.55	532.74	206.94	208.38	376.41	49.91	71.0	66.18	209.84	105.89	149.12	71.5	180.02	135.24	81.71	27.64	122.64	38.67	82.29	158.79	90.14	214.27	583.07	41.22	86.43	175.07	79.45	142.01	57.08	130.6	80.57	49.21	3.99	4.46	26.47
E2F7	141.02	8.0	228.13	134.3	54.72	100.13	164.42	12.74	30.78	58.3	88.26	54.72	65.72	36.79	112.77	46.84	39.22	12.55	47.84	19.82	66.18	55.89	24.28	47.84	218.79	20.11	61.68	57.49	74.58	82.29	28.86	74.06	27.25	15.68	0.64	1.06	5.32
E2F8	69.52	16.39	258.57	201.25	128.79	34.75	156.59	17.51	42.71	56.68	129.69	17.77	49.21	38.95	111.21	46.84	40.36	25.17	29.7	18.7	30.56	63.0	37.59	43.63	107.38	55.49	52.82	78.89	65.26	106.63	20.11	75.64	57.08	43.63	0.0	0.55	29.7
ERCC6L	120.94	1.77	21.63	29.06	64.34	111.21	90.14	23.93	30.78	52.45	92.7	43.63	71.0	31.45	112.77	33.3	34.26	7.63	43.94	13.22	34.02	48.18	31.67	55.1	71.0	19.25	45.85	50.63	57.08	59.55	15.45	55.89	30.34	15.91	0.0	0.0	15.11
ESCO2	61.25	3.86	99.43	113.56	58.3	80.01	169.07	31.0	29.48	115.16	100.83	27.44	36.27	31.22	153.34	64.8	80.01	18.03	67.12	15.91	54.72	70.51	35.25	66.18	242.88	25.72	82.87	106.63	98.04	79.45	21.32	62.56	26.28	23.59	4.1	1.36	10.31
EXO1	260.38	2.46	135.24	285.03	220.32	297.17	376.41	73.54	59.97	106.63	262.2	105.89	175.07	55.1	231.32	72.01	96.01	18.84	103.69	26.47	64.8	123.5	42.71	167.9	447.82	53.19	108.14	152.28	87.65	129.69	49.21	128.79	105.89	47.17	4.21	0.46	14.56
FANCD2	507.46	83.45	309.83	514.56	796.86	409.15	718.08	80.01	155.5	152.28	529.06	162.14	248.0	154.42	293.07	191.67	108.14	63.0	172.65	108.14	157.68	232.94	81.14	187.71	221.86	161.02	152.28	248.0	189.02	115.97	78.89	183.82	141.02	80.01	8.92	14.45	27.44
FANCI	454.09	45.53	988.12	674.59	660.68	808.0	1896.65	193.01	253.23	303.44	878.17	224.97	403.5	281.09	738.29	275.28	256.78	88.88	356.05	130.6	231.32	426.57	228.13	536.45	1096.5	173.85	241.19	348.71	511.0	647.07	134.3	500.46	223.41	138.1	11.13	21.94	128.79
GEN1	125.24	48.87	98.04	231.32	144.01	92.7	158.79	46.84	37.05	106.63	199.85	74.06	107.38	40.64	98.04	52.08	73.54	44.89	53.95	65.72	84.63	71.5	78.89	66.65	191.67	55.1	82.29	104.42	79.45	87.03	19.39	96.01	60.82	28.86	27.64	50.27	17.77
GINS2	457.25	20.56	318.57	708.18	441.64	1008.9	836.53	84.04	106.63	120.1	423.61	107.38	376.41	80.57	356.05	112.77	237.86	39.79	132.44	118.43	105.15	187.71	115.16	244.57	532.74	45.21	130.6	205.5	161.02	215.77	66.65	212.78	128.79	74.58	20.11	3.89	25.35
GSG2	101.54	16.63	48.18	66.65	44.25	75.64	96.68	15.0	26.86	61.68	91.41	25.17	79.45	25.17	138.1	41.52	28.24	15.45	54.72	7.88	31.22	63.0	38.67	81.14	172.65	17.77	35.25	72.52	37.59	57.49	19.11	88.26	32.82	19.68	0.0	0.0	5.5
GTSE1	303.44	2.81	206.94	208.38	218.79	241.19	343.89	40.07	47.84	106.63	285.03	99.43	256.78	134.3	121.79	88.88	100.13	24.99	59.55	46.5	81.14	145.02	70.01	113.56	334.46	42.71	132.44	175.07	194.36	157.68	31.67	153.34	90.14	24.81	0.8	4.9	34.75
HMMR	395.18	4.9	221.86	262.2	460.44	346.29	551.56	68.07	50.63	128.79	361.04	131.51	348.71	132.44	260.38	76.17	193.01	27.64	271.48	55.1	109.66	299.25	40.07	153.34	890.44	88.88	148.09	190.34	275.28	218.79	40.07	332.14	113.56	22.43	3.0	7.63	23.08
KIF11	438.59	3.89	647.07	371.22	307.69	279.14	358.54	130.6	141.02	193.01	587.13	177.53	384.34	146.03	420.68	229.72	136.19	63.0	237.86	71.0	147.06	239.52	115.97	242.88	563.18	163.28	187.71	316.37	232.94	283.05	108.14	295.11	190.34	102.97	2.18	4.21	47.5
KIF14	575.03	1.06	85.22	95.34	76.17	50.63	111.21	31.9	16.75	36.53	88.88	36.79	60.39	35.0	181.28	34.02	49.21	8.78	31.0	11.82	25.54	39.22	40.07	55.89	114.36	27.05	34.51	59.97	37.59	70.51	15.56	66.18	21.01	6.78	0.65	2.01	12.45
KIF15	197.09	3.89	297.17	351.14	158.79	231.32	246.28	14.45	38.4	91.41	119.26	58.71	119.26	36.79	84.63	37.85	47.17	16.88	98.04	24.81	44.25	94.01	30.78	73.54	85.22	57.08	72.52	83.45	68.07	82.87	18.84	98.73	75.64	31.22	1.14	2.89	12.0
KIF18B	403.5	1.75	172.65	224.97	273.37	297.17	277.2	18.7	39.22	121.79	420.68	69.03	289.02	55.89	208.38	75.64	115.16	35.0	59.97	31.22	62.56	118.43	71.5	316.37	325.29	37.05	106.63	131.51	170.25	186.4	34.51	185.11	80.57	26.47	0.73	0.0	13.52
KIF20A	1030.12	1.41	307.69	309.83	420.68	872.1	802.41	172.65	145.02	228.13	559.28	291.04	728.11	189.02	703.28	209.84	158.79	51.35	327.56	117.6	260.38	373.81	80.57	325.29	961.07	122.64	218.79	486.75	279.14	486.75	90.77	463.65	206.94	67.12	0.46	0.41	43.02
KIF23	579.04	19.25	287.01	473.41	447.82	559.28	961.07	164.42	116.78	237.86	941.27	273.37	780.44	211.31	808.0	201.25	260.38	57.89	273.37	87.03	177.53	265.87	241.19	389.72	674.59	161.02	269.6	314.17	332.14	500.46	105.89	507.46	182.55	96.01	0.65	2.56	64.34
KIF2C	961.07	15.45	406.31	1044.52	848.22	1477.58	567.1	172.65	127.89	275.28	785.88	237.86	708.18	167.9	703.28	189.02	283.05	55.49	211.31	96.68	204.07	647.07	185.11	688.78	1023.0	158.79	231.32	466.88	371.22	444.72	108.9	493.56	217.27	96.68	4.1	1.73	30.34
KIF4A	457.25	9.78	231.32	212.78	279.14	490.14	351.14	53.95	92.7	120.1	379.04	119.26	305.55	108.14	348.71	88.26	118.43	17.0	105.15	33.06	90.14	193.01	87.65	199.85	493.56	68.55	96.01	167.9	173.85	232.94	50.98	209.84	80.01	44.25	3.35	4.28	19.11
KIFC1	769.69	53.95	616.37	753.83	808.0	1277.29	941.27	146.03	187.71	281.09	679.29	256.78	988.12	199.85	607.87	251.48	258.57	57.49	291.04	111.99	293.07	457.25	218.79	567.1	1216.75	141.02	320.8	599.49	514.56	500.46	125.24	607.87	332.14	100.83	3.56	2.73	73.54
KRT17	381149.17	83528.61	4953441.24	365622.68	462789.59	408505.64	341137.96	475800.4	971597.0	542775.98	331809.5	485798.0	589853.66	462789.59	428815.23	431797.89	716197.51	701458.36	593956.43	428815.23	524287.0	524287.0	440870.9	542775.98	218912.29	565825.41	645473.24	447025.24	546551.29	632189.57	912837.43	546551.29	506427.83	378516.38	2.48	2.71	472513.8
LIG1	981.29	483.38	825.0	1295.13	1250.98	1721.16	1870.53	229.72	447.82	587.13	961.07	336.79	633.73	316.37	825.0	381.68	309.83	325.29	514.56	830.75	473.41	567.1	450.94	647.07	1388.16	318.57	490.14	660.68	397.93	563.18	283.05	1023.0	486.75	381.68	155.5	199.85	55.49
LMNB1	2018.8	120.94	1529.73	1498.22	1001.93	1104.13	1277.29	255.0	314.17	432.53	1183.45	381.68	819.3	406.31	638.15	490.14	253.23	122.64	555.41	204.07	389.72	764.36	229.72	674.59	2018.8	244.57	470.14	1001.93	624.99	669.92	221.86	780.44	480.04	366.09	186.4	262.2	295.11
MASTL	329.84	100.13	363.56	265.87	346.29	140.04	277.2	48.52	102.25	164.42	348.71	156.59	244.57	108.14	275.28	169.07	167.9	117.6	215.77	66.18	109.66	249.73	138.1	206.94	684.02	136.19	209.84	279.14	204.07	149.12	104.42	187.71	127.89	93.35	56.28	55.49	69.52
MCM10	221.86	5.23	84.04	185.11	186.4	64.34	195.72	27.84	79.45	79.45	256.78	81.14	119.26	49.91	217.27	62.12	57.08	19.11	58.71	19.68	60.39	86.43	42.11	112.77	327.56	34.26	90.77	133.36	95.34	109.66	55.1	90.77	49.91	42.71	1.08	3.76	16.15
MCM2	2485.67	37.59	1697.45	2319.15	1794.29	1721.16	2739.08	237.86	336.79	412.0	1477.58	392.44	642.59	444.72	915.51	358.54	607.87	107.38	389.72	177.53	384.34	612.11	242.88	1457.23	2976.74	221.86	429.54	638.15	988.12	813.63	229.72	603.67	392.44	277.2	22.43	13.83	52.82
MCM6	1551.09	94.67	947.83	1208.34	1143.1	1159.07	1059.11	251.48	309.83	289.02	902.89	305.55	441.64	307.69	785.88	327.56	303.44	102.25	356.05	229.72	384.34	483.38	255.0	486.75	974.5	214.27	379.04	743.43	417.77	450.94	190.34	435.55	366.09	299.25	47.84	56.68	163.28
MCM7	2384.37	473.41	1745.2	3325.99	2133.97	3768.09	4210.15	743.43	1216.75	1551.09	3190.46	1540.37	2209.26	1191.69	2875.3	1081.39	1447.15	624.99	1963.57	1529.73	1721.16	4972.34	995.0	2537.92	3955.48	866.07	1331.57	2004.85	1551.09	3124.78	954.43	1857.6	1487.87	1073.91	329.84	346.29	325.29
MCM8	159.9	44.57	100.13	295.11	92.05	176.29	497.0	28.24	43.32	91.41	201.25	70.51	89.51	51.35	137.14	58.71	142.01	28.24	72.52	41.22	51.71	81.14	51.71	91.41	234.57	57.89	59.97	94.67	173.85	60.39	31.0	80.01	43.63	52.08	13.52	11.21	43.94
MKI67	796.86	4.54	339.14	555.41	684.02	376.41	587.13	87.03	287.01	309.83	1096.5	387.02	642.59	327.56	1051.79	389.72	253.23	86.43	540.19	96.01	256.78	521.76	218.79	587.13	1551.09	265.87	384.34	642.59	616.37	830.75	185.11	718.08	291.04	75.64	4.58	0.91	49.56
MYBL2	2133.97	4.9	397.93	1295.13	551.56	1583.71	4123.49	285.03	547.75	432.53	1794.29	379.04	884.29	438.59	1477.58	463.65	842.36	121.79	414.87	108.9	336.79	819.3	392.44	1378.57	1832.01	363.56	438.59	579.04	974.5	665.29	361.04	579.04	476.71	231.32	5.32	2.92	25.54
NCAPG	543.96	9.78	185.11	287.01	397.93	470.14	381.68	84.04	113.56	193.01	281.09	175.07	426.57	106.63	536.45	138.1	129.69	30.56	309.83	36.79	141.02	255.0	140.04	441.64	713.11	87.65	223.41	312.0	190.34	114.36	70.01	327.56	158.79	51.71	1.69	1.51	35.0
NCAPG2	457.25	73.54	547.75	842.36	293.07	392.44	775.05	157.68	226.54	249.73	447.82	171.45	356.05	189.02	420.68	215.77	289.02	86.43	384.34	129.69	267.73	215.77	173.85	332.14	591.22	199.85	223.41	215.77	269.6	223.41	129.69	312.0	173.85	111.99	31.9	32.13	69.52
NCAPH	559.28	10.47	258.57	384.34	532.74	595.34	759.08	112.77	159.9	231.32	733.19	177.53	447.82	189.02	575.03	201.25	249.73	64.34	194.36	59.55	171.45	224.97	183.82	432.53	656.11	138.1	232.94	291.04	353.59	291.04	79.45	373.81	164.42	92.7	4.46	3.11	34.75
NEIL3	73.03	0.71	141.02	94.67	64.34	97.36	77.79	62.12	11.64	39.22	81.71	42.71	67.12	15.68	102.25	56.28	44.25	5.82	25.72	9.48	31.9	73.54	15.11	72.52	148.09	15.22	24.46	78.34	35.5	68.07	10.63	68.55	33.78	14.89	1.08	0.53	0.0
NUF2	928.3	12.27	248.0	656.11	327.56	567.1	563.18	94.01	51.71	141.02	511.0	100.13	417.77	78.34	211.31	100.83	144.01	24.11	135.24	51.35	76.71	197.09	128.79	379.04	271.48	74.58	118.43	140.04	94.67	176.29	50.27	211.31	100.13	36.27	2.16	1.93	30.56
NUSAP1	1457.23	17.51	1498.22	1583.71	1322.37	954.43	1477.58	285.03	423.61	438.59	1151.06	532.74	1268.46	351.14	884.29	432.53	435.55	137.14	540.19	167.9	387.02	551.56	312.0	603.67	1487.87	277.2	435.55	791.35	587.13	1119.56	258.57	825.0	429.54	183.82	25.35	52.45	132.44
OIP5	246.28	3.17	183.82	316.37	392.44	312.0	381.68	90.77	60.39	96.68	220.32	110.43	260.38	54.72	277.2	77.25	126.12	19.97	98.73	33.06	69.52	135.24	71.0	180.02	265.87	42.11	81.71	155.5	126.12	177.53	31.9	178.77	96.68	56.68	5.87	1.03	20.56
ORC1	316.37	3.53	189.02	346.29	262.2	323.03	244.57	28.86	73.54	73.03	283.05	68.55	94.01	48.18	187.71	98.04	72.52	14.03	83.45	19.53	74.06	185.11	49.21	148.09	351.14	40.64	74.06	183.82	109.66	154.42	39.5	110.43	70.01	71.0	0.82	1.27	24.11
PBK	199.85	2.46	353.59	373.81	169.07	376.41	429.54	69.52	103.69	273.37	244.57	87.65	161.02	44.25	229.72	187.71	147.06	39.5	191.67	81.14	134.3	297.17	71.0	329.84	476.71	101.54	221.86	193.01	146.03	159.9	71.5	299.25	96.01	84.63	0.35	0.0	26.28
PLK4	273.37	9.85	170.25	271.48	139.07	325.29	356.05	60.82	80.57	112.77	269.6	91.41	265.87	136.19	366.09	78.34	102.25	23.42	151.22	32.36	86.43	220.32	120.1	212.78	373.81	81.71	127.89	133.36	102.97	241.19	63.89	253.23	119.26	46.84	3.14	0.95	9.63
