	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.CU.A0YR.01A.12R.A10U.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.DK.A6AV.01A.12R.A30C.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.GC.A3RD.01A.12R.A22U.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.E2.A1IK.01A.11R.A144.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.ZF2S.2026.SM.5E461	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y8E4.2126.SM.5RQHO
C5orf42	191.67	18.97	104.42	33.06	52.45	14.24	28.04	56.68	155.5	166.73	84.63	153.34	146.03	312.0	325.29	49.56	0.0	0.43	109.66
C9orf152	60.82	2.63	17.0	49.56	3.26	6.62	137.14	2.29	518.15	540.19	384.34	414.87	651.58	718.08	463.65	551.56	0.0	0.06	432.53
CACHD1	61.68	4.94	17.77	6.89	6.84	20.11	60.39	26.86	11.64	22.92	88.88	409.15	170.25	769.69	343.89	152.28	0.0	0.37	147.06
CANT1	2004.85	559.28	1159.07	1304.15	1088.92	860.08	579.04	780.44	2485.67	1023.0	2004.85	1015.93	1721.16	3874.05	2468.49	1286.18	1167.14	112.77	4543.8
CAPN2	2758.13	1030.12	819.3	603.67	674.59	1268.46	258.57	656.11	4607.24	3212.66	2573.36	2032.85	2777.33	1991.0	2271.4	1605.83	0.0	1.04	2004.85
CARF	51.71	27.84	18.56	28.45	32.36	15.68	28.45	34.51	95.34	124.37	63.45	135.24	154.42	269.6	170.25	131.51	0.0	0.13	189.02
CCDC132	305.55	121.79	134.3	226.54	139.07	105.15	193.01	237.86	395.18	409.15	211.31	450.94	463.65	624.99	769.69	309.83	0.0	0.0	381.68
CCDC159	1037.29	693.58	102.25	460.44	555.41	409.15	540.19	285.03	1199.98	1030.12	981.29	1037.29	1037.29	1561.89	2537.92	878.17	0.0	0.88	1832.01
CCNO	543.96	71.0	51.71	271.48	87.65	112.77	34.02	131.51	353.59	159.9	301.33	92.7	144.01	334.46	708.18	217.27	0.0	0.0	1015.93
CD109	111.99	53.19	45.21	4.86	8.13	32.36	7.94	29.06	126.12	638.15	34.02	194.36	99.43	215.77	26.86	59.13	0.0	0.6	29.06
CLDN12	316.37	161.02	223.41	285.03	211.31	167.9	486.75	307.69	830.75	703.28	629.35	738.29	866.07	915.51	1175.27	470.14	0.0	0.55	665.29
CMBL	571.05	107.38	82.87	30.56	429.54	40.07	122.64	111.21	2319.15	1909.85	1991.0	559.28	872.1	8247.98	1216.75	1583.71	579.04	162.14	521.76
CPA6	9.2	1.95	1.06	0.6	2.89	0.6	8.65	1.62	2.23	8.13	0.92	2.66	1.93	124.37	29.27	3.2	0.0	0.0	159.9
CTSO	417.77	190.34	281.09	81.14	273.37	136.19	271.48	251.48	830.75	698.41	521.76	890.44	921.88	1561.89	738.29	1119.56	0.0	0.36	423.61
ECM2	74.58	3.96	42.71	17.77	44.57	19.68	6.94	10.39	104.42	82.87	64.8	500.46	297.17	2573.36	651.58	176.29	0.0	0.0	120.1
EFCC1	71.5	21.63	35.25	20.11	54.33	29.7	23.42	9.7	149.12	110.43	194.36	165.57	180.02	248.0	33.06	25.91	0.0	0.17	45.53
ELL3	189.02	43.63	82.29	19.97	33.78	22.92	43.32	38.4	629.35	759.08	466.88	283.05	303.44	334.46	224.97	186.4	0.0	0.36	165.57
ENO4	6.67	0.66	4.17	2.97	0.0	0.91	2.1	2.27	19.25	21.01	27.44	22.75	15.0	40.64	22.59	5.63	0.0	0.22	9.2
FAM122A	151.22	62.56	87.65	80.01	80.57	74.58	113.56	138.1	285.03	248.0	195.72	371.22	379.04	444.72	420.68	346.29	0.0	0.22	232.94
FAM69A	169.07	43.02	74.06	29.7	85.22	88.88	44.89	36.01	82.29	87.03	363.56	260.38	237.86	397.93	248.0	441.64	0.0	0.23	221.86
FMO5	281.09	21.47	39.79	128.79	30.78	14.14	42.41	111.21	1023.0	688.78	265.87	1519.15	2537.92	3614.55	842.36	3146.52	0.0	0.0	98.73
GCNT2	82.29	2.32	33.54	7.17	9.7	9.63	57.89	7.51	195.72	17.25	103.69	921.88	1909.85	450.94	387.02	189.02	0.0	0.26	107.38
GPR146	84.63	59.97	32.13	58.71	43.63	28.04	17.51	23.76	61.25	27.44	99.43	329.84	125.24	283.05	214.27	521.76	0.0	0.05	198.47
HCFC2	85.82	35.5	71.5	32.13	73.03	45.85	65.26	73.03	147.06	143.01	101.54	190.34	150.17	204.07	214.27	97.36	0.0	0.43	172.65
HIST2H2BE	1628.26	173.85	164.42	116.78	389.72	301.33	150.17	397.93	4704.07	2417.67	3665.02	575.03	1159.07	287.01	1529.73	190.34	0.0	0.44	2573.36
IDI1	1628.26	651.58	728.11	961.07	587.13	397.93	595.34	483.38	1001.93	909.17	713.11	9673.69	13586.57	642.59	1001.93	796.86	0.0	0.16	884.29
INPP5J	211.31	3.0	15.11	9.34	79.45	18.43	40.36	116.78	332.14	323.03	351.14	329.84	246.28	674.59	1447.15	384.34	0.0	0.23	995.0
ITIH3	11.13	0.36	1.77	5.96	5.5	15.45	4.82	3.89	5.32	5.23	10.88	29.7	16.88	39.79	30.56	8.71	0.0	0.42	40.36
KIAA1161	287.01	139.07	88.26	17.25	95.34	22.26	30.78	45.85	400.71	353.59	162.14	143.01	133.36	176.29	80.01	90.77	27.25	53.19	61.25
KIAA1328	82.29	42.11	35.76	30.34	60.82	33.78	50.98	40.07	98.73	111.99	63.0	116.78	126.12	185.11	215.77	84.63	0.0	0.2	86.43
KIF16B	241.19	155.5	127.89	105.15	108.9	35.5	73.03	118.43	387.02	878.17	532.74	511.0	785.88	1745.2	921.88	974.5	0.0	0.32	713.11
MAGEE2	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	1.11	0.62	8.38	6.41	8.85	7.88	1.81	0.0	0.0	4.66
MAP3K3	226.54	65.72	124.37	123.5	140.04	190.34	104.42	151.22	239.52	209.84	221.86	583.07	376.41	521.76	500.46	318.57	218.79	334.46	414.87
MGARP	10.79	1.95	0.0	1.5	2.58	0.61	1.2	1.62	3.14	1.45	7.22	39.79	24.63	46.84	39.22	229.72	0.0	0.03	47.5
MYBL1	48.52	8.45	15.34	9.27	14.14	11.13	23.93	24.81	35.0	37.05	26.28	49.56	56.28	52.08	65.26	35.25	0.0	0.32	23.59
MYO1D	674.59	529.06	579.04	283.05	429.54	248.0	454.09	361.04	575.03	1111.82	525.39	738.29	796.86	759.08	318.57	312.0	0.0	0.77	429.54
NAT1	202.66	38.95	161.02	115.97	209.84	66.65	138.1	107.38	941.27	363.56	329.84	165.57	2047.0	127486.83	15075.35	13033.07	0.0	0.0	103.69
NEK1	117.6	42.41	56.68	29.7	31.67	30.78	40.36	65.72	109.66	110.43	99.43	165.57	186.4	269.6	194.36	112.77	0.0	0.27	119.26
NGFR	55.49	1.35	2.16	0.64	15.8	12.36	3.06	5.23	7.06	4.24	137.14	909.17	651.58	830.75	195.72	1757.34	0.0	0.52	406.31
NPNT	305.55	21.63	111.99	28.04	54.33	153.34	167.9	49.56	2148.82	3716.2	928.3	825.0	1104.13	3419.52	2148.82	400.71	878.17	629.35	463.65
NR3C2	68.55	1.66	2.48	0.92	5.15	2.14	11.04	3.92	27.84	20.56	18.43	175.07	156.59	191.67	490.14	119.26	0.0	0.23	103.69
NT5DC1	703.28	361.04	441.64	271.48	249.73	145.02	450.94	251.48	563.18	1295.13	974.5	764.36	1088.92	2209.26	1844.76	1407.55	738.29	146.03	1081.39
NYAP1	17.13	3.26	1.77	6.21	1.31	0.62	5.41	5.19	1.66	0.0	1.46	16.88	9.93	17.51	11.13	7.88	0.0	0.32	24.11
PHF7	162.14	91.41	84.04	81.71	59.97	53.95	90.14	94.67	289.02	264.03	201.25	183.82	187.71	521.76	226.54	314.17	0.0	0.15	189.02
PHKA1	159.9	22.43	120.1	56.28	130.6	59.97	74.06	112.77	158.79	220.32	103.69	136.19	205.5	236.21	246.28	108.9	0.0	0.39	157.68
PIP	82.29	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1100706.72	3968052.37	1171559.48	220434.95	305326.92	28525.2	425853.18	1212874.47	0.0	0.0	2825352.59
PLD4	44.57	18.29	5.92	2.68	13.32	14.56	36.53	3.56	116.78	25.17	283.05	103.69	68.07	297.17	299.25	106.63	0.0	0.0	144.01
PPP1R36	241.19	80.57	6.67	3.0	10.31	7.22	10.24	35.0	25.72	323.03	212.78	31.67	31.22	454.09	89.51	39.79	0.0	0.01	16.63
PPT1	1769.57	327.56	1540.37	547.75	1037.29	1662.49	1259.69	1936.53	4152.18	2627.46	2319.15	2061.24	2555.58	4543.8	3060.45	8022.41	0.0	0.42	1508.65
RAB24	775.05	595.34	239.52	599.49	738.29	429.54	603.67	412.0	723.08	540.19	607.87	1044.52	759.08	802.41	1143.1	796.86	0.0	0.57	1183.45
RGL1	153.34	18.03	81.71	27.05	69.03	49.91	94.67	46.5	102.25	176.29	90.77	406.31	244.57	836.53	307.69	183.82	0.0	0.56	224.97
RILPL2	629.35	73.54	189.02	84.04	253.23	368.65	460.44	260.38	490.14	264.03	547.75	620.67	518.15	629.35	660.68	2319.15	0.0	0.59	947.83
RXRG	6.57	0.0	0.36	0.0	2.23	0.89	0.0	0.0	0.55	1.08	0.92	7.57	8.0	12.64	20.11	12.36	0.0	0.0	45.53
SAR1B	1540.37	514.56	1051.79	1023.0	759.08	480.04	693.58	651.58	1733.13	1397.83	1519.15	1467.37	2451.44	995.0	921.88	1467.37	1135.2	120.94	1733.13
SEC14L1	796.86	180.02	612.11	366.09	540.19	447.82	256.78	273.37	536.45	638.15	435.55	1268.46	1088.92	698.41	1001.93	684.02	0.0	0.51	406.31
SETBP1	54.72	2.01	20.86	4.5	35.76	19.53	56.68	4.58	167.9	293.07	185.11	175.07	234.57	312.0	273.37	87.03	0.0	0.52	137.14
SIAH2	854.13	260.38	532.74	571.05	500.46	603.67	563.18	406.31	693.58	1304.15	638.15	620.67	1369.04	1331.57	1059.11	2956.17	0.0	0.88	571.05
SLC16A14	111.99	5.87	39.22	9.78	35.25	21.94	27.05	27.84	90.77	100.83	72.52	68.07	74.58	137.14	115.16	44.89	0.0	0.49	63.45
SLC22A5	287.01	161.02	117.6	202.66	221.86	104.42	151.22	177.53	490.14	460.44	271.48	348.71	371.22	607.87	780.44	392.44	0.0	0.4	928.3
SLC25A4	1044.52	121.79	432.53	273.37	409.15	457.25	297.17	376.41	688.78	753.83	780.44	647.07	813.63	371.22	457.25	1331.57	0.0	0.26	1191.69
SLC2A12	13.12	0.68	1.08	0.62	0.67	31.9	5.15	5.87	1.95	1.45	3.69	47.17	68.55	115.16	142.01	48.87	0.0	0.18	116.78
SLC31A1	693.58	211.31	587.13	379.04	194.36	237.86	181.28	327.56	412.0	470.14	356.05	738.29	830.75	1001.93	547.75	647.07	457.25	343.89	1242.34
SLC9A3R1	1639.59	713.11	1268.46	1467.37	791.35	2287.2	1111.82	981.29	10659.59	6337.83	6250.56	4512.4	8305.36	4010.71	6079.61	11584.24	0.0	1.0	5366.37
SNX25	289.02	79.45	92.05	68.55	31.22	99.43	88.26	76.17	279.14	220.32	224.97	303.44	295.11	297.17	356.05	275.28	0.0	0.0	253.23
SPOP	802.41	295.11	463.65	620.67	435.55	217.27	591.22	480.04	2240.11	988.12	1733.13	961.07	934.76	1369.04	1529.73	1008.9	769.69	264.03	1359.57
SSBP2	493.56	92.05	90.77	25.35	111.99	220.32	303.44	206.94	660.68	718.08	563.18	1030.12	915.51	1096.5	1745.2	830.75	0.0	0.68	647.07
STAU2	612.11	346.29	490.14	285.03	543.96	255.0	384.34	438.59	830.75	785.88	559.28	603.67	743.43	1081.39	1427.22	285.03	0.0	0.56	583.07
STEAP4	167.9	2.36	28.86	19.53	27.44	20.56	19.11	25.72	1819.35	166.73	1127.35	1073.91	825.0	507.46	204.07	420.68	0.0	0.17	571.05
STX19	29.7	0.0	2.46	0.0	0.67	0.92	0.0	10.63	8.0	9.2	9.7	161.02	164.42	85.22	158.79	52.45	0.0	0.04	49.91
TACR3	4.21	0.0	0.0	0.0	0.0	0.0	0.91	0.0	8.25	1.11	0.0	0.34	0.66	5.06	4.39	0.0	0.0	0.0	0.0
TDRD1	0.64	0.0	0.0	0.0	0.32	0.0	0.0	0.0	1.73	2.23	0.97	58.71	118.43	3.06	2.56	1.58	0.0	0.0	9.2
TLR5	111.21	6.57	12.93	14.89	24.99	22.75	28.65	45.53	547.75	193.01	115.16	262.2	236.21	493.56	555.41	218.79	0.0	0.09	205.5
TRIM3	197.09	103.69	58.3	92.05	155.5	68.07	114.36	101.54	454.09	320.8	265.87	447.82	373.81	802.41	1096.5	363.56	0.0	0.96	307.69
TRIM37	480.04	128.79	301.33	332.14	220.32	217.27	195.72	265.87	389.72	463.65	283.05	291.04	285.03	915.51	285.03	327.56	0.0	0.53	255.0
TXNDC16	135.24	9.85	48.87	21.47	35.25	35.25	52.08	61.68	164.42	131.51	122.64	255.0	180.02	463.65	348.71	185.11	0.0	0.24	417.77
UNC13B	392.44	226.54	127.89	206.94	130.6	42.11	68.07	127.0	414.87	1135.2	309.83	289.02	361.04	454.09	334.46	193.01	0.0	0.55	928.3
USP25	281.09	218.79	194.36	100.83	148.09	165.57	86.43	112.77	575.03	395.18	314.17	543.96	483.38	866.07	698.41	305.55	0.0	0.6	299.25
VSTM5	6.36	0.0	2.12	0.32	0.67	0.32	22.26	2.92	1.77	0.4	3.53	25.72	8.45	19.39	6.36	16.03	0.0	0.01	15.91
VTCN1	1540.37	43.63	8.13	122.64	11.04	45.85	2.78	47.17	5329.3	122.64	403.5	2193.99	2468.49	6745.86	5995.9	4239.45	0.0	0.0	229.72
VWA5A	603.67	23.59	69.03	24.63	47.17	22.1	267.73	141.02	476.71	665.29	366.09	1030.12	941.27	1295.13	1806.78	825.0	0.0	0.59	371.22
