	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.GC.A3BM.01A.11R.A22U.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.E7.A7DU.01A.11R.A32O.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13FTW.1126.SM.5J2NV	GTEX.YEC4.0826.SM.5P9FV	GTEX.ZF29.2026.SM.4WWB7	GTEX.1497J.0726.SM.5Q5D1	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.OOBK.0526.SM.2HMJJ	GTEX.Y5LM.0726.SM.4VBRP	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZT9X.0326.SM.51MTE	GTEX.SNOS.0426.SM.32PMH	GTEX.139YR.0926.SM.5LZYB	GTEX.QDVJ.0926.SM.2I5FU	GTEX.R55G.0826.SM.2TC5U	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.PWOO.0726.SM.2I3EB	GTEX.11TT1.1626.SM.5EQL7	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.W5X1.0426.SM.3GILB	GTEX.1399T.0126.SM.5KM15	GTEX.12584.0826.SM.5FQSK	GTEX.ZVT3.0726.SM.5GICN	GTEX.WHSB.1626.SM.3LK6J	GTEX.WYJK.1626.SM.3NM9J	GTEX.RU72.0126.SM.2TF6Z	GTEX.12ZZY.0826.SM.5EQMT	GTEX.117YW.0126.SM.5EGGN	GTEX.11DXZ.0926.SM.5N9CG	GTEX.Y8E4.0126.SM.4VBQ2	GTEX.13O1R.0826.SM.5J2MB	GTEX.11NUK.1026.SM.5HL5J	GTEX.13112.0326.SM.5P9IW	GTEX.UJMC.0326.SM.3GAE2
CMTR1	703.28	397.93	217.27	521.76	381.68	620.67	406.31	470.14	669.92	493.56	748.61	351.14	624.99	587.13	444.72	351.14	567.1	738.29	518.15	429.54	346.29	429.54	381.68	583.07	476.71	361.04	366.09	450.94	543.96	679.29	373.81	297.17	305.55	289.02	258.57	224.97	327.56	299.25	406.31	334.46	181.28	0.0	0.84	438.59	414.87	327.56	466.88	417.77	665.29	450.94	325.29	381.68	460.44	624.99	426.57	665.29	384.34	454.09	738.29	412.0	320.8	409.15	336.79	583.07	743.43	583.07	723.08	693.58	651.58	563.18	775.05	647.07	753.83	743.43	555.41	860.08	703.28	693.58	638.15
CRAMP1L	309.83	149.12	35.76	87.65	189.02	117.6	327.56	177.53	218.79	110.43	84.04	117.6	147.06	102.25	170.25	132.44	109.66	305.55	185.11	137.14	139.07	147.06	70.01	173.85	108.9	116.78	143.01	144.01	314.17	348.71	23.93	24.28	23.42	59.13	14.89	12.93	41.22	66.65	53.95	36.79	11.91	0.0	0.8	148.09	115.16	100.13	85.82	147.06	64.8	152.28	92.7	139.07	98.04	226.54	141.02	275.28	111.21	116.78	155.5	111.21	105.15	140.04	182.55	142.01	327.56	260.38	583.07	343.89	376.41	275.28	376.41	289.02	423.61	389.72	316.37	277.2	336.79	366.09	361.04
CWC25	368.65	231.32	158.79	287.01	371.22	307.69	325.29	587.13	165.57	279.14	312.0	264.03	351.14	242.88	327.56	253.23	368.65	571.05	353.59	429.54	403.5	291.04	194.36	316.37	260.38	371.22	229.72	293.07	429.54	351.14	147.06	236.21	246.28	136.19	121.79	129.69	191.67	246.28	187.71	289.02	113.56	0.0	0.78	361.04	253.23	336.79	258.57	435.55	246.28	366.09	249.73	293.07	186.4	532.74	540.19	660.68	316.37	273.37	299.25	316.37	239.52	323.03	490.14	334.46	376.41	384.34	567.1	591.22	457.25	444.72	503.95	387.02	361.04	379.04	441.64	540.19	381.68	483.38	368.65
DHX57	269.6	236.21	218.79	265.87	253.23	525.39	368.65	258.57	221.86	208.38	201.25	279.14	283.05	287.01	269.6	165.57	543.96	373.81	228.13	368.65	334.46	275.28	224.97	356.05	387.02	234.57	336.79	260.38	291.04	463.65	69.03	45.53	96.01	62.56	41.52	109.66	92.05	124.37	85.22	88.88	42.41	0.0	0.13	206.94	180.02	82.29	241.19	161.02	295.11	126.12	152.28	228.13	248.0	239.52	178.77	283.05	111.99	237.86	307.69	194.36	214.27	158.79	164.42	212.78	406.31	242.88	314.17	277.2	258.57	273.37	267.73	363.56	273.37	301.33	249.73	358.54	275.28	314.17	353.59
DMTF1	791.35	457.25	303.44	518.15	647.07	595.34	642.59	642.59	363.56	307.69	500.46	366.09	555.41	460.44	698.41	363.56	444.72	854.13	529.06	624.99	599.49	728.11	246.28	518.15	366.09	571.05	289.02	819.3	921.88	878.17	31.22	107.38	133.36	99.43	42.11	79.45	115.16	182.55	120.94	143.01	49.56	0.0	1.16	361.04	356.05	414.87	454.09	397.93	397.93	323.03	305.55	361.04	368.65	708.18	571.05	303.44	217.27	447.82	532.74	575.03	379.04	435.55	476.71	612.11	2855.44	2555.58	3018.3	1605.83	1529.73	1781.89	1950.0	1583.71	1991.0	2004.85	2047.0	1059.11	1757.34	2384.37	1870.53
DUS4L	93.35	157.68	201.25	164.42	191.67	202.66	303.44	167.9	136.19	170.25	199.85	102.97	150.17	175.07	173.85	98.73	130.6	239.52	183.82	237.86	265.87	122.64	111.99	132.44	152.28	142.01	127.89	172.65	146.03	229.72	42.71	53.95	55.49	64.8	72.52	82.87	71.0	75.64	116.78	67.59	53.95	0.0	0.28	78.89	117.6	70.01	142.01	58.71	127.89	93.35	103.69	78.34	106.63	63.45	108.9	47.5	73.03	56.28	71.5	96.68	115.97	96.01	41.81	152.28	373.81	162.14	356.05	167.9	157.68	148.09	198.47	211.31	264.03	232.94	223.41	127.0	176.29	171.45	218.79
DXO	463.65	258.57	283.05	348.71	417.77	819.3	291.04	473.41	309.83	264.03	371.22	373.81	432.53	271.48	583.07	246.28	429.54	497.0	397.93	373.81	269.6	429.54	212.78	432.53	441.64	283.05	287.01	423.61	473.41	426.57	223.41	361.04	279.14	224.97	137.14	163.28	283.05	260.38	182.55	277.2	256.78	0.0	1.01	454.09	265.87	309.83	217.27	237.86	232.94	450.94	204.07	244.57	133.36	329.84	325.29	194.36	343.89	172.65	301.33	215.77	258.57	307.69	373.81	239.52	483.38	723.08	603.67	866.07	612.11	571.05	599.49	450.94	656.11	647.07	665.29	759.08	674.59	624.99	543.96
FAM133B	341.51	351.14	463.65	490.14	426.57	450.94	400.71	414.87	242.88	381.68	305.55	325.29	403.5	248.0	457.25	432.53	316.37	575.03	444.72	348.71	599.49	409.15	208.38	303.44	379.04	400.71	356.05	351.14	403.5	507.46	43.63	206.94	206.94	211.31	186.4	151.22	170.25	241.19	215.77	124.37	81.71	0.0	0.58	241.19	287.01	265.87	301.33	260.38	289.02	309.83	351.14	264.03	283.05	158.79	460.44	490.14	275.28	417.77	161.02	314.17	414.87	303.44	348.71	470.14	575.03	607.87	642.59	656.11	400.71	665.29	607.87	638.15	708.18	563.18	647.07	447.82	532.74	684.02	638.15
FAM161A	26.67	59.55	21.32	14.14	34.75	40.07	27.64	27.84	22.1	48.87	59.13	9.93	8.71	31.0	23.76	38.12	52.45	45.53	29.7	18.7	34.26	30.34	24.63	13.42	29.48	11.21	43.02	10.0	228.13	281.09	3.99	11.3	11.38	9.13	16.75	24.11	13.22	1.31	15.11	9.41	21.01	0.0	0.09	29.7	33.3	24.81	52.08	25.54	37.32	33.78	19.25	35.76	48.18	9.78	19.39	35.5	23.93	28.04	20.11	18.16	29.7	33.78	42.71	26.67	176.29	171.45	145.02	146.03	116.78	163.28	132.44	152.28	147.06	149.12	163.28	47.84	139.07	154.42	186.4
FAM200A	108.14	68.55	96.68	145.02	134.3	97.36	218.79	186.4	79.45	92.05	111.21	120.94	101.54	73.03	167.9	102.97	110.43	178.77	127.89	150.17	178.77	162.14	55.49	105.15	106.63	136.19	74.58	144.01	152.28	279.14	12.64	32.13	44.89	39.22	16.51	36.53	24.63	20.71	16.63	48.87	34.02	0.0	0.0	67.59	88.26	99.43	121.79	43.32	91.41	101.54	75.64	84.04	108.9	60.82	95.34	108.14	92.05	46.5	66.65	105.15	118.43	111.21	93.35	136.19	197.09	171.45	134.3	82.87	181.28	202.66	130.6	149.12	84.63	164.42	262.2	100.83	164.42	159.9	181.28
FBXO11	518.15	435.55	559.28	563.18	518.15	460.44	679.29	435.55	497.0	529.06	470.14	363.56	514.56	647.07	457.25	356.05	665.29	507.46	493.56	988.12	529.06	591.22	273.37	698.41	669.92	376.41	563.18	395.18	551.56	780.44	119.26	301.33	239.52	255.0	221.86	241.19	215.77	303.44	295.11	249.73	153.34	0.0	0.73	493.56	551.56	551.56	567.1	511.0	368.65	444.72	514.56	412.0	514.56	665.29	579.04	728.11	497.0	518.15	414.87	406.31	466.88	529.06	567.1	587.13	1135.2	633.73	921.88	728.11	728.11	738.29	708.18	860.08	723.08	688.78	775.05	748.61	708.18	684.02	808.0
GATAD1	616.37	500.46	356.05	753.83	473.41	460.44	612.11	647.07	356.05	463.65	511.0	441.64	595.34	273.37	718.08	223.41	571.05	813.63	525.39	633.73	1127.35	395.18	209.84	529.06	420.68	665.29	395.18	521.76	860.08	915.51	152.28	204.07	187.71	178.77	108.14	228.13	141.02	173.85	155.5	246.28	239.52	483.38	915.51	273.37	392.44	358.54	429.54	277.2	251.48	358.54	267.73	228.13	305.55	507.46	406.31	172.65	387.02	309.83	285.03	327.56	363.56	351.14	323.03	457.25	1119.56	796.86	1519.15	1008.9	961.07	819.3	1088.92	1001.93	1167.14	1030.12	1081.39	575.03	860.08	988.12	1037.29
GGNBP2	830.75	665.29	780.44	1073.91	1088.92	780.44	633.73	1066.48	575.03	802.41	1073.91	890.44	830.75	638.15	1088.92	785.88	854.13	1216.75	1023.0	1066.48	842.36	974.5	738.29	460.44	928.3	884.29	842.36	693.58	1242.34	1015.93	253.23	738.29	429.54	540.19	406.31	312.0	514.56	466.88	624.99	638.15	363.56	684.02	791.35	684.02	802.41	836.53	902.89	624.99	743.43	728.11	748.61	802.41	819.3	819.3	1104.13	825.0	713.11	669.92	775.05	884.29	1044.52	872.1	848.22	1030.12	1225.22	921.88	1135.2	866.07	1059.11	1143.1	1001.93	1044.52	921.88	1001.93	1208.34	1183.45	1001.93	921.88	1216.75
GOPC	271.48	277.2	165.57	156.59	277.2	406.31	189.02	264.03	343.89	115.16	145.02	198.47	205.5	420.68	314.17	208.38	221.86	447.82	361.04	248.0	373.81	366.09	220.32	269.6	166.73	332.14	249.73	220.32	507.46	688.78	120.1	136.19	144.01	169.07	107.38	228.13	117.6	166.73	171.45	107.38	76.17	490.14	87.65	248.0	299.25	251.48	318.57	180.02	242.88	275.28	198.47	271.48	293.07	173.85	318.57	246.28	228.13	264.03	201.25	287.01	318.57	291.04	303.44	387.02	796.86	457.25	616.37	454.09	511.0	551.56	476.71	607.87	470.14	518.15	567.1	346.29	525.39	540.19	660.68
GORAB	358.54	162.14	64.8	123.5	181.28	325.29	220.32	167.9	258.57	94.67	128.79	126.12	177.53	107.38	147.06	90.77	217.27	149.12	183.82	151.22	159.9	249.73	90.77	536.45	178.77	159.9	162.14	108.14	295.11	460.44	25.35	71.0	103.69	67.59	48.52	115.97	153.34	49.21	91.41	50.27	22.75	0.0	0.54	146.03	163.28	110.43	154.42	237.86	183.82	162.14	127.0	125.24	157.68	229.72	217.27	199.85	117.6	140.04	164.42	157.68	170.25	242.88	177.53	262.2	444.72	204.07	172.65	198.47	307.69	234.57	220.32	256.78	285.03	339.14	279.14	285.03	172.65	218.79	400.71
HKR1	629.35	353.59	163.28	447.82	532.74	473.41	1151.06	708.18	638.15	414.87	384.34	438.59	603.67	435.55	620.67	327.56	447.82	703.28	579.04	679.29	633.73	587.13	256.78	808.0	473.41	518.15	397.93	688.78	1059.11	1417.35	105.15	121.79	193.01	175.07	45.85	57.49	118.43	140.04	94.67	195.72	132.44	0.0	0.88	237.86	414.87	205.5	339.14	307.69	224.97	275.28	139.07	164.42	186.4	209.84	249.73	444.72	206.94	279.14	353.59	169.07	281.09	241.19	567.1	256.78	1359.57	1175.27	1407.55	1417.35	921.88	1008.9	1259.69	1208.34	1277.29	1151.06	1268.46	723.08	1104.13	1369.04	1001.93
IQCC	70.51	47.84	36.53	58.71	78.34	99.43	72.01	76.71	39.79	104.42	77.79	35.5	65.26	66.18	59.13	81.14	143.01	82.87	76.17	81.71	91.41	55.89	81.14	90.77	42.71	64.34	68.07	54.72	91.41	165.57	11.04	12.36	13.72	14.89	14.03	10.63	12.09	7.34	10.71	37.85	5.02	0.0	0.19	59.55	41.22	23.08	61.68	57.08	59.13	45.85	18.84	46.18	57.89	21.47	34.26	58.71	36.27	42.11	77.25	26.67	72.52	42.11	35.76	31.22	187.71	228.13	139.07	202.66	162.14	164.42	154.42	161.02	275.28	197.09	253.23	190.34	181.28	191.67	178.77
KIAA1107	42.71	22.75	7.34	46.84	51.71	29.06	81.71	37.32	31.67	30.78	30.34	30.34	37.05	15.45	47.5	22.26	30.34	86.43	47.17	55.49	38.95	49.56	11.04	46.5	32.59	34.75	39.22	48.52	52.45	49.21	1.27	4.1	9.93	13.22	5.41	10.88	8.99	3.11	12.27	10.55	14.14	0.0	0.0	9.48	31.22	28.24	33.54	6.46	15.34	11.47	15.45	10.79	20.11	15.68	18.43	4.39	10.96	18.7	23.08	19.11	10.88	18.43	18.84	22.92	115.97	72.01	128.79	90.77	71.0	71.0	91.41	99.43	85.22	77.25	132.44	20.11	67.59	83.45	61.68
KRT7	131982.68	123144.13	138544.47	105727.15	113315.62	117311.73	139508.13	167058.21	112532.89	124863.17	96616.71	146444.06	150561.19	131071.0	127486.83	118949.35	152662.96	76861.91	149521.18	116501.39	134755.94	132900.7	110216.97	151608.43	201440.3	161367.56	102836.01	146444.06	417089.23	408505.64	587.13	1119.56	334.46	346.29	476.71	1832.01	2193.99	334.46	281.09	120609.84	457.25	0.0	1.11	209994.66	194578.47	200048.85	244588.0	84109.6	128373.58	114897.47	124000.67	126606.21	99333.0	143430.26	149521.18	194578.47	153724.82	215898.44	141455.6	120609.84	160252.91	296977.71	134755.94	107203.06	23820.89	66912.05	65535.0	77396.54	34876.28	36610.26	35609.13	31650.8	94628.34	39237.98	36106.23	110983.6	36610.26	40341.14	46019.85
L3MBTL1	175.07	92.7	42.71	125.24	212.78	21.47	206.94	154.42	80.01	64.8	43.94	94.01	104.42	87.65	129.69	16.27	186.4	320.8	98.73	162.14	155.5	137.14	29.06	155.5	55.49	58.3	41.81	132.44	277.2	218.79	14.78	9.78	15.11	7.0	2.1	2.01	7.0	3.0	4.24	16.88	5.41	0.0	0.92	48.18	21.78	26.67	27.64	34.26	23.08	32.13	22.43	34.26	37.59	56.28	20.56	29.7	15.34	40.93	84.04	24.46	10.96	21.94	75.11	38.12	379.04	301.33	575.03	423.61	271.48	214.27	376.41	314.17	563.18	543.96	441.64	169.07	356.05	361.04	339.14
LEMD2	2209.26	1277.29	575.03	1991.0	1388.16	1388.16	1331.57	1508.65	1923.14	1651.0	1733.13	1127.35	1417.35	1322.37	1073.91	1417.35	1697.45	1233.75	1242.34	1498.22	961.07	1242.34	764.36	1508.65	1498.22	1304.15	1369.04	1757.34	1628.26	1322.37	387.02	420.68	563.18	373.81	265.87	339.14	318.57	423.61	358.54	848.22	395.18	0.0	0.89	748.61	738.29	928.3	656.11	642.59	748.61	819.3	607.87	591.22	603.67	1127.35	769.69	723.08	748.61	642.59	836.53	620.67	708.18	909.17	961.07	638.15	1508.65	981.29	1313.23	1477.58	1233.75	1151.06	1242.34	1159.07	1199.98	1295.13	1135.2	1322.37	1268.46	1199.98	1119.56
