	GTEX.U3ZN.0226.SM.3DB8D	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.DE.A3KN.01A.11R.A20F.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.DJ.A4V0.01A.11R.A250.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.CE.A481.01A.21R.A23W.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EL.A3T8.01A.21R.A22L.07	TCGA.BJ.A45G.01A.11R.A23W.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
BMP1	151.22	1167.14	1909.85	1806.78	884.29	1991.0	1304.15	1781.89	1119.56	1167.14	1199.98	954.43	2319.15	1605.83	1250.98	954.43	1519.15	1617.0	1111.82	1487.87	1250.98	890.44	1617.0	791.35	1059.11	1662.49	825.0	1605.83	1540.37	1208.34	1199.98	1662.49	764.36	267.73	323.03	226.54	351.14	339.14	540.19	244.57	356.05	212.78	316.37	417.77	217.27	387.02	607.87	483.38	493.56	583.07	529.06	403.5	460.44	555.41	514.56	547.75	371.22	325.29	429.54	441.64	161.02	493.56	346.29	466.88	307.69	329.84	327.56	497.0	559.28	470.14	529.06	339.14	423.61	353.59	361.04	361.04	612.11	397.93	547.75	432.53	463.65	346.29	403.5	429.54
CACNB1	6.06	836.53	1208.34	647.07	314.17	587.13	679.29	591.22	521.76	624.99	381.68	651.58	796.86	674.59	1175.27	397.93	435.55	470.14	775.05	603.67	813.63	417.77	1529.73	567.1	507.46	444.72	356.05	429.54	1104.13	674.59	559.28	511.0	536.45	96.01	49.21	80.01	55.49	98.04	303.44	92.7	104.42	55.89	291.04	205.5	17.25	163.28	89.51	190.34	256.78	102.25	180.02	237.86	224.97	229.72	111.21	218.79	78.34	90.14	171.45	100.13	62.56	127.0	208.38	132.44	231.32	176.29	126.12	118.43	173.85	314.17	177.53	214.27	450.94	175.07	187.71	119.26	251.48	92.05	279.14	140.04	144.01	87.65	187.71	128.79
CBX2	12.0	50.63	71.0	51.35	36.53	71.0	86.43	47.17	71.5	63.0	84.04	78.34	83.45	63.89	44.25	34.75	71.5	59.97	36.53	41.81	90.77	53.57	58.71	32.36	78.34	69.52	100.13	61.68	57.49	67.59	95.34	80.57	52.82	25.35	26.67	19.82	18.16	31.0	27.05	21.78	30.34	14.03	12.09	30.56	27.64	22.43	37.85	26.28	35.76	25.91	20.56	58.3	26.1	33.78	19.25	37.32	30.34	30.12	32.59	32.59	19.82	53.19	35.76	19.82	31.9	19.39	43.32	55.1	28.24	33.3	30.34	14.67	8.99	31.67	39.22	39.5	34.26	33.06	47.17	10.71	34.51	17.9	29.27	28.04
CCDC120	28.24	279.14	293.07	242.88	260.38	275.28	248.0	279.14	285.03	289.02	291.04	231.32	406.31	248.0	265.87	215.77	236.21	287.01	246.28	275.28	256.78	206.94	316.37	248.0	277.2	336.79	201.25	373.81	273.37	293.07	273.37	339.14	251.48	140.04	170.25	169.07	198.47	226.54	228.13	119.26	109.66	145.02	332.14	94.67	157.68	170.25	121.79	205.5	155.5	193.01	187.71	187.71	163.28	159.9	146.03	127.89	191.67	186.4	140.04	157.68	119.26	131.51	104.42	228.13	140.04	155.5	212.78	169.07	204.07	241.19	224.97	229.72	204.07	194.36	180.02	169.07	204.07	217.27	173.85	146.03	208.38	109.66	141.02	123.5
CCND1	1096.5	5112.16	4298.64	4038.61	3303.0	3820.7	3103.19	2701.35	3665.02	2573.36	2609.3	3146.52	1950.0	2895.31	5076.84	3018.3	5183.54	4575.41	2537.92	3039.3	3081.75	2240.11	4769.75	2537.92	3235.01	3928.15	2956.17	5479.15	6935.54	3928.15	3280.18	3874.05	2758.13	836.53	1350.18	2502.97	698.41	1233.75	1066.48	1519.15	2119.22	571.05	1844.76	2209.26	713.11	791.35	1605.83	967.76	1104.13	723.08	1023.0	2133.97	1437.15	1605.83	587.13	1529.73	2303.12	1322.37	1721.16	1001.93	1617.0	1477.58	1977.24	860.08	1457.23	884.29	854.13	1551.09	842.36	860.08	1781.89	1015.93	1359.57	802.41	813.63	1199.98	1059.11	1059.11	1023.0	480.04	1806.78	2384.37	1135.2	2537.92
CDC42EP1	423.61	3212.66	2627.46	2796.65	1001.93	1457.23	1923.14	2720.15	1111.82	791.35	2133.97	599.49	1950.0	1936.53	2956.17	1175.27	1923.14	1923.14	1225.22	1551.09	656.11	941.27	2367.9	860.08	928.3	2417.67	813.63	2451.44	3018.3	819.3	2061.24	2664.15	1151.06	186.4	638.15	511.0	400.71	457.25	358.54	555.41	616.37	183.82	555.41	1143.1	223.41	612.11	723.08	674.59	470.14	318.57	525.39	854.13	432.53	738.29	507.46	866.07	511.0	420.68	483.38	624.99	208.38	486.75	738.29	450.94	470.14	167.9	406.31	403.5	591.22	679.29	579.04	698.41	199.85	466.88	199.85	651.58	387.02	277.2	728.11	620.67	599.49	802.41	303.44	514.56
CDK9	1111.82	2061.24	2384.37	2384.37	1674.06	2271.4	1950.0	2255.7	1883.54	2061.24	1977.24	1950.0	1977.24	1909.85	1896.65	1685.71	1757.34	1540.37	1709.26	1733.13	1832.01	1769.57	2148.82	1662.49	1794.29	1709.26	1745.2	1583.71	2178.83	1857.6	1883.54	1977.24	1769.57	1159.07	1143.1	1167.14	1037.29	1225.22	1233.75	1037.29	1331.57	1295.13	1304.15	1359.57	921.88	1286.18	1781.89	1540.37	1073.91	1397.83	1051.79	1359.57	954.43	1721.16	1561.89	1508.65	1388.16	981.29	1685.71	1143.1	954.43	1277.29	1594.73	1295.13	1819.35	1096.5	1088.92	1051.79	1277.29	1427.22	1427.22	1331.57	1350.18	830.75	1127.35	1059.11	1096.5	1096.5	1909.85	1340.84	1572.76	1001.93	1151.06	1378.57
CDR2L	24.63	180.02	135.24	163.28	121.79	180.02	150.17	201.25	162.14	74.58	96.68	105.89	107.38	170.25	171.45	98.04	140.04	145.02	94.01	143.01	81.14	114.36	153.34	134.3	127.0	164.42	116.78	295.11	141.02	147.06	97.36	195.72	110.43	20.41	55.1	57.49	50.63	60.82	58.71	56.68	88.88	19.39	28.24	123.5	31.0	48.18	78.89	63.89	68.55	53.19	59.97	68.55	53.19	70.51	60.39	103.69	81.14	54.33	57.08	63.45	39.22	84.63	82.29	39.22	46.84	35.76	43.63	47.17	39.22	36.79	67.12	44.25	32.13	33.3	43.32	90.77	27.44	63.0	60.82	62.56	80.01	62.56	55.89	77.25
CMTM3	186.4	1662.49	1561.89	1073.91	525.39	981.29	1023.0	1977.24	665.29	486.75	1143.1	483.38	884.29	1467.37	1896.65	884.29	808.0	1051.79	848.22	1088.92	497.0	842.36	1331.57	669.92	842.36	890.44	417.77	1457.23	1572.76	791.35	890.44	1008.9	483.38	212.78	251.48	612.11	262.2	341.51	281.09	343.89	314.17	305.55	88.26	638.15	194.36	373.81	457.25	334.46	264.03	253.23	264.03	376.41	253.23	775.05	231.32	723.08	414.87	224.97	656.11	234.57	291.04	260.38	490.14	176.29	603.67	255.0	108.9	237.86	343.89	211.31	435.55	426.57	116.78	175.07	195.72	438.59	95.34	172.65	368.65	253.23	400.71	356.05	303.44	299.25
CPNE2	258.57	1519.15	928.3	848.22	974.5	872.1	1111.82	1059.11	934.76	753.83	1427.22	785.88	1369.04	1350.18	1417.35	1127.35	1477.58	981.29	723.08	872.1	884.29	1216.75	1295.13	1127.35	884.29	1662.49	947.83	947.83	1073.91	743.43	723.08	1617.0	791.35	371.22	536.45	551.56	438.59	414.87	603.67	525.39	500.46	343.89	195.72	518.15	483.38	525.39	928.3	525.39	660.68	457.25	429.54	872.1	563.18	718.08	426.57	679.29	796.86	381.68	616.37	536.45	334.46	954.43	698.41	521.76	759.08	521.76	723.08	397.93	392.44	341.51	429.54	450.94	376.41	444.72	432.53	808.0	603.67	483.38	450.94	358.54	954.43	417.77	551.56	995.0
CTBP1	738.29	3564.78	3716.2	3847.29	3190.46	3665.02	3491.39	3794.3	3280.18	3491.39	3639.7	3235.01	3212.66	2997.45	3372.43	3168.41	3589.58	3212.66	2835.7	3257.52	3280.18	2855.44	3716.2	3515.68	3614.55	3419.52	2976.74	3928.15	3742.05	3018.3	3124.78	3325.99	3039.3	1594.73	2645.74	2573.36	2351.53	2485.67	2485.67	2816.11	2739.08	1487.87	2609.3	2537.92	1605.83	2400.97	2855.44	2895.31	2209.26	2664.15	2335.28	2720.15	2255.7	3081.75	2816.11	2895.31	2816.11	2537.92	2758.13	2609.3	1832.01	2417.67	2739.08	2434.5	2537.92	1745.2	2319.15	2609.3	2573.36	2335.28	2400.97	2193.99	2075.59	1977.24	2133.97	2335.28	2434.5	2451.44	2417.67	1769.57	3280.18	2739.08	2335.28	3103.19
CTTN	595.34	4607.24	5751.61	5183.54	4181.07	4575.41	4869.99	5255.91	3716.2	3742.05	4066.71	4239.45	5403.7	5633.22	7230.1	4010.71	5112.16	6037.61	3982.99	4769.75	4181.07	3614.55	4903.87	3847.29	5219.6	4869.99	3716.2	5995.9	5913.33	4328.55	4328.55	5403.7	4123.49	2400.97	2061.24	2148.82	2502.97	3395.89	4066.71	2701.35	2224.63	2090.03	3443.31	3443.31	1819.35	3212.66	2935.74	2976.74	2777.33	3982.99	3614.55	3146.52	3419.52	3146.52	2875.3	3039.3	2855.44	2303.12	2739.08	2682.69	2148.82	3212.66	2664.15	3190.46	2609.3	2895.31	2090.03	3349.13	3124.78	3212.66	3372.43	2935.74	3212.66	2758.13	3955.48	2335.28	3515.68	3349.13	3639.7	3349.13	2758.13	2451.44	2915.45	2468.49
DEF8	336.79	2104.58	1950.0	1359.57	1322.37	1540.37	1519.15	1605.83	1225.22	1519.15	1498.22	981.29	2032.85	1378.57	1733.13	1388.16	1794.29	1572.76	1277.29	1628.26	1388.16	1051.79	2032.85	1639.59	1159.07	2178.83	1216.75	1350.18	1467.37	1286.18	1487.87	1721.16	1417.35	647.07	878.17	791.35	902.89	713.11	890.44	1030.12	1001.93	813.63	532.74	1059.11	785.88	884.29	1183.45	1242.34	738.29	1104.13	928.3	1015.93	1111.82	1286.18	1175.27	1088.92	995.0	769.69	1037.29	884.29	733.19	1135.2	1199.98	860.08	1143.1	748.61	830.75	848.22	1066.48	808.0	954.43	753.83	830.75	759.08	743.43	1008.9	988.12	896.64	1023.0	896.64	1088.92	981.29	981.29	1250.98
DLGAP4	281.09	2193.99	2417.67	1397.83	1467.37	2271.4	2335.28	2240.11	1628.26	1617.0	1662.49	1268.46	1909.85	1806.78	2502.97	1819.35	1709.26	2417.67	1540.37	1936.53	1447.15	1529.73	2163.77	1388.16	1844.76	2384.37	1529.73	2875.3	2591.27	1417.35	2104.58	2485.67	1769.57	624.99	738.29	830.75	890.44	2075.59	1340.84	764.36	688.78	612.11	2178.83	1001.93	791.35	1697.45	796.86	988.12	1073.91	1225.22	1208.34	1233.75	1088.92	796.86	902.89	1066.48	769.69	819.3	698.41	981.29	555.41	1467.37	780.44	1295.13	813.63	1088.92	1268.46	1529.73	1104.13	1477.58	1295.13	1340.84	1340.84	1216.75	1378.57	941.27	988.12	1225.22	934.76	1001.93	921.88	728.11	1088.92	825.0
DOCK6	151.22	1819.35	2417.67	2018.8	1896.65	2287.2	1909.85	1923.14	1769.57	1639.59	1340.84	1561.89	1551.09	2485.67	2224.63	1359.57	1909.85	1617.0	1295.13	1870.53	1277.29	1594.73	2047.0	1896.65	1529.73	1769.57	1277.29	2032.85	2004.85	1378.57	1551.09	2133.97	1378.57	400.71	536.45	842.36	603.67	674.59	813.63	836.53	872.1	547.75	1437.15	1508.65	463.65	728.11	1286.18	718.08	612.11	1051.79	647.07	915.51	836.53	1030.12	1096.5	1015.93	947.83	780.44	1066.48	607.87	693.58	974.5	1268.46	698.41	1023.0	454.09	624.99	769.69	674.59	753.83	1199.98	780.44	764.36	587.13	669.92	718.08	688.78	743.43	961.07	1051.79	988.12	688.78	693.58	1051.79
DOK4	169.07	483.38	423.61	529.06	463.65	493.56	480.04	571.05	420.68	579.04	540.19	312.0	507.46	397.93	463.65	423.61	532.74	500.46	400.71	470.14	454.09	327.56	583.07	507.46	381.68	480.04	316.37	518.15	429.54	293.07	417.77	595.34	373.81	253.23	277.2	258.57	273.37	215.77	190.34	195.72	208.38	157.68	165.57	265.87	232.94	157.68	299.25	303.44	249.73	265.87	267.73	223.41	244.57	368.65	159.9	309.83	381.68	190.34	327.56	195.72	194.36	256.78	312.0	228.13	312.0	246.28	212.78	209.84	214.27	199.85	170.25	212.78	264.03	136.19	151.22	320.8	253.23	175.07	287.01	197.09	332.14	231.32	246.28	373.81
