	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.139TS.2226.SM.5J2N1	GTEX.ZPU1.1726.SM.4WWFV	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.R55G.1226.SM.48FDC	GTEX.1212Z.1826.SM.5FQSH	GTEX.WYVS.1126.SM.4SOJX	GTEX.11ZTT.1626.SM.5EQKR	GTEX.117XS.2226.SM.5GIE1	GTEX.13CF2.1826.SM.5N9GK	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHPG.1626.SM.4M1ZL	GTEX.X15G.1526.SM.4PQZM	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.147JS.2626.SM.5S2UX	GTEX.1122O.1526.SM.5N9CL	GTEX.OHPM.1426.SM.3TW8Y	GTEX.1399U.2226.SM.5KLZI	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.11P81.1126.SM.5GU5G	GTEX.11GS4.1826.SM.5HL4T	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.ZVT2.1726.SM.51MRO	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.132NY.2726.SM.5PNY2	GTEX.QEL4.1926.SM.4R1JI	GTEX.ZPCL.1626.SM.57WGC	GTEX.O5YW.1426.SM.3MJHF	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1212Z.2026.SM.5N9EA	TCGA.KM.8438.01A.11R.2315.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9NI.01A.11R.A41O.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.ZUA1.2826.SM.59HLE	GTEX.Y9LG.1826.SM.4VBQC	GTEX.13CF2.2426.SM.5LZYL	GTEX.Y5V6.1326.SM.4VDTF	TCGA.BJ.A291.01A.11R.A16R.07
BIVM-ERCC5	32.36	146.03	0.0	0.0	121.79	137.14	122.64	136.19	0.0	145.02	133.36	23.42	17.38	6.94	108.14	0.0	40.36	103.69	81.14	60.39	75.11	43.32	68.07	130.6	17.38	96.68	97.36	141.02	0.0	49.21	77.79	59.13	93.35	0.0	0.0	71.0	14.89	30.56	220.32	28.86	88.88	0.0	181.28	0.0	0.0	0.0	0.0	0.0	10.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.75	0.0	0.0	0.0	3.41
BRWD3	55.49	86.43	47.84	38.67	81.14	72.52	85.82	66.65	52.08	80.57	84.63	44.25	48.18	53.19	95.34	47.84	30.56	97.36	156.59	78.34	98.73	54.72	107.38	62.56	26.47	71.0	92.05	84.63	48.52	69.52	104.42	145.02	88.26	51.71	73.54	70.01	32.82	36.53	115.16	26.47	91.41	34.02	119.26	17.77	31.22	40.93	5.45	21.63	9.27	18.43	14.45	35.5	15.56	21.94	25.72	19.82	31.45	19.82	56.28	20.86	40.36	25.17
BTAF1	166.73	403.5	181.28	153.34	320.8	438.59	305.55	221.86	339.14	432.53	373.81	258.57	409.15	307.69	587.13	305.55	248.0	358.54	521.76	195.72	218.79	291.04	307.69	175.07	137.14	316.37	341.51	476.71	297.17	529.06	237.86	591.22	224.97	163.28	204.07	444.72	215.77	198.47	483.38	206.94	264.03	124.37	327.56	152.28	291.04	94.67	20.86	81.14	53.19	74.06	66.65	155.5	98.04	76.71	99.43	98.04	144.01	63.0	514.56	226.54	133.36	71.0
CCNT2	244.57	460.44	248.0	214.27	212.78	279.14	301.33	273.37	426.57	366.09	318.57	241.19	332.14	309.83	409.15	287.01	260.38	373.81	307.69	287.01	332.14	289.02	318.57	209.84	84.63	287.01	381.68	406.31	244.57	231.32	343.89	476.71	279.14	204.07	232.94	271.48	273.37	115.16	361.04	229.72	409.15	167.9	318.57	69.52	201.25	123.5	29.06	140.04	24.63	113.56	87.03	229.72	120.1	115.97	157.68	147.06	205.5	236.21	339.14	136.19	159.9	152.28
CELF1	376.41	1119.56	819.3	684.02	954.43	854.13	551.56	536.45	813.63	1427.22	1066.48	693.58	961.07	591.22	872.1	693.58	688.78	607.87	825.0	536.45	679.29	830.75	595.34	647.07	303.44	660.68	674.59	842.36	748.61	854.13	624.99	830.75	579.04	384.34	376.41	954.43	1023.0	480.04	733.19	616.37	808.0	432.53	1008.9	187.71	466.88	412.0	80.01	343.89	591.22	273.37	409.15	567.1	429.54	358.54	486.75	470.14	381.68	435.55	521.76	703.28	423.61	358.54
CKB	135693.24	103551.29	142439.51	130165.62	129266.49	115696.65	164758.26	277089.94	138544.47	80683.28	117311.73	156954.93	248002.34	125731.67	99333.0	150561.19	144427.91	153724.82	99333.0	267651.2	190574.09	140478.49	205673.01	158046.64	90773.53	184082.4	122293.5	111755.56	136637.07	133825.1	204252.32	129266.49	180294.02	103551.29	102836.01	181548.07	148488.36	107948.72	97288.74	109455.64	103551.29	88905.42	130165.62	79022.82	114103.8	140478.49	64186.29	414.87	1936.53	26800.01	61999.83	82951.62	54349.29	41763.8	42054.3	61146.25	125731.67	88291.3	187950.38	171754.88	95286.54	77934.88
CTC-349C3.1	49.21	82.29	32.13	30.12	51.71	35.25	71.0	104.42	34.26	39.5	28.04	25.17	42.11	45.85	50.98	33.3	21.47	60.82	69.52	78.89	71.5	32.59	88.88	62.12	11.64	81.71	122.64	48.87	24.99	30.34	89.51	57.89	55.49	8.38	13.22	23.59	32.82	15.0	128.79	34.02	75.64	6.52	88.88	14.14	33.3	3.69	2.39	0.0	6.84	14.24	14.03	11.13	24.99	34.51	17.77	21.16	64.8	121.79	36.53	54.72	33.78	10.31
DDX6	251.48	836.53	518.15	249.73	521.76	902.89	379.04	486.75	312.0	928.3	854.13	368.65	312.0	665.29	503.95	723.08	409.15	674.59	947.83	384.34	470.14	444.72	417.77	511.0	305.55	307.69	493.56	884.29	521.76	397.93	493.56	802.41	325.29	314.17	293.07	536.45	260.38	255.0	708.18	403.5	514.56	379.04	866.07	139.07	159.9	277.2	50.27	71.5	116.78	156.59	143.01	334.46	167.9	157.68	173.85	249.73	361.04	190.34	915.51	356.05	371.22	260.38
DENND4C	327.56	595.34	361.04	217.27	312.0	551.56	412.0	551.56	373.81	579.04	656.11	327.56	271.48	476.71	395.18	480.04	237.86	624.99	587.13	460.44	420.68	373.81	532.74	486.75	267.73	366.09	540.19	532.74	373.81	414.87	571.05	503.95	444.72	285.03	423.61	395.18	303.44	123.5	486.75	293.07	414.87	329.84	743.43	102.97	177.53	242.88	145.02	60.82	69.03	119.26	166.73	170.25	88.26	120.1	167.9	171.45	273.37	212.78	381.68	205.5	293.07	163.28
DGKH	30.56	133.36	72.01	38.95	65.26	40.64	46.84	72.52	48.87	56.68	52.45	46.18	74.06	45.85	100.13	62.12	30.56	61.25	91.41	58.71	72.01	62.12	65.72	47.84	15.34	63.0	70.51	95.34	67.59	63.89	76.71	48.87	67.59	28.45	45.21	113.56	47.17	18.84	68.07	35.25	82.29	37.32	80.01	13.72	51.35	16.75	3.96	7.28	1.99	3.03	6.89	10.24	1.83	6.26	5.15	11.64	13.22	3.32	29.91	29.91	37.05	23.93
DNAJC13	368.65	665.29	460.44	289.02	483.38	466.88	651.58	476.71	476.71	493.56	454.09	460.44	514.56	409.15	525.39	438.59	454.09	543.96	476.71	503.95	603.67	358.54	500.46	447.82	262.2	414.87	476.71	486.75	521.76	307.69	825.0	309.83	511.0	454.09	358.54	373.81	450.94	376.41	376.41	285.03	497.0	397.93	514.56	291.04	299.25	281.09	93.35	169.07	87.65	204.07	158.79	204.07	115.97	194.36	258.57	291.04	283.05	334.46	435.55	228.13	295.11	780.44
DNMBP	684.02	497.0	356.05	297.17	332.14	403.5	620.67	633.73	299.25	444.72	291.04	363.56	309.83	334.46	368.65	339.14	269.6	603.67	348.71	872.1	642.59	336.79	759.08	616.37	198.47	684.02	791.35	435.55	316.37	325.29	796.86	277.2	698.41	221.86	258.57	142.01	269.6	232.94	559.28	363.56	633.73	258.57	647.07	82.87	157.68	244.57	33.78	39.22	84.04	206.94	249.73	262.2	201.25	185.11	397.93	275.28	205.5	211.31	248.0	269.6	373.81	146.03
DOPEY1	141.02	389.72	199.85	151.22	198.47	307.69	231.32	260.38	212.78	323.03	202.66	211.31	159.9	236.21	295.11	217.27	175.07	281.09	358.54	197.09	293.07	175.07	251.48	180.02	90.14	295.11	329.84	336.79	253.23	248.0	285.03	327.56	231.32	100.83	163.28	170.25	202.66	73.54	297.17	158.79	297.17	100.83	305.55	52.08	182.55	60.39	9.78	43.02	39.5	48.87	51.35	96.68	96.01	60.82	55.49	104.42	172.65	121.79	255.0	97.36	76.71	127.0
DYNC1LI2	1037.29	2032.85	2133.97	1183.45	1883.54	1909.85	1896.65	1594.73	1388.16	1819.35	2104.58	2240.11	1540.37	1175.27	1745.2	1662.49	1225.22	2193.99	1844.76	1199.98	1896.65	1519.15	2351.53	1340.84	878.17	1832.01	2367.9	1870.53	1923.14	1883.54	1674.06	1757.34	1529.73	1437.15	1572.76	1437.15	1427.22	1295.13	1991.0	1295.13	1277.29	1857.6	1857.6	684.02	1023.0	563.18	59.55	181.28	187.71	379.04	314.17	753.83	339.14	323.03	366.09	802.41	796.86	1159.07	1870.53	603.67	764.36	791.35
EBLN2	16.15	42.41	13.32	8.13	14.45	25.35	21.01	14.03	18.84	21.01	19.11	15.91	10.63	9.48	45.85	7.82	20.41	19.97	17.9	37.59	15.11	15.45	30.56	13.72	1.97	30.34	45.53	25.91	18.16	19.11	21.94	51.71	24.63	2.12	6.62	39.79	8.19	7.51	29.7	13.72	38.95	1.95	43.02	0.73	11.82	1.39	0.0	0.0	1.39	0.0	2.29	4.82	3.44	1.89	1.89	3.47	4.21	0.25	6.16	2.29	8.13	4.98
ELMSAN1	373.81	830.75	339.14	616.37	500.46	612.11	514.56	591.22	656.11	718.08	753.83	759.08	373.81	444.72	872.1	620.67	902.89	669.92	775.05	579.04	698.41	733.19	629.35	536.45	275.28	536.45	651.58	684.02	595.34	583.07	563.18	753.83	507.46	334.46	348.71	974.5	432.53	204.07	665.29	480.04	723.08	285.03	603.67	146.03	532.74	450.94	46.84	68.55	83.45	116.78	271.48	175.07	102.25	125.24	135.24	169.07	158.79	148.09	309.83	412.0	260.38	285.03
ERAP1	718.08	457.25	532.74	351.14	432.53	567.1	1457.23	1467.37	476.71	514.56	486.75	723.08	466.88	392.44	612.11	521.76	457.25	1350.18	567.1	1119.56	884.29	603.67	1508.65	748.61	275.28	748.61	1529.73	693.58	738.29	403.5	860.08	463.65	555.41	397.93	366.09	392.44	536.45	341.51	1023.0	493.56	1051.79	366.09	791.35	140.04	155.5	366.09	384.34	211.31	336.79	246.28	80.01	169.07	36.79	271.48	152.28	149.12	236.21	186.4	521.76	285.03	366.09	208.38
ERBB2IP	536.45	947.83	669.92	325.29	559.28	802.41	1066.48	974.5	674.59	743.43	854.13	909.17	579.04	854.13	708.18	703.28	511.0	1397.83	934.76	429.54	775.05	466.88	1883.54	563.18	323.03	454.09	1594.73	703.28	669.92	607.87	1037.29	583.07	651.58	518.15	444.72	483.38	583.07	255.0	836.53	441.64	575.03	559.28	684.02	121.79	198.47	460.44	194.36	177.53	89.51	307.69	204.07	366.09	223.41	239.52	206.94	309.83	476.71	480.04	947.83	381.68	236.21	314.17
ERVW-1	1.23	1.87	1.73	1.36	1.68	6.89	2.61	2.78	3.99	9.93	3.59	0.42	1.06	2.78	6.84	3.26	4.46	4.9	7.63	1.3	1.64	1.11	2.86	2.56	1.08	4.39	3.06	13.03	4.94	0.93	1.04	9.2	1.08	0.0	0.44	2.68	1.83	0.0	4.5	1.53	2.34	0.0	9.13	0.43	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	2.61	0.92	0.85	0.8	2.86	8.45	0.0
ETNK1	854.13	571.05	529.06	323.03	339.14	327.56	1073.91	1350.18	470.14	490.14	429.54	392.44	493.56	463.65	575.03	466.88	346.29	878.17	497.0	836.53	684.02	490.14	1030.12	620.67	204.07	872.1	1477.58	575.03	417.77	587.13	896.64	543.96	748.61	414.87	486.75	429.54	363.56	277.2	629.35	341.51	796.86	414.87	693.58	76.17	154.42	332.14	587.13	80.01	139.07	320.8	215.77	320.8	237.86	231.32	246.28	134.3	289.02	255.0	368.65	102.97	314.17	265.87
FAM126B	84.63	183.82	130.6	97.36	90.77	116.78	132.44	197.09	144.01	198.47	124.37	127.89	142.01	110.43	197.09	153.34	98.04	186.4	136.19	165.57	132.44	115.16	139.07	136.19	37.05	125.24	208.38	162.14	146.03	97.36	146.03	157.68	99.43	83.45	79.45	130.6	137.14	72.01	121.79	120.94	218.79	70.01	186.4	32.59	78.89	80.57	46.18	27.64	30.34	33.06	33.54	62.12	33.54	44.25	57.08	67.12	57.89	64.34	111.99	109.66	111.21	55.1
FAM21C	688.78	796.86	466.88	441.64	612.11	521.76	693.58	1008.9	536.45	688.78	599.49	500.46	543.96	412.0	624.99	511.0	518.15	796.86	473.41	669.92	813.63	514.56	1216.75	759.08	384.34	748.61	1151.06	780.44	486.75	361.04	872.1	426.57	733.19	329.84	307.69	426.57	320.8	267.73	759.08	384.34	1096.5	423.61	708.18	124.37	262.2	169.07	13.22	125.24	46.5	182.55	215.77	212.78	133.36	215.77	194.36	242.88	358.54	180.02	412.0	182.55	178.77	209.84
FARP2	796.86	656.11	417.77	490.14	403.5	473.41	890.44	854.13	454.09	435.55	420.68	483.38	529.06	466.88	551.56	389.72	486.75	718.08	536.45	1059.11	813.63	497.0	884.29	854.13	260.38	1119.56	1175.27	420.68	412.0	423.61	902.89	441.64	947.83	412.0	403.5	525.39	493.56	389.72	896.64	329.84	941.27	329.84	954.43	101.54	323.03	189.02	24.63	128.79	170.25	258.57	289.02	371.22	483.38	299.25	262.2	228.13	309.83	379.04	314.17	264.03	384.34	124.37
GOLGA8R	26.86	115.16	31.22	16.63	21.47	55.49	53.57	10.88	24.46	74.58	53.57	34.26	35.5	22.75	64.34	17.38	40.93	8.45	91.41	24.99	26.67	54.33	41.22	10.0	4.66	15.11	52.82	65.72	45.21	34.26	28.45	33.06	33.3	5.45	5.87	142.01	10.0	17.77	68.07	14.35	15.34	12.18	41.22	8.92	27.44	36.53	0.0	1.97	5.73	5.32	2.32	10.31	3.32	3.17	3.99	9.27	15.91	4.82	46.18	10.79	40.36	11.73
GOLGA8S	4.39	20.71	8.45	10.24	7.22	10.39	6.52	3.86	10.71	12.36	5.77	15.68	14.03	14.03	13.93	7.11	10.0	4.94	15.56	3.06	5.63	10.39	12.09	4.43	4.98	3.72	4.74	8.25	12.83	8.25	9.56	10.24	9.63	4.21	5.06	15.22	7.94	4.1	8.58	9.34	8.51	3.2	7.46	0.92	10.16	9.48	1.58	2.07	0.0	2.46	1.36	3.92	3.08	0.61	2.94	3.14	3.79	2.39	6.84	1.23	3.82	7.17
GPATCH2L	100.13	269.6	204.07	128.79	218.79	258.57	151.22	156.59	241.19	262.2	253.23	190.34	283.05	195.72	366.09	260.38	180.02	166.73	341.51	116.78	163.28	204.07	223.41	141.02	79.45	136.19	246.28	291.04	212.78	231.32	123.5	312.0	130.6	127.0	111.99	177.53	172.65	258.57	223.41	199.85	271.48	142.01	236.21	118.43	208.38	193.01	221.86	39.5	50.63	62.56	108.14	145.02	93.35	67.12	105.15	115.16	105.89	90.77	253.23	190.34	78.34	86.43
GPATCH8	194.36	470.14	305.55	327.56	358.54	409.15	201.25	206.94	371.22	444.72	392.44	371.22	381.68	392.44	470.14	341.51	353.59	249.73	441.64	178.77	314.17	366.09	241.19	246.28	186.4	199.85	204.07	444.72	356.05	299.25	209.84	389.72	237.86	253.23	271.48	371.22	256.78	169.07	368.65	323.03	361.04	209.84	323.03	102.25	251.48	146.03	14.78	67.12	51.71	88.88	96.68	181.28	141.02	113.56	119.26	151.22	201.25	126.12	397.93	293.07	229.72	182.55
HELZ	69.52	264.03	154.42	104.42	128.79	202.66	80.01	127.0	140.04	242.88	152.28	165.57	138.1	142.01	232.94	158.79	96.68	154.42	171.45	133.36	120.1	177.53	144.01	120.1	63.0	77.79	120.1	226.54	124.37	202.66	94.01	161.02	112.77	92.7	102.97	152.28	127.0	70.01	128.79	111.21	149.12	81.14	220.32	49.56	97.36	67.59	11.64	60.82	43.32	59.13	49.21	87.03	53.57	50.27	60.82	98.04	106.63	83.45	183.82	74.06	114.36	65.26
INO80D	45.21	92.05	58.71	43.32	67.12	59.55	91.41	60.39	92.05	91.41	54.72	63.45	61.25	55.1	110.43	72.52	48.87	76.71	77.25	83.45	93.35	70.51	87.03	53.95	21.63	78.89	111.21	93.35	60.82	50.27	75.11	85.82	69.03	43.32	50.27	51.71	46.5	31.22	74.06	58.3	88.26	30.12	75.64	14.67	59.13	21.16	7.06	20.41	8.19	28.04	27.44	43.94	25.91	33.06	36.27	37.85	37.32	38.67	71.0	61.25	51.35	42.41
KDM5C	547.75	665.29	460.44	536.45	753.83	1088.92	647.07	928.3	543.96	1151.06	1037.29	559.28	543.96	638.15	642.59	529.06	1225.22	1030.12	733.19	587.13	698.41	733.19	1104.13	651.58	563.18	703.28	813.63	1199.98	493.56	669.92	638.15	1216.75	612.11	285.03	420.68	1096.5	591.22	429.54	1216.75	450.94	813.63	507.46	723.08	316.37	500.46	647.07	53.19	244.57	208.38	500.46	624.99	647.07	543.96	493.56	612.11	547.75	607.87	417.77	660.68	403.5	371.22	612.11
KHNYN	848.22	1073.91	638.15	836.53	860.08	813.63	796.86	878.17	961.07	872.1	764.36	656.11	693.58	884.29	974.5	688.78	708.18	921.88	830.75	780.44	1135.2	921.88	1268.46	954.43	341.51	988.12	947.83	1059.11	603.67	728.11	872.1	860.08	802.41	414.87	500.46	1015.93	780.44	299.25	981.29	674.59	1008.9	371.22	1051.79	223.41	703.28	251.48	23.93	223.41	156.59	215.77	400.71	356.05	441.64	420.68	473.41	289.02	490.14	329.84	529.06	255.0	397.93	397.93
KIAA0100	1008.9	1037.29	612.11	483.38	1268.46	915.51	928.3	1242.34	733.19	1015.93	934.76	660.68	842.36	808.0	620.67	642.59	785.88	1001.93	872.1	532.74	848.22	836.53	718.08	1088.92	607.87	909.17	1135.2	1081.39	679.29	595.34	819.3	1044.52	713.11	616.37	463.65	909.17	457.25	669.92	1151.06	642.59	1167.14	698.41	981.29	329.84	454.09	514.56	262.2	503.95	175.07	460.44	947.83	429.54	595.34	540.19	688.78	579.04	591.22	406.31	500.46	587.13	583.07	915.51
KIAA1109	518.15	902.89	536.45	567.1	497.0	647.07	624.99	587.13	921.88	941.27	599.49	860.08	802.41	529.06	921.88	836.53	371.22	860.08	796.86	559.28	583.07	769.69	759.08	547.75	277.2	521.76	915.51	848.22	738.29	575.03	785.88	708.18	559.28	470.14	460.44	620.67	713.11	395.18	638.15	532.74	629.35	361.04	660.68	251.48	563.18	447.82	54.33	97.36	84.04	271.48	195.72	395.18	186.4	191.67	231.32	253.23	392.44	316.37	555.41	269.6	309.83	417.77
