	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.AA.3655.11A.01R.1723.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.ZP4G.1726.SM.4WWCM	GTEX.XGQ4.1226.SM.4AT67	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.SNMC.1126.SM.4DM5M	GTEX.S4UY.0826.SM.4AD4Z	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.ZGAY.2126.SM.4YCFB	GTEX.QEL4.1926.SM.4R1JI	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.146FQ.1126.SM.5NQBM	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AG.3732.11A.01R.1660.07	GTEX.S4P3.0726.SM.4AD57	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07
BDH1	136.19	120.94	403.5	854.13	2502.97	65.26	748.61	1304.15	4869.99	3564.78	2720.15	5403.7	2400.97	4543.8	848.22	3039.3	3847.29	183.82	555.41	64.8	283.05	426.57	384.34	764.36	412.0	647.07	353.59	547.75	320.8	289.02	220.32	473.41	67.59
BPNT1	336.79	395.18	460.44	547.75	1059.11	228.13	1001.93	854.13	1561.89	1208.34	988.12	1277.29	830.75	1923.14	688.78	1225.22	1437.15	406.31	248.0	242.88	279.14	299.25	529.06	454.09	406.31	320.8	607.87	587.13	493.56	384.34	435.55	423.61	295.11
BRI3BP	27.64	42.71	163.28	70.01	136.19	7.46	140.04	147.06	595.34	591.22	351.14	470.14	323.03	563.18	190.34	409.15	483.38	40.93	27.25	9.78	7.94	40.07	47.5	45.53	88.88	39.5	84.04	153.34	86.43	48.87	57.89	44.57	30.12
C19orf57	17.25	17.25	33.06	61.68	80.57	32.59	63.89	77.25	205.5	140.04	229.72	187.71	57.49	158.79	44.57	89.51	152.28	98.73	41.81	12.0	19.97	18.03	14.14	25.35	40.93	6.41	33.78	46.5	41.81	48.52	9.13	41.22	17.9
C2orf72	3.99	4.66	258.57	141.02	220.32	12.09	209.84	438.59	1051.79	981.29	473.41	1397.83	514.56	1350.18	189.02	642.59	1127.35	1.31	0.91	0.99	3.29	19.25	78.89	18.16	11.91	17.0	242.88	351.14	199.85	16.51	10.16	4.46	1.08
C2orf82	1.36	14.89	249.73	92.05	195.72	15.91	97.36	249.73	607.87	518.15	423.61	693.58	599.49	486.75	95.34	264.03	447.82	50.27	49.56	22.59	23.59	9.27	23.76	19.97	18.97	10.55	72.01	159.9	52.08	21.63	7.94	26.28	7.88
C5orf30	46.5	85.82	262.2	314.17	211.31	36.01	536.45	486.75	1340.84	890.44	693.58	825.0	463.65	1259.69	249.73	791.35	808.0	73.03	64.8	66.18	71.5	195.72	98.73	55.89	50.63	71.5	208.38	314.17	229.72	87.03	105.89	51.35	46.5
C6orf136	220.32	229.72	620.67	559.28	1023.0	262.2	866.07	1199.98	1896.65	1806.78	1508.65	1883.54	1250.98	1896.65	764.36	1457.23	1508.65	361.04	303.44	234.57	251.48	490.14	423.61	397.93	329.84	379.04	514.56	909.17	497.0	217.27	249.73	392.44	229.72
CASP6	332.14	323.03	490.14	878.17	954.43	269.6	1119.56	1477.58	2061.24	1709.26	1277.29	1794.29	1529.73	1977.24	909.17	1427.22	1781.89	265.87	303.44	214.27	285.03	325.29	480.04	403.5	414.87	289.02	1378.57	733.19	718.08	208.38	297.17	293.07	295.11
CCDC112	205.5	169.07	175.07	206.94	232.94	175.07	202.66	226.54	358.54	265.87	215.77	279.14	224.97	236.21	190.34	249.73	253.23	98.73	88.26	81.14	110.43	136.19	181.28	190.34	143.01	146.03	209.84	148.09	275.28	120.94	127.89	88.26	111.99
CES2	409.15	547.75	2720.15	2133.97	2777.33	620.67	2895.31	2915.45	13033.07	11035.54	4543.8	13492.72	4388.98	12329.98	2018.8	7911.95	7642.41	559.28	866.07	733.19	612.11	441.64	547.75	769.69	503.95	423.61	1447.15	3467.27	1819.35	1407.55	928.3	1322.37	473.41
CHAD	0.0	2.12	31.45	33.54	77.25	9.85	102.97	77.79	759.08	248.0	217.27	429.54	92.7	366.09	37.85	139.07	432.53	0.0	1.01	2.29	0.53	9.48	6.84	8.06	1.87	2.48	32.82	141.02	58.71	0.0	9.56	3.0	2.61
CLN3	540.19	633.73	1159.07	1119.56	1794.29	497.0	1286.18	1870.53	3395.89	2777.33	2573.36	3060.45	1923.14	2682.69	1250.98	2061.24	3124.78	941.27	583.07	460.44	412.0	497.0	483.38	775.05	583.07	514.56	909.17	1757.34	785.88	603.67	536.45	612.11	688.78
CLYBL	353.59	201.25	285.03	429.54	463.65	221.86	299.25	665.29	660.68	703.28	551.56	896.64	591.22	802.41	412.0	638.15	651.58	180.02	237.86	234.57	373.81	457.25	387.02	371.22	147.06	122.64	473.41	414.87	368.65	346.29	248.0	291.04	155.5
CMBL	325.29	309.83	954.43	1498.22	1594.73	575.03	1651.0	1991.0	7803.01	4066.71	2032.85	4639.29	2609.3	7081.29	1143.1	4575.41	4328.55	127.0	96.68	110.43	157.68	511.0	780.44	836.53	323.03	177.53	1151.06	1135.2	1467.37	156.59	33.06	205.5	291.04
CPT2	277.2	172.65	325.29	571.05	1066.48	115.97	587.13	764.36	1417.35	1127.35	854.13	1225.22	947.83	1369.04	493.56	1216.75	974.5	127.89	101.54	111.99	99.43	262.2	239.52	397.93	343.89	269.6	281.09	426.57	332.14	348.71	309.83	323.03	171.45
DECR2	400.71	307.69	603.67	591.22	476.71	529.06	753.83	1135.2	1662.49	1199.98	995.0	1378.57	896.64	1561.89	540.19	848.22	698.41	450.94	480.04	457.25	406.31	647.07	579.04	395.18	444.72	438.59	486.75	381.68	483.38	371.22	460.44	341.51	444.72
DHRS11	180.02	180.02	1119.56	1295.13	1594.73	241.19	2271.4	1923.14	6745.86	5872.48	3901.01	6840.04	3235.01	7230.1	1437.15	5076.84	5831.91	212.78	177.53	151.22	220.32	180.02	226.54	224.97	242.88	193.01	974.5	1617.0	902.89	260.38	112.77	457.25	186.4
DNAJC22	0.0	3.96	36.27	30.34	48.52	0.0	53.19	138.1	647.07	500.46	358.54	660.68	224.97	713.11	72.52	376.41	493.56	0.0	0.01	0.0	0.13	2.78	9.06	10.0	11.47	2.46	92.05	68.55	16.75	12.09	5.77	13.42	3.76
DOK4	497.0	603.67	642.59	543.96	836.53	107.38	674.59	1030.12	2835.7	1870.53	1883.54	2271.4	1073.91	2720.15	733.19	1605.83	2004.85	314.17	208.38	291.04	271.48	543.96	775.05	638.15	500.46	426.57	540.19	909.17	325.29	271.48	559.28	314.17	480.04
DOLPP1	100.13	147.06	178.77	289.02	432.53	64.34	384.34	346.29	1199.98	854.13	723.08	961.07	579.04	1183.45	373.81	642.59	802.41	84.63	43.32	50.98	29.27	169.07	173.85	232.94	260.38	318.57	217.27	435.55	180.02	143.01	130.6	133.36	143.01
DQX1	0.0	1.68	110.43	118.43	251.48	14.89	66.18	125.24	1066.48	967.76	500.46	1286.18	397.93	1331.57	86.43	813.63	878.17	35.0	1.45	0.0	0.0	4.74	0.64	1.19	0.85	0.0	30.78	85.82	82.29	11.13	2.01	3.17	0.53
EHHADH	80.01	45.21	83.45	214.27	271.48	60.82	186.4	157.68	571.05	392.44	224.97	397.93	249.73	483.38	163.28	366.09	329.84	52.08	64.8	40.93	36.01	52.08	77.79	135.24	75.64	82.29	77.79	110.43	163.28	52.82	86.43	46.84	78.34
ENTPD5	110.43	123.5	583.07	759.08	1225.22	117.6	878.17	733.19	5183.54	2417.67	1457.23	2796.65	1369.04	3665.02	738.29	3018.3	2271.4	108.9	123.5	114.36	97.36	110.43	299.25	241.19	258.57	279.14	444.72	974.5	651.58	285.03	281.09	371.22	105.89
EPB41L4B	9.27	2.61	185.11	186.4	473.41	9.48	718.08	591.22	3349.13	2468.49	1277.29	2573.36	1259.69	3168.41	323.03	2573.36	2255.7	4.82	14.89	1.99	4.13	49.91	57.49	100.83	135.24	59.13	285.03	414.87	297.17	22.75	35.25	14.67	2.97
EPHA10	0.46	0.33	173.85	31.67	84.04	1.81	95.34	142.01	921.88	620.67	540.19	1081.39	368.65	909.17	58.3	587.13	633.73	6.36	5.19	3.26	6.89	9.78	1.64	9.56	13.12	3.96	13.72	62.56	21.32	3.63	3.5	5.73	0.0
FAM101A	7.06	26.47	249.73	164.42	264.03	17.64	299.25	466.88	1340.84	1081.39	703.28	1340.84	733.19	1127.35	239.52	813.63	1081.39	8.38	3.89	5.77	9.2	59.97	66.18	19.97	25.91	23.93	392.44	567.1	199.85	10.96	17.77	21.01	12.0
FAM132A	10.24	27.64	217.27	106.63	156.59	50.98	178.77	379.04	432.53	536.45	493.56	693.58	197.09	1127.35	61.68	329.84	536.45	151.22	172.65	43.63	25.17	11.04	15.56	12.74	2.51	17.77	178.77	356.05	102.25	81.14	36.01	170.25	10.71
FOXA3	0.0	0.93	47.84	98.04	125.24	1.16	125.24	293.07	1096.5	813.63	759.08	995.0	511.0	1023.0	253.23	563.18	1135.2	0.0	0.0	0.0	0.0	5.77	5.68	6.67	23.42	0.74	163.28	450.94	32.59	4.74	9.63	9.85	4.66
FOXD2	0.89	4.28	43.32	32.82	65.26	2.73	54.72	98.04	309.83	231.32	146.03	275.28	185.11	316.37	37.59	182.55	334.46	8.99	10.88	2.53	1.04	3.76	70.01	32.36	19.97	44.57	22.43	53.57	26.67	2.2	1.5	2.2	2.84
FPGT	89.51	189.02	191.67	206.94	204.07	130.6	178.77	277.2	351.14	241.19	242.88	267.73	185.11	323.03	323.03	241.19	299.25	137.14	143.01	139.07	94.01	134.3	195.72	229.72	152.28	176.29	323.03	154.42	232.94	264.03	156.59	157.68	171.45
FRAT2	91.41	127.0	358.54	234.57	470.14	108.14	297.17	579.04	669.92	713.11	476.71	665.29	507.46	575.03	237.86	457.25	665.29	215.77	129.69	94.01	67.59	95.34	95.34	108.9	112.77	57.89	172.65	412.0	255.0	112.77	136.19	220.32	84.63
FRMD1	0.88	5.32	64.34	45.21	132.44	4.1	123.5	82.87	1304.15	466.88	521.76	974.5	183.82	1216.75	35.0	403.5	921.88	0.0	0.0	0.0	0.0	13.52	4.21	0.91	2.01	0.0	18.43	102.25	41.52	1.04	5.41	0.27	3.14
FSIP2	1.36	11.82	46.84	17.13	56.28	7.46	60.82	12.0	212.78	122.64	62.12	142.01	57.08	197.09	31.45	98.73	169.07	1.75	0.8	1.99	0.6	2.2	3.5	10.39	2.66	3.53	2.63	13.83	18.84	5.68	2.66	6.16	2.36
GALM	242.88	217.27	500.46	540.19	753.83	271.48	612.11	759.08	1250.98	1304.15	934.76	1277.29	860.08	1259.69	540.19	995.0	1191.69	125.24	133.36	133.36	146.03	239.52	336.79	318.57	199.85	44.89	429.54	624.99	514.56	279.14	234.57	246.28	172.65
GALNT5	1.35	1.27	98.73	32.59	11.38	0.97	51.71	56.68	463.65	379.04	258.57	309.83	194.36	381.68	111.21	244.57	323.03	6.46	1.1	0.0	0.0	5.02	13.22	19.53	13.12	0.79	66.18	186.4	66.18	9.93	2.89	3.89	0.29
GDPD2	3.14	0.0	58.71	74.06	48.52	7.57	94.01	55.89	1199.98	555.41	521.76	941.27	153.34	1015.93	25.54	420.68	547.75	11.91	2.01	0.02	0.0	1.55	0.0	1.51	0.0	0.0	14.67	106.63	17.9	0.0	2.84	0.0	0.42
GGT6	0.0	0.39	314.17	138.1	476.71	23.25	363.56	728.11	8421.31	5183.54	5112.16	5872.48	3325.99	7280.4	536.45	4769.75	5041.77	7.88	0.29	0.0	0.0	4.31	93.35	128.79	64.34	4.46	182.55	466.88	198.47	14.78	4.21	4.31	0.0
GIPC1	1651.0	1697.45	3742.05	2573.36	3639.7	1183.45	3190.46	5913.33	7130.55	6792.79	7589.61	6381.92	5183.54	7230.1	3564.78	4298.64	6164.49	4181.07	1447.15	1008.9	1233.75	2061.24	2255.7	2468.49	2384.37	2384.37	3325.99	6337.83	1844.76	1498.22	2875.3	1639.59	1745.2
GMIP	37.85	58.71	236.21	161.02	285.03	33.54	182.55	256.78	551.56	417.77	540.19	476.71	423.61	579.04	175.07	368.65	500.46	173.85	108.14	73.54	33.54	90.14	94.01	75.64	96.68	49.21	88.26	420.68	102.97	218.79	135.24	211.31	78.34
GOLM1	293.07	728.11	1819.35	2119.22	2075.59	409.15	2119.22	2645.74	9409.14	7433.4	5006.93	7230.1	4512.4	7433.4	2417.67	6516.03	7695.57	260.38	262.2	248.0	150.17	312.0	723.08	698.41	595.34	733.19	1745.2	2591.27	1359.57	583.07	293.07	660.68	769.69
GPBP1L1	1191.69	1167.14	1378.57	1697.45	1662.49	1111.82	2075.59	2004.85	2796.65	2061.24	1709.26	2367.9	1628.26	2520.38	1909.85	2163.77	2758.13	1111.82	1498.22	1447.15	1295.13	934.76	1277.29	1104.13	1008.9	1191.69	1909.85	1628.26	1844.76	848.22	854.13	988.12	1059.11
GPR35	24.28	33.3	314.17	197.09	432.53	9.56	387.02	466.88	1832.01	1457.23	988.12	1769.57	669.92	1628.26	373.81	764.36	1594.73	21.94	31.0	34.75	30.78	9.85	15.8	14.35	26.86	26.47	199.85	497.0	94.01	54.33	30.34	71.5	19.53
GPR39	0.0	1.77	85.82	47.84	103.69	3.11	57.89	58.3	483.38	358.54	251.48	473.41	244.57	432.53	93.35	307.69	348.71	7.63	0.0	0.0	0.0	0.0	8.92	12.83	7.94	5.36	21.63	150.17	19.25	33.06	14.24	9.78	1.81
GPT	12.83	14.45	303.44	525.39	878.17	75.11	511.0	379.04	5751.61	4607.24	4066.71	5403.7	2032.85	5329.3	289.02	2739.08	2255.7	7.75	6.89	13.93	5.19	16.03	92.7	44.89	11.3	9.63	148.09	483.38	135.24	28.24	7.94	24.99	4.17
GRTP1	69.52	189.02	500.46	400.71	579.04	185.11	599.49	713.11	1617.0	1216.75	713.11	1369.04	743.43	1268.46	438.59	1127.35	1313.23	158.79	177.53	94.01	164.42	148.09	158.79	246.28	228.13	149.12	540.19	728.11	366.09	159.9	154.42	260.38	183.82
HDHD3	387.02	265.87	1143.1	1001.93	1844.76	291.04	1030.12	2400.97	3303.0	2682.69	2468.49	3190.46	2032.85	4095.0	842.36	2502.97	2855.44	295.11	275.28	258.57	176.29	476.71	543.96	518.15	555.41	473.41	947.83	1519.15	480.04	312.0	503.95	497.0	373.81
HNF4G	0.46	0.2	43.02	85.82	96.01	0.0	112.77	105.15	1216.75	791.35	435.55	718.08	353.59	1030.12	205.5	563.18	854.13	0.0	0.0	0.12	0.0	1.2	6.26	2.92	16.15	2.71	54.33	50.27	35.0	5.96	3.76	4.9	0.0
ICAM3	173.85	231.32	180.02	441.64	529.06	83.45	497.0	954.43	967.76	954.43	981.29	1359.57	764.36	813.63	470.14	703.28	1037.29	186.4	102.97	103.69	141.02	262.2	320.8	371.22	265.87	314.17	490.14	536.45	182.55	318.57	175.07	438.59	351.14
IL22RA1	1.77	8.65	241.19	63.45	71.5	3.06	86.43	78.34	1111.82	540.19	738.29	1008.9	189.02	995.0	100.83	450.94	703.28	68.07	0.0	1.69	0.0	7.88	9.63	6.11	9.85	6.52	49.21	220.32	19.25	16.88	17.64	7.69	1.6
ITPKA	13.22	4.82	92.05	131.51	147.06	22.43	189.02	325.29	1167.14	884.29	406.31	1313.23	518.15	1369.04	121.79	647.07	1111.82	11.3	8.32	3.69	5.59	22.59	18.84	8.99	15.56	8.32	74.58	329.84	74.06	7.75	10.71	16.63	6.41
LGR4	178.77	180.02	665.29	555.41	511.0	275.28	660.68	579.04	1467.37	981.29	890.44	1008.9	723.08	1233.75	780.44	1066.48	981.29	178.77	208.38	220.32	218.79	186.4	265.87	529.06	217.27	450.94	665.29	703.28	674.59	241.19	177.53	406.31	267.73
MANEAL	61.68	25.17	152.28	127.0	138.1	77.25	98.04	142.01	133.36	185.11	193.01	202.66	214.27	178.77	220.32	143.01	195.72	101.54	40.36	46.18	62.12	76.17	71.5	90.77	124.37	96.68	105.89	130.6	90.77	58.3	53.95	79.45	35.25
MPND	603.67	329.84	769.69	547.75	995.0	454.09	743.43	1008.9	1519.15	1250.98	1135.2	1508.65	860.08	1350.18	842.36	1023.0	995.0	368.65	244.57	223.41	287.01	616.37	567.1	693.58	521.76	309.83	514.56	1023.0	540.19	547.75	256.78	305.55	397.93
MTIF2	435.55	229.72	392.44	480.04	493.56	277.2	521.76	555.41	769.69	836.53	583.07	759.08	543.96	656.11	438.59	633.73	651.58	262.2	341.51	253.23	299.25	358.54	429.54	429.54	358.54	454.09	532.74	450.94	521.76	246.28	221.86	224.97	265.87
MUC3A	1.81	5.54	1015.93	285.03	518.15	20.26	381.68	1127.35	5147.73	3901.01	3467.27	4972.34	2133.97	5329.3	1015.93	3060.45	4181.07	224.97	17.9	15.34	10.71	11.55	316.37	26.1	118.43	158.79	334.46	587.13	148.09	71.0	51.71	54.72	23.42
MYH15	3.92	0.42	3.23	4.54	5.23	0.48	6.89	7.88	31.67	18.43	20.56	24.81	10.24	29.7	3.35	18.03	17.77	0.54	1.58	1.5	0.84	1.77	2.36	4.03	1.95	0.77	6.26	4.62	6.57	0.0	0.0	0.24	0.42
NAAA	339.14	346.29	612.11	764.36	981.29	194.36	1794.29	1508.65	4869.99	2485.67	2335.28	4066.71	1037.29	4268.94	915.51	2224.63	2739.08	279.14	258.57	264.03	287.01	264.03	412.0	1111.82	563.18	571.05	967.76	995.0	693.58	191.67	400.71	387.02	486.75
NDUFA10	2119.22	1794.29	2777.33	3467.27	4639.29	2502.97	3280.18	5479.15	6079.61	5329.3	4769.75	5672.41	4704.07	5292.48	4298.64	5219.6	4769.75	2032.85	2075.59	2193.99	2335.28	3467.27	2485.67	2537.92	2335.28	1806.78	3794.3	3794.3	3124.78	2287.2	1769.57	2148.82	2555.58
NDUFAF6	275.28	241.19	332.14	373.81	332.14	329.84	376.41	346.29	525.39	420.68	341.51	420.68	307.69	511.0	269.6	466.88	435.55	291.04	312.0	244.57	275.28	275.28	389.72	346.29	223.41	291.04	503.95	346.29	414.87	162.14	146.03	273.37	242.88
NR1I2	0.89	1.11	249.73	102.25	182.55	3.0	249.73	117.6	1769.57	1331.57	1143.1	2090.03	748.61	2645.74	176.29	1498.22	1977.24	0.95	1.97	0.73	0.59	0.0	4.9	3.06	2.12	0.58	43.32	214.27	75.11	9.2	1.73	2.97	1.13
NR3C2	351.14	57.89	323.03	307.69	327.56	205.5	414.87	283.05	1191.69	633.73	493.56	684.02	429.54	1001.93	253.23	769.69	693.58	19.97	53.19	72.52	80.57	214.27	124.37	186.4	100.13	187.71	244.57	400.71	384.34	239.52	25.54	170.25	80.57
P2RX4	232.94	320.8	514.56	836.53	1127.35	217.27	947.83	1605.83	3081.75	1733.13	2004.85	2855.44	1143.1	3103.19	753.83	1991.0	2061.24	312.0	251.48	224.97	157.68	397.93	457.25	525.39	392.44	299.25	559.28	878.17	497.0	368.65	182.55	202.66	356.05
PAFAH2	143.01	134.3	279.14	281.09	361.04	112.77	320.8	463.65	884.29	591.22	476.71	599.49	381.68	764.36	353.59	543.96	674.59	61.68	57.08	79.45	102.25	127.89	181.28	182.55	236.21	145.02	275.28	277.2	253.23	172.65	180.02	170.25	154.42
PANK1	55.1	31.67	49.91	45.85	99.43	36.01	59.55	170.25	346.29	366.09	237.86	368.65	297.17	476.71	149.12	384.34	366.09	29.27	19.82	15.0	26.1	46.5	55.89	29.7	31.45	56.68	98.73	165.57	279.14	87.03	54.33	33.3	36.53
PBLD	358.54	124.37	264.03	454.09	395.18	65.72	703.28	486.75	2271.4	1561.89	638.15	1923.14	647.07	2417.67	336.79	1540.37	1572.76	18.16	24.46	42.11	54.33	178.77	127.89	341.51	124.37	262.2	325.29	265.87	403.5	103.69	65.72	104.42	172.65
PECR	197.09	147.06	209.84	339.14	320.8	212.78	392.44	387.02	624.99	466.88	246.28	529.06	423.61	536.45	366.09	295.11	529.06	63.0	98.73	120.1	175.07	189.02	202.66	162.14	141.02	135.24	371.22	239.52	301.33	358.54	94.67	193.01	118.43
