	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.CM.6167.01A.11R.1653.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.13PL7.0526.SM.5J2MQ	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.ZVZP.1426.SM.5NQ7R	GTEX.XUZC.0326.SM.4BOO8	GTEX.1212Z.2026.SM.5N9EA	GTEX.UJHI.0926.SM.4IHKF	GTEX.145MO.1526.SM.5QGQC	GTEX.U3ZH.1126.SM.4DXUG	GTEX.QLQW.0626.SM.447A6	GTEX.146FQ.1126.SM.5NQBM	GTEX.ZP4G.0926.SM.4WWF4	GTEX.ZAB5.1026.SM.5HL91	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.XBEW.1426.SM.4AT4J	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.FP.7735.11A.01R.2055.13	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.AX.A0J0.11A.11R.A27V.07	TCGA.FL.A1YG.11A.12R.A16F.07	GTEX.ZP4G.0726.SM.4WWF2	GTEX.13D11.1226.SM.5IFGA	GTEX.PWN1.2026.SM.48TD9	GTEX.11EM3.1926.SM.5987U	GTEX.ZXES.0726.SM.5E451	GTEX.R55G.1626.SM.48FF4	GTEX.145ME.1326.SM.5O98Q	GTEX.U3ZN.0726.SM.4DXT5	GTEX.ZYWO.2126.SM.5GZXF	GTEX.T6MO.1526.SM.4DM57
C11orf57	366.09	432.53	435.55	435.55	414.87	447.82	307.69	376.41	403.5	220.32	351.14	281.09	316.37	264.03	327.56	183.82	199.85	215.77	140.04	236.21	183.82	212.78	190.34	226.54	251.48	220.32	181.28	205.5	209.84	358.54	368.65	260.38	332.14	318.57	392.44	521.76	521.76	395.18	361.04	303.44	389.72	629.35	447.82	460.44	819.3	395.18	669.92	1037.29	406.31	525.39	909.17	500.46	543.96
C14orf119	1388.16	1151.06	1127.35	1733.13	1378.57	1295.13	1151.06	1457.23	1250.98	1259.69	1051.79	981.29	988.12	791.35	1051.79	988.12	1268.46	1167.14	896.64	825.0	759.08	1088.92	1059.11	1467.37	1127.35	1407.55	529.06	743.43	1127.35	1561.89	1167.14	1143.1	1216.75	1477.58	1467.37	1781.89	1208.34	1242.34	1477.58	1457.23	1628.26	1674.06	1447.15	1936.53	2119.22	1781.89	1662.49	1540.37	1950.0	1781.89	1819.35	2104.58	1844.76
C21orf91	105.89	190.34	120.94	177.53	108.14	146.03	100.13	137.14	117.6	262.2	164.42	125.24	127.89	52.45	68.07	58.71	61.25	51.71	41.52	51.71	59.97	65.72	57.08	90.14	67.59	146.03	55.49	73.03	86.43	152.28	87.03	155.5	94.01	110.43	111.21	156.59	177.53	92.05	214.27	281.09	164.42	267.73	182.55	236.21	237.86	205.5	147.06	193.01	104.42	166.73	358.54	211.31	193.01
C4orf46	256.78	71.0	71.5	87.03	73.54	93.35	62.12	91.41	84.63	118.43	73.54	50.63	50.27	21.47	57.49	52.08	31.9	31.67	49.56	23.08	28.65	46.5	32.13	43.94	31.22	47.17	57.49	62.12	34.51	94.01	71.5	71.5	65.72	80.57	92.7	132.44	109.66	56.68	71.5	82.87	105.15	178.77	139.07	143.01	244.57	123.5	108.9	167.9	145.02	139.07	237.86	139.07	111.99
C5orf15	665.29	444.72	397.93	884.29	842.36	769.69	579.04	713.11	521.76	503.95	490.14	323.03	387.02	265.87	314.17	493.56	293.07	336.79	329.84	260.38	392.44	287.01	366.09	368.65	353.59	339.14	275.28	444.72	316.37	638.15	551.56	785.88	791.35	575.03	902.89	941.27	825.0	397.93	607.87	466.88	684.02	1331.57	674.59	1359.57	1242.34	842.36	1066.48	1023.0	1066.48	1529.73	1322.37	1498.22	954.43
CASC4	1096.5	934.76	884.29	1208.34	785.88	1015.93	836.53	1030.12	796.86	780.44	1001.93	819.3	748.61	571.05	624.99	884.29	624.99	629.35	633.73	567.1	915.51	624.99	651.58	703.28	642.59	679.29	848.22	866.07	629.35	1127.35	1268.46	2178.83	1208.34	1008.9	1617.0	1340.84	1259.69	878.17	836.53	872.1	1242.34	1870.53	1183.45	2178.83	1268.46	1561.89	1498.22	1909.85	1322.37	1651.0	1819.35	2255.7	1977.24
CBX1	2018.8	1135.2	1340.84	1427.22	1268.46	1617.0	884.29	1127.35	1639.59	1697.45	928.3	1104.13	819.3	624.99	698.41	1081.39	518.15	718.08	591.22	743.43	633.73	954.43	909.17	2537.92	796.86	1896.65	954.43	854.13	629.35	1295.13	1073.91	1350.18	1127.35	1304.15	1313.23	947.83	1407.55	1143.1	1498.22	842.36	1697.45	2537.92	2255.7	1950.0	2997.45	1991.0	1769.57	1674.06	2047.0	3515.68	4095.0	4575.41	1923.14
CBX3	2384.37	1883.54	1832.01	2417.67	3039.3	4972.34	1832.01	2163.77	1883.54	2875.3	1685.71	1519.15	1427.22	1104.13	1066.48	988.12	1259.69	1242.34	1216.75	1208.34	1151.06	1467.37	1015.93	1001.93	1216.75	1340.84	1313.23	1081.39	1304.15	2119.22	1487.87	1963.57	1540.37	1519.15	2591.27	3168.41	2520.38	1242.34	1304.15	1397.83	2271.4	3257.52	2591.27	2351.53	4450.27	3874.05	2555.58	3794.3	3018.3	2591.27	5791.62	3257.52	3168.41
CCDC59	693.58	1023.0	759.08	928.3	947.83	1191.69	579.04	854.13	612.11	961.07	674.59	759.08	753.83	555.41	890.44	454.09	518.15	555.41	490.14	559.28	555.41	432.53	603.67	579.04	460.44	511.0	567.1	414.87	624.99	1096.5	1208.34	1081.39	1008.9	591.22	1104.13	1417.35	860.08	884.29	620.67	813.63	764.36	1359.57	878.17	1015.93	1295.13	743.43	1407.55	1304.15	796.86	884.29	854.13	1135.2	1044.52
CMTM6	669.92	540.19	426.57	620.67	1015.93	825.0	679.29	728.11	500.46	679.29	503.95	438.59	397.93	307.69	339.14	299.25	358.54	343.89	271.48	265.87	309.83	293.07	341.51	343.89	371.22	447.82	325.29	346.29	327.56	616.37	583.07	819.3	660.68	764.36	1111.82	1051.79	808.0	381.68	435.55	447.82	575.03	1870.53	674.59	1870.53	1605.83	1857.6	1769.57	1437.15	1757.34	1242.34	2573.36	2255.7	1769.57
CNOT7	830.75	848.22	728.11	708.18	890.44	780.44	684.02	679.29	638.15	733.19	612.11	647.07	669.92	426.57	529.06	463.65	460.44	532.74	423.61	514.56	444.72	612.11	514.56	656.11	507.46	743.43	476.71	483.38	529.06	1015.93	629.35	679.29	775.05	819.3	1037.29	1030.12	934.76	547.75	567.1	563.18	842.36	1313.23	890.44	896.64	1378.57	775.05	909.17	1030.12	1096.5	743.43	1572.76	1540.37	1008.9
COMMD2	381.68	323.03	299.25	503.95	406.31	376.41	353.59	441.64	435.55	460.44	361.04	373.81	361.04	281.09	234.57	253.23	255.0	285.03	171.45	198.47	169.07	242.88	392.44	351.14	334.46	323.03	141.02	366.09	320.8	511.0	387.02	332.14	409.15	417.77	460.44	575.03	435.55	318.57	454.09	476.71	400.71	629.35	483.38	629.35	511.0	612.11	525.39	414.87	555.41	638.15	540.19	651.58	341.51
CRKL	595.34	616.37	511.0	511.0	514.56	587.13	571.05	599.49	638.15	780.44	669.92	559.28	579.04	363.56	457.25	450.94	351.14	409.15	406.31	395.18	403.5	426.57	368.65	486.75	426.57	633.73	336.79	420.68	351.14	454.09	563.18	698.41	518.15	559.28	563.18	500.46	728.11	476.71	698.41	612.11	543.96	791.35	555.41	785.88	1286.18	629.35	571.05	753.83	529.06	633.73	878.17	974.5	743.43
DCTD	1242.34	1111.82	1073.91	1457.23	1781.89	1674.06	1059.11	1183.45	1183.45	785.88	1143.1	819.3	1119.56	819.3	967.76	967.76	1044.52	915.51	791.35	753.83	967.76	1015.93	902.89	1417.35	1066.48	1104.13	743.43	860.08	921.88	1225.22	1540.37	1216.75	1277.29	1561.89	1769.57	1477.58	1417.35	1183.45	921.88	753.83	1467.37	1794.29	1437.15	1963.57	1870.53	1639.59	1685.71	2573.36	1709.26	1286.18	2287.2	2468.49	2075.59
DHX40	616.37	684.02	647.07	591.22	490.14	688.78	414.87	551.56	575.03	543.96	532.74	529.06	432.53	181.28	389.72	242.88	301.33	301.33	242.88	251.48	379.04	366.09	293.07	358.54	392.44	454.09	332.14	291.04	356.05	616.37	563.18	587.13	511.0	460.44	647.07	684.02	713.11	450.94	444.72	325.29	624.99	872.1	555.41	698.41	1051.79	373.81	954.43	1250.98	470.14	825.0	1572.76	507.46	941.27
DUSP11	334.46	363.56	316.37	665.29	387.02	463.65	309.83	414.87	283.05	473.41	444.72	191.67	242.88	195.72	275.28	224.97	224.97	175.07	217.27	223.41	217.27	221.86	287.01	255.0	226.54	275.28	208.38	228.13	248.0	518.15	651.58	529.06	441.64	291.04	336.79	612.11	438.59	285.03	470.14	348.71	536.45	941.27	540.19	607.87	1225.22	483.38	599.49	1127.35	450.94	679.29	651.58	733.19	579.04
EIF1AX	1208.34	1111.82	1159.07	1857.6	1628.26	1923.14	928.3	1467.37	1066.48	1447.15	954.43	1540.37	1059.11	748.61	1023.0	507.46	547.75	718.08	500.46	693.58	698.41	728.11	591.22	713.11	928.3	813.63	616.37	507.46	674.59	1250.98	1242.34	1313.23	954.43	1167.14	1733.13	2319.15	1745.2	1015.93	988.12	802.41	1709.26	2133.97	1857.6	2609.3	2645.74	2209.26	2485.67	2417.67	3349.13	1896.65	1662.49	3325.99	2271.4
ENOX2	232.94	275.28	253.23	158.79	148.09	208.38	144.01	131.51	249.73	217.27	153.34	180.02	101.54	80.01	103.69	73.03	136.19	111.99	100.13	94.67	131.51	137.14	59.55	152.28	147.06	142.01	130.6	78.34	107.38	212.78	229.72	155.5	194.36	141.02	193.01	144.01	181.28	87.03	130.6	118.43	182.55	199.85	193.01	220.32	483.38	162.14	256.78	241.19	185.11	162.14	379.04	255.0	234.57
ERH	2720.15	2271.4	2209.26	3955.48	3614.55	3395.89	2271.4	2816.11	2816.11	3515.68	1757.34	1745.2	1733.13	1447.15	1709.26	1697.45	1977.24	1639.59	1923.14	1508.65	1551.09	1388.16	1407.55	2047.0	1685.71	2004.85	1639.59	1487.87	1572.76	3168.41	3146.52	2935.74	3443.31	2351.53	4010.71	4210.15	2796.65	2104.58	2163.77	1963.57	3039.3	4671.57	3419.52	4543.8	4575.41	4903.87	4388.98	4704.07	4802.93	4152.18	3690.52	4328.55	3690.52
FAM175B	253.23	244.57	237.86	260.38	221.86	237.86	195.72	267.73	265.87	185.11	209.84	185.11	193.01	161.02	165.57	140.04	186.4	162.14	135.24	153.34	146.03	178.77	144.01	241.19	215.77	214.27	125.24	164.42	183.82	234.57	232.94	237.86	264.03	232.94	307.69	273.37	287.01	166.73	289.02	229.72	264.03	318.57	224.97	373.81	361.04	341.51	348.71	325.29	314.17	293.07	251.48	327.56	299.25
GABPA	285.03	285.03	229.72	366.09	224.97	356.05	262.2	318.57	285.03	283.05	299.25	223.41	262.2	137.14	169.07	172.65	171.45	151.22	142.01	177.53	215.77	194.36	150.17	161.02	183.82	229.72	231.32	176.29	195.72	253.23	267.73	193.01	226.54	157.68	253.23	392.44	454.09	218.79	229.72	258.57	376.41	599.49	371.22	450.94	603.67	251.48	389.72	559.28	373.81	297.17	438.59	591.22	507.46
GOLGA7	1051.79	1127.35	1096.5	1151.06	981.29	1051.79	764.36	1096.5	1111.82	808.0	866.07	981.29	748.61	547.75	796.86	551.56	796.86	674.59	629.35	708.18	642.59	825.0	638.15	1037.29	884.29	981.29	540.19	679.29	941.27	1216.75	854.13	728.11	961.07	915.51	1313.23	1457.23	1167.14	1331.57	1313.23	1697.45	1540.37	1427.22	1277.29	1519.15	1628.26	1963.57	1769.57	1233.75	2004.85	1044.52	2720.15	2075.59	1529.73
GPX8	642.59	208.38	205.5	785.88	723.08	896.64	198.47	320.8	525.39	412.0	473.41	237.86	176.29	202.66	141.02	406.31	201.25	199.85	218.79	189.02	307.69	267.73	172.65	387.02	242.88	293.07	154.42	384.34	232.94	718.08	624.99	483.38	633.73	242.88	395.18	384.34	454.09	148.09	341.51	202.66	854.13	967.76	1015.93	1369.04	1322.37	1561.89	848.22	660.68	4450.27	1225.22	1369.04	1167.14	1936.53
HDAC2	1369.04	1529.73	1457.23	1437.15	1896.65	1794.29	1340.84	1397.83	1397.83	1508.65	1073.91	1286.18	1081.39	813.63	981.29	819.3	988.12	988.12	928.3	860.08	928.3	1015.93	748.61	1407.55	988.12	1322.37	1051.79	825.0	954.43	1519.15	1397.83	1322.37	1407.55	1662.49	2018.8	1697.45	1561.89	1127.35	1127.35	1183.45	1594.73	2224.63	1977.24	1781.89	2915.45	2240.11	1844.76	1662.49	2434.5	3081.75	3690.52	3690.52	1583.71
HOXA10	1151.06	733.19	954.43	1936.53	836.53	1250.98	1015.93	1159.07	1883.54	7.63	3.76	0.73	1.01	0.87	2.27	0.0	8.06	4.43	3.03	5.06	4.31	1.27	2.43	4.28	2.18	1.38	2.61	0.42	0.0	1023.0	836.53	1135.2	1096.5	1001.93	1467.37	836.53	1066.48	1.64	5.02	6.84	2701.35	3018.3	4358.66	2417.67	4704.07	10225.32	1143.1	2664.15	4937.99	2367.9	4095.0	2335.28	2075.59
HOXD10	78.34	43.02	23.93	1044.52	220.32	343.89	191.67	178.77	748.61	17.13	0.0	3.26	1.99	0.06	0.0	7.69	7.0	0.77	16.03	1.85	5.23	0.39	0.02	0.0	2.43	2.18	0.0	5.87	1.53	141.02	115.16	41.81	26.1	30.56	22.43	567.1	232.94	0.0	0.0	0.0	1477.58	1685.71	2240.11	318.57	1242.34	480.04	273.37	1030.12	1008.9	872.1	1551.09	339.14	547.75
HOXD9	42.71	40.64	18.16	813.63	392.44	348.71	204.07	211.31	674.59	47.5	31.0	15.0	29.48	7.0	2.56	28.04	34.51	8.19	27.44	17.13	16.63	12.64	3.32	7.22	12.27	4.82	2.71	19.11	12.45	93.35	88.88	44.89	29.06	37.05	15.56	194.36	208.38	7.94	20.56	20.26	1199.98	961.07	1199.98	356.05	1081.39	579.04	420.68	1208.34	836.53	642.59	1295.13	567.1	540.19
HSPA13	432.53	271.48	258.57	334.46	293.07	244.57	191.67	256.78	258.57	202.66	249.73	224.97	199.85	118.43	148.09	164.42	111.99	145.02	115.97	88.26	148.09	112.77	120.94	170.25	145.02	194.36	120.1	154.42	126.12	346.29	316.37	381.68	314.17	529.06	607.87	320.8	309.83	217.27	318.57	231.32	392.44	563.18	457.25	599.49	483.38	571.05	395.18	387.02	665.29	476.71	567.1	669.92	351.14
IFT52	688.78	543.96	540.19	995.0	480.04	878.17	486.75	616.37	587.13	547.75	518.15	397.93	381.68	368.65	441.64	400.71	450.94	343.89	463.65	361.04	371.22	412.0	450.94	511.0	397.93	356.05	356.05	409.15	463.65	961.07	848.22	796.86	825.0	753.83	1111.82	825.0	651.58	575.03	642.59	423.61	967.76	1175.27	1183.45	934.76	1286.18	1286.18	1135.2	1259.69	796.86	1225.22	1467.37	1104.13	1119.56
ISY1	934.76	995.0	819.3	995.0	651.58	947.83	759.08	703.28	928.3	674.59	599.49	607.87	532.74	285.03	486.75	503.95	543.96	503.95	432.53	406.31	503.95	412.0	514.56	743.43	595.34	896.64	309.83	540.19	536.45	1023.0	728.11	693.58	616.37	642.59	825.0	934.76	796.86	543.96	575.03	457.25	1030.12	1151.06	1008.9	1088.92	1519.15	748.61	988.12	1073.91	1167.14	1259.69	1250.98	1051.79	555.41
JRKL	147.06	175.07	124.37	232.94	145.02	244.57	143.01	132.44	138.1	114.36	152.28	94.01	106.63	76.17	109.66	100.83	65.26	71.5	58.71	85.82	84.63	120.1	110.43	137.14	91.41	157.68	74.06	100.83	74.58	170.25	138.1	138.1	135.24	161.02	116.78	147.06	220.32	76.71	78.34	71.0	171.45	271.48	182.55	307.69	450.94	162.14	178.77	218.79	241.19	224.97	273.37	441.64	447.82
KHDRBS1	2240.11	2224.63	1832.01	2319.15	1806.78	2148.82	1806.78	1832.01	2004.85	1662.49	1561.89	1697.45	1519.15	1127.35	1286.18	988.12	1127.35	954.43	1167.14	1135.2	1259.69	1313.23	1183.45	1447.15	1447.15	1175.27	1331.57	954.43	1313.23	1757.34	2351.53	1819.35	2271.4	1857.6	2351.53	1697.45	2255.7	1508.65	1551.09	1457.23	2335.28	3665.02	3235.01	3690.52	3820.7	3564.78	3060.45	3820.7	2720.15	2796.65	4607.24	3257.52	2915.45
KIAA1143	414.87	514.56	435.55	397.93	361.04	551.56	320.8	332.14	392.44	336.79	409.15	441.64	373.81	175.07	234.57	197.09	183.82	193.01	167.9	172.65	173.85	214.27	242.88	215.77	232.94	234.57	199.85	155.5	218.79	376.41	299.25	329.84	417.77	373.81	656.11	457.25	521.76	373.81	314.17	336.79	373.81	607.87	435.55	529.06	607.87	480.04	616.37	713.11	457.25	450.94	703.28	460.44	507.46
KLHL7	595.34	500.46	525.39	540.19	426.57	587.13	406.31	507.46	629.35	693.58	476.71	567.1	432.53	242.88	303.44	256.78	297.17	301.33	277.2	291.04	363.56	423.61	334.46	551.56	339.14	493.56	387.02	334.46	412.0	647.07	473.41	674.59	540.19	607.87	723.08	674.59	587.13	339.14	457.25	397.93	587.13	708.18	521.76	819.3	660.68	521.76	591.22	435.55	514.56	791.35	1037.29	947.83	656.11
KLHL9	429.54	356.05	307.69	403.5	287.01	395.18	314.17	336.79	381.68	215.77	329.84	260.38	277.2	163.28	234.57	138.1	155.5	166.73	76.17	164.42	136.19	236.21	212.78	320.8	226.54	376.41	104.42	131.51	217.27	406.31	291.04	332.14	353.59	450.94	376.41	363.56	450.94	236.21	307.69	187.71	483.38	543.96	395.18	819.3	679.29	620.67	559.28	525.39	708.18	486.75	733.19	775.05	567.1
LAPTM4B	1304.15	1088.92	1277.29	1159.07	1143.1	1487.87	571.05	713.11	575.03	1250.98	1529.73	612.11	1143.1	583.07	444.72	567.1	260.38	387.02	444.72	532.74	532.74	563.18	2004.85	915.51	480.04	753.83	249.73	356.05	384.34	1096.5	1111.82	915.51	1388.16	2287.2	1540.37	612.11	651.58	1457.23	4268.94	1844.76	1519.15	5041.77	1242.34	2609.3	1870.53	4095.0	4736.79	2434.5	5517.27	2133.97	5076.84	3443.31	2209.26
MAGOH	921.88	1199.98	1001.93	1733.13	1225.22	1721.16	1030.12	1304.15	961.07	1388.16	866.07	902.89	961.07	669.92	819.3	693.58	796.86	733.19	947.83	567.1	796.86	791.35	703.28	1001.93	708.18	947.83	693.58	599.49	802.41	1216.75	1313.23	1051.79	1159.07	1286.18	1437.15	1733.13	1250.98	974.5	1225.22	1073.91	1529.73	2224.63	1745.2	2075.59	3039.3	1781.89	2287.2	2018.8	2133.97	2090.03	1487.87	3467.27	1605.83
MAGT1	500.46	429.54	406.31	642.59	575.03	616.37	518.15	521.76	339.14	420.68	429.54	343.89	397.93	293.07	244.57	409.15	237.86	273.37	237.86	215.77	332.14	371.22	256.78	316.37	281.09	366.09	248.0	343.89	253.23	679.29	624.99	684.02	599.49	769.69	890.44	748.61	612.11	384.34	447.82	373.81	529.06	1088.92	738.29	934.76	974.5	981.29	1008.9	848.22	1216.75	669.92	728.11	902.89	769.69
MED4	1322.37	1250.98	1286.18	1508.65	1259.69	1697.45	1159.07	1331.57	1378.57	1388.16	1242.34	1259.69	1066.48	1331.57	878.17	878.17	1135.2	1208.34	1001.93	1030.12	954.43	928.3	1216.75	1331.57	1167.14	1030.12	1175.27	1044.52	1167.14	1322.37	1216.75	1519.15	1427.22	1104.13	1896.65	1583.71	1437.15	1073.91	1350.18	1250.98	1295.13	1628.26	1697.45	1529.73	1896.65	2287.2	2018.8	2061.24	1950.0	1572.76	1769.57	1605.83	1697.45
