	TCGA.A2.A3XW.01A.11R.A239.07	GTEX.139TS.2226.SM.5J2N1	GTEX.11P81.1426.SM.5P9JN	GTEX.Z93S.2626.SM.57WBX	GTEX.132AR.2826.SM.5IJFV	GTEX.131XE.1026.SM.5EGKE	TCGA.38.4625.01A.01R.1206.07.1	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.G9.6333.11A.01R.1965.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12WSH.0226.SM.5GCOG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
C9orf156	234.57	148.09	295.11	161.02	212.78	199.85	0.0	169.07	204.07	285.03	327.56	309.83	262.2	248.0	289.02	236.21	253.23	486.75	713.11	409.15	521.76	567.1	334.46	460.44	595.34	463.65	723.08	633.73	368.65	543.96	836.53	579.04	571.05	460.44	674.59	518.15	703.28	733.19	713.11	575.03	551.56	486.75	836.53	738.29	371.22	660.68	575.03	599.49	521.76	543.96	902.89	583.07	518.15	351.14	366.09	327.56	511.0	466.88
CCDC41	58.3	94.67	56.28	118.43	65.26	52.45	0.39	113.56	71.0	94.67	73.54	108.14	93.35	109.66	68.07	131.51	81.71	246.28	208.38	157.68	217.27	246.28	159.9	185.11	253.23	232.94	236.21	234.57	217.27	177.53	229.72	190.34	201.25	178.77	167.9	138.1	175.07	285.03	185.11	244.57	150.17	253.23	231.32	197.09	323.03	211.31	262.2	173.85	201.25	122.64	172.65	183.82	224.97	169.07	234.57	148.09	193.01	197.09
CCNYL1	59.97	153.34	281.09	197.09	189.02	297.17	0.01	40.07	145.02	215.77	131.51	189.02	90.77	170.25	165.57	204.07	142.01	176.29	269.6	204.07	314.17	323.03	142.01	166.73	215.77	232.94	353.59	307.69	228.13	234.57	267.73	371.22	279.14	146.03	246.28	271.48	198.47	327.56	297.17	312.0	379.04	343.89	273.37	356.05	307.69	525.39	312.0	348.71	381.68	275.28	279.14	368.65	249.73	187.71	205.5	186.4	209.84	177.53
CLIP4	149.12	258.57	189.02	234.57	275.28	389.72	0.75	35.0	334.46	115.97	279.14	169.07	291.04	289.02	147.06	323.03	147.06	454.09	974.5	305.55	1044.52	1135.2	426.57	591.22	1857.6	866.07	934.76	1242.34	559.28	669.92	896.64	540.19	791.35	346.29	684.02	688.78	540.19	1151.06	802.41	981.29	974.5	947.83	802.41	1066.48	587.13	947.83	1119.56	848.22	854.13	457.25	1119.56	1096.5	563.18	785.88	688.78	460.44	500.46	435.55
DCAF8	1175.27	1721.16	1685.71	1437.15	1268.46	1757.34	796.86	1135.2	2400.97	1991.0	1923.14	1936.53	1477.58	2090.03	1936.53	2417.67	2319.15	2384.37	3639.7	2090.03	3081.75	3874.05	1674.06	2193.99	4575.41	2451.44	3103.19	4543.8	2537.92	3639.7	4066.71	3716.2	3768.09	2758.13	2627.46	2816.11	2451.44	3794.3	3124.78	3928.15	3018.3	3103.19	3395.89	3564.78	3901.01	3039.3	4038.61	3303.0	3540.14	2682.69	3820.7	4181.07	3467.27	2148.82	2520.38	1896.65	3690.52	2468.49
DTD1	693.58	612.11	595.34	381.68	228.13	226.54	295.11	733.19	414.87	450.94	500.46	480.04	587.13	441.64	460.44	447.82	511.0	941.27	723.08	813.63	915.51	928.3	679.29	825.0	669.92	878.17	1167.14	769.69	808.0	748.61	728.11	854.13	961.07	791.35	836.53	808.0	1030.12	961.07	1088.92	1066.48	928.3	974.5	981.29	902.89	764.36	954.43	748.61	1081.39	981.29	921.88	1023.0	813.63	638.15	733.19	607.87	728.11	775.05	830.75
E2F3	35.0	45.21	43.32	80.01	46.5	63.0	103.69	78.34	50.27	38.95	41.52	22.92	63.89	44.57	31.0	54.72	33.78	186.4	170.25	109.66	249.73	251.48	101.54	182.55	275.28	178.77	237.86	212.78	155.5	150.17	198.47	146.03	232.94	94.67	143.01	199.85	114.36	153.34	214.27	239.52	186.4	285.03	152.28	236.21	189.02	275.28	277.2	176.29	234.57	156.59	141.02	273.37	129.69	152.28	172.65	127.89	187.71	202.66
EML4	158.79	329.84	255.0	339.14	293.07	301.33	0.06	264.03	248.0	273.37	293.07	215.77	279.14	262.2	195.72	339.14	255.0	607.87	470.14	373.81	665.29	624.99	303.44	400.71	921.88	595.34	540.19	483.38	497.0	450.94	454.09	591.22	441.64	412.0	476.71	414.87	463.65	429.54	540.19	529.06	420.68	688.78	454.09	480.04	669.92	591.22	607.87	503.95	551.56	371.22	567.1	603.67	587.13	432.53	358.54	361.04	525.39	503.95
EPB41L5	131.51	189.02	122.64	157.68	107.38	211.31	0.2	483.38	159.9	151.22	218.79	193.01	283.05	190.34	212.78	214.27	312.0	738.29	1119.56	353.59	890.44	921.88	368.65	591.22	525.39	633.73	753.83	1733.13	738.29	603.67	878.17	796.86	848.22	412.0	679.29	583.07	463.65	796.86	941.27	1030.12	988.12	860.08	579.04	1015.93	1059.11	791.35	728.11	902.89	1051.79	463.65	656.11	1008.9	656.11	708.18	1001.93	435.55	813.63	616.37
FBXL2	70.51	110.43	83.45	108.9	50.98	115.97	0.3	180.02	185.11	59.55	170.25	119.26	118.43	151.22	104.42	193.01	151.22	435.55	429.54	332.14	612.11	575.03	432.53	595.34	603.67	551.56	412.0	738.29	432.53	525.39	432.53	540.19	518.15	466.88	599.49	409.15	599.49	403.5	323.03	490.14	444.72	460.44	420.68	607.87	476.71	463.65	571.05	373.81	642.59	373.81	575.03	264.03	555.41	490.14	463.65	579.04	486.75	514.56
