	GTEX.131XE.0826.SM.5HL9W	GTEX.1399R.2226.SM.5P9JB	GTEX.P4QT.1426.SM.3NMCX	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.WFON.1326.SM.4LVMN	GTEX.U4B1.1126.SM.4DXV3	GTEX.146FQ.1926.SM.5NQBY	GTEX.14E6E.1526.SM.5RQIG	GTEX.X3Y1.1726.SM.4PQZL	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.TML8.1326.SM.4DXTO	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.132AR.2726.SM.5PNVN	GTEX.1128S.1626.SM.5H12O	GTEX.11EM3.1526.SM.5A5KN	GTEX.UJHI.1126.SM.4IHLN	GTEX.139YR.2126.SM.5KM11	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZZ64.0726.SM.5GZX4	GTEX.11DXZ.1726.SM.5H12M	GTEX.YEC3.2026.SM.4WWFL	GTEX.ZGAY.2126.SM.4YCFB	GTEX.QCQG.1626.SM.48U26	GTEX.Y3IK.1826.SM.4WWDS	GTEX.145ME.0826.SM.5O9AF	GTEX.11VI4.1526.SM.5EQKC	GTEX.ZXES.1626.SM.5NQ7L	GTEX.ZT9W.1826.SM.51MQX	GTEX.1497J.2126.SM.5NQB8	GTEX.13QBU.0826.SM.5IJBU	GTEX.13O61.1026.SM.5L3F6	GTEX.WFG8.1026.SM.4LVMZ	GTEX.SE5C.1326.SM.4BRUH	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12KS4.1326.SM.5LUB3	GTEX.13OW6.2626.SM.5IFF2	GTEX.146FR.2026.SM.5NQAI	GTEX.1211K.1426.SM.5FQTF	GTEX.12C56.0526.SM.5FQST	GTEX.Q2AI.0826.SM.48TZO
AMN1	71.0	38.67	63.45	84.63	66.18	140.04	87.65	68.07	56.68	90.14	80.57	81.14	83.45	69.52	56.28	135.24	84.04	65.26	65.72	102.25	120.94	60.39	154.42	94.01	94.01	53.95	134.3	97.36	137.14	53.19	171.45	351.14	229.72	133.36	244.57	128.79	79.45	26.1	94.01	79.45	102.25	103.69	67.59	92.7	94.01	153.34	211.31
AMPH	35.0	4.24	16.15	29.27	15.45	102.97	26.67	20.41	2.94	30.56	35.25	8.45	22.92	11.04	28.24	55.49	28.86	5.87	31.67	48.87	43.02	8.25	47.17	22.43	23.93	9.85	64.8	26.28	87.65	9.85	84.63	98.73	127.0	90.14	81.14	13.93	2.14	12.18	6.16	14.89	5.82	19.53	10.47	121.79	136.19	154.42	16.39
APOLD1	46.5	28.65	93.35	25.35	54.33	409.15	63.0	53.95	96.68	102.97	133.36	17.0	53.95	27.84	27.25	665.29	106.63	29.48	80.01	54.33	395.18	40.64	373.81	236.21	136.19	57.49	299.25	161.02	432.53	46.18	571.05	764.36	830.75	591.22	555.41	438.59	109.66	24.46	30.34	50.98	36.53	412.0	80.01	493.56	454.09	1639.59	70.51
ARHGAP31	73.54	14.14	35.25	55.49	63.45	447.82	63.89	56.28	16.03	100.13	64.8	46.84	34.26	44.89	42.41	86.43	92.05	32.36	94.67	115.97	130.6	43.63	244.57	122.64	89.51	55.49	212.78	147.06	387.02	26.28	348.71	269.6	218.79	191.67	281.09	36.27	33.06	33.3	5.77	15.34	21.78	53.95	52.45	371.22	318.57	426.57	72.01
AXL	217.27	75.64	190.34	269.6	142.01	1259.69	127.0	191.67	50.63	563.18	329.84	81.71	158.79	129.69	120.1	406.31	323.03	129.69	178.77	503.95	633.73	100.13	836.53	579.04	161.02	144.01	764.36	287.01	995.0	112.77	1175.27	1313.23	1143.1	1175.27	1044.52	191.67	139.07	195.72	35.76	43.32	92.7	193.01	60.39	1639.59	1923.14	1417.35	156.59
BCAT1	37.05	5.63	19.82	17.0	20.56	878.17	19.39	23.25	18.43	99.43	93.35	24.46	52.82	10.63	47.5	255.0	85.82	15.56	81.71	102.25	147.06	8.65	187.71	100.83	104.42	13.72	226.54	339.14	1605.83	13.52	595.34	256.78	371.22	161.02	120.94	21.16	15.0	3.47	2.76	2.61	15.45	34.26	2.71	109.66	264.03	176.29	13.83
BEST1	34.75	35.76	38.4	29.7	41.52	120.94	34.51	38.67	52.82	78.34	69.52	35.5	35.0	44.57	57.08	123.5	44.25	27.64	37.85	43.63	86.43	37.59	87.65	76.71	87.03	45.53	90.14	74.06	149.12	35.0	480.04	169.07	129.69	175.07	447.82	26.28	16.63	20.26	15.34	23.76	13.72	66.18	12.93	67.59	95.34	161.02	35.5
C7	532.74	74.58	718.08	490.14	285.03	5791.62	454.09	624.99	44.89	1498.22	1151.06	144.01	363.56	153.34	100.83	1617.0	543.96	195.72	1605.83	1051.79	3325.99	77.79	8134.41	2075.59	1023.0	575.03	3928.15	928.3	3060.45	59.13	20737.16	10225.32	7382.04	7642.41	2573.36	8840.04	3928.15	339.14	1572.76	1561.89	351.14	2400.97	3018.3	10225.32	13306.94	19892.37	193.01
CALCRL	71.0	38.95	34.26	24.28	128.79	493.56	106.63	139.07	36.79	105.89	77.79	50.98	77.25	62.56	81.14	115.97	105.15	50.27	185.11	94.01	130.6	57.08	329.84	135.24	94.67	94.01	221.86	236.21	884.29	17.64	738.29	497.0	470.14	303.44	208.38	137.14	94.01	40.36	21.32	51.71	20.86	228.13	223.41	555.41	320.8	503.95	100.13
CLIC4	713.11	217.27	703.28	633.73	603.67	2855.44	511.0	620.67	395.18	1540.37	896.64	389.72	791.35	521.76	543.96	1304.15	753.83	325.29	708.18	1617.0	2075.59	368.65	2609.3	1883.54	688.78	624.99	2417.67	1295.13	2777.33	264.03	4095.0	6121.9	3467.27	5006.93	5872.48	688.78	450.94	620.67	500.46	454.09	503.95	813.63	915.51	4010.71	4639.29	7331.05	708.18
CORO6	29.06	4.66	61.25	34.02	26.86	791.35	11.64	44.57	68.55	193.01	120.1	9.48	26.47	11.73	4.98	153.34	69.03	21.01	34.51	71.5	163.28	14.67	473.41	148.09	95.34	33.54	201.25	204.07	583.07	59.97	2555.58	1781.89	1870.53	2573.36	2047.0	8.51	9.63	12.36	2.29	5.68	3.89	19.39	8.58	285.03	708.18	248.0	28.04
CPNE9	1.38	0.33	11.82	7.0	4.74	14.78	0.0	1.95	0.05	4.43	6.21	0.0	1.1	1.04	0.64	9.85	0.0	9.7	4.54	5.45	11.04	0.09	28.24	12.83	3.11	2.92	12.09	4.78	15.45	0.82	2.34	1.99	12.64	1.64	4.74	0.09	1.41	0.48	0.0	0.4	3.63	2.01	1.2	5.59	12.45	23.59	2.39
CTGF	490.14	785.88	633.73	406.31	860.08	5672.41	1572.76	529.06	1175.27	6983.79	2335.28	543.96	836.53	395.18	642.59	1844.76	1794.29	718.08	825.0	8901.53	4095.0	536.45	6426.31	3443.31	2193.99	2520.38	6121.9	2664.15	7032.37	624.99	3124.78	10368.08	9808.75	13586.57	6164.49	3081.75	764.36	314.17	660.68	395.18	381.68	5872.48	3257.52	4419.52	4869.99	13399.51	995.0
CYP1B1	83.45	9.48	11.3	8.25	13.03	151.22	17.9	11.04	7.0	88.88	32.13	9.85	48.52	6.16	23.42	68.07	60.39	13.72	71.0	124.37	98.04	7.34	412.0	142.01	29.06	21.47	80.57	100.83	813.63	3.11	366.09	511.0	384.34	358.54	1127.35	37.05	45.53	41.22	59.55	131.51	75.11	38.67	16.27	2520.38	1407.55	2485.67	57.89
CYP4B1	7.94	11.21	66.65	4.74	23.25	642.59	28.45	17.9	130.6	547.75	381.68	16.39	65.26	1.23	18.84	145.02	202.66	32.36	38.67	33.54	366.09	12.64	624.99	169.07	314.17	22.59	624.99	616.37	775.05	22.43	6337.83	2400.97	2047.0	2148.82	1745.2	0.0	1.13	3.32	2.61	6.57	0.0	3.2	2.51	1088.92	2976.74	587.13	28.04
DAAM2	111.99	17.38	186.4	85.22	106.63	698.41	115.16	67.12	29.06	323.03	229.72	33.78	120.1	66.65	61.25	214.27	303.44	46.5	116.78	248.0	476.71	63.89	1832.01	318.57	253.23	59.13	490.14	346.29	1104.13	126.12	1143.1	2163.77	3491.39	2935.74	2451.44	58.3	30.78	59.13	35.5	30.78	19.82	90.14	112.77	1794.29	1487.87	1359.57	119.26
DHH	6.62	6.31	5.73	7.94	5.11	34.26	3.66	11.82	2.39	10.96	5.92	9.06	4.98	4.43	5.68	4.31	11.04	3.47	15.68	11.55	15.56	3.41	23.93	7.75	4.1	5.87	31.0	22.43	30.34	1.57	32.13	45.21	15.34	12.74	141.02	5.36	1.0	1.22	0.0	0.0	0.0	5.5	6.36	16.15	22.92	21.78	3.89
EVA1C	186.4	98.73	248.0	115.97	118.43	669.92	255.0	190.34	232.94	490.14	371.22	118.43	130.6	99.43	85.22	423.61	253.23	134.3	148.09	226.54	703.28	153.34	567.1	500.46	348.71	170.25	753.83	429.54	1199.98	316.37	1350.18	1477.58	1081.39	1617.0	1295.13	242.88	43.02	10.0	80.01	100.13	41.52	305.55	212.78	1066.48	1167.14	1407.55	497.0
FABP1	925580.18	2011721.67	1085552.95	925580.18	1412675.8	9606.86	938500.81	1070607.81	1070607.81	221968.2	569761.05	817012.28	1155430.26	1041331.96	951601.81	211455.3	1078054.48	1034138.94	1019901.63	711250.37	402881.61	1093103.58	153724.82	636586.81	706337.4	1238359.56	7966.99	373305.21	7857.29	1273174.62	130.6	2.68	0.96	15.45	21.16	2599854.48	2201414.44	1290947.48	1308968.45	2845004.48	919186.72	5420519.65	1691649.38	239.52	353.59	1023.0	1393227.06
FAM155A	8.85	1.89	5.63	1.31	3.44	80.57	4.5	8.25	1.08	9.27	12.83	3.5	1.33	3.26	1.31	5.68	13.42	7.82	9.48	13.62	16.88	3.03	21.16	17.0	19.82	3.38	34.75	19.53	106.63	1.16	20.86	32.82	15.91	14.35	10.47	4.58	1.79	2.34	0.0	0.0	0.0	0.73	6.06	23.59	37.32	35.76	4.74
FBLN5	473.41	120.1	454.09	387.02	158.79	3768.09	327.56	346.29	96.01	967.76	616.37	172.65	271.48	178.77	157.68	1159.07	543.96	223.41	723.08	1096.5	1059.11	162.14	2133.97	1250.98	738.29	208.38	1923.14	1350.18	5403.7	128.79	4736.79	5255.91	3443.31	2032.85	1991.0	860.08	624.99	211.31	341.51	457.25	264.03	995.0	808.0	8840.04	8658.09	3168.41	457.25
FBN1	379.04	30.78	181.28	323.03	85.82	2468.49	204.07	255.0	59.13	866.07	414.87	93.35	429.54	171.45	129.69	866.07	660.68	101.54	540.19	620.67	759.08	111.99	4543.8	854.13	547.75	90.14	1794.29	981.29	6887.62	46.5	1561.89	2271.4	2682.69	2090.03	1295.13	126.12	123.5	70.01	49.21	31.22	17.51	128.79	113.56	2645.74	2032.85	1259.69	117.6
FBXL7	73.54	24.11	69.03	66.18	26.28	260.38	42.11	49.21	15.91	175.07	81.71	25.35	57.08	39.79	32.36	117.6	49.56	29.7	69.03	122.64	228.13	33.54	220.32	167.9	53.57	43.94	251.48	106.63	275.28	17.13	368.65	327.56	348.71	305.55	373.81	48.52	11.38	35.5	6.06	7.94	14.14	81.71	41.22	769.69	651.58	490.14	44.89
FGF10	30.56	3.59	13.42	26.1	11.73	206.94	16.75	29.7	9.56	55.49	21.63	9.78	32.36	4.74	17.13	68.07	39.22	4.78	72.01	50.63	77.79	6.73	43.63	74.06	26.47	18.16	88.88	94.67	384.34	0.66	450.94	110.43	69.52	53.95	114.36	2.94	0.0	0.0	0.0	2.07	0.0	4.54	0.0	395.18	147.06	638.15	4.86
FHL5	31.45	9.13	13.22	20.86	20.11	387.02	25.91	35.0	13.03	88.26	81.14	12.93	49.21	8.92	29.27	187.71	59.13	6.57	70.01	65.72	94.01	6.73	217.27	122.64	82.87	27.84	334.46	139.07	473.41	6.36	629.35	2520.38	271.48	295.11	536.45	13.72	0.95	0.18	1.89	1.75	0.13	15.68	11.21	267.73	403.5	579.04	18.7
FOXC2	5.87	0.83	1.25	5.96	0.49	12.45	0.0	8.19	0.0	15.0	6.89	0.41	1.85	0.09	0.38	7.94	2.03	1.6	15.56	9.78	8.06	0.83	30.34	8.85	9.7	3.5	26.28	8.19	29.48	0.18	66.18	262.2	11.47	60.82	113.56	3.44	2.03	1.1	3.89	0.97	0.0	1.0	0.0	30.12	52.08	81.71	0.0
GALNT15	83.45	8.78	64.34	18.84	37.85	1051.79	47.84	16.75	87.65	209.84	139.07	26.47	212.78	7.88	59.97	500.46	253.23	61.68	191.67	142.01	285.03	8.32	432.53	166.73	202.66	30.78	351.14	532.74	1769.57	44.57	2555.58	2434.5	3395.89	836.53	947.83	10.47	10.39	4.39	10.55	14.35	32.13	46.5	18.56	1044.52	1529.73	583.07	26.47
GBGT1	154.42	50.63	80.57	105.15	26.28	277.2	81.14	88.88	33.3	171.45	119.26	52.08	135.24	87.03	67.12	135.24	124.37	44.89	110.43	138.1	152.28	54.33	265.87	88.88	267.73	85.82	217.27	98.73	420.68	38.12	703.28	316.37	314.17	289.02	384.34	27.84	39.5	33.3	13.93	20.71	17.25	45.53	16.63	63.45	100.83	76.71	559.28
GDF10	5.02	0.21	3.14	3.72	2.12	126.12	3.44	4.13	2.32	163.28	37.59	0.37	2.66	0.04	0.0	20.71	9.41	1.66	11.55	19.68	101.54	0.99	74.58	46.84	42.41	2.76	95.34	66.18	289.02	1.45	135.24	131.51	182.55	154.42	253.23	1.71	1.73	6.89	1.45	2.84	0.14	7.22	7.28	336.79	172.65	97.36	2.94
GFOD1	54.72	28.65	52.45	50.63	74.06	197.09	39.22	58.3	66.65	94.67	71.0	41.81	47.84	47.17	44.57	77.79	96.01	58.71	67.12	69.03	141.02	64.8	170.25	92.05	68.55	48.87	164.42	96.01	329.84	40.93	248.0	339.14	205.5	318.57	264.03	62.12	31.22	16.39	46.5	51.35	29.7	63.0	64.8	379.04	392.44	563.18	45.53
GFPT2	57.89	9.63	36.79	49.56	8.51	297.17	13.62	30.56	16.63	224.97	52.45	15.91	54.72	13.93	21.78	135.24	81.71	6.01	67.12	89.51	275.28	10.47	417.77	181.28	52.82	28.04	283.05	84.04	339.14	12.83	819.3	633.73	764.36	624.99	995.0	334.46	4.17	2.58	3.72	7.28	6.57	74.06	28.04	563.18	432.53	947.83	35.5
GJA5	191.67	44.89	54.72	55.1	54.72	1498.22	98.04	103.69	32.82	208.38	95.34	51.35	86.43	38.4	48.18	139.07	72.01	40.64	201.25	204.07	264.03	72.01	387.02	242.88	218.79	134.3	616.37	264.03	591.22	18.97	336.79	1870.53	178.77	289.02	348.71	9.34	28.04	44.57	4.06	24.28	19.39	41.52	14.67	166.73	323.03	409.15	14.89
GOLGA8K	2.34	0.0	6.52	4.28	0.61	6.52	1.45	4.21	0.0	7.82	4.03	3.32	2.1	0.88	2.84	5.77	7.17	1.95	5.19	5.73	4.1	2.86	11.55	3.06	5.32	1.91	7.17	4.5	3.72	0.61	8.92	3.86	11.38	2.03	8.06	0.68	0.0	3.96	2.14	0.0	0.58	0.58	0.0	7.46	5.87	5.41	2.84
GPR133	51.35	6.67	47.5	49.56	21.01	872.1	38.12	36.79	46.84	281.09	151.22	16.75	47.5	31.45	15.91	199.85	116.78	14.89	50.27	125.24	223.41	22.26	974.5	195.72	105.89	30.56	438.59	234.57	1233.75	36.79	2224.63	1159.07	1023.0	1977.24	1427.22	187.71	94.01	289.02	32.82	41.22	1.87	127.89	130.6	351.14	884.29	346.29	381.68
GPR97	31.67	11.73	22.1	17.13	9.78	185.11	17.77	12.83	14.14	36.79	54.33	15.0	22.92	9.27	8.19	130.6	35.5	23.76	20.86	143.01	93.35	5.19	246.28	81.14	70.01	11.13	75.11	73.03	406.31	30.78	97.36	232.94	74.06	92.05	98.73	87.65	14.45	15.45	4.66	29.06	11.64	55.49	10.31	91.41	77.79	209.84	14.45
HECTD2	41.22	10.0	38.4	37.32	39.22	164.42	30.78	43.94	16.51	103.69	47.84	30.78	38.12	27.64	31.9	74.58	46.84	23.25	42.41	73.03	97.36	36.79	108.9	88.26	46.84	30.12	115.16	73.03	111.21	18.7	223.41	262.2	255.0	264.03	217.27	31.67	19.39	16.51	21.78	14.24	28.86	65.72	50.63	264.03	140.04	176.29	30.12
HEYL	45.21	29.06	40.64	31.22	41.81	384.34	64.8	53.57	35.0	112.77	53.19	24.11	26.47	42.11	13.42	244.57	51.35	43.94	44.25	135.24	175.07	42.41	332.14	140.04	86.43	49.91	214.27	81.71	195.72	30.56	366.09	1487.87	249.73	301.33	417.77	147.06	64.8	26.47	35.76	40.07	19.11	105.89	42.71	343.89	698.41	629.35	41.52
HRH2	11.04	0.66	1.39	3.69	1.6	27.84	3.92	2.94	0.0	9.63	8.92	0.11	2.73	2.32	2.36	12.18	12.83	0.77	7.17	15.0	14.14	1.64	34.75	11.64	6.78	2.32	30.12	7.06	38.4	1.62	40.36	96.68	33.06	36.53	69.03	0.84	3.11	2.27	0.0	3.96	4.03	0.0	0.0	18.03	23.42	17.64	98.73
HYAL2	819.3	638.15	791.35	493.56	587.13	1529.73	703.28	825.0	381.68	1037.29	738.29	624.99	543.96	518.15	543.96	896.64	872.1	633.73	651.58	921.88	1313.23	392.44	1183.45	884.29	1081.39	808.0	2451.44	1191.69	3235.01	647.07	1857.6	2935.74	1551.09	1233.75	1685.71	599.49	878.17	591.22	341.51	559.28	536.45	954.43	764.36	1277.29	2335.28	1044.52	1331.57
IGFBP6	1551.09	438.59	890.44	525.39	366.09	15392.14	320.8	1286.18	890.44	5366.37	2351.53	543.96	1674.06	753.83	403.5	3665.02	1277.29	532.74	974.5	1870.53	2319.15	563.18	8963.45	3325.99	3303.0	764.36	4937.99	4972.34	17681.08	651.58	29531.18	16496.96	8134.41	9540.5	17804.06	397.93	104.42	57.08	62.56	106.63	78.34	212.78	176.29	19082.0	13776.25	6037.61	878.17
KCNK15	9.27	1.13	2.36	1.55	0.0	121.79	9.13	2.48	0.58	18.7	10.88	8.99	7.88	4.13	1.1	18.56	4.5	0.93	4.86	22.26	31.9	1.46	36.01	17.13	4.24	6.84	49.56	13.72	121.79	0.65	104.42	151.22	96.68	137.14	145.02	12.27	12.45	4.24	0.0	5.96	6.67	15.56	3.32	36.53	84.04	32.82	567.1
KIRREL	108.14	21.78	75.64	127.89	62.56	409.15	68.07	87.03	13.83	198.47	93.35	41.81	69.03	62.56	65.26	155.5	88.26	47.5	94.67	218.79	295.11	56.28	265.87	249.73	75.11	56.28	334.46	177.53	414.87	30.56	460.44	698.41	547.75	470.14	559.28	40.64	28.04	28.45	17.25	23.59	10.88	85.22	49.56	503.95	521.76	363.56	66.18
LAMA2	40.36	7.28	57.49	31.0	48.18	1447.15	138.1	46.18	23.42	332.14	316.37	52.82	125.24	32.36	42.11	320.8	256.78	67.12	100.83	108.14	616.37	42.41	780.44	511.0	253.23	44.25	493.56	743.43	3235.01	22.43	2148.82	2018.8	1508.65	1008.9	1015.93	84.04	151.22	16.27	33.54	43.32	7.57	63.0	87.65	1950.0	1936.53	915.51	161.02
LGI4	242.88	191.67	473.41	183.82	128.79	1639.59	105.15	262.2	543.96	624.99	616.37	166.73	223.41	183.82	146.03	842.36	417.77	214.27	281.09	438.59	429.54	258.57	426.57	466.88	316.37	241.19	769.69	417.77	1037.29	260.38	3794.3	1651.0	1427.22	2004.85	4066.71	181.28	16.15	65.72	70.51	144.01	31.45	63.89	175.07	954.43	693.58	1208.34	88.26
LHFP	373.81	80.57	202.66	303.44	106.63	1051.79	130.6	279.14	56.68	575.03	299.25	102.25	205.5	123.5	116.78	518.15	255.0	99.43	432.53	575.03	748.61	137.14	884.29	503.95	283.05	255.0	1250.98	518.15	1923.14	68.55	1991.0	2335.28	1832.01	1769.57	1225.22	368.65	118.43	95.34	62.12	173.85	50.27	358.54	275.28	1651.0	1909.85	1628.26	154.42
LRRC71	0.71	1.6	1.77	1.3	1.33	6.31	3.86	3.35	0.59	4.1	3.41	3.82	2.92	1.57	2.46	5.36	2.68	1.19	4.21	2.1	5.73	0.0	2.27	0.92	1.6	1.64	4.39	1.85	5.73	0.99	27.64	9.2	3.56	5.63	7.11	1.6	0.31	0.0	0.0	0.16	1.25	0.16	1.43	2.46	2.43	2.78	5.68
LYVE1	1268.46	66.65	176.29	679.29	102.97	4388.98	343.89	129.69	157.68	1540.37	791.35	320.8	884.29	75.11	902.89	1066.48	1407.55	111.21	363.56	1457.23	3742.05	30.12	6426.31	1870.53	1639.59	198.47	3982.99	2075.59	15499.21	115.16	967.76	5672.41	2555.58	2319.15	2209.26	551.56	902.89	540.19	91.41	86.43	591.22	1225.22	961.07	2976.74	2047.0	1447.15	109.66
MAP1B	49.56	12.93	55.1	50.27	24.63	318.57	20.86	51.71	11.82	92.05	62.12	17.25	35.0	28.86	22.59	86.43	41.22	13.12	55.1	111.21	143.01	18.97	417.77	149.12	47.5	29.91	194.36	114.36	389.72	15.56	579.04	728.11	1295.13	743.43	1127.35	20.11	11.21	3.17	11.47	15.68	4.46	55.1	22.59	2047.0	1340.84	1088.92	58.3
MAP3K6	476.71	295.11	363.56	486.75	182.55	1111.82	387.02	371.22	258.57	902.89	348.71	201.25	256.78	194.36	291.04	808.0	253.23	211.31	376.41	376.41	656.11	170.25	866.07	341.51	447.82	267.73	1781.89	435.55	974.5	363.56	2758.13	1697.45	1191.69	2018.8	2240.11	248.0	90.14	158.79	97.36	128.79	249.73	698.41	309.83	1111.82	1216.75	1268.46	612.11
