	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.BH.A0HU.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A2P5.01A.11R.A19W.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.PL.A8LV.01A.21R.A41B.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.AR.A24K.01A.11R.A169.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A1KC.01B.11R.A157.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HC.A4ZV.01A.11R.A26U.07
DENND1A	129.69	169.07	361.04	336.79	366.09	209.84	258.57	341.51	264.03	334.46	314.17	173.85	150.17	154.42	403.5	363.56	441.64	277.2	258.57	182.55	202.66	279.14	217.27	297.17	212.78	187.71	323.03	336.79	229.72	206.94	218.79	417.77	220.32	182.55	139.07	178.77	271.48	237.86	178.77	373.81	277.2	232.94	197.09	575.03	275.28	392.44	1104.13	204.07	150.17	454.09	101.54	256.78	264.03	205.5	232.94	273.37	314.17	191.67	343.89	332.14	172.65	197.09	244.57	351.14	307.69	273.37	336.79	173.85	346.29	198.47	224.97	137.14	197.09	145.02	152.28	0.0	0.65	500.46
DPH7	234.57	366.09	363.56	532.74	529.06	191.67	327.56	665.29	954.43	624.99	1119.56	253.23	197.09	346.29	387.02	351.14	271.48	414.87	371.22	309.83	341.51	285.03	236.21	267.73	551.56	104.42	212.78	703.28	256.78	379.04	202.66	551.56	316.37	279.14	171.45	237.86	212.78	454.09	201.25	262.2	500.46	260.38	447.82	454.09	265.87	397.93	1051.79	669.92	215.77	293.07	193.01	366.09	878.17	351.14	511.0	665.29	199.85	332.14	941.27	264.03	258.57	651.58	346.29	579.04	444.72	698.41	395.18	183.82	665.29	211.31	460.44	262.2	144.01	140.04	159.9	0.0	0.93	1457.23
DPM2	441.64	878.17	1199.98	1044.52	2287.2	1268.46	1088.92	2520.38	1733.13	1388.16	3589.58	1437.15	1572.76	728.11	1540.37	928.3	1295.13	1551.09	1081.39	1081.39	1088.92	1340.84	981.29	2224.63	1457.23	708.18	1127.35	1175.27	1008.9	753.83	981.29	2451.44	1617.0	1051.79	836.53	928.3	1378.57	1295.13	629.35	1909.85	1037.29	921.88	1674.06	2537.92	1359.57	1250.98	3443.31	1498.22	547.75	1304.15	679.29	954.43	1963.57	842.36	1286.18	1561.89	2047.0	995.0	1781.89	1769.57	713.11	1819.35	2047.0	1769.57	1037.29	1208.34	995.0	848.22	1806.78	988.12	1242.34	921.88	660.68	460.44	457.25	0.0	0.51	2163.77
FBXW5	547.75	890.44	1286.18	988.12	1143.1	723.08	796.86	1369.04	1819.35	2032.85	2451.44	743.43	551.56	607.87	1870.53	1001.93	1111.82	1259.69	503.95	587.13	674.59	1088.92	961.07	1135.2	967.76	314.17	934.76	988.12	718.08	854.13	595.34	2178.83	1127.35	551.56	307.69	665.29	819.3	1044.52	674.59	1127.35	1561.89	728.11	1199.98	2645.74	332.14	1359.57	2520.38	2004.85	441.64	830.75	567.1	854.13	1806.78	723.08	928.3	1259.69	902.89	769.69	1388.16	1127.35	624.99	1806.78	866.07	1350.18	2319.15	1350.18	808.0	273.37	1051.79	819.3	1268.46	713.11	543.96	728.11	854.13	0.0	0.97	3491.39
FPGS	563.18	547.75	896.64	1066.48	1437.15	1359.57	974.5	1135.2	941.27	1407.55	1733.13	507.46	866.07	642.59	961.07	738.29	981.29	1096.5	620.67	866.07	825.0	1037.29	961.07	1268.46	723.08	327.56	616.37	988.12	808.0	878.17	470.14	1561.89	902.89	738.29	303.44	547.75	785.88	995.0	642.59	836.53	532.74	1151.06	884.29	1225.22	529.06	967.76	1662.49	1295.13	454.09	688.78	429.54	802.41	1388.16	808.0	830.75	684.02	1127.35	733.19	1066.48	599.49	547.75	1191.69	813.63	928.3	713.11	1369.04	633.73	201.25	848.22	587.13	775.05	830.75	348.71	316.37	336.79	0.0	0.89	1883.54
GTF3C5	603.67	470.14	896.64	1286.18	1378.57	954.43	819.3	1487.87	1605.83	1572.76	1794.29	961.07	728.11	575.03	974.5	791.35	902.89	1088.92	723.08	591.22	890.44	915.51	723.08	620.67	1295.13	353.59	759.08	1467.37	693.58	638.15	713.11	1427.22	830.75	638.15	343.89	595.34	651.58	769.69	500.46	1216.75	921.88	764.36	974.5	1242.34	595.34	866.07	6207.38	1127.35	376.41	679.29	595.34	860.08	1088.92	647.07	1127.35	1151.06	500.46	669.92	866.07	1051.79	503.95	1583.71	854.13	941.27	1096.5	1295.13	813.63	435.55	1216.75	571.05	733.19	587.13	301.33	309.83	323.03	0.0	0.97	1963.57
INPP5E	63.89	100.13	175.07	217.27	149.12	48.52	167.9	255.0	198.47	209.84	371.22	90.77	78.89	100.13	186.4	113.56	161.02	128.79	114.36	78.89	92.7	99.43	80.57	96.68	186.4	32.59	58.3	253.23	105.89	69.52	74.06	175.07	140.04	70.51	41.22	85.82	116.78	152.28	59.55	91.41	217.27	114.36	145.02	178.77	81.14	139.07	406.31	221.86	59.97	106.63	52.82	116.78	165.57	120.94	182.55	147.06	60.39	101.54	273.37	131.51	91.41	249.73	72.01	117.6	215.77	285.03	162.14	72.52	199.85	63.0	144.01	90.77	67.59	52.08	59.97	0.0	0.66	409.15
MAN1B1	633.73	708.18	1427.22	1104.13	1051.79	1059.11	1322.37	2133.97	1331.57	1359.57	2367.9	629.35	1151.06	802.41	1561.89	1088.92	1104.13	1697.45	878.17	802.41	988.12	1127.35	988.12	1151.06	1551.09	599.49	1551.09	1340.84	688.78	1015.93	1008.9	1350.18	1572.76	934.76	651.58	616.37	974.5	1467.37	171.45	1417.35	1685.71	1088.92	1073.91	1081.39	748.61	1437.15	4152.18	1605.83	633.73	902.89	759.08	1233.75	1832.01	860.08	1322.37	934.76	1304.15	825.0	1437.15	872.1	708.18	1447.15	1216.75	1008.9	1651.0	890.44	974.5	507.46	981.29	1183.45	896.64	967.76	890.44	890.44	660.68	0.0	0.49	2384.37
MRPL41	167.9	470.14	579.04	813.63	1111.82	493.56	514.56	1781.89	1709.26	1023.0	1936.53	836.53	743.43	543.96	974.5	629.35	1304.15	1096.5	318.57	476.71	902.89	813.63	480.04	1135.2	1127.35	249.73	688.78	1104.13	629.35	480.04	571.05	2720.15	1001.93	612.11	373.81	563.18	444.72	866.07	429.54	656.11	791.35	332.14	1111.82	1709.26	171.45	860.08	2255.7	1427.22	183.82	656.11	591.22	1225.22	1388.16	764.36	775.05	878.17	669.92	603.67	1073.91	1023.0	713.11	1819.35	791.35	1794.29	1697.45	1340.84	759.08	279.14	1378.57	483.38	1286.18	759.08	525.39	297.17	409.15	0.0	0.51	6935.54
MRPS2	470.14	379.04	1037.29	1088.92	1008.9	500.46	718.08	1674.06	1159.07	1073.91	1617.0	718.08	967.76	575.03	830.75	698.41	1015.93	1159.07	733.19	679.29	764.36	896.64	638.15	854.13	1044.52	575.03	830.75	1044.52	698.41	753.83	1127.35	2224.63	1030.12	656.11	547.75	629.35	819.3	947.83	743.43	1628.26	967.76	583.07	1208.34	1369.04	603.67	1030.12	1806.78	1111.82	780.44	884.29	665.29	796.86	1896.65	532.74	1104.13	1151.06	651.58	718.08	1175.27	995.0	591.22	1331.57	1073.91	1159.07	791.35	1015.93	1081.39	409.15	1088.92	511.0	854.13	698.41	629.35	642.59	466.88	0.0	0.49	2682.69
NDOR1	56.28	125.24	171.45	239.52	242.88	167.9	145.02	293.07	223.41	273.37	339.14	202.66	167.9	137.14	172.65	139.07	165.57	176.29	141.02	108.14	180.02	189.02	128.79	103.69	191.67	64.34	178.77	183.82	170.25	131.51	136.19	234.57	143.01	90.77	107.38	129.69	169.07	164.42	120.94	137.14	169.07	92.7	244.57	307.69	69.03	145.02	251.48	234.57	73.03	109.66	60.39	152.28	265.87	140.04	145.02	178.77	105.15	185.11	191.67	191.67	128.79	363.56	111.21	426.57	320.8	255.0	214.27	60.39	149.12	123.5	209.84	102.97	40.36	33.3	31.45	0.0	0.72	366.09
NELFB	457.25	543.96	1059.11	1397.83	1208.34	599.49	928.3	1397.83	1417.35	1104.13	1340.84	854.13	651.58	647.07	884.29	674.59	947.83	1023.0	638.15	595.34	703.28	1001.93	819.3	738.29	1059.11	237.86	656.11	995.0	579.04	490.14	733.19	1583.71	896.64	529.06	303.44	633.73	603.67	764.36	503.95	1143.1	928.3	785.88	954.43	1135.2	473.41	802.41	1769.57	1167.14	432.53	629.35	412.0	909.17	1359.57	679.29	947.83	1143.1	521.76	693.58	1088.92	878.17	483.38	1769.57	713.11	1088.92	1199.98	1295.13	947.83	307.69	995.0	547.75	915.51	532.74	346.29	414.87	406.31	0.0	0.74	1896.65
NTMT1	579.04	583.07	921.88	1081.39	921.88	603.67	1008.9	1322.37	1127.35	981.29	1757.34	848.22	684.02	575.03	802.41	728.11	780.44	1037.29	587.13	633.73	819.3	1051.79	974.5	967.76	1073.91	129.69	656.11	1225.22	769.69	981.29	866.07	1572.76	693.58	638.15	387.02	638.15	607.87	988.12	612.11	1407.55	708.18	693.58	848.22	1151.06	289.02	802.41	2417.67	1183.45	348.71	890.44	660.68	1081.39	1104.13	571.05	921.88	1104.13	1143.1	665.29	981.29	723.08	595.34	1286.18	1540.37	1008.9	941.27	1059.11	830.75	275.28	819.3	660.68	785.88	684.02	438.59	356.05	432.53	0.0	0.54	1268.46
NUP214	303.44	397.93	620.67	620.67	718.08	603.67	579.04	1259.69	1286.18	743.43	1277.29	543.96	713.11	420.68	603.67	647.07	728.11	599.49	567.1	518.15	708.18	785.88	409.15	995.0	785.88	490.14	769.69	785.88	447.82	656.11	532.74	1304.15	860.08	656.11	432.53	629.35	536.45	878.17	616.37	941.27	503.95	647.07	769.69	1175.27	718.08	629.35	2178.83	854.13	470.14	551.56	591.22	559.28	1023.0	587.13	909.17	825.0	583.07	633.73	961.07	988.12	454.09	723.08	769.69	713.11	796.86	995.0	698.41	435.55	796.86	532.74	748.61	543.96	708.18	414.87	599.49	0.0	0.29	1519.15
ODF2	400.71	543.96	1001.93	1081.39	1073.91	514.56	728.11	1313.23	1059.11	808.0	1651.0	860.08	693.58	432.53	703.28	743.43	460.44	884.29	780.44	624.99	1104.13	842.36	599.49	703.28	825.0	414.87	583.07	836.53	529.06	400.71	651.58	1233.75	981.29	748.61	409.15	503.95	656.11	738.29	607.87	1066.48	967.76	713.11	988.12	995.0	688.78	802.41	1183.45	567.1	525.39	493.56	325.29	559.28	1250.98	723.08	679.29	733.19	642.59	651.58	1175.27	1104.13	438.59	1159.07	733.19	1397.83	514.56	1242.34	1096.5	507.46	1096.5	555.41	497.0	551.56	228.13	289.02	212.78	0.0	0.78	1991.0
PMPCA	432.53	567.1	884.29	866.07	988.12	454.09	723.08	1388.16	1135.2	1059.11	1628.26	819.3	629.35	547.75	819.3	769.69	785.88	1104.13	836.53	723.08	674.59	791.35	928.3	651.58	981.29	432.53	890.44	1015.93	441.64	571.05	802.41	1407.55	884.29	718.08	518.15	624.99	656.11	796.86	384.34	1175.27	941.27	718.08	775.05	1216.75	796.86	1044.52	1977.24	1104.13	723.08	902.89	447.82	961.07	1757.34	612.11	830.75	896.64	708.18	571.05	1023.0	802.41	583.07	1369.04	1066.48	988.12	848.22	896.64	909.17	373.81	808.0	633.73	775.05	688.78	314.17	507.46	420.68	0.0	0.89	1923.14
POMT1	156.59	277.2	483.38	400.71	466.88	248.0	373.81	866.07	599.49	679.29	842.36	329.84	373.81	293.07	624.99	403.5	607.87	500.46	409.15	256.78	409.15	563.18	400.71	343.89	713.11	206.94	403.5	890.44	353.59	301.33	325.29	567.1	463.65	253.23	297.17	395.18	397.93	559.28	258.57	376.41	551.56	397.93	591.22	629.35	363.56	555.41	909.17	579.04	162.14	397.93	194.36	473.41	579.04	356.05	376.41	563.18	353.59	417.77	842.36	497.0	341.51	836.53	327.56	480.04	595.34	769.69	417.77	281.09	599.49	334.46	514.56	320.8	346.29	212.78	234.57	0.0	0.58	1417.35
PTGES2	579.04	669.92	1151.06	1417.35	1340.84	656.11	896.64	1322.37	1369.04	842.36	1175.27	713.11	599.49	660.68	1111.82	884.29	713.11	1467.37	802.41	890.44	866.07	995.0	791.35	967.76	1359.57	323.03	616.37	1044.52	713.11	669.92	981.29	1304.15	1096.5	642.59	358.54	743.43	563.18	1519.15	759.08	1340.84	713.11	967.76	1037.29	1697.45	743.43	909.17	1605.83	1407.55	244.57	921.88	583.07	974.5	1175.27	629.35	836.53	1467.37	947.83	599.49	1167.14	733.19	447.82	1350.18	764.36	1378.57	896.64	1030.12	866.07	381.68	1159.07	518.15	872.1	466.88	343.89	343.89	595.34	0.0	0.52	1963.57
RABL6	651.58	947.83	1806.78	1628.26	1477.58	587.13	1467.37	1991.0	2148.82	1709.26	2796.65	947.83	688.78	764.36	2018.8	988.12	1030.12	1467.37	708.18	1030.12	1015.93	1096.5	961.07	954.43	1639.59	332.14	848.22	1561.89	995.0	555.41	941.27	1519.15	1685.71	825.0	551.56	884.29	947.83	1183.45	780.44	1594.73	1388.16	1250.98	1487.87	2485.67	748.61	1551.09	3303.0	1936.53	486.75	934.76	493.56	825.0	1561.89	660.68	1242.34	1794.29	802.41	842.36	1628.26	1167.14	543.96	2004.85	1167.14	1745.2	2537.92	1457.23	1167.14	387.02	1498.22	1030.12	1167.14	651.58	226.54	314.17	457.25	819.3	277.2	3847.29
