	TCGA.L5.A4OF.01A.11R.A260.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.A3A2.11A.11R.A213.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.BR.8295.01A.11R.2343.13	TCGA.D7.8578.01A.21R.2343.13	TCGA.BR.8296.01A.11R.2343.13	TCGA.D7.8572.01A.11R.2343.13	GTEX.133LE.0326.SM.5P9G4	GTEX.WXYG.0226.SM.3NB2Y	GTEX.132QS.0326.SM.5IJFN
HMG20B	1143.1	1781.89	1417.35	1066.48	1030.12	825.0	1304.15	1733.13	941.27	1151.06	1135.2	1159.07	1073.91	718.08	1001.93	1242.34	1081.39	1111.82	1008.9	1457.23	1583.71	1135.2	1617.0	1225.22	1806.78	1388.16	2018.8
IGDCC4	85.22	59.97	41.22	5.82	0.62	0.0	0.0	22.75	0.0	1.48	0.0	0.0	1.46	0.0	1.46	0.29	2.46	0.52	0.47	118.43	101.54	107.38	84.04	116.78	325.29	81.71	423.61
IL36G	3.03	6.78	135.24	2.34	0.0	1.5	0.74	2.25	0.0	0.0	0.46	2.2	0.16	2.23	1.53	0.0	1.2	10.55	0.92	1.19	1.45	2.32	4.9	7.75	2.23	1.43	4.94
INPPL1	3794.3	2193.99	1191.69	759.08	351.14	167.9	371.22	967.76	473.41	255.0	237.86	540.19	591.22	525.39	409.15	339.14	460.44	470.14	753.83	2935.74	1417.35	2163.77	1896.65	2090.03	2335.28	1617.0	3146.52
IRGC	0.99	2.03	61.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.46	7.94	3.23	16.03	3.69	0.18	0.16	0.85
KIAA1024	12.36	18.84	4.06	1.31	0.0	1.11	1.69	1.75	0.2	1.43	0.62	0.0	1.39	0.0	0.19	0.83	0.19	0.64	0.58	14.24	4.13	30.12	10.47	9.78	9.2	13.93	27.44
KIAA1522	1359.57	947.83	769.69	392.44	119.26	339.14	271.48	106.63	95.34	50.98	117.6	111.21	56.68	95.34	66.18	167.9	52.45	63.0	85.82	1540.37	738.29	1457.23	1936.53	981.29	1242.34	995.0	1733.13
KLC2	902.89	638.15	1143.1	121.79	58.71	57.89	104.42	118.43	31.22	88.88	53.95	33.3	81.71	55.1	55.89	62.12	68.55	97.36	72.52	536.45	483.38	743.43	733.19	529.06	371.22	426.57	358.54
LMNA	4836.35	4903.87	4972.34	2976.74	1870.53	2224.63	2090.03	4607.24	1806.78	2682.69	2485.67	1733.13	2104.58	2287.2	2319.15	3372.43	4010.71	2997.45	1769.57	3280.18	4575.41	7537.18	6561.36	4769.75	5751.61	4639.29	5954.47
LOXL1	175.07	896.64	242.88	199.85	27.64	51.35	384.34	92.05	7.34	70.01	74.06	85.82	55.49	10.55	72.01	307.69	175.07	31.45	63.89	1733.13	579.04	2133.97	884.29	961.07	624.99	583.07	866.07
LPCAT4	1477.58	1030.12	878.17	149.12	81.14	50.98	127.89	218.79	75.11	121.79	54.33	49.56	177.53	31.9	94.67	67.59	93.35	74.06	115.16	785.88	540.19	1023.0	1909.85	954.43	532.74	444.72	417.77
MCAM	1709.26	2240.11	1059.11	802.41	120.94	71.0	142.01	688.78	67.59	175.07	52.82	47.84	353.59	50.63	208.38	214.27	258.57	379.04	221.86	2701.35	1572.76	2178.83	1819.35	2319.15	1159.07	1277.29	941.27
MED15	2178.83	1909.85	2104.58	532.74	320.8	409.15	518.15	703.28	281.09	400.71	307.69	379.04	612.11	285.03	320.8	316.37	476.71	607.87	503.95	1909.85	1286.18	1551.09	1844.76	1977.24	1104.13	802.41	947.83
MXD3	206.94	454.09	379.04	109.66	35.0	59.13	135.24	248.0	37.05	47.5	41.81	45.21	52.08	20.26	37.32	25.91	29.27	54.33	49.56	583.07	237.86	180.02	256.78	183.82	162.14	92.7	232.94
P2RY6	872.1	209.84	57.49	26.86	15.11	7.63	17.13	21.63	7.06	4.66	11.21	13.52	24.99	18.43	52.08	9.13	15.0	5.73	11.73	149.12	297.17	92.05	125.24	231.32	206.94	28.65	153.34
PASK	239.52	361.04	165.57	65.26	49.56	50.63	73.54	74.58	47.17	62.12	38.12	40.36	84.63	28.24	66.18	63.0	70.01	29.27	69.52	698.41	163.28	228.13	575.03	228.13	217.27	126.12	995.0
PCDHAC1	95.34	14.45	7.34	1.69	2.32	3.26	0.0	1.08	0.0	4.66	0.0	0.0	20.71	0.0	6.67	1.45	18.16	0.0	10.88	22.26	2.03	29.48	12.74	10.96	16.27	9.85	15.8
PCYT1A	854.13	884.29	780.44	483.38	305.55	249.73	289.02	638.15	346.29	336.79	241.19	312.0	426.57	332.14	329.84	341.51	373.81	555.41	406.31	633.73	547.75	802.41	1023.0	728.11	633.73	575.03	819.3
PHLDA2	175.07	379.04	698.41	120.94	10.71	75.11	72.52	117.6	0.0	50.98	9.78	32.36	15.68	23.25	49.91	42.41	47.17	123.5	26.28	2018.8	146.03	2627.46	3372.43	967.76	518.15	429.54	669.92
PIP4K2C	866.07	583.07	633.73	323.03	212.78	191.67	193.01	127.89	172.65	190.34	242.88	242.88	189.02	249.73	211.31	231.32	183.82	137.14	182.55	1015.93	693.58	1242.34	780.44	674.59	723.08	624.99	934.76
PLCB3	1487.87	693.58	1023.0	187.71	96.68	49.21	105.89	164.42	73.03	87.65	39.5	92.05	108.14	76.17	120.1	88.26	77.25	43.02	95.34	860.08	406.31	620.67	813.63	1059.11	307.69	281.09	277.2
PLEKHG5	708.18	785.88	688.78	63.89	14.45	6.78	27.44	52.82	15.11	21.16	17.51	16.27	36.53	8.99	21.01	34.51	26.86	20.56	48.87	915.51	127.0	381.68	164.42	187.71	108.14	100.83	100.83
PRM1	728.11	195.72	76330.98	0.0	0.0	0.0	3.08	3.2	0.0	0.0	0.0	2.34	4.31	0.39	1.01	0.0	3.29	3.53	7.17	30.78	13.72	0.0	48.52	0.0	8.92	4.43	10.31
PRM2	684.02	127.0	9808.75	0.0	0.0	0.0	2.41	3.53	0.0	0.0	0.05	2.89	4.82	0.0	0.0	0.0	2.2	3.06	7.17	6.01	21.16	12.09	87.03	13.12	5.06	3.38	11.3
PTPN23	629.35	647.07	633.73	305.55	154.42	202.66	156.59	371.22	123.5	195.72	102.97	211.31	221.86	256.78	172.65	159.9	177.53	248.0	215.77	941.27	693.58	543.96	753.83	1001.93	674.59	764.36	780.44
RTEL1	384.34	389.72	414.87	135.24	116.78	115.16	111.21	109.66	86.43	76.71	88.26	59.55	84.04	60.39	73.03	57.89	54.72	126.12	127.0	507.46	368.65	529.06	379.04	444.72	301.33	265.87	423.61
S100A6	33455.53	48643.87	32092.64	3820.7	1551.09	497.0	1508.65	5672.41	698.41	2701.35	480.04	435.55	2240.11	212.78	1529.73	1378.57	1331.57	1127.35	1487.87	6840.04	2777.33	23330.64	34635.37	9088.59	40341.14	23492.92	97965.44
SLC45A4	205.5	226.54	111.99	62.56	13.83	2.68	6.01	195.72	8.06	20.11	4.13	4.39	34.02	2.12	12.45	57.08	35.0	194.36	11.82	1340.84	341.51	511.0	1159.07	551.56	339.14	133.36	414.87
SLC52A2	1183.45	1250.98	1498.22	251.48	215.77	167.9	223.41	271.48	206.94	172.65	78.89	119.26	96.01	90.14	151.22	204.07	105.15	237.86	180.02	1088.92	2032.85	1350.18	3372.43	1477.58	785.88	743.43	1225.22
SLCO6A1	24.28	0.0	11.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.8	9.34	2.86	2.1	1.97	0.18	0.0	1.95
SUN1	3467.27	2682.69	2193.99	947.83	463.65	624.99	1008.9	1340.84	571.05	660.68	483.38	825.0	1119.56	591.22	656.11	723.08	830.75	769.69	1030.12	1733.13	1977.24	1617.0	2004.85	1437.15	1674.06	1427.22	1651.0
SYNDIG1	3.53	20.86	7.57	3.32	0.0	0.0	0.0	3.5	1.64	1.64	0.0	0.0	0.55	3.08	1.64	0.0	1.62	0.48	0.45	141.02	13.83	220.32	105.89	157.68	126.12	171.45	872.1
TANGO2	414.87	454.09	273.37	291.04	231.32	318.57	289.02	195.72	154.42	113.56	262.2	131.51	312.0	156.59	220.32	105.89	228.13	197.09	180.02	457.25	293.07	642.59	555.41	387.02	808.0	1066.48	1259.69
TCERG1	1225.22	1268.46	1685.71	389.72	145.02	172.65	343.89	441.64	212.78	265.87	116.78	198.47	303.44	151.22	178.77	202.66	291.04	307.69	312.0	1233.75	1008.9	651.58	934.76	1151.06	595.34	684.02	738.29
TFRC	1950.0	2148.82	3467.27	607.87	309.83	117.6	251.48	591.22	316.37	775.05	748.61	140.04	769.69	232.94	118.43	384.34	620.67	748.61	153.34	2796.65	1794.29	1037.29	1709.26	2047.0	872.1	1023.0	1208.34
TMCO2	1.17	2.92	17.77	0.0	0.0	0.0	4.62	2.86	0.0	5.68	0.0	0.0	2.29	0.0	0.0	0.0	0.0	0.0	0.0	2.27	14.78	2.05	7.63	3.69	1.17	4.1	2.46
TMEM184B	1369.04	1059.11	1088.92	348.71	135.24	180.02	172.65	305.55	111.21	149.12	108.14	89.51	198.47	118.43	112.77	182.55	133.36	237.86	108.9	1477.58	1175.27	1447.15	1794.29	1369.04	1159.07	890.44	1295.13
TNFSF9	95.34	312.0	2976.74	4.62	5.68	3.41	17.64	10.24	3.96	4.62	22.1	2.05	28.65	2.71	1.39	26.28	12.09	17.38	10.08	116.78	53.19	108.14	19.68	56.28	10.24	7.11	8.13
TRIM33	417.77	429.54	540.19	195.72	83.45	82.87	163.28	199.85	121.79	136.19	66.18	141.02	181.28	108.9	71.0	128.79	162.14	178.77	158.79	674.59	429.54	551.56	486.75	400.71	231.32	348.71	277.2
TRIOBP	1167.14	1175.27	629.35	884.29	258.57	351.14	476.71	224.97	204.07	332.14	341.51	684.02	547.75	356.05	417.77	423.61	371.22	258.57	371.22	1119.56	1277.29	1037.29	1447.15	884.29	1781.89	1104.13	1936.53
TUBB6	2502.97	3349.13	3742.05	928.3	371.22	674.59	902.89	974.5	638.15	414.87	417.77	813.63	825.0	60.39	450.94	381.68	361.04	633.73	738.29	896.64	1143.1	1781.89	633.73	1277.29	1733.13	1151.06	2209.26
UBE2T	486.75	854.13	1175.27	64.34	19.97	12.55	32.59	24.99	7.69	20.11	21.47	6.36	33.3	20.11	18.7	55.1	16.51	11.47	30.78	1111.82	1104.13	373.81	536.45	454.09	132.44	55.1	204.07
ZC3H3	447.82	587.13	785.88	241.19	209.84	239.52	237.86	316.37	182.55	177.53	88.88	111.21	104.42	314.17	293.07	215.77	303.44	111.99	371.22	555.41	497.0	476.71	796.86	497.0	406.31	432.53	395.18
ZCCHC14	400.71	406.31	381.68	379.04	305.55	211.31	316.37	287.01	194.36	155.5	255.0	164.42	220.32	339.14	220.32	175.07	251.48	234.57	267.73	583.07	376.41	518.15	339.14	518.15	336.79	348.71	518.15
