	TCGA.XF.A8HG.01A.11R.A36F.07	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	TCGA.KM.8477.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.BP.5178.01A.01R.1426.07	TCGA.CJ.4901.01A.01R.1426.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.BQ.5889.01A.11R.1592.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.145LU.1326.SM.5LU9N	GTEX.SJXC.1226.SM.4DM78	GTEX.13QJC.0726.SM.5RQJK	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.HC.A9TE.01A.11R.A41O.07	TCGA.KK.A59Z.01A.12R.A26U.07	TCGA.BR.4187.01A.01R.1131.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.BR.6563.01A.13R.2055.13	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	TCGA.EL.A3H5.01A.11R.A206.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.111VG.0526.SM.5N9BW
BMP2K	129.69	470.14	212.78	197.09	148.09	201.25	414.87	241.19	115.16	135.24	82.87	244.57	397.93	251.48	753.83	612.11	529.06	127.0	435.55	166.73	190.34	307.69	228.13	323.03	191.67	312.0	165.57	41.22	239.52	82.29	62.12	63.0	118.43	120.94	142.01	84.04	140.04	190.34	221.86	232.94	152.28	185.11	607.87	420.68	301.33	194.36	75.64	218.79	246.28	551.56
C10orf128	18.16	1250.98	334.46	44.57	19.97	32.13	146.03	100.13	102.97	92.05	25.35	575.03	529.06	575.03	514.56	412.0	301.33	74.58	164.42	59.97	114.36	295.11	127.89	287.01	125.24	217.27	122.64	26.47	40.64	57.89	21.16	31.9	43.63	125.24	122.64	55.1	54.33	29.06	110.43	43.32	381.68	136.19	412.0	460.44	460.44	307.69	273.37	633.73	218.79	547.75
C19orf35	2.73	9.34	16.75	1.36	0.0	0.87	7.63	4.82	4.74	0.35	2.89	28.04	17.51	16.39	17.0	10.71	16.75	0.79	13.72	2.51	3.41	6.57	10.63	47.84	9.13	7.28	6.21	0.8	0.0	0.69	1.79	1.53	3.76	4.43	6.26	0.21	7.51	2.32	1.27	0.66	8.78	7.4	17.13	35.5	58.3	25.91	29.48	19.25	8.85	8.25
C1QA	371.22	6337.83	3540.14	1008.9	90.77	218.79	4210.15	1977.24	361.04	1304.15	466.88	16045.82	19754.96	4671.57	14561.8	8778.97	10659.59	738.29	12244.81	674.59	1857.6	4328.55	8191.0	15075.35	5041.77	3349.13	503.95	189.02	381.68	1175.27	642.59	738.29	579.04	8840.04	1757.34	775.05	7749.1	1051.79	1268.46	995.0	2701.35	2537.92	10225.32	3515.68	6471.02	8840.04	2004.85	3146.52	995.0	1819.35
C1QB	529.06	5255.91	4358.66	1119.56	68.07	201.25	5954.47	2148.82	212.78	878.17	480.04	21320.18	23986.58	4181.07	16960.78	7331.05	11035.54	503.95	12329.98	507.46	1977.24	3060.45	8718.32	14765.09	4836.35	3190.46	336.79	202.66	595.34	738.29	624.99	660.68	612.11	8658.09	1594.73	842.36	6745.86	1225.22	1519.15	954.43	2720.15	2384.37	20451.65	3742.05	9740.98	10659.59	2573.36	2777.33	1208.34	1388.16
C1QC	529.06	4358.66	2796.65	995.0	59.55	199.85	4836.35	2075.59	191.67	642.59	358.54	13492.72	16727.26	3039.3	14361.31	4704.07	9151.82	470.14	8778.97	397.93	1191.69	3280.18	5751.61	11112.3	3955.48	1936.53	346.29	132.44	420.68	420.68	450.94	493.56	441.64	5711.87	921.88	536.45	4298.64	684.02	769.69	466.88	1950.0	1685.71	14065.74	2417.67	7485.11	5112.16	1757.34	1447.15	718.08	995.0
C20orf197	0.41	2.32	0.85	0.46	1.22	0.0	1.91	0.97	0.0	0.31	0.04	1.75	8.13	5.15	11.04	14.03	14.45	0.79	11.82	2.89	1.28	1.66	4.7	4.7	0.46	4.35	0.42	0.0	0.0	0.71	2.48	0.92	1.69	2.18	1.03	2.48	0.0	1.25	2.46	0.95	3.99	3.66	2.39	7.46	4.78	0.21	0.36	3.72	4.35	13.83
C3AR1	27.44	212.78	119.26	73.03	3.14	9.56	353.59	81.14	15.34	64.8	70.01	429.54	529.06	244.57	713.11	389.72	728.11	28.24	497.0	48.18	173.85	432.53	457.25	379.04	191.67	162.14	42.71	11.3	26.28	21.78	41.81	38.12	18.84	109.66	41.22	19.97	108.9	52.45	41.52	18.03	118.43	175.07	769.69	205.5	497.0	223.41	150.17	147.06	78.89	144.01
CAPZB	3303.0	6652.97	4481.23	3768.09	2627.46	2520.38	3491.39	2835.7	2935.74	4123.49	2609.3	6121.9	5633.22	5831.91	5292.48	5219.6	5329.3	2240.11	4836.35	4210.15	4010.71	4268.94	4328.55	7280.4	5006.93	3768.09	3928.15	2032.85	2224.63	2119.22	1819.35	1487.87	1991.0	2032.85	1639.59	1923.14	1909.85	2163.77	2061.24	1923.14	4836.35	5112.16	6935.54	6426.31	6840.04	7130.55	4607.24	6381.92	4268.94	3794.3
CASS4	1.19	21.94	16.15	5.77	0.82	1.69	13.62	4.28	5.32	6.78	7.69	73.54	82.29	13.42	36.53	32.82	47.17	1.55	58.71	19.53	7.94	54.33	13.12	49.21	15.56	15.22	8.13	4.17	8.45	6.36	3.72	2.48	31.9	20.26	20.86	24.81	28.65	9.27	15.8	21.78	15.8	14.89	66.65	19.39	34.75	38.67	16.27	22.1	4.35	66.18
CD200R1	1.57	63.89	7.34	4.03	3.59	2.53	9.85	5.19	2.53	6.73	1.45	21.63	87.03	17.13	320.8	76.17	61.25	2.32	18.84	10.96	12.83	45.53	17.38	15.68	7.63	10.47	3.26	0.89	1.35	1.03	9.13	7.11	10.24	34.02	12.27	11.82	5.19	6.84	24.46	13.03	16.63	8.19	90.77	37.85	28.45	18.03	37.32	15.56	5.41	55.1
CD300C	3.56	45.53	8.13	15.56	0.39	3.32	26.86	23.08	0.0	6.21	9.13	128.79	121.79	18.56	88.26	69.03	84.04	2.68	90.77	7.4	10.47	42.41	52.45	171.45	31.9	33.54	6.16	0.01	5.36	2.89	0.0	5.41	6.46	25.17	9.2	0.0	17.25	5.28	11.73	8.71	24.81	8.45	81.71	11.91	71.0	20.26	9.48	47.84	34.75	100.13
CD33	10.63	327.56	64.34	28.04	2.84	5.5	92.05	52.08	9.85	45.85	8.65	305.55	406.31	138.1	409.15	341.51	289.02	36.79	242.88	70.01	54.72	152.28	189.02	242.88	97.36	91.41	20.71	10.88	24.63	25.91	15.56	18.29	35.5	211.31	121.79	44.25	99.43	17.38	96.68	43.02	87.03	85.22	228.13	103.69	237.86	101.54	48.87	144.01	34.26	197.09
CD37	94.01	830.75	1233.75	180.02	12.18	47.17	447.82	295.11	94.67	204.07	248.0	2335.28	1936.53	954.43	2682.69	1844.76	1159.07	27.44	1127.35	100.13	201.25	1151.06	1870.53	2163.77	796.86	703.28	73.54	31.9	41.22	96.01	244.57	181.28	47.84	441.64	356.05	138.1	54.72	246.28	204.07	103.69	1119.56	420.68	1769.57	11267.44	3443.31	743.43	934.76	947.83	176.29	5147.73
CD53	94.01	651.58	1159.07	232.94	9.63	34.26	842.36	312.0	204.07	241.19	255.0	2485.67	3742.05	1268.46	3955.48	2468.49	1936.53	199.85	1561.89	204.07	403.5	1175.27	1594.73	2351.53	1073.91	813.63	185.11	62.56	72.01	106.63	285.03	265.87	125.24	842.36	473.41	346.29	379.04	295.11	353.59	96.68	981.29	532.74	2701.35	5872.48	2133.97	1225.22	624.99	796.86	271.48	3325.99
CD84	9.41	108.14	50.98	15.56	1.2	1.27	43.32	21.78	3.82	8.58	0.0	136.19	392.44	61.68	563.18	351.14	195.72	1.93	96.68	9.85	14.67	67.12	120.1	122.64	60.82	61.25	3.69	2.94	6.62	8.13	11.73	11.82	14.89	48.18	7.63	45.53	45.53	20.41	17.77	17.51	40.07	27.64	301.33	329.84	166.73	41.22	28.45	62.56	12.45	234.57
CD86	15.34	125.24	46.84	62.56	0.79	4.98	159.9	56.28	31.45	24.28	9.41	521.76	551.56	185.11	450.94	237.86	307.69	19.82	332.14	44.57	43.63	297.17	208.38	511.0	107.38	169.07	18.29	5.73	14.89	15.56	14.67	21.47	26.67	107.38	31.0	26.67	88.26	27.25	25.72	0.0	112.77	105.89	679.29	229.72	277.2	109.66	70.01	145.02	24.28	171.45
CHI3L2	20.11	21.94	22.26	21.47	18.29	6.06	47.17	7.82	4.58	22.75	50.98	151.22	105.15	37.59	116.78	94.01	279.14	19.68	33.78	70.51	27.64	239.52	470.14	348.71	1242.34	543.96	0.0	0.0	3.69	13.93	8.38	71.0	3.82	28.65	23.25	27.84	0.0	37.59	36.79	0.0	316.37	88.88	769.69	638.15	327.56	25.54	34.51	954.43	334.46	303.44
CHST11	8.0	161.02	44.25	53.19	29.91	9.85	78.34	45.85	40.07	16.27	64.34	638.15	466.88	283.05	417.77	297.17	273.37	9.78	273.37	108.14	38.4	122.64	129.69	361.04	176.29	173.85	28.86	8.13	21.63	12.27	12.18	14.03	6.16	182.55	57.08	100.13	15.68	30.78	17.13	16.03	100.83	57.08	251.48	366.09	297.17	204.07	57.49	293.07	70.51	178.77
CLEC4A	14.89	117.6	92.05	25.35	4.1	10.71	92.05	36.01	55.49	26.28	58.71	132.44	220.32	115.97	275.28	273.37	195.72	26.86	175.07	17.51	57.89	165.57	140.04	211.31	61.25	158.79	16.27	7.88	18.84	12.83	120.94	24.11	56.28	88.88	133.36	55.1	29.27	152.28	31.22	36.27	151.22	58.71	249.73	132.44	149.12	77.25	47.5	169.07	52.82	173.85
CLEC7A	15.11	70.01	114.36	55.89	0.8	4.66	87.03	32.13	19.82	40.07	19.11	277.2	403.5	141.02	830.75	660.68	450.94	5.82	316.37	34.02	50.27	218.79	204.07	327.56	105.15	157.68	17.38	4.39	11.64	20.41	53.19	15.68	18.56	182.55	32.82	10.08	37.05	125.24	34.75	10.47	115.16	111.21	356.05	171.45	248.0	209.84	50.63	264.03	31.0	638.15
CLECL1	1.97	73.54	62.56	3.11	0.0	2.1	42.41	10.88	7.69	5.68	0.0	53.95	47.84	33.54	264.03	60.82	55.89	6.16	14.45	5.77	15.11	48.87	48.87	119.26	17.51	11.47	0.0	3.44	4.46	1.55	9.48	3.99	12.45	0.0	22.26	18.97	16.03	3.08	6.46	0.0	47.17	0.0	88.88	262.2	120.1	11.04	10.96	39.5	11.38	190.34
CNRIP1	16.15	1015.93	262.2	59.13	30.34	31.9	149.12	66.65	111.99	127.89	366.09	208.38	348.71	521.76	205.5	454.09	497.0	59.55	353.59	157.68	156.59	295.11	68.07	193.01	109.66	57.08	115.97	20.71	28.45	36.27	32.82	19.82	22.75	161.02	115.97	49.91	34.26	21.01	102.25	52.82	251.48	287.01	612.11	633.73	447.82	665.29	351.14	616.37	198.47	358.54
CORO1A	143.01	896.64	1662.49	176.29	24.11	56.68	802.41	406.31	112.77	146.03	151.22	1697.45	3955.48	1369.04	5831.91	2104.58	2075.59	85.82	1781.89	348.71	118.43	947.83	1628.26	4972.34	1447.15	830.75	96.68	43.94	106.63	193.01	368.65	466.88	271.48	2193.99	314.17	703.28	173.85	301.33	392.44	152.28	1388.16	493.56	1183.45	5954.47	3124.78	591.22	529.06	1096.5	423.61	7537.18
CORO1C	444.72	1519.15	1199.98	167.9	143.01	130.6	387.02	232.94	289.02	267.73	327.56	2133.97	1662.49	1073.91	2004.85	1963.57	1781.89	59.97	1551.09	733.19	476.71	1216.75	1709.26	1508.65	1447.15	1936.53	444.72	312.0	830.75	297.17	435.55	307.69	551.56	414.87	480.04	403.5	860.08	1008.9	500.46	718.08	540.19	723.08	2627.46	1674.06	1008.9	1909.85	796.86	896.64	299.25	559.28
CRISPLD2	43.94	780.44	878.17	205.5	30.56	18.7	204.07	61.68	32.59	103.69	1151.06	612.11	563.18	1167.14	395.18	1259.69	248.0	5.5	1233.75	186.4	157.68	457.25	71.5	796.86	269.6	152.28	193.01	6.31	42.41	94.67	58.3	40.64	37.59	329.84	438.59	85.22	163.28	279.14	93.35	108.14	1143.1	1143.1	1923.14	1044.52	1733.13	2720.15	514.56	2351.53	571.05	293.07
CRYBB1	10.47	65.72	9.27	3.99	1.17	1.66	22.1	13.62	0.0	3.99	3.96	33.3	37.05	12.45	53.19	26.67	34.26	8.0	22.59	13.52	5.87	31.67	35.25	69.03	22.43	25.72	2.03	0.4	0.0	1.71	4.82	0.0	7.46	9.93	11.64	0.0	9.13	5.23	5.96	0.0	21.16	19.11	49.21	13.62	38.4	30.34	15.68	6.41	2.78	12.18
CSF1R	65.26	909.17	195.72	246.28	24.28	50.27	665.29	273.37	51.35	208.38	117.6	1605.83	1745.2	693.58	1167.14	884.29	1639.59	43.94	1651.0	123.5	387.02	872.1	878.17	1963.57	348.71	412.0	120.94	13.52	40.93	78.89	61.68	98.04	83.45	674.59	105.89	98.73	186.4	73.54	153.34	73.03	358.54	348.71	2645.74	291.04	1159.07	447.82	312.0	389.72	100.83	679.29
CSF2RA	12.55	110.43	72.01	679.29	47.84	4.24	100.13	25.17	15.22	16.15	9.27	503.95	208.38	119.26	209.84	239.52	212.78	8.92	193.01	12.74	31.0	111.99	140.04	271.48	51.35	113.56	18.03	2.76	5.36	9.7	1.64	5.73	5.59	34.51	12.83	11.82	10.96	14.35	11.82	8.58	80.01	36.01	103.69	190.34	181.28	281.09	25.17	92.7	11.38	144.01
CXCR4	127.89	866.07	1143.1	660.68	177.53	118.43	620.67	476.71	473.41	551.56	265.87	8658.09	8022.41	5633.22	6652.97	4038.61	6983.79	198.47	6699.25	438.59	232.94	1605.83	2178.83	4937.99	1397.83	1651.0	669.92	90.14	61.25	92.05	312.0	178.77	226.54	392.44	872.1	575.03	514.56	363.56	540.19	202.66	1651.0	825.0	2555.58	10368.08	4575.41	1651.0	995.0	2061.24	183.82	5183.54
CXorf21	3.5	23.93	25.91	11.64	0.41	0.87	24.81	4.28	11.47	8.65	2.23	42.11	74.58	52.45	145.02	81.14	88.26	0.79	58.3	8.19	11.73	43.94	37.59	40.93	31.67	13.93	5.73	0.93	1.75	7.22	16.51	6.21	5.32	26.67	10.63	4.5	5.02	5.96	14.24	3.86	37.05	21.63	74.06	105.15	53.95	35.76	15.56	29.7	5.73	67.12
CXorf23	133.36	130.6	198.47	84.04	67.59	71.0	74.06	53.57	91.41	58.71	66.65	55.49	141.02	117.6	120.1	162.14	92.7	37.32	119.26	87.65	116.78	100.13	108.9	76.71	63.45	71.0	94.01	34.51	57.49	38.67	25.17	31.0	70.01	51.71	47.17	27.25	29.48	11.82	56.68	33.54	96.01	205.5	150.17	146.03	104.42	82.87	40.36	92.05	120.1	193.01
CYBB	23.93	264.03	182.55	105.89	2.41	10.47	334.46	76.17	31.67	82.29	59.97	265.87	1199.98	241.19	842.36	902.89	785.88	11.55	387.02	128.79	183.82	791.35	460.44	466.88	198.47	234.57	49.91	6.78	24.63	27.64	29.06	28.45	20.41	291.04	54.33	22.59	77.25	33.78	66.65	31.22	201.25	142.01	896.64	884.29	713.11	120.94	56.68	346.29	76.17	518.15
DISC1	5.11	90.77	31.0	11.73	7.28	4.7	26.47	12.45	19.82	20.86	17.77	38.67	94.01	89.51	92.7	91.41	86.43	4.31	89.51	18.16	11.82	36.27	41.81	50.27	14.56	27.05	11.55	1.38	4.35	5.59	2.78	3.17	3.56	43.32	20.86	10.39	3.29	7.63	11.21	3.76	27.64	77.79	74.06	50.27	50.27	47.17	27.84	67.59	23.08	78.89
DLX4	4.74	18.03	12.27	0.47	0.83	5.11	3.35	4.31	0.36	0.43	3.96	24.46	82.87	10.31	43.32	34.26	61.68	0.0	53.57	22.92	2.97	2.05	29.91	7.57	6.36	20.71	2.07	0.0	0.0	0.0	0.0	0.0	1.69	10.31	0.0	1.69	0.0	0.0	0.0	0.88	2.81	9.78	2.56	8.71	4.82	20.26	0.15	19.25	17.13	11.91
DOCK2	13.42	212.78	223.41	41.52	3.69	8.58	115.97	48.18	26.86	19.25	17.64	325.29	909.17	195.72	802.41	432.53	400.71	10.24	323.03	93.35	34.75	142.01	265.87	447.82	120.94	140.04	21.16	8.06	15.0	34.51	59.55	114.36	12.09	148.09	98.04	40.36	31.45	182.55	109.66	22.1	172.65	81.71	320.8	819.3	406.31	94.67	204.07	187.71	44.57	693.58
DOK2	12.27	392.44	246.28	32.13	1.2	8.0	47.84	64.8	16.39	34.02	31.9	165.57	432.53	215.77	612.11	318.57	215.77	9.63	224.97	21.94	36.79	195.72	239.52	343.89	186.4	117.6	25.54	11.13	24.81	58.71	75.64	96.01	72.01	320.8	159.9	54.33	156.59	27.64	83.45	73.03	191.67	100.13	229.72	258.57	262.2	197.09	99.43	146.03	64.34	231.32
DOK3	23.59	130.6	242.88	38.4	24.46	36.53	136.19	84.63	27.64	27.84	38.4	376.41	529.06	209.84	866.07	587.13	454.09	5.15	587.13	50.98	42.41	75.11	281.09	612.11	180.02	109.66	25.54	14.45	16.88	43.02	26.86	51.35	27.84	116.78	47.5	22.43	52.45	75.64	27.44	20.56	193.01	98.04	262.2	1561.89	389.72	185.11	133.36	172.65	67.59	450.94
EMR1	1.2	6.36	7.34	7.11	0.0	0.42	15.0	2.84	0.0	0.92	12.36	100.13	88.26	25.35	49.91	12.64	91.41	0.78	92.7	12.18	5.41	12.45	13.52	72.52	8.06	51.71	1.22	0.43	0.82	7.11	0.0	9.85	6.73	20.86	17.51	0.0	9.27	36.53	4.24	5.92	13.32	6.62	77.79	15.0	25.72	13.72	2.51	14.89	1.33	7.82
EVI2A	19.25	255.0	253.23	55.1	2.39	6.26	167.9	55.1	40.64	65.72	33.06	669.92	698.41	353.59	769.69	490.14	414.87	71.5	389.72	86.43	106.63	698.41	303.44	674.59	258.57	152.28	15.45	15.22	15.68	21.47	30.12	45.53	29.48	137.14	54.33	38.4	64.34	30.34	65.26	32.59	241.19	88.88	591.22	480.04	389.72	336.79	158.79	303.44	38.12	587.13
EVI2B	21.16	325.29	387.02	54.33	2.39	12.18	223.41	68.55	50.98	72.01	22.26	698.41	1437.15	532.74	1467.37	825.0	674.59	26.47	483.38	96.68	110.43	633.73	521.76	808.0	356.05	218.79	21.63	14.35	24.81	55.1	135.24	88.88	49.21	532.74	204.07	62.56	81.71	81.14	164.42	31.9	343.89	114.36	1127.35	3060.45	1001.93	624.99	441.64	483.38	81.14	1594.73
FAM228A	2.36	17.77	10.31	0.45	0.41	0.0	3.32	0.0	8.58	10.08	4.74	16.88	11.73	16.39	11.04	23.93	7.22	1.95	5.92	5.41	6.36	19.68	6.67	16.27	1.36	2.92	4.54	0.0	0.0	1.28	4.35	4.66	1.97	0.72	13.03	5.45	0.64	10.88	7.88	3.35	23.25	6.01	61.25	8.71	36.27	13.32	4.5	7.28	8.0	4.31
FCER1G	332.14	2271.4	1008.9	764.36	61.25	119.26	3190.46	1277.29	181.28	423.61	738.29	8598.28	9215.48	3395.89	10225.32	6121.9	6294.04	208.38	5555.65	403.5	713.11	1651.0	5517.27	8718.32	3168.41	2434.5	256.78	164.42	277.2	414.87	486.75	759.08	339.14	2720.15	743.43	297.17	2434.5	1295.13	759.08	444.72	1322.37	1295.13	6337.83	4239.45	6840.04	3212.66	1208.34	3794.3	733.19	1208.34
FCGR2A	109.66	400.71	162.14	332.14	183.82	41.22	1081.39	289.02	64.34	158.79	483.38	3515.68	1628.26	967.76	1583.71	1242.34	1674.06	356.05	1674.06	279.14	368.65	854.13	802.41	1350.18	559.28	460.44	116.78	51.71	356.05	63.89	69.03	33.54	46.84	473.41	88.26	115.16	105.89	208.38	80.57	44.25	256.78	514.56	2417.67	463.65	1268.46	769.69	236.21	1051.79	81.71	988.12
FCGR3A	61.25	147.06	228.13	460.44	7.63	58.3	921.88	202.66	72.52	103.69	53.95	2777.33	5147.73	1508.65	5555.65	1427.22	5292.48	118.43	4298.64	128.79	256.78	674.59	395.18	2555.58	830.75	612.11	46.18	45.85	237.86	159.9	180.02	170.25	264.03	1572.76	348.71	183.82	1104.13	275.28	334.46	118.43	353.59	214.27	3257.52	173.85	1286.18	271.48	40.93	651.58	178.77	896.64
