	TCGA.BH.A1EU.01A.11R.A137.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.A3.A8OV.01A.11R.A37O.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.B0.5812.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4330.01A.01R.1289.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B2.A4SR.01A.11R.A266.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.A3.3378.01A.02R.1325.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4161.01A.02R.1325.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.BP.4169.01A.02R.1289.07	TCGA.B0.4827.01A.02R.1420.07	TCGA.CZ.5459.01A.01R.1503.07	TCGA.CZ.5988.01A.11R.1672.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.MW.A4EC.01A.11R.A266.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.B8.4143.01A.01R.1188.07	TCGA.A3.A8OU.01A.11R.A37O.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.A3.3387.01A.01R.1541.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.AK.3461.01A.02R.1277.07	TCGA.CZ.5460.01A.01R.1503.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B0.5110.01A.01R.1420.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B0.5703.01A.11R.1541.07	TCGA.BP.4354.01A.02R.1289.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.B0.5113.01A.01R.1420.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.BP.4162.01A.02R.1325.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.B0.5115.01A.01R.1420.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.B0.4838.01A.01R.1305.07	TCGA.BP.4347.01A.01R.1289.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.A3.3367.01A.02R.1420.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.B8.5552.01B.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.BP.4789.01A.01R.1305.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4639.01A.02R.1325.07	TCGA.CZ.5451.01A.01R.1503.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07
ATAD5	46.18	44.89	41.52	8.25	12.27	22.26	17.25	12.74	8.99	10.71	17.25	28.04	35.0	15.68	21.78	12.93	29.27	10.96	8.65	35.5	47.84	24.81	12.74	22.75	15.0	24.63	10.0	20.41	19.53	9.34	7.75	7.4	10.79	28.24	16.88	3.38	6.26	2.84	22.92	9.06	10.31	10.16	31.0	13.12	16.75	9.48	21.32	18.29	17.64	15.0	13.83	10.08	12.55	17.13	5.11	19.97	19.53	11.82	7.82	20.86	5.23	11.82	35.5	25.35	6.36	13.03	11.04	19.11	18.7	14.89	17.38	28.24	24.46	10.96	20.56	17.64	13.83	24.46	17.0	14.67	8.06	21.32	22.59	16.27	13.62	10.0	19.25	36.27	0.8	9.48	14.45	14.35	7.28	14.03	31.45	16.27	27.44	17.0	21.94	14.56	25.54	17.9	9.41	9.27	26.28	15.0	8.06	6.62	4.35	21.16	10.88	10.96	15.68	20.71	8.78	16.88	4.94	21.01	15.56	9.2	24.63	14.45	8.58	0.39	4.54	5.19	0.0
ATF6	660.68	769.69	180.02	231.32	234.57	473.41	353.59	312.0	229.72	309.83	343.89	389.72	395.18	255.0	389.72	279.14	540.19	332.14	265.87	438.59	532.74	193.01	170.25	395.18	197.09	368.65	323.03	279.14	366.09	206.94	486.75	223.41	224.97	381.68	463.65	265.87	305.55	214.27	323.03	242.88	229.72	275.28	264.03	253.23	476.71	253.23	406.31	229.72	279.14	414.87	246.28	260.38	231.32	301.33	265.87	199.85	426.57	256.78	379.04	403.5	358.54	279.14	493.56	303.44	241.19	239.52	229.72	447.82	447.82	273.37	366.09	231.32	363.56	251.48	363.56	279.14	363.56	432.53	353.59	264.03	224.97	305.55	361.04	256.78	454.09	329.84	441.64	429.54	137.14	307.69	175.07	279.14	277.2	220.32	195.72	170.25	187.71	264.03	334.46	387.02	384.34	412.0	314.17	414.87	397.93	167.9	246.28	332.14	269.6	281.09	209.84	287.01	267.73	181.28	314.17	217.27	180.02	417.77	226.54	138.1	164.42	303.44	165.57	201.25	234.57	336.79	195.72
BAZ1B	995.0	1191.69	373.81	514.56	591.22	872.1	684.02	595.34	406.31	616.37	629.35	638.15	854.13	612.11	775.05	454.09	674.59	514.56	400.71	967.76	1030.12	642.59	392.44	607.87	208.38	684.02	432.53	486.75	1023.0	532.74	532.74	775.05	384.34	703.28	1191.69	368.65	559.28	381.68	791.35	454.09	406.31	480.04	412.0	454.09	674.59	432.53	796.86	441.64	529.06	656.11	571.05	514.56	536.45	507.46	356.05	493.56	769.69	466.88	514.56	836.53	500.46	842.36	974.5	660.68	536.45	1081.39	503.95	848.22	647.07	466.88	759.08	490.14	743.43	423.61	579.04	497.0	323.03	915.51	638.15	476.71	450.94	791.35	638.15	551.56	764.36	518.15	507.46	660.68	50.63	490.14	417.77	616.37	301.33	346.29	361.04	507.46	473.41	563.18	529.06	660.68	665.29	599.49	460.44	571.05	842.36	447.82	417.77	447.82	395.18	518.15	441.64	656.11	540.19	532.74	698.41	575.03	316.37	571.05	466.88	743.43	400.71	620.67	226.54	115.16	197.09	271.48	139.07
BIRC6	954.43	1639.59	500.46	392.44	441.64	769.69	551.56	536.45	332.14	429.54	642.59	629.35	547.75	476.71	813.63	483.38	738.29	567.1	371.22	665.29	669.92	547.75	353.59	616.37	279.14	583.07	536.45	420.68	656.11	283.05	406.31	412.0	480.04	728.11	698.41	320.8	559.28	246.28	642.59	409.15	376.41	423.61	642.59	463.65	603.67	426.57	620.67	470.14	656.11	575.03	435.55	426.57	438.59	403.5	348.71	420.68	723.08	447.82	444.72	733.19	384.34	511.0	624.99	575.03	289.02	397.93	473.41	866.07	764.36	450.94	669.92	486.75	583.07	373.81	571.05	529.06	429.54	733.19	738.29	457.25	454.09	543.96	543.96	518.15	703.28	414.87	466.88	708.18	75.64	450.94	353.59	466.88	279.14	323.03	591.22	444.72	532.74	417.77	563.18	555.41	532.74	583.07	447.82	555.41	684.02	351.14	429.54	356.05	387.02	511.0	403.5	384.34	457.25	400.71	447.82	466.88	303.44	638.15	466.88	460.44	460.44	540.19	253.23	204.07	191.67	217.27	212.78
BRWD3	209.84	101.54	100.13	33.54	49.56	139.07	92.05	75.64	32.59	51.71	97.36	133.36	135.24	66.18	107.38	65.26	139.07	88.88	33.54	114.36	75.64	124.37	70.01	108.14	32.82	98.04	44.57	49.56	69.03	41.52	42.71	43.63	44.89	143.01	110.43	36.27	50.27	25.17	92.05	32.13	33.78	42.11	62.56	50.98	64.34	49.91	87.65	61.25	87.03	98.73	63.0	61.68	49.56	63.89	26.67	73.03	124.37	35.76	38.67	134.3	73.03	48.18	99.43	93.35	33.3	41.52	41.22	124.37	105.15	58.71	90.14	62.56	101.54	30.78	102.97	94.01	41.81	99.43	81.14	49.91	46.84	92.05	119.26	71.0	107.38	36.01	75.64	153.34	5.45	62.12	38.67	68.07	39.22	40.93	118.43	55.1	91.41	44.57	74.06	89.51	107.38	98.73	63.89	70.51	118.43	63.45	33.3	43.63	31.67	57.49	45.53	50.27	36.53	61.25	46.5	52.82	46.18	100.13	50.98	50.63	33.54	50.63	28.65	5.59	9.41	27.64	9.27
C1orf112	209.84	167.9	69.52	35.5	27.84	69.03	57.89	50.63	64.8	51.71	72.01	66.18	98.73	63.45	80.01	43.32	88.26	61.68	34.26	95.34	120.1	60.82	42.11	87.03	59.55	75.11	55.1	77.25	80.57	38.67	53.95	52.82	39.5	78.34	73.03	30.34	50.63	24.28	74.58	49.56	49.91	50.27	110.43	45.21	82.29	59.97	90.14	50.98	66.65	66.18	38.67	36.01	36.53	44.25	41.81	47.84	60.82	46.5	52.08	82.29	61.68	52.82	115.97	100.83	38.12	56.28	38.67	76.71	85.82	50.98	65.72	67.59	90.14	42.71	98.73	63.89	65.72	74.58	52.82	65.26	49.21	98.73	65.72	72.52	58.71	57.89	58.3	111.99	36.79	43.63	43.94	57.08	37.85	44.57	50.63	41.81	66.65	58.3	77.79	55.1	106.63	80.01	50.27	47.17	97.36	48.52	45.85	44.57	26.86	67.12	68.55	50.27	55.49	66.65	39.5	81.14	52.45	72.01	65.72	38.12	50.27	69.03	15.56	23.42	19.39	41.81	20.11
CACUL1	620.67	470.14	325.29	224.97	176.29	285.03	327.56	223.41	163.28	223.41	412.0	323.03	409.15	226.54	271.48	198.47	473.41	271.48	129.69	450.94	368.65	277.2	133.36	305.55	206.94	371.22	195.72	201.25	283.05	110.43	195.72	138.1	157.68	412.0	334.46	180.02	212.78	135.24	358.54	226.54	155.5	190.34	264.03	221.86	351.14	177.53	356.05	191.67	220.32	234.57	163.28	221.86	176.29	215.77	175.07	133.36	325.29	202.66	215.77	460.44	217.27	139.07	329.84	301.33	191.67	145.02	147.06	353.59	450.94	212.78	341.51	201.25	358.54	161.02	316.37	256.78	158.79	260.38	291.04	211.31	198.47	283.05	297.17	251.48	334.46	191.67	318.57	457.25	132.44	183.82	158.79	228.13	194.36	178.77	329.84	209.84	239.52	199.85	202.66	336.79	358.54	361.04	211.31	287.01	463.65	199.85	183.82	214.27	144.01	232.94	129.69	244.57	165.57	170.25	202.66	177.53	183.82	297.17	189.02	171.45	164.42	206.94	118.43	144.01	137.14	114.36	100.13
CAMSAP2	490.14	909.17	195.72	151.22	130.6	460.44	483.38	283.05	220.32	239.52	353.59	264.03	351.14	287.01	406.31	218.79	346.29	260.38	118.43	379.04	320.8	341.51	178.77	329.84	115.97	395.18	246.28	191.67	450.94	140.04	289.02	287.01	185.11	447.82	466.88	248.0	285.03	105.89	226.54	211.31	164.42	234.57	299.25	193.01	334.46	301.33	323.03	253.23	246.28	438.59	185.11	248.0	223.41	218.79	177.53	211.31	426.57	121.79	312.0	480.04	356.05	309.83	486.75	323.03	171.45	223.41	197.09	412.0	403.5	260.38	332.14	231.32	277.2	147.06	325.29	255.0	154.42	457.25	339.14	180.02	237.86	490.14	332.14	346.29	414.87	309.83	291.04	332.14	253.23	189.02	201.25	285.03	146.03	178.77	228.13	142.01	199.85	218.79	167.9	466.88	403.5	320.8	228.13	318.57	414.87	242.88	190.34	242.88	183.82	231.32	212.78	144.01	149.12	285.03	234.57	273.37	190.34	417.77	299.25	146.03	178.77	226.54	103.69	47.17	92.7	39.22	21.94
CARD8	1001.93	1191.69	135.24	409.15	463.65	941.27	802.41	638.15	532.74	536.45	1104.13	947.83	830.75	540.19	1304.15	909.17	1135.2	769.69	373.81	981.29	796.86	1225.22	454.09	915.51	607.87	1081.39	612.11	616.37	866.07	583.07	384.34	397.93	693.58	1457.23	872.1	595.34	414.87	351.14	1104.13	536.45	616.37	679.29	909.17	713.11	961.07	753.83	780.44	633.73	967.76	941.27	579.04	638.15	559.28	660.68	420.68	638.15	825.0	500.46	595.34	1467.37	400.71	403.5	1199.98	860.08	603.67	447.82	444.72	836.53	1322.37	921.88	785.88	860.08	902.89	438.59	825.0	909.17	620.67	656.11	860.08	529.06	656.11	934.76	848.22	1051.79	1037.29	656.11	503.95	1030.12	148.09	708.18	450.94	438.59	470.14	708.18	988.12	941.27	1111.82	450.94	476.71	1066.48	1208.34	1059.11	669.92	490.14	890.44	928.3	629.35	651.58	543.96	723.08	457.25	547.75	518.15	629.35	514.56	836.53	460.44	1015.93	854.13	684.02	595.34	728.11	126.12	236.21	161.02	244.57	155.5
CCDC77	217.27	289.02	143.01	108.9	111.99	165.57	159.9	136.19	85.22	114.36	137.14	161.02	162.14	101.54	175.07	87.65	185.11	119.26	74.58	194.36	182.55	98.73	95.34	120.94	91.41	128.79	113.56	130.6	124.37	93.35	98.04	81.14	92.05	180.02	172.65	56.68	65.26	81.14	147.06	74.58	106.63	122.64	231.32	101.54	141.02	57.08	164.42	74.06	121.79	94.01	78.89	115.97	99.43	98.73	81.71	140.04	162.14	116.78	124.37	205.5	137.14	86.43	149.12	155.5	87.65	136.19	102.97	162.14	155.5	111.99	111.99	123.5	110.43	105.15	144.01	129.69	61.25	105.89	127.0	132.44	94.67	154.42	133.36	132.44	161.02	106.63	214.27	164.42	27.84	119.26	107.38	148.09	87.65	88.88	96.01	96.01	148.09	90.14	101.54	138.1	173.85	145.02	100.13	146.03	146.03	111.99	100.13	138.1	74.06	149.12	104.42	133.36	108.14	99.43	81.71	108.14	108.9	158.79	73.03	95.34	81.71	141.02	53.57	26.28	53.19	72.01	41.22
CCDC88A	379.04	728.11	3.47	167.9	189.02	336.79	293.07	236.21	202.66	264.03	334.46	320.8	540.19	305.55	316.37	273.37	429.54	218.79	110.43	514.56	567.1	277.2	176.29	417.77	134.3	358.54	130.6	158.79	223.41	199.85	182.55	185.11	221.86	327.56	339.14	161.02	339.14	117.6	318.57	242.88	226.54	251.48	336.79	194.36	389.72	237.86	299.25	229.72	224.97	291.04	195.72	199.85	253.23	253.23	127.0	239.52	371.22	223.41	212.78	366.09	164.42	217.27	583.07	275.28	204.07	314.17	183.82	457.25	536.45	299.25	348.71	218.79	423.61	182.55	305.55	218.79	161.02	287.01	514.56	165.57	198.47	295.11	343.89	262.2	320.8	248.0	368.65	348.71	6.31	205.5	166.73	209.84	137.14	176.29	329.84	195.72	318.57	211.31	271.48	281.09	366.09	307.69	208.38	145.02	395.18	232.94	149.12	156.59	162.14	301.33	256.78	190.34	150.17	208.38	178.77	214.27	119.26	480.04	289.02	194.36	204.07	220.32	96.68	25.35	53.57	102.25	23.93
CCNT1	536.45	555.41	149.12	108.14	149.12	329.84	221.86	231.32	148.09	158.79	217.27	253.23	303.44	208.38	258.57	169.07	244.57	166.73	108.9	281.09	273.37	236.21	130.6	236.21	205.5	293.07	141.02	130.6	226.54	127.0	175.07	125.24	170.25	363.56	244.57	154.42	165.57	126.12	226.54	123.5	145.02	166.73	237.86	158.79	249.73	148.09	323.03	158.79	183.82	267.73	135.24	193.01	158.79	182.55	126.12	246.28	316.37	102.25	264.03	329.84	283.05	183.82	325.29	356.05	123.5	115.16	171.45	376.41	267.73	180.02	325.29	166.73	214.27	110.43	218.79	189.02	189.02	307.69	262.2	220.32	111.21	226.54	332.14	198.47	264.03	135.24	260.38	291.04	43.94	185.11	149.12	253.23	199.85	117.6	218.79	122.64	194.36	137.14	161.02	285.03	221.86	281.09	190.34	305.55	269.6	138.1	110.43	260.38	99.43	149.12	130.6	191.67	137.14	177.53	180.02	165.57	166.73	249.73	153.34	166.73	164.42	185.11	69.03	41.22	59.97	54.72	38.67
CCNT2	718.08	796.86	149.12	124.37	148.09	309.83	208.38	248.0	177.53	191.67	295.11	343.89	332.14	181.28	447.82	329.84	309.83	209.84	141.02	307.69	323.03	483.38	218.79	486.75	223.41	351.14	115.97	165.57	299.25	131.51	127.89	118.43	217.27	376.41	285.03	138.1	301.33	70.01	275.28	164.42	182.55	218.79	363.56	185.11	246.28	295.11	309.83	301.33	329.84	414.87	244.57	214.27	206.94	275.28	89.51	348.71	305.55	273.37	169.07	400.71	138.1	201.25	417.77	346.29	116.78	158.79	154.42	409.15	435.55	392.44	444.72	297.17	376.41	142.01	341.51	348.71	241.19	366.09	417.77	191.67	204.07	361.04	303.44	309.83	265.87	201.25	299.25	395.18	29.06	190.34	190.34	159.9	232.94	234.57	599.49	258.57	450.94	178.77	204.07	265.87	348.71	387.02	151.22	267.73	444.72	241.19	133.36	133.36	108.14	253.23	206.94	156.59	126.12	325.29	158.79	289.02	148.09	346.29	293.07	231.32	256.78	295.11	97.36	19.97	45.21	84.04	24.63
CDK13	684.02	872.1	279.14	275.28	346.29	476.71	384.34	361.04	309.83	327.56	432.53	483.38	493.56	316.37	476.71	379.04	460.44	341.51	307.69	620.67	612.11	559.28	264.03	503.95	244.57	500.46	323.03	271.48	466.88	260.38	301.33	555.41	307.69	438.59	536.45	291.04	412.0	206.94	486.75	343.89	260.38	305.55	420.68	297.17	392.44	323.03	441.64	429.54	397.93	463.65	358.54	343.89	387.02	450.94	239.52	529.06	470.14	384.34	297.17	540.19	239.52	438.59	595.34	395.18	366.09	500.46	323.03	532.74	450.94	532.74	493.56	547.75	571.05	264.03	403.5	403.5	312.0	563.18	466.88	295.11	373.81	476.71	438.59	384.34	441.64	334.46	429.54	503.95	97.36	265.87	403.5	351.14	341.51	463.65	503.95	457.25	688.78	260.38	318.57	351.14	547.75	412.0	246.28	571.05	532.74	476.71	376.41	231.32	255.0	423.61	269.6	358.54	341.51	500.46	314.17	507.46	275.28	480.04	423.61	583.07	466.88	490.14	185.11	106.63	103.69	211.31	124.37
CEP85L	87.65	395.18	1.13	29.48	28.24	64.8	59.13	59.55	28.86	37.05	58.3	66.18	60.82	35.0	75.64	57.49	103.69	48.18	16.39	65.72	62.12	105.15	27.64	74.06	18.16	67.12	46.84	48.52	88.88	21.01	27.05	19.25	37.05	75.11	80.57	29.48	42.41	33.3	93.35	26.86	33.54	51.71	48.52	47.84	84.63	36.53	69.03	55.49	50.98	68.55	36.53	41.22	45.53	29.48	21.94	58.3	88.26	35.25	62.12	106.63	23.59	43.32	89.51	116.78	32.59	31.45	25.35	95.34	107.38	72.52	75.64	96.68	89.51	24.63	63.89	48.52	40.64	76.17	64.34	29.06	43.02	124.37	76.17	62.12	85.82	44.25	43.32	89.51	3.89	29.91	35.76	34.75	13.83	40.93	71.5	42.11	86.43	33.78	49.56	62.56	83.45	82.87	41.52	84.04	104.42	42.11	31.9	43.02	26.86	42.41	14.03	28.24	42.41	62.12	43.94	45.21	13.03	48.52	51.35	62.12	24.63	64.8	7.57	3.72	6.36	9.2	13.12
CNEP1R1	395.18	836.53	299.25	332.14	189.02	307.69	353.59	223.41	441.64	211.31	366.09	251.48	368.65	363.56	262.2	277.2	403.5	211.31	198.47	507.46	476.71	297.17	264.03	316.37	387.02	403.5	209.84	189.02	309.83	237.86	248.0	262.2	246.28	379.04	265.87	204.07	273.37	163.28	395.18	336.79	197.09	239.52	387.02	208.38	363.56	373.81	397.93	299.25	249.73	309.83	262.2	295.11	255.0	241.19	251.48	264.03	363.56	271.48	275.28	341.51	275.28	239.52	493.56	264.03	187.71	339.14	242.88	366.09	417.77	271.48	389.72	325.29	483.38	242.88	297.17	323.03	320.8	305.55	307.69	215.77	316.37	297.17	249.73	325.29	318.57	244.57	309.83	400.71	176.29	205.5	307.69	253.23	368.65	208.38	264.03	327.56	336.79	264.03	221.86	329.84	291.04	346.29	253.23	307.69	366.09	316.37	260.38	277.2	220.32	237.86	295.11	204.07	269.6	271.48	236.21	195.72	208.38	384.34	299.25	204.07	229.72	318.57	253.23	183.82	137.14	88.26	76.17
CNOT2	1721.16	1870.53	665.29	780.44	567.1	1167.14	988.12	860.08	708.18	753.83	1051.79	1199.98	1447.15	974.5	1015.93	819.3	928.3	947.83	728.11	1498.22	1388.16	1199.98	679.29	1059.11	647.07	1081.39	854.13	647.07	1159.07	1066.48	738.29	808.0	647.07	1250.98	1001.93	718.08	759.08	500.46	954.43	642.59	559.28	785.88	1167.14	620.67	1096.5	866.07	1322.37	679.29	878.17	954.43	688.78	921.88	866.07	878.17	674.59	775.05	1088.92	607.87	1135.2	1073.91	1030.12	698.41	1498.22	1529.73	769.69	693.58	738.29	1304.15	1397.83	866.07	1216.75	934.76	1044.52	796.86	1059.11	848.22	638.15	1208.34	1044.52	1015.93	802.41	1059.11	1030.12	1023.0	947.83	743.43	1832.01	1159.07	198.47	995.0	759.08	1111.82	780.44	866.07	1143.1	703.28	842.36	728.11	1044.52	995.0	1167.14	981.29	728.11	1051.79	1135.2	791.35	1051.79	1151.06	842.36	738.29	688.78	884.29	620.67	713.11	909.17	961.07	974.5	954.43	728.11	1233.75	848.22	1159.07	307.69	264.03	363.56	295.11	260.38
CRLF3	412.0	435.55	813.63	176.29	132.44	221.86	255.0	182.55	190.34	206.94	299.25	260.38	231.32	171.45	204.07	231.32	376.41	185.11	112.77	373.81	361.04	277.2	169.07	341.51	293.07	291.04	194.36	120.1	209.84	197.09	305.55	105.89	156.59	239.52	236.21	129.69	173.85	115.16	507.46	206.94	115.16	167.9	309.83	198.47	403.5	209.84	262.2	241.19	204.07	241.19	214.27	204.07	253.23	185.11	143.01	194.36	246.28	151.22	177.53	283.05	226.54	182.55	406.31	191.67	133.36	144.01	134.3	293.07	265.87	175.07	241.19	318.57	361.04	136.19	223.41	202.66	297.17	318.57	221.86	149.12	165.57	241.19	231.32	237.86	289.02	170.25	202.66	318.57	24.11	156.59	173.85	135.24	180.02	182.55	177.53	283.05	303.44	190.34	234.57	198.47	224.97	248.0	190.34	204.07	316.37	202.66	277.2	220.32	140.04	241.19	130.6	190.34	195.72	191.67	143.01	231.32	116.78	262.2	236.21	151.22	163.28	165.57	102.25	61.25	38.67	49.91	35.76
CTTNBP2NL	392.44	490.14	1437.15	273.37	128.79	642.59	503.95	327.56	242.88	295.11	426.57	473.41	406.31	339.14	555.41	327.56	457.25	423.61	234.57	547.75	368.65	309.83	142.01	406.31	241.19	463.65	336.79	329.84	921.88	214.27	224.97	152.28	201.25	620.67	571.05	291.04	341.51	214.27	457.25	234.57	199.85	301.33	267.73	212.78	400.71	275.28	466.88	189.02	444.72	438.59	249.73	293.07	206.94	273.37	180.02	111.21	525.39	176.29	387.02	665.29	303.44	195.72	486.75	358.54	285.03	198.47	287.01	480.04	915.51	341.51	480.04	223.41	314.17	236.21	376.41	371.22	180.02	361.04	417.77	237.86	255.0	493.56	414.87	346.29	587.13	228.13	426.57	514.56	22.1	336.79	171.45	417.77	231.32	204.07	244.57	217.27	205.5	271.48	262.2	575.03	432.53	450.94	414.87	281.09	583.07	256.78	229.72	312.0	323.03	258.57	127.89	248.0	242.88	167.9	289.02	208.38	218.79	351.14	217.27	176.29	165.57	339.14	113.56	94.67	82.87	11.55	15.34
DCLRE1C	206.94	241.19	191.67	95.34	72.52	136.19	110.43	88.26	79.45	112.77	120.94	173.85	162.14	114.36	145.02	118.43	211.31	104.42	89.51	231.32	176.29	157.68	135.24	186.4	126.12	126.12	104.42	75.64	144.01	94.67	134.3	102.25	79.45	132.44	152.28	51.35	68.07	44.89	193.01	82.29	81.71	48.52	181.28	74.58	173.85	202.66	163.28	148.09	103.69	112.77	82.87	82.87	108.14	90.77	65.72	151.22	115.97	75.11	84.63	205.5	77.79	172.65	180.02	146.03	100.13	84.04	98.04	169.07	134.3	120.1	132.44	172.65	242.88	144.01	161.02	102.25	140.04	175.07	116.78	96.68	78.34	146.03	189.02	205.5	127.0	125.24	150.17	209.84	27.05	105.89	86.43	127.89	81.14	127.89	176.29	180.02	187.71	74.58	127.89	119.26	146.03	145.02	87.65	71.0	125.24	73.54	101.54	67.12	72.01	143.01	62.56	85.22	120.1	137.14	86.43	172.65	80.01	147.06	149.12	127.89	139.07	117.6	33.54	11.13	26.47	21.78	3.26
DDHD1	197.09	124.37	17.77	48.18	65.72	93.35	106.63	61.68	46.18	68.07	133.36	95.34	127.0	58.3	156.59	73.03	113.56	77.79	26.28	120.1	119.26	136.19	65.72	108.9	44.25	115.97	80.01	68.07	120.1	35.25	44.57	51.35	72.52	127.0	82.87	46.84	69.03	40.93	127.89	32.59	47.5	60.39	97.36	56.28	82.29	53.19	71.5	76.71	84.63	107.38	81.71	72.01	57.89	71.5	44.57	53.19	102.25	52.45	84.63	121.79	71.0	67.59	86.43	120.94	45.21	54.72	38.4	102.25	150.17	80.01	110.43	75.64	97.36	27.05	105.89	88.88	50.98	88.88	79.45	46.84	85.82	94.67	100.83	99.43	100.83	51.71	50.27	100.13	13.93	43.63	66.18	64.34	43.02	55.49	114.36	85.22	111.21	66.65	57.49	86.43	144.01	100.13	59.13	107.38	159.9	69.52	49.21	59.97	45.21	84.04	41.52	79.45	40.36	66.18	37.32	66.18	46.84	105.15	97.36	49.21	49.56	55.89	15.56	31.9	46.84	19.68	14.35
