	TCGA.BH.A0BO.01A.23R.A12D.07	TCGA.BH.A201.01A.11R.A14M.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.145MF.0826.SM.5QGQA	TCGA.BJ.A3F0.01A.11R.A206.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.13O61.0226.SM.5KM52	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
GNL3	3146.52	2417.67	253.23	571.05	507.46	842.36	1175.27	1233.75	718.08	1001.93	748.61	995.0	713.11	808.0	1159.07	1143.1	866.07	764.36	1008.9	796.86	753.83
GPATCH4	1313.23	1427.22	169.07	228.13	392.44	629.35	723.08	1001.93	387.02	409.15	454.09	733.19	503.95	384.34	665.29	651.58	476.71	387.02	647.07	414.87	392.44
GTPBP4	1378.57	1088.92	170.25	215.77	363.56	587.13	633.73	890.44	373.81	476.71	414.87	651.58	521.76	463.65	616.37	620.67	460.44	454.09	575.03	429.54	450.94
HCCS	525.39	599.49	334.46	406.31	366.09	532.74	555.41	532.74	236.21	287.01	271.48	486.75	381.68	423.61	518.15	473.41	353.59	450.94	656.11	289.02	343.89
IDH3A	1313.23	1498.22	351.14	457.25	429.54	819.3	1447.15	1350.18	432.53	665.29	612.11	1119.56	802.41	748.61	1151.06	1561.89	723.08	718.08	1250.98	796.86	591.22
IRX3	1111.82	2591.27	21.78	5.77	98.73	325.29	134.3	813.63	159.9	287.01	105.89	244.57	406.31	31.45	323.03	599.49	480.04	212.78	121.79	376.41	105.89
KIAA0040	2502.97	1617.0	64.8	108.14	279.14	329.84	176.29	591.22	255.0	373.81	181.28	336.79	279.14	217.27	232.94	791.35	165.57	190.34	371.22	162.14	215.77
KIAA1644	67.59	52.82	0.54	1.25	1.95	4.7	26.47	9.27	5.28	2.92	4.46	12.27	4.21	2.86	5.68	2.78	6.46	2.03	18.97	3.92	0.27
LCMT2	206.94	293.07	65.26	87.03	38.95	218.79	239.52	251.48	147.06	106.63	156.59	267.73	191.67	217.27	194.36	249.73	211.31	169.07	220.32	146.03	154.42
MARS2	208.38	176.29	90.14	73.54	52.45	76.17	105.15	113.56	45.85	37.05	37.59	122.64	63.0	83.45	96.01	107.38	63.89	57.89	122.64	38.95	57.08
MRTO4	842.36	769.69	287.01	334.46	403.5	429.54	486.75	575.03	323.03	361.04	346.29	473.41	409.15	384.34	423.61	432.53	379.04	320.8	412.0	287.01	343.89
NANP	100.13	94.67	28.65	26.47	41.81	68.07	77.79	81.14	38.95	51.35	33.78	87.03	53.19	84.04	69.52	80.57	78.89	71.0	81.14	50.98	54.33
NAT10	669.92	753.83	275.28	312.0	389.72	480.04	540.19	684.02	463.65	454.09	466.88	518.15	426.57	384.34	532.74	532.74	429.54	435.55	521.76	403.5	547.75
NIP7	941.27	764.36	166.73	212.78	312.0	341.51	329.84	463.65	195.72	271.48	197.09	441.64	281.09	301.33	320.8	470.14	291.04	275.28	353.59	265.87	228.13
NOL6	753.83	733.19	329.84	301.33	397.93	457.25	575.03	536.45	329.84	351.14	346.29	447.82	379.04	373.81	525.39	480.04	435.55	371.22	435.55	327.56	353.59
OGFOD1	684.02	1096.5	244.57	226.54	251.48	521.76	521.76	713.11	334.46	299.25	327.56	497.0	381.68	392.44	587.13	607.87	366.09	400.71	490.14	341.51	323.03
PA2G4	2796.65	3325.99	974.5	1073.91	1447.15	2240.11	2417.67	2796.65	1594.73	1757.34	1662.49	2384.37	1769.57	1551.09	2133.97	2209.26	1628.26	1883.54	2047.0	1639.59	1709.26
PDE12	384.34	303.44	98.73	105.89	84.04	209.84	217.27	273.37	91.41	98.73	92.05	229.72	167.9	170.25	205.5	273.37	146.03	182.55	205.5	125.24	106.63
PICALM	4481.23	5791.62	941.27	1259.69	1304.15	1819.35	1697.45	1870.53	1167.14	1883.54	1540.37	1870.53	1685.71	1378.57	1617.0	2351.53	1331.57	1594.73	1857.6	1605.83	1286.18
PPRC1	1594.73	743.43	130.6	121.79	271.48	529.06	514.56	651.58	279.14	441.64	262.2	511.0	397.93	384.34	423.61	785.88	412.0	307.69	480.04	361.04	323.03
PRKAR2A	486.75	518.15	158.79	193.01	237.86	309.83	384.34	432.53	234.57	223.41	414.87	403.5	279.14	368.65	339.14	529.06	320.8	371.22	417.77	295.11	309.83
PSMC6	2090.03	2178.83	733.19	1119.56	1427.22	1551.09	1709.26	1709.26	1242.34	1733.13	1477.58	1561.89	1437.15	1572.76	1757.34	1781.89	1457.23	1551.09	1594.73	1594.73	1498.22
PSMD12	1119.56	1242.34	285.03	379.04	384.34	525.39	551.56	567.1	316.37	438.59	379.04	536.45	583.07	521.76	540.19	693.58	579.04	450.94	486.75	426.57	353.59
PWP1	866.07	947.83	341.51	373.81	532.74	825.0	813.63	981.29	629.35	616.37	638.15	872.1	599.49	684.02	769.69	884.29	679.29	708.18	780.44	571.05	748.61
RDH14	679.29	698.41	339.14	547.75	343.89	660.68	679.29	660.68	486.75	426.57	587.13	674.59	429.54	647.07	647.07	684.02	607.87	579.04	633.73	563.18	518.15
RINT1	307.69	299.25	75.11	115.16	149.12	228.13	217.27	234.57	224.97	301.33	204.07	198.47	206.94	271.48	208.38	281.09	237.86	194.36	217.27	199.85	202.66
RNF2	872.1	426.57	39.5	52.82	163.28	241.19	229.72	239.52	158.79	169.07	221.86	289.02	221.86	201.25	301.33	291.04	167.9	224.97	246.28	162.14	186.4
RPL7L1	1857.6	1617.0	514.56	808.0	915.51	1151.06	1143.1	1417.35	872.1	921.88	1183.45	1295.13	961.07	1044.52	1081.39	1487.87	947.83	1143.1	1183.45	1088.92	1008.9
SEC23IP	728.11	802.41	145.02	246.28	217.27	466.88	521.76	616.37	309.83	258.57	366.09	543.96	423.61	447.82	511.0	669.92	409.15	429.54	486.75	339.14	327.56
SELRC1	406.31	348.71	120.1	112.77	146.03	167.9	265.87	339.14	148.09	131.51	126.12	258.57	169.07	113.56	165.57	220.32	181.28	190.34	221.86	120.1	161.02
SLC2A1	444.72	825.0	42.41	5.45	218.79	555.41	435.55	463.65	312.0	275.28	264.03	591.22	332.14	486.75	466.88	460.44	373.81	400.71	591.22	381.68	285.03
SOCS4	258.57	221.86	13.83	34.26	82.87	140.04	150.17	178.77	68.07	102.97	87.65	146.03	127.0	126.12	162.14	234.57	130.6	130.6	158.79	119.26	75.64
SPRTN	186.4	209.84	38.67	38.4	72.52	102.25	106.63	142.01	91.41	68.55	81.71	164.42	108.9	113.56	138.1	156.59	96.68	118.43	115.97	85.22	100.83
SRP54	1208.34	1477.58	616.37	753.83	813.63	961.07	1008.9	1030.12	825.0	1051.79	866.07	934.76	860.08	890.44	1023.0	1127.35	921.88	988.12	890.44	884.29	866.07
TAF13	1709.26	1183.45	429.54	543.96	775.05	703.28	723.08	802.41	620.67	518.15	764.36	656.11	718.08	642.59	684.02	981.29	633.73	603.67	791.35	743.43	438.59
TAF5L	536.45	397.93	153.34	134.3	182.55	373.81	314.17	329.84	248.0	208.38	260.38	305.55	277.2	273.37	312.0	389.72	218.79	262.2	363.56	205.5	249.73
TG	21.63	7.0	197.09	2.48	610654.84	2247670.86	1997825.68	1290947.48	1984025.69	2986448.72	2425749.94	1929772.37	1943195.01	2636147.11	2263304.65	1668359.93	3178687.03	3886391.01	2263304.65	2672946.37	1864037.21
TOP1	2032.85	2061.24	248.0	368.65	591.22	1242.34	1175.27	1651.0	684.02	825.0	902.89	1304.15	934.76	967.76	1268.46	1639.59	941.27	1143.1	1369.04	934.76	884.29
TP53RK	361.04	363.56	73.03	58.71	104.42	226.54	214.27	279.14	148.09	140.04	136.19	277.2	191.67	226.54	231.32	271.48	232.94	180.02	255.0	182.55	142.01
TPM3	12415.75	11035.54	2047.0	2193.99	4769.75	5292.48	4972.34	6471.02	3665.02	4450.27	4239.45	5255.91	4736.79	3395.89	4937.99	5791.62	3847.29	4736.79	4543.8	3820.7	3419.52
TRMT6	476.71	389.72	57.08	73.54	163.28	239.52	211.31	287.01	166.73	156.59	154.42	232.94	172.65	205.5	218.79	264.03	178.77	153.34	231.32	147.06	156.59
UBE2N	2591.27	2701.35	718.08	928.3	1143.1	1519.15	1950.0	1883.54	995.0	1159.07	1015.93	1662.49	1832.01	1697.45	1832.01	1870.53	1417.35	1250.98	1498.22	974.5	1081.39
URB2	343.89	228.13	23.25	24.11	38.12	77.25	78.34	116.78	35.76	40.64	33.54	90.77	64.34	54.72	63.89	98.73	32.13	42.11	75.11	34.51	38.67
USP14	1519.15	1427.22	224.97	285.03	476.71	723.08	738.29	743.43	363.56	447.82	503.95	679.29	698.41	679.29	813.63	866.07	679.29	651.58	723.08	500.46	412.0
UTP14A	514.56	511.0	80.01	102.25	183.82	320.8	277.2	414.87	271.48	228.13	246.28	293.07	241.19	199.85	312.0	314.17	244.57	253.23	251.48	214.27	265.87
UTP15	353.59	336.79	54.33	66.65	83.45	164.42	139.07	178.77	82.29	92.7	60.39	186.4	130.6	120.1	150.17	187.71	127.0	159.9	177.53	93.35	112.77
VDR	733.19	412.0	8.19	9.34	48.87	86.43	129.69	147.06	41.22	45.53	37.32	146.03	63.45	55.89	72.52	108.9	52.45	63.0	74.06	70.01	52.82
VPS37A	713.11	511.0	183.82	438.59	318.57	473.41	507.46	583.07	358.54	470.14	432.53	463.65	397.93	476.71	551.56	579.04	466.88	368.65	507.46	417.77	314.17
WDR12	607.87	934.76	320.8	346.29	316.37	332.14	651.58	579.04	454.09	303.44	301.33	500.46	466.88	463.65	567.1	447.82	420.68	432.53	563.18	373.81	420.68
WDR26	1340.84	1628.26	299.25	403.5	607.87	915.51	884.29	791.35	536.45	616.37	536.45	836.53	693.58	775.05	921.88	1015.93	698.41	791.35	1044.52	679.29	656.11
ZBTB9	253.23	232.94	55.1	48.87	87.03	154.42	146.03	159.9	118.43	99.43	111.21	142.01	129.69	148.09	191.67	178.77	127.0	161.02	147.06	103.69	127.0
ZC3H15	1697.45	1991.0	246.28	642.59	743.43	1233.75	995.0	1477.58	842.36	1081.39	836.53	1096.5	902.89	902.89	1233.75	1208.34	981.29	1096.5	1104.13	967.76	921.88
ZNF275	191.67	146.03	114.36	87.03	131.51	167.9	162.14	156.59	116.78	176.29	105.89	177.53	122.64	111.21	181.28	231.32	96.68	145.02	201.25	94.01	135.24
ZNF35	256.78	199.85	16.39	13.32	61.68	85.82	80.57	107.38	61.68	57.89	48.87	86.43	88.26	79.45	77.79	104.42	68.07	88.88	100.83	56.68	65.72
ZNF587B	287.01	291.04	43.63	42.11	56.68	88.26	88.88	127.89	71.0	78.89	80.01	115.97	88.88	82.29	101.54	144.01	114.36	93.35	130.6	70.01	78.34
ZSCAN22	50.27	44.89	25.17	23.59	31.0	38.95	32.59	41.22	33.3	25.72	24.28	32.36	24.11	32.82	34.02	47.17	28.65	43.32	35.5	35.76	36.79
