	GTEX.13OW7.1926.SM.5LUB4	GTEX.11ONC.1426.SM.5N9F4	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.1313W.0726.SM.5EGK1	GTEX.Y5V6.0526.SM.4VBRV	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.RTLS.0626.SM.5SI7Z	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.11GSP.2426.SM.5N9BD	GTEX.RTLS.2426.SM.46MUO	GTEX.131YS.2326.SM.5IJFJ	GTEX.12WSD.2826.SM.59HKT	GTEX.13VXT.1626.SM.5IJES
HMGB3	52.82	67.12	934.76	463.65	540.19	493.56	387.02	348.71	470.14	591.22	417.77	638.15	384.34	269.6	486.75	412.0	397.93	507.46	258.57	718.08	283.05	497.0	205.5	536.45	603.67	320.8	679.29	1008.9	819.3	1001.93	339.14	237.86	624.99	187.71	450.94	267.73	412.0	150.17	60.39	121.79	167.9	251.48
LRBA	346.29	253.23	688.78	647.07	703.28	718.08	543.96	529.06	728.11	660.68	555.41	656.11	563.18	612.11	493.56	563.18	511.0	866.07	507.46	599.49	470.14	583.07	486.75	624.99	728.11	575.03	679.29	769.69	571.05	698.41	466.88	500.46	567.1	525.39	698.41	525.39	698.41	358.54	414.87	493.56	314.17	182.55
LSR	293.07	214.27	2104.58	1757.34	1605.83	1331.57	928.3	743.43	1397.83	1733.13	1437.15	1551.09	1322.37	1350.18	1388.16	1066.48	1540.37	1651.0	1135.2	2193.99	1066.48	1896.65	1250.98	1697.45	2075.59	1277.29	1662.49	1721.16	2351.53	1896.65	620.67	808.0	1477.58	1199.98	1498.22	1191.69	1605.83	271.48	466.88	669.92	441.64	1104.13
MAPK13	136.19	194.36	713.11	1378.57	713.11	642.59	624.99	525.39	866.07	1104.13	743.43	1008.9	371.22	583.07	633.73	624.99	915.51	854.13	555.41	1015.93	409.15	995.0	406.31	988.12	848.22	500.46	909.17	872.1	1008.9	854.13	384.34	348.71	629.35	540.19	1183.45	612.11	599.49	88.26	169.07	132.44	279.14	135.24
MAPKAPK3	432.53	395.18	2148.82	2224.63	1437.15	1551.09	1519.15	1605.83	2119.22	2032.85	1662.49	1697.45	1159.07	1225.22	1857.6	1561.89	1437.15	2032.85	1313.23	2163.77	1208.34	1639.59	1104.13	2224.63	1909.85	1233.75	2104.58	2104.58	1572.76	1819.35	1008.9	802.41	1572.76	1313.23	2555.58	1388.16	1529.73	384.34	389.72	669.92	353.59	260.38
MEGF9	151.22	166.73	1119.56	802.41	289.02	483.38	194.36	226.54	785.88	395.18	551.56	587.13	189.02	224.97	466.88	185.11	567.1	351.14	226.54	595.34	220.32	866.07	217.27	791.35	1208.34	215.77	1096.5	1295.13	1151.06	1059.11	269.6	178.77	791.35	185.11	647.07	218.79	353.59	166.73	134.3	172.65	74.06	48.18
MFSD6	358.54	414.87	934.76	1088.92	791.35	921.88	713.11	825.0	1051.79	679.29	728.11	775.05	703.28	599.49	591.22	733.19	728.11	791.35	660.68	819.3	629.35	708.18	651.58	780.44	1001.93	684.02	941.27	825.0	759.08	1233.75	684.02	551.56	723.08	587.13	836.53	703.28	1001.93	223.41	320.8	318.57	397.93	78.89
MGST1	3039.3	3103.19	20451.65	20310.37	7911.95	10883.59	4181.07	5872.48	21172.91	28525.2	10440.2	12329.98	4066.71	4903.87	8658.09	6699.25	9409.14	7803.01	7032.37	9344.14	3491.39	42641.37	3820.7	19082.0	25179.16	5219.6	15392.14	24321.43	29943.43	25179.16	5517.27	2997.45	13776.25	5479.15	16157.44	6471.02	6745.86	277.2	723.08	275.28	297.17	131.51
MRAS	309.83	323.03	718.08	830.75	796.86	848.22	674.59	343.89	842.36	738.29	785.88	651.58	457.25	373.81	373.81	490.14	403.5	376.41	444.72	748.61	507.46	693.58	642.59	698.41	954.43	674.59	961.07	555.41	902.89	769.69	387.02	420.68	947.83	361.04	583.07	543.96	507.46	236.21	149.12	318.57	289.02	351.14
MRPS23	497.0	525.39	2178.83	1794.29	1594.73	1427.22	1369.04	1151.06	2061.24	1883.54	1697.45	2271.4	1066.48	1119.56	1242.34	954.43	1508.65	1936.53	1359.57	1685.71	1081.39	2004.85	1073.91	1745.2	2119.22	1111.82	1870.53	1844.76	1936.53	2090.03	921.88	1051.79	1721.16	1350.18	1605.83	1259.69	1561.89	518.15	693.58	802.41	785.88	1044.52
NDFIP1	1104.13	928.3	6121.9	4152.18	3146.52	3690.52	2720.15	2209.26	5672.41	2645.74	2520.38	3742.05	2061.24	1870.53	2682.69	2627.46	2104.58	3280.18	2193.99	3614.55	1923.14	3847.29	2351.53	3928.15	3325.99	2573.36	3874.05	3614.55	3018.3	6337.83	1529.73	1674.06	2573.36	2400.97	4038.61	2384.37	3060.45	1427.22	988.12	1143.1	988.12	679.29
NPC2	6294.04	3540.14	26431.04	22850.48	10440.2	22225.61	5872.48	10659.59	28723.62	24660.96	35609.13	18052.61	15824.9	16960.78	14163.58	9474.59	9151.82	20451.65	6164.49	34396.12	7180.15	19348.38	10512.82	22380.2	30572.63	11827.67	24153.43	19618.49	46662.28	42937.97	8963.45	5995.9	13123.73	7130.55	29327.18	10225.32	16045.82	11424.74	5147.73	9088.59	6250.56	4123.49
NPNT	723.08	728.11	10368.08	9740.98	8134.41	8191.0	3467.27	4769.75	11992.79	6164.49	10368.08	10154.69	6983.79	5041.77	6079.61	4388.98	5112.16	8078.22	4802.93	10512.82	4388.98	14065.74	4512.4	7749.1	12160.22	4010.71	12329.98	12589.08	13776.25	16157.44	4239.45	4704.07	11035.54	6471.02	12676.65	6294.04	6699.25	2104.58	1233.75	848.22	1277.29	228.13
PARM1	532.74	363.56	6037.61	4543.8	2956.17	3039.3	1277.29	2178.83	5183.54	3639.7	3716.2	3928.15	1583.71	1628.26	3491.39	2240.11	2591.27	3103.19	1794.29	4123.49	1191.69	3349.13	2351.53	3955.48	4038.61	1639.59	4152.18	4543.8	4066.71	7803.01	1540.37	2255.7	4802.93	1909.85	2573.36	1437.15	2701.35	532.74	165.57	525.39	289.02	733.19
PDXK	785.88	854.13	1662.49	1697.45	1127.35	1066.48	1286.18	1059.11	1359.57	1936.53	2018.8	1407.55	1313.23	1233.75	1572.76	1030.12	1331.57	1427.22	1277.29	1781.89	1081.39	1832.01	1127.35	1572.76	1685.71	1369.04	1286.18	1617.0	2287.2	1378.57	1104.13	1111.82	2240.11	1583.71	2319.15	1216.75	1250.98	921.88	941.27	759.08	808.0	713.11
PEF1	1950.0	1685.71	5403.7	5366.37	4095.0	3847.29	3081.75	2915.45	5403.7	5329.3	4704.07	5076.84	2417.67	2720.15	3325.99	2855.44	4268.94	3716.2	3395.89	5555.65	3564.78	7032.37	2956.17	4972.34	4388.98	3589.58	4972.34	5831.91	6840.04	4869.99	2573.36	2609.3	4802.93	2935.74	4239.45	3039.3	3303.0	2240.11	1674.06	1594.73	1594.73	2193.99
PLEKHB2	708.18	603.67	1286.18	1529.73	1023.0	1199.98	1127.35	928.3	1225.22	1407.55	1216.75	1295.13	743.43	825.0	941.27	941.27	1388.16	1208.34	1037.29	1159.07	738.29	1088.92	769.69	1769.57	1135.2	1023.0	1605.83	1388.16	1340.84	1350.18	753.83	642.59	1388.16	934.76	1191.69	866.07	1191.69	366.09	264.03	226.54	281.09	258.57
PLS1	16.51	5.92	83.45	159.9	139.07	147.06	99.43	78.89	277.2	140.04	164.42	158.79	60.82	75.11	68.55	67.59	117.6	124.37	96.01	108.14	73.54	162.14	77.79	154.42	199.85	94.67	206.94	309.83	212.78	211.31	77.25	43.02	135.24	89.51	159.9	82.29	107.38	10.79	29.27	45.21	23.08	11.47
PRRG4	20.86	22.75	126.12	155.5	130.6	148.09	80.01	52.82	228.13	113.56	140.04	126.12	77.79	82.29	100.83	67.59	111.21	136.19	65.26	123.5	54.72	234.57	74.06	159.9	198.47	94.01	171.45	303.44	229.72	224.97	73.03	86.43	120.1	81.71	223.41	86.43	108.9	26.67	37.32	22.26	53.57	6.01
RAB18	825.0	656.11	2193.99	2367.9	2384.37	2739.08	1745.2	1540.37	2777.33	1977.24	2119.22	1857.6	1447.15	1135.2	1331.57	1540.37	2163.77	1991.0	1583.71	1733.13	1551.09	2664.15	1477.58	2351.53	2609.3	1697.45	2739.08	2796.65	2400.97	2485.67	1268.46	1143.1	2502.97	1721.16	2004.85	1508.65	2664.15	1175.27	738.29	620.67	854.13	796.86
SLC17A5	293.07	189.02	1369.04	1857.6	884.29	1191.69	518.15	521.76	2032.85	1111.82	1175.27	1437.15	493.56	684.02	551.56	599.49	764.36	759.08	480.04	1199.98	423.61	2417.67	493.56	1023.0	2178.83	460.44	1477.58	2271.4	2240.11	2209.26	291.04	503.95	1437.15	571.05	1487.87	796.86	759.08	206.94	78.89	133.36	66.18	130.6
SNX1	1167.14	1242.34	7433.4	5672.41	4152.18	3235.01	2555.58	2163.77	7642.41	6792.79	4038.61	5112.16	2148.82	2627.46	3564.78	2537.92	3349.13	3467.27	3039.3	6652.97	2133.97	5006.93	2303.12	4937.99	7180.15	2895.31	9151.82	5183.54	6887.62	7695.57	1950.0	2209.26	4575.41	3212.66	5006.93	2255.7	2835.7	1135.2	1295.13	1268.46	1427.22	1540.37
SORT1	211.31	432.53	1183.45	1111.82	1225.22	1059.11	723.08	703.28	1295.13	915.51	1119.56	995.0	802.41	679.29	836.53	872.1	902.89	1081.39	775.05	1037.29	575.03	1104.13	819.3	854.13	1498.22	915.51	1159.07	1242.34	1167.14	1388.16	521.76	796.86	981.29	802.41	1081.39	830.75	1037.29	187.71	182.55	143.01	164.42	218.79
ST3GAL1	327.56	264.03	4639.29	3419.52	2351.53	2303.12	1295.13	1111.82	2255.7	2645.74	1745.2	1870.53	1781.89	1259.69	1909.85	1340.84	1896.65	2875.3	884.29	2434.5	1001.93	2537.92	909.17	3060.45	2451.44	909.17	3443.31	3060.45	2502.97	4268.94	1175.27	1023.0	2758.13	1594.73	3665.02	1844.76	1757.34	163.28	265.87	104.42	54.72	320.8
STAU1	1008.9	967.76	2485.67	2384.37	2075.59	2018.8	1605.83	1268.46	2351.53	1806.78	2209.26	1909.85	1487.87	1167.14	1508.65	1417.35	1757.34	1923.14	1487.87	1896.65	1551.09	2485.67	1225.22	2485.67	2351.53	1407.55	2451.44	2645.74	2163.77	2855.44	1467.37	1233.75	2193.99	1605.83	2119.22	1674.06	1857.6	1151.06	688.78	866.07	830.75	738.29
TG	135.24	24.28	2247670.86	2126426.15	1751305.3	2375828.71	1611529.43	1622738.51	1634025.56	1997825.68	1984025.69	1997825.68	1984025.69	1355129.16	2986448.72	1567462.05	2025714.3	2425749.94	1299926.74	1943195.01	1048575.0	2636147.11	1063212.58	2263304.65	2111737.85	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	789181.81	428815.23	2263304.65	1535204.12	2672946.37	1864037.21	1634025.56	11.91	13.83	13.22	40.36	20.41
TPD52L1	830.75	341.51	5329.3	3491.39	2133.97	2627.46	1023.0	974.5	5329.3	3467.27	1674.06	3039.3	738.29	1498.22	1870.53	1159.07	1199.98	1540.37	967.76	6037.61	796.86	5872.48	1331.57	6561.36	3039.3	1477.58	2468.49	1844.76	4903.87	7230.1	1088.92	902.89	4095.0	1001.93	2701.35	1104.13	1119.56	753.83	688.78	967.76	1397.83	620.67
TTC39A	17.77	4.94	232.94	346.29	107.38	147.06	106.63	137.14	260.38	277.2	339.14	226.54	114.36	91.41	144.01	97.36	118.43	212.78	123.5	199.85	30.56	244.57	49.91	217.27	236.21	94.67	262.2	303.44	312.0	351.14	80.57	57.49	277.2	107.38	341.51	114.36	82.29	20.71	15.34	20.86	23.08	34.51
UBE2K	679.29	703.28	1001.93	1023.0	954.43	1096.5	884.29	896.64	1295.13	1059.11	941.27	902.89	836.53	629.35	872.1	884.29	974.5	878.17	842.36	1183.45	775.05	1340.84	698.41	1359.57	909.17	848.22	1111.82	896.64	1233.75	1159.07	909.17	629.35	1143.1	836.53	1119.56	748.61	981.29	703.28	435.55	525.39	607.87	417.77
XDH	0.0	0.0	1.85	34.51	0.0	5.5	10.47	2.66	47.84	8.32	3.29	13.52	0.42	2.56	0.89	0.0	0.17	50.98	5.02	10.16	1.75	19.25	11.3	43.94	2.61	17.51	17.9	16.51	57.49	17.25	12.45	1.62	34.51	9.56	12.93	0.38	7.46	0.0	1.3	1.27	1.28	1.23
ZDHHC5	660.68	595.34	1175.27	1096.5	988.12	872.1	679.29	738.29	921.88	1081.39	974.5	902.89	909.17	733.19	708.18	860.08	1044.52	878.17	796.86	981.29	647.07	848.22	728.11	1111.82	1119.56	738.29	1208.34	1051.79	1037.29	1059.11	698.41	703.28	1096.5	796.86	872.1	753.83	884.29	514.56	417.77	521.76	511.0	567.1
