	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.13FTX.1126.SM.5N9EN	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.S341.1526.SM.4AD6K	GTEX.13O3O.0826.SM.5K7WE	GTEX.VJWN.0726.SM.3GIJ8	GTEX.145ME.1526.SM.5Q5F2	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.BP.4799.01A.01R.1305.07
CCDC71	540.19	633.73	543.96	376.41	277.2	775.05	802.41	511.0	353.59	507.46	748.61	395.18	460.44	563.18	791.35	387.02	363.56	389.72	241.19	567.1	325.29	470.14	529.06	733.19	447.82	329.84	281.09	1044.52	555.41	131.51
CDK10	1936.53	1519.15	224.97	409.15	363.56	1883.54	1551.09	432.53	483.38	1143.1	1870.53	612.11	1037.29	775.05	2148.82	529.06	358.54	559.28	532.74	796.86	447.82	884.29	872.1	808.0	547.75	438.59	432.53	1051.79	1051.79	295.11
CDK5RAP3	6294.04	4358.66	4210.15	3103.19	1167.14	5751.61	3901.01	2090.03	2133.97	2537.92	4450.27	2701.35	4181.07	3018.3	4095.0	1977.24	1794.29	3103.19	1529.73	3395.89	1030.12	3190.46	3847.29	3395.89	1832.01	2573.36	1295.13	3372.43	2384.37	1030.12
CHKB-CPT1B	547.75	403.5	43.94	21.94	19.82	289.02	346.29	111.99	49.56	236.21	275.28	58.3	19.11	114.36	414.87	56.28	23.08	169.07	26.47	177.53	13.12	113.56	130.6	204.07	71.0	55.1	39.22	153.34	111.21	0.0
CLASRP	3060.45	2018.8	291.04	511.0	463.65	2240.11	1733.13	633.73	595.34	1242.34	2664.15	660.68	808.0	854.13	2287.2	559.28	267.73	866.07	579.04	842.36	285.03	995.0	934.76	1159.07	1030.12	769.69	392.44	1199.98	559.28	72.01
CPSF3L	3081.75	2816.11	1369.04	1277.29	1832.01	2935.74	2255.7	825.0	981.29	2451.44	3124.78	1216.75	848.22	1757.34	2502.97	1259.69	1369.04	1605.83	1051.79	1870.53	934.76	1794.29	1639.59	2178.83	1437.15	1059.11	830.75	1313.23	1407.55	620.67
CROCC	603.67	438.59	70.51	109.66	65.26	651.58	371.22	126.12	189.02	279.14	878.17	108.14	100.83	176.29	603.67	114.36	51.35	100.83	85.22	135.24	49.56	312.0	90.14	239.52	43.02	64.8	36.53	84.04	181.28	22.59
CSNK1E	3146.52	3372.43	921.88	1457.23	1277.29	2627.46	3665.02	1594.73	1242.34	3190.46	2537.92	1467.37	1529.73	2303.12	1991.0	1369.04	1733.13	1529.73	1870.53	2400.97	1331.57	2032.85	1896.65	2485.67	2163.77	1447.15	1259.69	1427.22	2240.11	860.08
CSNK1G2	1340.84	1540.37	551.56	444.72	543.96	1322.37	1104.13	529.06	728.11	1143.1	1359.57	579.04	599.49	813.63	1561.89	785.88	571.05	603.67	507.46	607.87	493.56	684.02	1015.93	825.0	941.27	339.14	514.56	1023.0	738.29	212.78
DEAF1	830.75	921.88	368.65	287.01	497.0	981.29	909.17	253.23	698.41	775.05	866.07	603.67	603.67	599.49	854.13	397.93	429.54	884.29	269.6	547.75	358.54	660.68	642.59	848.22	470.14	226.54	256.78	1268.46	748.61	323.03
FBXO44	1322.37	890.44	417.77	318.57	353.59	796.86	884.29	234.57	204.07	748.61	759.08	371.22	237.86	599.49	753.83	351.14	242.88	540.19	202.66	497.0	141.02	583.07	688.78	470.14	303.44	323.03	146.03	563.18	376.41	128.79
FBXO46	583.07	476.71	244.57	297.17	204.07	688.78	583.07	329.84	293.07	381.68	669.92	281.09	379.04	412.0	511.0	167.9	142.01	406.31	140.04	329.84	146.03	346.29	381.68	336.79	199.85	205.5	104.42	171.45	255.0	108.14
FRAT1	84.63	142.01	121.79	34.02	19.97	180.02	221.86	98.04	74.58	198.47	170.25	85.82	76.17	82.29	183.82	76.17	47.84	52.08	42.41	64.34	64.34	133.36	65.26	173.85	61.68	29.7	68.55	127.0	66.65	18.84
GPANK1	518.15	473.41	406.31	409.15	309.83	688.78	563.18	348.71	316.37	511.0	665.29	397.93	358.54	441.64	660.68	371.22	376.41	656.11	363.56	361.04	269.6	579.04	490.14	521.76	351.14	332.14	289.02	633.73	466.88	251.48
HDAC10	1023.0	748.61	305.55	348.71	127.89	759.08	679.29	323.03	239.52	457.25	759.08	177.53	358.54	224.97	1001.93	361.04	204.07	713.11	169.07	265.87	137.14	543.96	348.71	486.75	161.02	98.73	126.12	343.89	314.17	85.82
HIRIP3	540.19	486.75	521.76	329.84	149.12	693.58	529.06	316.37	291.04	412.0	688.78	395.18	232.94	358.54	1096.5	209.84	281.09	463.65	283.05	305.55	217.27	466.88	417.77	334.46	180.02	132.44	191.67	301.33	291.04	144.01
IRF2BP1	684.02	620.67	320.8	414.87	141.02	896.64	748.61	395.18	366.09	753.83	808.0	447.82	403.5	603.67	743.43	358.54	217.27	483.38	181.28	414.87	198.47	514.56	521.76	497.0	202.66	95.34	134.3	438.59	275.28	149.12
IRF3	3103.19	1936.53	1127.35	1540.37	909.17	2555.58	1883.54	703.28	1277.29	836.53	2739.08	947.83	1407.55	1561.89	2468.49	941.27	514.56	1467.37	728.11	1340.84	521.76	1467.37	1295.13	1561.89	785.88	884.29	507.46	1096.5	1008.9	1044.52
KAT8	1487.87	1233.75	1697.45	718.08	607.87	1697.45	1572.76	866.07	813.63	909.17	2018.8	981.29	860.08	1322.37	1572.76	796.86	429.54	802.41	656.11	967.76	490.14	878.17	1119.56	1467.37	1407.55	571.05	698.41	1397.83	842.36	463.65
KIAA0895L	403.5	339.14	82.29	117.6	68.55	244.57	293.07	114.36	79.45	271.48	397.93	103.69	159.9	153.34	457.25	107.38	65.26	194.36	110.43	147.06	100.13	171.45	164.42	131.51	72.01	111.99	135.24	124.37	279.14	48.87
LRCH4	1477.58	1378.57	387.02	432.53	444.72	1781.89	1250.98	555.41	698.41	981.29	1617.0	414.87	713.11	525.39	2520.38	819.3	363.56	748.61	223.41	620.67	197.09	791.35	1073.91	896.64	381.68	363.56	297.17	808.0	599.49	318.57
MAEA	1628.26	1359.57	796.86	723.08	698.41	1697.45	1199.98	808.0	890.44	1001.93	1407.55	723.08	842.36	1023.0	1208.34	830.75	633.73	660.68	638.15	872.1	603.67	1340.84	802.41	825.0	525.39	403.5	529.06	884.29	921.88	351.14
MBD3	1322.37	1487.87	529.06	409.15	395.18	1583.71	1540.37	728.11	967.76	995.0	1662.49	733.19	647.07	1096.5	1477.58	802.41	441.64	1001.93	583.07	733.19	753.83	660.68	587.13	1359.57	796.86	297.17	708.18	1015.93	669.92	361.04
MED26	206.94	202.66	142.01	82.87	114.36	204.07	195.72	130.6	159.9	197.09	223.41	115.16	127.0	144.01	163.28	100.13	68.07	129.69	115.97	117.6	120.94	204.07	185.11	176.29	127.89	75.64	96.01	92.7	161.02	63.45
MGP	469249.9	286861.53	998912.34	1139523.1	659036.03	368165.8	386469.83	736332.6	623486.02	577714.63	154794.07	546551.29	1196176.45	623486.02	87075.75	706337.4	459592.86	687022.54	22850.48	800198.39	11992.79	585779.24	1524599.69	400098.69	869603.57	845824.19	5183.54	1308968.45	614902.29	34876.28
MIB2	1519.15	954.43	177.53	193.01	242.88	1030.12	703.28	133.36	189.02	733.19	1183.45	209.84	172.65	444.72	941.27	295.11	84.63	271.48	170.25	214.27	135.24	441.64	262.2	620.67	162.14	67.59	102.25	164.42	236.21	155.5
MIEF2	361.04	497.0	125.24	217.27	141.02	414.87	486.75	237.86	218.79	466.88	460.44	397.93	339.14	381.68	414.87	176.29	255.0	376.41	111.99	297.17	68.55	341.51	460.44	283.05	141.02	234.57	78.34	271.48	314.17	55.49
MORN1	412.0	314.17	153.34	81.71	124.37	379.04	289.02	106.63	73.54	346.29	373.81	149.12	72.52	156.59	312.0	87.03	121.79	249.73	50.27	161.02	34.26	334.46	211.31	193.01	90.77	114.36	88.88	191.67	130.6	47.17
MSANTD1	11.47	15.34	2.25	3.82	2.76	14.78	11.47	3.38	5.96	16.88	14.03	2.68	3.17	8.45	9.2	0.93	0.77	5.68	1.91	3.38	0.0	13.42	5.06	7.51	1.38	0.0	2.23	1.11	3.63	1.6
MTHFR	312.0	373.81	119.26	128.79	220.32	373.81	236.21	115.16	171.45	323.03	327.56	262.2	82.29	251.48	267.73	112.77	171.45	70.51	112.77	241.19	51.35	260.38	223.41	255.0	125.24	169.07	239.52	108.9	218.79	165.57
MZF1	1051.79	616.37	161.02	232.94	68.07	660.68	514.56	237.86	255.0	454.09	785.88	316.37	312.0	297.17	629.35	206.94	98.04	336.79	88.26	291.04	95.34	373.81	283.05	543.96	142.01	82.87	82.29	175.07	293.07	53.95
NAT6	591.22	397.93	384.34	181.28	102.97	403.5	412.0	141.02	120.1	414.87	429.54	161.02	182.55	211.31	514.56	156.59	255.0	244.57	185.11	267.73	206.94	173.85	334.46	277.2	151.22	214.27	111.21	518.15	303.44	127.0
NEIL1	2163.77	1447.15	175.07	43.94	107.38	1963.57	1175.27	279.14	223.41	988.12	1167.14	285.03	366.09	543.96	1551.09	483.38	249.73	432.53	256.78	559.28	129.69	802.41	1023.0	995.0	217.27	417.77	283.05	981.29	536.45	33.78
NT5C	1457.23	1331.57	878.17	974.5	312.0	1457.23	1304.15	587.13	796.86	954.43	1662.49	733.19	583.07	1001.93	1651.0	583.07	616.37	954.43	447.82	738.29	285.03	476.71	1259.69	860.08	825.0	346.29	368.65	1819.35	444.72	358.54
PDDC1	1096.5	1407.55	633.73	493.56	450.94	1259.69	1369.04	346.29	647.07	995.0	1051.79	483.38	483.38	802.41	1286.18	660.68	397.93	647.07	368.65	563.18	392.44	860.08	555.41	1233.75	312.0	217.27	379.04	1159.07	454.09	195.72
PEX11G	351.14	289.02	251.48	130.6	37.59	329.84	420.68	165.57	197.09	346.29	348.71	198.47	83.45	193.01	384.34	98.73	145.02	248.0	56.68	167.9	90.77	301.33	303.44	187.71	60.82	37.05	87.03	529.06	249.73	23.93
POLM	450.94	490.14	185.11	209.84	189.02	854.13	400.71	239.52	348.71	361.04	780.44	208.38	265.87	224.97	587.13	351.14	115.16	242.88	177.53	248.0	115.97	397.93	376.41	447.82	177.53	190.34	161.02	198.47	269.6	130.6
POLR3E	1151.06	1088.92	1331.57	802.41	633.73	1498.22	1477.58	764.36	718.08	1015.93	1407.55	1143.1	854.13	921.88	1369.04	563.18	559.28	988.12	764.36	1015.93	457.25	988.12	1233.75	1119.56	947.83	825.0	567.1	921.88	713.11	297.17
PPP1R26	395.18	409.15	151.22	99.43	131.51	486.75	450.94	271.48	281.09	438.59	454.09	253.23	301.33	285.03	540.19	206.94	166.73	169.07	118.43	218.79	104.42	460.44	293.07	320.8	68.55	104.42	172.65	214.27	260.38	50.27
PPP2R3B	287.01	211.31	73.03	53.19	65.72	283.05	215.77	31.45	63.0	127.89	314.17	77.25	90.77	79.45	251.48	48.52	19.25	41.22	40.64	120.1	36.01	144.01	80.57	108.14	28.45	40.64	25.35	88.26	114.36	35.76
PPP6R2	1498.22	1427.22	450.94	473.41	277.2	1286.18	1304.15	651.58	518.15	1119.56	1225.22	825.0	395.18	753.83	1322.37	620.67	540.19	1519.15	555.41	665.29	299.25	708.18	802.41	1051.79	480.04	358.54	497.0	813.63	503.95	124.37
PRX	149.12	141.02	28.86	56.28	16.03	177.53	281.09	64.34	54.33	112.77	150.17	48.18	20.71	178.77	114.36	24.46	33.06	53.95	64.34	148.09	27.64	248.0	137.14	162.14	27.44	29.7	65.72	101.54	132.44	12.09
RECQL5	981.29	791.35	723.08	420.68	327.56	941.27	780.44	320.8	329.84	466.88	872.1	476.71	629.35	376.41	825.0	305.55	343.89	612.11	320.8	414.87	197.09	571.05	575.03	473.41	253.23	339.14	301.33	466.88	532.74	117.6
RHBDF1	2271.4	1498.22	1923.14	785.88	532.74	2104.58	1259.69	764.36	780.44	928.3	2451.44	1572.76	1030.12	915.51	2287.2	748.61	599.49	723.08	348.71	909.17	239.52	842.36	1208.34	981.29	518.15	679.29	444.72	616.37	529.06	395.18
SAFB2	1477.58	1233.75	511.0	493.56	629.35	2075.59	1111.82	743.43	764.36	1001.93	1662.49	759.08	718.08	830.75	1519.15	624.99	392.44	791.35	529.06	674.59	536.45	1104.13	733.19	934.76	571.05	743.43	738.29	463.65	813.63	392.44
SELO	848.22	842.36	229.72	127.89	101.54	669.92	802.41	332.14	273.37	551.56	753.83	314.17	224.97	417.77	854.13	289.02	224.97	403.5	253.23	325.29	147.06	305.55	231.32	406.31	285.03	103.69	241.19	190.34	232.94	59.13
SFI1	1447.15	1008.9	264.03	264.03	115.16	759.08	764.36	309.83	253.23	796.86	1407.55	417.77	312.0	409.15	947.83	171.45	202.66	521.76	75.64	414.87	87.65	423.61	497.0	403.5	221.86	320.8	98.73	264.03	379.04	60.39
SGTA	1457.23	1651.0	1277.29	780.44	656.11	1572.76	1551.09	934.76	1286.18	1081.39	1617.0	1119.56	1001.93	1369.04	1417.35	836.53	872.1	1183.45	665.29	1199.98	547.75	780.44	1096.5	1313.23	1175.27	480.04	583.07	1447.15	1044.52	532.74
SH3GLB2	4704.07	4010.71	1819.35	1191.69	848.22	4010.71	5329.3	1427.22	1313.23	3395.89	4268.94	2004.85	2434.5	2451.44	5366.37	1151.06	1350.18	1583.71	579.04	2573.36	708.18	2758.13	2645.74	3124.78	1651.0	1225.22	579.04	2976.74	2119.22	314.17
SIRT3	1096.5	967.76	438.59	417.77	241.19	1023.0	1498.22	384.34	497.0	1030.12	1225.22	638.15	808.0	866.07	1151.06	279.14	454.09	647.07	432.53	947.83	353.59	1295.13	878.17	1143.1	229.72	603.67	547.75	872.1	708.18	309.83
SNAPC4	198.47	226.54	70.01	73.54	75.64	285.03	208.38	90.14	100.13	142.01	256.78	89.51	122.64	122.64	318.57	84.63	44.57	90.14	45.53	97.36	38.4	153.34	198.47	161.02	88.26	72.52	47.17	70.51	114.36	14.35
SPG7	1286.18	1407.55	423.61	563.18	486.75	1295.13	1322.37	547.75	733.19	1388.16	1350.18	872.1	1023.0	1066.48	1378.57	567.1	518.15	507.46	819.3	1183.45	476.71	1059.11	1674.06	866.07	854.13	1023.0	896.64	921.88	921.88	470.14
SPSB3	2485.67	1950.0	1008.9	780.44	244.57	3212.66	2209.26	507.46	802.41	1286.18	3665.02	728.11	785.88	1088.92	5292.48	679.29	536.45	819.3	698.41	819.3	463.65	748.61	723.08	1639.59	387.02	406.31	466.88	2032.85	713.11	237.86
TARBP2	1023.0	954.43	379.04	470.14	234.57	988.12	791.35	486.75	490.14	540.19	1295.13	414.87	480.04	438.59	1151.06	346.29	447.82	426.57	211.31	518.15	241.19	698.41	417.77	603.67	363.56	299.25	185.11	616.37	473.41	212.78
TBC1D3	265.87	275.28	72.52	50.27	40.36	514.56	190.34	44.89	104.42	103.69	130.6	72.52	94.01	81.71	187.71	31.45	25.35	81.14	18.16	55.1	12.45	147.06	138.1	108.14	50.27	109.66	6.94	15.0	52.82	38.4
TBC1D3F	376.41	285.03	71.5	60.82	25.35	435.55	271.48	36.27	118.43	111.99	246.28	74.58	87.03	64.34	191.67	81.71	37.32	98.04	50.98	87.03	21.16	248.0	115.16	166.73	30.34	6.78	44.57	52.08	90.77	0.0
TMEM259	4239.45	3349.13	1819.35	915.51	1044.52	3235.01	2682.69	1127.35	1388.16	3280.18	4239.45	1331.57	1529.73	1583.71	4181.07	1662.49	896.64	1519.15	1208.34	1733.13	1167.14	1001.93	2287.2	2104.58	1923.14	612.11	1037.29	1757.34	1167.14	1023.0
TNK2	3124.78	1794.29	698.41	414.87	571.05	2555.58	1936.53	713.11	1008.9	1233.75	2591.27	713.11	819.3	1242.34	2417.67	432.53	579.04	1044.52	457.25	915.51	400.71	1015.93	1119.56	1216.75	389.72	389.72	368.65	629.35	583.07	148.09
TRMT2A	2178.83	1519.15	669.92	518.15	583.07	1295.13	1467.37	521.76	400.71	974.5	1340.84	511.0	480.04	753.83	1923.14	525.39	351.14	1159.07	351.14	651.58	316.37	785.88	1037.29	878.17	563.18	379.04	312.0	825.0	612.11	166.73
TUT1	579.04	656.11	384.34	289.02	157.68	703.28	830.75	297.17	395.18	417.77	679.29	392.44	387.02	376.41	555.41	253.23	197.09	435.55	283.05	356.05	269.6	493.56	483.38	521.76	287.01	368.65	303.44	674.59	466.88	130.6
TXNRD2	551.56	728.11	181.28	194.36	193.01	693.58	902.89	438.59	285.03	518.15	612.11	412.0	202.66	529.06	748.61	327.56	339.14	708.18	262.2	392.44	169.07	567.1	591.22	599.49	241.19	223.41	157.68	389.72	363.56	92.05
UNKL	928.3	620.67	275.28	253.23	108.9	866.07	679.29	180.02	244.57	309.83	941.27	173.85	320.8	323.03	1651.0	155.5	97.36	232.94	256.78	232.94	138.1	591.22	432.53	525.39	76.71	124.37	242.88	339.14	368.65	50.63
UPF1	1259.69	1407.55	780.44	647.07	748.61	1286.18	1233.75	775.05	1044.52	1286.18	1242.34	1008.9	842.36	1250.98	1159.07	1015.93	612.11	1044.52	551.56	836.53	656.11	981.29	1037.29	1051.79	723.08	473.41	607.87	483.38	830.75	341.51
VPS9D1	287.01	279.14	71.5	100.83	108.9	241.19	293.07	107.38	133.36	232.94	379.04	89.51	150.17	169.07	387.02	291.04	76.17	103.69	146.03	178.77	84.63	212.78	214.27	226.54	112.77	56.68	74.06	143.01	191.67	44.25
XAB2	1457.23	1183.45	624.99	363.56	334.46	1551.09	1313.23	633.73	848.22	909.17	1457.23	708.18	723.08	1030.12	1447.15	567.1	406.31	1001.93	447.82	825.0	309.83	748.61	872.1	981.29	651.58	351.14	323.03	753.83	718.08	271.48
XKR8	169.07	167.9	154.42	84.63	122.64	224.97	209.84	71.0	92.7	226.54	150.17	154.42	58.71	154.42	146.03	130.6	105.89	131.51	97.36	138.1	122.64	208.38	85.22	134.3	59.55	73.03	87.03	115.16	107.38	107.38
YPEL3	4066.71	2720.15	4210.15	2047.0	825.0	4972.34	4010.71	1044.52	1628.26	2451.44	4972.34	1651.0	2682.69	2555.58	4704.07	2573.36	507.46	1844.76	2255.7	2367.9	1628.26	2701.35	1844.76	4972.34	525.39	764.36	1268.46	4038.61	1832.01	1896.65
ZNF446	525.39	409.15	231.32	242.88	99.43	525.39	444.72	251.48	239.52	392.44	536.45	316.37	275.28	258.57	423.61	115.16	163.28	351.14	127.0	234.57	105.15	291.04	329.84	403.5	171.45	121.79	109.66	323.03	244.57	61.25
ZNF500	293.07	329.84	221.86	218.79	111.99	497.0	334.46	202.66	144.01	205.5	414.87	180.02	167.9	150.17	429.54	119.26	90.14	183.82	92.05	149.12	81.71	255.0	267.73	289.02	134.3	111.21	124.37	146.03	231.32	36.79
ZNF692	3146.52	1447.15	327.56	371.22	271.48	2758.13	1199.98	454.09	518.15	642.59	2255.7	540.19	1066.48	708.18	2104.58	289.02	218.79	607.87	221.86	543.96	248.0	684.02	583.07	718.08	463.65	423.61	152.28	551.56	470.14	147.06
ZNF76	1023.0	1037.29	353.59	438.59	476.71	1051.79	860.08	529.06	457.25	791.35	836.53	480.04	368.65	633.73	1286.18	420.68	323.03	753.83	353.59	591.22	251.48	728.11	738.29	660.68	366.09	551.56	271.48	460.44	493.56	125.24
ZNF775	507.46	392.44	132.44	151.22	115.97	708.18	423.61	204.07	221.86	366.09	575.03	197.09	287.01	206.94	551.56	133.36	92.05	432.53	157.68	220.32	154.42	353.59	218.79	297.17	84.63	105.89	65.26	150.17	205.5	104.42
ZNF783	358.54	329.84	81.71	139.07	166.73	432.53	314.17	124.37	201.25	171.45	336.79	107.38	199.85	170.25	327.56	74.58	98.04	141.02	81.14	171.45	78.34	211.31	244.57	339.14	117.6	49.91	89.51	124.37	128.79	69.03
ZNF837	124.37	69.52	32.36	31.45	8.45	94.01	102.25	28.24	28.04	62.12	127.89	37.59	42.71	41.52	78.89	42.41	10.08	42.41	7.82	20.41	10.63	43.94	68.07	55.1	14.24	3.92	2.66	43.02	30.78	6.36
ZNF865	305.55	191.67	106.63	94.67	89.51	264.03	221.86	102.25	156.59	131.51	283.05	98.73	108.9	176.29	279.14	120.94	44.25	111.99	66.65	103.69	121.79	132.44	102.97	195.72	73.54	16.51	49.21	76.71	76.71	73.54
