	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.E2.A158.11A.22R.A12D.07	GTEX.11ONC.2026.SM.5HL61	GTEX.11O72.2026.SM.5N9G8	GTEX.11GSP.1726.SM.5A5LI	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A2N8.11A.11R.A18C.07	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.N7MS.2326.SM.2HMLD	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.11DXY.0426.SM.5H12R	GTEX.12WSK.0926.SM.5CVNQ	GTEX.145LU.0426.SM.5O9AH	GTEX.117XS.0526.SM.5987Q	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.SIU8.0626.SM.2XCDN	GTEX.139TS.0126.SM.5K7XJ	GTEX.WK11.0926.SM.3NMAU	GTEX.T2IS.0626.SM.32QP6	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.ZDTS.0926.SM.4WAXG	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.11EMC.0226.SM.5EGLP
CD55	2075.59	2591.27	3190.46	5041.77	3190.46	0.0	748.61	2855.44	1159.07	379.04	988.12	733.19	264.03	5479.15	2287.2	651.58	890.44	2178.83	1498.22	764.36	3395.89	3665.02	356.05	723.08	2468.49	447.82	1674.06	753.83	384.34	1427.22	2104.58	1397.83	4358.66	438.59	775.05	2061.24	1286.18	769.69	483.38	2319.15	3589.58	1605.83	2485.67	325.29	703.28	620.67	1651.0	1819.35	1662.49	836.53	23009.42	1151.06	432.53	1277.29	896.64	1111.82	860.08	483.38	1143.1	1191.69	7857.29
CPED1	1088.92	1628.26	629.35	299.25	248.0	0.0	47.5	110.43	134.3	68.07	29.7	47.5	13.93	123.5	193.01	17.0	81.71	78.89	435.55	63.0	353.59	133.36	37.32	32.82	185.11	80.57	42.41	59.97	53.95	170.25	171.45	61.68	165.57	105.15	105.15	189.02	62.12	44.57	18.84	217.27	291.04	117.6	148.09	22.26	28.04	23.76	45.21	99.43	27.84	18.16	316.37	20.56	39.5	145.02	43.63	194.36	105.89	81.71	116.78	57.08	193.01
DENND2A	521.76	432.53	363.56	688.78	1268.46	0.0	52.82	116.78	83.45	47.5	48.87	36.27	14.78	108.9	307.69	19.68	110.43	66.18	123.5	36.79	120.1	132.44	50.27	39.5	185.11	36.53	57.49	55.49	51.71	112.77	131.51	55.49	195.72	41.81	69.52	138.1	87.65	68.07	23.93	228.13	166.73	65.72	103.69	20.41	20.41	20.41	25.91	70.51	13.52	21.16	309.83	24.11	19.82	153.34	69.03	40.07	67.59	66.18	78.89	64.8	151.22
DKK3	2148.82	3614.55	1950.0	2997.45	2720.15	0.0	180.02	934.76	1427.22	343.89	571.05	297.17	890.44	896.64	1388.16	242.88	559.28	500.46	1369.04	248.0	1508.65	1081.39	429.54	248.0	1119.56	511.0	500.46	271.48	303.44	1304.15	1073.91	521.76	1529.73	723.08	713.11	2119.22	417.77	483.38	334.46	2758.13	1977.24	1088.92	1447.15	255.0	113.56	215.77	191.67	1037.29	320.8	320.8	1583.71	265.87	228.13	1313.23	206.94	1151.06	376.41	808.0	775.05	521.76	1225.22
DPYSL3	5329.3	2451.44	2591.27	3212.66	3794.3	0.0	223.41	1617.0	642.59	251.48	265.87	177.53	65.26	525.39	2835.7	80.57	693.58	638.15	2816.11	158.79	2915.45	3716.2	253.23	130.6	1950.0	444.72	334.46	221.86	371.22	896.64	1313.23	339.14	2287.2	403.5	718.08	1909.85	346.29	329.84	209.84	6699.25	3146.52	934.76	2240.11	161.02	73.03	246.28	287.01	384.34	155.5	172.65	11035.54	125.24	239.52	2417.67	133.36	890.44	135.24	397.93	521.76	295.11	1225.22
DRP2	20.26	61.68	37.05	16.27	10.96	0.0	0.0	0.32	0.06	0.07	0.62	0.36	0.08	0.6	1.48	0.0	0.87	0.97	1.75	0.07	1.46	0.91	0.91	0.61	0.91	0.07	0.91	0.37	0.0	0.07	1.17	0.05	1.75	0.36	0.35	3.11	0.37	0.92	0.4	2.76	0.34	0.85	0.32	0.35	0.07	0.06	0.37	0.36	0.62	0.05	7.17	0.38	0.36	0.61	0.08	1.13	0.31	0.87	0.33	0.07	1.5
ELN	2520.38	4639.29	1909.85	15824.9	6983.79	0.0	327.56	642.59	285.03	460.44	669.92	521.76	55.1	483.38	2004.85	52.82	669.92	1225.22	2485.67	764.36	2018.8	1487.87	785.88	595.34	1639.59	287.01	988.12	507.46	490.14	802.41	1304.15	275.28	1721.16	406.31	406.31	928.3	379.04	297.17	334.46	2875.3	2047.0	529.06	583.07	356.05	205.5	138.1	423.61	387.02	511.0	169.07	8421.31	318.57	295.11	2240.11	215.77	559.28	316.37	547.75	397.93	1322.37	2319.15
EPB41L2	1369.04	2976.74	2758.13	3491.39	3467.27	647.07	679.29	981.29	1498.22	651.58	521.76	688.78	381.68	1268.46	2090.03	265.87	1037.29	974.5	2032.85	486.75	1819.35	1498.22	775.05	651.58	1583.71	780.44	525.39	830.75	785.88	1487.87	1529.73	753.83	2047.0	896.64	1159.07	1529.73	808.0	616.37	376.41	1991.0	2047.0	1096.5	1081.39	473.41	441.64	603.67	547.75	954.43	490.14	314.17	1883.54	361.04	599.49	1508.65	738.29	1191.69	656.11	961.07	1191.69	660.68	1199.98
F10	941.27	1487.87	934.76	1119.56	629.35	0.0	67.59	237.86	297.17	115.16	201.25	46.84	5.68	221.86	587.13	6.84	309.83	201.25	665.29	89.51	1023.0	406.31	112.77	102.97	575.03	145.02	136.19	129.69	136.19	693.58	543.96	133.36	813.63	149.12	180.02	890.44	136.19	57.49	73.54	848.22	718.08	253.23	389.72	110.43	27.44	37.32	42.71	189.02	32.13	51.71	2047.0	84.04	39.5	679.29	56.68	429.54	100.13	346.29	309.83	186.4	435.55
FAM102B	312.0	264.03	295.11	277.2	218.79	0.0	54.33	144.01	178.77	59.13	63.0	69.03	52.82	138.1	221.86	21.78	147.06	46.18	186.4	44.57	186.4	205.5	35.76	49.56	181.28	119.26	57.08	48.52	71.5	122.64	176.29	60.82	209.84	96.68	132.44	206.94	66.65	54.33	34.02	287.01	307.69	148.09	159.9	64.8	42.71	52.45	39.5	87.65	49.21	31.9	332.14	37.05	48.52	155.5	57.08	127.0	60.39	98.04	137.14	75.11	112.77
FAM83D	241.19	39.5	954.43	1096.5	307.69	0.0	6.62	12.74	8.65	13.22	6.36	8.51	10.24	21.01	30.34	6.31	20.11	12.45	497.0	11.21	65.72	19.53	6.62	8.71	28.45	9.06	10.96	18.43	4.35	32.36	19.97	9.56	16.51	4.7	13.12	17.64	10.71	9.56	6.57	33.78	18.56	10.55	17.77	9.56	8.51	6.62	9.56	10.79	4.1	5.41	256.78	19.68	4.17	16.03	9.41	12.55	7.69	5.54	4.94	18.03	100.83
FBLN1	33688.23	22225.61	19892.37	29327.18	32767.0	0.0	1008.9	4210.15	2915.45	1617.0	2664.15	759.08	21.94	3124.78	16727.26	47.5	4802.93	6516.03	23820.89	1378.57	31215.04	10154.69	1286.18	2240.11	19348.38	3303.0	9215.48	1508.65	830.75	9808.75	13968.57	1225.22	16611.71	2090.03	2104.58	12160.22	2997.45	764.36	620.67	25887.07	18304.63	3639.7	6294.04	309.83	397.93	896.64	1447.15	2148.82	363.56	674.59	45386.27	819.3	612.11	21617.82	1540.37	3955.48	1159.07	2956.17	6607.01	8778.97	10084.54
FBLN2	4937.99	10225.32	4736.79	7180.15	7433.4	229.72	466.88	1104.13	647.07	825.0	830.75	551.56	41.52	1551.09	2319.15	43.02	1119.56	2739.08	3280.18	271.48	3955.48	2400.97	775.05	1883.54	3212.66	769.69	1721.16	1709.26	529.06	1685.71	2178.83	412.0	2384.37	866.07	571.05	2895.31	1685.71	231.32	316.37	3794.3	3349.13	830.75	1304.15	162.14	480.04	279.14	738.29	559.28	486.75	426.57	6294.04	343.89	376.41	3081.75	1127.35	1417.35	325.29	616.37	830.75	2224.63	3039.3
FEZ1	1051.79	854.13	819.3	796.86	1001.93	0.0	95.34	226.54	285.03	145.02	167.9	143.01	66.18	173.85	583.07	31.45	249.73	246.28	476.71	89.51	500.46	273.37	132.44	173.85	435.55	212.78	205.5	130.6	97.36	297.17	426.57	145.02	466.88	193.01	209.84	373.81	197.09	141.02	108.9	669.92	521.76	172.65	309.83	100.83	88.88	60.39	150.17	157.68	50.98	122.64	791.35	67.12	87.65	314.17	135.24	186.4	100.83	204.07	181.28	241.19	371.22
FGL2	4268.94	1685.71	1844.76	1709.26	2133.97	0.0	199.85	723.08	1322.37	281.09	293.07	176.29	50.98	616.37	1135.2	76.17	500.46	409.15	1242.34	193.01	1508.65	1081.39	260.38	197.09	1685.71	334.46	211.31	253.23	316.37	808.0	1151.06	400.71	1199.98	559.28	543.96	1023.0	403.5	371.22	110.43	1662.49	1936.53	1059.11	1191.69	149.12	87.03	191.67	137.14	540.19	109.66	186.4	1697.45	116.78	156.59	1498.22	197.09	738.29	287.01	698.41	1119.56	384.34	1059.11
FREM1	178.77	447.82	329.84	309.83	95.34	0.0	11.64	47.5	92.7	8.78	7.63	5.32	0.0	20.11	102.97	1.55	28.04	22.1	72.52	7.82	185.11	77.79	19.53	10.0	75.11	43.63	7.94	15.34	16.27	71.0	68.07	20.11	71.5	9.63	70.51	111.21	28.86	12.0	9.56	154.42	178.77	49.91	63.45	11.73	9.78	12.27	19.68	23.93	5.19	2.27	95.34	5.06	24.81	76.71	7.17	53.19	10.47	25.35	54.72	9.7	84.63
FXYD1	5441.3	5292.48	3768.09	7081.29	6607.01	0.0	353.59	1119.56	1066.48	595.34	684.02	256.78	56.28	780.44	3928.15	40.36	1023.0	769.69	2976.74	318.57	6337.83	1757.34	312.0	281.09	2400.97	723.08	361.04	629.35	379.04	2609.3	2682.69	836.53	2537.92	684.02	860.08	1551.09	723.08	743.43	429.54	2075.59	2434.5	1583.71	1628.26	289.02	309.83	72.52	368.65	579.04	93.35	209.84	5633.22	116.78	327.56	2163.77	228.13	947.83	559.28	1199.98	616.37	607.87	2090.03
HMCN2	988.12	1870.53	1991.0	1883.54	4095.0	0.0	42.41	289.02	229.72	153.34	50.63	52.45	10.96	444.72	547.75	336.79	253.23	232.94	2193.99	20.71	629.35	463.65	41.52	36.27	470.14	78.34	62.12	164.42	74.06	450.94	239.52	120.1	356.05	248.0	103.69	447.82	110.43	218.79	34.75	583.07	698.41	376.41	105.15	84.63	23.76	84.04	38.4	108.14	323.03	63.0	3124.78	46.18	76.71	329.84	24.63	149.12	94.67	93.35	189.02	119.26	343.89
HSPB3	76.71	46.18	49.56	35.0	67.12	0.0	0.0	3.72	14.45	6.06	0.91	1.69	3.56	3.56	41.81	0.0	8.71	1.45	18.7	1.69	13.72	3.11	2.1	1.64	4.78	3.23	0.74	2.73	0.91	7.28	2.97	0.0	1.06	2.84	1.51	6.01	1.87	0.0	0.0	11.91	5.41	3.14	0.71	1.07	1.23	3.41	1.71	0.93	0.0	0.0	58.71	1.77	0.0	0.73	0.95	0.87	1.14	0.0	0.73	5.41	17.64
JAM3	2351.53	988.12	1313.23	1208.34	1199.98	0.0	191.67	409.15	379.04	193.01	159.9	170.25	214.27	441.64	775.05	67.12	432.53	246.28	669.92	154.42	780.44	373.81	134.3	143.01	525.39	291.04	211.31	212.78	183.82	473.41	543.96	217.27	698.41	329.84	356.05	466.88	164.42	198.47	164.42	688.78	665.29	346.29	392.44	248.0	111.99	121.79	131.51	366.09	120.1	102.97	723.08	137.14	165.57	395.18	181.28	420.68	185.11	303.44	323.03	228.13	476.71
KDELC2	866.07	780.44	500.46	638.15	540.19	0.0	193.01	353.59	305.55	231.32	183.82	209.84	189.02	348.71	348.71	92.7	307.69	267.73	460.44	198.47	400.71	341.51	226.54	253.23	463.65	212.78	273.37	193.01	185.11	271.48	368.65	193.01	417.77	224.97	271.48	373.81	241.19	165.57	212.78	599.49	423.61	339.14	351.14	198.47	166.73	211.31	163.28	182.55	221.86	172.65	591.22	165.57	178.77	353.59	253.23	228.13	205.5	264.03	305.55	318.57	325.29
KLF2	3443.31	3303.0	3303.0	2434.5	5006.93	144.01	206.94	2319.15	1081.39	376.41	902.89	595.34	1023.0	961.07	1745.2	89.51	616.37	967.76	1883.54	271.48	4038.61	1216.75	273.37	246.28	1950.0	679.29	356.05	1242.34	660.68	2271.4	1135.2	336.79	1991.0	348.71	511.0	981.29	1350.18	785.88	1709.26	934.76	2915.45	1769.57	463.65	660.68	769.69	239.52	301.33	775.05	82.87	486.75	5403.7	629.35	743.43	2739.08	153.34	995.0	291.04	693.58	764.36	1119.56	2384.37
LAMA4	1883.54	3928.15	1757.34	2502.97	4328.55	0.0	271.48	507.46	555.41	223.41	223.41	256.78	361.04	490.14	854.13	198.47	547.75	384.34	1008.9	123.5	703.28	693.58	218.79	279.14	934.76	267.73	220.32	249.73	232.94	571.05	587.13	287.01	769.69	387.02	507.46	693.58	206.94	214.27	201.25	854.13	759.08	511.0	595.34	193.01	152.28	351.14	166.73	334.46	130.6	159.9	1159.07	103.69	144.01	616.37	277.2	387.02	165.57	454.09	409.15	248.0	470.14
LOXL1	1674.06	1447.15	759.08	2875.3	1135.2	0.0	171.45	563.18	309.83	232.94	258.57	334.46	37.85	339.14	764.36	249.73	521.76	267.73	967.76	204.07	1119.56	579.04	279.14	450.94	796.86	403.5	341.51	176.29	147.06	429.54	395.18	189.02	796.86	279.14	599.49	698.41	316.37	127.0	368.65	1081.39	429.54	341.51	518.15	173.85	264.03	183.82	143.01	242.88	656.11	277.2	2720.15	102.97	167.9	954.43	209.84	507.46	146.03	583.07	417.77	351.14	728.11
LRRN4CL	307.69	547.75	356.05	616.37	915.51	0.0	28.04	111.21	62.56	38.95	53.19	32.36	0.0	92.7	291.04	1.19	84.04	80.01	158.79	11.38	285.03	231.32	28.04	26.1	96.68	45.21	46.5	18.56	31.22	187.71	125.24	45.85	264.03	19.25	57.08	353.59	64.8	53.19	8.51	412.0	343.89	79.45	88.88	9.2	35.5	29.7	36.79	36.01	2.32	23.42	642.59	14.67	17.51	224.97	37.05	92.05	30.34	96.01	57.08	56.68	221.86
MFAP4	12589.08	18689.27	19892.37	29736.59	33224.42	0.0	872.1	4210.15	2609.3	450.94	941.27	232.94	0.0	1883.54	13872.08	33.54	2627.46	2075.59	19082.0	1127.35	13968.57	8963.45	543.96	860.08	10883.59	1407.55	1674.06	1757.34	444.72	11504.21	9409.14	2468.49	10959.3	1437.15	1757.34	8421.31	1233.75	1127.35	164.42	17078.76	9088.59	3124.78	3491.39	379.04	307.69	441.64	307.69	2148.82	154.42	275.28	45072.75	583.07	1508.65	11664.82	329.84	4328.55	909.17	3124.78	4972.34	1674.06	11189.6
MMP23B	341.51	175.07	346.29	896.64	830.75	0.0	27.84	90.77	50.63	21.94	36.53	30.78	17.77	49.21	195.72	11.73	66.18	34.51	320.8	36.27	420.68	60.39	24.63	22.59	211.31	24.99	25.54	43.94	57.89	157.68	251.48	62.56	180.02	36.53	24.28	56.28	41.52	57.49	32.13	147.06	137.14	118.43	47.5	19.53	42.41	23.59	7.94	66.18	23.76	29.91	1015.93	20.11	41.52	242.88	13.42	61.68	50.98	91.41	28.45	28.45	63.0
MRC2	2004.85	2875.3	1487.87	3589.58	2451.44	0.0	358.54	575.03	412.0	53.95	162.14	75.11	29.7	220.32	1794.29	18.56	603.67	163.28	1135.2	46.5	1639.59	830.75	120.1	156.59	1259.69	381.68	191.67	125.24	102.25	1350.18	1008.9	138.1	1628.26	164.42	460.44	974.5	129.69	116.78	62.12	3515.68	848.22	547.75	400.71	85.22	47.17	181.28	53.57	215.77	50.27	57.89	4972.34	63.89	47.17	1359.57	76.71	493.56	120.1	373.81	486.75	111.21	409.15
MSRB3	2956.17	2287.2	1551.09	1030.12	1081.39	0.0	153.34	366.09	356.05	226.54	156.59	169.07	156.59	341.51	836.53	54.33	493.56	309.83	1096.5	194.36	1051.79	444.72	155.5	147.06	785.88	260.38	231.32	217.27	86.43	285.03	591.22	202.66	571.05	221.86	239.52	514.56	191.67	163.28	152.28	764.36	902.89	454.09	381.68	226.54	138.1	98.04	246.28	256.78	142.01	82.29	1216.75	98.73	143.01	483.38	177.53	356.05	211.31	186.4	307.69	273.37	647.07
NACAD	163.28	118.43	145.02	265.87	332.14	0.0	12.64	14.67	36.01	14.14	16.63	4.62	19.25	13.72	64.8	6.57	10.16	27.44	65.26	14.24	74.58	76.71	27.25	8.99	47.17	34.51	11.73	20.56	22.75	49.56	28.86	28.24	52.82	13.93	33.3	34.51	24.28	31.0	14.89	52.08	113.56	51.71	21.16	20.71	9.34	5.73	16.15	19.68	1.5	6.78	187.71	6.41	12.93	88.88	9.41	65.26	29.91	19.97	22.26	17.0	61.25
NKAIN2	24.63	12.27	28.45	29.91	40.36	0.0	3.2	7.34	2.76	3.23	4.35	4.86	3.32	5.06	12.83	0.72	15.34	3.32	12.36	1.19	10.96	4.31	1.95	1.91	9.78	7.51	2.73	2.43	2.32	3.59	5.5	8.58	5.96	3.23	1.55	10.63	4.1	5.19	4.39	10.88	11.04	7.75	32.82	6.89	1.97	2.34	5.36	7.88	8.13	0.74	31.9	3.76	5.28	11.82	2.01	13.12	2.18	3.41	5.5	8.0	9.06
NLGN3	71.5	55.49	55.1	53.57	144.01	0.0	10.39	18.03	33.06	10.39	16.63	10.79	2.05	17.0	48.87	3.69	20.26	18.97	34.51	6.78	43.02	21.47	6.16	7.88	36.79	13.03	10.63	9.2	12.09	35.0	34.51	9.93	47.84	28.04	17.77	48.52	11.82	8.32	9.7	46.18	36.27	15.91	20.71	5.11	3.82	6.67	4.46	17.0	3.76	4.28	35.0	7.06	6.52	27.64	7.22	31.45	4.98	27.44	25.72	15.56	21.63
NTS	82.29	241.19	147.06	50.63	75.64	0.0	5.02	155.5	26.28	3.06	11.82	5.96	0.0	33.3	150.17	0.0	66.65	215.77	178.77	4.5	119.26	63.89	35.25	22.59	85.82	37.05	13.42	11.38	32.36	29.27	64.34	10.88	95.34	5.54	11.38	209.84	47.84	15.11	6.52	100.83	115.16	52.82	26.28	0.0	8.45	102.25	5.59	5.02	0.0	4.17	842.36	4.7	14.14	121.79	4.1	107.38	19.82	10.47	43.32	27.64	98.73
