	TCGA.A7.A26G.01A.21R.A169.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.W5X1.2326.SM.3GIL6	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.ZXG5.0826.SM.5GID6	GTEX.S7SE.0926.SM.2XCD6	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU
LOXL1	3564.78	669.92	872.1	9.27	96.68	336.79	339.14	80.57	57.49	82.29	14.35	0.0	0.42	555.41	234.57	325.29	909.17	1651.0	733.19	414.87	733.19	624.99	830.75	412.0	642.59	624.99	579.04	642.59	674.59	429.54	1066.48	1477.58	483.38
MAP6	197.09	248.0	624.99	7.51	43.94	19.82	7.34	45.21	6.26	10.47	3.59	0.0	0.21	1088.92	89.51	201.25	454.09	583.07	633.73	587.13	279.14	137.14	312.0	4123.49	470.14	114.36	441.64	353.59	58.3	127.89	88.88	633.73	551.56
MAPK1	1963.57	2287.2	1977.24	96.68	303.44	301.33	226.54	264.03	256.78	307.69	215.77	0.0	0.68	775.05	954.43	1167.14	1143.1	878.17	842.36	1119.56	457.25	1259.69	1104.13	848.22	1277.29	909.17	1167.14	703.28	902.89	896.64	1561.89	1199.98	607.87
MAPK8	1745.2	878.17	988.12	98.04	215.77	197.09	141.02	171.45	163.28	246.28	221.86	0.0	0.6	379.04	423.61	432.53	728.11	587.13	785.88	441.64	583.07	693.58	500.46	785.88	775.05	429.54	674.59	376.41	503.95	406.31	629.35	490.14	684.02
MPZL1	11664.82	4481.23	4639.29	303.44	629.35	669.92	738.29	848.22	981.29	242.88	559.28	2133.97	248.0	1208.34	1104.13	1295.13	2645.74	1950.0	1051.79	1529.73	1295.13	1183.45	1159.07	1447.15	1359.57	1096.5	1119.56	1832.01	860.08	1467.37	1794.29	1991.0	1304.15
MTMR12	738.29	967.76	698.41	187.71	115.97	147.06	146.03	215.77	120.1	164.42	303.44	0.0	0.43	540.19	258.57	417.77	603.67	341.51	551.56	343.89	178.77	329.84	332.14	607.87	420.68	177.53	414.87	400.71	387.02	348.71	414.87	293.07	309.83
MYCBP2	791.35	1447.15	1674.06	117.6	151.22	155.5	79.45	373.81	96.01	99.43	91.41	0.0	0.82	406.31	153.34	759.08	791.35	1059.11	713.11	915.51	198.47	500.46	599.49	269.6	1594.73	423.61	642.59	409.15	1605.83	392.44	633.73	651.58	470.14
MYO9A	387.02	417.77	733.19	23.42	6.73	14.03	8.13	9.41	8.85	12.93	9.27	54.33	215.77	136.19	95.34	312.0	447.82	356.05	463.65	262.2	101.54	141.02	239.52	221.86	314.17	102.97	368.65	159.9	173.85	166.73	214.27	129.69	198.47
NAP1L3	96.68	94.67	460.44	2.34	2.76	6.31	1.66	0.47	0.69	8.13	2.29	0.0	0.13	13.12	7.94	37.05	140.04	70.51	158.79	6.84	1.13	18.29	50.63	17.38	54.33	9.7	40.36	46.18	4.5	9.78	12.27	57.49	11.47
NBPF16	208.38	170.25	532.74	32.82	48.18	31.9	38.12	95.34	28.04	28.65	55.89	0.0	0.95	32.36	28.45	59.55	45.53	90.77	26.28	258.57	87.03	53.57	185.11	63.0	748.61	206.94	92.05	75.64	244.57	88.88	60.39	72.01	170.25
NCAM1	166.73	104.42	143.01	7.82	2.71	9.7	5.11	5.92	1.19	16.88	7.94	0.0	0.39	41.52	18.03	87.03	351.14	147.06	87.65	175.07	42.71	169.07	99.43	31.9	60.39	43.94	183.82	7.22	12.09	107.38	87.65	10.31	135.24
NFAT5	281.09	381.68	555.41	5.41	10.08	44.57	10.71	13.03	18.97	12.09	6.84	0.0	0.48	156.59	128.79	291.04	262.2	332.14	356.05	303.44	130.6	237.86	229.72	223.41	346.29	193.01	251.48	61.25	66.18	145.02	283.05	88.88	241.19
NFATC3	703.28	802.41	775.05	71.0	59.13	128.79	68.07	157.68	73.54	82.29	58.71	0.0	0.33	253.23	234.57	457.25	607.87	660.68	493.56	237.86	182.55	166.73	351.14	299.25	620.67	215.77	612.11	713.11	353.59	420.68	295.11	409.15	279.14
NFIX	2645.74	7032.37	1051.79	145.02	146.03	279.14	251.48	320.8	91.41	414.87	87.65	447.82	332.14	1259.69	497.0	2224.63	6561.36	2468.49	4903.87	1259.69	351.14	796.86	3467.27	941.27	2090.03	981.29	1769.57	1685.71	733.19	1175.27	1340.84	629.35	1662.49
NHSL2	62.56	177.53	133.36	0.6	1.45	1.13	1.46	1.0	0.52	1.71	1.07	0.0	0.22	13.42	27.44	96.01	100.13	65.72	92.7	59.55	19.68	30.34	42.41	31.67	74.06	16.88	74.06	22.1	5.59	21.01	34.26	23.76	18.03
NOX4	507.46	167.9	314.17	18.29	35.76	9.63	18.16	9.41	11.04	3.47	0.0	0.0	0.26	24.46	11.04	38.4	223.41	75.64	140.04	38.12	31.67	8.85	25.91	25.35	40.93	9.27	52.45	112.77	67.12	40.64	25.91	20.26	81.14
NUDT11	45.85	88.88	104.42	0.54	0.95	0.6	0.56	0.54	0.45	1.51	0.0	0.0	0.38	8.58	120.1	9.56	59.55	1.03	53.19	14.35	14.35	19.39	13.93	5.5	12.27	6.73	38.95	5.73	0.65	13.62	30.56	21.16	30.78
NUDT3	547.75	336.79	599.49	117.6	96.68	101.54	77.25	217.27	163.28	70.01	54.33	149.12	180.02	201.25	318.57	239.52	351.14	267.73	423.61	269.6	220.32	178.77	255.0	162.14	255.0	336.79	251.48	251.48	124.37	246.28	265.87	177.53	165.57
PABPC5	47.84	45.53	120.1	0.49	0.0	1.85	1.3	0.87	0.0	0.0	1.41	0.0	0.21	18.97	11.55	11.55	80.57	36.79	62.56	6.89	1.66	28.24	37.32	7.34	46.18	16.15	33.3	14.45	6.57	19.97	18.03	7.46	15.91
PACS1	2468.49	1340.84	961.07	221.86	251.48	273.37	283.05	303.44	297.17	151.22	346.29	571.05	780.44	872.1	753.83	854.13	764.36	1233.75	1088.92	1427.22	1304.15	1304.15	954.43	1008.9	733.19	1081.39	947.83	432.53	753.83	1388.16	1369.04	698.41	1030.12
PCDH18	429.54	1277.29	1909.85	1.43	7.22	14.24	10.96	4.21	6.78	5.87	13.83	0.0	0.29	39.79	14.03	127.89	339.14	262.2	532.74	82.87	154.42	54.33	105.89	59.55	172.65	42.71	262.2	82.29	40.36	127.0	98.73	45.85	94.01
PCMTD1	1340.84	2502.97	2400.97	98.04	307.69	262.2	381.68	97.36	265.87	105.15	105.15	332.14	309.83	825.0	748.61	1151.06	1651.0	1268.46	1950.0	1111.82	507.46	1030.12	1066.48	928.3	1447.15	1151.06	1662.49	395.18	902.89	967.76	1191.69	373.81	836.53
PHIP	463.65	483.38	780.44	22.26	22.75	40.07	15.68	82.87	63.0	9.63	12.27	117.6	41.81	221.86	221.86	217.27	312.0	334.46	432.53	356.05	202.66	236.21	353.59	329.84	348.71	287.01	277.2	86.43	228.13	246.28	329.84	154.42	339.14
PLXDC2	1674.06	1757.34	3060.45	12.27	15.11	43.63	21.47	15.56	15.68	18.16	11.21	0.0	0.54	802.41	1242.34	1233.75	1388.16	591.22	1697.45	988.12	669.92	1769.57	1059.11	559.28	1832.01	1733.13	1081.39	1175.27	718.08	860.08	2090.03	414.87	1340.84
PODXL	2520.38	1277.29	1037.29	49.21	224.97	154.42	87.65	142.01	38.67	41.22	20.71	0.0	0.66	941.27	414.87	775.05	1721.16	563.18	1519.15	1340.84	4123.49	3212.66	473.41	547.75	753.83	1639.59	1487.87	438.59	1159.07	1175.27	2384.37	325.29	1096.5
PPAPDC3	85.22	95.34	50.98	6.41	2.03	6.84	6.21	1.97	2.58	0.75	0.66	0.0	0.34	24.99	2.68	34.02	120.94	120.1	72.52	17.77	9.78	29.48	52.45	9.13	49.21	16.75	84.63	26.1	46.5	20.86	15.22	45.85	26.67
PPP1R2	1662.49	961.07	2485.67	195.72	273.37	332.14	237.86	363.56	371.22	124.37	271.48	733.19	521.76	769.69	1359.57	1233.75	1617.0	1143.1	1030.12	1467.37	1030.12	1151.06	703.28	909.17	1044.52	1143.1	1096.5	1008.9	902.89	872.1	1233.75	878.17	1111.82
PRDM11	154.42	152.28	124.37	32.59	14.35	9.78	10.24	34.51	53.57	30.34	17.64	0.0	0.41	51.71	43.02	198.47	232.94	193.01	108.14	31.45	33.78	40.07	78.34	24.99	65.72	17.51	182.55	46.5	57.89	22.92	62.12	60.39	95.34
PRICKLE1	743.43	591.22	921.88	0.52	6.01	11.91	3.92	1.27	1.89	15.45	0.0	0.0	0.26	101.54	145.02	128.79	1008.9	400.71	1322.37	55.49	65.26	71.0	169.07	75.64	575.03	44.57	486.75	698.41	46.84	122.64	85.82	94.67	108.14
PRND	68.07	42.41	40.93	0.0	0.55	1.87	0.0	0.53	2.16	0.0	0.0	0.0	0.0	63.0	12.45	6.06	6.36	13.62	93.35	19.97	6.16	3.03	1498.22	0.0	4.5	6.21	6.67	89.51	0.0	2.84	11.04	0.0	27.84
