	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.XUJ4.1126.SM.4BOPC	GTEX.13PL7.0526.SM.5J2MQ	GTEX.ZQUD.0426.SM.57WFR	GTEX.13O21.0626.SM.5IJDI	GTEX.147F3.0826.SM.5NQA7	GTEX.Z9EW.0526.SM.5HL8S	GTEX.P4PP.0726.SM.3NM9S	GTEX.XUJ4.0926.SM.4BOPA	GTEX.XBEW.1426.SM.4AT4J	GTEX.OIZH.0726.SM.3NB1I	TCGA.CV.7245.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WOFM.2126.SM.4OOSR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.FP.7829.11A.01R.2055.13
CMAS	5366.37	2384.37	2417.67	3280.18	3589.58	536.45	616.37	563.18	2090.03	1457.23	1991.0	1721.16	669.92	669.92	603.67	854.13	1001.93	567.1	902.89	2701.35	3060.45	1950.0	2451.44	2468.49	3257.52	638.15
CNOT1	10883.59	3901.01	4388.98	6471.02	5219.6	1832.01	1883.54	1794.29	3928.15	3280.18	3257.52	3639.7	1950.0	1794.29	1923.14	1936.53	1844.76	1.03	2209.26	4181.07	5041.77	3443.31	6426.31	4388.98	5441.3	1832.01
CUL3	3928.15	1388.16	1963.57	2047.0	1806.78	825.0	743.43	872.1	2061.24	1529.73	1883.54	1806.78	974.5	860.08	884.29	1183.45	1617.0	928.3	1583.71	2400.97	2178.83	1662.49	3928.15	3168.41	4328.55	775.05
CXCL10	23820.89	47.84	111.99	88.88	15.22	0.0	0.0	4.58	18.97	17.25	5.15	11.47	2.32	6.94	0.0	0.0	27.64	0.0	45.21	76.17	8191.0	45.21	16157.44	289.02	96.68	13.32
DENND2C	51417.5	1437.15	1594.73	2148.82	2133.97	18.16	31.45	31.0	603.67	616.37	521.76	587.13	33.54	25.91	36.27	48.52	193.01	66.18	303.44	1111.82	2004.85	941.27	1745.2	1350.18	1529.73	98.73
DGKA	33922.56	13033.07	10084.54	18431.96	17317.18	642.59	713.11	587.13	5329.3	3716.2	5255.91	5255.91	638.15	785.88	587.13	698.41	1322.37	0.99	2701.35	2303.12	5954.47	2915.45	4543.8	3742.05	5041.77	878.17
DIP2B	1561.89	470.14	748.61	693.58	775.05	87.03	127.89	102.25	441.64	450.94	361.04	429.54	124.37	130.6	114.36	166.73	208.38	0.71	325.29	769.69	1225.22	698.41	1096.5	595.34	921.88	170.25
DSC2	149521.18	8598.28	9344.14	32315.87	35856.82	5.5	16.51	18.56	4903.87	3768.09	4972.34	4268.94	21.63	17.9	19.53	343.89	1295.13	68.55	3103.19	23986.58	49322.93	13776.25	28923.41	17437.64	32315.87	215.77
DSP	96616.71	37121.34	44452.21	85876.94	156954.93	31.0	52.45	21.32	14361.31	10883.59	12502.12	15285.81	59.97	56.68	67.12	748.61	3589.58	0.65	7642.41	47974.16	85283.74	32315.87	50709.61	42346.82	65535.0	1030.12
EDN2	7857.29	167.9	90.77	94.01	438.59	82.29	22.92	32.13	543.96	36.27	698.41	76.17	20.56	2.68	19.39	22.1	142.01	0.04	59.97	299.25	2701.35	1127.35	4358.66	836.53	909.17	54.72
FABP12	514.56	358.54	579.04	371.22	1111.82	0.0	0.0	0.0	18.29	27.84	38.95	114.36	0.0	0.0	0.0	0.0	1.53	0.0	10.88	159.9	170.25	81.14	194.36	76.71	242.88	0.54
FAM162A	21617.82	4010.71	2816.11	5517.27	6037.61	1628.26	1477.58	1250.98	4903.87	4239.45	6037.61	5147.73	2351.53	1477.58	1685.71	1551.09	1781.89	162.14	2400.97	9945.68	13215.02	4903.87	13215.02	6792.79	8778.97	2090.03
FAM25A	1034138.94	20737.16	27174.14	327241.36	244588.0	7.57	0.0	0.0	10959.3	209.84	6250.56	4639.29	12.45	0.0	0.0	77.25	3349.13	0.2	1896.65	124863.17	258533.99	140478.49	311742.51	98646.85	383800.28	1628.26
FAT2	402881.61	2075.59	3190.46	3190.46	2485.67	2.07	1.28	3.29	1001.93	785.88	1191.69	1135.2	2.36	2.07	3.79	21.01	258.57	0.58	890.44	2119.22	3614.55	1709.26	4972.34	2133.97	2520.38	24.63
FGF11	4972.34	480.04	728.11	1733.13	785.88	5.41	6.52	12.93	368.65	406.31	332.14	297.17	9.2	12.45	13.93	15.56	108.14	0.71	191.67	387.02	921.88	603.67	2119.22	988.12	941.27	75.11
GNA15	19754.96	7749.1	3491.39	8305.36	17317.18	22.26	35.76	30.56	1304.15	1313.23	1208.34	1651.0	24.46	41.22	32.36	103.69	743.43	0.53	1051.79	3303.0	4736.79	3690.52	4268.94	4972.34	5791.62	242.88
GPR115	4298.64	2573.36	1991.0	2400.97	5366.37	3.79	3.86	8.92	368.65	273.37	348.71	348.71	10.39	2.03	6.21	19.25	89.51	0.4	275.28	1088.92	1757.34	1111.82	1561.89	1159.07	1617.0	10.16
HEBP2	8247.98	4543.8	3212.66	4358.66	5672.41	1286.18	1991.0	1733.13	3564.78	2104.58	3874.05	3443.31	1883.54	1883.54	1883.54	1572.76	1540.37	0.82	1923.14	3168.41	3491.39	3103.19	5366.37	3742.05	5403.7	1896.65
IL1RL2	551.56	155.5	392.44	253.23	651.58	2.66	6.62	3.69	111.99	97.36	134.3	151.22	1.73	6.11	6.01	12.45	44.57	0.37	59.13	244.57	444.72	105.15	148.09	316.37	295.11	13.62
KRT4	3.697379928E7	1.810644424E7	6140819.49	2.276004283E7	3.109113511E7	43.94	52.08	26.28	489177.0	52863.07	542775.98	492579.5	31.9	58.71	29.91	17681.08	187950.38	0.0	1851161.35	1.236706555E7	2.900905474E7	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	26614.89
LPAR5	3794.3	813.63	289.02	866.07	1594.73	12.74	13.22	40.07	612.11	497.0	612.11	733.19	11.3	18.16	21.94	51.71	117.6	128.79	251.48	728.11	981.29	764.36	1030.12	718.08	872.1	41.22
LRRFIP2	3018.3	1639.59	1259.69	1819.35	2119.22	1242.34	954.43	1233.75	1447.15	1427.22	1605.83	1551.09	1331.57	1143.1	915.51	1286.18	1001.93	0.73	1096.5	1697.45	2502.97	1427.22	2645.74	1594.73	2537.92	1023.0
MBOAT2	30999.42	2777.33	3280.18	5441.3	4543.8	334.46	341.51	170.25	1508.65	1487.87	1369.04	1508.65	186.4	277.2	289.02	423.61	629.35	289.02	1350.18	4419.52	9088.59	3467.27	8538.88	4543.8	5791.62	376.41
MGST2	13968.57	5366.37	3467.27	7130.55	8840.04	775.05	1051.79	693.58	3768.09	3564.78	4450.27	3982.99	1051.79	1066.48	1051.79	1008.9	2682.69	0.52	3190.46	7180.15	9945.68	5954.47	9279.58	5751.61	7433.4	1008.9
MTA3	1407.55	733.19	674.59	915.51	848.22	356.05	454.09	403.5	854.13	753.83	836.53	830.75	540.19	470.14	423.61	532.74	368.65	214.27	785.88	825.0	1167.14	769.69	1259.69	1023.0	1111.82	642.59
MUC21	1019901.63	645473.24	275175.93	964885.69	906531.99	5.68	21.78	5.15	24832.5	11827.67	30361.44	27363.16	5.15	28.86	3.41	1208.34	8901.53	0.13	22850.48	280957.98	405683.88	443937.41	741454.2	762299.34	834179.46	4869.99
MVB12A	3564.78	2133.97	1191.69	2032.85	2400.97	607.87	830.75	842.36	1199.98	1119.56	1378.57	1540.37	872.1	642.59	718.08	723.08	1088.92	0.67	1359.57	1896.65	1936.53	1572.76	1896.65	1923.14	2209.26	954.43
MX1	41475.31	1819.35	1806.78	2915.45	854.13	234.57	237.86	366.09	791.35	1001.93	775.05	1008.9	363.56	211.31	339.14	297.17	591.22	0.47	738.29	3168.41	20881.4	3168.41	13123.73	4450.27	5791.62	571.05
NOD2	1498.22	656.11	409.15	693.58	1175.27	28.86	14.24	12.64	198.47	221.86	237.86	244.57	19.68	12.45	21.94	31.22	50.27	0.52	50.27	368.65	651.58	134.3	346.29	307.69	325.29	17.77
OSTF1	14765.09	3395.89	2627.46	5633.22	8078.22	287.01	351.14	312.0	2119.22	1923.14	2193.99	2400.97	379.04	429.54	384.34	587.13	1096.5	947.83	1561.89	5076.84	4450.27	3060.45	4736.79	3982.99	4937.99	470.14
PABPC1	164758.26	48307.85	51775.15	104271.56	80125.95	8191.0	16157.44	15180.22	50359.33	29943.43	48307.85	44452.21	14065.74	16611.71	11424.74	15715.58	25005.23	2104.58	40062.48	53601.03	58655.36	47313.67	130165.62	76330.98	65535.0	23009.42
PERP	492579.5	44145.15	40341.14	68318.04	84694.64	529.06	743.43	688.78	15607.02	14461.21	15180.22	15824.9	2956.17	2075.59	1794.29	2351.53	4388.98	802.41	9673.69	50011.46	76861.91	33224.42	60723.88	44761.41	72715.74	1417.35
PGLYRP3	1212874.47	2855.44	1963.57	3639.7	5366.37	0.0	0.0	0.0	808.0	493.56	764.36	785.88	0.0	0.0	0.0	14.35	127.0	0.0	629.35	3742.05	6561.36	3124.78	4298.64	4769.75	5006.93	45.21
PIM1	16960.78	5954.47	3794.3	11504.21	11827.67	555.41	571.05	909.17	3081.75	2520.38	3467.27	3955.48	651.58	703.28	780.44	620.67	3018.3	327.56	1135.2	5112.16	7433.4	4704.07	8191.0	6294.04	7331.05	728.11
PLD1	5255.91	1757.34	1909.85	4210.15	3124.78	60.82	127.0	185.11	988.12	684.02	1008.9	1008.9	108.9	154.42	131.51	206.94	417.77	0.69	555.41	1183.45	2090.03	2178.83	1721.16	1350.18	2255.7	234.57
PRSS27	577714.63	174152.51	52497.92	187950.38	168220.2	22.75	45.53	36.53	4298.64	3124.78	4358.66	4903.87	35.5	34.02	30.56	171.45	3874.05	0.49	3168.41	62865.33	137587.47	75803.72	113315.62	111755.56	201440.3	1191.69
RAET1G	17681.08	2240.11	1417.35	4607.24	3060.45	7.11	2.25	2.07	224.97	387.02	339.14	599.49	4.43	2.36	3.06	19.53	97.36	0.27	269.6	2240.11	3690.52	1437.15	2997.45	2915.45	3060.45	53.95
RAPGEFL1	47974.16	12676.65	6699.25	14163.58	23330.64	185.11	112.77	85.22	4671.57	2976.74	4836.35	4543.8	148.09	95.34	215.77	249.73	896.64	1.28	2502.97	6935.54	15824.9	7911.95	12764.83	10014.87	12943.04	242.88
RASSF5	6887.62	2163.77	1378.57	2627.46	4543.8	105.15	81.14	125.24	1001.93	764.36	988.12	915.51	96.01	59.13	88.88	138.1	629.35	0.48	915.51	660.68	3467.27	1295.13	4239.45	3018.3	3372.43	237.86
RMND5B	7081.29	2451.44	1487.87	3443.31	4388.98	890.44	854.13	921.88	1794.29	1331.57	1857.6	2061.24	830.75	866.07	842.36	967.76	1199.98	0.47	723.08	2855.44	3491.39	2193.99	4066.71	3540.14	3039.3	1015.93
ROBO2	1457.23	178.77	150.17	172.65	144.01	4.1	3.14	0.51	61.68	55.1	64.34	89.51	17.0	9.56	5.54	4.17	33.3	0.09	17.77	80.01	1183.45	289.02	1447.15	283.05	412.0	6.11
SERPINB1	190574.09	66449.85	39785.74	102836.01	114103.8	665.29	860.08	674.59	21320.18	19214.73	18689.27	18950.18	915.51	915.51	785.88	1794.29	6207.38	2032.85	9088.59	33224.42	72715.74	36864.92	105727.15	39237.98	71714.63	2240.11
SLC27A2	1977.24	78.34	28.45	51.71	20.26	1.0	0.0	8.13	31.22	40.36	22.59	87.03	0.0	3.26	1.85	8.92	27.64	0.0	62.56	679.29	309.83	269.6	591.22	271.48	575.03	4.1
SLC39A2	13586.57	1909.85	1529.73	1883.54	5594.3	2.97	3.76	0.65	346.29	165.57	277.2	327.56	0.6	1.3	0.0	11.13	96.01	0.21	244.57	2895.31	5954.47	1674.06	2997.45	2434.5	5594.3	22.43
SLC9A3R1	61146.25	17927.91	6935.54	19892.37	20451.65	543.96	366.09	336.79	7130.55	6607.01	8658.09	9279.58	246.28	262.2	303.44	551.56	2555.58	1.0	5329.3	11112.3	28132.47	12329.98	23169.48	23330.64	15075.35	532.74
SQRDL	16611.71	3419.52	2351.53	4328.55	4268.94	860.08	1015.93	854.13	2520.38	2855.44	2193.99	2335.28	1250.98	791.35	775.05	934.76	1540.37	0.68	1340.84	5041.77	4481.23	3060.45	6079.61	4639.29	5831.91	1023.0
SUFU	713.11	237.86	231.32	346.29	307.69	108.9	132.44	165.57	212.78	181.28	182.55	223.41	151.22	113.56	147.06	151.22	220.32	0.39	171.45	214.27	432.53	255.0	397.93	305.55	228.13	224.97
SYPL1	8538.88	2796.65	4972.34	4268.94	4010.71	2061.24	2075.59	1685.71	3955.48	3257.52	3665.02	3690.52	2573.36	2367.9	1721.16	3280.18	2468.49	0.88	2271.4	5711.87	4388.98	4607.24	5517.27	5041.77	7589.61	1950.0
TESK2	599.49	177.53	169.07	307.69	289.02	52.08	104.42	73.54	220.32	119.26	177.53	164.42	82.29	47.84	47.5	92.05	105.89	0.48	239.52	178.77	253.23	166.73	297.17	180.02	194.36	126.12
TGM5	5672.41	1617.0	1175.27	1781.89	1685.71	35.5	7.94	7.22	146.03	295.11	180.02	206.94	11.55	26.47	46.18	16.15	93.35	0.34	89.51	1001.93	2758.13	1437.15	684.02	3190.46	1350.18	27.84
TLDC1	4358.66	612.11	656.11	866.07	703.28	154.42	164.42	151.22	529.06	551.56	525.39	872.1	171.45	148.09	151.22	145.02	215.77	0.4	285.03	995.0	1721.16	890.44	3081.75	1023.0	703.28	190.34
TMEM254	3928.15	1233.75	1388.16	1963.57	2163.77	209.84	291.04	432.53	1313.23	902.89	1259.69	1051.79	395.18	363.56	371.22	346.29	406.31	0.0	860.08	1883.54	2303.12	1572.76	2148.82	1757.34	1407.55	638.15
TOLLIP	8658.09	3564.78	2075.59	4575.41	3901.01	1015.93	967.76	808.0	1923.14	1697.45	2163.77	2209.26	954.43	941.27	860.08	1023.0	1008.9	0.64	1191.69	2645.74	5076.84	2720.15	5751.61	4358.66	4836.35	1242.34
TP53AIP1	46662.28	995.0	1104.13	1950.0	1781.89	1.04	2.63	0.72	363.56	603.67	543.96	708.18	0.32	1.04	3.06	14.67	108.9	0.17	206.94	1167.14	4066.71	1143.1	3564.78	1225.22	2816.11	6.57
TRIM16	28923.41	8247.98	5594.3	9409.14	12244.81	656.11	603.67	447.82	3235.01	3018.3	3018.3	4512.4	547.75	780.44	624.99	934.76	1806.78	0.71	2351.53	7642.41	12589.08	7911.95	12764.83	10296.45	9808.75	511.0
TUFT1	4512.4	1322.37	836.53	1832.01	1572.76	208.38	187.71	197.09	848.22	995.0	808.0	1769.57	237.86	426.57	177.53	249.73	260.38	136.19	486.75	878.17	1857.6	1498.22	3235.01	1662.49	1685.71	265.87
UBAC2	5872.48	1963.57	1781.89	2075.59	2537.92	825.0	921.88	860.08	1832.01	1697.45	1674.06	1709.26	1051.79	928.3	915.51	1135.2	1769.57	0.92	1540.37	2956.17	2835.7	2434.5	3847.29	3491.39	3349.13	1191.69
VDAC2	26614.89	8963.45	6983.79	10084.54	13306.94	5041.77	5041.77	5555.65	8421.31	9409.14	9673.69	8022.41	5255.91	4639.29	4671.57	6745.86	6250.56	1.28	6607.01	13776.25	15499.21	11035.54	17681.08	13033.07	17078.76	5555.65
VPS4B	4769.75	2485.67	2720.15	4152.18	3190.46	389.72	447.82	432.53	2075.59	1594.73	1936.53	1870.53	543.96	447.82	409.15	647.07	1143.1	0.21	1059.11	3564.78	4736.79	3060.45	5183.54	3081.75	4298.64	738.29
ZDHHC13	3847.29	1208.34	1159.07	3060.45	3564.78	108.14	117.6	87.03	1066.48	825.0	830.75	995.0	143.01	132.44	134.3	181.28	283.05	0.35	480.04	1572.76	2018.8	1081.39	2193.99	1594.73	2520.38	244.57
ZNF385A	13123.73	3168.41	3491.39	3901.01	3491.39	466.88	432.53	206.94	1191.69	1457.23	1167.14	1594.73	679.29	669.92	500.46	253.23	1378.57	836.53	2075.59	3614.55	5594.3	2915.45	5633.22	4038.61	5183.54	669.92
ZNF770	4328.55	642.59	713.11	764.36	872.1	114.36	116.78	123.5	624.99	575.03	532.74	532.74	161.02	135.24	105.15	228.13	366.09	0.53	373.81	1923.14	1427.22	941.27	1216.75	1437.15	995.0	215.77
