	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.EM.A22M.01A.11R.A32Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.13OVJ.0626.SM.5J2O2	GTEX.OHPM.2626.SM.33HC5	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.R55C.0626.SM.2TF4Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.Z9EW.0226.SM.5CVM7
CXADR	285.03	303.44	226.54	204.07	309.83	205.5	182.55	223.41	221.86	134.3	273.37	277.2	191.67	237.86	195.72	193.01	426.57	351.14	361.04	466.88	403.5	161.02	460.44	497.0	283.05	232.94	493.56	307.69	417.77	376.41	356.05	258.57	273.37	336.79	403.5	571.05	466.88	295.11	397.93	423.61	318.57	178.77	376.41	638.15	454.09	381.68	397.93	323.03	400.71	187.71	353.59
DIO1	22.26	351.14	11.38	693.58	23.93	11.21	5.06	1806.78	1250.98	1119.56	1225.22	1662.49	551.56	435.55	9.06	182.55	38430.46	74243.68	46986.85	6471.02	403.5	571.05	27553.49	38697.77	21468.49	3146.52	61146.25	33922.56	10440.2	44145.15	5292.48	802.41	3847.29	24153.43	27363.16	2502.97	60723.88	61146.25	28525.2	33688.23	10154.69	8718.32	25887.07	19214.73	36610.26	137587.47	5366.37	18819.27	13586.57	1225.22	37121.34
DTWD2	26.86	40.64	27.05	24.28	43.32	19.82	48.52	37.32	41.81	19.68	49.56	73.54	32.36	44.57	26.47	20.71	152.28	95.34	155.5	133.36	59.97	32.13	242.88	137.14	82.87	113.56	171.45	127.89	99.43	74.58	64.34	50.98	37.32	68.55	164.42	106.63	215.77	114.36	175.07	144.01	62.12	92.7	113.56	141.02	106.63	109.66	137.14	137.14	47.84	46.5	158.79
ERO1LB	71.0	149.12	108.14	102.25	89.51	66.18	109.66	154.42	163.28	107.38	202.66	265.87	136.19	96.68	80.01	103.69	769.69	389.72	1111.82	480.04	476.71	100.13	633.73	872.1	583.07	281.09	1295.13	540.19	389.72	438.59	251.48	220.32	264.03	514.56	688.78	320.8	995.0	624.99	890.44	2555.58	332.14	215.77	928.3	1286.18	890.44	825.0	532.74	866.07	281.09	258.57	688.78
FAM35A	194.36	295.11	193.01	242.88	271.48	195.72	228.13	202.66	229.72	208.38	283.05	351.14	258.57	237.86	195.72	201.25	559.28	563.18	698.41	607.87	301.33	273.37	921.88	813.63	540.19	497.0	688.78	412.0	444.72	579.04	547.75	384.34	457.25	376.41	587.13	551.56	921.88	603.67	547.75	532.74	521.76	470.14	656.11	688.78	559.28	511.0	791.35	493.56	444.72	373.81	518.15
FBXL3	438.59	612.11	412.0	463.65	603.67	273.37	555.41	373.81	420.68	547.75	583.07	785.88	447.82	547.75	307.69	285.03	1437.15	1457.23	1369.04	1268.46	684.02	591.22	2609.3	1617.0	1044.52	1066.48	1540.37	921.88	1104.13	1508.65	1191.69	775.05	647.07	647.07	1096.5	884.29	1757.34	1617.0	1508.65	1250.98	1407.55	988.12	1540.37	1883.54	1340.84	1407.55	1322.37	1733.13	836.53	587.13	1417.35
FBXL5	1001.93	1216.75	866.07	1081.39	1008.9	902.89	1073.91	1073.91	1143.1	1104.13	1583.71	1721.16	961.07	1183.45	808.0	759.08	3081.75	2075.59	2032.85	3443.31	1806.78	1331.57	3212.66	2502.97	2004.85	1721.16	2417.67	2148.82	2209.26	2451.44	1977.24	1709.26	1397.83	1322.37	2384.37	2351.53	2796.65	2777.33	2555.58	2537.92	1896.65	1583.71	2682.69	2895.31	2163.77	2178.83	2400.97	2502.97	1819.35	1081.39	2645.74
FBXW10	1.25	5.36	2.16	2.36	3.32	1.33	3.53	3.56	2.14	1.28	2.56	8.71	10.31	5.15	2.2	0.0	18.16	24.11	39.22	16.39	1.36	6.89	39.79	24.99	28.45	20.86	11.13	24.11	26.86	15.0	38.67	23.76	34.02	17.77	26.67	16.15	15.22	27.84	27.44	39.79	7.17	6.94	12.36	11.38	15.91	12.83	29.91	23.59	30.12	10.96	7.63
GCSH	1135.2	1313.23	1794.29	1135.2	1250.98	974.5	1417.35	1963.57	1572.76	1561.89	2255.7	1923.14	1242.34	1304.15	1199.98	802.41	3280.18	4769.75	2835.7	8598.28	2502.97	1857.6	3928.15	2537.92	2178.83	2148.82	3212.66	2915.45	3540.14	2895.31	2627.46	3039.3	3564.78	2758.13	4239.45	5183.54	4481.23	3257.52	5672.41	5041.77	3168.41	2319.15	2335.28	3349.13	4543.8	3742.05	4239.45	2997.45	4903.87	1467.37	4704.07
GOLGA8Q	20.11	58.3	24.28	33.54	11.21	9.34	24.81	8.0	36.79	3.5	187.71	206.94	18.43	44.25	21.47	20.11	68.55	406.31	1175.27	423.61	620.67	111.99	249.73	698.41	507.46	145.02	153.34	361.04	457.25	172.65	967.76	249.73	118.43	229.72	267.73	189.02	647.07	198.47	111.99	1733.13	693.58	138.1	336.79	1662.49	242.88	1216.75	1936.53	941.27	100.13	61.68	575.03
GPR180	33.78	49.21	40.36	31.45	39.22	27.64	48.52	33.54	39.79	34.51	49.21	53.19	37.05	36.01	35.5	29.91	70.51	55.49	70.51	54.33	74.58	43.32	125.24	85.82	77.25	61.68	104.42	87.65	57.89	56.68	60.39	50.27	33.54	98.73	78.89	50.98	110.43	59.13	111.21	98.04	57.08	53.19	87.65	103.69	78.34	80.01	74.58	82.29	58.71	46.5	72.01
INCENP	64.34	94.67	173.85	90.77	146.03	90.14	124.37	102.97	87.65	112.77	176.29	204.07	132.44	159.9	123.5	148.09	819.3	186.4	297.17	185.11	217.27	116.78	366.09	928.3	612.11	543.96	599.49	318.57	314.17	169.07	211.31	171.45	187.71	269.6	301.33	185.11	258.57	198.47	483.38	239.52	480.04	186.4	229.72	220.32	129.69	753.83	718.08	189.02	366.09	170.25	426.57
INHBC	0.79	1.31	0.21	1.73	1.06	0.0	0.38	0.8	2.1	0.19	1.71	9.34	1.89	1.38	0.22	0.0	19.53	17.64	9.63	5.54	2.71	2.94	13.22	12.93	7.34	5.02	3.59	8.58	16.51	3.59	2.29	6.52	2.81	8.13	3.69	13.52	24.99	5.77	12.83	15.22	6.67	4.43	14.35	2.92	4.03	11.73	9.63	14.03	3.38	2.16	8.25
KDM1B	175.07	239.52	212.78	155.5	244.57	156.59	242.88	154.42	190.34	117.6	197.09	293.07	155.5	232.94	161.02	144.01	753.83	813.63	703.28	884.29	441.64	253.23	764.36	1059.11	441.64	555.41	738.29	830.75	447.82	490.14	409.15	454.09	486.75	559.28	665.29	486.75	651.58	599.49	708.18	1313.23	417.77	412.0	470.14	718.08	532.74	836.53	603.67	555.41	616.37	248.0	503.95
LRP6	106.63	134.3	87.03	116.78	123.5	97.36	143.01	111.21	102.97	96.01	155.5	193.01	114.36	128.79	106.63	81.71	212.78	195.72	211.31	397.93	212.78	127.89	395.18	236.21	191.67	285.03	273.37	156.59	237.86	283.05	249.73	183.82	135.24	224.97	253.23	212.78	297.17	214.27	149.12	231.32	221.86	175.07	214.27	397.93	133.36	209.84	314.17	267.73	102.25	132.44	224.97
LYSMD3	133.36	170.25	102.25	100.83	147.06	84.04	137.14	139.07	133.36	97.36	149.12	163.28	126.12	147.06	92.7	118.43	301.33	329.84	303.44	376.41	281.09	194.36	579.04	397.93	241.19	236.21	503.95	234.57	208.38	309.83	323.03	183.82	212.78	409.15	336.79	204.07	514.56	273.37	397.93	514.56	273.37	211.31	450.94	417.77	285.03	373.81	314.17	358.54	303.44	244.57	273.37
MARVELD2	199.85	181.28	173.85	283.05	231.32	186.4	183.82	267.73	262.2	226.54	368.65	483.38	183.82	214.27	155.5	186.4	1159.07	620.67	629.35	819.3	392.44	293.07	921.88	497.0	447.82	669.92	872.1	571.05	775.05	529.06	447.82	409.15	295.11	457.25	928.3	665.29	878.17	656.11	896.64	830.75	518.15	381.68	698.41	775.05	679.29	830.75	555.41	708.18	441.64	363.56	555.41
METTL21B	105.89	152.28	120.1	166.73	140.04	138.1	119.26	118.43	140.04	115.16	157.68	175.07	120.1	154.42	136.19	102.97	281.09	220.32	295.11	224.97	183.82	153.34	229.72	256.78	246.28	209.84	267.73	297.17	212.78	170.25	157.68	260.38	163.28	242.88	336.79	217.27	275.28	201.25	273.37	228.13	163.28	262.2	205.5	264.03	193.01	234.57	159.9	164.42	226.54	146.03	226.54
METTL2B	161.02	214.27	159.9	185.11	185.11	191.67	206.94	172.65	167.9	195.72	130.6	193.01	182.55	180.02	157.68	133.36	264.03	251.48	239.52	248.0	165.57	193.01	373.81	356.05	255.0	186.4	312.0	251.48	260.38	305.55	327.56	182.55	205.5	269.6	258.57	206.94	339.14	251.48	246.28	265.87	215.77	295.11	339.14	273.37	201.25	262.2	258.57	281.09	217.27	205.5	277.2
PFN2	1628.26	1794.29	2047.0	2075.59	2537.92	2047.0	2895.31	2287.2	2573.36	1073.91	1896.65	2875.3	1896.65	2367.9	2351.53	1350.18	3564.78	3443.31	2895.31	4769.75	2451.44	2384.37	4328.55	3124.78	2855.44	2163.77	3768.09	3325.99	3325.99	3257.52	2895.31	2351.53	2895.31	4769.75	3146.52	4419.52	3212.66	3280.18	4152.18	3716.2	3168.41	1662.49	2915.45	3901.01	3665.02	3847.29	3639.7	3467.27	3212.66	1977.24	2682.69
PHKB	463.65	518.15	612.11	728.11	463.65	500.46	466.88	718.08	791.35	567.1	1008.9	941.27	551.56	457.25	536.45	406.31	1685.71	1350.18	1498.22	1447.15	909.17	638.15	1909.85	1628.26	1397.83	915.51	1477.58	1806.78	1225.22	1268.46	1519.15	995.0	878.17	1331.57	1407.55	1015.93	1883.54	1745.2	1709.26	1721.16	1111.82	902.89	1268.46	2133.97	1721.16	1529.73	1709.26	1909.85	1081.39	713.11	1427.22
PIP4K2C	371.22	406.31	559.28	480.04	460.44	476.71	563.18	476.71	497.0	417.77	384.34	543.96	423.61	432.53	493.56	463.65	612.11	713.11	753.83	521.76	497.0	368.65	660.68	743.43	713.11	563.18	708.18	934.76	620.67	629.35	587.13	454.09	420.68	753.83	559.28	470.14	759.08	718.08	647.07	738.29	612.11	559.28	738.29	591.22	529.06	854.13	642.59	791.35	463.65	409.15	607.87
PLA2R1	23.08	262.2	53.95	194.36	40.64	61.68	92.7	75.64	246.28	159.9	221.86	361.04	353.59	287.01	60.39	73.03	2468.49	3124.78	981.29	2451.44	896.64	256.78	2090.03	1066.48	1096.5	532.74	1437.15	1119.56	4210.15	2319.15	2193.99	3690.52	2032.85	547.75	400.71	2417.67	1331.57	3443.31	2645.74	2133.97	1277.29	624.99	3280.18	1477.58	2451.44	3847.29	1457.23	4038.61	1487.87	361.04	1277.29
PLCH1	15.68	25.91	2.1	52.82	13.03	7.46	2.43	73.03	16.51	25.17	29.48	50.27	29.91	24.63	8.0	18.16	271.48	232.94	151.22	92.7	61.68	2.25	264.03	412.0	98.73	103.69	177.53	231.32	241.19	125.24	59.13	54.72	81.14	81.14	218.79	122.64	343.89	156.59	138.1	389.72	251.48	187.71	186.4	392.44	145.02	77.79	172.65	186.4	89.51	13.93	193.01
PPIP5K1	264.03	231.32	267.73	334.46	389.72	267.73	420.68	187.71	271.48	218.79	397.93	470.14	246.28	368.65	299.25	262.2	559.28	435.55	406.31	273.37	463.65	353.59	728.11	723.08	414.87	497.0	642.59	656.11	540.19	395.18	518.15	363.56	356.05	420.68	314.17	368.65	808.0	583.07	275.28	656.11	389.72	435.55	583.07	921.88	376.41	497.0	490.14	543.96	361.04	457.25	559.28
RASEF	224.97	277.2	285.03	208.38	336.79	241.19	336.79	195.72	329.84	115.16	248.0	420.68	170.25	323.03	237.86	149.12	547.75	490.14	587.13	620.67	497.0	205.5	915.51	769.69	376.41	587.13	603.67	497.0	486.75	426.57	435.55	339.14	518.15	579.04	674.59	540.19	723.08	432.53	470.14	525.39	466.88	444.72	457.25	764.36	518.15	547.75	497.0	460.44	387.02	327.56	507.46
SLC10A7	58.3	88.26	42.11	59.97	82.29	41.81	68.07	60.39	59.13	43.63	93.35	99.43	63.89	57.49	57.89	56.68	135.24	127.89	157.68	142.01	77.79	96.68	231.32	171.45	123.5	118.43	163.28	155.5	129.69	125.24	117.6	106.63	115.16	147.06	162.14	121.79	201.25	129.69	136.19	138.1	122.64	112.77	131.51	209.84	120.1	103.69	134.3	151.22	111.99	77.79	146.03
SLC30A4	38.12	47.5	40.64	35.76	41.81	35.76	38.12	38.67	45.21	40.64	50.98	78.89	41.22	53.57	42.41	40.36	131.51	137.14	130.6	125.24	113.56	43.63	220.32	170.25	127.0	75.64	118.43	140.04	165.57	149.12	65.72	74.06	64.8	134.3	141.02	52.82	186.4	144.01	117.6	135.24	91.41	109.66	132.44	144.01	95.34	144.01	79.45	129.69	90.14	67.12	111.21
SLC33A1	189.02	279.14	201.25	271.48	295.11	211.31	229.72	281.09	301.33	253.23	351.14	540.19	231.32	241.19	212.78	239.52	836.53	514.56	718.08	660.68	409.15	281.09	1051.79	713.11	563.18	595.34	1350.18	738.29	629.35	651.58	521.76	493.56	414.87	507.46	1037.29	575.03	1104.13	656.11	738.29	1378.57	728.11	575.03	878.17	1467.37	656.11	723.08	872.1	713.11	500.46	551.56	1151.06
SLC35A3	161.02	232.94	249.73	182.55	193.01	209.84	195.72	170.25	189.02	118.43	221.86	279.14	161.02	211.31	202.66	145.02	532.74	507.46	514.56	660.68	295.11	273.37	808.0	802.41	457.25	351.14	463.65	329.84	387.02	463.65	384.34	312.0	334.46	356.05	507.46	450.94	647.07	447.82	503.95	629.35	363.56	262.2	540.19	684.02	463.65	486.75	543.96	503.95	334.46	305.55	307.69
SLC41A2	74.06	112.77	72.01	117.6	112.77	76.71	112.77	115.97	105.15	73.03	116.78	175.07	80.01	117.6	83.45	109.66	287.01	341.51	293.07	180.02	368.65	111.21	518.15	403.5	262.2	135.24	334.46	314.17	327.56	271.48	215.77	108.9	117.6	206.94	239.52	147.06	253.23	262.2	293.07	429.54	249.73	170.25	432.53	497.0	293.07	361.04	249.73	305.55	186.4	145.02	202.66
SLC4A4	6.41	61.68	18.84	47.5	14.78	8.25	8.58	36.79	97.36	42.71	94.67	152.28	75.64	57.08	10.88	12.18	1008.9	473.41	2609.3	1721.16	293.07	51.35	2537.92	909.17	316.37	316.37	769.69	208.38	915.51	579.04	403.5	551.56	532.74	323.03	941.27	1313.23	444.72	1159.07	674.59	514.56	708.18	100.83	660.68	1870.53	674.59	802.41	1477.58	728.11	551.56	48.18	480.04
STARD4	41.22	93.35	47.17	72.52	57.08	77.79	90.77	49.91	67.12	29.91	96.68	144.01	96.68	125.24	102.25	60.82	108.9	111.21	215.77	318.57	181.28	62.12	208.38	409.15	248.0	83.45	493.56	201.25	96.68	111.99	137.14	67.59	182.55	229.72	182.55	140.04	232.94	142.01	170.25	583.07	167.9	92.7	190.34	371.22	231.32	232.94	234.57	264.03	147.06	94.67	194.36
SYDE2	17.64	25.35	13.03	11.73	22.75	8.45	23.59	12.18	11.55	14.45	19.68	33.54	14.67	21.01	10.71	5.54	86.43	74.06	78.34	43.94	41.81	8.99	100.13	96.68	51.35	53.19	106.63	38.4	58.3	66.18	52.82	16.39	29.7	62.12	69.52	37.32	79.45	86.43	54.72	70.51	50.98	35.76	80.57	80.01	55.49	68.55	92.05	92.05	23.25	15.11	76.17
TBC1D8B	77.25	87.03	82.29	55.1	79.45	46.5	76.17	66.65	57.49	38.12	97.36	96.68	55.1	74.58	62.56	55.89	187.71	117.6	164.42	161.02	142.01	79.45	248.0	154.42	111.99	133.36	209.84	161.02	149.12	152.28	121.79	106.63	116.78	150.17	158.79	108.9	232.94	135.24	176.29	197.09	129.69	99.43	170.25	208.38	139.07	147.06	173.85	165.57	128.79	97.36	176.29
TG	301123.38	290865.98	348306.01	311742.51	353168.2	296977.71	350728.68	736332.6	794671.01	623486.02	932018.1	1085552.95	368165.8	296977.71	334117.42	214407.12	1364554.84	2247670.86	2126426.15	2375828.71	2111737.85	839981.65	1204496.53	1041331.96	1493223.86	1739208.14	1634025.56	1997825.68	1984025.69	1336472.68	1290947.48	1984025.69	2986448.72	1472666.19	2025714.3	2425749.94	875652.15	1727194.55	2636147.11	2263304.65	2111737.85	1238359.56	1668359.93	1800541.22	3178687.03	3886391.01	1622738.51	2263304.65	2672946.37	1567462.05	1402917.72
TM9SF2	1457.23	1674.06	1561.89	1721.16	1225.22	1498.22	1923.14	1359.57	1540.37	1457.23	1388.16	1896.65	1225.22	1639.59	1111.82	995.0	2976.74	2777.33	2875.3	3303.0	1936.53	1844.76	4038.61	2520.38	2319.15	2119.22	3614.55	2701.35	2645.74	2758.13	2875.3	1977.24	1977.24	2032.85	2855.44	2627.46	3168.41	2591.27	2997.45	3257.52	2855.44	2004.85	3467.27	3665.02	2796.65	2915.45	2701.35	2400.97	2119.22	2193.99	3018.3
TMEM178B	48.52	55.49	52.08	69.03	7.28	21.78	5.54	92.7	84.04	135.24	68.55	116.78	36.79	29.06	16.27	63.89	397.93	318.57	629.35	447.82	31.0	34.75	358.54	409.15	297.17	185.11	575.03	500.46	525.39	277.2	157.68	142.01	128.79	423.61	547.75	232.94	460.44	638.15	89.51	316.37	154.42	211.31	376.41	273.37	107.38	902.89	89.51	500.46	201.25	57.08	291.04
TMEM50B	1572.76	1617.0	1757.34	1936.53	1417.35	1167.14	2061.24	2303.12	1709.26	2148.82	2271.4	3235.01	1819.35	1487.87	1175.27	1883.54	4481.23	2645.74	3742.05	3690.52	2018.8	2434.5	6207.38	7966.99	3190.46	3303.0	6607.01	2935.74	3325.99	3124.78	2255.7	2193.99	2468.49	4639.29	4736.79	3443.31	4607.24	3874.05	5633.22	4869.99	3540.14	2591.27	3325.99	8363.13	4298.64	3614.55	2835.7	3491.39	3325.99	3614.55	4328.55
TPMT	1183.45	1143.1	1143.1	1286.18	1268.46	902.89	1242.34	1639.59	1407.55	872.1	1745.2	2104.58	1066.48	1037.29	884.29	738.29	2400.97	3280.18	2855.44	3060.45	1662.49	1304.15	3614.55	3419.52	1794.29	1628.26	2935.74	2835.7	1674.06	1909.85	1794.29	1277.29	1572.76	2148.82	2287.2	1844.76	3081.75	2287.2	3716.2	5006.93	1674.06	1388.16	1757.34	2739.08	2915.45	4239.45	2148.82	2384.37	2367.9	1073.91	1991.0
