	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A2.A0D4.01A.11R.A00Z.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A146.01A.31R.A115.07	TCGA.EW.A1PF.01A.11R.A144.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.GM.A2DM.01A.11R.A180.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.AN.A041.01A.11R.A034.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.BR.A4IZ.01A.32R.A251.31
BACH2	11.64	14.35	2.16	3.44	47.17	31.45	8.92	24.46	22.92	4.58	47.84	5.59	1.03	34.26	3.86	26.28	31.0	12.18	12.55	1.33	1.35	11.91	4.31	4.58	60.82	51.35	101.54
BGN	4123.49	2997.45	3491.39	5292.48	62865.33	10440.2	7537.18	13776.25	12589.08	1447.15	36357.37	2997.45	6471.02	9215.48	3515.68	17078.76	18950.18	17197.56	3303.0	753.83	3235.01	25530.66	4543.8	2133.97	37901.36	775.05	44145.15
BHMT2	28.86	19.53	10.88	26.28	127.89	31.67	27.25	92.7	81.14	6.67	212.78	23.08	6.16	56.28	25.35	108.9	84.63	100.13	8.65	1.77	11.04	52.45	25.72	3.38	231.32	31.9	43.63
BNC2	21.47	18.84	9.78	12.36	267.73	51.35	46.5	71.0	107.38	3.59	185.11	24.46	6.16	85.22	19.68	92.7	114.36	45.85	14.14	1.13	8.45	74.58	30.34	5.19	211.31	25.91	423.61
BOC	177.53	108.14	43.32	94.01	529.06	395.18	143.01	329.84	209.84	18.56	1044.52	106.63	38.4	293.07	59.55	305.55	348.71	109.66	24.28	46.5	26.47	130.6	88.88	51.35	514.56	1015.93	4239.45
C3orf36	21.01	4.06	5.36	4.1	10.31	18.56	26.86	21.78	11.82	0.33	26.47	5.73	29.7	12.0	9.2	14.56	26.1	12.93	5.96	0.34	1.33	12.0	13.83	1.08	23.25	1.53	44.57
C3orf80	42.11	18.56	26.1	32.82	157.68	56.68	48.87	128.79	102.25	10.96	108.9	31.67	18.84	70.51	43.94	153.34	104.42	138.1	15.68	5.32	55.49	180.02	62.56	21.01	271.48	7.94	297.17
CALD1	878.17	836.53	872.1	884.29	11745.96	2520.38	1896.65	4419.52	4575.41	1111.82	4481.23	1151.06	764.36	1950.0	1088.92	4512.4	4937.99	3639.7	780.44	178.77	529.06	6250.56	1313.23	698.41	7695.57	2004.85	11504.21
CARD6	32.59	26.47	35.76	27.44	217.27	96.68	57.89	75.11	73.03	13.42	180.02	29.27	35.76	88.88	29.48	81.71	104.42	69.52	31.67	13.72	21.78	63.0	58.3	8.13	185.11	48.52	199.85
CAV2	162.14	197.09	206.94	251.48	1151.06	532.74	264.03	785.88	346.29	120.1	961.07	194.36	291.04	381.68	183.82	764.36	447.82	536.45	183.82	59.97	96.01	397.93	195.72	156.59	1277.29	1498.22	2047.0
CCDC36	6.01	5.06	3.59	3.17	43.94	27.05	6.57	9.48	8.85	1.6	12.93	2.2	3.69	12.18	4.94	13.93	15.8	5.92	1.46	0.72	0.73	9.56	3.66	2.89	31.0	9.2	18.29
CCDC80	1199.98	289.02	285.03	503.95	17078.76	2104.58	1051.79	2148.82	2935.74	105.15	11584.24	1159.07	361.04	2119.22	497.0	2335.28	2400.97	1794.29	684.02	42.41	172.65	1572.76	995.0	194.36	7382.04	1242.34	13123.73
CD93	356.05	262.2	447.82	358.54	1225.22	698.41	633.73	802.41	426.57	249.73	2209.26	400.71	406.31	813.63	314.17	708.18	961.07	698.41	371.22	151.22	325.29	915.51	595.34	109.66	1583.71	454.09	1199.98
CDH13	127.0	41.81	113.56	159.9	406.31	255.0	205.5	507.46	236.21	102.97	563.18	74.58	191.67	122.64	117.6	217.27	303.44	351.14	117.6	97.36	128.79	279.14	193.01	117.6	551.56	94.01	497.0
CHST3	54.72	32.82	19.82	40.93	214.27	61.68	54.33	193.01	152.28	13.52	178.77	29.06	35.5	78.34	22.1	190.34	151.22	70.01	27.05	6.46	17.0	120.1	38.12	34.26	137.14	114.36	358.54
COL15A1	346.29	379.04	571.05	764.36	2319.15	1151.06	1066.48	1685.71	447.82	173.85	2796.65	503.95	325.29	928.3	366.09	1259.69	1457.23	1331.57	316.37	77.79	195.72	1745.2	854.13	120.94	2855.44	1088.92	2485.67
COL18A1	836.53	571.05	872.1	728.11	2956.17	1883.54	1350.18	2855.44	1313.23	669.92	3639.7	384.34	1733.13	1037.29	325.29	2627.46	3081.75	1757.34	511.0	262.2	665.29	3325.99	780.44	532.74	3060.45	490.14	7433.4
CPB1	1578364.61	482442.34	1155430.26	585779.24	20.41	209994.66	906531.99	397335.0	1715263.94	542775.98	149.12	1055868.42	1116072.03	520665.48	672883.8	288856.81	614902.29	978355.0	1163466.92	1026995.62	383800.28	1535204.12	1108362.75	1264380.15	134.3	2.291835145E7	214.27
DCLK2	20.56	19.82	20.71	19.11	187.71	49.21	37.32	56.68	52.08	16.15	77.79	20.26	21.78	48.87	18.29	76.71	58.3	43.32	10.55	2.84	11.21	77.25	22.1	10.71	100.83	59.55	98.04
DDR2	76.71	84.04	39.5	57.89	825.0	237.86	189.02	295.11	287.01	42.11	603.67	86.43	39.5	264.03	115.16	400.71	403.5	234.57	30.56	8.32	44.57	371.22	118.43	32.36	441.64	214.27	872.1
DIO2	108.9	96.01	15.45	62.12	660.68	205.5	164.42	285.03	409.15	8.32	409.15	80.01	12.27	122.64	70.51	172.65	441.64	76.17	7.17	1.22	11.91	258.57	138.1	13.52	265.87	189.02	239.52
DKK3	775.05	363.56	591.22	366.09	4358.66	1088.92	1008.9	2720.15	1709.26	293.07	2148.82	301.33	493.56	629.35	460.44	2537.92	1208.34	2417.67	409.15	139.07	206.94	2915.45	567.1	656.11	2935.74	2451.44	2119.22
DPT	406.31	173.85	43.63	80.01	3614.55	941.27	249.73	258.57	177.53	23.08	3955.48	204.07	166.73	915.51	260.38	775.05	684.02	438.59	69.52	12.0	25.17	172.65	229.72	10.63	2816.11	183.82	656.11
DSG1	4.35	0.56	0.0	0.8	9.7	4.86	1.27	2.78	0.68	1.06	3.38	0.59	0.0	7.82	0.27	12.27	13.93	8.06	0.0	0.0	0.0	0.96	0.28	1.23	0.67	114.36	1.57
EBF1	35.76	42.11	42.71	55.89	258.57	154.42	94.67	108.9	73.03	34.02	329.84	32.36	35.5	95.34	37.85	103.69	131.51	133.36	18.7	7.51	25.17	76.71	63.89	20.41	303.44	144.01	307.69
EBF3	14.03	24.46	25.54	29.06	69.03	106.63	38.67	47.84	32.13	12.0	221.86	16.88	14.78	52.45	24.46	53.95	53.57	35.25	10.47	2.68	6.62	17.25	26.67	5.06	202.66	83.45	127.0
EGFR	32.36	64.34	8.51	25.72	346.29	120.94	43.32	163.28	60.39	27.44	197.09	35.25	8.58	120.94	28.86	111.99	151.22	52.08	9.06	2.16	6.89	101.54	21.94	50.98	133.36	156.59	629.35
EGR2	46.84	80.01	42.71	125.24	273.37	387.02	69.52	206.94	67.12	45.21	954.43	93.35	18.29	194.36	45.53	373.81	540.19	147.06	98.04	4.17	17.0	80.57	53.57	35.0	1175.27	2367.9	836.53
ELFN1	12.18	15.91	24.46	9.78	44.57	31.45	39.5	30.56	15.11	8.13	44.57	4.31	39.5	22.59	9.63	29.91	38.67	20.11	7.46	5.23	10.31	25.17	17.51	7.57	59.97	11.21	301.33
ENTPD1	323.03	242.88	343.89	205.5	1561.89	665.29	500.46	595.34	497.0	92.05	1498.22	234.57	269.6	802.41	248.0	480.04	854.13	435.55	234.57	134.3	189.02	665.29	450.94	125.24	1191.69	450.94	540.19
EPHA2	48.87	25.91	77.25	74.58	234.57	140.04	70.01	114.36	37.05	31.45	223.41	73.54	77.79	69.03	36.27	102.25	128.79	88.26	62.56	19.82	38.4	106.63	72.52	25.54	218.79	293.07	679.29
ETS1	281.09	525.39	332.14	412.0	1794.29	1427.22	769.69	1066.48	511.0	264.03	2018.8	426.57	381.68	1030.12	325.29	890.44	1208.34	775.05	231.32	108.9	234.57	988.12	575.03	132.44	2287.2	476.71	1397.83
EVA1A	85.82	45.21	32.13	67.12	332.14	85.82	42.11	206.94	185.11	22.1	187.71	49.21	55.89	119.26	26.28	190.34	195.72	130.6	55.89	10.71	60.39	170.25	43.02	50.63	316.37	145.02	318.57
F2R	303.44	866.07	228.13	603.67	2209.26	1088.92	1191.69	1359.57	759.08	173.85	1662.49	450.94	244.57	1417.35	287.01	1044.52	1397.83	1216.75	152.28	88.88	178.77	1340.84	339.14	124.37	2609.3	483.38	1119.56
FAM49A	35.0	35.0	35.5	54.72	351.14	105.89	80.01	138.1	98.04	27.44	208.38	53.57	35.25	172.65	37.59	113.56	116.78	96.68	31.9	14.78	31.67	118.43	56.68	14.78	224.97	118.43	262.2
FAT4	16.03	11.13	6.31	8.85	118.43	38.67	29.06	48.87	30.78	4.9	79.45	18.84	4.62	42.11	12.64	41.22	62.56	25.35	4.54	1.04	5.87	35.76	13.72	1.83	58.71	28.65	100.83
FBLN2	571.05	218.79	173.85	194.36	3768.09	1135.2	406.31	1199.98	830.75	40.07	4010.71	229.72	183.82	860.08	248.0	2133.97	1832.01	1183.45	94.01	22.26	90.77	1359.57	397.93	46.18	4152.18	297.17	2997.45
FGD5	115.97	66.18	98.73	101.54	277.2	208.38	138.1	204.07	108.14	55.49	571.05	90.77	120.1	190.34	76.17	228.13	249.73	144.01	72.01	50.63	82.87	204.07	199.85	27.05	483.38	108.14	301.33
FGF1	146.03	37.32	76.17	39.22	351.14	115.97	287.01	395.18	260.38	26.28	253.23	66.18	34.51	145.02	53.57	348.71	295.11	150.17	50.27	21.94	17.25	236.21	56.28	63.89	287.01	1883.54	738.29
FLNC	41.22	12.18	7.75	8.92	110.43	45.85	31.22	51.71	44.89	3.11	255.0	31.0	8.45	31.9	8.32	46.18	88.26	26.67	22.43	1.03	5.54	51.35	13.42	2.86	103.69	50.98	1662.49
FSCN1	361.04	208.38	616.37	463.65	1397.83	703.28	567.1	802.41	543.96	251.48	1594.73	183.82	974.5	819.3	178.77	896.64	1066.48	551.56	607.87	147.06	325.29	791.35	486.75	172.65	1806.78	228.13	3614.55
FXYD6	289.02	127.89	198.47	353.59	1540.37	599.49	346.29	684.02	256.78	208.38	1175.27	161.02	277.2	379.04	120.94	470.14	567.1	412.0	85.82	55.49	167.9	497.0	221.86	98.73	934.76	791.35	733.19
FYN	248.0	287.01	255.0	314.17	1467.37	866.07	432.53	518.15	366.09	134.3	1119.56	193.01	334.46	718.08	236.21	638.15	703.28	521.76	163.28	107.38	150.17	599.49	323.03	152.28	1651.0	305.55	1950.0
GFOD1	49.21	22.75	33.54	68.55	94.01	62.12	95.34	81.14	65.26	37.05	46.5	49.91	32.82	92.05	39.5	72.01	77.79	38.95	23.76	18.16	26.47	59.55	37.59	40.93	71.0	58.71	96.01
GLI2	9.56	14.67	5.06	11.21	80.01	29.27	14.56	32.36	46.84	1.62	87.65	6.78	3.06	46.84	13.62	31.9	52.45	21.78	2.18	0.72	4.03	29.27	6.94	3.63	75.64	48.87	775.05
GLIPR2	271.48	137.14	120.94	190.34	1225.22	547.75	265.87	444.72	665.29	52.82	934.76	253.23	232.94	412.0	94.01	693.58	599.49	575.03	187.71	52.08	90.77	684.02	255.0	60.82	1417.35	92.7	934.76
GOLIM4	320.8	211.31	246.28	161.02	988.12	669.92	435.55	486.75	890.44	209.84	848.22	204.07	237.86	379.04	285.03	718.08	764.36	473.41	281.09	164.42	460.44	802.41	318.57	204.07	1066.48	295.11	854.13
GPR124	122.64	134.3	115.16	152.28	967.76	432.53	312.0	291.04	212.78	75.11	902.89	105.15	186.4	279.14	100.13	353.59	435.55	199.85	74.06	41.52	96.68	400.71	138.1	43.32	587.13	490.14	1857.6
GPR85	20.26	6.94	29.7	14.35	70.01	31.22	29.06	34.02	24.81	13.32	74.58	14.35	18.56	35.5	5.59	36.01	24.63	39.79	17.13	10.0	12.36	42.11	11.55	9.7	66.65	23.93	108.14
HAND2	15.45	7.51	10.88	15.68	150.17	19.82	13.72	21.47	32.36	0.78	70.01	4.62	1.87	21.94	7.46	43.32	32.82	18.03	12.45	3.2	3.92	35.25	6.94	8.99	69.03	44.25	447.82
HAPLN3	86.43	51.35	51.71	45.21	351.14	244.57	109.66	211.31	111.99	20.41	389.72	55.89	84.04	217.27	34.26	299.25	267.73	234.57	57.89	9.93	23.76	218.79	84.04	28.24	543.96	629.35	409.15
HEG1	224.97	197.09	155.5	113.56	1936.53	536.45	579.04	802.41	620.67	116.78	1388.16	305.55	133.36	713.11	231.32	878.17	1001.93	521.76	180.02	53.95	123.5	656.11	435.55	66.18	1119.56	287.01	1857.6
HIC1	82.29	65.72	44.25	82.87	356.05	167.9	100.13	122.64	105.15	38.95	327.56	18.84	66.65	159.9	48.52	132.44	199.85	81.71	41.52	7.06	30.56	90.14	46.18	33.06	237.86	94.67	1378.57
HSPB2	35.76	22.26	28.04	48.52	202.66	78.89	37.32	131.51	43.02	11.3	295.11	13.72	64.34	47.5	27.44	111.21	85.82	102.97	25.91	8.32	9.78	81.14	31.9	24.46	158.79	100.83	343.89
HSPG2	1242.34	796.86	1199.98	1233.75	4298.64	2485.67	1923.14	2224.63	1769.57	547.75	6792.79	780.44	2075.59	1350.18	738.29	2335.28	3901.01	1923.14	1088.92	400.71	819.3	3018.3	1250.98	679.29	6607.01	884.29	8963.45
IGFBP7	6164.49	4481.23	7130.55	5633.22	22225.61	10959.3	7485.11	14765.09	8191.0	3716.2	23330.64	4671.57	9540.5	7433.4	4512.4	12943.04	11345.82	13681.08	3103.19	2537.92	2796.65	15075.35	5872.48	2915.45	30151.71	5076.84	44145.15
IQCJ-SCHIP1	89.51	33.06	124.37	103.69	283.05	163.28	100.83	242.88	150.17	36.01	217.27	66.18	86.43	105.15	102.25	180.02	206.94	151.22	99.43	27.84	34.51	181.28	133.36	85.22	336.79	441.64	435.55
ISLR	1088.92	733.19	473.41	808.0	6250.56	1963.57	1304.15	2451.44	1721.16	150.17	7180.15	376.41	490.14	1529.73	356.05	3060.45	3690.52	2555.58	579.04	67.59	417.77	3190.46	748.61	358.54	7081.29	2255.7	6745.86
ISM1	61.25	41.22	42.71	19.82	988.12	159.9	92.05	217.27	55.1	4.13	435.55	48.18	22.92	82.87	43.63	209.84	187.71	78.89	16.03	4.35	10.24	107.38	65.26	19.82	241.19	457.25	339.14
ITGA1	94.01	144.01	204.07	236.21	1467.37	351.14	551.56	497.0	334.46	215.77	532.74	157.68	134.3	297.17	190.34	412.0	674.59	490.14	96.01	98.04	131.51	688.78	234.57	72.01	595.34	297.17	796.86
ITPRIP	82.87	112.77	161.02	118.43	775.05	241.19	105.89	336.79	151.22	68.55	1008.9	118.43	117.6	205.5	72.52	289.02	417.77	226.54	169.07	68.07	68.07	237.86	120.94	59.97	743.43	336.79	638.15
KANK2	1127.35	647.07	612.11	785.88	3303.0	1250.98	1250.98	995.0	1225.22	785.88	2816.11	860.08	567.1	921.88	703.28	1407.55	1508.65	884.29	693.58	218.79	493.56	1617.0	642.59	356.05	2224.63	591.22	3235.01
KIAA1462	201.25	104.42	169.07	285.03	974.5	420.68	295.11	438.59	409.15	106.63	764.36	108.9	195.72	309.83	145.02	450.94	521.76	336.79	126.12	40.07	116.78	532.74	223.41	69.03	954.43	137.14	890.44
KIAA1755	38.4	58.71	4.82	43.94	234.57	115.16	43.94	167.9	84.63	1.99	277.2	30.56	25.54	127.0	30.12	106.63	182.55	63.0	11.04	1.08	11.73	134.3	38.4	13.03	237.86	231.32	114.36
KIFC3	133.36	60.39	88.88	123.5	351.14	217.27	162.14	224.97	178.77	62.12	341.51	69.03	153.34	194.36	96.68	277.2	346.29	156.59	132.44	34.75	57.49	260.38	131.51	56.28	423.61	314.17	872.1
KIRREL	104.42	93.35	70.01	114.36	941.27	260.38	334.46	543.96	454.09	59.97	718.08	101.54	125.24	327.56	124.37	500.46	454.09	211.31	73.03	21.63	68.55	521.76	182.55	67.59	432.53	305.55	1498.22
KLHL4	4.13	1.48	0.92	2.51	15.45	12.64	9.34	6.41	5.87	1.35	25.91	3.53	2.36	8.51	2.51	7.57	12.64	12.45	4.1	0.0	1.73	13.52	5.23	0.92	23.76	5.87	327.56
LAMA2	120.1	166.73	10.39	101.54	579.04	287.01	116.78	205.5	209.84	13.22	785.88	89.51	9.63	265.87	80.01	234.57	295.11	115.97	12.36	3.63	29.7	234.57	63.89	5.87	336.79	77.25	579.04
LAMA4	283.05	206.94	423.61	466.88	2915.45	808.0	728.11	791.35	890.44	267.73	1709.26	229.72	466.88	559.28	318.57	1199.98	1225.22	954.43	232.94	162.14	301.33	1313.23	454.09	138.1	2178.83	612.11	3280.18
LAMB1	743.43	723.08	1023.0	1225.22	6426.31	1639.59	1259.69	2335.28	2451.44	414.87	4095.0	669.92	1088.92	1407.55	688.78	2956.17	2976.74	1936.53	669.92	177.53	563.18	3168.41	974.5	438.59	6561.36	463.65	6561.36
LAMC1	587.13	775.05	392.44	884.29	3081.75	995.0	1304.15	1295.13	954.43	336.79	2835.7	361.04	733.19	775.05	500.46	1037.29	1437.15	1030.12	693.58	470.14	429.54	1896.65	2777.33	698.41	2915.45	647.07	3146.52
LAMP5	283.05	71.0	56.68	123.5	1286.18	417.77	228.13	638.15	669.92	28.24	825.0	120.1	46.84	497.0	166.73	802.41	708.18	728.11	3.79	5.06	90.77	947.83	102.97	43.32	629.35	89.51	435.55
LGI2	14.03	14.56	5.11	4.46	68.55	15.34	25.91	26.47	9.2	3.26	39.5	17.77	5.36	34.51	6.36	29.7	30.34	28.24	9.27	2.48	7.46	15.34	22.1	3.41	70.01	26.47	291.04
LHFP	334.46	289.02	356.05	358.54	2104.58	1167.14	587.13	921.88	457.25	275.28	2502.97	314.17	480.04	743.43	325.29	860.08	934.76	620.67	158.79	70.01	187.71	688.78	473.41	186.4	2434.5	954.43	2209.26
LIMS1	305.55	638.15	361.04	334.46	1216.75	567.1	651.58	878.17	748.61	332.14	974.5	612.11	262.2	854.13	518.15	854.13	1250.98	708.18	698.41	267.73	435.55	995.0	759.08	273.37	1295.13	995.0	1268.46
LIMS2	287.01	170.25	133.36	199.85	1277.29	444.72	191.67	470.14	327.56	37.59	1208.34	77.79	303.44	258.57	130.6	460.44	429.54	423.61	169.07	58.71	75.64	463.65	128.79	96.68	698.41	551.56	728.11
LIX1L	108.9	83.45	88.26	88.88	612.11	226.54	132.44	234.57	182.55	40.36	429.54	74.06	114.36	237.86	57.89	256.78	221.86	183.82	78.34	26.86	82.87	273.37	96.68	101.54	638.15	130.6	934.76
LPAR4	5.82	5.87	11.38	10.88	36.01	20.11	7.06	10.96	12.55	6.89	18.97	1.73	5.45	9.06	4.78	22.26	18.03	12.45	1.36	2.2	3.2	15.45	7.0	0.0	26.86	17.64	275.28
LPHN2	147.06	106.63	123.5	165.57	1008.9	339.14	1857.6	381.68	265.87	100.83	743.43	106.63	115.16	291.04	265.87	299.25	353.59	336.79	64.8	46.5	80.01	299.25	164.42	77.25	728.11	373.81	1023.0
LRIG3	54.72	39.5	59.97	49.21	733.19	166.73	162.14	228.13	226.54	73.54	361.04	36.79	17.64	101.54	36.01	197.09	204.07	103.69	64.8	40.07	100.83	190.34	38.67	35.25	356.05	902.89	748.61
LRRC32	339.14	237.86	267.73	412.0	2976.74	866.07	583.07	1037.29	748.61	138.1	2417.67	356.05	476.71	1088.92	267.73	825.0	1457.23	1059.11	170.25	48.52	173.85	941.27	260.38	135.24	2816.11	279.14	2935.74
LZTS1	45.85	40.36	44.57	70.01	231.32	99.43	78.34	146.03	86.43	35.5	277.2	38.12	55.89	127.89	38.4	142.01	186.4	122.64	39.22	15.56	26.47	173.85	67.12	25.91	285.03	176.29	305.55
MAML2	28.04	84.63	29.48	35.76	244.57	132.44	65.26	142.01	78.89	19.11	185.11	30.56	21.47	123.5	26.86	103.69	135.24	76.17	31.45	9.13	16.88	75.11	47.84	14.89	183.82	647.07	277.2
MAP7D3	38.12	37.59	38.95	29.48	158.79	67.59	42.41	94.01	59.97	13.03	159.9	26.1	32.13	72.52	34.26	82.87	81.14	78.34	41.81	19.39	9.06	64.34	40.64	23.76	220.32	53.57	329.84
MCU	170.25	258.57	267.73	229.72	748.61	305.55	264.03	480.04	363.56	228.13	366.09	190.34	106.63	236.21	152.28	368.65	371.22	450.94	161.02	144.01	172.65	379.04	152.28	155.5	624.99	264.03	819.3
MEIS2	42.41	40.64	61.68	32.82	389.72	111.99	53.95	113.56	121.79	32.59	221.86	28.04	13.93	85.82	41.52	116.78	115.97	70.01	27.64	22.43	23.08	72.52	44.57	14.67	139.07	287.01	738.29
MFGE8	1066.48	842.36	612.11	909.17	6121.9	1977.24	928.3	2935.74	1883.54	473.41	4704.07	607.87	1151.06	1259.69	507.46	3081.75	2875.3	2875.3	599.49	242.88	444.72	4575.41	813.63	587.13	4388.98	2018.8	2720.15
MGC4294	8.19	2.29	3.11	2.43	52.82	12.36	7.75	45.21	48.18	0.0	38.67	2.76	10.24	28.04	8.85	31.67	50.98	25.17	2.39	0.0	2.23	46.5	2.12	6.52	61.25	16.63	22.1
MMP28	78.34	38.67	100.83	69.03	130.6	91.41	108.9	149.12	170.25	24.63	420.68	20.26	71.5	82.29	52.82	195.72	256.78	191.67	27.25	67.59	17.77	226.54	50.27	31.22	395.18	102.97	414.87
MRVI1	66.18	27.44	64.34	38.95	1008.9	146.03	124.37	237.86	158.79	30.56	303.44	50.27	85.22	136.19	62.56	218.79	170.25	180.02	35.76	12.45	28.86	299.25	81.71	36.27	332.14	181.28	287.01
MSC	55.1	29.91	22.26	38.67	406.31	137.14	76.17	145.02	105.89	5.92	244.57	55.49	94.01	151.22	33.3	175.07	212.78	170.25	49.21	3.92	13.72	157.68	75.11	13.42	620.67	29.48	555.41
NFE2L3	57.89	121.79	121.79	59.13	181.28	256.78	85.22	283.05	244.57	76.17	162.14	209.84	69.03	258.57	173.85	323.03	253.23	181.28	176.29	41.22	102.25	679.29	244.57	165.57	379.04	116.78	583.07
NID1	281.09	293.07	403.5	620.67	4328.55	934.76	860.08	1268.46	1259.69	392.44	2240.11	325.29	341.51	665.29	255.0	1127.35	1781.89	1242.34	220.32	155.5	423.61	2400.97	476.71	191.67	2720.15	277.2	2303.12
NOTCH1	117.6	100.83	67.12	71.5	175.07	208.38	189.02	199.85	116.78	78.34	285.03	59.55	93.35	173.85	64.34	205.5	287.01	100.13	77.79	27.64	88.88	157.68	101.54	72.52	231.32	205.5	665.29
NPR2	151.22	43.02	88.88	92.05	444.72	157.68	80.57	150.17	154.42	30.12	307.69	47.17	223.41	144.01	96.01	183.82	144.01	111.21	51.35	21.32	38.12	148.09	55.1	206.94	316.37	155.5	575.03
