	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CV.7101.01A.11R.2016.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CR.7370.01A.11R.2132.07	TCGA.CQ.5323.01A.01R.1686.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.5435.01A.01R.1686.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.6962.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7177.01A.11R.2016.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.63.5128.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.85.7696.01A.11R.2125.07	TCGA.56.7582.01A.11R.2045.07
SNX27	95.34	104.42	97.36	159.9	108.9	353.59	511.0	329.84	368.65	412.0	303.44	204.07	327.56	98.04	107.38	134.3	130.6	101.54	177.53	129.69	334.46	215.77	131.51	120.94	116.78	100.83	194.36	329.84	140.04	368.65	199.85	173.85	128.79	167.9	111.21	176.29	110.43	215.77	301.33	142.01	152.28	277.2	187.71	356.05	128.79	163.28	260.38	154.42	137.14	133.36	293.07	146.03	295.11	144.01	124.37	201.25	105.89	423.61	59.13	583.07	293.07
SP3	218.79	409.15	693.58	525.39	536.45	1159.07	988.12	1313.23	819.3	796.86	1073.91	713.11	1175.27	316.37	371.22	633.73	435.55	642.59	320.8	493.56	1757.34	909.17	470.14	441.64	379.04	463.65	633.73	1709.26	447.82	1340.84	454.09	575.03	529.06	1104.13	329.84	738.29	441.64	684.02	1733.13	575.03	665.29	954.43	796.86	2664.15	620.67	384.34	1794.29	884.29	473.41	387.02	802.41	480.04	647.07	447.82	603.67	759.08	454.09	842.36	450.94	915.51	1572.76
SPECC1L	127.89	108.9	262.2	226.54	134.3	629.35	414.87	599.49	384.34	432.53	301.33	312.0	511.0	131.51	195.72	198.47	228.13	224.97	138.1	197.09	555.41	420.68	158.79	183.82	187.71	187.71	248.0	514.56	177.53	409.15	145.02	195.72	220.32	289.02	127.0	229.72	195.72	366.09	470.14	241.19	211.31	297.17	212.78	503.95	159.9	195.72	507.46	202.66	107.38	147.06	289.02	164.42	371.22	172.65	139.07	262.2	163.28	420.68	55.1	305.55	543.96
SPRTN	74.58	77.79	146.03	139.07	58.3	161.02	271.48	249.73	256.78	217.27	244.57	289.02	231.32	103.69	107.38	138.1	133.36	142.01	121.79	109.66	307.69	169.07	176.29	150.17	121.79	170.25	171.45	299.25	90.14	348.71	101.54	156.59	148.09	175.07	100.13	150.17	98.04	120.94	314.17	97.36	167.9	137.14	79.45	244.57	121.79	76.17	221.86	148.09	84.04	67.12	236.21	111.99	190.34	136.19	143.01	187.71	134.3	170.25	113.56	525.39	182.55
STXBP4	18.7	23.08	12.64	33.06	45.85	67.59	95.34	77.79	76.71	62.56	60.39	57.49	37.85	27.84	17.25	26.47	33.54	46.18	34.51	32.36	181.28	52.08	31.0	50.63	14.03	19.97	49.21	87.65	18.16	57.49	27.25	34.26	22.43	48.18	35.0	37.59	18.7	38.12	45.85	59.13	38.4	38.67	34.51	165.57	36.27	40.36	66.18	33.06	31.67	40.07	73.03	21.63	63.45	24.63	38.95	40.36	14.78	53.19	33.06	49.21	64.8
TAF1	111.99	112.77	195.72	178.77	122.64	327.56	312.0	423.61	267.73	341.51	356.05	127.0	460.44	136.19	108.14	152.28	253.23	151.22	161.02	191.67	432.53	312.0	217.27	190.34	147.06	133.36	267.73	285.03	134.3	409.15	99.43	159.9	140.04	253.23	85.22	232.94	141.02	246.28	341.51	206.94	251.48	341.51	181.28	819.3	159.9	156.59	249.73	189.02	153.34	152.28	291.04	117.6	295.11	169.07	299.25	264.03	119.26	633.73	26.67	409.15	395.18
TANC1	108.14	157.68	426.57	237.86	201.25	587.13	642.59	808.0	503.95	483.38	457.25	490.14	559.28	138.1	181.28	361.04	208.38	249.73	166.73	175.07	785.88	403.5	332.14	165.57	208.38	255.0	314.17	642.59	220.32	693.58	151.22	176.29	287.01	376.41	191.67	269.6	164.42	371.22	514.56	309.83	371.22	473.41	267.73	559.28	237.86	131.51	301.33	293.07	159.9	131.51	463.65	264.03	441.64	183.82	312.0	389.72	256.78	426.57	165.57	438.59	669.92
TMEM260	80.57	38.67	78.34	170.25	117.6	318.57	332.14	239.52	265.87	275.28	312.0	514.56	532.74	137.14	65.26	71.5	178.77	82.29	98.73	171.45	563.18	139.07	120.94	135.24	83.45	97.36	115.97	269.6	115.16	194.36	87.65	84.04	115.97	96.68	99.43	139.07	182.55	172.65	373.81	118.43	111.21	389.72	106.63	373.81	68.55	113.56	144.01	159.9	114.36	197.09	206.94	53.19	305.55	134.3	102.25	108.14	84.63	256.78	105.89	420.68	540.19
TTC28	31.67	10.16	3.35	43.63	18.29	97.36	53.57	107.38	131.51	100.13	176.29	79.45	267.73	5.68	12.36	31.45	19.25	6.57	12.09	34.51	363.56	115.16	13.83	8.58	12.0	12.93	80.01	244.57	16.75	193.01	4.82	14.67	15.34	25.54	11.73	52.82	7.82	146.03	159.9	12.64	51.35	162.14	11.91	145.02	17.64	15.56	105.89	13.93	10.08	10.39	124.37	42.41	116.78	8.78	7.46	60.39	5.87	167.9	3.89	135.24	249.73
UBXN4	480.04	651.58	1191.69	890.44	536.45	1477.58	1437.15	1639.59	1561.89	1529.73	1191.69	1498.22	1594.73	500.46	830.75	902.89	1081.39	878.17	796.86	813.63	2451.44	1233.75	1023.0	1096.5	1208.34	1044.52	825.0	1950.0	780.44	1594.73	595.34	915.51	947.83	1295.13	785.88	941.27	759.08	1233.75	1340.84	947.83	753.83	1477.58	878.17	2104.58	967.76	698.41	1857.6	1277.29	769.69	764.36	1757.34	866.07	1242.34	669.92	1001.93	1277.29	842.36	1487.87	728.11	1369.04	2434.5
