	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CV.7101.01A.11R.2016.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CR.7370.01A.11R.2132.07	TCGA.CQ.5323.01A.01R.1686.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.5435.01A.01R.1686.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.6962.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7177.01A.11R.2016.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.63.5128.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.85.7696.01A.11R.2125.07	TCGA.56.7582.01A.11R.2045.07
AHCTF1	343.89	242.88	164.42	343.89	189.02	612.11	738.29	796.86	500.46	785.88	638.15	314.17	748.61	361.04	214.27	285.03	470.14	426.57	361.04	346.29	693.58	607.87	366.09	258.57	214.27	466.88	303.44	785.88	366.09	1023.0	555.41	320.8	341.51	490.14	397.93	409.15	265.87	514.56	660.68	220.32	368.65	567.1	329.84	802.41	351.14	314.17	669.92	423.61	358.54	291.04	647.07	262.2	591.22	460.44	318.57	397.93	334.46	620.67	116.78	1088.92	802.41
ANGEL2	143.01	166.73	170.25	217.27	118.43	336.79	450.94	633.73	473.41	514.56	297.17	363.56	444.72	122.64	152.28	134.3	226.54	191.67	145.02	206.94	454.09	249.73	177.53	169.07	108.14	159.9	234.57	417.77	171.45	486.75	199.85	185.11	182.55	277.2	111.99	253.23	153.34	223.41	381.68	100.83	189.02	172.65	253.23	463.65	144.01	182.55	271.48	221.86	146.03	154.42	334.46	100.13	299.25	190.34	152.28	209.84	135.24	493.56	152.28	1037.29	500.46
ARID4B	96.01	147.06	193.01	156.59	89.51	271.48	381.68	414.87	303.44	429.54	314.17	220.32	447.82	146.03	117.6	158.79	193.01	201.25	120.1	165.57	457.25	297.17	223.41	153.34	242.88	220.32	150.17	387.02	169.07	486.75	162.14	260.38	181.28	197.09	128.79	283.05	167.9	325.29	381.68	138.1	208.38	318.57	181.28	624.99	183.82	123.5	264.03	264.03	115.97	85.82	297.17	170.25	202.66	170.25	182.55	301.33	135.24	275.28	63.89	642.59	480.04
ARNT	153.34	223.41	279.14	397.93	242.88	571.05	665.29	595.34	395.18	536.45	389.72	341.51	514.56	178.77	165.57	309.83	223.41	318.57	256.78	226.54	878.17	384.34	327.56	223.41	241.19	191.67	518.15	368.65	239.52	490.14	234.57	414.87	249.73	397.93	171.45	348.71	156.59	555.41	579.04	217.27	497.0	429.54	287.01	518.15	271.48	249.73	460.44	353.59	205.5	165.57	397.93	325.29	483.38	305.55	287.01	429.54	256.78	629.35	148.09	934.76	493.56
ASH1L	40.07	67.12	152.28	155.5	66.18	392.44	373.81	529.06	205.5	514.56	314.17	145.02	409.15	96.68	61.25	149.12	169.07	169.07	92.7	130.6	351.14	287.01	208.38	113.56	143.01	149.12	164.42	323.03	120.1	341.51	86.43	194.36	142.01	175.07	67.59	177.53	66.18	244.57	281.09	114.36	220.32	285.03	183.82	669.92	130.6	83.45	231.32	155.5	98.04	68.55	221.86	151.22	297.17	133.36	139.07	253.23	98.04	353.59	16.03	759.08	376.41
B3GALNT2	88.88	100.83	246.28	221.86	57.08	346.29	412.0	511.0	248.0	309.83	353.59	368.65	514.56	131.51	117.6	242.88	186.4	295.11	112.77	190.34	518.15	303.44	275.28	172.65	161.02	209.84	379.04	543.96	181.28	579.04	158.79	291.04	242.88	283.05	177.53	256.78	98.04	332.14	575.03	118.43	285.03	503.95	287.01	429.54	197.09	141.02	423.61	277.2	158.79	156.59	514.56	151.22	555.41	187.71	167.9	289.02	148.09	483.38	77.79	314.17	486.75
BAZ2B	43.02	82.29	151.22	155.5	61.68	341.51	395.18	642.59	253.23	336.79	395.18	187.71	579.04	78.89	77.79	157.68	96.68	154.42	73.54	113.56	703.28	287.01	190.34	154.42	186.4	119.26	181.28	376.41	144.01	514.56	69.03	299.25	177.53	387.02	94.67	232.94	142.01	381.68	358.54	194.36	242.88	327.56	180.02	909.17	118.43	100.83	232.94	189.02	69.03	88.26	228.13	224.97	208.38	119.26	154.42	384.34	114.36	204.07	40.07	329.84	463.65
BCL6	153.34	423.61	403.5	872.1	432.53	2104.58	1745.2	2434.5	2816.11	2777.33	2004.85	791.35	3467.27	371.22	265.87	693.58	866.07	500.46	366.09	890.44	2303.12	1498.22	1151.06	529.06	669.92	669.92	638.15	2319.15	353.59	1059.11	285.03	656.11	476.71	406.31	305.55	460.44	323.03	769.69	1322.37	660.68	616.37	1340.84	921.88	1963.57	540.19	285.03	1909.85	480.04	470.14	269.6	928.3	830.75	1051.79	356.05	579.04	848.22	450.94	1397.83	167.9	1628.26	2555.58
BCL9	38.67	44.89	49.91	96.68	49.56	291.04	232.94	403.5	255.0	299.25	253.23	114.36	329.84	60.82	46.18	83.45	80.01	116.78	50.63	80.01	267.73	164.42	112.77	56.68	50.63	94.67	217.27	175.07	55.49	201.25	71.5	122.64	88.88	144.01	50.63	132.44	66.18	182.55	279.14	85.82	125.24	212.78	73.03	332.14	105.15	127.0	293.07	74.06	75.64	71.5	134.3	105.15	181.28	102.97	135.24	191.67	49.56	297.17	15.45	397.93	262.2
BPTF	275.28	353.59	521.76	647.07	312.0	603.67	753.83	1175.27	748.61	941.27	775.05	480.04	961.07	532.74	309.83	511.0	743.43	595.34	500.46	490.14	921.88	688.78	612.11	703.28	460.44	547.75	536.45	890.44	420.68	688.78	507.46	547.75	587.13	638.15	356.05	836.53	447.82	743.43	603.67	688.78	703.28	688.78	454.09	2047.0	414.87	620.67	426.57	638.15	368.65	316.37	921.88	429.54	500.46	463.65	651.58	684.02	490.14	642.59	78.89	791.35	808.0
BROX	273.37	358.54	743.43	529.06	177.53	642.59	785.88	1135.2	503.95	753.83	656.11	688.78	603.67	269.6	307.69	441.64	384.34	400.71	327.56	332.14	866.07	575.03	480.04	473.41	379.04	368.65	575.03	540.19	277.2	674.59	346.29	521.76	397.93	490.14	258.57	540.19	264.03	476.71	830.75	316.37	463.65	379.04	567.1	981.29	332.14	293.07	507.46	363.56	212.78	305.55	571.05	392.44	808.0	444.72	361.04	563.18	389.72	575.03	224.97	1529.73	1111.82
C1orf198	164.42	218.79	381.68	217.27	129.69	995.0	2855.44	941.27	1015.93	872.1	563.18	511.0	738.29	206.94	275.28	547.75	392.44	373.81	376.41	507.46	813.63	363.56	473.41	463.65	540.19	241.19	733.19	728.11	267.73	1030.12	190.34	473.41	368.65	426.57	376.41	387.02	147.06	616.37	629.35	301.33	312.0	473.41	397.93	660.68	348.71	480.04	808.0	376.41	381.68	366.09	656.11	476.71	1037.29	332.14	363.56	476.71	507.46	718.08	99.43	647.07	693.58
CCNT2	42.41	98.73	149.12	165.57	107.38	379.04	450.94	651.58	363.56	420.68	204.07	301.33	366.09	185.11	104.42	140.04	204.07	239.52	127.0	165.57	583.07	255.0	211.31	175.07	214.27	228.13	249.73	305.55	149.12	348.71	118.43	195.72	228.13	327.56	123.5	189.02	138.1	223.41	384.34	180.02	194.36	281.09	123.5	563.18	198.47	98.04	341.51	209.84	142.01	116.78	329.84	136.19	140.04	143.01	258.57	226.54	138.1	273.37	119.26	348.71	460.44
CDC42SE1	1540.37	1030.12	2758.13	2319.15	1378.57	4095.0	3874.05	3168.41	2537.92	4937.99	2956.17	2956.17	2935.74	2047.0	1617.0	1806.78	2193.99	2591.27	2434.5	2018.8	3768.09	2758.13	2119.22	1313.23	2047.0	2163.77	2796.65	3372.43	2119.22	3212.66	1639.59	2537.92	2502.97	2835.7	1697.45	2976.74	1388.16	2739.08	2682.69	1662.49	2451.44	2555.58	2351.53	2816.11	2367.9	1909.85	3018.3	2555.58	1572.76	1819.35	3081.75	2004.85	3564.78	2384.37	2032.85	2935.74	2090.03	2573.36	1806.78	4736.79	3039.3
CEP350	104.42	187.71	134.3	239.52	111.21	275.28	237.86	305.55	135.24	283.05	381.68	182.55	395.18	140.04	159.9	195.72	195.72	224.97	158.79	162.14	353.59	297.17	206.94	162.14	218.79	172.65	198.47	305.55	150.17	353.59	154.42	180.02	169.07	231.32	140.04	229.72	115.97	299.25	318.57	166.73	279.14	204.07	190.34	595.34	171.45	113.56	237.86	234.57	132.44	88.26	258.57	177.53	271.48	136.19	143.01	307.69	139.07	341.51	40.07	529.06	366.09
CHD6	79.45	146.03	182.55	104.42	86.43	251.48	229.72	289.02	346.29	457.25	301.33	128.79	361.04	229.72	63.45	81.71	140.04	117.6	80.01	108.9	480.04	320.8	156.59	121.79	67.12	82.87	117.6	518.15	82.87	262.2	81.71	108.14	75.64	115.16	70.51	113.56	129.69	198.47	660.68	125.24	195.72	674.59	220.32	1096.5	133.36	81.71	525.39	135.24	198.47	109.66	718.08	120.94	400.71	76.71	125.24	231.32	48.52	339.14	114.36	363.56	480.04
CNST	82.87	71.0	273.37	57.89	56.68	271.48	329.84	287.01	351.14	759.08	262.2	104.42	511.0	81.71	84.63	109.66	118.43	80.57	82.29	114.36	283.05	164.42	141.02	118.43	131.51	90.77	175.07	490.14	79.45	273.37	133.36	119.26	108.9	159.9	80.57	113.56	84.63	226.54	332.14	92.05	129.69	447.82	155.5	348.71	126.12	109.66	223.41	133.36	79.45	63.45	309.83	81.14	234.57	81.71	129.69	256.78	111.21	214.27	73.54	379.04	387.02
CPSF7	463.65	507.46	733.19	1008.9	1037.29	2004.85	1757.34	2047.0	1605.83	2271.4	1059.11	902.89	967.76	1044.52	409.15	500.46	915.51	660.68	808.0	819.3	1467.37	1286.18	928.3	638.15	620.67	796.86	708.18	1295.13	665.29	1096.5	2520.38	759.08	651.58	785.88	320.8	836.53	665.29	848.22	909.17	708.18	934.76	1605.83	860.08	1487.87	693.58	607.87	866.07	764.36	988.12	603.67	934.76	595.34	808.0	791.35	878.17	1119.56	642.59	1304.15	275.28	1268.46	1143.1
CREBBP	122.64	204.07	126.12	287.01	151.22	403.5	532.74	921.88	387.02	775.05	540.19	162.14	974.5	209.84	134.3	229.72	295.11	289.02	232.94	323.03	890.44	642.59	339.14	206.94	191.67	220.32	480.04	656.11	241.19	607.87	239.52	329.84	241.19	343.89	167.9	351.14	175.07	497.0	575.03	373.81	457.25	660.68	417.77	764.36	244.57	258.57	392.44	253.23	218.79	208.38	363.56	199.85	447.82	287.01	314.17	490.14	173.85	400.71	68.07	624.99	532.74
DESI2	212.78	356.05	289.02	384.34	221.86	529.06	791.35	624.99	579.04	607.87	638.15	954.43	599.49	295.11	312.0	447.82	376.41	400.71	336.79	521.76	753.83	559.28	470.14	336.79	228.13	291.04	438.59	915.51	239.52	813.63	493.56	381.68	332.14	379.04	299.25	435.55	221.86	518.15	854.13	226.54	358.54	583.07	376.41	928.3	384.34	305.55	878.17	392.44	297.17	237.86	890.44	309.83	802.41	400.71	320.8	389.72	423.61	813.63	209.84	1295.13	884.29
DIEXF	76.17	171.45	84.63	110.43	54.33	144.01	167.9	232.94	170.25	148.09	154.42	138.1	152.28	68.07	71.5	55.1	90.14	85.22	64.34	109.66	177.53	132.44	92.7	64.34	31.67	82.87	103.69	141.02	69.52	198.47	97.36	65.72	76.71	83.45	59.97	90.14	71.5	90.14	182.55	42.11	90.14	133.36	92.7	169.07	87.03	98.04	127.89	78.34	68.55	82.29	157.68	55.89	147.06	114.36	78.89	87.03	67.12	205.5	31.9	476.71	197.09
DNAJC27	22.26	17.0	21.16	24.46	18.7	53.57	52.82	129.69	29.27	88.26	40.36	36.79	70.51	11.21	15.8	24.63	27.84	34.75	33.06	24.63	50.98	44.89	32.59	19.97	27.25	10.47	27.05	67.12	15.8	48.52	11.13	18.43	20.41	26.47	9.34	21.94	22.43	29.48	26.47	23.59	25.17	38.67	24.28	102.25	9.56	22.43	94.01	32.59	17.9	11.55	41.22	16.51	31.22	14.56	26.47	27.64	14.67	53.57	12.18	81.71	70.01
ELK4	105.15	195.72	309.83	177.53	97.36	403.5	323.03	633.73	229.72	555.41	318.57	157.68	395.18	115.97	118.43	141.02	158.79	139.07	118.43	152.28	420.68	358.54	164.42	123.5	119.26	173.85	164.42	599.49	106.63	361.04	172.65	159.9	121.79	187.71	109.66	197.09	106.63	258.57	275.28	125.24	173.85	285.03	173.85	967.76	150.17	118.43	281.09	162.14	96.68	104.42	277.2	134.3	265.87	152.28	129.69	236.21	100.83	218.79	36.53	651.58	332.14
EPC2	80.57	142.01	78.34	205.5	147.06	336.79	258.57	476.71	470.14	291.04	281.09	202.66	417.77	107.38	144.01	127.0	193.01	194.36	152.28	234.57	529.06	312.0	154.42	167.9	163.28	156.59	206.94	384.34	131.51	387.02	111.21	175.07	180.02	417.77	84.04	171.45	144.01	241.19	312.0	182.55	165.57	231.32	159.9	684.02	140.04	155.5	198.47	199.85	94.67	110.43	368.65	104.42	204.07	165.57	161.02	255.0	141.02	251.48	92.05	336.79	432.53
FAM20B	221.86	242.88	178.77	244.57	137.14	836.53	620.67	733.19	511.0	967.76	470.14	579.04	775.05	201.25	177.53	183.82	193.01	226.54	287.01	232.94	669.92	389.72	212.78	173.85	142.01	190.34	291.04	460.44	172.65	819.3	237.86	281.09	176.29	236.21	189.02	297.17	111.21	277.2	551.56	161.02	205.5	854.13	389.72	718.08	234.57	239.52	476.71	205.5	163.28	182.55	511.0	236.21	713.11	197.09	177.53	269.6	180.02	616.37	87.65	1225.22	842.36
FBXO21	193.01	183.82	273.37	217.27	201.25	395.18	307.69	423.61	341.51	358.54	373.81	271.48	693.58	164.42	193.01	260.38	301.33	269.6	211.31	156.59	543.96	438.59	255.0	251.48	148.09	205.5	392.44	514.56	223.41	624.99	197.09	226.54	220.32	291.04	231.32	277.2	182.55	273.37	441.64	269.6	293.07	368.65	314.17	808.0	237.86	323.03	356.05	237.86	172.65	208.38	713.11	241.19	463.65	273.37	356.05	307.69	204.07	429.54	134.3	325.29	616.37
FBXW8	71.0	47.17	57.49	81.14	65.72	103.69	122.64	164.42	139.07	98.04	172.65	79.45	271.48	66.18	57.49	95.34	81.71	76.17	85.82	72.01	112.77	98.04	69.03	62.12	38.12	68.55	183.82	147.06	80.01	176.29	67.59	48.87	77.79	113.56	90.14	100.83	62.12	107.38	215.77	54.72	105.15	199.85	92.7	262.2	72.01	76.71	110.43	104.42	84.04	54.72	108.9	57.49	167.9	51.35	88.88	95.34	80.57	218.79	21.01	157.68	224.97
GATAD2B	85.22	92.7	130.6	154.42	94.67	273.37	277.2	392.44	228.13	332.14	241.19	138.1	295.11	88.26	77.79	140.04	114.36	111.21	106.63	128.79	301.33	248.0	132.44	96.01	98.04	148.09	171.45	244.57	100.83	351.14	136.19	171.45	93.35	167.9	98.73	181.28	89.51	182.55	307.69	108.9	204.07	297.17	164.42	341.51	127.0	115.97	220.32	108.14	98.73	102.25	246.28	150.17	208.38	165.57	142.01	164.42	96.68	204.07	40.36	414.87	307.69
GPATCH2	69.52	105.15	117.6	99.43	89.51	187.71	260.38	256.78	194.36	336.79	189.02	312.0	187.71	127.0	99.43	88.88	108.9	89.51	73.54	181.28	301.33	119.26	118.43	110.43	118.43	96.01	90.77	273.37	95.34	242.88	142.01	128.79	112.77	133.36	91.41	109.66	97.36	128.79	232.94	89.51	120.1	201.25	120.94	444.72	95.34	102.25	198.47	176.29	101.54	104.42	258.57	96.01	231.32	78.34	135.24	143.01	81.14	232.94	106.63	363.56	297.17
GPATCH8	123.5	92.7	164.42	209.84	124.37	563.18	563.18	629.35	376.41	595.34	363.56	211.31	473.41	138.1	126.12	228.13	256.78	202.66	187.71	199.85	511.0	423.61	258.57	237.86	187.71	218.79	234.57	463.65	202.66	381.68	202.66	228.13	206.94	281.09	132.44	258.57	158.79	341.51	397.93	232.94	348.71	457.25	312.0	813.63	232.94	191.67	409.15	307.69	193.01	136.19	409.15	198.47	325.29	246.28	271.48	368.65	183.82	353.59	30.56	441.64	486.75
HEATR1	141.02	165.57	63.45	197.09	119.26	403.5	587.13	563.18	381.68	368.65	343.89	260.38	316.37	132.44	124.37	223.41	208.38	214.27	142.01	185.11	444.72	260.38	258.57	161.02	63.0	189.02	289.02	384.34	142.01	480.04	211.31	260.38	228.13	256.78	178.77	256.78	142.01	236.21	476.71	150.17	248.0	327.56	236.21	486.75	211.31	208.38	314.17	195.72	143.01	156.59	373.81	114.36	409.15	295.11	177.53	198.47	171.45	351.14	69.52	764.36	376.41
IRF2BP2	1359.57	1896.65	2061.24	2193.99	1199.98	3928.15	3874.05	4769.75	3018.3	6792.79	3928.15	2047.0	4210.15	2163.77	1519.15	1551.09	1963.57	1427.22	1697.45	2434.5	2935.74	3257.52	2451.44	2075.59	2573.36	2573.36	2119.22	3395.89	2032.85	3325.99	2400.97	3325.99	2119.22	1832.01	2163.77	1950.0	1477.58	2271.4	3349.13	1628.26	2303.12	4388.98	3235.01	3540.14	2287.2	2997.45	3395.89	2335.28	2224.63	1540.37	3103.19	2701.35	4095.0	3081.75	2240.11	2855.44	2335.28	3716.2	466.88	3280.18	3690.52
KANSL1	181.28	291.04	1044.52	346.29	267.73	884.29	825.0	1233.75	638.15	947.83	543.96	323.03	1175.27	195.72	198.47	273.37	343.89	162.14	414.87	507.46	934.76	718.08	409.15	336.79	460.44	248.0	511.0	656.11	277.2	518.15	450.94	329.84	258.57	373.81	208.38	346.29	281.09	376.41	563.18	540.19	493.56	500.46	432.53	1127.35	197.09	361.04	403.5	389.72	297.17	256.78	633.73	325.29	371.22	291.04	348.71	470.14	303.44	638.15	69.03	854.13	981.29
KAT6B	19.82	49.91	140.04	69.52	21.63	136.19	141.02	191.67	157.68	154.42	145.02	71.0	220.32	52.08	36.79	82.29	100.83	88.26	42.11	92.7	209.84	155.5	92.7	48.18	63.89	67.12	147.06	249.73	47.84	140.04	48.52	113.56	83.45	98.04	32.82	73.03	49.56	115.97	234.57	58.71	104.42	182.55	124.37	373.81	96.01	44.89	128.79	94.01	109.66	45.21	241.19	73.03	148.09	62.12	65.72	158.79	55.1	271.48	12.93	234.57	215.77
KDELC2	100.13	71.5	103.69	264.03	236.21	346.29	497.0	289.02	348.71	417.77	346.29	480.04	571.05	197.09	214.27	256.78	231.32	199.85	118.43	262.2	575.03	287.01	199.85	202.66	96.68	77.79	343.89	1191.69	165.57	551.56	104.42	297.17	194.36	366.09	146.03	224.97	312.0	400.71	651.58	255.0	189.02	318.57	371.22	599.49	228.13	251.48	603.67	325.29	297.17	158.79	387.02	201.25	493.56	217.27	167.9	269.6	199.85	417.77	189.02	432.53	511.0
KIDINS220	139.07	145.02	379.04	223.41	171.45	1111.82	679.29	728.11	366.09	612.11	555.41	309.83	802.41	255.0	175.07	258.57	269.6	356.05	273.37	249.73	665.29	353.59	251.48	275.28	262.2	307.69	358.54	674.59	244.57	555.41	169.07	348.71	283.05	373.81	241.19	381.68	220.32	466.88	493.56	293.07	395.18	503.95	327.56	947.83	195.72	223.41	412.0	397.93	193.01	145.02	507.46	309.83	473.41	214.27	327.56	571.05	214.27	500.46	96.01	521.76	884.29
KLHL11	4.39	9.13	12.83	15.45	4.1	68.55	48.52	120.1	45.85	78.34	62.12	37.05	97.36	5.19	7.06	31.9	24.99	21.94	16.27	12.36	120.1	81.14	23.93	23.25	19.53	7.63	76.71	49.91	10.0	53.19	27.44	18.16	14.24	56.68	4.86	38.12	4.9	52.08	133.36	37.59	29.91	80.57	40.64	187.71	17.9	16.75	103.69	32.36	6.46	12.64	94.67	25.72	62.12	14.03	30.34	49.91	8.65	59.55	4.7	47.84	69.52
KLHL20	62.12	100.13	125.24	166.73	110.43	291.04	323.03	269.6	191.67	368.65	295.11	229.72	283.05	158.79	118.43	140.04	157.68	217.27	135.24	189.02	444.72	244.57	204.07	147.06	138.1	172.65	258.57	287.01	135.24	368.65	121.79	226.54	191.67	244.57	112.77	244.57	120.94	256.78	301.33	136.19	199.85	204.07	226.54	529.06	183.82	121.79	181.28	293.07	101.54	82.87	269.6	140.04	363.56	162.14	141.02	279.14	157.68	244.57	74.06	583.07	358.54
KLHL42	58.3	339.14	81.71	80.01	65.72	836.53	693.58	802.41	435.55	1369.04	229.72	237.86	323.03	127.0	85.82	106.63	108.14	132.44	132.44	139.07	289.02	195.72	93.35	110.43	78.89	83.45	165.57	384.34	98.04	381.68	152.28	87.03	100.83	130.6	113.56	149.12	119.26	215.77	395.18	96.68	133.36	358.54	226.54	497.0	110.43	157.68	417.77	147.06	271.48	208.38	426.57	104.42	432.53	123.5	106.63	134.3	88.88	651.58	74.58	336.79	563.18
KMT2A	46.84	76.71	122.64	129.69	67.59	206.94	256.78	289.02	186.4	297.17	205.5	96.68	397.93	86.43	35.76	94.67	135.24	138.1	55.49	64.8	234.57	253.23	181.28	102.97	50.27	90.77	226.54	281.09	77.25	269.6	47.84	167.9	109.66	202.66	35.5	166.73	74.58	256.78	267.73	145.02	134.3	395.18	208.38	423.61	116.78	85.22	166.73	136.19	68.07	77.79	171.45	147.06	133.36	141.02	126.12	226.54	47.84	381.68	21.32	271.48	189.02
KMT2E	69.03	159.9	249.73	97.36	96.01	688.78	607.87	1191.69	529.06	651.58	476.71	251.48	1081.39	246.28	118.43	275.28	217.27	318.57	260.38	214.27	665.29	341.51	318.57	180.02	287.01	316.37	463.65	612.11	251.48	723.08	161.02	368.65	220.32	387.02	156.59	361.04	251.48	693.58	753.83	169.07	567.1	688.78	363.56	909.17	231.32	142.01	414.87	381.68	195.72	134.3	346.29	267.73	429.54	262.2	273.37	612.11	201.25	525.39	301.33	595.34	551.56
KRT17	265802.39	450134.56	4953441.24	462789.59	408505.64	204252.32	320506.81	57051.4	475800.4	122293.5	271387.49	453265.5	93325.55	408505.64	263966.36	971597.0	542775.98	485798.0	589853.66	453265.5	87075.75	233003.78	466008.55	716197.51	701458.36	593956.43	524287.0	241220.67	524287.0	279017.26	542775.98	565825.41	645473.24	447025.24	513497.31	373305.21	373305.21	397335.0	405683.88	546551.29	632189.57	284880.02	485798.0	57448.23	466008.55	405683.88	443937.41	425853.18	585779.24	400098.69	195931.88	912837.43	313910.86	546551.29	475800.4	258533.99	506427.83	365622.68	121448.75	80125.95	134755.94
LBH	126.12	483.38	293.07	145.02	175.07	1447.15	1250.98	1037.29	1583.71	884.29	1096.5	587.13	988.12	486.75	536.45	221.86	514.56	109.66	281.09	909.17	1268.46	1350.18	251.48	202.66	135.24	339.14	547.75	1259.69	214.27	915.51	703.28	105.15	226.54	511.0	271.48	466.88	353.59	1008.9	450.94	215.77	361.04	1467.37	620.67	1540.37	473.41	842.36	599.49	305.55	291.04	271.48	1857.6	201.25	2090.03	409.15	432.53	813.63	307.69	884.29	199.85	2664.15	836.53
LGALS8	483.38	521.76	633.73	633.73	363.56	1159.07	1963.57	2303.12	1233.75	1427.22	1119.56	1008.9	967.76	316.37	612.11	738.29	723.08	791.35	518.15	435.55	1143.1	713.11	915.51	693.58	1175.27	941.27	713.11	1151.06	547.75	1143.1	234.57	884.29	493.56	780.44	902.89	769.69	514.56	698.41	1030.12	403.5	633.73	708.18	559.28	1066.48	878.17	543.96	764.36	890.44	532.74	660.68	928.3	780.44	1051.79	521.76	447.82	1242.34	656.11	1651.0	486.75	1794.29	1143.1
LONRF1	38.67	47.5	140.04	61.68	43.02	289.02	733.19	1081.39	1447.15	1477.58	329.84	389.72	540.19	74.58	69.03	109.66	217.27	53.95	39.5	220.32	775.05	248.0	181.28	63.89	143.01	137.14	127.89	612.11	101.54	447.82	82.87	172.65	159.9	98.73	40.07	102.97	77.25	293.07	454.09	52.82	98.73	429.54	177.53	866.07	102.97	170.25	283.05	183.82	172.65	58.71	264.03	201.25	336.79	124.37	77.79	88.88	85.82	607.87	64.8	381.68	368.65
LPP	64.34	86.43	108.14	85.22	73.03	2609.3	387.02	1909.85	363.56	1199.98	363.56	126.12	460.44	115.16	80.57	154.42	124.37	194.36	115.16	124.37	890.44	281.09	120.1	98.04	96.01	123.5	189.02	679.29	116.78	327.56	108.14	193.01	105.15	194.36	99.43	248.0	68.07	339.14	466.88	217.27	195.72	389.72	279.14	830.75	80.57	94.67	395.18	218.79	117.6	194.36	299.25	131.51	363.56	88.88	133.36	312.0	62.12	363.56	51.35	438.59	642.59
LRP6	57.08	14.78	30.12	96.01	36.01	145.02	105.89	293.07	145.02	212.78	153.34	85.22	251.48	59.97	38.12	56.28	63.89	69.52	20.41	68.07	215.77	130.6	71.5	53.95	68.07	63.45	120.1	189.02	49.91	218.79	74.58	89.51	57.49	66.18	26.67	69.52	47.5	137.14	157.68	53.19	83.45	209.84	101.54	318.57	53.19	64.34	214.27	66.18	100.83	43.63	187.71	56.68	128.79	46.84	59.13	80.01	30.78	327.56	24.28	130.6	172.65
MBTD1	45.85	57.89	120.94	120.94	43.63	136.19	208.38	275.28	228.13	180.02	100.13	154.42	205.5	72.52	47.84	60.82	147.06	72.52	35.76	101.54	283.05	108.9	121.79	126.12	90.77	82.87	100.83	158.79	78.34	108.14	66.18	84.04	76.71	87.65	35.25	75.64	56.28	90.14	104.42	105.89	74.58	144.01	63.45	356.05	55.49	69.03	104.42	71.5	55.89	58.3	165.57	59.13	69.52	64.8	145.02	96.01	85.82	149.12	46.18	172.65	211.31
MEF2D	178.77	420.68	226.54	638.15	432.53	836.53	660.68	769.69	353.59	819.3	543.96	264.03	595.34	412.0	220.32	320.8	226.54	301.33	251.48	412.0	529.06	511.0	295.11	271.48	397.93	285.03	358.54	511.0	224.97	624.99	320.8	567.1	329.84	348.71	301.33	429.54	248.0	860.08	543.96	232.94	429.54	555.41	353.59	674.59	447.82	353.59	547.75	271.48	260.38	281.09	450.94	450.94	543.96	320.8	265.87	540.19	232.94	583.07	71.0	902.89	457.25
